denumire,cui,localitate,judet,website,telefon,adresa,caen,acoperire,an_infiintare,programe,sursa,email
INVESTMENTS CAPITAL & ENGINEERING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722283930,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; INVESTMENTS CAPITAL & ENGINEER; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0420 / 200; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Form,madr_consultanti,
SLY MANAGEMENT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0214234643,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M121 / 57; PNDR 2007-2013 / M123 / 23; PNDR 2007-2013 / M123N578 / 3; PNDR 2007-2013 / M123XS13 / 1; ,madr_consultanti,
SYNESIS PARTNERS,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0314382008,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 1; PNDR 2014-2020 / 0420 / 1; PNDR 2014-2020 / 0610 / 1; PNDR 2014-2020 / 0620 / 1; PNDR 2014-,madr_consultanti,
SC ERSERA CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0747248900,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 40; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 200,madr_consultanti,
AFACERI DE TOP SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0726834480,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,AFACERI DE TOP SRL - Portalul ; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M41 / 0; PNDR 2014-2020 / 0420 / 0; PNDR 2014-2020 / 0620 / 0; PNDR 2,madr_consultanti,
WINPROBIZZ SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722800603,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M121 / 0; PNDR 2007-2013 / M312 / 0; PNDR 2007-2013 / M41 / 0; PNDR 2014-2020 / 0420 / 0; PNDR 2014-2,madr_consultanti,
S.C. Lukad Cariere Team srl,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0254267134,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007,madr_consultanti,
AGRO ENVIRONMENT CONS S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0768819078,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,AGRO ENVIRONMENT CONS S.R.L. -; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 0430 / 0; PNDR 2014-2020 / 0620 / 0; PNDR ,madr_consultanti,
CENTIVA Solutions,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0336401201,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; CENTIVA Solutions - Portalul A; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0430 / 50; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formu,madr_consultanti,
DADY MIH CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0745081991,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; DADY MIH CONSULTING SRL - Port; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M312 / 10; PNDR 2014-2020 / 0610 / 1; PNDR 2014-2020 / 0620 / 5; PNDR,madr_consultanti,
DUPLICOM GRUP SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0335402413,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; DUPLICOM GRUP SRL - Portalul A; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 48; PNDR 2007-2013 / M121 / 3; PNDR 2007-2013 / M221 / 3; PNDR,madr_consultanti,
STRUCTURIALAND,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0770657249,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007,madr_consultanti,
GONCIARN.FLORENTINA- EXPERT CONTABIL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0239617012,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; GONCIARN.FLORENTINA- EXPERT CO; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
SSA ADDSOR MANAGEMENT PROCONSULT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0768404013,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 0; PNDR 2014-2020 / 0610 / 0; PNDR 2014-2020 / 0650 / 0; Proceduri PNDR 2020; Proceduri PS 202,madr_consultanti,
ALBATROS SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0745649804,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,ALBATROS SRL - Portalul AFIR -; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 1710 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formul,madr_consultanti,
ROMFOND CONSULT,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0743557832,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; ROMFOND CONSULT - Portalul AFI; Rezultate PNDR,madr_consultanti,
PAM SOLUTION SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0755018778,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PAM SOLUTION SRL - Portalul AF; PNDR; PNDR 2007-2013 / M112 / 25; PNDR 2007-2013 / M141 / 15; PNDR 2007-2013 / M312 / 7; PND,madr_consultanti,
DINAMICSAY SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0747222723,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; DINAMICSAY SRL - Portalul AFIR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0610 / 65; PNDR 2014-2020 / 0630 / 21; Proceduri PNDR 2020; Proceduri,madr_consultanti,
AA BUSINESS & CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0752236462,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,AA BUSINESS & CONSULTING SRL -; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0610 / 76; PNDR 2014-2020 / 0630 / 29; Proceduri PNDR 2020; Proceduri,madr_consultanti,
ALPHA VIC CONSULTING S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0726237807,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,ALPHA VIC CONSULTING S.R.L. - ; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
BARAIAN ILDO CAMELIA PERSOANA FIZICA AUTORIZATA,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0748115551,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; BARAIAN ILDO CAMELIA PERSOANA ; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
ORS CREATIVE LEARNING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; ORS CREATIVE LEARNING - Portal; PNDR; PNDR 2007-2013 / M121 / 5; PNDR 2007-2013 / M123N578 / 1; PNDR 2007-2013 / M141 / 1; P,madr_consultanti,
TPx Proiect,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0742836746,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007,madr_consultanti,
Gherghe & Partners Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0765490201,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Gherghe & Partners Consulting ; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
DOUBLE A TRUST S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0732239351,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; DOUBLE A TRUST S.R.L. - Portal; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
S.C. AGROCONSTRUCT ALX S.R.L,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0734327262,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 10; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 200,madr_consultanti,
DELTIS SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0749282006,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; DELTIS SRL - Portalul AFIR - i; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 20; PNDR 2007-2013 / M121 / 30; PNDR 2007-2013 / M123 / 5; PND,madr_consultanti,
Motor Invest,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0768662565,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Motor Invest - Portalul AFIR -; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 1; PNDR 2014-2020 / 0640 / 5; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
WISELY PROJECTIFY,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0734017933,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 041A / 0; PNDR 2014-2020 / 0420 / 0; PNDR 2014-2020 / 0620 / 0; PNDR 2014-,madr_consultanti,
Fidmart Merk s.r.l.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0745257464,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Fidmart Merk s.r.l. - Portalul; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 2; PNDR 2014-2020 / 0910 / 5; PNDR 2014-2020 / 1640 / 1; PNDR ,madr_consultanti,
Fidmart Dezvoltare Rurală s.r.l.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0745257464,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Fidmart Dezvoltare Rurală s.r.; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 2; PNDR 2014-2020 / 0910 / 1; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
SC IULIA CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740830288,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
SC CONSASIST SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0729549844,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
YXS AVALANA,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0757068810,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M121 / 0; PNDR 2007-2013 / M123 / 0; PNDR 2007-2013 / M123N578 / 0; PNDR 2007-2013 / M312 / 0; PNDR 2,madr_consultanti,
STEP BY STEP CONSULTING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0721566602,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 5; PNDR 2007-2013 / M121 / 20; PNDR 2014-2020 / 041A / 5; PNDR 2014-2020 / 0610 / 5; PNDR 2014,madr_consultanti,
AFIR CONSULTING UE SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0732239351,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,AFIR CONSULTING UE SRL - Porta; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
Forța Fermierilor SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0727722606,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Forța Fermierilor SRL - Portal; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
