Company Name (EN),Company Name (GR),Country (EN),Country (GR),Pavilion,Stand,Street,Number,City,Postal Code,Region,Email,Phone,Website,Products (EN),Products (GR),Exhibition Code
ARTEVOS,ARTEVOS,Germany,Γερμανία,PAVILION 13,A11,,,,,,info@artevos.de,,,,,49-FRE-2025
ARTION NASIAKOPOULOS S.A.,ARTION ΝΑΣΙΑΚΟΠΟΥΛΟΣ Α.Ε.,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,D10,Gerakari,,Agia,400 03,Larissa,info@artionproducts.gr,+30 2410 671455,www.artionproducts.gr,"Cherry, Chestnut, FRESH FRUITS &amp; VEGETABLES, NUTS, Trade of fresh fruit","Εμπορία φρέσκων φρούτων, Κάστανο, Κεράσι, ΞΗΡΟΙ ΚΑΡΠΟΙ, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
ATLANTICA AGRICOLA,ATLANTICA AGRICOLA,Spain,Ισπανία,PAVILION 13,C19,,,,,,info@sandros.gr,,,,,49-FRE-2025
AUER PACKAGING GMBH,AUER PACKAGING GMBH,Germany,Γερμανία,PAVILION 13,A15,,,,,,info@auer-packaging.com,,,,,49-FRE-2025
AUSTROPRESSEN ROITHER MACHINENBAU GMBH,AUSTROPRESSEN ROITHER MACHINENBAU GMBH,Austria,Αυστρία,PAVILION 13,B17,,,,,,office@austropressen.com,,,,,49-FRE-2025
BELCA S.A.,BELCA S.A.,Spain,Ισπανία,PAVILION 15 GROUND FLOOR,C03,,,,,,mila@belca.es,,,,,49-FRE-2025
BELCA S.A.,BELCA S.A.,Spain,Ισπανία,,,,,,,,mila@belca.es,,,,,49-FRE-2025
BENOPLAST - SEFER HELLAS,BENOPLAST - SEFER HELLAS,Turkey,Τουρκία,PAVILION 13,C18,Esentepe Mah. Milangaz Cd. Monumento Plaza Kartal,75,Instabul,34876,Kartal,oyilmaz@benoplast.com,+905336022995,www.benoplast.com,"Packaging materials for fruit &amp; vegetables, Palettes, Plastic pallets, Plastic products, Trolleys, palette movers","Καρότσια, παλετοφόρα, Παλέτες, Πλαστικές παλέτες, Προϊόντα πλαστικά, Υλικά συσκευασίας φρούτων &amp; λαχανικών",49-FRE-2025
BIALSKI OWOC SP. Z O.O.,BIALSKI OWOC SP. Z O.O.,Poland,Πολωνία,PAVILION 13,B01,Kolejowa,35,Biala Rawska,96-230,Biala Rawska,a.glowala@bialskiowoc.com,+48 607 776 774,www.bialskiowoc.com,"Apple, Blueberry, FRESH FRUITS &amp; VEGETABLES, Strawberry, Trade of fresh fruit, Trade of fresh vegetables","Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Μήλο, Μύρτιλο, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
BOURAKIS FRUITS S.A,BOURAKIS FRUITS S.A.,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B16,Kentriki Lachanagora,Α10,"Menemeni, Thessaloniki",54628,Thessaloniki,maxhgr@gmail.com,2310760776,,"Apple, Apricot, Cherry, Fig, FRESH FRUITS &amp; VEGETABLES, Grape, Kiwi, Nectarine, Peach, Pear, Plum, Pomegranate, Trade of fresh fruit, Vanilla","Ακτινίδιο, Αχλάδι, Βανίλια, Βερίκοκο, Δαμάσκηνο, Εμπορία φρέσκων φρούτων, Κεράσι, Μήλο, Νεκταρίνι, Ροδάκινο, Ρόδι, Σταφύλι, Σύκο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
BS TEASDALE & SON Ltd,BS TEASDALE & SON Ltd,England,Αγγλία,PAVILION 13,A15,,,,,,sales@detectable-products.co.uk,,,,,49-FRE-2025
CAMPAGNOLA S.R.L.,CAMPAGNOLA S.R.L.,Italy,Ιταλία,PAVILION 13,B17,,,,,,star@campagnola.it,,,,,49-FRE-2025
CEBAS,CEBAS,Spain,Ισπανία,PAVILION 13,A11,,,,,,info@cebasfruit.com,,,,,49-FRE-2025
CHERRY TOMATOES TZAVELLAS,CHERRY TOMATOES TZAVELLAS,Greece,Ελλάδα,PAVILION 13,C10A,Vrita,,Edessa,58200,Pella,tzavellasss@gmail.com,6986565505,https://cherry-center.gr/,"Apricot, Cherry, Cherry tomatoes, Jujube, Tomato","Βερίκοκο, Κεράσι, Ντομάτα, Ντοματίνια, Τζίτζιφα",49-FRE-2025
CHRISTOS PAPPAS S.M.P.C.,CHRISTOS PAPPAS ΜΟΝ ΙΚΕ,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,A02,Filothei,,Arta,47042,Arta,pappaschltd@yahoo.com,6993492937,,FRESH FRUITS &amp; VEGETABLES,ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ,49-FRE-2025
CITRUS BILL Μ. ΙΚΕ,CITRUS BILL SINGLE MEMBER PC,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C12,7th km. Veroia- Naousa,,Veroia,59100,Imathia,info@citrusbill.gr,+306948577052,www.citrusbill.gr,"Apricot, FRESH FRUITS &amp; VEGETABLES, Kiwi, Lotus, Mandarin, Nectarine, Orange, Peach, Vanilla","Ακτινίδιο, Βανίλια, Βερίκοκο, Λωτός, Μανταρίνι, Νεκταρίνι, Πορτοκάλι, Ροδάκινο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
CIV,CIV,Italy,Ιταλία,PAVILION 13,A11,,,,,,info@civ.it,,,,,49-FRE-2025
COMARME S.R.L.L,COMARME S.R.L.,Italy,Ιταλία,PAVILION 13,B17,,,,,,info@comarmesrl.com,,,,,49-FRE-2025
CONSULATE GENERAL OF ROMANIA IN THESSALONIKI,CONSULATE GENERAL OF ROMANIA IN THESSALONIKI,Romania,Ρουμανία,PAVILION 13,A03,Theag. Charisi,78,Θεσσαλονίκη,54639,Thessaloniki,salonic.economic@mae.ro,6981953417,https://salonic.mae.ro/en,STATE PARTICIPATIONS,ΚΡΑΤΙΚΕΣ ΣΥΜΜΕΤΟΧΕΣ,49-FRE-2025
COSMEC SRL,COSMEC SRL,Italy,Ιταλία,PAVILION 15 GROUND FLOOR,C03,,,,,,info@cosmecsrl.eu,+39 0577988010,https://www.cosmecsrl.com/en/,,,49-FRE-2025
COSMEC SRL,COSMEC SRL,Italy,Ιταλία,,,,,,,,info@cosmecsrl.eu,+39 0577988010,https://www.cosmecsrl.com/en/,,,49-FRE-2025
C-PACK GMBH,C-PACK GMBH,Germany,Γερμανία,,,,,,,,info@c-pack.com,,,,,49-FRE-2025
C-PACK GMBH,C-PACK GMBH,Germany,Γερμανία,PAVILION 15 GROUND FLOOR,C03,,,,,,info@c-pack.com,,,,,49-FRE-2025
CRETAN ROOT,CRETAN ROOT,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,A14,Ano Acharnes,,Heraklion,70100,Heraklion,info@cretanroot.com,2810321486,https://cretanroot.com/,"Cucumber, FRESH FRUITS &amp; VEGETABLES, Grape, Green pepper, Trade of fresh fruit, Trade of fresh vegetables, Watermelon","Αγγούρι, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρπούζι, Πιπεριά, Σταφύλι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
DAUMAR S.L.,DAUMAR S.L.,Spain,Ισπανία,PAVILION 15 GROUND FLOOR,C03,,,,,,comercial.sp@daumar.com,,,,,49-FRE-2025
DAUMAR S.L.,DAUMAR S.L.,Spain,Ισπανία,,,,,,,,comercial.sp@daumar.com,,,,,49-FRE-2025
DM PACK S.R.L.,DM PACK S.R.L.,Italy,Ιταλία,PAVILION 13,B17,,,,,,info@dmpack.it,,,,,49-FRE-2025
DOLE,DOLE,Greece,Ελλάδα,SPECIAL PROMOTION AREA 15-13,01,Mesogeion Ave.,249,"Neo Psychiko, Athens",15451,Attica,stathis.pislis@dole.com,2103634233,https://www.dole.com/el,"Banana, Pineapple","Ανανάς, Μπανάνα",49-FRE-2025
ELEADORA SRL/BV,ELEADORA SRL/BV,Belgium,Βέλγιο,PAVILION 15 GROUND FLOOR,A09,Val des Seigneurs,9 Bte 11,BRUSSELS,1150,,info@eleadora.com,+32471322114,www.eleadora.com,"Avocado, Cherry, Cherry tomatoes, Cucumber, Dried Fruits, Eggplant, Fresh Fruits (organic), Fresh vegetables (organic), FRUITS &amp; VEGETABLES (ORGANIC), Grapefruit, Green pepper, Kiwi, Klimentine, Lemons, Lotus, Mandarin, Melon, Nectarine, NUTS, NUTS (ORGANIC), Olives, Orange, Peach, Pomegranate, Strawberry, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Watermelon, Zucchini","Αβοκάντο, Αγγούρι, Ακτινίδιο, Αποξηραμένα φρούτα, Γκρέιπφρουτ, Ελιές, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρπούζι, Κεράσι, Κλημεντίνη, Κολοκύθι, Λεμόνια, Λωτός, Μανταρίνι, Μελιτζάνα, Νεκταρίνι, Ντομάτα, Ντοματίνια, ΞΗΡΟΙ ΚΑΡΠΟΙ, ΞΗΡΟΙ ΚΑΡΠΟΙ ΒΙΟΛΟΓΙΚΑ, Πεπόνι, Πιπεριά, Πορτοκάλι, Ροδάκινο, Ρόδι, Φράουλα, Φρέσκα λαχανικά (βιολογικά), Φρέσκα φρούτα (βιολογικά), ΦΡΟΥΤΑ-ΛΑΧΑΝΙΚΑ ΒΙΟΛΟΓΙΚΑ",49-FRE-2025
ELECTROWAF,ELECTROWAF,Greece,Ελλάδα,PAVILION 13,C02,1st km Ο.Ν.R. Alexandria - Veria,,ALEXANDRIA,59300,ΙΜΑΤΗΙΑ,info@novacert.gr,+30 23310 76478,https://electrowaf.gr,"Apricot, Cherry, FRESH FRUITS &amp; VEGETABLES, Kiwi, Nectarine, Peach, Peach ufo, SERVICES, Trade of fresh fruit, Vanilla","Ακτινίδιο, Βανίλια, Βερίκοκο, Εμπορία φρέσκων φρούτων, Κεράσι, Νεκταρίνι, ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, Ροδάκινο, Ροδάκινο ufo, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
ELITA FRUITS PRODUCERS GROUP SP. Z O.O.,ELITA FRUITS PRODUCERS GROUP SP. Z O.O.,Poland,Πολωνία,PAVILION 13,B01,Lubiankow,28,Glowno,95015,Lodzkie Voivodeship,biuro@elitaowoce.pl,+48 42 719 24 93,www.elitaowoce.pl,"Apple, Blueberry, Cherry, FRESH FRUITS &amp; VEGETABLES, Fruit juices, Fruit Juices (organic), Gooseberry, Pear, Plum, Trade of fresh fruit","Αχλάδι, Δαμάσκηνο, Εμπορία φρέσκων φρούτων, Κεράσι, Μήλο, Μύρτιλο, Φραγκοστάφυλλο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Χυμοί φρούτων, Χυμοί Φρούτων  (βιολογικά)",49-FRE-2025
ENKO PLASTICS EOOD,ENKO PLASTICS EOOD,Bulgaria,Βουλγαρία,PAVILION 13,B17,,,,,,sales@enko-plastics.com,,,,,49-FRE-2025
EPACKAGING,EPACKAGING,Italy,Ιταλία,PAVILION 13,B17,,,,,,info@epackagingsrl.com,,,,,49-FRE-2025
EQOFLUIDS,EQOFLUIDS,Spain,Ισπανία,PAVILION 13,B17,,,,,,admin@eqofluids.com,,,,,49-FRE-2025
EU_FANDV_CONSUMPTION,EU_FANDV_CONSUMPTION,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C15,Neapoli,,Agrinio,30100,Aetoloakarnania,sp-ahe@otenet.gr,+30 26410 39490,https://asparaguskiwi.eu/,"FRESH FRUITS &amp; VEGETABLES, Kiwi, Sparagki, Trade of fresh fruit, Trade of fresh vegetables","Ακτινίδιο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Σπαράγγι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
EURO-PAPRYKA MYZIAK PAWEL,EURO-PAPRYKA MYZIAK PAWEL,Poland,Πολωνία,PAVILION 13,B01,Piekna,13,Tarczyn,05-555,Mazowze,pawel.myziak@gmail.com,+486011130044,www.europapryka.com.pl,"FRESH FRUITS &amp; VEGETABLES, Fresh Fruits (organic), Fresh vegetables (organic), FRUITS &amp; VEGETABLES (ORGANIC)","Φρέσκα λαχανικά (βιολογικά), ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Φρέσκα φρούτα (βιολογικά), ΦΡΟΥΤΑ-ΛΑΧΑΝΙΚΑ ΒΙΟΛΟΓΙΚΑ",49-FRE-2025
EVAPCO,EVAPCO,United States of America,Αμερική,PAVILION 13,D13,,,,,,info@moustakas-bros.gr,,,,,49-FRE-2025
FA DE JONG - FRUIT,FA DE JONG - FRUIT,Netherlands,Ολλανδία,PAVILION 13,A05,Leerbroekseweg,16,Leerbroek,4245KT,Utrecht,dirk@dejongfruit.nl,0653883525,www.dejongfruit.nl,"Apple, Avocado, Banana, Beet, Beetroot, Broccoli, Cabbage, Cauliflower, Eggplant, FRESH FRUITS &amp; VEGETABLES, Fresh Fruits (organic), Fresh vegetables (organic), FRUITS &amp; VEGETABLES (ORGANIC), Garlic, Grape, Grapefruit, Herbs, Kiwi, Leek, Lemons, Lettuce, Mandarin, Mango, Melon, Nectarine, Onion, Orange, Peach, Peas, Pineapple, Plum, Pomegranate, Potato, SERVICES, Sweet patato, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Watermelon, Zucchini","Αβοκάντο, Ακτινίδιο, Ανανάς, Αρακάς, Βότανα, Γκρέιπφρουτ, Γλυκοπατάτα, Δαμάσκηνο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρπούζι, Κοκκινογούλι, Κολοκύθι, Κουνουπίδι, Κρεμμύδι, Λάχανο, Λεμόνια, Μάνγκο, Μανταρίνι, Μαρούλι, Μελιτζάνα, Μήλο, Μπανάνα, Μπρόκολο, Νεκταρίνι, Ντομάτα, Παντζάρι, ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, Πατάτα, Πεπόνι, Πορτοκάλι, Πράσο, Ροδάκινο, Ρόδι, Σκόρδο, Σταφύλι, Φρέσκα λαχανικά (βιολογικά), ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Φρέσκα φρούτα (βιολογικά), ΦΡΟΥΤΑ-ΛΑΧΑΝΙΚΑ ΒΙΟΛΟΓΙΚΑ",49-FRE-2025
FENO,FENO,Italy,Ιταλία,PAVILION 13,A11,,,,,,info@feno.it,,,,,49-FRE-2025
FOODIN S.A,FOODIN ΓΙΑΚΟΣ ΑΕΒΕ,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B02,Stratarchou Alexandrou Papagou,2,Athens,15127,Attica,s.katsini@foodin.gr,2102717002,foodin.gr,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY",ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ,49-FRE-2025
FORD,FORD,,,PAVILION 13,B15,,,,,,hatzis@fordvehicles.gr,,,"Electric vehicles, LIGHT VEHICLES COMMERCIAL (LVC), Refrigerated transport vans","ΕΠΑΓΓΕΛΜΑΤΙΚΑ ΑΥΤΟΚΙΝΗΤΑ, Ηλεκτρικά αυτοκίνητα, Ψυγεία μεταφοράς-βαν",49-FRE-2025
FRESH POINT PC,FRESH POINT IKE,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C06,Prespas,6,"Moschato, Athens",18346,Attica,info@fresh-point.gr,+30 210 48 33 618,www.fresh-point.gr,"Apple, Apricot, Avocado, Cherry, Chestnut, CONSULTANTS, Cucumber, Fig, FRESH FRUITS &amp; VEGETABLES, Grape, Green pepper, Kiwi, Lemons, Lotus, Mandarin, Nectarine, Orange, Peach, Pear, Plum, Pomegranate, Potato, Quince, SERVICES, Sparagki, Strawberry, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Watermelon","Αβοκάντο, Αγγούρι, Ακτινίδιο, Αχλάδι, Βερίκοκο, Δαμάσκηνο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρπούζι, Κάστανο, Κεράσι, Κυδώνι, Λεμόνια, Λωτός, Μανταρίνι, Μήλο, Νεκταρίνι, Ντομάτα, ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, Πατάτα, Πιπεριά, Πορτοκάλι, Ροδάκινο, Ρόδι, Σπαράγγι, Σταφύλι, Σύκο, ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
FROUTOFARM P.C.,FROUTOFARM IKE,Greece,Ελλάδα,PAVILION 13,C11A,Ampelies,,Giannitsa,58100,Pella,m.xeridou@froutofarm.gr,2382770467,www.froutofarm.gr,"Apricot, Avocado, Cherry, Chestnut, Fig, FRESH FRUITS &amp; VEGETABLES, Green pepper, Kiwi, Lemons, Mandarin, Nectarine, Orange, Peach, Peach ufo, Plum, Strawberry, Vanilla","Αβοκάντο, Ακτινίδιο, Βανίλια, Βερίκοκο, Δαμάσκηνο, Κάστανο, Κεράσι, Λεμόνια, Μανταρίνι, Νεκταρίνι, Πιπεριά, Πορτοκάλι, Ροδάκινο, Ροδάκινο ufo, Σύκο, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
FRU.EAT MOUDIRIS ATHANASIOS & SIA E.E,FRU.EAT  ΜΟΥΔΗΡΗΣ ΑΘΑΝΑΣΙΟΣ & ΣΙΑ Ε.Ε,Greece,Ελλάδα,PAVILION 13,B07A,Episkopi,,Naoussa,59200,Pella,fru.eat_greece@hotmail.com,6948174018,frueat.gr,"Apple, Apricot, Avocado, Bean, Blackberry, Blueberry, Broccoli, Cherry, Chestnut, Cucumber, Eggplant, Fig, FRESH FRUITS &amp; VEGETABLES, Garlic, Grape, Green pepper, Kiwi, Lettuce, Lotus, Mushrooms, Nectarine, Peach, Pear, Plum, Pomegranate, Sweet patato, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Vanilla, Zucchini","Αβοκάντο, Αγγούρι, Ακτινίδιο, Αχλάδι, Βανίλια, Βατόμουρο, Βερίκοκο, Γλυκοπατάτα, Δαμάσκηνο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Κάστανο, Κεράσι, Κολοκύθι, Λωτός, Μανιτάρια, Μαρούλι, Μελιτζάνα, Μήλο, Μπρόκολο, Μύρτιλο, Νεκταρίνι, Ντομάτα, Πιπεριά, Ροδάκινο, Ρόδι, Σκόρδο, Σταφύλι, Σύκο, Φασολάκι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
FRUIT UP,FRUIT UP,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B13,10th km Velventos-Kozani,,Velventos,50400,Kozani,asepop@asepop.gr,+30 2464031333,fruitup-eu.eu,"Apple, FRESH FRUITS &amp; VEGETABLES, Nectarine, Peach, SERVICES, Trade of fresh fruit","Εμπορία φρέσκων φρούτων, Μήλο, Νεκταρίνι, ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, Ροδάκινο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
FRUITILISIOUS,FRUITILISIOUS,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C10,Papadopoulou,9,Giannitsa,58100,Giannitsa,nasia.ad@gmail.com,+306941558867,www.fruitilisious.eu,"Apricot, Cherry, Peach, Trade of fresh fruit","Βερίκοκο, Εμπορία φρέσκων φρούτων, Κεράσι, Ροδάκινο",49-FRE-2025
FUTURA S.R.L.,FUTURA,Italy,Ιταλία,PAVILION 13,D16,Via R. Mattioli,136-156,Cesena,47522,Emilia Romagna,info@futura-technology.com,+390547632749,www.futura-grading.com,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY, Graders","Μηχανήματα διαλογής, ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ",49-FRE-2025
