email,company_name,sector,county,job_title,positions_available,company_org_number
anamaria.burca@indcar.ro,INDCAR BUS INDUSTRIES SRL,Producție / Logistică,Brașov,manager logistica si distributie,1,24065295
anamaria.david@akzonobel.com,AKZO NOBEL COATINGS S.R.L,Contabilitate / Financiar,Municipiul București,CONTABIL-SEF,1,6046627
anamaria.tanase@termene.ro,TERMENE JUST SRL,Call center / Suport clienți,Prahova,OPERATOR VÂNZARI PRIN TELEFON,1,33034700
anamaria.visan@elaniaresort.ro,APULUM TURISM SRL,Turism / Alimentație,Cluj,LUCRATOR BUCATARIE (SPALATOR VASE MARI),1,30511872
anca.buhoci@prodbacsecurity.ro,PRODBAC SECURITY SRL,Altele,Bacău,AGENT DE SECURITATE,5,11827080
anca.dulgheru@smart-b.ro,"SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT ""SMART"" SA",Inginerie,Municipiul București,INGINER ELECTROENERGETICA,2,14232728
anca.muntean@bergbanat.ro,BERG BANAT SRL,Producție / Logistică,Cluj,STIVUITORIST,3,1815100
anca.saru@assaabloy.com,ASSA ABLOY ROMANIA SRL,Producție / Logistică,Municipiul București,OPERATOR FABRICATIE FLUX,4,10473502
ancuta.branzei@alu-menziken.com,ALU MENZIKEN SRL,Producție / Logistică,Satu Mare,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",1,34377820
ancuta.hrit@xannat.ro,XANNAT MINERALS SRL,Altele,Constanța,INGINER MECANIC,1,17391698
ancuta.popa@tekniagroup.com,TEKNIA ORADEA S.R.L.,Altele,Bihor,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",1,28390485
anda.anghelache@reigrup.ro,INFINIT FASHION ATELIER SRL,Turism / Alimentație,Constanța,RECEPTIONER DE HOTEL,1,34639891
anda.popescu@temenos.com,TEMENOS ROMANIA SRL,IT / Telecomunicații,Municipiul București,INGINER DE SISTEM ÎN INFORMATICA,1,2604305
andonecatalin30@gamil.com,SC CATSTEF IMPEX 2025 SRL,COMERT,Vaslui,LUCRATOR COMERCIAL,3,52449046
andra.miloi@lhel.ro,Axa Estate srl,Construcții / Instalații,Brașov,AGENT SERVICII CLIENT,1,33795663
andra@11th.ro,S.C. AB CONSULTING HUB S.R.L.,Educație / Training / Coaching,Municipiul București,FEMEIE DE SERVICIU,2,41008419
andra_nitoiu@siad.eu,SIAD ROMANIA SRL,Producție / Logistică,Municipiul București,IMBUTELIATOR FLUIDE SUB PRESIUNE,1,8184529
andrada.marincasi@electro-net.ro,SC ELECTRONET CONCEPT SRL,Construcții / Instalații,,ELECTRICIAN ÎN CONSTRUCTII,1,31221578
andradabianca.eni@draexlmaier.com,DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,Producție / Logistică,Timiș,ADMINISTRATOR BAZE DE DATE,1,13551362
andreea-elena.anghel@ecoprofix.com,ECO PROFIX CONSULTING SRL,Altele,Prahova,SOFER DE AUTOTURISME SI CAMIONETE,3,36997101
andreea.adam@trigo-group.com,TRIGO ROMANIA S.A.,Producție / Logistică,,STIVUITORIST,4,18531331
andreea.bogles@varta-ag.com,VARTA MICROBATTERY SRL,Producție / Logistică,Brașov,INGINER DE CERCETARE ÎN ELECTRONICA APLICATA,1,32711524
andreea.chitiga@kredianis.ro,KREDIANIS SRL,COMERT,,CASIER,3,28464540
andreea.cioclu@austriajuice.com,AUSTRIA JUICE ROMANIA SRL,Altele,Vaslui,ELECTRICIAN DE ÎNTRETINERE SI REPARATII,1,9549151
andreea.dimitriu@strabag.com,SAT REABILITARE RECICLARE SRL,Construcții / Instalații,Municipiul București,REFERENT,1,26977794
andreea.gantoi@klintensiv.com,KLINTENSIV S.R.L.,Altele,Ilfov,AMBALATOR MANUAL,2,29359178
andreea.haiduc@bf1systems.com,BF SYSTEMS MANUFACTURING SRL,Altele,,CONFECTIONER CABLAJE AUTO,6,38179451
andreea.ionita@xlab.ro,SC X LAB SOLUTIONS SRL,COMERT,Municipiul București,REPREZENTANT COMERCIAL,2,14600285
andreea.purcea@romcarbon.com,ROMCARBON SA,Altele,Buzău,MUNCITOR NECALIFICAT LA AMBALAREA PRODUSELOR SOLIDE SI SEMISOLIDE,5,1158050
andreea.vlasin@unitahotels.ro,UNITA TURISM HOLDING SA,Altele,Timiș,ÎNGRIJITOR SPATII HOTELIERE,1,2094737
andreea@agropec.ro,NAGY ANDREEA ÎNTREPRINDERE INDIVIDUALĂ,Altele,Alba,AGRICULTOR ÎN CULTURI VEGETALE SI CRESCATOR DE ANIMALE,4,29593771
andreea@motobikeshop.eu,MOTO BIKE SHOP SRL,COMERT,Timiș,AMBALATOR MANUAL,1,17968231
andreea@oldtimer.ro,RESTOMOD BARN S.R.L ,SERVICE AUTO,,FEMEIE DE SERVICIU,1,45291457
andreea@pazasiprotectiearad.ro,LULU SECURITY 2000 SRL,SERVICII DE PAZA SI PROTECTIE,Arad,AGENT DE SECURITATE,3,39873728
andreeadobrin@tavernasarbului.ro,TAVERNA SARBULUI SRL,RESTAURANTE,Municipiul București,AJUTOR BUCATAR,2,15105404
andrei.bodan@yafct.ro,BERZOVIA FARM SRL,Agricultură / Zootehnie,Caraș-Severin,ÎNGRIJITOR ANIMALE,1,41581172
andrei.chirilovici@ro.eckerle-gruppe.com,ECKERLE AUTOMOTIVE SRL,Producție / Logistică,Cluj,REGLOR BENZI MONTAJ,1,15154407
angajari@clasicmex.ro,CLASIC PROD MEX SRL,PRODUCTIE MOBILA,Cluj,TÂMPLAR UNIVERSAL,2,33645950
angajari@ivcons.ro,IVAN CIVIL TOP-CONSTRUCT S.R.L.,Construcții / Instalații,Vaslui,STIVUITORIST,1,39361922
angela.lazar@criomecsa.ro,CRIOMEC SA,Producție / Logistică,Galați,TEHNICIAN MECANIC,1,5668427
angelica.ianco@selgros.ro,SELGROS CASH CARRY SRL,Retail,Bistrița-Năsăud,LUCRATOR COMERCIAL,3,11805367
anisioara.barhala@ro.post,COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA CONSTANTA,Altele,Galați,CURIER,1,40711789
apetrariu@marcel.com.ro,MARCEL TRADING SRL,COMERT,Neamț,LUCRATOR COMERCIAL,2,17609858
apostu@imperialinn.ro,COFIT CONSTRUCT SRL,Turism / Alimentație,Mureș,CAMERISTA HOTEL,1,27030020
apply_oradea@celestica.com,S.C. CELESTICA (ROMANIA) S.R.L.,Producție / Logistică,Bihor,TEHNICIAN ASIGURAREA CALITATII,4,16386391
arosu@verdemg.com,Verde Magnesium SRL,Altele,Municipiul București,ANALIST FINANCIAR,2,41220909
asistentmanager@agress.ro,AGRESS BEAUTY CLINIQUE SRL,Medicină / Sănătate /Psihoterapie,Galați,ASISTENT MEDICAL GENERALIST,3,31607550
asm@bricowoodtrade.ro,BRICO WOOD TRADE SRL,PRODUCTIE MOBILA,Argeș,TÂMPLAR UNIVERSAL,25,33476192
attila.gyorgy@gat-sped.eu,GAT-SPEDITION SRL,Servicii transport / curierat,Harghita,Conducător auto transport rutier de mărfuri,1,50058840
aurica.toma@hasit.ro,HASIT ROMANIA SRL,Construcții / Instalații,Cluj,OPERATOR FABRICATIE FLUX,1,13018697
avril@avril.ro,AVRIL S.R.L.,Construcții / Instalații,Prahova,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET",1,2825969
b.kira@benytrans.ro,BENY TRANS INTERNATIONAL SRL,Servicii transport / curierat,Satu Mare,SOFER DE AUTOTURISME SI CAMIONETE,2,10803520
balazs@beautywood.hu,BEAUTYWOOD RO S.R.L.,Vânzări,Bihor,REPREZENTANT COMERCIAL,2,35480424
banatovinex@ymail.com,SC BANAT OVINEX SRL,Altele,Timiș,ÎNGRIJITOR ANIMALE,4,13169835
baneasa@pizzahut.ro,AMERICAN RESTAURANT SYSTEM SA,RESTAURANTE,Municipiul București,BUCATAR,3,6331682
baneasa@taco-bell.ro,CALIFORNIA FRESH FLAVORS SRL,RESTAURANTE,Municipiul București,LUCRATOR BUCATARIE (SPALATOR VASE MARI),7,37783734
barbubarbomoisi@gmai.com,LA MSD BARBU SRL,COMERT,Ialomița,VÂNZATOR,2,52254028
basilioprobo@yahoo.co.nz,FUTURA ROMANIA SRL,FABRICAREA ARTICOLELOR DE IMBRACAMINTE,,UCENIC,5,51325520
BASSELocalPayroll@bat.com,BRITISH AMERICAN SHARED SERVICES EUROPE SRL,Contabilitate / Financiar,,ȘEF BIROU ANALIZE ECONOMICE,1,23774019
benedek.tibor@plazmontech.ro,PLAZMONTECH KFT-SÓSKÚT-SUCURSALA HARGHITA,Altele,Harghita,OPERATOR LA FABRICAREA CONSERVELOR DIN LEGUME SAU FRUCTE,1,40238592
bianca.harasim@cupio.ro,CUPIO INTERNATIONAL SRL,COMERT,Hunedoara,LUCRATOR GESTIONAR,2,29461428
bianca.mares@resco.ro,RESCO DISTRIBUȚIE LOGISTICĂ S.A.,COMERT,,Conducător auto transport rutier de mărfuri,2,48268670
bianca.potyesz@cupio.ro,RAZADI SRL,COMERT,Timiș,AMBALATOR MANUAL,3,19051501
bianca.vierita@coliseum.ro,COLISEUM SA,COMERT,Dolj,Conducător auto transport rutier de mărfuri,1,5057024
birou.asistenti.personali@social2.ro,DGASPC SECTOR 2,ASISTENTA SOCIALA,Municipiul București,ASISTENT PERSONAL AL PERSOANEI CU HANDICAP GRAV,8,17093691
birou.contabilitate@district-sud.ro,DISTRICT SUD SRL,COMERT,Dolj,STIVUITORIST,2,26126852
boca.carmen@actrading.ro,A C TRADING SRL,Producție / Logistică,Mureș,CONTROLOR CALITATE,1,25234945
bogdan.boian@distrigoods.ro,DISTRI GOODS SRL,Altele,Argeș,LUCRATOR COMERCIAL,2,42242859
br@fereastra1.ro,METROPOLIS SRL,Producție / Logistică,Vaslui,AGENT DE VÂNZARI,1,17004031
brasov@liviodario.ro,LIVIODARIO SRL,Altele,Brașov,Conducator auto transport rutier de persoane,1,11070834
brutarie@painvivant.ro,ARTIBRUN SRL,Altele,Galați,BRUTAR,2,33034395
bucharest.colosseum@lcwaikiki.com,LC WAIKIKI RETAIL RO SRL,Retail,Municipiul București,CASIER,1,26054330
bucharest.grandarena@lcwaikiki.com,LC WAIKIKI RETAIL RO SRL,Retail,Municipiul București,LUCRATOR COMERCIAL,1,26054330
budescu.maria@pomadil.ro,POMADIL COM SRL,COMERT,Gorj,LUCRATOR GESTIONAR,1,3846919
bv.ojpc_sb@ro.post,COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA BRASOV,Servicii transport / curierat,Sibiu,FACTOR POSTAL,1,40723325
c.manta@itc-logistic.ro,ITC LOGISTIC ROMANIA SRL,Producție / Logistică,Timiș,LUCRATOR GESTIONAR,1,18779419
calin.rosu@corexgroup.com,COREX ROMANIA SRL,Producție / Logistică,Bihor,STIVUITORIST,1,24652923
calin@eurobil.ro,EUROBIL IMPEX SRL,Altele,Cluj,FRIGORIFERIST (FRIGOTEHNIST),2,4791544
calina.sebe-gotu@exclusivcatering.ro,EXCLUSIV CATERING SRL,RESTAURANTE,Cluj,BUCATAR,1,14442363
calitate@biogenvet.ro,BIOGEN VET SRL,Altele,Bacău,MANIPULANT MARFURI,3,37677709
camelia.fatol@saraexpert.ro,Plomonas Coffee srl,RESTAURANTE,Arad,FEMEIE DE SERVICIU,1,35706220
camelia.luta@karcher.com,CER CLEANING EQUIPMENT SRL,Producție / Logistică,,AMBALATOR MANUAL,10,19306966
camelia.marian@aramis.com.ro,ARAMIS INVEST SRL,PRODUCTIE MOBILA,Sălaj,MUNCITOR NECALIFICAT ÎN INDUSTRIA CONFECTIILOR,10,6793010
camelia@coloradea.com,Coloradea Srl,Producție / Logistică,Bihor,CONFECTIONER ARTICOLE HÂRTIE,1,52333822
caminvarstnici@apulum.ro,CAMINUL PENTRU PERSOANE VARSTNICE ALBA IULIA,ASISTENTA SOCIALA,Alba,FIZIOKINETOTERAPEUT,1,9778945
cariere@binarelectronics.ro,S.C. BINAR HOLDING S.R.L.,Specialiști / Tehnicieni,Maramureș,TEHNICIAN ELECTRONICA,2,38827995
cariere@continentlhotels.ro,CONTINENTAL HOTELS S.A.,Turism / Alimentație,Municipiul București,INGINER ELECTRICIAN,1,1559737
cariere@depozitprodsid.ro,Virsal Systems SRL,COMERT,Prahova,MANIPULANT MARFURI,2,12093810
cariere@kredianis.ro,KREDIANIS SRL,COMERT,Vaslui,CASIER,5,28464540
cariere@next-gen.ro,NEXTGEN COMMUNICATIONS SRL,IT / Telecomunicații,Constanța,TEHNICIAN RETELE DE TELECOMUNICATII,1,24166583
cariere@provident.ro,PROVIDENT FINANCIAL ROMANIA INSTITUTIE FINANCIARA NEBANCARA SA,Vânzări,Municipiul București,AGENT DE VÂNZARI,4,18346091
cariere@som.ro,MEDEX VITAL SERV SRL,Medicină / Sănătate /Psihoterapie,Mureș,INFIRMIER/INFIRMIERA,4,38192027
carla@digitalhunt.co,KIRMAN ADRIANA -CARLA,Au pair / Babysitter / Curățenie,Municipiul București,MENAJERA,1,2910416284571
carmen.radu@ro.post,COMPANIA NATIONALA POSTA ROMANA SA SUCURSALA PLOIESTI,Altele,Prahova,ADMINISTRATOR BAZE DE DATE,1,40706456
carmen.spulber@axaplus.ro,AXA PLUS SRL,Construcții / Instalații,Brașov,CONFECTIONER TÂMPLARIE DIN ALUMINIU SI MASE PLASTICE,3,10660810
carmen@promotop.eu,PROMOTOP MKT SRL,Producție / Logistică,Iași,OPERATOR PRESA DE TRANSFER TERMIC,1,16562293
catalina.onu@aaylex.com,AAYLEX ONE S.A.,Agricultură / Zootehnie,Buzău,MUNCITOR NECALIFICAT ÎN AGRICULTURA,10,45303187
catherine@distral.ro,SMIRO TOUR SRL,Turism / Alimentație,Cluj,AJUTOR OSPATAR,2,23966294
cbadulescu@ccninsaat.com,CCN ALTYAPI YATIRIMLARI VE INȘAAT ANONIM ȘIRKETI ANKARA SUCURSALA BUCURESTI,Construcții / Instalații,Municipiul București,FUNCTIONAR ECONOMIC,1,45820167
cbanv@cbanordvest.ro,CBA NORD VEST SRL,COMERT,Maramureș,LUCRATOR COMERCIAL,1,14636912
ceahlau@mecanicaceahlau.ro,MECANICA CEAHLAU SA,Altele,Neamț,LACATUS MECANIC,1,2045262
cerasela.pichineru@hrg-hotels.com,COMTEL FOCUS SA,Turism / Alimentație,Ilfov,ÎNGRIJITOR SPATII HOTELIERE,1,5223011
certexpert@innofa.com,INNOFA ROMANIA SRL,Producție / Logistică,Sibiu,CONFECTIONER-ASAMBLOR ARTICOLE DIN TEXTILE,4,51553498
cfl@ltpgroup.com,LTP BALKAN SRL,FABRICAREA ARTICOLELOR DE IMBRACAMINTE,Botoșani,"OPERATOR CONFECTIONER INDUSTRIAL ÎMBRACAMINTE DIN TESATURI, TRICOTAJE, MATERIALE SINTETICE",4,46026823
chiruta.george@dornaecohouse.ro,SC DORNA ESCAPE SRL,RESTAURANTE,Suceava,OSPATAR (CHELNER),2,43186900
cimhr@cognizant.com,COGNIZANT TECHNOLOGY SOLUTIONS ROMANIA S.R.L.,Altele,Cluj,CONSULTANT ÎN INFORMATICA,1,10938454
claudia.panait@euromellis.ro,EUROMELLIS NATURA S.R.L.,Producție / Logistică,Prahova,"USCATOR-DESHIDRATOR LEGUME, FRUCTE",1,33365240
claudia@furniturevision.ro,FURNITURE VISION SRL,Altele,Ilfov,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",1,32586286
claudia@minamuseum.com,LE BRUNCH GOURMET SRL,RESTAURANTE,Municipiul București,AJUTOR BUCATAR,1,35983329
claudiu.oprea@cgtrans.com,OPREA CLAUDIU-IONUT,Au pair / Babysitter / Curățenie,Municipiul București,GUVERNANTA,1,1961112384978
claudiu@euphoria.ro,EUPHORIA PUB SRL,RESTAURANTE,Cluj,LUCRATOR BUCATARIE (SPALATOR VASE MARI),3,26538322
climapro.srl@gmai.com,CLIMA PRO SRL,Construcții / Instalații,Olt,INGINER INSTALATII PENTRU CONSTRUCTII,1,21436100
