email,company_name,sector,county,job_title,positions_available,company_org_number
alexandra.mares@iseo.com,FERONERIA PROD SA,Producție / Logistică,Arad,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",5,6340702
alexandra.niculae@terragaz.ro,TERRA GAZ CONSTRUCT SRL,Construcții / Instalații,Ilfov,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST),4,10376216
alexandra.opincariu@gruposese.com,TRANS SESE SRL,Servicii transport / curierat,Cluj,Conducător auto transport rutier de mărfuri,20,22116694
alexandra.opris@generali.ro,GENERALI ROMANIA ASIGURARE REASIGURARE SA,Altele,Municipiul București,CONSILIER VÂNZARI ASIGURARI,30,2886621
alexandra.prozan@sefar.com,SEFAR SRL,Altele,Mureș,"CONFECTIONER, PRELUCRATOR ÎN INDUSTRIA TEXTILA",3,18019910
alexandra.radu@algeco.com,S.C. ALGECO S.R.L.,Construcții / Instalații,Ilfov,REPREZENTANT COMERCIAL,1,21970426
alexandra.sora@patrumaini.ro,PATRU MAINI CARPATIA SRL,Construcții / Instalații,Prahova,STIVUITORIST,2,31544568
alexandra@delarte.ro,DELARTE FOOD SRL,Altele,Ilfov,LUCRATOR BUCATARIE (SPALATOR VASE MARI),4,30683886
alexandru.bari@draexlmaier.com,DAR DRAXLMAIER AUTOMOTIVE SRL,Producție / Logistică,Hunedoara,SCULER-MATRITER,4,26573648
alexandru.dobroiu@topmop.ro,S.C.TOP DDD STATION SRL,Au pair / Babysitter / Curățenie,Municipiul București,MANAGER PROIECT,1,36297108
alexandru.golea@royalprogaz.ro,ROYAL PROGAZ,COMERT,Bacău,AGENT DE VÂNZARI,1,47362341
alexandru.petric@zooagrotraiani.ro,ZOO AGRO TRAIANI SRL,Agricultură / Zootehnie,Constanța,ÎNGRIJITOR ANIMALE,2,17884769
alexandru.pop@ttbiotec.com,TT BIOTEC SRL,Producție / Logistică,Maramureș,LUCRATOR SORTATOR DESEURI RECICLABILE,3,48435379
alexandru.volniciuc@joysonquin.com,JOYSONQUIN AUTOMOTIVE SYSTEMS ROMANIA S.R.L.,Producție / Logistică,Brașov,OPERATOR LA MASINI-UNELTE SEMIAUTOMATE SI AUTOMATE,8,15756232
alice.erincz@rolcontexpert.ro,ROL CONT EXPERT SRL,Contabilitate / Financiar,Sibiu,CONTABIL,2,15319580
alicomtex@rdslink.ro,ALICOMTEX SRL,SERVICE AUTO,Olt,MECANIC AUTO,5,6193024
alin.balan@gixen.ro,GIXEN SRL,Altele,Călărași,MANIPULANT MARFURI,1,9053467
alin.danila@pttexpress.ro,POȘTA TABITA TOUR,Servicii transport / curierat,Alba,MANIPULANT MARFURI,1,42927194
alin.juca@iuliustown.ro,LIGHT CLEANING SRL,Au pair / Babysitter / Curățenie,Timiș,ÎNGRIJITOR CLADIRI,2,18857550
alin.vlad@real-alma.ro,ECO FERMA 2020 S.R.L.,Construcții / Instalații,Teleorman,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET",20,40615676
alin_bica@supeco.ro,SUPECO INVESTMENT SRL,COMERT,Bihor,LUCRATOR COMERCIAL,1,33067767
alina.andronic@romstal.ro,ROMSTAL IMEX SRL,COMERT,Municipiul București,BRAND MANAGER,2,5990324
alina.bornaz@elcargid.ro,ELCAR GID SRL,SERVICE AUTO,Buzău,ELECTRICIAN AUTO,1,15204785
alina.bucataru@croco.ro,CROCO SRL,Altele,Bacău,AMBALATOR MANUAL,3,6268054
alina.catuneanu@cristim.ro,CRISTIM FAMILY HOLDING S.R.L.,Producție / Logistică,Ilfov,MANIPULANT MARFURI,31,13533870
alina.condria@sioen.com,SIOROM SRL,Producție / Logistică,Iași,CONFECTIONER-ASAMBLOR ARTICOLE DIN TEXTILE,9,30626899
alina.dusleag@carlogisticcompany.ro,CAR LOGISTIC COMPANY SRL,Servicii transport / curierat,Sibiu,Conducător auto transport rutier de mărfuri,1,27169274
alina.filip@droker.ro,DROKER SRL,Producție / Logistică,Alba,CONTROLOR CALITATE,1,12485074
alina.letan@almainstal.ro,ALMA INSTAL AMC SRL,Construcții / Instalații,Ilfov,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET",8,41062639
alina.lung@leoni.com,LEONI WIRING SYSTEMS ARAD SRL,Producție / Logistică,Arad,SPECIALIST MENTENANTA ELECTROMECANICA-AUTOMATICA ECHIPAMENTE INDUSTRIALE,4,11385425
alina.mocanu@pro-therm.ro,SEA STORE S.R.L.,Construcții / Instalații,Prahova,INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE,2,40925260
alina.muresan@vatabai.ro,COMPLEX VAȚA BĂI S.R.L.,RESTAURANTE,Hunedoara,OSPATAR (CHELNER),1,45441376
alina.panait@companymed.ro,COMPANY MED SRL,Producție / Logistică,,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",1,21912891
alina.pogor@omcomould.com,OMCO ROMANIA SRL,Producție / Logistică,Iași,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA,3,17891928
alina.rus@stada.ro,STADA M&D SRL,Altele,Cluj,ANALIST CALITATE,1,32203534
alina.uifalean@visa-sa.com,VISA S.R.L.,Construcții / Instalații,Hunedoara,FAIANTAR,3,6146812
alina.valentina.serban@blum.com,BLUM ROMANIA SRL,Altele,,SPECIALIST ÎN RELATII PUBLICE,1,7177000
alina.vulpe@popeci.ro,S.C. POPECI AUTO S.R.L.,SERVICE AUTO,Dolj,PROGRAMATOR DE SISTEM INFORMATIC,1,14174058
alina@emea-invest.ro,ALEXIA CANDY SHOP SRL,Vânzări,Argeș,CASIER ÎNCASATOR,1,45586326
alina@energometal.ro,ENERGOMETAL TERMOSERV SRL,Construcții / Instalații,Călărași,LACATUS MECANIC,1,36942777
alina@nasulrosu.ro,S.C. NASUL ROSU SRL,Turism / Alimentație,Prahova,LUCRATOR BUCATARIE (SPALATOR VASE MARI),1,33750688
alina@pizzariamaestro.ro,MERAK ADVERTISING SRL,RESTAURANTE,Dâmbovița,VÂNZATOR,2,22268404
alinag@neoclinique.org,NEOCLINIQUE NEOCARE SRL,Altele,,FEMEIE DE SERVICIU,1,25405360
alinamihaela.maftei@nethexcare.ro,NETHEX CARE S.R.L.,IT / Telecomunicații,Bacău,AGENT SERVICII CLIENT,5,47436465
alisa.buzica@camen.ro,ECOGRAFIE 3D SRL,Medicină / Sănătate /Psihoterapie,Dolj,MEDIC SPECIALIST,1,14131812
allegria@oron.ro,ALLEGRIA TURISM SRL,RESTAURANTE,Bihor,AJUTOR OSPATAR,1,31555494
amalia.sobec@holcim.com,SOMACO GRUP PREFABRICATE SRL,Construcții / Instalații,Neamț,FINISOR TERASAMENTE,2,22424341
amalia.stan@schnellleitung.ro,SCHNELL LEITUNG SA,Construcții / Instalații,Prahova,SAPATOR MANUAL,3,13014130
amalia.todoran@euro-center.ro,UPGRADE MEREU SRL,Contabilitate / Financiar,Mureș,CONTABIL,1,51509760
amann@amann.ro,AMANN ROMANIA SRL,Producție / Logistică,Brașov,OPERATOR BOBINATOR-DUBLATOR,6,10790713
ambrus.szabolcs@bayersecurity.ro,S.C. BAYER SECURITY S.R.L.,Altele,Harghita,AGENT DE SECURITATE,2,49073358
ana.androne@globalworker.ro,CORCHIŞ DUMITRU CONSTRUCT SRL,Altele,Timiș,ZIDAR ROSAR-TENCUITOR,5,36596614
ana.barbu@profi.ro,MEGA IMAGE SRL,COMERT,Harghita,VÂNZATOR,17,6719278
ana.chiorean@gormet.eu,GORMET SRL,Producție / Logistică,Cluj,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",30,19105741
ana.condrat@yazaki-europe.com,YAZAKI ROMANIA SRL,Producție / Logistică,Prahova,CONFECTIONER CABLAJE AUTO,77,15412557
ana.coritar@sindtour.ro,SIND TOUR TRADING SRL,Turism / Alimentație,Bihor,SEF RESTAURANT,1,26616528
ana.maier@blackseasuppliers.ro,BLACK SEA SUPPLIER -P.L RESITA,COMERT,Caraș-Severin,INGINER MECANIC,2,16375309
ana.miu@apacalipso.ro,CALIPSO SRL,Producție / Logistică,Ilfov,MANIPULANT MARFURI,10,45274
ana.vlaicu@emia.com,EMIA TECHNOLOGY SERVICES,IT / Telecomunicații,Municipiul București,ADMINISTRATOR DE RETEA DE CALCULATOARE,1,26215836
ana@dafcons.ro,DAF CONSULTING MANAGEMENT S.R.L.,Altele,Ilfov,FEMEIE DE SERVICIU,1,34368598
ana@ig.ro,Infoservice Alba SRL,Specialiști / Tehnicieni,Alba,TEHNICIAN ECHIPAMENTE DE CALCUL SI RETELE,1,52109524
anamaria.burca@indcar.ro,INDCAR BUS INDUSTRIES SRL,Producție / Logistică,Brașov,manager logistica si distributie,1,24065295
anamaria.david@akzonobel.com,AKZO NOBEL COATINGS S.R.L,Contabilitate / Financiar,Municipiul București,CONTABIL-SEF,1,6046627
anamaria.stanila@amersports.com,AMER SPORTS RO S.R.L.,Producție / Logistică,Hunedoara,REGLOR LA MASINI DE PRELUCRARE MASE PLASTICE,3,42090971
anamaria.tanase@termene.ro,TERMENE JUST SRL,Call center / Suport clienți,Prahova,OPERATOR VÂNZARI PRIN TELEFON,1,33034700
anamaria.visan@elaniaresort.ro,APULUM TURISM SRL,Turism / Alimentație,Cluj,LUCRATOR BUCATARIE (SPALATOR VASE MARI),1,30511872
anca-andreea.rus@kaufland.ro,KAUFLAND ROMANIA SCS,Producție / Logistică,Cluj,MANIPULANT MARFURI,1,15991149
anca.buhoci@prodbacsecurity.ro,PRODBAC SECURITY SRL,Altele,Bacău,AGENT DE SECURITATE,5,11827080
anca.dicoi@panfood.ro,PAN FOOD SRL,Altele,Sibiu,AMBALATOR MANUAL,1,14086355
anca.dulgheru@smart-b.ro,"SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT ""SMART"" SA",Inginerie,Municipiul București,INGINER ELECTROENERGETICA,2,14232728
anca.mitea@rud.com,RUD FLORIAN RIEGER SRL,Producție / Logistică,Sibiu,OPERATOR LA MASINI-UNELTE SEMIAUTOMATE SI AUTOMATE,2,15721889
anca.muntean@bergbanat.ro,BERG BANAT SRL,Producție / Logistică,Cluj,STIVUITORIST,3,1815100
anca.oprea@work-finder.eu,JRT COMPANY SRL,RESTAURANTE,Timiș,LUCRATOR BUCATARIE (SPALATOR VASE MARI),3,34292392
anca.saru@assaabloy.com,ASSA ABLOY ROMANIA SRL,Producție / Logistică,Municipiul București,OPERATOR FABRICATIE FLUX,4,10473502
anca.tatomir@flintab.ro,FLINTAB ENGINEERS AND CONSTRUCTORS SRL,Construcții / Instalații,Galați,LACATUS CONSTRUCTII METALICE SI NAVALE,2,29944740
anca@proactiv.ro,PRO ACTIV SRL,COMERT,Dâmbovița,CONSILIER/EXPERT/INSPECTOR/REFERENT/ECONOMIST ÎN COMERT SI MARKETING,1,13821326
ancuta.branzei@alu-menziken.com,ALU MENZIKEN SRL,Producție / Logistică,Satu Mare,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",1,34377820
ancuta.hrit@xannat.ro,XANNAT MINERALS SRL,Altele,Constanța,INGINER MECANIC,1,17391698
ancuta.popa@tekniagroup.com,TEKNIA ORADEA S.R.L.,Altele,Bihor,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",1,28390485
anda.anghelache@reigrup.ro,INFINIT FASHION ATELIER SRL,Turism / Alimentație,Constanța,RECEPTIONER DE HOTEL,1,34639891
anda.iorgulescu@aecom.com,AECOM ENGINEERS & CONSTRUCTORS ROMANIA S.R.L.,Construcții / Instalații,,INGINER CHIMIST,1,15991432
anda.popescu@temenos.com,TEMENOS ROMANIA SRL,IT / Telecomunicații,Municipiul București,INGINER DE SISTEM ÎN INFORMATICA,1,2604305
andonecatalin30@gamil.com,SC CATSTEF IMPEX 2025 SRL,COMERT,Vaslui,LUCRATOR COMERCIAL,3,52449046
andra.goea@aktivship.ro,AKTIV SHIP SRL,Construcții / Instalații,Tulcea,MUNCITOR NECALIFICAT ÎN METALURGIE,30,23239792
andra.miloi@lhel.ro,Axa Estate srl,Construcții / Instalații,Brașov,AGENT SERVICII CLIENT,1,33795663
andra@11th.ro,S.C. AB CONSULTING HUB S.R.L.,Educație / Training / Coaching,Municipiul București,FEMEIE DE SERVICIU,2,41008419
andra_nitoiu@siad.eu,SIAD ROMANIA SRL,Producție / Logistică,Municipiul București,IMBUTELIATOR FLUIDE SUB PRESIUNE,1,8184529
andrada.marincasi@electro-net.ro,SC ELECTRONET CONCEPT SRL,Construcții / Instalații,,ELECTRICIAN ÎN CONSTRUCTII,1,31221578
andradabianca.eni@draexlmaier.com,DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,Producție / Logistică,Timiș,ADMINISTRATOR BAZE DE DATE,1,13551362
andrea.mot@cmdn.ro,MOLDOVAN CARMANGERIE S.R.L.,Vânzări,Cluj,LUCRATOR COMERCIAL,1,6224937
andreea-elena.anghel@ecoprofix.com,ECO PROFIX CONSULTING SRL,Altele,Prahova,SOFER DE AUTOTURISME SI CAMIONETE,3,36997101
andreea.adam@trigo-group.com,TRIGO ROMANIA S.A.,Producție / Logistică,,STIVUITORIST,4,18531331
andreea.albu@kern-liebers.com,KERN LIEBERS ROMANIA SRL,Producție / Logistică,Ilfov,OPERATOR LA MASINI-UNELTE SEMIAUTOMATE SI AUTOMATE,2,18632808
andreea.bogles@varta-ag.com,VARTA MICROBATTERY SRL,Producție / Logistică,Brașov,INGINER DE CERCETARE ÎN ELECTRONICA APLICATA,1,32711524
andreea.bugulet@rikkosteel.ro,SC RIKKO STEEL SRL,Producție / Logistică,Bacău,ÎNCARCATOR-DESCARCATOR,5,24899169
andreea.chitiga@kredianis.ro,KREDIANIS SRL,COMERT,,CASIER,3,28464540
andreea.cioclu@austriajuice.com,AUSTRIA JUICE ROMANIA SRL,Altele,Vaslui,ELECTRICIAN DE ÎNTRETINERE SI REPARATII,1,9549151
andreea.dimitriu@strabag.com,SAT REABILITARE RECICLARE SRL,Construcții / Instalații,Municipiul București,REFERENT,1,26977794
andreea.gantoi@klintensiv.com,KLINTENSIV S.R.L.,Altele,Ilfov,AMBALATOR MANUAL,2,29359178
andreea.haiduc@bf1systems.com,BF SYSTEMS MANUFACTURING SRL,Altele,,CONFECTIONER CABLAJE AUTO,6,38179451
andreea.ionita@xlab.ro,SC X LAB SOLUTIONS SRL,COMERT,Municipiul București,REPREZENTANT COMERCIAL,2,14600285
andreea.pais@polycontact.ro,POLYCONTACT HERMANNSTADT SRL,Producție / Logistică,Sibiu,MONTATOR SUBANSAMBLE,31,33851682
andreea.purcea@romcarbon.com,ROMCARBON SA,Altele,Buzău,MUNCITOR NECALIFICAT LA AMBALAREA PRODUSELOR SOLIDE SI SEMISOLIDE,5,1158050
andreea.rosca@formfleks.ro,FORMFLEKS S.A.,Producție / Logistică,Dolj,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",2,45407935
andreea.sabadac@ipcvending.ro,SC INDPRODCOM SRL,COMERT,Timiș,OPERATOR COMERCIAL,2,2118933
andreea.sovaru@blueriver.ro,BLUE RIVER BUCURESTI 78,Servicii transport / curierat,Municipiul București,Conducător auto transport rutier de mărfuri,200,13400556
andreea.vlasin@unitahotels.ro,UNITA TURISM HOLDING SA,Altele,Timiș,ÎNGRIJITOR SPATII HOTELIERE,1,2094737
andreea@agropec.ro,NAGY ANDREEA ÎNTREPRINDERE INDIVIDUALĂ,Altele,Alba,AGRICULTOR ÎN CULTURI VEGETALE SI CRESCATOR DE ANIMALE,4,29593771
andreea@bellinea.ro,BELLINEA SRL,PRODUCTIE MOBILA,Sălaj,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",10,14543155
andreea@motobikeshop.eu,MOTO BIKE SHOP SRL,COMERT,Timiș,AMBALATOR MANUAL,1,17968231
