name,phone,city,country,sector,employees_count,lead_score,ted_wins,website,call_script_hint
NV CONST SRL,+40727723828,"Loc. Cisnadie, Oras Cisnadie",RO,,70,100,0,,We place qualified workers across multiple sectors
ELRON ENERGY CO S.R.L.,+40734533764,Municipiul Cluj-Napoca,RO,,28,100,0,https://elrongrup.ro,We place qualified workers across multiple sectors
SIGROMID SRL,+40744243149,Municipiul Suceava,RO,,15,100,0,https://www.sigromid-construct.ro,We place qualified workers across multiple sectors
MARVE INDUSTRIES SRL,+40721599061,Bucuresti Sectorul 2,RO,,2,100,0,https://www.tamplarie-cu-termopan.ro,We place qualified workers across multiple sectors
TECHNOFLOOR SRL,+40724934904,Bucuresti Sectorul 1,RO,,11,100,0,www.technofloor.ro,We place qualified workers across multiple sectors
SOFTEHNICA SRL,+40213082100,Bucuresti Sectorul 1,RO,,15,100,0,www.softehnica.ro,We place qualified workers across multiple sectors
HIGHTECH SECURITY ROMANIA S.R.L.,+40728025000,Bucuresti Sectorul 6,RO,,11,100,0,https://www.high-tech.ro,We place qualified workers across multiple sectors
RIMS PRODUCTIE SI CONSTRUCTII SRL,+40264593454,Municipiul Cluj-Napoca,RO,,1,100,0,https://www.rims.ro,We place qualified workers across multiple sectors
DOMENIUL PUBLIC NAPOCA S.A.,+40264552666,Municipiul Cluj-Napoca,RO,,834,100,0,https://www.radpcj.ro,We place qualified workers across multiple sectors
ELCISIGUR SRL,+40760675365,Municipiul Piatra Neamt,RO,,1,100,0,https://www.elcisigur.ro,We place qualified workers across multiple sectors
CONDENZ SRL,+40267318833,Municipiul Sfantu Gheorghe,RO,,4,100,0,https://www.condenz.ro,We place qualified workers across multiple sectors
MAROCO SYSTEMS SRL,+40232273849,Municipiul Iasi,RO,,15,100,0,https://www.maroco.ro,We place qualified workers across multiple sectors
ROMENERGO S.R.L.,+40212330854,Bucuresti Sectorul 5,RO,,0,100,0,www.romenergo.ro,We place qualified workers across multiple sectors
KLIMER SERV SRL,+40233217108,Municipiul Piatra Neamt,RO,,11,100,0,https://www.klimer.ro,We place qualified workers across multiple sectors
DANAVI SRL,+40744501873,Municipiul Iasi,RO,,5,100,0,https://www.danavi.ro,We place qualified workers across multiple sectors
MICONSTRUCT SRL,+40045210394,Municipiul Targoviste,RO,,49,100,0,https://miconstruct.ro,We place qualified workers across multiple sectors
JAMILLA SRL,+40745031098,Municipiul Brasov,RO,,1,100,0,https://www.jamilla.ro,We place qualified workers across multiple sectors
TQM SERVICES SRL,+40728991899,Municipiul Calarasi,RO,,96,100,0,,We place qualified workers across multiple sectors
SAFE HOME INVEST SRL,+40720909091,Bucuresti Sectorul 6,RO,,5,100,0,,We place qualified workers across multiple sectors
NRG GROUP SRL,+40264438966,Municipiul Cluj-Napoca,RO,,4,100,0,https://www.enrg.ro,We place qualified workers across multiple sectors
C&D THERM INSTALATII SRL,+40234578900,Municipiul Bacau,RO,,16,100,0,https://www.cdtherm.ro,We place qualified workers across multiple sectors
PRO INSTAL SRL,+40746074611,Municipiul Piatra Neamt,RO,,49,100,0,https://www.pro-instal.ro,We place qualified workers across multiple sectors
FLEXIK AUTOMATION SRL,+40256291964,Municipiul Timisoara,RO,,234,100,0,https://www.flexik.ro,We place qualified workers across multiple sectors
SIMPLU CONS 2004 SRL,+40722248417,Municipiul Slatina,RO,,27,100,0,https://www.simpluconstruct.ro,We place qualified workers across multiple sectors
R.C.T.I. COMPANY SRL,+40268442726,Municipiul Brasov,RO,,113,100,0,https://rcti.ro,We place qualified workers across multiple sectors
MIRUNA MARIA COM SRL,+40768305222,"Sat Bogdana, Comuna Bogdana",RO,,35,100,0,,We place qualified workers across multiple sectors
UNICOMP S.A.,+40216673440,Bucuresti Sectorul 1,RO,,21,100,0,www.unicomp.ro,We place qualified workers across multiple sectors
ERIN SRL,+40244376614,Municipiul Campina,RO,,5,100,0,https://erin.ro,We place qualified workers across multiple sectors
FRISOMAT SA,+40233231909,Municipiul Piatra Neamt,RO,,41,100,0,https://www.frisomat.ro,We place qualified workers across multiple sectors
RECORD SRL,+40263232746,Municipiul Bistrita,RO,,36,100,0,https://www.recordbistrita.ro,We place qualified workers across multiple sectors
ASCOMEX S.R.L.,+40723812002,Oras Voluntari,RO,,1,100,0,http://ascomex.ro,We place qualified workers across multiple sectors
DRUMURI MUNICIPALE TIMISOARA SA,+40256215005,Municipiul Timisoara,RO,,313,100,0,https://www.sdm-tm.ro,We place qualified workers across multiple sectors
VALORIS SRL,+40250732227,Municipiul Ramnicu Valcea,RO,,53,100,0,https://www.valoris-electrice.ro,We place qualified workers across multiple sectors
SIMTEL TEAM S.A.,+40723306679,Bucuresti Sectorul 6,RO,,98,100,0,https://simtel.ro,We place qualified workers across multiple sectors
ADVANCED TECHNICAL SOLUTIONS AND DESIGN SRL,+40217805064,Bucuresti Sectorul 4,RO,,17,100,0,https://www.atsgroup.ro,We place qualified workers across multiple sectors
PREM SRL,+40261716470,Municipiul Satu Mare,RO,,4,100,0,https://prem.ro,We place qualified workers across multiple sectors
EL MONT SRL,+40722368201,Municipiul Calarasi,RO,,1,100,0,http://www.el-mont.ro,We place qualified workers across multiple sectors
GRADINVEST SRL,+40740151032,Municipiul Bacau,RO,,1,100,0,https://www.gradinvest.ro,We place qualified workers across multiple sectors
ELECTROCON BUILD SRL,+40740844464,Municipiul Bacau,RO,,1,100,0,https://www.fanelectro.ro,We place qualified workers across multiple sectors
BROFIELD SERV S.R.L.,+40752037035,Municipiul Toplita,RO,,0,100,0,https://www.brogroup.ro,We place qualified workers across multiple sectors
DOSETIMPEX SRL,+40256200368,Municipiul Timisoara,RO,,62,100,0,https://www.dosetimpex.ro,We place qualified workers across multiple sectors
ROMADA ROOFING SYSTEM SRL,+40722121314,Bucuresti Sectorul 1,RO,,9,100,0,www.romada.ro,We place qualified workers across multiple sectors
ROYAL HOME DESIGN SRL,+40213114011,"Sat Dudu, Comuna Chiajna",RO,,10,100,0,http://casaroyal.ro,We place qualified workers across multiple sectors
EURODACOS SRL,+40721214060,Municipiul Targu Jiu,RO,,33,100,0,https://www.eurodacos.ro,We place qualified workers across multiple sectors
SALT COM SRL,+40729143833,Municipiul Slobozia,RO,,104,100,0,https://www.saltcom.ro,We place qualified workers across multiple sectors
ACVATOT SRL,+40212520796,Bucuresti Sectorul 2,RO,,560,100,0,https://acvatot.ro,We place qualified workers across multiple sectors
IT.CITY SOLUTIONS S.R.L.,+40757634775,Municipiul Sfantu Gheorghe,RO,,2,100,0,https://www.it-city.ro,We place qualified workers across multiple sectors
RUTEGA SRL,+40371319772,Municipiul Cluj-Napoca,RO,,1,100,0,https://www.rutega.ro,We place qualified workers across multiple sectors
BAUTRUST SRL,+40727302830,Municipiul Cluj-Napoca,RO,,8,100,0,https://www.bautrust.ro,We place qualified workers across multiple sectors
FINEST COM SRL,+40749693727,Municipiul Bacau,RO,,4,100,0,https://www.finestcom.ro,We place qualified workers across multiple sectors
MACOPS SRL,+40266215999,Municipiul Odorheiu Secuiesc,RO,,45,100,0,https://www.macops.ro,We place qualified workers across multiple sectors
ELECTRO GEFIR SRL,+40722437412,Bucuresti Sectorul 6,RO,,6,100,0,https://www.electrogefir.ro,We place qualified workers across multiple sectors
BIT INVEST SRL,+40728028114,Municipiul Targoviste,RO,,208,100,0,https://www.bitinvest.ro,We place qualified workers across multiple sectors
FAPACO SRL,+40244293493,"Sat Homoraciu, Comuna Izvoarele",RO,,402,100,0,https://fapaco.ro,We place qualified workers across multiple sectors
GLASS ROM IMPEX SRL,+40745670899,Bucuresti Sectorul 4,RO,,48,100,0,http://www.aap.ro,We place qualified workers across multiple sectors
RADALEX SRL,+40232235446,Municipiul Iasi,RO,,24,100,0,https://www.radalex.ro,We place qualified workers across multiple sectors
ELECTRIC-TOTAL SRL,+40740202130,Municipiul Slatina,RO,,45,100,0,https://www.electric-total.ro,We place qualified workers across multiple sectors
QUADRIX INTEGRATED S.R.L.,+40725959999,Municipiul Cluj-Napoca,RO,,7,100,0,https://www.quadrix.ro,We place qualified workers across multiple sectors
PROTECTOR FORSIKRING ASA,24 13 17 00,OSLO,NO,other,200,95,302,www.protectorforsikring.no,We place qualified workers across multiple sectors
Porr Construct SRL,+40723475706,Bucuresti Sectorul 2,RO,,1684,95,137,https://porr.ro,We place qualified workers across multiple sectors
CRAYON AS,22 89 10 00,OSLO,NO,other,358,95,134,www.crayon.no,We place qualified workers across multiple sectors
SWECO NORGE AS,67 12 80 00,OSLO,NO,construction,2246,95,117,www.sweco.no,"We place carpenters, electricians, welders for construction projects"
MONTREPCOM SRL,+40265254209,"Loc. Recea, Oras Ungheni",RO,,108,95,109,https://montrepcom.com,We place qualified workers across multiple sectors
SUNRISE MEDICAL AS,66 96 38 00,VESTBY,NO,retail,79,95,90,www.sunrisemedical.no,We place qualified workers across multiple sectors
WSP NORGE AS,93240000,OSLO,NO,construction,419,95,85,www.wsp.com/no,"We place carpenters, electricians, welders for construction projects"
MESTA AS,05200,OSLO,NO,construction,1610,95,85,www.mesta.no,"We place carpenters, electricians, welders for construction projects"
ETAC AS,81 56 94 69,MOSS,NO,retail,48,95,77,www.etac.com/nb-no/norge/,We place qualified workers across multiple sectors
GENERAL TRUST ARGES SRL,+40248223303,Municipiul Pitesti,RO,,497,95,76,https://celly.ro,We place qualified workers across multiple sectors
DRUM CONSTRUCT SRL,+40740936596,Comuna Pericei,RO,,185,95,75,https://drumconstruct.ro,We place qualified workers across multiple sectors
INPUT INTERIOR NORWAY AS,21 02 35 00,OSLO,NO,retail,104,95,72,www.inputinterior.no,We place qualified workers across multiple sectors
NORSK GJENVINNING AS,22 12 96 60,LYSAKER,NO,other,764,95,68,www.norskgjenvinning.no,We place qualified workers across multiple sectors
B BRAUN MEDICAL AS,33 35 18 00,VESTSKOGEN,NO,retail,37,95,66,bbraun.no,We place qualified workers across multiple sectors
EGENES BRANNTEKNIKK AS,38 32 08 00,FLEKKEFJORD,NO,other,59,95,63,www.egenes.as,We place qualified workers across multiple sectors
ARDELEAN COMPANY NORD VEST SRL,+40261854292,Municipiul Baia Mare,RO,,0,95,63,https://acnv.ro,We place qualified workers across multiple sectors
BOUVET NORGE AS,23 40 60 00,OSLO,NO,it,2254,95,58,www.bouvet.no,"We place software developers, IT support, system admins"
NORSK SCANIA AS,22 06 45 00,OSLO,NO,other,1323,95,56,www.scania.no,We place qualified workers across multiple sectors
CAVERION NORGE AS,22 87 40 00,OSLO,NO,trades,1874,95,55,www.caverion.no,We place qualified workers across multiple sectors
EXPERIS AS,22 01 80 00,OSLO,NO,other,451,95,55,www.experis.no,We place qualified workers across multiple sectors
