project_id,project_name,sector,ebrd_amount_eur,total_cost_eur,status,phase,borrower,implementing_entity,contact_person,contact_email,contact_phone,contractor_epc,contractor_email,contractor_phone,contractor_address,co_financiers,env_category,approval_date,notes
52577,GrCF2 W2 - Tbilisi Municipal Services,Municipal Infrastructure,9600000,,Repaying,Implementing,Georgia (Ministry of Finance),Tbilservice Group Ltd + City of Tbilisi,David Bodokia,dbodokia@gmail.com,,,,,"Tbilservice: 7 Kakheti Highway 0182 Tbilisi. www.tbsg.ge",,B,2021-06-22,"Vehicles, machinery, equipment + digital route optimisation + truck pool management for solid waste, street lighting, street cleaning, drainage"
52825,GrCF2 W2 - Tbilisi Solid Waste Extension,Municipal Infrastructure,3030000,,Repaying,Implementing,Georgia (Ministry of Finance),Tbilservice Group Ltd + City of Tbilisi,David Bodokia,dbodokia@gmail.com,+995 577 262020,,,,Tbilservice: 67 Kakheti Highway Tbilisi,,B,2021-06-22,"Extension of leachate system upgrade at Tbilisi landfill from 2 cells to 4 cells"
47582,GrCF - Tbilisi Solid Waste,Municipal Infrastructure,15000000,,Repaying,Implementing,Georgia (sovereign),Tbilservice Group Ltd,Lasha Kajaia,l.kajaia@tbsg.ge,,,,,"Tbilservice Group Tbilisi",,B,2018-09-11,"Solid waste vehicles/machinery, transfer station upgrade, landfill rehabilitation. -18% CO2 (9596->7895 t/year). EUR 500K EU waste strategy TC"
52887,GrCF2 W1 - Adjara Solid Waste Phase II,Municipal Infrastructure,19000000,25000000,Disbursing,Implementing,Georgia (Ministry of Finance),Adjara Waste Management Company Ltd,Nodar Kontselidze,ajarawmcompany@gmail.com,,,,,"124 Vakhtang Gorgasali Street Batumi 6010",,B,2022-12-13,"New sanitary landfill in Adjara + waste sorting/treatment equipment. Stops disposal at non-EU-compliant dumpsites in Kobuleti and Batumi. EUR 2.47M implementation support TC"
53757,GrCF2 W2 - Project Medea (GGU Water),Municipal Infrastructure,40000000,300000000,Signed,Implementing,JSC Georgia Global Utilities (GGU),Georgia Global Utilities,Anastasia Asatiani,Ir@ggu.com,+995 322 931 111,,,,GGU: Medea (Mzia) Jugeli St N.10 0179 Tbilisi. www.ggu.com. Ownership: Aqualia (FCC Aqualia SA) 80% + Georgia Capital 20%,,B,2024-07-17,"EBRD subscribes USD 40M in USD 300M green Eurobond. Water network infrastructure improvements in Tbilisi. GGU supplies water/wastewater to 1.4M people. Second green bond under EBRD Green Cities"
51207,GrCF2 W2 - Tbilisi Bus Extension,Municipal Infrastructure,80000000,,Repaying,Implementing,Georgia (Ministry of Finance),Tbilisi Transport Company Ltd,Giorgi Dolidze,gdolidze@metro.ge,+995 577 228278,,,,Tbilisi Transport Company Station Square Tbilisi 0112. http://ttc.com.ge,,B,2019-11-27,"~modern 12m low-floor CNG buses + bus depot rehabilitation/modernisation. 2 tranches: EUR 65M + EUR 15M. EUR 975K TC for due diligence + reform + gender"
37560,Kobuleti Water,Municipal Infrastructure,3700000,18300000,Repaying,Completed,Georgia (sovereign),Kobuleti Water Company,,,,,,,"Kobuleti Municipality",,B,2007-07-10,"Water/wastewater network rehab, water meters, reservoir, wastewater treatment plant. EUR 1.5M original + EUR 2.2M extension for WWTP cost overrun"
36538,Adjara Solid Waste Project,Municipal Infrastructure,3000000,10000000,Complete,Completed,Georgia (sovereign),Hygiena 2009 Ltd,,,,,,,"Autonomous Republic of Adjara",Sweden/Sida (SEK 42M grant),A,2010-02-09,"New sanitary landfill at Tsetskhlauri + gas extraction + closure of 2 old landfills + recycling facility. EBRD Tbilisi: +995 32 2447400"
47431,Gori Wind Power Plant,Energy,12000000,34300000,Complete,Completed,Georgia,Qartli Windfarm LLC,Tornike Kazarashvili,t.kazarashvili@gedf.com.ge,+995 599 88 44 24,Vestas (turbines),,,GEDF: 8 Baratashvili Street 4th floor 0105 Tbilisi,OIKOCREDIT + Triodos Groenfonds + Green for Growth Fund,B,2015-12-16,"First wind farm in South Caucasus. 20.7 MW, 6x Vestas V117-3.45MW. Operational since 2017. ~88 GWh/year actual output (exceeded forecast). Owned by GEDF (state)"
51392,GrCF2 W1 - Tbilisi Metro Project,Municipal Infrastructure,65000000,75000000,Complete,Completed,Georgia (Ministry of Finance),Tbilisi Transport Company Ltd,Gvanca Pirpirashvili,GPirpirashvili@metro.ge,+995577082151,,,,Tbilisi Transport Company 2 Station Square Tbilisi 0112,Green Climate Fund,B,2020-04-23,"~40 modern metro cars (10 train sets) + metro depot and tunnel rehabilitation. Completed"
46778,Nenskra HPP,Energy,214000000,1083000000,Cancelled,Cancelled,JSC Nenskra Hydro,Korea Water Resources Corp (K-Water),Young-Tak Choi,,+995-322-43-0419,,,,Mestia Municipality Svaneti region,AIIB + EIB,A,2018-01-31,"280 MW on Nenskra/Nakra rivers, 130m dam. CANCELLED. Non-compliant findings by EBRD/EIB on indigenous rights, cultural heritage, stakeholder consultation. K-Water (South Korea) 90% + Partnership Fund 10%"
48104,GrCF - Batumi Bus,Municipal Infrastructure,5500000,,Repaying,Implementing,Georgia (Ministry of Finance),Batumi Autotransport LLC,Giorgi Koncelidze,info@batauto.ge,+995422247676,,,,13 Sulkhan-Saba Orbeliani Str. Batumi,E5P Fund (EUR 1.5M grant),B,,"10 electric buses for Batumi. Completed delivery. Corporate Development Programme + Green City Action Plan for Batumi"
