email,name,country,city,phone,category,source
aakvipt@online.no,ÅSMUND FJELLHEIM KVIPT,Norway,FYRESDAL,,Drift av vandrerhjem og ferieleiligheter,norway_emails
aalborg@flammen.com,Restaurant Flammen,Denmark,9000 Aalborg,+4529866344,restaurants,denmark_emails
aalbu39@yahoo.com,DOMENIUL MAGURA,Romania,"Com. Poduri, Sat Poduri",,CASUTE TIP CAMPING,horeca_ro
aalcamping@aalcamping.no,ASLE STØLEN,Norway,ÅL,,Drift av campingplasser,norway_emails
aamnes.camping@monet.no,ÅMNES CAMPING v/Arnhild J Limstrand,Norway,ENGAVÅGEN,75 75 13 50,Drift av campingplasser,norway_emails
aandiikaa@yahoo.com,KATI GUEST HOUSE,Romania,"Com. Corund, Sat Corund",,CAMERE DE INCHIRIAT,horeca_ro
aandreeamladin@gmail.com,CITY CENTRE PREMIUM 2,Romania,"Mun. Bucuresti, Sector 1",,,horeca_ro
a_ani67@yahoo.com,CORNELIA,Romania,"Com. Mahmudia, Sat Mahmudia",,PENSIUNE TURISTICA,horeca_ro
aanund.nevestveit@hesbynett.no,HYLLANDSFOSS CAMPING Ånund Drotning Nevestveit,Norway,VINJE,51 89 12 41,Drift av campingplasser,norway_emails
aapent@online.no,LOFTHUS SAMVIRKELAG LL,Norway,OSLO,22 04 96 67,Drift av restauranter,norway_emails
aaperjeru@gmail.com,TRES CHIC CONFORT APARTAMENT NO.8,Romania,"Mun. Bucuresti, Sector 4",,,horeca_ro
aapmoldova@gmail.com,Asociatia Agentiilor de Publicitate,MD,,+37378452222,,companies
aaren_gmbh@hotmail.com,Restaurant Pizzeria La Perla,,,+41332218113,,companies
aarhus@asia-restaurant.dk,ASIA RESTAURANT AARHUS ApS,DK,,+4587475555,,companies
aarhus@bowlnfun.dk,Bowl'n'Fun Aarhus,Romania,,+4581808736,HORECA,horeca_ro
aaros@aaros.no,ÅROS MOTELL CAMP HOLDING AS,Norway,SØGNE,,Drift av campingplasser,norway_emails
aarsund@gmail.com,"HAMMARVIK FERIEHUS, NILS IVAR ÅRSUND",Norway,MJOSUNDET,71 64 64 64,Drift av vandrerhjem og ferieleiligheter,norway_emails
aasengrethe@gmail.com,CHESSORAMA AS,Norway,OSLO,988 17 615,Drift av restauranter,norway_emails
aashild.daleng@hotmail.com,ROLO RESTAURANTDRIFT AS,NO,TROMSØ,90 88 76 78,Drift av restauranter,companies
aasmsand@frisurf.no,SANDVIK CAMPING NEDSTRAND AS,Norway,NEDSTRAND,52 77 40 69,Drift av campingplasser,norway_emails
aasmund@walaker.com,Walaker Hotell As,Romania,,,HORECA,horeca_ro
aasvold@outlook.com,PROTEINRIK MAT ÅSVOLD,Norway,BERGEN,994 38 875,Catering for arrangementer,norway_emails
aa@tet.no,PIZZA HOLDING AS,NO,OSLO,48 12 27 22,Drift av restauranter,companies
aatgaum@aatgaum.no,ÅTGAUM AS,Norway,STORD,473 16 977,Drift av restauranter,norway_emails
aazzyy007@hotmail.com,HOUSE OF STREET FOODS AS,Norway,OSLO,401 08 933,Drift av mobile serveringssteder,norway_emails
abadea124@icloud.com,ILARIA,Romania,Oras Navodari,,APARTAMENTE DE INCHIRIAT,horeca_ro
abafilprod@gmail.com,SEVA,Romania,Mun. Campina,,HOTEL,horeca_ro
abagiuradu@yahoo.com,LUXURY RADOX AIRPORT BUCHAREST 2,Romania,Oras Otopeni,,,horeca_ro
abagiurazvan02@gmail.com,LUXURY RADOX STUDIO BUZAU CITY CENTER,Romania,Mun. Buzau,,CAMERE DE INCHIRIAT,horeca_ro
abagiu_tase@yahoo.com,HARMONY,Romania,"Com. Costinesti, Sat Costinesti",,CAMERE DE INCHIRIAT,horeca_ro
abanoss@abv.bg,АБАНОС 90,Bulgaria,Стара Загора,042/ 62 02 43,kafe-chaj,bg_business_catalog
abarlev@mail.bg,БАРЛЕВ ЕООД,Bulgaria,,,,bg_horeca_campaign
abasfalva@kukullo.ro,ABASFALVA,Romania,"Com. Martinis, Sat Aldea",,PENSIUNE TURISTICA,horeca_ro
abator.bio@gmail.com,LONDON PUB,,Mun. Vaslui,,,companies
ab@backyardliving.dk,Backyard Living,Romania,,,HORECA,horeca_ro
abbara1964@gmail.com,ABBARA ALI,Romania,"",+40755062117,,lucian_horeca
abbasovzaka@gmail.com,DIN-SHAURMAN ABBASOV,Norway,BURFJORD,,Drift av restauranter,norway_emails
abc.rentals20@gmail.com,CUTE,Romania,"Mun. Bucuresti, Sector 4",,,horeca_ro
abdullahalshikh7007@icloud.com,PIZZA PALMERO AS,NO,OSLO,939 52 447,Drift av restauranter,companies
abdullah.nazari@madlene.ro,UNO INTERNATIONAL MANAGEMENT E,Romania,Ilfov > CORNETU > CORNETU,+40725860952,Turism / Alimentatie,horeca_ro
abebbitaw@gmail.com,HEDAD MAT OG SERVICE,Norway,OSLO,,Drift av restauranter,norway_emails
abeggen@gmail.com,ANNE-BRITT EGGEN,Norway,SNÅSA,482 96 029,Drift av restauranter,norway_emails
abelbolcsoje@gmail.com,ABEL BOLCSOJE,Romania,"Com. Lupeni, Sat Lupeni",,PENSIUNE TURISTICA,horeca_ro
abelmerloiu7777@gmail.com,KRONE STUDIO,Romania,Mun. Brasov,,CAMERE DE INCHIRIAT,horeca_ro
a.bertocco@yahoo.it,TENORO,Romania,"Com. Baisoara, Sat Frasinet",,CAMERE DE INCHIRIAT,horeca_ro
abicontarineli@gmail.com,"",Romania,"",+40741750421,,lucian_horeca
abigail.nistor@yahoo.com,ABI'S HOME,Romania,Oras Ocna Mures,,CAMERE DE INCHIRIAT,horeca_ro
abigel.balint@yahoo.com,CASA RELIKVIA,Romania,Oras Sovata,,CAMERE DE INCHIRIAT,horeca_ro
abimar@yahoo.com,ABIMAR 5,Romania,"Oras Beclean, Sat Figa",,CAMERE DE INCHIRIAT,horeca_ro
abjarghov@hotmail.com,MEMTHAIMAT BJARGHOV,Norway,SØMNA,90943406,Catering for arrangementer,norway_emails
ablizsunay@gmail.com,SEAGLOO GLAMPING,Romania,"Com. Costinesti, Sat Costinesti",,CAMPING,horeca_ro
a_borzea@yahoo.com,PASTRAVARIA VISTISOARA,Romania,"Com. Vistea, Sat Vistisoara",,PENSIUNE AGROTURISTICA,horeca_ro
a.bratu76@gmail.com,CASA ORIZONT,Romania,"Com. Costinesti, Sat Schitu",,,horeca_ro
abrudangheorghedan@yahoo.com,ABRUDAN,Romania,"Com. Margau, Sat Scrind-Frasinet",,CAMERE DE INCHIRIAT,horeca_ro
abrudanionel77@gmail.com,CASUTE ZAVOI BULZ,Romania,"Com. Bulz, Sat Bulz",,CAMERE DE INCHIRIAT,horeca_ro
absoluthateg@gmail.com,ABSOLUT RESIDENCE HATEG,Romania,Oras Hateg,,CAMERE DE INCHIRIAT,horeca_ro
abso@morsoe.dk,Morso Kommune,Denmark,7900 Nykøbing Mors,+4599706356,"Cafeér, værtshuse, diskoteker mv.",denmark_emails
abu_hane@hotmail.com,KAFEDRIFT BODØ AS,Norway,BODØ,45 06 14 32,Drift av restauranter,norway_emails
a.bulgarasu2018@gmail.com,PROIECTLOTUS SRL,Romania,"Vaslui > MUNICIPIUL HUSI > HUSI, L3",+40766545219,Turism / Alimentatie,horeca_ro
aby@agillix.dk,Fjerritslev,Denmark,,+4596351204,Restauranter,denmark_emails
acacias@zfv.ch,UBS Restaurant Acacias,,,+41223759096,,companies
academyhome23@gmail.com,ACADEMY HOME,Romania,Mun. Focsani,,CAMERE DE INCHIRIAT,horeca_ro
acasainvoronet@gmail.com,ACASA IN VORONET,Romania,Oras Gura Humorului,,CAMERE DE INCHIRIAT,horeca_ro
acata12@yahoo.com,MIDNIGHT BLUE,Romania,"Mun. Mangalia, Loc. Olimp",,APARTAMENTE DE INCHIRIAT,horeca_ro
acaut1@yahoo.com,LA STRUTI 2,Romania,Oras Targu Neamt,,CAMERE DE INCHIRIAT,horeca_ro
accargenta@gmail.com,LA PRINCIPESSA,Romania,Mun. Oradea,,APARTAMENTE DE INCHIRIAT,horeca_ro
accent_design@yahoo.com,ACCENT DESIGN,Romania,Mun. Deva,,CAMERE DE INCHIRIAT,horeca_ro
accesorii.bijuterii@gmail.com,SUNSHINE,Romania,"Mun. Bucuresti, Sector 2",,APARTAMENTE DE INCHIRIAT,horeca_ro
accesoriiphone@gmail.com,MAURER APARTMENT,Romania,Mun. Constanta,,APARTAMENTE DE INCHIRIAT,horeca_ro
ac@chicagoburger.dk,Chicago Burger,Romania,,+4561693545,HORECA,horeca_ro
acch@sinatur.dk,Skarrildhus Sinatur Hotel \u0026 Konference,DK,,+4597196233,,companies
accons@gmail.com,ROXARET S.R.L.,Romania,,0772289714,,romania_emails
account@ayospeed.ro,AYO SPEED AUTO SRL,Romania,"",+40775354738,,lucian_horeca
accounting@burgervan.ro,"",Romania,Bucuresti Sectorul 6,"",,lucian_horeca
accounting@europeantractioner.com,MIRIFIQUE GRILL S.R.L.,RO,,+40720513363,Transport,companies
accounting@homey.com.ro,STR 89B,Romania,"Oras Voluntari, Sat Voluntari",,,horeca_ro
accounting@thaiairways.no,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LTD,NO,OSLO,23 11 88 88,Andre tjenester tilknyttet lufttransport,companies
account@norwaysbest.com,FLÅM HOTELL AS,NO,FLÅM,,Utleie av egen eller leid fast eiendom,companies
accounts@euroeastventures.com,STUDIO LONDRA,Romania,"Mun. Bucuresti, Sector 3",,,horeca_ro
accueil@le-chatard.fr,HÔTEL RESTAURANT LE CHATARD,FR,SARCEY,,HÔTEL DE TOURISME 3 étoiles,companies
ach.catalin@yahoo.com,CASA PATRY,Romania,"Oras Calimanesti, Loc. Jiblea Noua",,CAMERE DE INCHIRIAT,horeca_ro
a.chereces95@gmail.com,ROAPART B2 HOME,Romania,Oras Navodari,,APARTAMENTE DE INCHIRIAT,horeca_ro
a.chereches95@yahoo.com,SUNSET FOR RENT,Romania,Oras Navodari,,CAMERE DE INCHIRIAT,horeca_ro
achieve.romania@gmail.com,SIBIEL CAMPER,Romania,"Oras Saliste, Sat Sibiel",,CAMPING,horeca_ro
achillefs@gmx.de,KALVATN TURISTSENTER Achillefs Goris,Norway,AUSTEFJORDEN,70 05 61 30,Drift av vandrerhjem og ferieleiligheter,norway_emails
achim.andreea@cargo.transit.ro,CENTRUM,Romania,Oras Cisnadie,,CAMERE DE INCHIRIAT,horeca_ro
achim.catalin07@gmail.com,NEW ERA STUDIO NEAR OLD TOWN,Romania,"Mun. Bucuresti, Sector 3",,CAMERE DE INCHIRIAT,horeca_ro
achimciprian97@gmail.com,CASA VERDE,Romania,"Com. Lelese, Sat Cerisor",,PENSIUNE AGROTURISTICA,horeca_ro
achimstefandecebal@gmail.com,WELNESS SPA REGAL CHEF DECEBAL,Romania,"Com. Almasu Mare, Sat Almasu Mare",,PENSIUNE AGROTURISTICA,horeca_ro
achizitii@ansp.gov.md,Agentia Nationala pentru Sanatate Publica,MD,"",022-2- 04-72,,companies
achizitii.crepor21@gmail.com,"I.P. CENTRUL REPUBLICAN EXPERIMENTAL PROTEZARE, ORTOPEDIE SI",MD,,+37369126688,,companies
achizitii@dgacg.md,Directia generala pentru administrarea cladirilor Guvernului Republicii Moldova,MD,,+37322250288,,companies
achizitii_gmereseni@mail.ru,Institutia Publica Gimnaziul Mereseni,MD,,+37368693337,,companies
achizitii@hotelcupidonsaturn.ro,HOTEL CUPIDON S.R.L.,,,,,companies
achizitiinegruzzi@yahoo.com,Institutia Publica Constantin Negruzzi,MD,,+37379970434,,companies
acig_s@yahoo.com,Aurel 2,Romania,Mun. Mangalia,,CAMERE DE INCHIRIAT,horeca_ro
aciovasi@yahoo.com,M & R,Romania,Oras Darabani,,CAMERE DE INCHIRIAT,horeca_ro
aciprian79@gmail.com,ALESSIA,Romania,Mun. Piatra Neamt,,PENSIUNE TURISTICA,horeca_ro
acktion@abv.bg,Хотел Акцион център,Bulgaria,Шумен,054/ 801 081,hoteli-chetiri-zvezdi,bg_business_catalog
aclaudiu04@yahoo.com,CASA ALEXANDRESCU,Romania,"Com. Dragutesti, Sat Dragutesti",,PENSIUNE AGROTURISTICA,horeca_ro
aclaudiu77@yahoo.com,ANCUTA,Romania,"Com. Deda, Sat Bistra Muresului",,APARTAMENTE DE INCHIRIAT,horeca_ro
acme.accommodation@gmail.com,BUCHAREST CENTER VILLA,Romania,"Mun. Bucuresti, Sector 3",,CAMERE DE INCHIRIAT,horeca_ro
acoman@jostgroup.com,TRANSILVANIA TRUCKING COMPANY S.R.L.,Romania,"",+40787572906,,lucian_horeca
acomansb@yahoo.com,SIBIU MY HOME,Romania,Mun. Sibiu,,APARTAMENTE DE INCHIRIAT,horeca_ro
aconstantin75@yahoo.com,SUNNY,Romania,Oras Navodari,,APARTAMENTE DE INCHIRIAT,horeca_ro
acordtotalfm@yahoo.com,CASA MARIA,Romania,"Oras Eforie, Loc. Eforie Nord",,CAMERE DE INCHIRIAT,horeca_ro
acord.trading@gmail.com,BLUE HOLIDAY,Romania,Mun. Piatra Neamt,,,horeca_ro
acrimatopconsulting@gmail.com,ACRIMA STUDIOS 108,Romania,Oras Navodari,,,horeca_ro
acrobatica.pizza@gmail.com,ACROBATICA SRL,Romania,Cluj > MUNICIPIUL CLUJ-NAPOCA,0745996829,,lucian_horeca
acsbucovina@gmail.com,ELLYS RESIDENCE,Romania,Oras Gura Humorului,,CAMERE DE INCHIRIAT,horeca_ro
acsente.romica@gmail.com,CASA ROKO,Romania,"Com. Sfantu Gheorghe, Sat Sfantu Gheorghe",,CAMERE DE INCHIRIAT,horeca_ro
acs_pigal@yahoo.com,STIL,Romania,Mun. Vaslui,,PENSIUNE TURISTICA,horeca_ro
actedocc@gmail.com,MILITARI KEBAB S.R.L.,Romania,Ilfov > CHIAJNA > ROSU,+40722769767,RESTAURANTE,horeca_ro
actif.hotell@gmail.com,ACTIF SPORTELL LIMITED NUF,Norway,ÅL,,Drift av hoteller,norway_emails
activ.advisory@gmail.com,COZY STUDIO UNION,Romania,"Mun. Bucuresti, Sector 3",,CAMERE DE INCHIRIAT,horeca_ro
actualsecretariat@yahoo.com,REALXTIMEBAR S.R.L.,RO,,+40733802407,,companies
actual_srl_barlad@yahoo.com,ACTUAL SRL,Romania,,40749669955,,horeca_ro
acujboaieerica@gmail.com,LARICEA,Romania,"Com. Panaci, Sat Panaci",,CAMERE DE INCHIRIAT,horeca_ro
acvila.apusenilor@gmail.com,ACVILA APUSENILOR,Romania,"Com. Vadu Motilor, Sat Tomutesti",,PENSIUNE AGROTURISTICA,horeca_ro
aczel_boti@yahoo.com,WOODEN BARN,Romania,,,,horeca_ro
adabucharest@gmail.com,CITY VIEW STUDIO,Romania,"Mun. Bucuresti, Sector 1",,,horeca_ro
adacgold@yahoo.com,ADAC BOUTIQUE,Romania,Oras Pantelimon,,,horeca_ro
adalar_tsc_srl@yahoo.com,ORHIDEEA,Romania,Oras Baile Herculane,,PENSIUNE TURISTICA,horeca_ro
adammac012@gmail.com,CHICKENS ONLY GROUP AS,Norway,MOSS,934 54 935,Drift av restauranter,norway_emails
adam.melie@yahoo.com,PICCOLO MONDO,Romania,Oras Techirghiol,,CAMERE DE INCHIRIAT,horeca_ro
adamtulean@gmail.com,TULEAN,Romania,"Com. Romuli, Sat Dealu Stefanitei",,HOSTEL,horeca_ro
adamzvamaveche@gmail.com,ADAMZ,Romania,"Com. Limanu, Sat Vama Veche",,CAMERE DE INCHIRIAT,horeca_ro
adana.pasca@yahoo.com,RICHIS 22,Romania,"Com. Biertan, Sat Richis",,CAMERE DE INCHIRIAT,horeca_ro
adanurroxana@gmail.com,ADANUR HOLLIDAY,Romania,"Com. Crisan, Sat Crisan",,PENSIUNE TURISTICA,horeca_ro
ada.popae@gmail.com,TAN TAN MEDIA SRL,Romania,Municipiul Bucuresti > MUNICIPIUL BUCURESTI > BUCURESTI SECTORUL 3,+40726232232,RESTAURANTE,horeca_ro
adara.interior@abv.bg,Адара-М ООД,Bulgaria,София,02/943 46 87,obzavezhdane-za-hoteli,bg_business_catalog
adaroxyma@yahoo.com,SANGRIA,Romania,Oras Navodari,,,horeca_ro
adavalmin@yahoo.com,IRIS,Romania,Oras Predeal,,CAMERE DE INCHIRIAT,horeca_ro
adavlassrl@yahoo.ro,VELVET HOME,Romania,Mun. Vatra-Dornei,,PENSIUNE TURISTICA,horeca_ro
addy.aionesei@gmail.com,LAKE CAMPING,Romania,"Com. Ceahlau, Sat Ceahlau",,CASUTE TIP CAMPING,horeca_ro
ade499@yahoo.com,ADELIN FISHING HOUSE,Romania,"Com. Pojejena, Sat Divici",,APARTAMENTE DE INCHIRIAT,horeca_ro
ade.bargauanu@gmail.com,Unknown,Romania,,,,horeca_ro
adecapata@gmail.com,ADA BUCHAREST APARTMENT,Romania,"Mun. Bucuresti, Sector 1",,,horeca_ro
ade_cirebea@yahoo.com,LA CAPRIORU BUSCAT,Romania,"Com. Valea Ierii, Sat Valea Ierii",,CAMERE DE INCHIRIAT,horeca_ro
ade.comana@gmail.com,CLASIC RESIDENCE,Romania,"Mun. Brasov, Loc. Poiana Brasov",,APARTAMENTE DE INCHIRIAT,horeca_ro
adecristurism@yahoo.com,MURESUL,Romania,,,,horeca_ro
ade.daria@yahoo.com,CASA MIHALCEA,Romania,"Oras Eforie, Loc. Eforie Nord",,CAMERE DE INCHIRIAT,horeca_ro
adeel_arshad_786@hotmail.com,J&CO BURGERS AS,Norway,OSLO,95182216,Drift av restauranter,norway_emails
adega.alv@gmail.com,Adega restaurant,,,+41223481760,,companies
ade.hulut@gmail.com,GREEN ALLEY APARTMENT,Romania,Mun. Timisoara,,APARTAMENTE DE INCHIRIAT,horeca_ro
adela.accomodation@gmail.com,CENTRAL BRAND NEW BEAUTIFUL ONE BEDROOM APARTMENT,Romania,Bucuresti,,,horeca_ro
adela_banescu@yahoo.com,RESIDENCE FUTURE DELUXE IV,Romania,Mun. Timisoara,,APARTAMENTE DE INCHIRIAT,horeca_ro
adelabucur1980@yahoo.com,ERIKA,Romania,Mun. Sibiu,,APARTAMENTE DE INCHIRIAT,horeca_ro
adelabucur1980@yhaoo.com,ERIKA II,Romania,Mun. Sibiu,,APARTAMENTE DE INCHIRIAT,horeca_ro
adelacristina913@yahoo.com,METROPOLIS ELEGANCE,Romania,"Mun. Bucuresti, Sector 3",,CAMERE DE INCHIRIAT,horeca_ro
adeladragomirescu@yahoo.com,CASA ADELINA,Romania,"Oras Eforie, Loc. Eforie Nord",,CAMERE DE INCHIRIAT,horeca_ro
adela.gheorghe@yahoo.com,LULU S APARTMENT,Romania,Mun. Sibiu,,APARTAMENTE DE INCHIRIAT,horeca_ro
adelamariav@yahoo.com,CASA MARIA,Romania,"Com. Baia de Fier, Sat Baia de Fier",,PENSIUNE AGROTURISTICA,horeca_ro
adelapop66@gmail.com,VINTAGE CITY S.R.L,Romania,"","",,lucian_horeca
adelapopa01@gmail.com,CASA TUDOR,Romania,Mun. Sibiu,,APARTAMENTE DE INCHIRIAT,horeca_ro
adela.stefan@ro.mcd.com,PREMIER RESTAURANTS ROMANIA SRL,,,+40730532044,,companies
Adele.Morris2@wales.nhs.uk,Assistant Catering Manager,,,+443000846285,,companies
adelia.ratiu@accor.com,MERCURE SIBIU ARSENAL,Romania,Mun. Sibiu,,HOTEL,horeca_ro
adelibolya@yahoo.com,CASA KOSZIKLA,Romania,"Com. Zetea, Sat Izvoare",,APARTAMENTE DE INCHIRIAT,horeca_ro
adelina.carmen.paun@gmail.com,Social Taste SRL,Romania,"","",,lucian_horeca
adelina.morar@genexcom.ro,ZENSTAY APART,Romania,HARGHITA,,APARTAMENTE DE INCHIRIAT,horeca_ro
adelina_turlu@yahoo.com,WITH 1 ROOM,Romania,Mun. Galati,,CAMERE DE INCHIRIAT,horeca_ro
adelinavalentina18@yahoo.ro,DELUXE WELLNESS SRL,Romania,Gorj > TURCINESTI > TURCINESTI,+40763686595,Turism / Alimentatie,horeca_ro
adelindariechelarie@gmail.com,LA SOACRA,Romania,"Com. Paltinoasa, Sat Paltinoasa",,CAMERE DE INCHIRIAT,horeca_ro
adelinep82@yahoo.com,COMALIN BISTRO SRL,,,40766229149.0,,companies
adelinmosila@yahoo.com,ALADIN,Romania,Mun. Targu Jiu,,CAMERE DE INCHIRIAT,horeca_ro
adelinpetruta@yahoo.com,CUIB DE SOIM II,Romania,"Com. Poieni, Sat Tranisu",,CAMERE DE INCHIRIAT,horeca_ro
adelisecompany@gmail.com,AGI'S,Romania,Oras Predeal,,APARTAMENTE DE INCHIRIAT,horeca_ro
adelistamatis@interobjects.ro,InterObjects SRL,Romania,"",0731009731,,lucian_horeca
adella_alexa@yahoo.com,DARIUS RENT ALL,Romania,"Mun. Mangalia, Loc. Saturn",,CAMERE DE INCHIRIAT,horeca_ro
adelutza_ade_2008@yahoo.com,CASA CIOBANASUL RANCA,Romania,Oras Novaci,,CAMERE DE INCHIRIAT,horeca_ro
adelvgy@gmail.com,LEONE HOME,Romania,Mun. Timisoara,,CAMERE DE INCHIRIAT,horeca_ro
adelyn_cristian@yahoo.com,CASA LAVINIA,Romania,"Com. Crasna, Sat Aninisu din Vale",,CAMERE DE INCHIRIAT,horeca_ro
adfsimplyali@gmail.com,ADF SIMPLY ALI S.R.L.,Romania,,"",,romania_emails
adi1959@gmail.com,DOXA AIRPORT,Romania,Oras Otopeni,,APARTAMENTE DE INCHIRIAT,horeca_ro
adi4auto@yahoo.com,MAREA NEAGRA,Romania,Oras Navodari,,APARTAMENTE DE INCHIRIAT,horeca_ro
adi5pascu@yahoo.com,MONTEBELLO,Romania,Oras Predeal,,PENSIUNE TURISTICA,horeca_ro
adiaconitei_florin88@yahoo.com,OSCAR,Romania,"Com. Alexandru cel Bun, Sat Bistrita",,HOTEL,horeca_ro
