locality_slug,county_slug,locality_name,county_name,primar,url
dostat,alba,Dostat,Alba,Emilia-Livia Cîndea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/dostat/
farau,alba,Farau,Alba,Ioan Stoia,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/farau/
galda-de-jos,alba,Galda De Jos,Alba,Ioan Neag,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/galda-de-jos/
garbova,alba,Garbova,Alba,Ioan Muntean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/garbova/
garda-de-sus,alba,Garda De Sus,Alba,Călin-Ioan Nicoară,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/garda-de-sus/
hoparta,alba,Hoparta,Alba,Augustin Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/hoparta/
horea,alba,Horea,Alba,Marin Nicola,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/horea/
ighiu,alba,Ighiu,Alba,Dumitru-Cristian Cristea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ighiu/
intregalde,alba,Intregalde,Alba,Victoria Moga,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/intregalde/
jidvei,alba,Jidvei,Alba,Alin Trif,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/jidvei/
livezile,alba,Livezile,Alba,Horaţiu-Nicolae Han,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/livezile/
lopadea-noua,alba,Lopadea Noua,Alba,Marian-Cătălin Indreiu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/lopadea-noua/
lunca-muresului,alba,Lunca Muresului,Alba,Dan-Ionel Hajmaşan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/lunca-muresului/
lupsa,alba,Lupsa,Alba,Ioan-Radu Penciu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/lupsa/
metes,alba,Metes,Alba,Daniel Sânzâiană,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/metes/
mihalt,alba,Mihalt,Alba,Flavius Breaz,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/mihalt/
miraslau,alba,Miraslau,Alba,Aurel Mărginean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/miraslau/
mogos,alba,Mogos,Alba,Mircea-Liviu Macavei,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/mogos/
noslac,alba,Noslac,Alba,Florin-Claudiu Zilahi,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/noslac/
ocna-mures,alba,Ocna Mures,Alba,Silviu Vinţeler,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ocna-mures/
ocolis,alba,Ocolis,Alba,Alin-Alexandru Jucan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ocolis/
ohaba,alba,Ohaba,Alba,Adrian-Nicolae Mihălţan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ohaba/
pianu,alba,Pianu,Alba,Marin-Ioan Petruse,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/pianu/
poiana-vadului,alba,Poiana Vadului,Alba,Beniamin Toader,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/poiana-vadului/
ponor,alba,Ponor,Alba,Bujor Petruţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ponor/
posaga,alba,Posaga,Alba,Aurelia Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/posaga/
radesti,alba,Radesti,Alba,Alin-Teodor Nicula,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/radesti/
ramet,alba,Ramet,Alba,Vasile Raica,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ramet/
rimetea,alba,Rimetea,Alba,Mihail Kiss,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/rimetea/
rosia-de-secas,alba,Rosia De Secas,Alba,Vasile-Nicolae Bogdan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/rosia-de-secas/
rosia-montana,alba,Rosia Montana,Alba,Eugen Furdui,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/rosia-montana/
salciua,alba,Salciua,Alba,Vasile Lombrea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/salciua/
salistea,alba,Salistea,Alba,Ioan Gherman,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/salistea/
sancel,alba,Sancel,Alba,Darius-Alexandru Cipariu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sancel/
santimbru,alba,Santimbru,Alba,Ioan-Iancu Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/santimbru/
sasciori,alba,Sasciori,Alba,Nicolae-Florin Morar,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sasciori/
scarisoara,alba,Scarisoara,Alba,Cristian-Vasile Costea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/scarisoara/
sebes,alba,Sebes,Alba,Dorin-Gheorghe Nistor,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sebes/
sibot,alba,Sibot,Alba,Marinela Oană,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sibot/
sohodol,alba,Sohodol,Alba,Sorin-Constantin Corcheş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sohodol/
sona,alba,Sona,Alba,Teodor-Florin Mărginean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sona/
spring,alba,Spring,Alba,Iulia Stănilă,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/spring/
stremt,alba,Stremt,Alba,Horia-Călin Puşcaş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/stremt/
sugag,alba,Sugag,Alba,Constantin Jinar,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sugag/
teius,alba,Teius,Alba,Mirel-Vasile Hălălai,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/teius/
unirea,alba,Unirea,Alba,Gheorghe Alba,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/unirea/
vadu-motilor,alba,Vadu Motilor,Alba,Nicolae Lazea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/vadu-motilor/
valea-lunga,alba,Valea Lunga,Alba,Dan-Florin Aldea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/valea-lunga/
vidra,alba,Vidra,Alba,Doru Petricele,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/vidra/
vintu-de-jos,alba,Vintu De Jos,Alba,Simona-Maria Cazan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/vintu-de-jos/
zlatna,alba,Zlatna,Alba,Silviu Ponoran,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/zlatna/
almas,arad,Almas,Arad,Aurel-Ginu Costea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/almas/
apateu,arad,Apateu,Arad,Sorin-Ioan Dănila,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/apateu/
arad,arad,Arad,Arad,Laurenţiu-Călin Bibarţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/arad/
archis,arad,Archis,Arad,Nicolae-Pavel Valea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/archis/
barsa,arad,Barsa,Arad,Elena-Luminiţa Toma,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/barsa/
barzava,arad,Barzava,Arad,Gabriel Faur,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/barzava/
bata,arad,Bata,Arad,Cristian-Giorgian Matiaş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/bata/
beliu,arad,Beliu,Arad,Emanuel Horhat-Coraş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/beliu/
birchis,arad,Birchis,Arad,Laurenţiu-Răzvan Paşca,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/birchis/
bocsig,arad,Bocsig,Arad,Teodora-Felicia Abrudean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/bocsig/
brazii,arad,Brazii,Arad,Dorin Catana,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/brazii/
buteni,arad,Buteni,Arad,Mircea-Theodor Braiţi,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/buteni/
carand,arad,Carand,Arad,Gligor Costuţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/carand/
cermei,arad,Cermei,Arad,Ioan-Daniel Vesa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/cermei/
chisindia,arad,Chisindia,Arad,Ionel Paşca,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/chisindia/
chisineu-cris,arad,Chisineu Cris,Arad,Ovidiu-Ioan Guleş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/chisineu-cris/
conop,arad,Conop,Arad,Petrica Moldovan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/conop/
covasant,arad,Covasant,Arad,Marius-Silviu Oneţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/covasant/
craiva,arad,Craiva,Arad,Ioan Coşa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/craiva/
curtici,arad,Curtici,Arad,Ioan-Bogdan Ban,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/curtici/
dezna,arad,Dezna,Arad,Ionică-Marcel Lucoaie,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/dezna/
dieci,arad,Dieci,Arad,Ştefan-Petru Galea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/dieci/
dorobanti,arad,Dorobanti,Arad,Robert-Cristian Vasvary,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/dorobanti/
fantanele,arad,Fantanele,Arad,Nicolae Dolha,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/fantanele/
felnac,arad,Felnac,Arad,Ioan Maliţa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/felnac/
frumuseni,arad,Frumuseni,Arad,Aurelian-Reginald Andronic,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/frumuseni/
ghioroc,arad,Ghioroc,Arad,Corneliu Popi-Morodan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/ghioroc/
graniceri,arad,Graniceri,Arad,Petru-Claudiu Bătrânuţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/graniceri/
gurahont,arad,Gurahont,Arad,Flavius-Beniamin Moţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/gurahont/
halmagel,arad,Halmagel,Arad,Nicolae-Miron Golea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/halmagel/
halmagiu,arad,Halmagiu,Arad,Adrian Ţoca,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/halmagiu/
hasmas,arad,Hasmas,Arad,Cornel Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/hasmas/
ignesti,arad,Ignesti,Arad,Ioan-Marinel Urs,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/ignesti/
ineu,arad,Ineu,Arad,Călin-Ilie Abrudan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/ineu/
iratosu,arad,Iratosu,Arad,Anton-Florin Baniciu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/iratosu/
lipova,arad,Lipova,Arad,Florin-Fabius Pera,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/lipova/
livada,arad,Livada,Arad,Adrian-Florin Ţolea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/livada/
macea,arad,Macea,Arad,Marian-Ioan Făşie,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/macea/
misca,arad,Misca,Arad,Florian-Florentin Albu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/misca/
moneasa,arad,Moneasa,Arad,Constantin-Doru Miron,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/moneasa/
nadlac,arad,Nadlac,Arad,Mircea-Laurenţiu Onea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/nadlac/
olari,arad,Olari,Arad,Petru Răuţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/olari/
pancota,arad,Pancota,Arad,Dan-Ştefan Pocrişer,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/pancota/
paulis,arad,Paulis,Arad,Saul Sigheti,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/paulis/
pecica,arad,Pecica,Arad,Petru Antal,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/pecica/
peregu-mare,arad,Peregu Mare,Arad,Tiberiu Nagy,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/peregu-mare/
petris,arad,Petris,Arad,Ionel-Gheorghe Berari,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/petris/
pilu,arad,Pilu,Arad,Casian Petru Toma,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/pilu/
plescuta,arad,Plescuta,Arad,Viorel-Marius Groza,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/plescuta/
sagu,arad,Sagu,Arad,Emilia Brăneţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sagu/
santana,arad,Santana,Arad,Daniel-Sorin Tomuţa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/santana/
savarsin,arad,Savarsin,Arad,Ionel-Mirel Ilie,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/savarsin/
sebis,arad,Sebis,Arad,Cristian Feieş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sebis/
secusigiu,arad,Secusigiu,Arad,Gheorghe Grad,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/secusigiu/
seitin,arad,Seitin,Arad,Dorin Florea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/seitin/
seleus,arad,Seleus,Arad,Cristian Branc,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/seleus/
semlac,arad,Semlac,Arad,Letiţia Stoian,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/semlac/
sepreus,arad,Sepreus,Arad,Ioan Pintean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sepreus/
sicula,arad,Sicula,Arad,Nuţu Valea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sicula/
silindia,arad,Silindia,Arad,Rovin Mariş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/silindia/
simand,arad,Simand,Arad,Florin-Liviu Dema,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/simand/
sintea-mare,arad,Sintea Mare,Arad,Ciprian Ban,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sintea-mare/
siria,arad,Siria,Arad,Valentin Bot,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/siria/
sistarovat,arad,Sistarovat,Arad,Alexandru-Marius Damian,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sistarovat/
socodor,arad,Socodor,Arad,Ioan-Dimitrie Jura,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/socodor/
sofronea,arad,Sofronea,Arad,Mihaela-Emanuela Kwasnitzky,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/sofronea/
tarnova,arad,Tarnova,Arad,Emilia Ignişca,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/tarnova/
taut,arad,Taut,Arad,Florin Lela,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/taut/
ususau,arad,Ususau,Arad,Florin Ţole,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/ususau/
varadia-de-mures,arad,Varadia De Mures,Arad,Crina-Melania Miculiţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/varadia-de-mures/
varfurile,arad,Varfurile,Arad,Radu-Tiberiu Giurgelea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/varfurile/
vinga,arad,Vinga,Arad,Ioan Negrei,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/vinga/
vladimirescu,arad,Vladimirescu,Arad,Mihai Mag,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/vladimirescu/
zabrani,arad,Zabrani,Arad,Dănuţ Codrean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/zabrani/
zadareni,arad,Zadareni,Arad,Petru Şiclovan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/zadareni/
zarand,arad,Zarand,Arad,Gheorghe Dudaş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/zarand/
zerind,arad,Zerind,Arad,Alexandru Simandi,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/zerind/
zimandu-nou,arad,Zimandu Nou,Arad,Dorel-Gheorghe Vidran,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arad/primarie/zimandu-nou/
albestii-de-arges,arges,Albestii De Arges,Arges,Gabriel Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/albestii-de-arges/
albestii-de-muscel,arges,Albestii De Muscel,Arges,Cătălin Manta,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/albestii-de-muscel/
albota,arges,Albota,Arges,Ion Dumitru,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/albota/
aninoasa,arges,Aninoasa,Arges,Daniel Iosif,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/aninoasa/
arefu,arges,Arefu,Arges,Gheorghe Stoican,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/arefu/
babana,arges,Babana,Arges,Vasile-Bebe Ivan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/babana/
baiculesti,arges,Baiculesti,Arges,Niculaie Dragnea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/baiculesti/
balilesti,arges,Balilesti,Arges,Victor-Cătălin Turturică,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/balilesti/
barla,arges,Barla,Arges,Gheorghe Voicu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/barla/
bascov,arges,Bascov,Arges,Gheorghe Stancu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/bascov/
beleti-negresti,arges,Beleti Negresti,Arges,Constantin Cătănea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/beleti-negresti/
berevoesti,arges,Berevoesti,Arges,Ionel Mazilu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/berevoesti/
bogati,arges,Bogati,Arges,Ion Gîrleanu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/bogati/
boteni,arges,Boteni,Arges,Vasile Leau,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/boteni/
botesti,arges,Botesti,Arges,Nicolae-Mihai Bundă,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/botesti/
bradu,arges,Bradu,Arges,Dănuţ-Trandafir Stroe,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/bradu/
bradulet,arges,Bradulet,Arges,Florin Iordache,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/bradulet/
budeasa,arges,Budeasa,Arges,Nicolae-Mihail Rachieru,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/budeasa/
bughea-de-jos,arges,Bughea De Jos,Arges,Bogdan Oancea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/bughea-de-jos/
bughea-de-sus,arges,Bughea De Sus,Arges,Nicolae Tarbă,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/bughea-de-sus/
buzoesti,arges,Buzoesti,Arges,Ion Dulduruc,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/buzoesti/
caldararu,arges,Caldararu,Arges,Ionuţ Rîcanu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/caldararu/
calinesti,arges,Calinesti,Arges,Alina-Ioana Georgescu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/calinesti/
campulung,arges,Campulung,Arges,Elena-Valerica Lasconi,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/campulung/
cateasca,arges,Cateasca,Arges,Florian-Liviu Năstase,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cateasca/
cepari,arges,Cepari,Arges,Alexei-Cristian Ciobanu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cepari/
cetateni,arges,Cetateni,Arges,Ion-Mugurel Minciună,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cetateni/
cicanesti,arges,Cicanesti,Arges,Ion Ionescu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cicanesti/
ciofrangeni,arges,Ciofrangeni,Arges,Dorin-Florin Panţeru,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/ciofrangeni/
ciomagesti,arges,Ciomagesti,Arges,Florea Ene,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/ciomagesti/
cocu,arges,Cocu,Arges,Codruţ-Ionuţ Bădescu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cocu/
corbeni,arges,Corbeni,Arges,Nicolae Dinică,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/corbeni/
corbi,arges,Corbi,Arges,Constantin Mogaru,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/corbi/
cosesti,arges,Cosesti,Arges,Nicolae Pană,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cosesti/
costesti,arges,Costesti,Arges,Ion Baicea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/costesti/
cotmeana,arges,Cotmeana,Arges,Ionel-Dragoş Vişan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cotmeana/
cuca,arges,Cuca,Arges,Georgel-Cristinel Deaconu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/cuca/
curtea-de-arges,arges,Curtea De Arges,Arges,Constantin Panţurescu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_arges/primarie/curtea-de-arges/
