company_name,address,phone,contact_name,makes,siret,url
COM SERVICE INFRATIREA SRL,"JUD. MUREŞ, SAT DELENII COM. BĂGACIU, DELENII, EXTRAVILAN - FERMA DE CRESTERE A PORCINELOR",0742158599,,,J26/1582/1991,
AGROZOOTEHNICA S.A. VEDEA,"JUD. GIURGIU, SAT VEDEA COM. VEDEA, COM. VEDEA",0246240110,,,,
AGROZOOTEHNICA S.A. MIHAILESTI,"JUD. GIURGIU, ORŞ. MIHĂILEŞTI, STR. PRUNILOR, NR.2",0246278384,,,J52/543/1991,
AGROZOOTEHNICA SA ADUNATII COPACENI,"JUD. GIURGIU, SAT ADUNAŢII-COPĂCENI COM. ADUNAŢII-COPĂCENI,  , NR.KM.23, NR. CADASTRAL 21/1; 21/4/2/3/2/2/2/3; 21/4/2/3/2/2/2/4",0723295516,,,J1991000235521,
FERMA SALCIA S.A.,"JUD. TELEORMAN, SAT SALCIA COM. SALCIA, COM. SALCIA",,,,J34/862/1991,
AGROZOOTEHNICA PIETROIU SA,"MUNICIPIUL BUCUREŞTI, SECTOR 6, CALEA GIULEŞTI, NR.333, CLADIREA C14 - CAMERA NR. 44",0212209909,,,J2006002826404,
AGROZOOTEHNICA DRUMU-SUBTIRE SA,"JUD. CĂLĂRAŞI, SAT ŞTEFAN VODĂ COM. ŞTEFAN VODĂ, COM. STEFAN VODA",0242311924,,,J51/289/1991,
GOLDEN SRL,"JUD. IAŞI, COM. MOVILENI,  , FERMA NR. 6. NR. CADASTRAL 60024",0741015839,,,J22/540/1992,
AGRICOLA TIRGU FRUMOS SA,"JUD. IAŞI, SAT RĂZBOIENI COM. ION NECULCE, NR.-",0232712340,,,J22/679/1991,
EXPO GALA SRL,"JUD. HUNEDOARA, SAT CĂRPINIŞ ORŞ. SIMERIA, FERMA ZOOTEHNICA SI VEGETALA",0723243329,,,J20/770/1991,
ECODELTA SA,"JUD. TULCEA, ORŞ. BABADAG,  FERMA TOPRAICHIOI",0240563727,,,J36/86/1991,
ECODELTA SA,"JUD. TULCEA, ORŞ. BABADAG,  FERMA TOPRAICHIOI",0240563727,,,J36/86/1991,
AGRICOLA INTERNATIONAL SA,"JUD. BACĂU, MUN. BACĂU, CAL. MOLDOVEI, NR.94",0234577600,,,J04/2214/1992,
POPAS ZOOTEHNIC S.R.L.,"JUD. SUCEAVA, MUN. CÂMPULUNG MOLDOVENESC, STR. IZVORUL ALB, NR.14",0230310114,,,J33/149/1993,
AGRICOLA CERES JIMBOLIA S.R.L.,"JUD. TIMIŞ, ORŞ. JIMBOLIA, STR. TUDOR VLADIMIRESCU, NR.42",0726250545,,,J35/783/2018,
AGRICOLA PROGRESUL RĂSUCENI S.R.L.,"JUD. GIURGIU, SAT RĂSUCENI COM. RĂSUCENI, STR LUPILOR, NR.6, CAMERA NR.2",,,,J2020000870520,
AGRICOLA BANAT VARIAŞ S.R.L.,"JUD. TIMIŞ, SAT VARIAŞ COM. VARIAŞ,  , NR.1323",0745634999,,,J2024029867004,
AGROINDUSTRIALA VOITIM VOITENI S.R.L.,"JUD. TIMIŞ, SAT VOITEG COM. VOITEG, FERMA NR. 6",0256392563,,,J35/1193/1991,
PETRUT-MICROFERMA ZOOTEHNICA SRL,"JUD. BISTRIŢA-NĂSĂUD, MUN. BISTRIŢA, STR. AXENTE SEVER, NR.8",0263239741,,,J06/161/1991,
SOCIETATE AGRICOLA 1 MAI FINTINELE,"JUD. ARAD, SAT FÂNTÂNELE COM. FÂNTÂNELE, NR.FN",     56120,,,,
AGRICOLA ALBATROS S.R.L.,"JUD. BACĂU, SAT SCURTA COM. ORBENI",,,,J04/677/2023,
CARPATICA TUR SRL,"JUD. OLT, SAT REDEA COM. REDEA, COM. REDEA -""FERMA ROTUNDA""",0722400509,,,J2002000194282,
24 DIN 24 SRL,"JUD. CĂLĂRAŞI, ORŞ. LEHLIU-GARĂ, D.J. 201 B, KM. 7 - INCINTA FERMA",0242640032,,,J51/293/1993,
AGRO LISSCALIFORNIA S.R.L.,"JUD. TELEORMAN, SAT VÂNĂTORI COM. LISA, INCINTA COMPLEXULUI AGROZOOTEHNIC",0745068790,,,J34/1309/1993,
MOARA CU NOROC IMPEX S.R.L.,"JUD. BIHOR, ORŞ. VALEA LUI MIHAI, FERMA UNITONIO",355803,,,J05/525/1993,
FERMA ZOOTEHNICA SRL,"JUD. MARAMUREŞ, MUN. BAIA MARE, STR. TOPAZULUI, NR.5",0262250926,,,J1993002259240,
INTERAGRICOLA DUNĂREA SRL,"JUD. TELEORMAN, MUN. TURNU MĂGURELE, STR. CHIMIEI, BIROUL NR. 1, BL.G9, SC.1, ET.PARTER, AP.10",0244321809,,,J34/60/1994,
INTERGLOBAL SRL,"JUD. ARAD, ORŞ. PECICA, STR. SECTOR ZOOTEHNIC - DN 7",0257468001,,,J02/523/1994,
HELVETICA MILK SRL,"JUD. ARAD, ORŞ. PECICA, FERMA ZOOTEHNICA 16 DECEMBRIE",0257234221,,,J02/695/1994,
M.F.H. AGRICOL S.R.L.,"JUD. BRAŞOV, SAT BECLEAN COM. BECLEAN, NR.224",0742946630,,,J08/1030/1994,
AL-MO SFERA COM SRL,"JUD. HUNEDOARA, SAT PONOR COM. PUI, COMPLEX AGROZOOTEHNIC",0722528059,,,J20/444/1997,
AMALTHIA EXIM SRL,"JUD. PRAHOVA, COM. CEPTURA, INCINTA SOCIET.AGRICOLE ""MARIUS""",0722294493,,,J1994001908296,
TRANS-STAR SRL,"JUD. BISTRIŢA-NĂSĂUD, MUN. BISTRIŢA, CAR. SIGMIR, NR.FN, (FERMA POMICOLA)",0744564492,,,J1993000089069,
AGRICOLA PROD SRL,"JUD. VRANCEA, SAT GOLEŞTI COM. GOLEŞTI, STR. COTEŞTI, NR.70",0722319109,,,J1994000810398,
FOLOE EXIM SRL,"JUD. PRAHOVA, COM. PĂULEŞTI, FERMA NR.3-M.VULPII,HALELE 5 SI 6",044511450,,,J29/2542/1994,
AGROSERV MĂRIUŢA S.A.,"JUD. IALOMIŢA, SAT DRĂGOEŞTI COM. DRĂGOEŞTI,  , FERMA ZOOTEHNICA",0040243319639,,,J21/195/2008,
MASTER CONSTRUCT SRL,"JUD. SIBIU, SAT CAŞOLŢ COM. ROŞIA, CAŞOLŢ, FERMA NR.2 , CF 103287, NR.TOP 2017/2",0269211632,,,J32/1777/1994,
MONCAR SRL,"JUD. CONSTANŢA, ORŞ. OVIDIU,  , ZONA FERMA 7 NAZARCEA, PARCELA CC501, LOT 8, ATELIER TINICHIGERIE, FERMA 2, CISMEA.",0747592266,,,J13/4147/1994,
FERMADOR SRL,"JUD. IAŞI, ORŞ. PODU ILOAIEI, STR. NAŢIONALĂ, NR.1, CORP C2 - SEDIU ADMINISTRATIV",0744613346,,,J22/2578/1994,
ZAMETI SRL,"JUD. CONSTANŢA, LOC. REMUS OPREANU MUN. MEDGIDIA, IMOBILUL FERMA, CONSTRUCTIA C1-BIROU. CU O SUPRAFATA CONSTRUITA LA SOL DE 171 MP. NUMAR CADASTRAL 106594-C1. INSCRIS IN CARTEA FUNCIARA NR. 106594 A L",0744385330,,,J1994004412132,
ARCOM IMPEX SRL,"JUD. BUZĂU, MUN. RÂMNICU SĂRAT,  FERMA COLIBAŞI",0724971528,,,J10/2668/1994,
SALCIA SRL,"JUD. VASLUI, SAT CÂRJA ORŞ. MURGENI, CÎRJA, FERMA PISCICOLĂ CÂRJA II. BIROU NR.2",0235426333,,,J1994001039370,
AGRICOLA BEESARSEN S.R.L.,"JUD. NEAMŢ, SAT DOCHIA COM. DOCHIA",0233626538,,,J27/2291/1994,
PACIF AGRO SRL,"JUD. BIHOR, ORŞ. VALEA LUI MIHAI,  FERMA NAGY LAPOS CF NR.29 TARCEA, NR.TOPO.216.",0751553732,,,J1995000349059,
VIITORUL AGRICOL SRL,"JUD. BACĂU, SAT CORBASCA COM. CORBASCA,",283127,,,J04/671/1995,
AVI-2000 SRL,"JUD. TIMIŞ, SAT GIARMATA COM. GIARMATA, CALEA LIPOVEI, KM. 9, FERMA 3+4, BL.10",0744570497,,,J35/710/1995,
L.I.-FIDDLAS S.R.L.,"JUD. ARAD, SAT VINGA COM. VINGA, VINGA, FERMA AGRICOLĂ, CF 308618/VINGA",0740025154,,,J02/1865/2021,
RIGAGRO S.R.L.,"JUD. IAŞI, SAT ŢUŢORA COM. ŢUŢORA, FERMA TUTORA",,,,J22/1251/1996,
FERMANDY COM SRL,"JUD. BRĂILA, SAT SILIŞTEA COM. SILIŞTEA, STR. PRINCIPALĂ, NR.103",0239674854,,,J1996000805091,
MOROSANU PREST S.R.L.,"JUD. NEAMŢ, SAT DUMBRAVA ROŞIE COM. DUMBRAVA ROŞIE, SAT   IZVOARE (FERMA B3, GOC 3)",0233237349,,,J27/730/1996,
PRODIMPEX STAR SRL,"JUD. BIHOR, SAT LIVADA DE BIHOR COM. NOJORID, FOSTA FERMA NR.2 CF NR.28",0359303760,,,J05/620/1997,
ISTROS SRL,"JUD. BUZĂU, ORŞ. POGOANELE,  CANTON FERMA POGOANELE, PARCELA NR.1, CORP C1",0726721294,,,J10/249/1997,
AGRICOLA 96 SA TIGANASI,"JUD. IAŞI, SAT ŢIGĂNAŞI COM. ŢIGĂNAŞI,",0232299090,,,J22/833/1997,
AGRICOLA BRAŞOV S.R.L.,"JUD. BRAŞOV, MUN. BRAŞOV, STR. DE MIJLOC, NR.42",0760484844,,,J1997000805081,
FERMA VERDE UTILAJE S.R.L.,"JUD. BACĂU, SAT GÂRLENI COM. GÂRLENI, STR. PĂLĂDEŞTI, NR.10A",0745037113,,,J04/837/1997,
A.T. GRUP PROD IMPEX SRL,"JUD. TELEORMAN, SAT DRĂGĂNEŞTI-VLAŞCA COM. DRĂGĂNEŞTI-VLAŞCA, ÎN FERMA VLASCA",0247440460,,,J1997000465342,
AGRICOLA ASM S.R.L.,"JUD. TULCEA, SAT MIHAIL KOGĂLNICEANU COM. MIHAIL KOGĂLNICEANU, COM. MIHAIL KOGALNICEANU",0740153985,,,J36/649/1997,
D.R.D  AGRICOLA S.R.L.,"JUD. CĂLĂRAŞI, SAT GURBĂNEŞTI COM. GURBĂNEŞTI, STR. PRINCIPALĂ, NR.15",0314047336,,,J2024000170516,
YRYMAR SRL,"JUD. VASLUI, SAT FĂLCIU COM. FĂLCIU,  , FERMA COPĂCEANA. CLĂDIREA C13. CF 73701",0751338566,,,J1998000111374,
AGRO SERV COMPANY SRL,"JUD. DOLJ, SAT PADEA COM. DRĂNIC, COMPLEXUL ZOOTEHNIC PADEA, CORP C4, NR.41",0740079091,,,J16/388/2009,
MONAMAX SERVICII SRL,"JUD. CLUJ, SAT FLOREŞTI COM. FLOREŞTI, DN1, KM.11, FERMA 9",,,,J1997001276129,
BIOTERRA SRL,"JUD. ALBA, SAT DOŞTAT COM. DOŞTAT, FERMA",0258764705,,,J1998000392016,
AGRICOLA HOLDING MANGALIA SRL,"JUD. CONSTANŢA, SAT ALBEŞTI COM. ALBEŞTI, FERMA,NR.2",754900,,,J1998002132133,
AGROINVEST SA,"JUD. COVASNA, COM. DALNIC,  , NR.FN, FERMA DEPSO",0732008088,,,J1998000206144,
TED EXIM S.R.L.,"JUD. BRĂILA, SAT URLEASCA COM. TRAIAN, URLEASCA, TARLA 760,FERMA11,CONSTRUCTIA C2",0740066718,,,J09/524/1998,
PASHA PROD SRL,"JUD. BRAŞOV, SAT GHIMBAV ORŞ. GHIMBAV, COMPLEX ZOOTEHNIC,STR.AEROPORTULUI, NR.2",0268258895,,,J08/1391/1998,
COX AGRICOL FARMS S.R.L.,"JUD. IALOMIŢA, MUN. FETEŞTI, STR. CĂLĂRAŞI, BL.CFR 7, SC.D, ET.4, AP.15",,,,J21/516/2008,
AGRICOLA SOMES S.R.L.,"JUD. SĂLAJ, MUN. ZALĂU, STR. CORNELIU COPOSU, BL.15', SC.A, ET.4, AP.10",,,,J31/353/1998,
TRITOFAN AGRICOLA S.R.L.,"JUD. GALAŢI, MUN. GALAŢI, STR. CRISTOFOR COLUMB, NR.2",0236323414,,,J17/95/1999,
SINGAMA SRL,"JUD. GALAŢI, SAT OANCEA COM. OANCEA,  FERMA SOVARCA",0744207103,,,J1999000172170,
SALPREST-SP SRL,"JUD. CONSTANŢA, COM. RASOVA,  FERMA 9 RASOVA",0241664267,,,J1998002246139,
KOPLAX SRL,"JUD. PRAHOVA, COM. GORGOTA, FERMA FANARI",0244474440,,,J1999000318295,
ITAL AGROTURISM MALUDA SRL,"JUD. SIBIU, SAT ŞURA MARE COM. ŞURA MARE,  FERMA POMICOLA NR.6",856119,,,J1999000266321,
JULIA BIO-EXPO SRL,"JUD. SIBIU, SAT ROŞIA COM. ROŞIA,  FERMA 9 - JURCOI, NR.FN",069/,,,J32/446/1999,
AGRO MIV S.R.L.,"JUD. DOLJ, SAT CIOCĂNEŞTI COM. DIOŞTI, COM. DIOSTI, FERMA NR. 3, PORTALTOI",0722614564,,,J16/662/1999,
MIHAGRICOM SRL,"JUD. BRĂILA, ORŞ. ÎNSURĂŢEI, LOTUL 1, FERMA DN.21-KM.5",,,,J09/325/1999,
DAVIROM SRL,"JUD. PRAHOVA, ORŞ. BREAZA, STR. FERMA BORUNGOCI",0244343660,,,J1999000908290,
A&A FARMS SRL,"JUD. VASLUI, SAT BOGEŞTI COM. POGANA,  , FERMA BOGESTI",,,,J37/246/1999,
PERSICOM IMPEX SRL,"JUD. SĂLAJ, ORŞ. ŞIMLEU SILVANIEI, STR. 22 DECEMBRIE 1989, LOCUL FERMA NR.20",0260-676279,,,J2000000022314,
AGRICOLA ANITA SRL,"JUD. TIMIŞ, SAT FOENI COM. FOENI, FOENI, DN 598,KM 33 + 400M DREAPTA",,,,J35/158/2004,
VINICOLA AVERESTI 2000 SA,"JUD. VASLUI, SAT AVEREŞTI COM. BUNEŞTI-AVEREŞTI,  , NR.1, FERMA VITICOLA",0740140403,,,J2000000049379,
CRAIU S.R.L.,"JUD. CĂLĂRAŞI, MUN. CĂLĂRAŞI, STR. FERMA 6 (FOST 12 POLIGON)",,,,J51/111/2000,
FERMA AVICOLĂ ŞERBAN SRL,"JUD. BACĂU, SAT SASCUT COM. SASCUT, STR. SILOZULUI, NR.4",0234322165,,,J2008001787041,
ORENTEX SRL,"JUD. ARGEŞ, SAT VLĂŞCUŢA COM. STOLNICI, VLĂŞCUŢA, BL.CADIRE 1-FERMA VLASCUTA VIE",0722323788,,,J03/931/2012,
AGRICOLA SAN GIORGIO SRL,"JUD. ARAD, MUN. ARAD, STR. ANDREI MUREŞANU, NR.21, AP.4",0257/256359,,,J02/1191/2009,
AGROMAG SRL,"JUD. CĂLĂRAŞI, SAT DRAGALINA COM. DRAGALINA,  FERMA 1 DRAJNA",0242316143,,,J2000000108511,
AGROINDUSTRIALA SAPTE LES S.R.L.,"JUD. BIHOR, SAT NOJORID COM. NOJORID, NOJORID, NR.FERMA NR.7",94586994,,,J05/667/2000,
TORJA SRL,"JUD. BIHOR, SAT INAND COM. CEFA, COM. CEFA, NR.FERMA NR.4",,,,J05/665/2000,
AGROINDUSTRIALA TREI LES SRL,"JUD. BIHOR, SAT LEŞ COM. NOJORID, FERMA NR. 3",0259414920,,,J05/664/2000,
AGROINDUSTRIALA DOI LIVADA SRL,"JUD. BIHOR, SAT NOJORID COM. NOJORID, FERMA NR. 2",0744116831,,,J05/663/2000,
AGROINDUSTRIALA UNU NOJORID S.R.L.,"JUD. BIHOR, SAT NOJORID COM. NOJORID, FERMA NR. 1",0259430903,,,J05/662/2000,
EMILIANA WEST ROM SRL,"JUD. TIMIŞ, SAT DUDEŞTII VECHI COM. DUDEŞTII VECHI, FERMA NR.3 COCIOHAT",0356505123,,,J35/845/2000,
ALFERMA SRL,"JUD. SIBIU, SAT PĂUCA COM. PĂUCA, NR.236A",0269233907,,,J32/501/2000,
AVITEIA-COS SRL,"JUD. TIMIŞ, SAT BECICHERECU MIC COM. BECICHERECU MIC, FOSTA FERMA DE PASARI",0723154380,,,J2000001034352,
HOMEC AGRO SRL,"JUD. BIHOR, ORŞ. VALEA LUI MIHAI, FERMA 13 CSIRI, NR.5",0741017920,,,J05/854/2000,
AGRICOLA BORDIGNON GIUSEPPE SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. CORIOLAN BREDICEANU, NR.10A, CLADIREA A, BIROU 4A, AFI PARK, ET.2",0256306056,,,J35/988/2000,
FERMA MANASIA SRL,"MUNICIPIUL BUCUREŞTI, SECTOR 1, PŢA PRESEI LIBERE, NR.3-5, CLADIREA CITY GATE TURNUL DE SUD, ET.13",0213441042,,,J2000011500407,
AGRIMAL CERES SRL,"JUD. ARAD, SAT ŞAGU COM. ŞAGU,  FERMA, NR.5",,,,J02/660/2000,
AGRICOLA PUIENI SRL,"MUNICIPIUL BUCUREŞTI, SECTOR 4, STR. LUMINOASA, NR.4",0722326474,,,J2001000998407,
AGRIMONDO SRL,"JUD. TIMIŞ, SAT HODONI COM. SATCHINEZ, DC HODONI-DUDESTII NOI,KM4,FERMA 1",0724852096,,,J35/200/2001,
AGRICOLA SRL,"JUD. BISTRIŢA-NĂSĂUD, COM. ŞIEU-MĂGHERUŞ, ŞIEU-MĂGHERUŞ, NR.283",,,,J06/65/2001,
FERMA SCHEI SRL,"JUD. BRĂILA, COM. TUFEŞTI, STR PRIMARIEI , NR.98, BIROU 2",0760259614,,,J2001000060092,
GENERALE AGRICOLE S.R.L.,"JUD. CĂLĂRAŞI, ORŞ. FUNDULEA, STR. GĂRII, NR.16",0242692282,,,J51/52/2001,
IDEAL AGROCONSTRUCT S.R.L.,"JUD. GIURGIU, SAT MOGOŞEŞTI COM. ADUNAŢII-COPĂCENI, COM. ADUNATII COPACENI - FERMA 6",0744779984,,,J52/321/2003,
AGRICOLA SERBANESTI S.R.L.,"JUD. ARGEŞ, SAT ŞERBĂNEŞTI COM. ROCIU, STR. PRINCIPALA, NR.413",0248699553,,,J03/155/2001,
AGRIDOR SRL,"JUD. BRĂILA, COM. CHISCANI, COM.CHISCANI,FERMA NR.1,LACU SARAT",690345,,,J09/70/2001,
AGRO-SCHMID SRL,"JUD. TIMIŞ, SAT PERIAM COM. PERIAM,  FERMA NR.9",0356312730,,,J2001000395352,
AURORA STAR SRL,"JUD. IAŞI, SAT TOTOEŞTI COM. ERBICENI,  , ANEXA EXPLOATATIEI AGRICOLA",07422096637,,,J2001000370221,
CODRAGRICOLA S.R.L.,"JUD. SUCEAVA, SAT ZVORIŞTEA COM. ZVORIŞTEA, COM. ZVORISTEA, NR.116",0745511159,,,J33/200/2001,
AGRICOLA RASESTI SRL,"JUD. VASLUI, SAT RÂŞEŞTI COM. DRÂNCENI, RÎŞEŞTI, CASA 1",0752293892,,,J2001000097373,
SIAC AGROINDUSTRIAL SRL,"JUD. CONSTANŢA, SAT MOŞNENI COM. 23 AUGUST,  FERMA NR.1,COM. 23 AUGUST",0241614926,,,J2001001245133,
VALKAPA S.R.L.,"JUD. BIHOR, SAT CURTUIŞENI COM. CURTUIŞENI, COM. CURTUISENI FERMA NR.1",,,,J05/433/2001,
AGRICOLA ERMINIO & NICOLA S.R.L.,"JUD. SIBIU, SAT HAŞAG COM. LOAMNEŞ, STR. PRINCIPALA, NR.63",0269233907,,,J32/328/2001,
AGROTERA GRUP SRL,"JUD. TELEORMAN, SAT DRĂGĂNEŞTI-VLAŞCA COM. DRĂGĂNEŞTI-VLAŞCA,  INCINTA SOCIETĂTII AGRICOLE VLASCA",0769239254,,,J34/148/2001,
OPT-MP SRL,"JUD. CONSTANŢA, SAT ISTRIA COM. ISTRIA, FERMA NR.8",0241613353,,,J2001001355135,
FERMA OLARIU S.R.L.,"JUD. TIMIŞ, SAT SUSANI COM. TRAIAN VUIA, COM. TRAIAN VUIA, NR.93A",0722436142,,,J35/770/2001,
SOARELE AGRICOL SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. LAZĂR GHEORGHE, NR.24, BIROU 5, ET.12, AP.77",0744628424,,,J2008003223352,
RODESCO AGRICULTURE S.R.L.,"JUD. DOLJ, SAT MOŢĂŢEI GARĂ COM. MOŢĂŢEI, FERMA NR. 8",0721334344,,,J16/581/2001,
AGROGIL S.R.L.,"JUD. ARAD, COM. ŞAGU, (FERMA NR.5), NR.FN",0257216616,,,J02/574/2001,
AGRICOLA ALBA SRL,"JUD. TIMIŞ, SAT DUMBRAVA COM. DUMBRAVA,  , NR.391",325898,,,J2001001064356,
PRIMAVERA S.R.L.,"JUD. MUREŞ, MUN. SIGHIŞOARA, CART. SOROMICLEA, NR.FERMA NR.5",,,,J26/685/2001,
CLARIAS SRL,"JUD. BIHOR, SAT SÂNTANDREI COM. SÂNTANDREI,  FERMA PISCICOLA, CF 3400 NR. TOP, NR.1660/4",472429,,,J2001000758052,
ALE AVIS SRL,"JUD. CLUJ, COM. GILĂU, GILĂU, NR.FERMA 6, BL.HALA 2",0728-964469,,,J12/1309/2001,
AGRICOLA SOLE SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. PARIS, NR.8, MODUL C1, AP.1",201123,,,J2001001179353,
FERMA ALBĂ SRL,"JUD. OLT, SAT TEIUŞ ORŞ. SCORNICEŞTI, STR. PĂDURII, NR.1, CLADIRE C2,PARTER,BIROU 2.",0730116636,,,J28/370/2001,
AGRICOLA PRUT SRL,"JUD. IAŞI, ORŞ. HÂRLĂU, STR. NICOLINA, NR.12, CLĂDIRE ANEXĂ C 30",0232207006,,,J2006003165221,
AGRICOLA MUSATOIU SRL,"JUD. VASLUI, SAT TODIREŞTI COM. TODIREŞTI, TODIREŞTI, NR.329",0747225104,,,J37/291/2001,
AGRICOLA FRIUL S.R.L.,"JUD. BIHOR, COM. BATĂR",0249432950,,,J05/711/2008,
AGRICOLA RAUSCEDO SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. CORIOLAN BREDICEANU, NR.13B, AP.18",0256490640,,,J35/1440/2001,
GENAGRICOLA ROMANIA SRL,"JUD. TIMIŞ, ORŞ. SÂNNICOLAU MARE, STR. DRUMUL MORII, NR.9, AP.1",0256370458,,,J2001001506357,
COMPANIA CRESTINA AGRICOLA DE MICROREGIUNE HEINKENSZAND S.R.L.,"JUD. BIHOR, SAT LEŞ COM. NOJORID, NR.201",0721114300,,,J05/993/2001,
AGRICOLA SANT ANNA SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. LAZĂR GHEORGHE, NR.24, BIROU 8, ET.12, AP.77",0356437660,,,J2002000052353,
FLORIVAS AGRO S.R.L.,"JUD. VASLUI, SAT VETRIŞOAIA COM. VETRIŞOAIA, FERMA POJORANI",,,,J37/15/2002,
AGROZOOTEHNICA SRL,"JUD. HUNEDOARA, MUN. DEVA, STR. AUREL VLAICU, NR.25",,,,J20/69/2002,
AGRICOLA SERV SRL,"JUD. CONSTANŢA, MUN. MEDGIDIA, STR. PODGORIILOR, NR.8, BL.VS4, SC.A, ET.1, AP.6",0723575505,,,J13/582/2002,
FERMA TRESTIANA SRL,"JUD. BOTOŞANI, MUN. DOROHOI, STR. SPIRU HARET, NR.120",,,,J07/23/2002,
FANPIL FERM S.R.L.,"JUD. CLUJ, SAT BOGATA COM. CĂLĂRAŞI, COMPLEX ZOOTEHNIC DE VACI, NR.F.N.",0744430345,,,J12/236/2002,
SOCIETATEA AGRICOLĂ DANIMAR S.R.L.,"JUD. OLT, SAT REDIŞOARA COM. REDEA, STR. SOARELUI, NR.49",0769629949,,,J2025070335001,
PRODGRÂU S.R.L.,"JUD. TIMIŞ, SAT IOHANISFELD COM. OTELEC, FERMA 3",,,,J35/1399/2005,
AGRICOLA CARLI FRANCO PAULIAN SRL,"JUD. SATU MARE, SAT PĂULIAN COM. DOBA, STR. PRINCIPALĂ, NR.80/C",0729067893,,,J2002000169307,
FERMA 12 SRL,"JUD. MUREŞ, SAT IDECIU DE JOS COM. IDECIU DE JOS,  , NR.FN",0769253219,,,J2002000255268,
AGRICOLA BERGAMELLI SRL,"JUD. SIBIU, SAT DOBÂRCA ORŞ. MIERCUREA SIBIULUI, STR. PRINCIPALA, NR.381",,,,J2002000253323,
AGRICOLA LUNA SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. MACILOR, NR.1 BIROUL 12",,,,J2002000575353,
FERMA ADAM S.R.L.,"JUD. BRĂILA, ORŞ. IANCA, STR. GĂRII, NR.2",0761087270,,,J2023000808096,
FERMA BUZDUGAN SRL,"JUD. MARAMUREŞ, MUN. BAIA MARE, BLD. REGELE MIHAI I, NR.41",0722501423,,,J24/202/2002,
LA LODIGIANA FARM SRL,"JUD. TIMIŞ, SAT DUDEŞTII VECHI COM. DUDEŞTII VECHI, FERMA NR. 3 COCIOHAT",223412,,,J2002000721356,
AGRI FARMA ARANCA SRL,"JUD. TIMIŞ, SAT DUDEŞTII VECHI COM. DUDEŞTII VECHI, FERMA NR. 3 COCIOHAT",0256306445,,,J2002000722357,
AGRODUDE SRL,"JUD. TIMIŞ, SAT DUDEŞTII VECHI COM. DUDEŞTII VECHI, FERMA 3 COCIOHAT",0256223412,,,J2002000724359,
FERMA BIO-ORGANICA PENTRU CRESTERE S.R.L.,"JUD. IAŞI, SAT CĂUEŞTI COM. ŞCHEIA, CĂUEŞTI",0747756571,,,J22/556/2002,
BIO FARMLAND BETRIEBS SRL,"JUD. ARAD, SAT FIRITEAZ COM. ŞAGU, FIRITEAZ, NR.350, FERMA",,,,J02/648/2005,
CRISTAGRI SRL,"JUD. IALOMIŢA, SAT BORDUŞANI COM. BORDUŞANI, BORDUŞANI, NR.-, (FERMA NR. 4)",0731021325,,,J2002000177216,
GABIEMA COL S.R.L.,"JUD. HUNEDOARA, SAT ROMOS COM. ROMOS, FOSTA FERMA DE HAMEI",054546080,,,J20/519/2002,
