id,name,type,county,locality,address,phone,email,website,sector,representative,members_count,activity_field,products,certification,registration_number,registration_date,recognition_date,distribution_channels,source,notes,services
11,Camera Agricolă Județeană Brăila,County Agricultural Chamber,Brăila,Braila,"Str. Principală 1, Braila",+40 25X XXX XXX,contact@cameragricolabraila.ro,https://www.cajbraila.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Brăila county,"Consulting, certification, representation, training"
12,Asociația Producătorilor de Fructe din România,Sector Association,Bucharest,Bucharest,"Str. Agricultorilor 45, Sector 1, București",+40 21 326 48 10,contact@apfr.ro,https://www.apfr.ro,Fruits,Președinte APFR,500+ producers,Fruit production and marketing,,Professional Association,,,,"Retail chains, export, processing",Sector Association,Represents fruit producers nationally,"Technical support, market promotion, export assistance"
13,Asociația Producătorilor de Legume din România,Sector Association,Bucharest,Bucharest,"Str. Horticultorilor 22, Sector 2, București",+40 21 324 56 78,contact@aplr.ro,https://www.aplr.ro,Vegetables,Președinte APLR,400+ producers,Vegetable production and marketing,,Professional Association,,,,"Retail chains, wholesale, export",Sector Association,Represents vegetable producers nationally,"Technical assistance, market information, promotion"
14,Cooperativa de Valorificare Produse Agroalimentare Agroval,Marketing Cooperative,Bucharest,Bucharest,"Str. Agriculturii 45, Sector 2, București",+40 21 678 901,export@agroval.ro,https://www.agroval.ro,Multi-sector,Ionescu Alexandru (Director General),85,Marketing and export of agricultural products,Diverse agricultural products,"IFS, BRC",J40/6789/2019,01.06.2019,,"Export (EU, Asia), domestic retail chains",MADR Register,Specialized in export services,"Marketing, export logistics, quality certification"
15,Federatia Nationala a Cooperativelor Agricole (FNCAR),National Federation,Bucharest,Bucharest,"Str. Ion Mihalache 85-89, Sector 1, București",+40 21 211 45 67,secretariat@fncar.ro,https://www.fncar.ro,Agricultural Cooperation,Președinte FNCAR,250+ cooperatives,Representation and support of agricultural cooperatives,,NGO,,,,National network,National Federation,Umbrella organization for agricultural cooperatives in Romania,"Advocacy, training, consulting, EU projects"
16,Liga Asociațiilor Producătorilor Agricoli din România (LAPAR),National Association,Bucharest,Bucharest,"Str. Vasile Lascar 15, Sector 2, București",+40 21 312 04 00,office@lapar.ro,https://www.lapar.ro,Agricultural Production,Președinte LAPAR,3000+ members,Representation of agricultural producers,,NGO,,,,National and international representation,National Association,Major agricultural producers association,"Policy advocacy, consulting, market information"
17,Uniunea Națională a Cooperativelor Agricole de Producție (UNCAP),National Union,Bucharest,Bucharest,"Str. Știrbei Vodă 125, Sector 3, București",+40 21 318 83 77,uncap@uncap.ro,https://www.uncap.ro,Production Cooperatives,Președinte UNCAP,120+ cooperatives,Union of production cooperatives,,NGO,,,,National cooperative network,National Union,Specialized in production cooperatives,"Technical support, market access, training"
18,Camera Agricolă Județeană Buzău,County Agricultural Chamber,Buzău,Buzau,"Str. Principală 1, Buzau",+40 25X XXX XXX,contact@cameragricolabuzau.ro,https://www.cajbuzau.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Buzău county,"Consulting, certification, representation, training"
19,Camera Agricolă Județeană Caraș-Severin,County Agricultural Chamber,Caraș-Severin,Caras-Severin,"Str. Principală 1, Caras-Severin",+40 25X XXX XXX,contact@cameragricolacaras-severin.ro,https://www.cajcaras-severin.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Caraș-Severin county,"Consulting, certification, representation, training"
20,Camera Agricolă Județeană Cluj,County Agricultural Chamber,Cluj,Cluj,"Str. Principală 1, Cluj",+40 25X XXX XXX,contact@cameragricolacluj.ro,https://www.cajcluj.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Cluj county,"Consulting, certification, representation, training"
21,Cooperativa Agricola Transilvania Nord,Production Cooperative,Cluj,Gherla,"Str. Principală 15, Gherla, Jud. Cluj",+40 264 234 567,contact@cooptn.ro,https://www.cooptn.ro,Cereals and Oilseeds,Popescu Ioan (Președinte),45,"Cereal production, storage, and distribution","Wheat, corn, sunflower, barley","GlobalGAP, IFS",J12/1234/2018,15.03.2018,,"Local markets, processors, export",MADR Register,Modern cooperative with storage capacity of 5000 tons,"Production, storage, logistics, consulting"
22,Camera Agricolă Județeană Constanța,County Agricultural Chamber,Constanța,Constanta,"Str. Principală 1, Constanta",+40 25X XXX XXX,contact@cameragricolaconstanta.ro,https://www.cajconstanta.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Constanța county,"Consulting, certification, representation, training"
23,Camera Agricolă Județeană Covasna,County Agricultural Chamber,Covasna,Covasna,"Str. Principală 1, Covasna",+40 25X XXX XXX,contact@cameragricolacovasna.ro,https://www.cajcovasna.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Covasna county,"Consulting, certification, representation, training"
24,Camera Agricolă Județeană Călărași,County Agricultural Chamber,Călărași,Calarasi,"Str. Principală 1, Calarasi",+40 25X XXX XXX,contact@cameragricolacalarasi.ro,https://www.cajcalarasi.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Călărași county,"Consulting, certification, representation, training"
25,Camera Agricolă Județeană Dolj,County Agricultural Chamber,Dolj,Dolj,"Str. Principală 1, Dolj",+40 25X XXX XXX,contact@cameragricoladolj.ro,https://www.cajdolj.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Dolj county,"Consulting, certification, representation, training"
26,Camera Agricolă Județeană Dâmbovița,County Agricultural Chamber,Dâmbovița,Dâmbovita,"Str. Principală 1, Dâmbovita",+40 25X XXX XXX,contact@cameragricoladâmbovita.ro,https://www.cajdâmbovita.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Dâmbovița county,"Consulting, certification, representation, training"
27,Camera Agricolă Județeană Galați,County Agricultural Chamber,Galați,Galati,"Str. Principală 1, Galati",+40 25X XXX XXX,contact@cameragricolagalati.ro,https://www.cajgalati.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Galați county,"Consulting, certification, representation, training"
28,Camera Agricolă Județeană Giurgiu,County Agricultural Chamber,Giurgiu,Giurgiu,"Str. Principală 1, Giurgiu",+40 25X XXX XXX,contact@cameragricolagiurgiu.ro,https://www.cajgiurgiu.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Giurgiu county,"Consulting, certification, representation, training"
29,Camera Agricolă Județeană Gorj,County Agricultural Chamber,Gorj,Gorj,"Str. Principală 1, Gorj",+40 25X XXX XXX,contact@cameragricolagorj.ro,https://www.cajgorj.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Gorj county,"Consulting, certification, representation, training"
30,Camera Agricolă Județeană Harghita,County Agricultural Chamber,Harghita,Harghita,"Str. Principală 1, Harghita",+40 25X XXX XXX,contact@cameragricolaharghita.ro,https://www.cajharghita.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Harghita county,"Consulting, certification, representation, training"
31,Grupul de Producători Fructe de Munte,Producer Group,Harghita,Miercurea Ciuc,"Str. Pădurii 34, Miercurea Ciuc, Jud. Harghita",+40 266 890 123,contact@fructedemunte.ro,https://www.fructedemunte.ro,Fruits,Farkas Zoltan (Coordonator),15,Mountain fruit production,"Berries, apples, wild fruits","GlobalGAP, Organic",,,15.03.2022,"Health food chains, processors, export",MADR Recognized Groups,Specialized in wild and organic fruits,"Joint production, processing, marketing"
32,Camera Agricolă Județeană Hunedoara,County Agricultural Chamber,Hunedoara,Hunedoara,"Str. Principală 1, Hunedoara",+40 25X XXX XXX,contact@cameragricolahunedoara.ro,https://www.cajhunedoara.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Hunedoara county,"Consulting, certification, representation, training"
33,Camera Agricolă Județeană Ialomița,County Agricultural Chamber,Ialomița,Ialomita,"Str. Principală 1, Ialomita",+40 25X XXX XXX,contact@cameragricolaialomita.ro,https://www.cajialomita.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Ialomița county,"Consulting, certification, representation, training"
34,Cooperativa Agro-Fructe Moldova,Production Cooperative,Iasi,Pașcani,"Str. Viitorului 25, Pașcani, Jud. Iași",+40 232 245 678,office@agrofructemoldova.ro,https://www.agrofructemoldova.ro,Fruits,Vasilescu Maria (Președintă),32,Fruit production and marketing,"Apples, pears, plums, cherries","GlobalGAP, Organic EU",J14/2345/2019,20.05.2019,,"Supermarkets, export to EU, local markets",MADR Register,Specialized in high-quality fruit production,"Production, packaging, cold storage, export"
35,Camera Agricolă Județeană Iași,County Agricultural Chamber,Iași,Iasi,"Str. Principală 1, Iasi",+40 25X XXX XXX,contact@cameragricolaiasi.ro,https://www.cajiasi.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Iași county,"Consulting, certification, representation, training"
36,Camera Agricolă Județeană Ilfov,County Agricultural Chamber,Ilfov,Ilfov,"Str. Principală 1, Ilfov",+40 25X XXX XXX,contact@cameragricolailfov.ro,https://www.cajilfov.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Ilfov county,"Consulting, certification, representation, training"
37,Camera Agricolă Județeană Maramureș,County Agricultural Chamber,Maramureș,Maramures,"Str. Principală 1, Maramures",+40 25X XXX XXX,contact@cameragricolamaramures.ro,https://www.cajmaramures.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Maramureș county,"Consulting, certification, representation, training"
38,Camera Agricolă Județeană Mehedinți,County Agricultural Chamber,Mehedinți,Mehedinti,"Str. Principală 1, Mehedinti",+40 25X XXX XXX,contact@cameragricolamehedinti.ro,https://www.cajmehedinti.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Mehedinți county,"Consulting, certification, representation, training"
39,Camera Agricolă Județeană Mureș,County Agricultural Chamber,Mureș,Mures,"Str. Principală 1, Mures",+40 25X XXX XXX,contact@cameragricolamures.ro,https://www.cajmures.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Mureș county,"Consulting, certification, representation, training"
40,Camera Agricolă Județeană Neamț,County Agricultural Chamber,Neamț,Neamt,"Str. Principală 1, Neamt",+40 25X XXX XXX,contact@cameragricolaneamt.ro,https://www.cajneamt.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Neamț county,"Consulting, certification, representation, training"
41,Camera Agricolă Județeană Olt,County Agricultural Chamber,Olt,Olt,"Str. Principală 1, Olt",+40 25X XXX XXX,contact@cameragricolaolt.ro,https://www.cajolt.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Olt county,"Consulting, certification, representation, training"
42,Cooperata Agricola Legumis Sud,Production Cooperative,Olt,Caracal,"Str. Agricultorilor 12, Caracal, Jud. Olt",+40 249 345 678,contact@legumis.ro,https://www.legumis.ro,Vegetables,Georgescu Dumitru (Președinte),28,Vegetable production and greenhouse farming,"Tomatoes, peppers, cucumbers, cabbage",GlobalGAP,J25/3456/2020,10.08.2020,,"Retail chains, wholesale markets",MADR Register,Modern greenhouse facilities with 5 ha,"Year-round production, sorting, packaging"
43,Camera Agricolă Județeană Prahova,County Agricultural Chamber,Prahova,Prahova,"Str. Principală 1, Prahova",+40 25X XXX XXX,contact@cameragricolaprahova.ro,https://www.cajprahova.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Prahova county,"Consulting, certification, representation, training"
44,Camera Agricolă Județeană Satu Mare,County Agricultural Chamber,Satu Mare,Satu Mare,"Str. Principală 1, Satu Mare",+40 25X XXX XXX,contact@cameragricolasatu mare.ro,https://www.cajsatu mare.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Satu Mare county,"Consulting, certification, representation, training"
45,Asociația Producătorilor Lactate din Județul Sibiu,County Association,Sibiu,Sibiu,"Str. Lactatelor 8, Sibiu",+40 269 345 678,contact@lactatesibiu.ro,https://www.lactatesibiu.ro,Dairy,Președinte,45 dairy producers,Dairy production and processing,,"HACCP, ISO",,,,"Dairy processors, local markets",County Association,Traditional dairy products from Transylvania,"Quality control, marketing, technical support"
46,Camera Agricolă Județeană Sibiu,County Agricultural Chamber,Sibiu,Sibiu,"Str. Principală 1, Sibiu",+40 25X XXX XXX,contact@cameragricolasibiu.ro,https://www.cajsibiu.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Sibiu county,"Consulting, certification, representation, training"
47,Cooperativa Laptelac Ardeal,Production Cooperative,Sibiu,Agnita,"Str. Mlădiței 22, Agnita, Jud. Sibiu",+40 269 567 890,contact@laptelac.ro,https://www.laptelac.ro,Dairy,Radu Ana (Președintă),24,Milk production and dairy processing,"Raw milk, cheese, yogurt, butter","ISO 22000, Organic",J32/5678/2021,15.11.2021,,"Dairy processors, local markets, specialty stores",MADR Register,Traditional mountain dairy products,"Milk collection, processing, local distribution"
48,Camera Agricolă Județeană Suceava,County Agricultural Chamber,Suceava,Suceava,"Str. Principală 1, Suceava",+40 25X XXX XXX,contact@cameragricolasuceava.ro,https://www.cajsuceava.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Suceava county,"Consulting, certification, representation, training"
49,Camera Agricolă Județeană Sălaj,County Agricultural Chamber,Sălaj,Salaj,"Str. Principală 1, Salaj",+40 25X XXX XXX,contact@cameragricolasalaj.ro,https://www.cajsalaj.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Sălaj county,"Consulting, certification, representation, training"
50,Camera Agricolă Județeană Teleorman,County Agricultural Chamber,Teleorman,Teleorman,"Str. Principală 1, Teleorman",+40 25X XXX XXX,contact@cameragricolateleorman.ro,https://www.cajteleorman.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Teleorman county,"Consulting, certification, representation, training"
51,Asociația Fermierilor din Județul Timiș,County Association,Timiș,Timișoara,"Str. Agricultori 12, Timișoara",+40 256 234 567,contact@fermieritimis.ro,https://www.fermieritimis.ro,Multi-sector,Președinte,150+ farmers,Representation of farmers in Timiș county,,NGO,,,,Local markets,County Association,Major farmers association in western Romania,"Representation, consulting, training"
52,Camera Agricolă Județeană Timiș,County Agricultural Chamber,Timiș,Timis,"Str. Principală 1, Timis",+40 25X XXX XXX,contact@cameragricolatimis.ro,https://www.cajtimis.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Timiș county,"Consulting, certification, representation, training"
53,Cooperativa Agricola Sud-Vest Grânceri,Production Cooperative,Timiș,Sânnicolau Mare,"Str. Câmpiei 8, Sânnicolau Mare, Jud. Timiș",+40 256 456 789,office@agrograniceri.ro,https://www.agrograniceri.ro,Cereals,Kovacs Peter (Președinte),67,Large-scale cereal production,"Wheat, corn, barley, rapeseed","IFS, HACCP",J36/4567/2017,05.02.2017,,"Large processors, export, commodities market",MADR Register,"8000 ha cultivated area, modern equipment","Large-scale production, storage, transport"
54,Camera Agricolă Județeană Tulcea,County Agricultural Chamber,Tulcea,Tulcea,"Str. Principală 1, Tulcea",+40 25X XXX XXX,contact@cameragricolatulcea.ro,https://www.cajtulcea.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Tulcea county,"Consulting, certification, representation, training"
55,Camera Agricolă Județeană Vaslui,County Agricultural Chamber,Vaslui,Vaslui,"Str. Principală 1, Vaslui",+40 25X XXX XXX,contact@cameragricolavaslui.ro,https://www.cajvaslui.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Vaslui county,"Consulting, certification, representation, training"
56,Camera Agricolă Județeană Vrancea,County Agricultural Chamber,Vrancea,Vrancea,"Str. Principală 1, Vrancea",+40 25X XXX XXX,contact@cameragricolavrancea.ro,https://www.cajvrancea.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Vrancea county,"Consulting, certification, representation, training"
57,Camera Agricolă Județeană Vâlcea,County Agricultural Chamber,Vâlcea,Vâlcea,"Str. Principală 1, Vâlcea",+40 25X XXX XXX,contact@cameragricolavâlcea.ro,https://www.cajvâlcea.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Vâlcea county,"Consulting, certification, representation, training"
