seap_winner,fd_company,email,category,county
Farmaceutica Remedia Distribution & Logistics S.R.L.,FARMACEUTICA REMEDIA DISTRIBUTION & LOGISTICS SRL,,distributor,Bucuresti
Fleischparty SRL,FLEISCHPARTY SRL,turbatu.adriana@yahoo.com,logistics,
FLORINA S.R.L.,FLORINA,paul_sergiu02@yahoo.com,horeca,
GORDON-PROD S.R.L.,Gordon Prod,,logistics,Bucuresti
Ilvas S.A.,ILVAS SA,ilvas_vs@yahoo.com,horeca,
JOSI LOGISTIC SRL,josi logistic srl,,logistics,Bucuresti
KALMAN DISTRIBUTION S.R.L.,KALMAN DISTRIBUTION S.R.L.,office@kalman.ro,logistics,
LACTIS,Lactis,achizitii@lactis.md,dairy,
La Fântână,LA  FANTANA   SRL,,logistics,Bihor
LECONFEX S.R.L.,Leconfex SRL,,logistics,Alba
LEGUME FRUCTE COM S.R.L.,Legume Fructe Com S.R.L,,logistics,Bucuresti
LUIGI,LUIGI,luigino.cristea@yahoo.com,horeca,
MACROMEX SRL,MACROMEX SRL,,distributor,Bucuresti
MARUL DE AUR,Marul de Aur,contact@maruldeaur.com,horeca,
Maspex România,MASPEX ROMANIA SRL,c.dimian@maspex.ro,logistics,
Metro Cash & Carry România S.R.L.,Metro Cash&Carry Romania SRL,resurseumane.arad@metro.ro,supermarket,Bucuresti
NORDIC IMPEX S.R.L.,NORDIC IMPEX SRL,office@nordicsrl.ro,logistics,
OANA,OANA,ms25rus@gmail.com,horeca,
PAN-PARTENER SPEDITION ARG,PAN PARTENER SPEDITION ARG,,cold-storage,Arges
PARHAN COM S.R.L.,PARHAN  COM  SRL,,supermarket,Bihor
PHARMAFARM,Pharmafarm S.A,,logistics,Bucuresti
PIINEA DE CASA,PIINEA DE CASA SRL,hr@kovacs.ro,horeca,
PRODPROSPER,PRODPROSPER SRL,irina.florea@prodprosper.ro,horeca,
R & B COM S.R.L.,R B COM SRL,resurseumane@brutariabaiasprie.ro,logistics,
Retacom S.R.L.,Retacom S.R.L,,meat,Bucuresti
ROMAN,ROMAN,popgarofita@ymail.com,horeca,
SANLACTA SRL,Sanlacta SRL,,logistics,Bucuresti
S.C. Coca Cola HBC România S.R.L.,S.C. Coca Cola HBC Romania S.R.L.,recrutare@cchellenic.com,supermarket,Bucuresti
S.C. MILK S.R.L.,S.C. MILK S.R.L.,,dairy,Botosani
SELGROS CASH&CARRY SRL,Selgros Cash&Carry,monica.balas@selgros.ro,supermarket,Bucuresti
SIMULTAN S.R.L.,Simultan SRL,office@smartrecruiters.ro,logistics,Bucuresti
SUPERSTAR COM S.R.L.,SUPERSTAR COM SRL,office@superstarcom.ro,logistics,
TOPI IMPORT-EXPORT,TOPI IMPORT EXPORT,office@tomsa.ro,logistics,Arges
Transeuro S.R.L.,Transeuro SRL,contabilitate@transeuro-il.ro,supermarket,Alba
UNICARM S.R.L.,Unicarm SRL,bogdan.ilies@unicarm.ro,supermarket,Alba
VANBET SRL,VANBET SRL,resurseumane@vanbet.ro,logistics,
VASCAR S.A.,Vascar SA,office@vascar.ro,logistics,Bucuresti
VEL PITAR S.A.,VEL PITAR SA,victoria.radescu@grupobimbo.com,logistics,
VOIPAN SIL S.R.L.,VOIPAN SIL SRL,resurse.umane.voipan@gmail.com,horeca,
GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,GRUP DE PRODUCATORI AGRICOLI BIHOR SRL,,agriculture,Bihor
BIO CARPATHIA COOPERATIVA AGRICOLĂ,BIO CARPATHIA C.A.,,agriculture,Brasov
Pan – partener Spedition ARG S.R.L.---S.C. Agrosemcu S.R.L.---Vel Pitar S.A.,PAN PARTENER SPEDITION SRL,,cold-storage,Arges
FrieslandCâmpina România S.A.,FrieslandCampina,,dairy,
Farmaceutica Remedia Distribution & Logistics S.R.L.,FARMACEUTICA REMEDIA DISTRIBUTION&LOGISITICS SRL,,distributor,Arges
Total Distribution Group Argeș,TOTAL  DISTRIBUTION  GROUP  BIHOR  SRL,,distributor,Bihor
CASA DE COMENZI DUMI,Casa de Comenzi,,distributor,Bucuresti
COMPLEX AGROALIMENTAR S.R.L.,COMPLEX AGROTURISTIC LIVADA DE NUCI,ioana.radescu2013@gmail.com,horeca,
Cooperativa Agricolă Agrolact Moldova---Vanbet S.R.L.,COOPERATIVA SINCRAI SRL,lacooperativa@yahoo.com,horeca,
Compania Națională Unifarm,COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,achizitii@drdpcluj.ro,other,
Compania Națională Unifarm,COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE TRANSELECTRICA SA SUCURSALA TERITORIALA DE TRANSPORT TIMISOARA,dana.pojoga@translectrica.ro,logistics,
Compania Națională Unifarm,COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM SA,cariera@tarom.ro,logistics,
Compania Națională Unifarm,COMPANIA NATIONALA POSTA ROMANA S.A BUCURESTI SUCURSALA BUCURESTI,b.resurseumane@ro.popst,logistics,
Compania Națională Unifarm,COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA IASI,is.resurseumanr@ro-post.ro,logistics,
Compania Națională Unifarm,COMPANIA NATIONALA POSTA ROMANA SA BUCURESTI SUCURSALA CLUJ NAPOCA,recrutare@ropost.ro,logistics,
DISTRIBUTIE PE GUSTATE,DISTRIBUTIE ENERGIE ELECTRICA ROMANIA S.A.,manuela.voicu@distributie-energie.ro,logistics,
GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,GRUP DE PRODUCATORI CEREALE AGROIND SRL,,logistics,Bihor
SC PRESTAGRO COMIMPEX SRL,SC PRESTAGROZOOT SRL,,logistics,Botosani
Farmaceutica Remedia Distribution & Logistics S.R.L.,Farmaceutica Ana Maria,,logistics,Bucuresti
LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,Legume Fructe SRL,,logistics,Bucuresti
Institutul National de Cercetare-Dezvoltare Medico-Militar Cantacuzino,Institutul National de Cercetare Dezv. Pt BioresurseAlimentare IBA,,meat,Bucuresti
Institutul National de Cercetare-Dezvoltare Medico-Militar Cantacuzino,INSTITUTUL NATIONAL DE SA,,other,
SC UNIVERSAL SA---TRANSEURO,SC Universal Cosmetic 2003 SRL,,supermarket,Arges
SC UNIVERSAL SA---TRANSEURO,SC Universal Crisroby 2005,,supermarket,Arges
SC UNIVERSAL SA---TRANSEURO,SC Universal Roxil Market,,supermarket,Arges
GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,GRUP DE PRODUCATORI LEGUME BIHOR SRL,,supermarket,Bihor
CASA DE COMENZI DUMI,Casa de Comenzi Leon,,supermarket,Bucuresti
LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,Legume Fructe Gabi,,supermarket,Bucuresti
Cooperativa Agricolă Agrolact Moldova---Vanbet S.R.L.,COOPERATIVA AGRICOLA GRADINA NOASTRA DIN ZARAND,lacooperativa@yahoo.com,agriculture,Arad
Cooperativa Agricolă Agrolact Moldova---Vanbet S.R.L.,COOPERATIVA AGRICOLA  A FERMIERILOR VARIDOR,lacooperativa@yahoo.com,distributor,Arad
Cooperativa Agricolă Agrolact Moldova---Vanbet S.R.L.,COOPERATIVA AGRICOLA BANAT ECO FARMS,lacooperativa@yahoo.com,distributor,Arad
Cooperativa Agricolă Agrolact Moldova---Vanbet S.R.L.,Cooperativa Agricola a Crescatorilor de Baltata Romaneasca - Cooperativa Agricola,lacooperativa@yahoo.com,logistics,Brasov
CARMANGERIA JUPÂNUL S.R.L.---S.C. SC CONIFLOR SRL S.R.L.,Carmangeria Paul SRL,camelia_sorecau@yahoo.com,meat,Alba
CARMANGERIA JUPÂNUL S.R.L.---S.C. SC CONIFLOR SRL S.R.L.,Carmangeria Arisanu SRL,camelia_sorecau@yahoo.com,meat,Brasov
CARMANGERIA JUPÂNUL S.R.L.---S.C. SC CONIFLOR SRL S.R.L.,Carmangeria Catalinoiu SRL,camelia_sorecau@yahoo.com,meat,Brasov
CARMANGERIA JUPÂNUL S.R.L.---S.C. SC CONIFLOR SRL S.R.L.,Carmangeria Mio SRL,camelia_sorecau@yahoo.com,meat,Brasov
Compania Națională Unifarm,COMPANIA NATIONALA POSTA ROMANA,resurse.umane@cnir.ro,supermarket,Arges
Cooperativa Agricolă Agrolact Moldova---Vanbet S.R.L.,COOPERATIVA AGRICOLA MIEREA TRANSILVANIEI,lacooperativa@yahoo.com,supermarket,Bistrita Nasaud
Metro Cash & Carry România S.R.L.,Metro Cash & carry Brasov,resurseumane.arad@metro.ro,supermarket,Brasov
Metro Cash & Carry România S.R.L.,Metro cash & Carry SRL,resurseumane.arad@metro.ro,supermarket,Bucuresti
SELGROS CASH&CARRY SRL---STEDYAN COM S.R.L.---YOU FOREVER SRL,Selgros Cash&Cary,monica.balas@selgros.ro,supermarket,Bucuresti
Total Distribution Group Argeș,TOTAL DISTRIBUTION BEER SRL,paunicaioana@yahoo.com,distributor,Bihor
