winner_name,cui,wins,total_value_ron,distinct_buyers
Mercali,,11,66743.08,1
Prestigiosa Prodcom S.R.L.,,11,1803402.17,2
S.C. VASCAR S.A. S.R.L.,,11,145185.19,4
SC.METITEX AGRO FOOD SRL,,11,101408.65,2
COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.,,11,135544.92,9
COMPANY 94 PIRNAU SRL---FALCONS---S.C NISARA IMPEX S.R.L,,11,403208.11,1
COMPANY 94 PIRNAU SRL---FALCONS,,11,145866.68,1
Click Top Management,,11,459643.76,3
ALLIANCE HEALTHCARE ROMANIA---MEDIPLUS EXIM,,11,18208.83,2
AMA FRUCT CP---B.P. ANKROB IMPEX---Harghita Retail---ILM-COM S.R.L.---STEDYAN COM S.R.L.,,11,247351.42,1
LECONFEX---SIGISMUND COM,,11,2105012.58,3
LECONFEX---PARHAN COM S.R.L.---SIGISMUND COM,,11,272720.93,3
APICRIS NATURA,,11,18637.31,6
GRANBIS S.R.L---NED COM,,11,693709.07,3
BLACK SEA EUROINVESTMENT---HARPEK---OLYMEL FLAMINGO FOOD S.R.L.,,11,317083.82,1
Harmopan,,10,361264.26,4
SC CARMACO AGRO SRL,,10,35308.79,3
LEGUME FRUCTE COM S.R.L.---STEDYAN COM,,10,203291.46,5
OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,10,12599.06,3
GECOR GROUP GL SRL,,10,139800.33,4
BMK GLOBAL IMPORT EXPORT---S.C. ANM HOLDERS SRL---STEDYAN COM S.R.L.,,10,5025.55,1
BMK GLOBAL IMPORT EXPORT---GRANBIS---STEDYAN COM S.R.L.,,10,15755.01,1
GALICOM BOTOSANI S.R.L.,,10,101104.06,2
DANSER PAN SRL,,10,137718.06,1
AMA FRUCT CP---STEDYAN COM---SUPER EXTRA PAN S.R.L.,,10,277576.28,3
AGRITWINS S.R.L.---AMA FRUCT CP---STEDYAN COM,,10,56621.3,4
S.C. Fleischparty SRL S.R.L.,,10,290999.65,4
ALIADI AGROCOM S.R.L,,10,5873.76,1
ANDROMI COM---PRODLACTA SRL,,10,667124.07,3
PIINEA DE CASA,,10,156117.24,3
Baby Business SRL---PARHAN COM S.R.L.,,10,203438.61,2
ADCON---LECONFEX---PARHAN COM S.R.L.,,10,30216.55,3
Cristim - Tim Companie de Familie SRL,,10,214268.54,6
DIACARN FOOD---MATRA S.R.L.,,10,863794.93,3
AMA FRUCT CP---FALCONS---LEGUME FRUCTE COM S.R.L.,,10,200105.57,1
Amia Invest S.R.L.,,9,60296.31,2
Annabella Fabrica de Conserve Râureni,,9,203657609.09,2
UNICARM S.R.L.,,9,576115.59,1
Era Global S.R.L.,,9,1455946.95,2
BEST ACHIZITII,,9,7813190.35,4
LECONFEX S.R.L.---PICOLACT PRODCOM SRL,,9,118629.58,2
C&M ARTIC IMPORT EXPORT SRL---FORTUS S.R.L.,,9,805100.13,1
HARPEK---OLYMEL FLAMINGO FOOD S.R.L.,,9,41193.13,2
AMA FRUCT CP---LECONFEX---PARHAN COM S.R.L.,,9,216650.13,4
Alfa Clasic,,9,1301064.8,1
DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.---SUPER EXTRA PAN S.R.L.,,9,93178.58,2
DANCOLD S.R.L.,,9,13703.33,3
AMA FRUCT CP---GRANBIS,,9,41704.43,1
EXIMAL IMPEX---PARHAN COM S.R.L.---Safeway International Impex SRL,,9,27928.24,2
SC DANGES PRODCOM SRL,,9,89519.64,2
LEGUME FRUCTE COM S.R.L.---SIGISMUND COM---STEDYAN COM,,9,51412.41,1
Andromi Com S.R.L.,,8,389255.8,6
Joldos Proimpex S.R.L.,,8,150189.89,3
Retacom S.R.L.,,8,643402.96,1
Acvila,,8,963983.26,4
Panamarom S.R.L.,,8,3537273.29,4
LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,8,82543.42,5
BOROMIR PROD,,8,29936.55,2
Prolacta S.R.L.,,8,1357160.81,2
BARON COM,,8,389680.54,1
GREEN MASTER S.R.L.,,8,233893.21,4
SC UNIVERSAL SA,,8,180455.88,3
AMA FRUCT CP---PARHAN COM S.R.L.---STEDYAN COM,,8,81858.14,4
Fleischparty SRL,,8,441545.91,4
AGROMIPA,,8,7911.46,1
AGRITWINS S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,,8,71533.65,3
Cristim 2 Prodcom---MATRA S.R.L.,,8,229263.28,4
C-AGLA-C COM SRL---KALMAN DISTRIBUTION S.R.L.,,8,23531.84,2
BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---PROVIGO TRADE S.R.L.,,8,25883.13,1
MERIDIAN AGROIND---SC PATISGAL SRL,,8,1544316.34,2
BISCOTTO SRL---R & B COM S.R.L.,,8,1907740.5,2
RARVALSERV SRL,,8,836581.56,3
AMA FRUCT CP---CUW IMPEX---LECONFEX,,8,115763.98,1
BOWEL PROCESSING---DIACARN FOOD---MATRA S.R.L.,,8,206960.91,2
CARMANGERIA JUPÂNUL S.R.L.,,8,134789.33,5
PARHAN COM S.R.L.---PRODLACTA SRL---SIGISMUND COM,,8,66243.19,1
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.---S.C. AMA FRUCT CP S.R.L.,,8,162745.06,5
ADCON---PARHAN COM S.R.L.,,8,35545.21,3
Strungariu & Co Rigams LM S.N.C.,,8,114983.76,2
BLACK SEA EUROINVESTMENT---OLYMEL FLAMINGO FOOD S.R.L.,,8,265974.61,5
AGROSEMCU---HARMOPAN,,8,0.88,1
ADCON---EXIMAL IMPEX---PARHAN COM S.R.L.,,8,19988.84,2
CUW IMPEX---LECONFEX,,8,399829.31,1
FALCONS---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,,8,31153.72,1
ALMI FRUCT SRL,,8,261739.8,1
TRANSLIMA,,8,13903.9,3
AGROPAN IMPEX S.R.L.---Velrom,,8,776392.71,2
AMARIEI G. PETRU---BMK GLOBAL IMPORT EXPORT---S.C. ANM HOLDERS SRL,,8,12871.56,1
EXIMAL IMPEX---LECONFEX S.R.L.---PARHAN COM S.R.L.,,8,10695.06,3
ACVILA---ANDROMI COM---ROMICS---SIGISMUND COM,,8,345933.16,1
AMA FRUCT CP---BOBIX STAR S.R.L.---PROVISION RETAIL PROD SRL,,8,23548.93,1
S.C. Saltempo S.R.L.,,7,476915.8,3
S.C. NISARA IMPEX S.R.L.,,7,12608959.03,2
Agro-Pan-Star S.R.L.,,7,2120302.45,2
R & B Com S.R.L.,,7,2363384.09,2
V&R Prod-Com S.R.L.,,7,1243198.04,2
Ovisim Impex S.R.L.,,7,167414.04,1
Voipan Sil S.R.L.,,7,288469.64,2
Lidas S.R.L.,,7,145603.16,3
Oncos Transilvania,,7,565791.96,3
Biscotto S.R.L.,,7,4336864.83,2
MIRMAN COMPANY SRL,,7,39297.98,1
CRISTIAN IMPEX SRL,,7,175228.75,1
AVI-VEST,,7,6095.7,1
DUNICEC COM---EURONIC S.R.L.,,7,489812.37,1
LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---S.C. AMA FRUCT CP S.R.L.,,7,37958.22,6
AMA FRUCT CP---SC ASOCIATIA POMICOLA ITESTI SRL,,7,977228.9,1
COMPANY 94 PIRNAU SRL---FALCONS---LEGUME FRUCTE COM S.R.L.,,7,91800.73,1
BOBIX STAR S.R.L.---COMPANY 94 PIRNAU SRL---FALCONS,,7,134292.03,1
INTER CONECTER  S.R.L.---LECONFEX---ROMICS,,7,679536.98,1
ADCON---DOIMAN COM S.R.L.---EURICOM TRADE SRL---PROVIGO TRADE S.R.L.,,7,8084.73,1
AMARIEI G. PETRU---S.C. ANM HOLDERS SRL---STEDYAN COM S.R.L.,,7,5018.45,1
LECONFEX S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,7,22529.01,3
Ellmar Com---Prodman S.R.L.,,7,85692.16,1
SC REAL BIALOREX SRL,,7,352953.09,1
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---SORION BĂLENI,,7,147673.22,2
CO&SI---LECONFEX---PARHAN COM S.R.L.,,7,44333.32,1
BRADET,,7,1658399.44,5
ANDROMI COM---COREX S.R.L.---LECONFEX S.R.L.,,7,94756.61,3
PARHAN COM S.R.L.---ROMICS---SIGISMUND COM,,7,130437.15,3
AGRICOVER,,7,198839.59,2
OXIGEN AGRO PRODUCT COMPANY,,7,400377.8,1
FAST SERVICE SRL,,7,600791.17,3
EXIMAL IMPEX---PARHAN COM S.R.L.,,7,6258.3,2
GYMYS,,7,15751.39,4
SC CARLAND S.R.L.,,6,11173.11,1
Falcons S.R.L.,,6,56970.17,3
Provigo Trade S.R.L.,,6,57198.66,3
BOWEL PROCESSING S.A.,,6,134414.52,1
Copanex S.R.L.,,6,123447.43,3
Biota Com S.R.L.,,6,37655.47,4
S.C. Patisgal S.R.L.,,6,109761.02,1
Liacris S.R.L.,,6,337263.47,3
AVALUX-STAR SRL,,6,42685.48,3
AMA FRUCT CP---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,6,25946.27,2
AMA FRUCT CP---DOIMAN COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,,6,6852.09,1
SC MAFTON PROD SRL,,6,22048.98,2
Geocor Trade Imp-Exp---Granbis,,6,3257077.24,2
JOLDOS PROIMPEX S.R.L.---PARHAN COM S.R.L.,,6,21220.11,4
GEOCOR TRADE IMP-EXP---MATRA S.R.L.---NORDIC IMPEX S.R.L.---PROVISION RETAIL PROD SRL,,6,101637.4,1
COMSORADI SRL---MATRA S.R.L.---NICBAC PROD,,6,372255.44,2
BOBIX STAR S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SC IRINEL SRL,,6,112641.65,2
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,6,165985.98,1
Santefruct S.R.L.,,6,30722.09,2
AMA FRUCT CP---C-AGLA-C COM SRL---STEDYAN COM S.R.L.,,6,106297.62,1
AMA FRUCT CP---OLYMEL FLAMINGO FOOD S.R.L.,,6,47317.24,3
NOVAPLUS SRL,,6,703.31,2
S.C. BIOTA COM S.R.L. S.R.L.,,6,47557.73,3
PISOI DULCE SRL,,6,14231.46,2
AMARIEI G. PETRU---BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---PROVISION RETAIL PROD SRL,,6,14840.81,1
AGROPAN IMPEX S.R.L.---DORNA LACTATE,,6,592956.78,1
DUNICEC COM,,6,1197793.3,2
PROSEMENTI S.R.L.---S M RECOSEMTRACT,,6,20534.02,1
AGROPAN IMPEX---DORNA LACTATE,,6,586753.8,1
ACVILA---PARHAN COM S.R.L.---SIGISMUND COM,,6,52016.42,2
AMARIEI G. PETRU---LECONFEX S.R.L.---PARHAN COM S.R.L.,,6,33405.42,2
CRISTIAN IMPEX BAKERY,,6,73169.9,1
ADCON---LECONFEX---SIGISMUND COM,,6,15539.65,1
AMARIEI G. PETRU---PARHAN COM S.R.L.,,6,141994.61,4
Redoxim S.R.L.,,6,10584.92,1
MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,6,314940.73,6
ADCON---LECONFEX---OLYMEL FLAMINGO FOOD S.R.L.,,6,111912.83,2
COREX S.R.L.---LECONFEX S.R.L.---PARHAN COM S.R.L.,,6,59972.14,4
ADIDEM GARDENER,,6,1532881.46,1
CARPATIS---DIACARN FOOD,,6,662697.14,3
BONAS IMPORT EXPORT---ELLY FOOD TRADIŢIONAL---PICOLACT PRODCOM SRL,,6,100199.61,1
LEGUME FRUCTE COM S.R.L.---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,,6,83568.7,5
UDI - PANIF 2001,,6,64301.23,3
ANDROMI COM---CARMANGERIA-DALIA S.R.L.,,6,13415.93,2
CARLAND S.R.L.---STEDYAN COM S.R.L.,,6,29049.19,2
Parhan COM S.R.L.,,5,71036.26,4
Stedyan Com,,5,28426.49,1
Romics,,5,238199.43,2
Lactate Natura S.A.,,5,73603.78,2
S.C. Agrosemcu S.R.L.,,5,177868.62,4
Nordic Impex S.R.L.,,5,374700.19,2
C & M Artic Import Export S.R.L.,,5,172679.71,1
Fraher Distribution,,5,122893.5,2
Grewe,,5,332699.09,2
Romfulda Prod S.R.L.,,5,180917.46,3
Tac-Tac S.R.L.,,5,182112.61,4
SC LIBRO EVENTS SRL,,5,83533.29,1
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,,5,17160.18,2
CINA CARMANGERIE S.R.L.---JOLDOS PROIMPEX S.R.L.---LECONFEX S.R.L.,,5,48919.44,3
S.C. Harghita Retail S.R.L.,,5,1337606.62,4
Deitacom S.R.L.,,5,82162.09,2
COMPANY 94 PIRNAU SRL---FALCONS---STEDYAN COM S.R.L.,,5,40241.24,3
Productie Bingo S.R.L.,,5,86786.06,2
ANASTYL COM SRL,,5,21046.42,1
AMARIEI G. PETRU---BOBIX STAR S.R.L.---DOIMAN COM S.R.L.,,5,21737.42,1
Geocor Trade Imp-Exp---Granbis---Matra S.R.L.,,5,1101088.7,2
AGRICOLA FRUGAL S.R.L.---AMA FRUCT CP---STEDYAN COM S.R.L.,,5,32530.08,1
AMARIEI G. PETRU---BMK GLOBAL IMPORT EXPORT---GRANBIS,,5,6887.94,1
S.C. CARMANGERIA-DALIA S.R.L. S.R.L.,,5,43340.99,2
ANDROMI COM---JOLDOS PROIMPEX S.R.L.---SIGISMUND COM,,5,229106.98,1
PROD ABC STAR,,5,55825.76,2
MARCHIDAN IMPEX S.R.L.,,5,179691.44,1
AMA FRUCT CP---SC PAN ABACS SRL,,5,416989.4,1
DRAGON.RC---LECONFEX S.R.L.,,5,46411.49,2
BLACK SEA EUROINVESTMENT---HARPEK,,5,215789.5,2
LECONFEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,5,21478.64,4
ACVILA---S.C. ROMICS S.R.L.,,5,106436.62,5
CUW IMPEX,,5,851591.59,1
LOGISTIC MEDIA POP ART SRL---SC LIBRO EVENTS SRL,,5,916276.44,1
AGROSEMCU---FAGUL IMPEX,,5,2006276.85,2
DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,,5,6893.93,4
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---PROVISION RETAIL PROD SRL,,5,9932.98,1
Super Ava S.R.L.,,5,155547.87,2
DOIMAN COM S.R.L.---PARHAN COM S.R.L.---SIGISMUND COM,,5,75576.27,2
TOPI IMPORT-EXPORT,,5,19319.66,2
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,5,162378.54,4
UNGURENUS MIHAIL,,5,4639.53,1
Baby Business SRL---EURICOM TRADE SRL---PARHAN COM S.R.L.,,5,148976.15,1
COMPANY 94 PIRNAU SRL---STEDYAN COM S.R.L.,,5,118877.09,4
DOIMAN COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,,5,63622.9,3
GRANBIS S.R.L---NED COM---OLYMEL FLAMINGO FOOD S.R.L.---ROMLIV & L PRODIMPEX S.R.L.,,5,38609.92,1
COMPANY 94 PIRNAU SRL---NED COM---OLYMEL FLAMINGO FOOD S.R.L.,,5,120686.26,4
DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.---SUPER EXTRA PAN S.R.L.,,5,68667.57,1
COREX S.R.L.---JOLDOS PROIMPEX S.R.L.,,5,72207.68,2
COMSORADI SRL---DIACARN FOOD---MATRA S.R.L.,,5,104761.55,1
PANECOM COMERCIAL NEW,,5,26518.47,2
CAPRARU COMP SRL,,5,107121.7,1
LECONFEX---PARHAN COM S.R.L.---Safeway International Impex SRL,,5,3133.8,1
Comsoradi S.R.L.---Matra S.R.L.,,5,557477.35,1
ADCON---COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.,,5,15953.37,3
DOIMAN COM S.R.L.---LECONFEX S.R.L.---SIGISMUND COM,,5,129016.3,2
ACVILA---DOIMAN COM S.R.L.---SIGISMUND COM,,5,37518.39,1
AMA FRUCT CP---LECONFEX---OLYMEL FLAMINGO FOOD S.R.L.,,5,55829.07,1
Carland S.R.L.---Company 94 Pirnau S.R.L.---Doiman COM S.R.L.---Stedyan COM S.R.L.,,5,168362.85,1
LEGUME FRUCTE COM S.R.L.---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,5,537466.46,4
S.C. Rosario Pan S.R.L.,,5,447179.84,4
COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,,5,146636.6,4
Geocor Trade Imp-Exp S.R.L.---Granbis---Miricos,,5,43756.08,1
C-AGLA-C COM SRL---STEDYAN COM S.R.L.,,5,238381.63,3
S.C. SELGROS CASH&CARRY SRL S.R.L.,,5,3183.9,2
GEOCOR TRADE IMP-EXP---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,5,3027.23,1
DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.,,5,114837.51,4
S.C. Rustic Pani Grig S.R.L.,,5,432781.81,1
GEOCOR TRADE IMP-EXP---OLYMEL FLAMINGO FOOD S.R.L.,,5,226698.0,3
COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.,,5,88891.02,4
DOIMAN COM S.R.L.---MATRA S.R.L.,,5,359211.05,3
DISTRIBUTIE PE GUSTATE,,5,71328.99,1
AMARIEI G. PETRU---SC ASOCIATIA POMICOLA ITESTI SRL,,5,631663.28,1
ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.,,5,425106.63,3
S.C. PRESBAR S.R.L.,,5,64439.71,2
MIRICOS,,5,2405.55,1
AGRITWINS S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,,5,29889.86,1
Achiziție și Dezvoltare S.R.L.,,5,772728.15,1
DUNICEC COM---EURONIC S.R.L.---PARISIENNE A LA VYS S.R.L.,,5,1553500.61,1
FLORINA S.R.L.---GIGI & CO S.R.L.---SABY MIRIFIC SRL---SC CALIFARUL NEGRU SRL---SC REAL BIALOREX SRL,,5,785038.13,2
AMA FRUCT CP---B.P. ANKROB IMPEX---Baby Business SRL---Harghita Retail---STEDYAN COM S.R.L.,,5,40049.98,1
SC PAMAS TRADING SRL,,5,905406.26,1
SPICUL 2 S.R.L.,,4,57241.08,1
S. C. MCA Comercial S.R.L,,4,184962.97,3
MEDIPLUS EXIM S.R.L.,,4,26557.58,2
Dunapan Star,,4,361567.06,3
Dorna Lactate,,4,2672873.01,1
Five Continents Group S.R.L.,,4,1140933.02,1
Inseco,,4,2217.91,1
S.C. Radipcom S.R.L.,,4,719246.45,3
Ar Linia Tea,,4,31912255.92,1
Sanalact S.R.L.,,4,498491.54,2
Muricom S.R.L.,,4,77385.85,3
Granbis---Matra S.R.L.,,4,667810.65,3
Grain Express S.R.L.,,4,47760.95,2
S.C. MCA Comercial S.R.L,,4,116758.42,4
CRISTIANA LINE S.R.L.,,4,17293.53,1
Biogenetix S.R.L.,,4,122597.77,1
Sincer,,4,85523.57,1
Macromex S.R.L.,,4,38823.08,2
PRODLACTA SRL---ROMICS,,4,57173.65,3
ACVILA---ADCON---SIGISMUND COM,,4,43326.63,2
ACVILA---S.C. ROMICS S.R.L.---SIGISMUND COM,,4,2116305.64,3
PRESTIGIOSA PRODCOM S.R.L.---SELGROS CASH&CARRY SRL,,4,65953.45,1
Porchino S.R.L.,,4,43072.62,1
PHARMAFARM,,4,52600.43,3
AMA FRUCT CP---CO&SI---LECONFEX,,4,9404.66,1
