company,cui,county,city,address,phone,email,website,category,subcategory,source
PIVNITA SAVU SRL,,Alba,,"CIMBRUD,MUN.AIUD,STR.ARINILOR.NR.12A",,,,agriculture,,LOGISTICS_RO.csv
POMICOLA BOZ SRL,,Alba,,"BOZ,Com.DOSTAT Nr.40",,,,agriculture,,LOGISTICS_RO.csv
RAUL FRUCT EXPERT SRL-D,,Alba,,"ALBA IULIA,FANTANELE, NR.21",,,,agriculture,,LOGISTICS_RO.csv
RICO FRESH SRL,,Alba,,"ALBA IULIA, CALEA MOTILOR, NR.106",,,,agriculture,,LOGISTICS_RO.csv
ROMANIAN WINE & SPIRIT TRADE CO SRL,,Alba,,"BLAJ, STR. GHEORGHE BARITIU, NR.42",,,,agriculture,,LOGISTICS_RO.csv
SC AGROLOTUS SRL,,Alba,TEIUS,"TEIUS, STR. CLUJULUI, NR. 1",,,,agriculture,,LOGISTICS_RO.csv
SC AGROMEC SRL,,Alba,SEBES,"SEBES, STR. CALARASI, NR. 41",,,,agriculture,,LOGISTICS_RO.csv
SC COMCEREAL SRL,,Alba,BLAJ,"BLAJ, STR. M. KOGALNICEANU, NR. 42",40758990515,mihaela.bursuc@comcerealbt.ro,,agriculture,,LOGISTICS_RO.csv
SC ELECTRIC GERMAN SOLAR SRL,,Alba,,"ALBA IULIA, STR. FANTANELELOR, NR. 21",+40754254217,electricperconstruct@gmail.com,,agriculture,,LOGISTICS_RO.csv
SC FITOMAR SRL,,Alba,VINTU DE JOS,"VINTU DE JOS, STR. 1 DECEMBRIE, NR. 3",,,,agriculture,,LOGISTICS_RO.csv
SC GOLDEN WOOD SRL,,Alba,,"MUN. ALBA IULIA, STR. GARII, NR.4",,,,agriculture,,LOGISTICS_RO.csv
SC INTERFRUCT SRL,,Alba,,"CAMPENI, STR. TURZII, NR. 18",,,,agriculture,,LOGISTICS_RO.csv
SC MECSOL GALDA SRL,,Alba,Galda de Jos,"GALDA DE JOS, STR. PRINCIPALA, NR. 573",,,,agriculture,,LOGISTICS_RO.csv
SIBIANUL NIK SRL,,Alba,,"SEBES,STR.CALARASI ,NR.86",,,,agriculture,,LOGISTICS_RO.csv
SIGENTA IMPEX SRL,,Alba,,"AIUD, STR. GHEORGHE DOJA, NR.14",,,,agriculture,,LOGISTICS_RO.csv
SIMBA PRO DISTRIBUTION SRL,,Alba,,"ALBA IULIA,STR.GHE SINCAI,NR.6",,,,agriculture,,DISTRIBUTORS_RO.csv
SLS CARGO SRL,,Alba,,"ALBA IULIA, STR. AL. IOAN CUZA, NR.24",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA AGRICOLA AGROBIANA BIIA,,Alba,BIIA,"BIIA-SONA, NR. 454",,,,agriculture,,LOGISTICS_RO.csv
"SOCIETATEA AGRICOLA ""AVRAM IANCU"" SEBES",,Alba,SEBES,"SEBES, STR. CALARASI, NR. 45",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA AGRICOLA FRATIA-92,,Alba,LANCRAM,"LANCRAM, SOSEAUA E 81",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA AGRICOLA PETROVIA PETRESTI,,Alba,PETRESTI,"PETRESTI, STR. MIHAI VITEAZU,NR. 72B",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA AGRICOLA SEBESANA SEBES,,Alba,SEBES,"SEBES, STR. CALARASI,NR. 45",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA AGRICOLA TRITICUM SEBES,,Alba,SEBES,"SEBES, STR. CALARASI, NR. 45",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA AGRICOLA VINTANA,,Alba,VINTU DE JOS,"VINTU DE JOS, STR. L. BLAGA, NR. 63",,,,agriculture,,LOGISTICS_RO.csv
SOCIETATEA NATIONALA A SARII S.A.BUCURESTI SALINA OCNA MURES,,Alba,,"OCNA MURES, STR. MIHAI EMINESCU, NR.19",+40244240994,slanic@salrom.ro,,agriculture,,LOGISTICS_RO.csv
SPERANTA E.L SRL,2163772,Alba,,"CETATEA DE BALTA, STR. GAZULUI, FN",+40744359003,mihut_ionut_gabriel@yahoo.com,,agriculture,,LOGISTICS_RO.csv
UNIREA MARKET SRL,,Alba,,"ALBA IULA,STR.ALEX.IOAN CUZA,NR.9",,,,agriculture,,LOGISTICS_RO.csv
VINERSAR SRL,,Alba,,"ALBA IULA,STR.ATELIERULUI,Nr.16,CF 112128",0745921583,vinersarmariadaniela@yahoo.com,,agriculture,,LOGISTICS_RO.csv
VLAD BUSUIOC LEGUME FRUCTE,,Alba,,"BLAJ,STR.TUDOR VLADIMIRESCU,NR.80",,,,agriculture,,LOGISTICS_RO.csv
AGRO CODLEA,,Arad,,532/27.05.2010,,,,agriculture,,LOGISTICS_RO.csv
AGROLAND BUSINESS SYSTEM SA,,Arad,,Magazin pentru comercializarea hranei pentru animale de companie,,,,agriculture,,DISTRIBUTORS_RO.csv
AMC BIOAGRO SRL,,Arad,,12717/11.06.2025,,,,agriculture,,DISTRIBUTORS_RO.csv
ASIAN MARKET & TASTE SRL,,Arad,,12132/10.07.2024,,,,agriculture,,DISTRIBUTORS_RO.csv
AYANIS UNIVERSAL MART SRL,,Arad,,12014/20.05.2024,,,,agriculture,,DISTRIBUTORS_RO.csv
BERETA TRANS SRL,,Arad,,10626/22.08.2023,+40762073211,office@beb-trans.ro,,agriculture,,LOGISTICS_RO.csv
BIOTEHNICA SRL,,Arad,,8585/25.03.2024,,,,agriculture,,LOGISTICS_RO.csv
CATINA DKU PLANT SRL,,Arad,,8875/29.06.2020,,,,agriculture,,LOGISTICS_RO.csv
COOPERATIVA AGRICOLA GRADINA NOASTRA DIN ZARAND,,Arad,,10627/23.11.2022,+40742076166,lacooperativa@yahoo.com,,agriculture,,LOGISTICS_RO.csv
CORYLACEA JV SRL,,Arad,,9325/25.02.2021,,,,agriculture,,LOGISTICS_RO.csv
CORYLUS AVELLANA SRL,,Arad,,10594/09.11.2022,,,,agriculture,,LOGISTICS_RO.csv
DANO PLANT SRL,,Arad,,6177/14.01.2022,,,,agriculture,,LOGISTICS_RO.csv
ECO FRUX COOPERATIVA AGRICOLA SRL,,Arad,,11454/19.09.2023,+40744122870,ducozma@gmail.com,,agriculture,,LOGISTICS_RO.csv
GYA NUTS & PRODUCT SRL,,Arad,,12233/19.09.2024,,,,agriculture,,LOGISTICS_RO.csv
HALIS KAMER SRL,,Arad,,12529/25.03.2025,,,,agriculture,,LOGISTICS_RO.csv
HAPPY GOODFRUIT SRL,,Arad,,10064/01.08.2024,+40754062912,mihaela.ardelean@dieselplus.ro,,agriculture,,LOGISTICS_RO.csv
PALD BIOFARM SRL,,Arad,,9294/08.02.2021,0754333132,andreea.chiroiu@biofarm.ro,,agriculture,,LOGISTICS_RO.csv
PANORGANIC VITAVIT SRL,,Arad,,10311/15.07.2022,,,,agriculture,,MEAT_PROCESSORS_RO.csv
PFA PAIUSAN GASPAR TUDOR SERBAN,,Arad,,12697/04.06.2025,,,,agriculture,,MEAT_PROCESSORS_RO.csv
PROSOLTEC SRL,,Arad,,10041/04.03.2022,,,,agriculture,,LOGISTICS_RO.csv
RED HAPPY FRUIT COOPERATIVA AGRICOLA (AFINE),,Arad,,10312/15.07.2022,,,,agriculture,,LOGISTICS_RO.csv
ROMFRUIT HYPER DISTRIBUTION SRL,,Arad,,7215/23.11.2017,,,,agriculture,,DISTRIBUTORS_RO.csv
SAPORI DI FRUTTA SRL,,Arad,,11563/13.11.2023,,,,agriculture,,LOGISTICS_RO.csv
SMART TEHNIC BUSINESS SRL,,Arad,,12274/09.10.2024,,,,agriculture,,LOGISTICS_RO.csv
VARTEX LOGISTIC GRUP SRL,,Arad,,10821/03.03.2023,,,,agriculture,,DISTRIBUTORS_RO.csv
V&F LOGISTIC CENTER SRL,,Arad,,10748/13.02.2024,,,,agriculture,,LOGISTICS_RO.csv
VISOLUX COFFE SRL,,Arad,,12109/01.07.2024,,,,agriculture,,DISTRIBUTORS_RO.csv
Abagiu Serghei,,Arges,,VA3085/25.02.2011,,,,agriculture,,DAIRY_RO.csv
A&C NATURAL FOODS & FARMING,,Arges,,"CALINESTI, TARLA 45",,,,agriculture,,LOGISTICS_RO.csv
Adcof Sago Trans,,Arges,,VA7424/14.06.2017,,,,agriculture,,DAIRY_RO.csv
AGRICOM TOTAL GRUP SRL,,Arges,,"CEPARI, SAT UNGURENI, NR 127",,,,agriculture,,LOGISTICS_RO.csv
AGRIMAR ECOPLANT AG,,Arges,,"OARJA, NR. 352",,,,agriculture,,LOGISTICS_RO.csv
AGRINVEST SRL,,Arges,,"Stolnici, CF 80987",,,,agriculture,,LOGISTICS_RO.csv
AGRODAVID ARGES,,Arges,,"BARLA, SAT. MOZACENI VALE, NR. 392",,,,agriculture,,LOGISTICS_RO.csv
AGRO DOUBLE GB MUNTENIA,,Arges,,"LUNCA CORBULUI, SAT. PADURETI",,,,agriculture,,DAIRY_RO.csv
AGRO TRIPLE V,,Arges,,"LUNCA CORBULUI, SAT. PADURETI",,,,agriculture,,LOGISTICS_RO.csv
Albes Marius Florin,,Arges,,VA6333/15.06.2015,,,,agriculture,,DAIRY_RO.csv
Alboiu Ion,,Arges,,VA-1379/05.08.2008,,,,agriculture,,DAIRY_RO.csv
Alboiu Viorel,,Arges,,VA3196/06.05.2011,,,,agriculture,,DAIRY_RO.csv
Albulescu Marius Nicolae,,Arges,,VA8875/28.10.2019,,,,agriculture,,DAIRY_RO.csv
Alexandru Alina,,Arges,,VA4021/30.05.2012,,,,agriculture,,DAIRY_RO.csv
Alexandru Gheorghe,,Arges,,VA-1338/29.07.2008,,,,agriculture,,DAIRY_RO.csv
Alexandru Ionela,,Arges,,VA5096/20.06.2013,,,,agriculture,,DAIRY_RO.csv
Alexe Silviu Florian,,Arges,,VA9935/13.10.2021,,,,agriculture,,DAIRY_RO.csv
ALEX GEO TOTAL BUSINESS,,Arges,,"Pitesti, Str. Depozitelor, Nr. 7, Stand 3",,,,agriculture,,LOGISTICS_RO.csv
ALEX TOP VENDING,,Arges,,"PITESTI, STR. DEPOZITELOR, NR. 25",,,,agriculture,,LOGISTICS_RO.csv
ALEX TRANS MASTER CEREAL,,Arges,,SLOBOZIA,,,,agriculture,,LOGISTICS_RO.csv
ALMAR CIO FRUCT SRL,,Arges,,"Pitesti, strada Depozitelor, Nr. 7, stand 59",,,,agriculture,,LOGISTICS_RO.csv
Amzica Nadia,,Arges,,VA-1476/10.09.2008,,,,agriculture,,DAIRY_RO.csv
ANAMAR AGRO CEREAL,,Arges,,"Slobozia, Sos. FIERBINTI, NR. 77A",,,,agriculture,,LOGISTICS_RO.csv
Ana Marius Stelica,,Arges,,VA9962/26.10.2021,,,,agriculture,,DAIRY_RO.csv
Ana Silviu,,Arges,,VA9040/07.02.2020,,,,agriculture,,DAIRY_RO.csv
Andi Api Myl,,Arges,,VA10191/31.03.2022,,,,agriculture,,DAIRY_RO.csv
Andrei Andreea,,Arges,,VA10394/16.08.2022,,,,agriculture,,DAIRY_RO.csv
Andrei Nelu,,Arges,,VA10001/19.11.2021,,,,agriculture,,DAIRY_RO.csv
Andrei Vasilica,,Arges,,VA4106/27.06.2012,,,,agriculture,,DAIRY_RO.csv
Andronache Dumitru,,Arges,,VA6771/06.04.2016,,,,agriculture,,DAIRY_RO.csv
Angelescu Gheorghe,,Arges,,VA-1595/24.10.2008,,,,agriculture,,DAIRY_RO.csv
Anghelescu Constantin Iulian,,Arges,,VA9363/18.09.2020,,,,agriculture,,DAIRY_RO.csv
ANGHEL GHEORGHE II,,Arges,,"Pitesti, strada Depozitelor, nr. 7, stand 46, 47",,,,agriculture,,LOGISTICS_RO.csv
Anghelina Ionut Valentin,,Arges,,VA4583/22.11.2012,,,,agriculture,,DAIRY_RO.csv
Anghel monica Florica,,Arges,,VA4107/27.06.2012,,,,agriculture,,DAIRY_RO.csv
Anton Alexandru Iulsian,,Arges,,VA8352/25.02.2019,,,,agriculture,,DAIRY_RO.csv
Apostol George Laurentiu,,Arges,,VA4937/10.04.2013,,,,agriculture,,DAIRY_RO.csv
Apostol Leonard Florin,,Arges,,VA7046/15.09.2016,,,,agriculture,,DAIRY_RO.csv
Apostol Mihai,,Arges,,VA4868/18.03.2013,,,,agriculture,,DAIRY_RO.csv
Ardeleanu Mihaela,,Arges,,VA4091/25.06.2012,,,,agriculture,,DAIRY_RO.csv
ARENDA TELESTI,,Arges,,"COSTESTI, STR. ALEXANDRIEI, NR. 12",,,,agriculture,,LOGISTICS_RO.csv
Arghira Florin,,Arges,,VA-1330/28.07.2008,,,,agriculture,,DAIRY_RO.csv
Arsene Ion,,Arges,,VA-1378/05.08.2008,,,,agriculture,,DAIRY_RO.csv
Artarus Victor,,Arges,,VA-1591/24.10.2008,,,,agriculture,,DAIRY_RO.csv
Avramescu Gavril,,Arges,,VA6267/23.04.2015,,,,agriculture,,DAIRY_RO.csv
Baboi Cornel,,Arges,,VA-1380/05.08.2008,,,,agriculture,,DAIRY_RO.csv
Baboi Maria,,Arges,,VA3040/31.01.2011,,,,agriculture,,DAIRY_RO.csv
Baciu Gabriel,,Arges,,VA9820/11.08.2021,,,,agriculture,,DAIRY_RO.csv
Baciu Gheorghe,,Arges,,VA-1302/24.07.2008,,,,agriculture,,DAIRY_RO.csv
Bacria Claudiu Ionut,,Arges,,VA4495/01.11.2012,,,,agriculture,,DAIRY_RO.csv
Badarcea Elena,,Arges,,VA4655/06.12.2012,,,,agriculture,,DAIRY_RO.csv
Badea Alexandru,,Arges,,VA11163/14.02.2024,,,,agriculture,,DAIRY_RO.csv
Badea Dumitru,,Arges,,VA8870/28.10.2019,,,,agriculture,,DAIRY_RO.csv
Badea Florin Alin,,Arges,,VA11259/21.03.2024,,,,agriculture,,DAIRY_RO.csv
Badea Gheorghe,,Arges,,VA11302/01.04.2024,+40743199310,enescuionela60@yahoo.com,,agriculture,,DAIRY_RO.csv
Badea Laurentiu,,Arges,,VA3269/22.06.2011,,,,agriculture,,DAIRY_RO.csv
Badea Marcel,,Arges,,VA3270/22.06.2011,,,,agriculture,,DAIRY_RO.csv
Badea Silviu Augustin,,Arges,,VA7297/10.04.2017,,,,agriculture,,DAIRY_RO.csv
Badea Vasilica,,Arges,,VA4498/01.11.2012,,,,agriculture,,DAIRY_RO.csv
Badea Virgil,,Arges,,VA10020/24.11.2021,,,,agriculture,,DAIRY_RO.csv
Badescu Ana-Maria,,Arges,,VA4586/22.11.2012,,,,agriculture,,DAIRY_RO.csv
Badescu Constantin,,Arges,,VA11481/22.07.2024,,,,agriculture,,DAIRY_RO.csv
Badescu Marius,,Arges,,VA11240/19.03.2024,,,,agriculture,,DAIRY_RO.csv
Badescu Roxana Andreea,,Arges,,VA8942/26.11.2019,,,,agriculture,,DAIRY_RO.csv
Badic Valentin,,Arges,,VA3007/30.12.2010,,,,agriculture,,DAIRY_RO.csv
Badiloiu Ionel,,Arges,,VA4584/22.11.2012,,,,agriculture,,DAIRY_RO.csv
Badita Constantina,,Arges,,VA4044/08.06.2012,,,,agriculture,,DAIRY_RO.csv
Badita Nicolae,,Arges,,VA11601/15.10.2024,,,,agriculture,,DAIRY_RO.csv
Baicu Razvan Florin,,Arges,,VA9318/07.09.2020,,,,agriculture,,DAIRY_RO.csv
Balan Dragops Augustin,,Arges,,VA 5001/08.05.2013,,,,agriculture,,DAIRY_RO.csv
Balea Claudiu Ion,,Arges,,VA9803/29.07.2021,,,,agriculture,,DAIRY_RO.csv
Baluta Gheorghe,,Arges,,VA8836/22.10.2019,,,,agriculture,,DAIRY_RO.csv
Banga Ion,,Arges,,VA8786/10.10.2019,,,,agriculture,,DAIRY_RO.csv
Banica Constantin,,Arges,,VA10857/24.07.2023,,,,agriculture,,DAIRY_RO.csv
Barascu Jean,,Arges,,VA6331/12.06.2015,,,,agriculture,,DAIRY_RO.csv
Barboiu Adrian-Nicolae,,Arges,,VA8800/14.10.2019,,,,agriculture,,DAIRY_RO.csv
Barbu Claudia Elena,,Arges,,VA4440/22.10.2012,,,,agriculture,,DAIRY_RO.csv
Barbu Cristian,,Arges,,VA7270/20.03.2017,,,,agriculture,,DAIRY_RO.csv
Barbulescu Andrei Iulian,,Arges,,VA4426/16.10.2012,,,,agriculture,,DAIRY_RO.csv
Barbu Marin,,Arges,,VA-1473/09.09.2008,,,,agriculture,,DAIRY_RO.csv
Barbu Monica,,Arges,,VA4047/11.06.2012,,,,agriculture,,DAIRY_RO.csv
Barbu Nicolae,,Arges,,VA8776/04.10.2019,,,,agriculture,,DAIRY_RO.csv
Barbu Nistor,,Arges,,VA-1342/30.07.2008,,,,agriculture,,DAIRY_RO.csv
Barbu Teofil,,Arges,,VA-1424/27.08.2008,,,,agriculture,,DAIRY_RO.csv
Batfoi Constantin,,Arges,,VA9929/06.10.2021,,,,agriculture,,DAIRY_RO.csv
Bee Bio,,Arges,,VA9852/01.09.2021,,,,agriculture,,DAIRY_RO.csv
Berbecaru Traian,,Arges,,VA10799/12.06.2023,,,,agriculture,,DAIRY_RO.csv
BGF FRUCT,,Arges,,"BOTENI, NR. 667",,,,agriculture,,LOGISTICS_RO.csv
Biculeasa Marius Andrei,,Arges,,VA11260/21.03.2024,,,,agriculture,,DAIRY_RO.csv
Binga Ion,,Arges,,VA-1429/28.08.2008,,,,agriculture,,DAIRY_RO.csv
Bioagrofield,,Arges,,VA11213/13.03.2024,,,,agriculture,,DAIRY_RO.csv
Birleanu Victor,,Arges,,VA8815/17.10.2019,,,,agriculture,,DAIRY_RO.csv
Bisa Marius,,Arges,,VA-1340/29.07.2008,,,,agriculture,,DAIRY_RO.csv
Blejdea Daniel,,Arges,,VA11230/18.03.2024,,,,agriculture,,DAIRY_RO.csv
BLUE BLACK BERRY,,Arges,,"CATEASCA, TARLA 43, PARCELA 643",,,,agriculture,,LOGISTICS_RO.csv
Bocanu Ionel,,Arges,,VA-1417/25.08.2008,,,,agriculture,,DAIRY_RO.csv
Bogdan George Cristian,,Arges,,VA7411/12.06.2017,,,,agriculture,,DAIRY_RO.csv
"Boncea Ovidiu,",,Arges,,VA2653/31.05.2010,,,,agriculture,,DAIRY_RO.csv
Boncescu Teodor,,Arges,,VA-1295/23.07.2008,,,,agriculture,,DAIRY_RO.csv
Boroi Georgel,,Arges,,VA11286/27.03.2024,,,,agriculture,,DAIRY_RO.csv
Borovina Vasile,,Arges,,VA10731/18.04.2023,,,,agriculture,,DAIRY_RO.csv
Botarca Marcel,,Arges,,VA5040/27.05.2013,,,,agriculture,,DAIRY_RO.csv
Botolan Dan,,Arges,,VA5291/18.09.2013,,,,agriculture,,DAIRY_RO.csv
Braga Cosmin Ion,,Arges,,VA9467/22.12.2020,,,,agriculture,,DAIRY_RO.csv
"Bratu Ciprian,",,Arges,,VA2508/26.03.2010,,,,agriculture,,DAIRY_RO.csv
Brinaru George Marius,,Arges,,VA8083/31.07.2018,,,,agriculture,,DAIRY_RO.csv
Brojba I. Elena,,Arges,,VA4198/27.07.2012,,,,agriculture,,DAIRY_RO.csv
Bucsan Gheorghe,,Arges,,VA10003/22.11.2021,,,,agriculture,,DAIRY_RO.csv
Bucurenci Maria,,Arges,,VA-1450/04.09.2008,,,,agriculture,,DAIRY_RO.csv
Bucur Mariana,,Arges,,VA8889/29.10.2019,,,,agriculture,,DAIRY_RO.csv
Budan Dumitru,,Arges,,VA-1408/19.08.2008,,,,agriculture,,DAIRY_RO.csv
"Budan Irinel,",,Arges,,VA2665/07.06.2010,,,,agriculture,,DAIRY_RO.csv
Bujoreanu Emil,,Arges,,VA9369/22.09.2020,,,,agriculture,,DAIRY_RO.csv
Bujor Nicolae Daniel,,Arges,,VA8953/02.12.2019,,,,agriculture,,DAIRY_RO.csv
Bunda Marian,,Arges,,VA4077/20.06.2012,,,,agriculture,,DAIRY_RO.csv
Bunea Florea,,Arges,,VA-1584/21.10.2008,,,,agriculture,,DAIRY_RO.csv
Bunea Marinica,,Arges,,VA10349/12.07.2022,,,,agriculture,,DAIRY_RO.csv
