winner_name,wins,total_value_ron,first_win,last_win,distinct_buyers,distinct_cpvs
HARMOPAN,54,1997608.94,,,14,5
FLORINA S.R.L.,54,714872.62,,,2,2
METITEX AGRO FOOD,54,1514506.09,,,2,2
Retacom,53,8594025.38,,,5,5
ADCON S.R.L.,51,114200.12,,,10,2
sc apex expert srl,51,712240.37,,,9,4
AGRO-PAN-STAR S.R.L.,51,14298947.58,,,5,4
FAGUL IMPEX,49,6598901.86,,,13,6
DIRECT HOME SERVICES DISTRIBUTION,49,13665390.82,,,3,6
Simultan S.R.L.,49,19206203.32,,,12,6
COMIGA PRODIMPEX S.R.L.,49,1312086.78,,,4,5
AMA FRUCT CP---STEDYAN COM S.R.L.,48,179660.09,,,8,4
GRANBIS S.R.L,47,734528.88,,,7,5
LIN&EMA,47,387349.8,,,4,3
DUNAPAN STAR,46,1876511.57,,,7,4
CERNEA S. MIHAI-ANDREI I.I.,46,57835.41,,,3,2
HARPEK,46,584761.26,,,11,4
IMDIA S.R.L.,46,172471.3,,,4,2
apex expert,45,1119064.87,,,9,4
BRUTARIA PATRAS,44,1594175.64,,,4,3
B.P. ANKROB IMPEX,44,950242.97,,,11,3
ROALMISA  INV,44,2841880.14,,,7,9
ZIM Prestserv,43,352358.98,,,17,6
RAVA COMEX S.R.L.,43,3084477.56,,,3,1
Oct-Trans Srl,43,1102797.67,,,4,1
G&T SERVICES SRL,43,1497157.87,,,2,1
Saltempo S.R.L.,43,2442827.68,,,19,12
LECONFEX---PARHAN COM S.R.L.,43,354151.07,,,4,4
Carland S.R.L.,43,379917.23,,,11,6
Ecoprod S.R.L.,42,1896131.93,,,3,2
ROMFULDA PROD S.R.L.,42,705050.27,,,8,3
AMA FRUCT CP---PARHAN COM S.R.L.---PRODLACTA SRL,42,254721.94,,,1,1
Comiga Prod Impex S.R.L.,42,2229568.59,,,8,3
DA SILVA S.R.L.,42,133052.47,,,2,2
Apex Expert,42,2103831.6,,,12,4
PROVISION RETAIL PROD SRL,41,328748.15,,,5,2
LOGISTIC MEDIA POP ART SRL,40,2510394.13,,,3,2
S.C. ELCOMER ACHIZITII S.R.L.,40,544031.12,,,13,6
METRANS,40,691389.69,,,15,10
Dinu Comimpex S.R.L.,40,2311131.93,,,2,6
Ama Fruct CP S.R.L.,40,274808.33,,,6,5
SC PLUSTER PROTECT SRL,40,465886.33,,,9,5
AMA FRUCT CP---CO&SI---PARHAN COM S.R.L.,40,140097.14,,,2,2
PAM ALY 2007,39,460432.95,,,3,4
Ned Com,39,1091394.95,,,18,13
RADICSTAR S.R.L,38,320327.93,,,10,4
Eurogrup Bogdan,38,1474602.68,,,7,9
AGROPAN IMPEX S.R.L.,38,4549072.66,,,6,3
TAC-TAC S.R.L.,38,1804337.36,,,10,5
R & B COM S.R.L.,38,4471895.72,,,5,2
PENTAROM,38,385274.7,,,3,2
MERIDIAN AGROIND,37,6205071.82,,,4,3
S.C. FILVAS SERVCOM S.R.L.,37,904617.65,,,5,5
BIOTA COM S.R.L.,37,410278.96,,,14,4
PRIORITAR IMPEX S.R.L.,36,8696138.29,,,13,5
DORNA LACTATE,36,12562973.85,,,5,5
Cina Carmangerie S.R.L.,36,1496676.07,,,8,6
STA-CO,36,485989.38,,,3,2
Viconsit S.R.L.,36,292455.87,,,3,1
VIC PROD S.R.L.,36,208454.42,,,7,1
Ama Fruct CP,35,1924570.66,,,19,8
DUAL TOP,35,1231735.14,,,3,5
AGROSEMCU---DUNAPAN STAR,35,607603.16,,,2,1
S.C. SALTEMPO S.R.L. S.R.L.,34,549809.77,,,11,5
UNIMAR COM S.R.L.,34,88089.71,,,4,4
ERA GLOBAL S.R.L.,34,3007402.69,,,5,1
Fraher Distribution S.R.L.,34,1583556.4,,,10,8
SC PATISGAL SRL,34,3303252.38,,,5,2
SC ASOCIATIA POMICOLA ITESTI SRL,33,1305099.61,,,2,1
Comiga Prodimpex S.R.L.,33,1443002.33,,,12,6
LECONFEX S.R.L.---PARHAN COM S.R.L.,33,129886.66,,,7,3
SIMPEL,33,371574.35,,,4,1
AMA FRUCT CP---S.C. ANM HOLDERS SRL---STEDYAN COM,33,68270.17,,,1,1
COMLACT,32,209179.04,,,5,3
BMK GLOBAL IMPORT EXPORT,32,48511.44,,,2,1
Ellmar Com,32,2818072.95,,,11,6
SORION BĂLENI,32,113549.86,,,7,2
ELDO COM S.R.L.,32,485702.43,,,2,1
Granbis S.R.L,32,1344707.03,,,8,8
Inter David S.R.L.,32,71103.05,,,12,3
ELLY FOOD TRADIŢIONAL,32,448186.27,,,9,5
GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA,31,451409.18,,,9,4
CARMO LACT PROD S.R.L.,31,634898.3,,,8,4
Romics S.R.L.,31,559992.3,,,5,5
Falcons,30,500937.68,,,10,8
RO-CREDO SRL,30,801688.38,,,3,3
FIVE CONTINENTS GROUP S.R.L.,30,3056767.33,,,2,1
ZEC IMPEX,30,1330591.1,,,10,5
Direct Home Services Distribution,30,2979672.35,,,3,4
SC CALIFARUL NEGRU SRL,30,688045.38,,,2,3
MERCALI,29,266160.71,,,2,1
RARES-ALEX SRL,29,915495.83,,,9,5
Prioritar Impex S.R.L.,29,10762808.92,,,8,5
OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,29,239896.59,,,20,7
TRANSEURO,29,348699.26,,,4,3
Geocor Trade Imp-Exp,28,930266.49,,,17,10
S.C. CHEREGI PROD SERV S.R.L.,28,333002.56,,,3,2
ILM-COM S.R.L.,28,1479470.36,,,4,3
PRESTIGIOSA PRODCOM S.R.L.,28,1813202.18,,,7,4
PRODMAN S.R.L.,28,121072.98,,,3,1
ROMFULDA PROD,28,1337630.01,,,12,3
Adcon S.R.L.,28,226046.47,,,12,3
AMA FRUCT CP---STEDYAN COM,27,541037.81,,,7,7
LEGUMFRUCT DEPOO&DISTRIBUTION,27,298698.64,,,8,2
FRAHER DISTRIBUTION S.R.L.,27,486411.14,,,8,5
GRANBIS---STEDYAN COM S.R.L.,27,109495.59,,,6,4
Finelor Prestcom S.R.L.,27,1097044.24,,,6,5
GELAS MEDIA,27,583304.18,,,8,3
OVIPAN,27,281551.12,,,3,2
EURONIC S.R.L.,27,3216306.23,,,2,2
Safeway International Impex SRL,27,87308.92,,,7,2
ALFA-COM-GRUP S.R.L.,27,354061.14,,,10,6
Company 94 Pirnau S.R.L.,27,490448.2,,,7,10
SC OLTENIA GARDEN SRL,26,4379153.25,,,3,3
S.C. AZTEC COMIMPEX S.R.L.,26,258976.76,,,5,3
MIDO S.R.L.---POL FRUCT SRL,26,168631.1,,,2,1
Super Extra Pan S.R.L.,26,357328.95,,,5,3
ELDI BRUTARIA S.R.L.,26,593498.25,,,12,3
SC.DRAGON.RC.SRL,26,229056.37,,,5,2
HIRIS GARDEN EXPERT,26,10898518.51,,,5,3
ACVILA,26,846511.14,,,14,9
ZAMISNICU P.MIHAI-REMUS INTREPRINDERE INDIVIDUALA,25,360495.24,,,4,3
COMPANY 94 PIRNAU SRL---FALCONS---OLYMEL FLAMINGO FOOD S.R.L.,25,226533.34,,,5,7
Retacom S.R.L,25,482690.11,,,5,5
C&M Artic Import Export S.R.L.,25,1352048.75,,,6,2
Alfa-Com-Grup S.R.L.,25,909388.87,,,7,3
Romliv & L Prodimpex S.R.L.,25,250432.31,,,1,1
S.C. GARDEN CENTER GRUP S.R.L. S.R.L.,25,1689207.4,,,2,1
Strungariu & CO Rigams LM,24,578519.24,,,3,4
S.C. Libro Events S.R.L.,24,460883.33,,,4,2
Kalman Distribution S.R.L.,24,944254.78,,,7,7
S.C. Carmaco Agro S.R.L.,24,263565.86,,,5,2
PROSEMENTI S.R.L.,24,1987200.46,,,4,2
ELCOMER ACHIZITII---POL FRUCT SRL,23,1541930.25,,,1,1
PANIFROM PROD S.R.L.,23,465211.38,,,5,3
AMA FRUCT CP---PARHAN COM S.R.L.,23,125690.99,,,6,3
ECOPROD SRL,23,1916539.61,,,2,3
Vascar S.A.,23,1194509.65,,,5,4
POMICOLA SRL,23,285441.96,,,1,2
S.C. YOU FOREVER SRL S.R.L.,23,23379.96,,,1,2
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---EURICOM TRADE SRL---PROVIGO TRADE S.R.L.,23,33455.22,,,1,1
DINU COMIMPEX,23,752560.27,,,1,4
CAPISCO SERVCOM SRL,23,65928.11,,,4,3
Marathon Distribution Group,23,1003906.74,,,3,1
V&R PROD-COM S.R.L.,22,1927888.99,,,3,2
Company 94 Pîrnău S.R.L.,22,220016.63,,,5,4
Adcon,22,131077.25,,,11,6
SENTROMCRIS,22,359026.55,,,10,4
PARHAN COM S.R.L.---STEDYAN COM,22,4187337.41,,,7,4
EXIMAL IMPEX---LECONFEX---PARHAN COM S.R.L.,22,317811.21,,,3,2
RULTRANS INDUSTRY 93 SRL,22,1091507.04,,,1,2
EUROPA STAR SERVICE,21,446113.5,,,4,2
CO&SI,21,323880.28,,,6,2
JOLDOS PROIMPEX S.R.L.---LECONFEX---PARHAN COM S.R.L.,21,127384.19,,,3,2
SC PAN ABACS SRL,21,9481353.28,,,5,4
INSECO,21,17143.39,,,2,1
SALTEMPO,21,468037.39,,,8,5
INTER CONECTER  S.R.L.,21,948600.42,,,5,4
Apro-Com-Impex S.R.L.,21,823575.41,,,9,6
SC RADIPCOM SRL,21,1630135.9,,,6,3
Vel Pitar,21,1847857.51,,,12,6
S.C. Metitex Agro Food S.R.L.,21,333907.83,,,5,1
AMA Fruct CP,21,1295468,,,12,6
Dobre&Fiii,21,8207123.42,,,8,5
Velrom,21,193807.94,,,4,4
LIDO GIRBEA,21,1373291.61,,,6,3
FrieslandCampina Romania SA,21,4907126.62,,,3,2
SADAGRO INTERPROD,20,239719.6,,,2,1
LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,20,303079.04,,,3,2
Metrans S.R.L.,20,527872.39,,,6,3
Logistic Media Pop Art S.R.L.,20,9885389.48,,,7,4
Amia Invest,20,366327.3,,,4,7
JOLDOS PROIMPEX S.R.L.---LECONFEX S.R.L.---PARHAN COM S.R.L.,20,79250.3,,,4,3
Unimar Com S.R.L.,20,343043.28,,,3,4
S.C. Apex Expert S.R.L.,19,865318.22,,,11,8
DINU COMIMPEX S.R.L.,19,663129.96,,,3,5
Galeriile Dacia Felix S.A.,19,1663852.77,,,2,2
DOIMAN COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,19,218937.49,,,7,3
Rultrans Industry 93 S.R.L.,19,729051.63,,,2,4
Auto Valmar S.R.L.,19,433021.8,,,3,1
S.C. Oniros International S.R.L.,19,1274652.47,,,4,2
Spicul 2,19,1128925.31,,,10,5
ROMCONSTANT  IMPEX  GHEORGHE STEFANICA,19,48906.75,,,2,1
FIVE CONTINENTS S.R.L.,19,636220.35,,,3,4
Five Continents S.R.L.,19,747815.62,,,5,6
S.C. Elcomer Achiziții S.R.L.,19,1813359.33,,,9,7
PRODPAN LACHITA,19,179832.68,,,4,2
Comlact,19,791653.7,,,4,3
M&R S.R.L.,19,191070,,,3,2
JOLDOS PROIMPEX S.R.L.---LECONFEX,18,297173.27,,,2,2
PFA AMARIEI G. PETRU,18,229547.64,,,3,2
VITALEAND,18,126738.74,,,3,2
PANAMAROM S.R.L.,18,911052.82,,,6,3
Carpatis,18,1800564.76,,,11,5
OVISIM IMPEX S.R.L.,18,355383.57,,,2,3
AMB GLOBAL KRON CONSULT,18,866397.52,,,6,3
DAR-NIC IRI CONF,18,1073609.51,,,6,4
LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,18,399371.33,,,9,4
EXIMAL IMPEX S.R.L.,18,21810.88,,,3,1
NED DENFRUCT SRL,18,101531.13,,,2,1
METRO CASH & CARRY ROMANIA,18,967349.55,,,6,3
METRANS S.R.L.,18,950428.29,,,5,5
Eximal Impex,17,1253553.49,,,6,5
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,17,281714.63,,,6,2
Diana S.R.L.,17,870732.64,,,8,7
AMA FRUCT CP---BOBIX STAR S.R.L.,17,38617.33,,,1,1
GIGI & CO S.R.L.,17,737128.37,,,2,2
LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,17,180861.65,,,11,4
MACELARIA JUPANUL,17,93807.37,,,3,1
Nutrient Solutions,17,943649.71,,,3,2
SAMARA  MEAT,17,243788.11,,,3,3
OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,17,298692.97,,,9,5
Da Silva S.R.L.,17,262322.85,,,3,3
Pam Aly 2007 S.R.L.,17,239482.06,,,3,1
Davio Pan Grup Impex,17,504202.27,,,8,3
DOBROGEA PANIFICATIE,17,1043726.57,,,5,4
PROD ACTIV IMPEX SLOBOZIA MOARA COOPERATIVA AGRICOLA,17,284225.23,,,4,1
Elcomer Achiziții,16,349552.22,,,6,5
Berinde Maria Alina Întreprindere Individuală,16,1668782.04,,,1,1
AGRA'S,16,116634.03,,,2,2
MARUL DE AUR,16,850415.18,,,3,2
VRANLACT DISTRIBUTION,16,305720.93,,,5,6
Nicbac Prod,16,1327346.38,,,8,4
EUROPEAN GROUP FOOD,16,378510.98,,,9,6
AMA FRUCT CP---LECONFEX S.R.L.---PARHAN COM S.R.L.,16,28048.72,,,2,2
Spicul 2 S.R.L.,16,866948.02,,,7,5
DALMERS PREST,16,5060401.32,,,1,1
Legume Fructe COM S.R.L.,16,112522.42,,,6,6
DOIMAN COM S.R.L.---PARHAN COM S.R.L.,16,78303,,,4,2
VOIPAN SIL S.R.L.,16,221132.47,,,2,1
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,16,363152.58,,,8,3
LIDAS S.R.L.,15,1329374.12,,,4,3
Bobix Star S.R.L.,15,854942.85,,,8,6
AR LINIA TEA,15,3721308.44,,,7,3
GORDON-PROD S.R.L.,15,453334.53,,,2,2
ADCON---LECONFEX S.R.L.---PARHAN COM S.R.L.,15,63111.53,,,4,3
LA FANTANA,15,559796.81,,,3,1
PFA Amariei G. Petru,15,2612254.19,,,12,6
S.C. Longin S.R.L.,15,126075.21,,,1,1
Comppil S.A.,15,60568.13,,,1,1
MANELEMN S.R.L.,15,427122.01,,,2,1
Filvas Servcom,15,541120.15,,,6,4
Strungariu & Co Rigams LM SNC,15,845356.12,,,3,6
CO&SI---MANDY MAB TRADE SRL---PARHAN COM S.R.L.,15,179395.72,,,1,2
Vanbet S.R.L.,15,488504.02,,,7,5
ALLIANCE HEALTHCARE ROMANIA,15,25893.7,,,5,4
PATISGAL,15,1648281.83,,,3,3
Baby Business S.R.L.,15,588239,,,7,5
VIVOPREST DISTRIBUTION S.R.L.,15,187894.4,,,7,4
Carpatis S.R.L.,15,1068161.72,,,9,5
PARHAN COM S.R.L.---STEDYAN COM S.R.L.,15,895800.32,,,6,2
ONCOS TRANSILVANIA,15,984827.53,,,5,4
LIVAL IMPORT-EXPORT,15,780185.25,,,2,1
LECONFEX---OLYMEL FLAMINGO FOOD S.R.L.,15,427179.2,,,4,5
Doiman COM S.R.L.,15,211214.55,,,8,6
COMPRODCOOP SA,15,28027.13,,,2,4
Boromir Prod,15,138646.2,,,3,2
La Leul Com,14,1237570.3,,,3,2
S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,14,315780.93,,,8,5
S.C. Ama Fruct CP S.R.L.,14,345492.79,,,7,2
MARIPROD LACTA SRL,14,24064.05,,,1,1
LIACRIS S.R.L.,14,938214.83,,,1,3
SIMIGERIE TOP 2030,14,10306.06,,,1,1
RAMA CLAU,14,623627.9,,,7,4
Salamandra Plus,14,402543.18,,,5,3
AMA FRUCT CP---S.C. ANM HOLDERS SRL,14,141227.1,,,3,3
Oct-Trans S.R.L.,14,248754.73,,,1,1
Oncos Prod S.R.L.,14,394456.21,,,3,3
M.A.CRISTINA S.R.L.,14,171617.62,,,9,4
BISCOTTO SRL,14,6206324.83,,,2,1
Mediplus Exim S.R.L.,14,3575840.28,,,4,3
Davex Agro,14,111735.3,,,2,2
Imdia S.R.L.,14,32104.17,,,2,1
AZTEC COMIMPEX,14,156195.28,,,4,2
PAM ALY 2007 S.R.L.,14,464873.62,,,2,3
AR Linia Tea,14,2893842.57,,,3,3
BMK GLOBAL IMPORT EXPORT---GRANBIS---S.C. ANM HOLDERS SRL,13,21436.39,,,1,1
NOVA FOOD SERVICES S.R.L.,13,521927.37,,,4,3
S.C. Davio Pan Grup Impex S.R.L.,13,330148.97,,,8,3
METRO CASH & CARRY ROMANIA S.R.L.,13,27617.03,,,2,1
Metrans,13,214697.64,,,6,3
C-Agla-C Com S.R.L.,13,1620811.9,,,7,5
OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,13,755290.16,,,5,2
SANALACT SRL,13,719143.23,,,1,1
PROLACTA S.R.L.,13,51284.65,,,2,1
CARPATIS S.R.L.,13,134181.23,,,5,4
Strungariu & CO Rigams LM SNC,13,581721.22,,,1,5
S.C. COMPANY 94 PIRNAU SRL S.R.L.,13,61924.22,,,2,1
BMK GLOBAL IMPORT EXPORT SRL,13,35064.53,,,1,1
INL BRAND,13,8579.17,,,1,1
S.C. Nisara Impex S.R.L,13,4241939.88,,,5,2
GRANBIS---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,13,48629.51,,,4,2
DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,13,80692.44,,,3,2
COMSORADI SRL---COREX S.R.L.---MATRA S.R.L.,13,953273.34,,,2,3
S.C. Nicbac Prod S.R.L.,13,938931.21,,,8,5
TRITIPAN S.R.L.,13,182396.67,,,1,1
Deltalact S.A.,13,2911395.87,,,8,5
BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---PROVIGO TRADE S.R.L.---PROVISION RETAIL PROD SRL,13,15184.23,,,1,1
JOLDOS PROIMPEX S.R.L.---LECONFEX S.R.L.,13,350156.59,,,6,3
Prosementi S.R.L.,13,2309564.98,,,5,3
ANDROMI COM---LECONFEX---SIGISMUND COM,13,704766.21,,,3,3
MURICOM S.R.L.,13,99563.67,,,5,2
BIOTUR EXIM S.R.L,13,29049.37,,,2,1
AMA FRUCT CP---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,12,57260.7,,,4,2
Lido Girbea,12,14795944.04,,,3,3
LIN&EMA S.R.L.,12,157983.18,,,1,1
Meridian Agroind,12,2406720.91,,,7,4
Alexgold Distribution S.R.L.,12,5164013.38,,,5,4
Lactate Natura,12,595190,,,10,5
PROSEMENTI S.R.L.---S M RECOSEMTRACT---SEMROM OLTENIA SA,12,63363.76,,,1,1
SC METCHIM TORENT SRL,12,410900.24,,,1,1
MANAGEMENT OBJECTIVES,12,147939.72,,,3,2
ACVILA---LECONFEX---SIGISMUND COM,12,93287.17,,,1,1
Rareș-Alex S.R.L.,12,685685.82,,,5,4
S.C. Oltenia Garden S.R.L.,12,613274.32,,,2,2
M&R,12,527854.87,,,4,3
S.C. GREENLEG DISTRIBUTION S.R.L.,12,40039.6,,,2,2
S.C. MULTI LACT S.R.L.,12,1411.6,,,1,1
Dorna Lactate S.A.,12,16707383.58,,,6,4
G T P D,12,703520.07,,,3,2
DORNA LACTATE S.A.,12,6837103.62,,,6,3
LARISCH EXIM,12,160301.32,,,3,3
S.C. ROST CONSTRUCT COM S.R.L.,12,53778.99,,,1,1
VASCAR S.A.,12,406307.86,,,6,2
GRANBIS---MATRA S.R.L.,12,1030947.2,,,3,5
S.C. URVAS COM S.R.L.,12,193885.23,,,1,1
Baron Com,12,322053.03,,,1,1
ROMAQUA GROUP,12,1497806.18,,,4,3
DYNAMIC BUSINESS SERVICE,12,505499.95,,,5,2
SELGROS CASH & CARRY S.R.L.,12,30388.4,,,1,1
CINA CARMANGERIE S.R.L.---JOLDOS PROIMPEX S.R.L.---LECONFEX,12,190476.24,,,3,3
ARTEGO,12,236379.95,,,2,2
Roalmisa Inv,12,413485.12,,,6,4
Harmopan S.A.,12,597219.65,,,5,3
SC ROMLACTA S.A.,12,150139.34,,,6,4
S.C.ROSARIO PAN S.R.L.,12,773912.92,,,4,3
S.C. VASCAR S.A. S.R.L.,11,145185.19,,,4,1
SC.METITEX AGRO FOOD SRL,11,101408.65,,,2,1
CAPISCO SERVCOM,11,125820.94,,,3,3
COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.,11,135544.92,,,9,3
COMPANY 94 PIRNAU SRL---FALCONS---S.C NISARA IMPEX S.R.L,11,403208.11,,,1,4
COMPANY 94 PIRNAU SRL---FALCONS,11,145866.68,,,1,4
Click Top Management,11,459643.76,,,3,3
S.C. Irinel S.R.L.,11,536428.57,,,5,3
ROMLIV & L PRODIMPEX,11,226465.69,,,4,3
ALLIANCE HEALTHCARE ROMANIA---MEDIPLUS EXIM,11,18208.83,,,2,2
AMA FRUCT CP---B.P. ANKROB IMPEX---Harghita Retail---ILM-COM S.R.L.---STEDYAN COM S.R.L.,11,247351.42,,,1,1
Prestigiosa Prodcom S.R.L.,11,1803402.17,,,2,3
PARISIENNE A LA VYS S.R.L.,11,963518.68,,,3,2
Mercali,11,66743.08,,,1,1
