winner_name,cui,email,phone,website,city,address,sector,wins,total_value_ron,match_source
HARPEK,3871130,,051185026,,,,,1149,2964355.6,
AGRICOLA CERGHI SRL,29446711,ducozma@gmail.com,+40744122870,,,,,1133,1023239.88,companies_prefix
RAITAR,774583,office@tarmv.ro,0721105634,,,,,1125,534893.27,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
LUDIMI PRODCOM SRL,8075238,deacdany@yahoo.com,0264437643,,,,,1121,661617.2,csv:ddg_contacts.csv
MANUMAR COMSERV SRL,8665131,mobilierideal@yahoo.com,+40723579308,,,,,1051,214566.8,companies_name
SC BLACK SEA EUROINVESTMENT SRL,RO21211132,stefan.ion@zip-escort.ro,+40730080002,,,,,1030,145995566.0,companies_prefix
HOLDA COM SRL,4417745,,3238484,,,,,1025,1519136.54,
HARPEK,RO3871130,,,,,,,1021,132381189.0,
MATRA S.R.L.,RO 6287579,dosare.igi2@gmail.com,+40 746 881 088,,,,,1000,355715246.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
CARMO LACT PROD,5908104,office@monor.ro,0263260195,,,,,987,885863.95,csv:ddg_contacts.csv
GENERAL AGRO COM SERVICE,5288797,generalservicecreativ@gmail.com,0238725857,,,,,983,350250.77,food_distribution_name
TIAN ACTIV COMPACT S.R.L.,45116979,,,,,"JUD. BUZĂU, MUN. BUZĂU, STR. DOROBANŢI, NR.92 BIS",,960,9102175.36,
S. C. MCA COMERCIAL S.R.L,13219828,,0238568635,,,,,952,491386.1,
CALIBI S.R.L.,8713476,,0241612148,,,,,940,813728.2,
COVALACT,550152,klara.fazakas@covalact.ro,0372609806,,Covasna > MUNICIPIUL SFANTU GHEORGHE > SFANTU GHEO,,,929,1087367.85,companies_name
WECA,3520466,,0244513711,,,,,921,72326.97,
LIDAS S.R.L.,4611791,hr@lidas.ro,+40240552112,,,,,919,1275256.9,companies_name
TEROL PROD,9924137,,0744596634,,,,,904,707773.47,
B.P. ANKROB IMPEX,34816209,,0721114651,,,,,894,44435820.32,
LIDIA BEST VISION,38440106,,,,,"MUNICIPIUL BUCUREŞTI, SECTOR 2, STR FÂNTÂNICA, NR.35, SPATIU COMERCIAL DE 10.62 MP",,879,678639.5,
OLYMEL FLAMINGO FOOD S.R.L.,25347278,flo40spa@yahoo.com,0733681261,,,,,869,3153960.64,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SALTEMPO,3119988,ru@saltempo.ro,02340636363,,Galați > MUNICIPIUL GALATI > GALATI,,,845,17733044.05,companies_name
SC CARAIMAN SRL,572568,moisa.bogdan.alexandru@gmail.com,0733035515,,,,,824,451948.95,food_distribution_name
PRIME SUN PROFESIONAL,40158523,,,,,"JUD. DOLJ, MUN. CRAIOVA, STR. VIITORULUI, NR.1",,809,470969.4,
PANEMAR MORARIT SI PANIFICATIE,4844886,office@panemar.ro,0246449468,,,,,806,128579.34,contractors
S.C. FRUCT IMPORT EXPORT S.R.L.,14187015,finetauntesu@gmail.com,723153,,,,,793,2029311.28,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
MAKDOOR DISTRIBUTION,29837493,office@dakoct.ro secretariat@dakoct.ro,0764429634,,,,,783,11412761.35,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
FALCONS,RO 4214864,,,,,,,771,778092250.0,
VANTRIO,42886914,,0741548294,,,,,757,664112.18,
S.C. BIOTA COM S.R.L. S.R.L.,7045867,cameliaborangic@yahoo.com,683221,,Ilfov > ORAS MAGURELE > MAGURELE,,,741,16815758.21,fuzzy:0.50
COMPANY 94 PIRNAU SRL,RO 6922360,rodica@trans-euro.ro,0721373116,,,,,730,107504082.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
FRAHER DISTRIBUTION,24366816,office@fraher.ro,0240537199,,Tulcea > MUNICIPIUL TULCEA > TULCEA,,,730,1740985.02,companies_name
PIINEA DE CASA,1202920,paineadeaur@yahoo.com,+40744322525,,,,,728,191890.05,companies_prefix
APRO-COM-IMPEX S.R.L.,RO 9279406,aprocomimpex@yahoo.com,0744633339,,,,,715,87755173.0,ddg_contacts
ALFA-COM SRL,17055221,sudeepthakur@yahoo.com,0744549864,,,,,703,117357.31,food_distribution_name
SABCO-S,17124453,,0231615860,,,,,701,325786.36,
BOBIX STAR S.R.L.,RO 5897730,starlib@yahoo.com,,,,,,679,100278894.0,fuzzy_fd:0.45
SC SARAMAR FRUCT SRL,30567679,,0740320914,,,,,667,775307.35,
FRIGO TEHNICA,5761193,contact@targetare.ro,0762013514,,,,,666,554596.77,csv:ddg_contacts.csv
DRAGON.RC,7312522,dragon_rc_srl@yahoo.com,0746033394,,,,,664,340647.3,contractors
SC GRADIMEX SRL,9237940,,0255221273,,,,,662,867967.76,
RAFLOR COM SRL,9569469,,,,,"JUD. BIHOR, MUN. SALONTA, STR. REPUBLICII, NR.106, BL.R5, ET.P",,641,470648.19,
PICOLACT PRODCOM SRL,10163692,,0264263371,,,,,632,328223.53,
DR.MAX,9378655,cati.militaru@drmax.ro,0213017474,,,,,623,3160550.12,contractors
AML EPIONA,25063799,pionimpex3@yahoo.com,0744709130,,,,,617,1210549.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
CARMANGERIA JUPANUL S.R.L.,46573960,camelia_sorecau@yahoo.com,0748918231,,Bistrița-Năsăud > MUNICIPIUL BISTRITA,,,616,10970403.3,companies_name
S.C. ELIT S.R.L. S.R.L.,14444712,recrutare.elit@elitcugir.ro,0737466103,,,,,615,192519569.61,anofm
Paladium COM SRL,4902880,support@palladium.com.ro,0766566532,,,,,614,526301.9,fuzzy_fd:0.53
BOCMAGRA SRL,26706230,magconstructcraiova@gmail.com,0742923831,,,,,607,130773.5,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COPANEX S.R.L.,RO 5994229,copanex2014@gmail.com,0752.249863,,,,,606,149957291.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COREMA PANT 2023 S.R.L.,48684639,hr@presidentgroup.ro,0720182045,,,,,586,76468.99,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COMIGA PROD IMPEX S.R.L.,3821620,claubisoffice@yahoo.com,0213446640,,,,,576,1399597.02,fuzzy:0.47
Magic Concept Team SRL,35630068,magconstructcraiova@gmail.com,0766480382,,,,,573,640840.55,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
THEREZIA PRODCOM,6525450,therezia@therezia.ro,0265322443,,,,,562,380733.48,pg:romania_emails.contacts
KOLIBRI SRL,2974197,rezervari@pensiuneacolibri.ro,0266218031,,,,,550,726856.61,fuzzy_fd:0.45
ADCON,RO 5189319,florin.pavel@starmet.ro,+40233282700,,,,,547,26678196.0,extra:eufunds_contacts.csv
CINA CARMANGERIE S.R.L.,2878920,office@cinacarmangerie.ro,0264481158,,Cluj > MUNICIPIUL CLUJ-NAPOCA > CLUJ-NAPOCA,,,543,54219276.82,companies_name
SC RODICOM EUROPROD SRL,16068088,,725196,,,,,536,191983.44,
COMSORADI SRL,RO 6202149,,,,,,,532,256765807.0,
BRUTARIA BABI,31672346,contact@targetare.ro,0742921029,,,,,531,80512.9,csv:ddg_contacts.csv
LUIGI,2517969,luigino.cristea@yahoo.com,+40788733901,,Municipiul Pitesti,"Municipiul Pitesti, CRAIOVEI, nr. 174A",,523,926989.6,companies_cui
DEDEMAN S.R.L.,2816464,resurse88@dedeman.ro,00 000 000 000,,,,Transport,522,894811.27,companies_name
S.C. SC IOASIM IMPORT EXPORT SRL S.R.L.,2896277,ioasim_imp_exp@yahoo.com,,,,"JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. RĂSĂRITULUI, NR.13",,521,240725.65,csv:ddg_contacts.csv
MOPAN SUCEAVA,34874331,hr@presidentgroup.ro,0230221247,,,,,520,31825347.37,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
VIKY,1100679,,268336971,,,,,513,182066.75,
ANDROMI COM,RO 5198520,angajari@andromi.ro,+40745268519,,,,,510,74042599.0,idx_name
INDUSTRIALIZAREA CARNII KOSAROM S.A.,1997087,alina.pintiliasa@kosarom.ro,+40728119779,,,,Transport,510,626390.43,companies_name
CELLMAR S.R.L.,8656435,,0241751177,,,,,500,388800.9,
TREI BRUTARI,23784748,cv.ro@grupobimbo.com,+40245216008,,,,,495,166327.98,companies_name
VIVOPREST DISTRIBUTION S.R.L.,42413541,office@chorus.ro,0336.401.262,,,,,493,70373325.55,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
ROXION-COM S.R.L.,49289611,,0744779363,,,,,479,339482.66,
CARPATIS,RO 712360,ionutburac@gmail.com,0230217767,,,,,476,56146595.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
DIM REAL,21409203,,0722239216,,,,,468,363721.88,
Carpalat,15364140,contact@targetare.ro,0369102277,,,,,467,229642.19,csv:ddg_contacts.csv
SC AUCHAN ROMANIA SA,17233051,auchan@yahoo.com,0374696180,,,,,465,442386.4,contractors
FORELIT,55758,recrutare.elit@elitcugir.ro,0259440958,,,,,459,563528.46,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PROVISION RETAIL PROD SRL,32649457,office@vtg.ro,0723139130,,,,,458,40854439.3,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
TARPI S.R.L.,3672154,,0269232743,,,,,457,11613771.86,
S.C. FILVAS SERVCOM S.R.L.,17975603,,0744184904,,,,,457,16790512.01,
ROVI INVEST INTERMED,28855769,,732223388,,,,,457,158223.8,
Bastian Distributie,52209787,,0744480001,,,,,457,100308.38,
RECOLTA FRUCT S.R.L.,42208849,costica.botez@recbt.ro,0744617169,,,,,456,139326.78,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
AVI-TOP S.A.,14327259,avi@avi.ro,0232248105,,,,,450,418193.78,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
DIACARN FOOD,RO 22212233,MIHAELA.CHIRILOAIA@GMAIL.COM,0767643603,,,,,445,102240506.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
TRANSEURO,1753287,contabilitate@transeuro-il.ro,+40741887570,,"Sat Gheorghe Lazar, Comuna Gheorghe Lazar","Sat Gheorghe Lazar, Comuna Gheorghe Lazar, REVOLUTIEI, nr. 1B",,445,268318.09,companies_name
ZARIS AUTOCOM S.R.L.,8100650,office@zaris.ro,0248278035,,,,,443,62845.06,anofm
COLOANA PROD COM SRL,6339007,,0230374599,,,,,442,357896.91,
FIVE CONTINENTS S.R.L.,14400295,vatafugabriela@yahoo.com,0231544217,,Botoșani > RACHITI > RACHITI,,,438,835876.31,companies_prefix
FrieslandCampina Romania SA,6632642,george.buiculescu@frieslandcampina.com,0261705700,,,,,438,326690.69,pg:romania.companies
REAL WEST,10611206,office@realtest.ro,0264436328,,,,,436,54610.19,csv:romania_with_email.csv
MIV SARA COM,33757562,STELIMARICRIS@GMAIL.COM,0744667649,,,,,432,377139.1,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
VASCAR S.A.,829522,office@vascar.ro,+40235361131,,,,Transport,430,27604201.99,companies_name
LAKTOTRIO 2001 PROD,13917944,contact@targetare.ro,0230573556,,,,,427,2073392.71,csv:ddg_contacts.csv
CERAGRIM S.R.L.,6064801,,0265328602,,,,,426,52883.71,
ALIADI AGROCOM,3402339,,0264432866,,,,,425,464702.95,
S.C. BANSIMEX PROD S.R.L.,2652388,adela.teban@argentometal.ro,0265/320013,,,,,421,1369262.57,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COMIGA PROD IMPEX S.R.L.,RO 3821620,claubisoffice@yahoo.com,+40265511616,,,,,420,69639900.0,fuzzy:0.47
SERVICESAT,23271874,,0743971000,,,,,418,222631.85,
SORION BALENI,40877448,,0723475147,,,,,411,100057378.7,
ADRIANUS COM,19140820,,0744409008,,,,,409,326668.61,
ELLMAR COM,RO 4499001,,,,,,,408,89466757.0,
SARIS FRUIT SRL,32284997,daniela.agripol@yahoo.com,0755092852,,,,,408,36614.16,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
S. C. MCA COMERCIAL S.R.L,RO 13219828,,,,,,,405,54854924.0,
EUROGRUP BOGDAN,RO24660152,,+40721733545,,"Sat Chiscadaga, Comuna Soimus","Sat Chiscadaga, Comuna Soimus, CHISCADAGA, nr. 104",,401,74159453.0,
SZILVESZTER COMPROD S.R.L.,3128161,zsigmondambrus@yahoo.com,0266242738,,,,,399,438564.23,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
MARATHON DISTRIBUTION GROUP,3379619,office@chorus.ro,0213513195,,,,,396,615040.2,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SPICUL 2,622194,corina_mihaela_danila@yahoo.com,0231610028,,,,,395,1004877.54,fuzzy_fd:0.50
S.C. DOCSER S.R.L. S.R.L.,17095366,,0721200707,,,,,391,171273704.19,
FERMADOR,6550631,contact@fermador.ro,0232222111,,Iași > ORAS PODU ILOAIEI,,,391,627853.47,companies_name
S.C. ERBACOM S.R.L.,6345432,,0212323545,,,,,390,4789436.23,
REGIA NATIONALA A PADURILOR ROMSILVA RA,1590120,info@muzeulcinegeticposada.ro,+40244392188,,,,,386,9261308.7,companies_prefix
SIGISMUND COM,RO 5740921,sigismund_com@yahoo.com,+40740064636,,,,,384,54830784.0,companies_name
LA FANTANA,35534516,rezervari@la-fontana.ro,,,,"MUNICIPIUL BUCUREŞTI, SECTOR 2, BLD. GĂRII OBOR, NR.8C",,384,2478030.02,csv:romania_with_email.csv
CARLAND S.R.L.,11180179,panait.adrian85@gmail.com,0244567005,,,,,382,1115322.47,fuzzy_fd:0.56
MAGNETIC CAMAPO,6480986,magconstructcraiova@gmail.com,0258733483,,,,,376,608093.59,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
OLTINA IMPEX PROD COM,RO6824222,lumaxproiect@outlook.com,0754320000,,,,,374,252024414.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
RADICSTAR,4917490,resurseumane@radicstar.ro,0248265600,,Argeș > ORAS STEFANESTI,,,374,334836.7,companies_name
S.C. CONTEC FOODS S.R.L. S.R.L.,14041515,carmen@contec.ro,0755222570,,Galați > MUNICIPIUL TECUCI > TECUCI,,,373,1657952996.22,companies_prefix
AGRESSIVE SRL,6421238,agressive2009@yahoo.com,+40236819872,,,,,373,417288.93,companies_name
G&T SERVICES,24266523,mg.services.romania@gmail.com,+40767283888,,,,,372,8621439.25,food_distribution_name
S.C. CUMPANA 1993 S.R.L. S.R.L.,4264242,office@cumpana.ro,0219224,,,,,370,864560.79,csv:romania_with_email.csv
LUCICOS COM FRUCT S.R.L.,43754245,,,,,"JUD. ARGEŞ, SAT VALEA DANULUI COM. VALEA DANULUI, NR.1",,370,69943.3,
BRADET,RO14062704,bradetpensiune@gmail.com,,,,,,367,131438848.0,food_distribution_name
AGROLINEVOL S.R.L.,33184953,agrolineoffice@yahoo.com,+40738850710,,,,,366,69144261.38,companies_name
DOLLY BENZ COMEX,4837145,,0724669346,,,,,364,586566.0,
CONTROL FRUCT LOGISTIC S.R.L.,49092260,,0790345273,,,,,362,153138.7,
LECONFEX,2092175,confex_calarasi@yahoo.com,0721733545,,,,,362,1969415.14,csv:virgil_schema.fuzzy_enriched.csv
KROGOLD INDUSTRIES SRL,4680384,,0766393831,,,,,362,565703.51,
PARHAN COM,4491776,,,,,"JUD. BIHOR, SAT BRATCA COM. BRATCA, BRATCA, NR.129",,360,607071.1,
PRESCOMSERV FT,1201533,nicu_prescom@yahoo.com,0265139756,,,,,359,482072.26,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SC ADRIDAN SRL,4498421,adrianadarau@yahoo.com,+40233225155,,,,,358,677304.4,csv:romania_with_email.csv
ROLINA,2585033,linimpexconstruct@gmail.com,0231584102,,,,,357,619117.63,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
APRO-COM-IMPEX S.R.L.,9279406,aprocomimpex@yahoo.com,0740048259,,,,,356,854439.52,csv:romania_with_email.csv
PAN IVAN S.R.L.,46299432,hr@presidentgroup.ro,0740253854,,,,,354,148169.7,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
EXIMAL IMPEX,RO 6702713,,,,,,,352,19959958.0,
SIMULTAN S.R.L.,6723660,office@smartrecruiters.ro,+40256212036,,,,,352,680170.57,companies_name
ELIT,RO 14444712,recrutare.elit@elitcugir.ro,+40737466103,,,,,351,112220567.0,companies_name
GIMAR COM S.R.L.,13919295,florinamoldoveanu02@gmail.com,0724078811,,,,,351,352419.5,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
LAUR TRANS LACTO,12457635,office@lactosolomonescu.ro,0767421083,,,,,349,160589442.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Pro Beauty Store,32997826,,0753696556,,,,,344,213537.12,
MARIFLOR PRODCOM,7371200,office_terraserice@yahoo.com,0264243438,,,,,342,474100.41,csv:contractors_enriched_all.csv
GRANBIS,6115158,,0241675881,,,,,341,504830.56,
ADG-FRUIT S.R.L.,17292813,daniela.agripol@yahoo.com,0256474014,,,,,338,573673.56,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SC THERMAL COAT CONTINENTAL SRL,26067438,info@continentalhotels.ro,0745617691,,,,,337,89764.0,fuzzy_fd:0.55
SPICUL 2,RO 622194,corina_mihaela_danila@yahoo.com,,,,,,335,72684977.0,fuzzy_fd:0.50
OPRI SOUND,19160070,,0729222591,,,,,334,74660.71,
S.C. INTER CONECTER  S.R.L. S.R.L.,13116628,alin.suta@yahoo.com,0723538819,,,,,329,4486900.47,csv:contractors_enriched_all.csv
BONAS IMPORT EXPORT,228824,salariikd@kdconta.ro,0741197123,,Cluj > APAHIDA > DEZMIR,,,328,370288.21,companies_name
ELMINA,5163025,mmunion@gmail.com,,,,"JUD. SIBIU, MUN. SIBIU, STR. LUPTEI, NR.9, AP.V",,326,373627.26,csv:romania_with_email.csv
CRONA COM S.R.L.,6704684,popesculoredana1981@yahoo.com,0727392930,,,,,322,203173.53,fuzzy_fd:0.45
CAPRARU COMP SRL,14972963,katy.popescu@vmcomp.ro,0744210384,,,,,321,237704.53,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
STEDYAN COM,15779023,stedconstruct2003@gmail.com,0742209255,,,,,321,1016387.49,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SELGROS DISTRIBUTIE,33030776,,,,,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR VESTEI, NR.18",,320,838120.24,
MIRMAN COMPANY  SRL,26984643,,0745345565,,,,,319,6144449.18,
S.C. MACROMEX SRL,5052558,,0212066900,,,,,316,6216132.71,
EXIMAL IMPEX,6702713,,026438421,,,,,316,1774995.31,
AMIA INVEST,RO 14023985,,,,,,,315,14149688.0,
COMSORADI SRL,6202149,comsoradi2008@yahoo.com,0268417172,,,,,314,464245.02,pg:romania.companies
PAM ALY 2007,22851679,,0722 858 481,,,,,312,396199.7,
Carniprod,4705349,office.carniprod@scandia.ro,0240505100,,,,,310,9966258.85,anofm
UNIVERSAL,673910,ciuleanadriana@yahoo.com,0260661340,,,,,310,423003.71,csv:virgil_schema.fuzzy_enriched.csv
BRUTARIA DOMNEASCA S.R.L.,41192833,brutariadutusrl@gmail.com,+40785666247,,,,,307,41378.78,companies_prefix
PRODLACTA SRL,16837815,resurse.umane@prodlacta.ro,0734772976,,,,,307,495472.22,contractors
DERSIDAN,3737440,,0261769925,,,,,306,362931.97,
FERMA ZOOTEHNICA,4949971,office@rsi-romprest.ro,0262250926,,,,,303,315078.95,csv:contractors_enriched_all.csv
CALI FISHING & HUNTING S.R.L.,27385553,and@alitrans.ro,0723249975,,,,,303,1158523.95,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
NICBAC PROD,RO 9817750,nic_bac_prod@yahoo.com,+40743338295,,,,,298,128899247.0,companies_name
MADEXPORT,7699080,cbsexport@gmail.com,0267318284,,,,,298,86154.15,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
CARLAND S.R.L.,RO 11180179,panait.adrian85@gmail.com,,,,,,291,57892052.0,fuzzy_fd:0.56
BOROMIR IND,6334476,secretariat.deva@boromir.ro,+40740115222,,,,,291,221567.56,companies_name
BOBIX STAR S.R.L.,5897730,office@tarmv.ro,0744591207,,,,,291,193414.86,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
DACAPO EST S.R.L.,21062227,lumaxproiect@outlook.com,0740888563,,,,,289,250908.36,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
GRADIELLAS IMPEX,9128713,,0740253642,,,,,288,159597.46,
C-AGLA-C COM SRL,RO 8129524,cristy31ro@yahoo.com,,,,,,284,72074752.0,pg:romania.companies
SANDANA COM,8352738,office@sandana.ro,0260 662460,,,,,284,82731.42,csv:ddg_contacts.csv
ODOREST,524471,,0744562459,,,,,281,542660.05,
Coca-Cola HBC Romania,474152,recrutare@cchellenic.com,+40723333922,,,,Transport,281,502357.85,companies_name
PRODLACTA SRL,RO 16837815,resurse.umane@prodlacta.ro,40734772976,,,,,280,37441430.0,food_distribution_name
AVIS FRESH COM SRL,27896086,,0254236555,,,,,280,486767.36,
MOLDOVAN CARMANGERIE,6224937,andrea.mot@cmdn.ro,+40264232810,,,,,277,1006368.72,companies_name
TRILATER COM,9811693,,228498,,,,,277,307322.85,
DUCA,741357,tutucompany92@gmail.com,0745382582,,,,,273,165328.78,food_distribution_name
LADOREL COM,8458446,,0730714042,,,,,270,198604.89,
JOLDOS PROIMPEX S.R.L.,RO 9399070,joldosproimpex@gmail.com,0744395716,,Cluj > MUNICIPIUL CLUJ-NAPOCA,,,265,134774821.0,companies_name
S.C. DOCLAM S.R.L.,17871661,,0745166526,,,,,265,291621.11,
NAKI IMPEX,7432421,bogdan.ilies@unicarm.ro,230792,,,,,265,426552.07,csv:contractors_enriched_all.csv
MERCUR & SERVICE S.R.L.,6732439,rezervari@hotelmercur.ro,0721050644,,,,,265,49551.96,fuzzy_fd:0.47
FALCONS,4214864,,0244535525,,,,,263,768160.79,
SAFIR,822044,recrutare@safir.ro,+40751090458,,,,,258,206287.64,companies_name
MERIDIAN AGROIND,6675589,pensiuneameridian@yahoo.com,0745395362,,,,,258,356623.03,fuzzy_fd:0.53
S.C. Harghita Retail S.R.L.,38244304,3xretail@gmail.com,0266314906,,,,,257,12101071.34,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
AGROPAN IMPEX,15576550,agropamsrl@yahoo.com,0232233441,,,,,255,462611.21,csv:virgil_schema.fuzzy_enriched.csv
MUNTEAN VASILE-VALENTIN,30446928,,0747492271,,,,,254,193674.05,
M&R,4190102,aciovasi@yahoo.com,0232233470,,,,,253,4388386.56,food_distribution_name
NUTRIENT SOLUTIONS,RO 15271385,,,,,,,253,119628556.0,
STRUNGARIU & CO RIGAMS LM,6856089,,0232222014,,,,,252,579380.95,
AMARIEI G. PETRU,23455761,ungureanvladutpetru@gmail.com,0751837567,,,,,251,562610.42,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
GOPA,1363705,contact@targetare.ro,0722504299,,,,,251,109792.86,csv:ddg_contacts.csv
SC Edesia Trading SRL,38060336,,,,,"JUD. IAŞI, MUN. IAŞI, ŞOS. MANTA ROŞIE, NR.16, BL.C4, ET.4, AP.21",,250,923019.97,
VICONSIT S.R.L.,RO 23067689,,,,,,,248,6952879.0,
SC IRINEL SRL,RO190258,tamasi.irinel@yahoo.com,557163,,,,,248,58616479.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PROFING DR. COM  S.R.L,6694874,secretariat@spitalreghin.ro,0263343622,,,,,248,256757.9,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
