Proiect,Tip,Fisier,Ce face,Status
FOOD,cod,campaign_dashboard.py,Panou vizualizare campanii,ACTIV
FOOD,cod,campaign_export.py,Export CSV-uri pregatite de campanie,ACTIV
FOOD,cod,campaign_templates.py,Sabloane email pentru outreach alimentar,ACTIV
FOOD,cod,shared_utils.py,Functii utilitare partajate,ACTIV
FOOD,cod,ddg_email_search.py,Cautare email prin DuckDuckGo,ACTIV
FOOD,cod,inspect_all_dbs.py,Inspecteaza toate bazele PostgreSQL,ACTIV
FOOD,cod,scan_all_pg_dbs.py,Scaneaza DB-uri PG pentru tabele alimentare,ACTIV
FOOD,cod,scan_big_csvs.py,Scaneaza CSV-uri mari pentru date alimentare,ACTIV
FOOD,cod,search_liquidators.py,Gaseste contacte lichidatori,ACTIV
FOOD,cod,listafirme_cui_lookup.py,Cautare CUI pe ListaFirme.ro,ACTIV
FOOD,date,HORECA_28K_UNIQUE_EMAILS.csv,28K contacte HORECA (20K RO 5.6K NO 800 BG 350 DK),ACTIV
FOOD,date,ALL_SUPERMARKET_CHAINS.csv,Toate lanturile de supermarketuri UE,ACTIV
FOOD,date,SUPERMARKETS_RO.csv,Supermarketuri Romania,ACTIV
FOOD,date,HORECA_RO.csv,Hoteluri restaurante catering RO,ACTIV
FOOD,date,DISTRIBUTORS_RO.csv,Distribuitori alimentari RO,ACTIV
FOOD,date,DAIRY_RO.csv,Companii lactate RO,ACTIV
FOOD,date,COLD_STORAGE_RO.csv,Depozite frigorifice RO,ACTIV
FOOD,date,MEAT_PROCESSORS_RO.csv,Procesatori carne RO,ACTIV
FOOD,date,LOGISTICS_RO.csv,Companii logistica RO,ACTIV
FOOD,date,WHOLESALE_EUROPE.csv,Distribuitori en-gros UE,ACTIV
FOOD,date,MASTER_CLEAN.csv,Baza date master curatata,ACTIV
FOOD,date,ROMANIA_FOOD_DISTRIBUTION_CONTACTS.csv,Contacte distributie alimentara RO,ACTIV
FOOD,date,masterdb_food_companies.csv,Companii alimentare din master DB,ACTIV
FOOD,date,romanian_farms_raspibig.csv,Ferme romanesti din raspibig,ACTIV
FOOD,date,romanian_food_processors_database.csv,Procesatori alimentari,ACTIV
FOOD,date,romanian_wholesale_distributors.csv,Distribuitori en-gros,ACTIV
FOOD,date,romanian_agricultural_cooperatives_comprehensive_database.csv,Cooperative agricole,ACTIV
FOOD,date,romanian_chamber_of_commerce_database.csv,Date Camera de Comert,ACTIV
FOOD,date,seap_food_winners_all.csv,Toti castigatorii SEAP alimentari,ACTIV
FOOD,date,seap_food_winners_enriched.csv,Castigatori SEAP imbogatiti (3030),ACTIV
FOOD,date,seap_food_winners_unique.csv,Castigatori SEAP deduplicati,ACTIV
FOOD,date,seap_food_winners_with_cui.csv,Castigatori SEAP cu CUI,ACTIV
FOOD,date,seap_food_overlap.csv,Analiza suprapunere SEAP,ACTIV
FOOD,date,insolvent_contacts_flagged.csv,Companii insolvente marcate,ACTIV
FOOD,date,TIER0_SEAP_WINNERS.csv,Segment campanie tier 0,ACTIV
FOOD,date,TIER1_CHAINS.csv,Segment campanie tier 1,ACTIV
FOOD,date,TIER2_DISTRIBUTORS.csv,Segment campanie tier 2,ACTIV
FOOD,date,TIER3_HORECA_BUCHAREST.csv,Segment campanie tier 3,ACTIV
FOOD,date,ACQUISITION_TARGETS.csv,Tinte achizitie,ACTIV
FRESKON,date,freskon_exhibitors.csv,Contacte expozanti targuri europene,ACTIV
GUMROAD,plan,descriptions/ + products/,Sabloane pentru vanzare pachete date,GATA
LEGUME MASINI,scraper,scrape_competitors.py,Scrapeaza companii concurente utilaje sortare,CERCETARE
LEO CASA BUZAU,date,buzau_potrivite_companies_FINAL.csv,Companii potrivite pentru inchiriere,DATE GATA
LEO CASA BUZAU,date,LEO_BUZAU_FINAL_ENRICHED.csv,Versiune finala imbogatita,DATE GATA
LEO CASA BUZAU,date,LEO_BUZAU_WITH_EMAIL.csv,Companii cu contacte email,DATE GATA
LEO CASA BUZAU,date,leo_anaf_enriched.csv,Imbogatite din registru ANAF,DATE GATA
LEO CASA BUZAU,date,leo_enriched.csv,Imbogatire iteratie 1,DATE GATA
LEO CASA BUZAU,date,leo_enriched_v2.csv,Imbogatire iteratie 2,DATE GATA
LEO CASA BUZAU,date,leo_final.csv,Versiune finala,DATE GATA
LEO CASA BUZAU,date,leo_final_enriched.csv,Versiune finala imbogatita,DATE GATA
LEO CASA BUZAU,date,leo_max_enriched.csv,Imbogatire maxima,DATE GATA
LEO CASA BUZAU,date,leo_ultimate.csv,Versiunea ultima,DATE GATA
LEO CASA BUZAU,date,leo_with_headers.csv,Versiune cu headere curate,DATE GATA
LLM,cod,email_responder.py,Sistem raspunsuri email automate,ACTIV
LLM,cod,gmail_drafter.py,Generator ciorne Gmail,ACTIV
LLM,cod,train_classifier.py,Antreneaza clasificator sklearn (94.5% acuratete),ACTIV
LLM,cod,import_labels_to_pg.py,Importa etichete in PostgreSQL,ACTIV
LLM,cod,response_templates.py,Biblioteca sabloane raspuns,ACTIV
LLM,cod,test_local.py,Framework testare locala,ACTIV
LLM,cod,deploy.sh,Deploy pe raspibig,ACTIV
LLM,date,labels.db,Baza date etichete SQLite,ACTIV
LLM,date,config.json,Configurare,ACTIV
LLM,date,manual_labels_batch1.json,Date antrenament lot 1,ACTIV
LLM,date,manual_labels_batch2.json,Date antrenament lot 2,ACTIV
LLM,date,seen_message_ids.json,Urmarire mesaje procesate,ACTIV
LLM,date,collector_stats.json,Statistici colectare,ACTIV
MERCOSUR,scraper,apex_brasil.py,API agentie promovare exporturi Brazilia,ACTIV
MERCOSUR,scraper,argentina_exporta.py,Director exporturi Argentina,ACTIV
MERCOSUR,scraper,prochile.py,Promovare exporturi Chile,ACTIV
MERCOSUR,scraper,rediex_paraguay.py,Export/investitii Paraguay,ACTIV
MERCOSUR,scraper,uruguay_xxi.py,Investitii/export Uruguay,ACTIV
MERCOSUR,scraper,argentina_afip.py,Registru fiscal Argentina,ACTIV
MERCOSUR,scraper,brazil_cnpj.py,Registru companii Brazilia (CNPJ),ACTIV
MERCOSUR,scraper,chile_sii.py,Serviciu fiscal Chile,ACTIV
MERCOSUR,scraper,uruguay_dgi.py,Serviciu fiscal Uruguay,ACTIV
MERCOSUR,scraper,abiec_beef.py,Exportatori carne vita Brazilia,ACTIV
MERCOSUR,scraper,abemel_honey.py,Exportatori miere Brazilia,ACTIV
MERCOSUR,scraper,ibram_mining.py,Asociatia miniera Brazilia,ACTIV
MERCOSUR,scraper,ipcva_argentina.py,Institut carne Argentina,ACTIV
MERCOSUR,scraper,sada_honey_ar.py,Asociatia miere Argentina,ACTIV
MERCOSUR,scraper,wines_argentina.py,Exportatori vin Argentina,ACTIV
MERCOSUR,scraper,apas_show.py,Targ alimentar APAS (Brazilia),ACTIV
MERCOSUR,scraper,expoaladi.py,Expozitie comerciala ALADI,ACTIV
MERCOSUR,scraper,fenavinho.py,Targ vinuri,ACTIV
MERCOSUR,scraper,fispal.py,Targ alimentar FISPAL (Brazilia),ACTIV
MERCOSUR,scraper,mercoagro.py,MercoAgro agribusiness,ACTIV
MERCOSUR,scraper,connectamericas.py,Director ConnectAmericas IDB,ACTIV
MERCOSUR,scraper,dnb_latam.py,D&B America Latina,ACTIV
MERCOSUR,scraper,kompass_latam.py,Director Kompass,ACTIV
MERCOSUR,scraper,trademap.py,ITC Trade Map,ACTIV
MERCOSUR,cod,brazil_producers.py,Scrapeaza producatori brazilieni,ACTIV
MERCOSUR,cod,argentina_producers.py,Scrapeaza producatori argentinieni,ACTIV
MERCOSUR,cod,chile_producers.py,Scrapeaza producatori chilieni,ACTIV
MERCOSUR,cod,paraguay_producers.py,Scrapeaza producatori paraguayeni,ACTIV
MERCOSUR,cod,uruguay_producers.py,Scrapeaza producatori uruguayeni,ACTIV
MERCOSUR,cod,brazil_comex.py,Date comert Brazilia (Comex),ACTIV
MERCOSUR,cod,deep_scraper.py,Scraping profund website-uri,ACTIV
MERCOSUR,cod,mass_scraper.py,Scraping paralel masiv,ACTIV
MERCOSUR,cod,enrich_contacts.py,Imbogatire contacte,ACTIV
MERCOSUR,cod,sector_enricher.py,Imbogatire pe sector,ACTIV
MERCOSUR,cod,consolidate_all.py,Consolidare date,ACTIV
MERCOSUR,cod,final_merge.py,Fuziune finala date,ACTIV
MERCOSUR,cod,orchestrator.py,Orchestrator scrapere paralele,ACTIV
MERCOSUR,cod,merger.py,Fuziune rezultate paralele,ACTIV
MERCOSUR,cod,run_all.py,Ruleaza toate scraperele,ACTIV
MERCOSUR,cod,gentle_runner.py,Runner cu limita rata,ACTIV
MERCOSUR,cod,send_embassy_letters.py,Trimite scrisori ambasadelor,ACTIV
MERCOSUR,cod,send_mercosur_bucuresti.py,Contacteaza ambasade Mercosur Bucuresti,ACTIV
MERCOSUR,cod,enrich_all_brazil.py,Imbogateste toate datele Brazilia,ACTIV
MERCOSUR,cod,enrich_brazil_cnpj.py,Imbogatire bazata pe CNPJ,ACTIV
MERCOSUR,cod,enrich_exporters.py,Imbogatire exportatori,ACTIV
MERCOSUR,cod,cron_scrapers.sh,Cron job scraping programat,ACTIV
MERCOSUR,cod,download_opendata.sh,Descarcare surse date deschise,ACTIV
MERCOSUR,date,campaign_agrifood_20260321.csv,Campanie agroalimentar,ACTIV
MERCOSUR,date,campaign_aluminum_20260321.csv,Campanie aluminiu,ACTIV
MERCOSUR,date,campaign_beef_20260321.csv,Campanie carne vita,ACTIV
MERCOSUR,date,campaign_cleantech_20260321.csv,Campanie cleantech,ACTIV
MERCOSUR,date,campaign_coffee_20260321.csv,Campanie cafea,ACTIV
MERCOSUR,date,campaign_copper_20260321.csv,Campanie cupru,ACTIV
MERCOSUR,date,campaign_fruits_20260321.csv,Campanie fructe,ACTIV
MERCOSUR,date,campaign_honey_20260321.csv,Campanie miere,ACTIV
MERCOSUR,date,campaign_lithium_20260321.csv,Campanie litiu,ACTIV
MERCOSUR,date,campaign_lumber_20260321.csv,Campanie lemn,ACTIV
MERCOSUR,date,campaign_machinery_20260321.csv,Campanie utilaje,ACTIV
MERCOSUR,date,campaign_minerals_20260321.csv,Campanie minerale,ACTIV
MERCOSUR,date,campaign_niobium_20260321.csv,Campanie niobiu,ACTIV
MERCOSUR,date,campaign_poultry_20260321.csv,Campanie avicol,ACTIV
MERCOSUR,date,campaign_pulp_paper_20260321.csv,Campanie celuloza/hartie,ACTIV
MERCOSUR,date,campaign_salmon_20260321.csv,Campanie somon,ACTIV
MERCOSUR,date,campaign_seafood_20260321.csv,Campanie fructe mare,ACTIV
MERCOSUR,date,campaign_shrimp_20260321.csv,Campanie creveti,ACTIV
MERCOSUR,date,campaign_soy_20260321.csv,Campanie soia,ACTIV
MERCOSUR,date,campaign_steel_20260321.csv,Campanie otel,ACTIV
MERCOSUR,date,campaign_sugar_20260321.csv,Campanie zahar,ACTIV
MERCOSUR,date,campaign_wine_20260321.csv,Campanie vin,ACTIV
MERCOSUR,date,eu_beef_meat_buyers.csv,Cumparatori carne UE,ACTIV
MERCOSUR,date,brazil_all_enriched.csv,Toate datele Brazilia imbogatite,ACTIV
MERCOSUR,date,brazil_exporters_full.csv,Exportatori Brazilia complet,ACTIV
MERCOSUR,date,brazil_winners_20260321.csv,Castigatori licitatii Brazilia,ACTIV
MERCOSUR,date,mercosur_producers_all.csv,Toti producatorii Mercosur,ACTIV
MERCOSUR,date,mercosur_producers_clean.csv,Producatori Mercosur curatati,ACTIV
MERCOSUR,date,argentina_exporters.csv,Exportatori Argentina,ACTIV
MERCOSUR,date,mercosur_bucuresti_contacts.csv,Contacte ambasade Bucuresti,ACTIV
NATO,cod,analyze_seap_market.py,Analizeaza achizitii SEAP militare,ACTIV
NATO,cod,cap_matchmaker.py,Potriveste capacitati cu cerinte,ACTIV
NATO,cod,cap_monitor.py,Monitorizare schimbari capacitati,ACTIV
NATO,cod,phase1_tracker.py,Urmarire progres Faza 1,ACTIV
NATO,cod,quick_setup.py,Configurare rapida pipeline NATO,ACTIV
PRODUS MONTAN,cod,produs_montan_parse.py,Parseaza date RNPM,ACTIV
PRODUS MONTAN,cod,create_produs_montan_db.py,Creeaza baza PostgreSQL,ACTIV
PRODUS MONTAN,cod,generate_catalog.py,Genereaza catalog HTML produse,ACTIV
PRODUS MONTAN,cod,deploy_catalog.py,Deploy catalog pe A2 Hosting,ACTIV
PRODUS MONTAN,cod,generate_woocommerce_csv.py,Export format WooCommerce,ACTIV
PRODUS MONTAN,cod,campaign_cos_legume.py,Campanie cosuri legume,ACTIV
PRODUS MONTAN,cod,publish_2026_post.py,Publica articol WordPress,ACTIV
PRODUS MONTAN,cod,update_post_contact.py,Actualizeaza info contact pe posturi,ACTIV
PRODUS MONTAN,cod,check_enrichment.py,Verifica calitate imbogatire,ACTIV
PRODUS MONTAN,cod,check_phones.py,Valideaza numere telefon,ACTIV
PRODUS MONTAN,scraper,scrape_produsmontan.py,Scrapeaza registru RNPM produse montane,ACTIV
PRODUS MONTAN,scraper,fetch.py,Descarca pagini RNPM,ACTIV
PRODUS MONTAN,scraper,scraper.py (eco),Scrapeaza registru agricultura ecologica,ACTIV
PRODUS MONTAN,scraper,scraper_v2.py (eco),Scraper v2 agricultura ecologica,ACTIV
PRODUS MONTAN,scraper,clean_data.py (eco),Curata date scrapate ecologice,ACTIV
PRODUS MONTAN,scraper,contact_enricher.py (eco),Imbogateste contacte producatori eco,ACTIV
PRODUS MONTAN,date,rnpm_producers_1331.csv,1331 producatori montani,ACTIV
PRODUS MONTAN,date,rnpm_producers_no_email_354.csv,354 producatori fara email,ACTIV
PRODUS MONTAN,date,PRODUS MONTAN PRODUCATORI.csv,Lista master producatori,ACTIV
PRODUS MONTAN,date,cooperative_functionale.csv,Cooperative functionale,ACTIV
PRODUS MONTAN,date,cooperative_top50_alimentare_montane.csv,Top 50 cooperative alimentare,ACTIV
PRODUS MONTAN,date,cooperative_top50_enriched.csv,Top 50 imbogatite,ACTIV
PRODUS MONTAN,date,woo_products.csv,Export produse WooCommerce,ACTIV
PRODUS MONTAN,date,mountain_producers.csv,Lista producatori la radacina,ACTIV
PRODUS MONTAN,date,producers_enriched.csv (eco),Producatori eco imbogatiti,ACTIV
TRASABILITATE,cod,analyze_targets.py,Analizeaza clienti potentiali SaaS,INGHETAT
TRASABILITATE,cod,backend/app.py,Backend FastAPI,INGHETAT
TRASABILITATE,cod,backend/init_db.py,Initializare baza date,INGHETAT
TRASABILITATE,cod,cli/trasabilitate.py,Instrument linie comanda,INGHETAT
TRASABILITATE,cod,scripts/seed_demo.py,Populeaza date demo,INGHETAT
TRASABILITATE,cod,scripts/deploy.sh,Script deployment,INGHETAT
TRASABILITATE,cod,tests/test_api.py,Teste API,INGHETAT
TRASABILITATE,date,TARGET_CLIENTS.csv,Clienti potentiali SaaS,INGHETAT
UNIFIED DB,cod,company_lookup.py,Cauta companii in PostgreSQL,REFERINTA
UNIFIED DB,cod,db_helper.py,Helper conexiune baza date,REFERINTA
