company,email,county,category,phone,website
ALEYAN LOGISTIC S.R.L.,office@aleyan.ro,,logistics,+40744512310,
ALGINA ELECTRIC SRL,algina_electric@yahoo.com,,logistics,+40746505981,
ALI GABI AGROMIXT SRL,hadareancrucita@yahoo.com,,logistics,+40745566253,
ALICOMTEX SRL,alicomtex@rdslink.ro,,logistics,+40249420016,
ALMINEC SOLUTION SRL,alminec.solution@gmail.com,,logistics,+40721400639,
ALPHA SISTEM MANAGEMENT S.R.L.,office@stefanrebeja.com,,logistics,+40734744429,
ALUNU SRL,alunubals@yahoo.com,,logistics,+40740193270,
AMBIENT PRO CONCEPT,ramona.ioanes@altaconsult.ro,,logistics,+40752043400,
AMEROPA LOGISTICS SRL,mihailturjan@gmail.com,,logistics,+40758105928,
AMR PRESS BOX SRL,almos.simo@yahoo.com,,logistics,+40752173060,
ANADOLU AUTOMOBIL ROM SRL,resurseumane@isuzu.com,,logistics,+40722560002,
ANDIGROM SRL,tataruandrei78@yahoo.com,,logistics,+40752776278,
ANDROMEDA SERVICE SRL,andromedase@gmail.com,,logistics,+40257256858,
ANDU JANSNEL SRL,andreea.bolanu12@gmail.com,,logistics,+40760611927,
ANDY STAR IMPEX SRL,office@andy-star.ro,,logistics,+40730965711,
ANRNEAGA DISTRIBUTION SRL,neaga.distribution@gmail.con,,logistics,+40740433547,
ANS GROUP SRL,ansgroup.vd@gmail.com,,logistics,+40744275327,
ANTOGLOBAL SRL,contasist@gmail.com,,logistics,+40230515001,
APA CANAL SIBIU S.A.,personal@apacansb.ro,,logistics,+40269222916,
APA SERV VALEA JIULUI SA,apaserv@asvj.ro,,logistics,+40254546672,
APA TARNAVEI MARI SA,daniela.negru@apatarnavei.ro,,logistics,+40269841425,
APALEMNIA S.R.L.,toroimpex@toroimpex.ro,,logistics,+40723383481,
APAVIL SA,resurse.umane@apavil.ro,,logistics,+40350802161,
APOLLO PROBALAST SRL,apollo_probalast@yahoo.com,,logistics,+40766882482,
AQUATERM AG 98 SA,nica_ana.maria@yahoo.com,,logistics,+40748127701,
ARABESQUE SRL,hr.tm@arabesque.ro,,logistics,+40751132596,
ARABESQUE SRL,hr.hd@arabesque.ro,,logistics,+40758026307,
ARABESQUE SRL,ru.sb@arabesque.ro,,logistics,+40757024482,
ARABESQUE SRL,hr.cj@arabesque.ro,,logistics,+40751262126,
ARANCA DELIVERY SRL,aranca@nicaerogroup.ro,,logistics,+40766530129,
ARAY BRICO DEPO SRL,birdeaelean@yahoo.com,,logistics,+40765049355,
ARCESE TRANSPORT SRL,maria.danciu@contelit.ro,,logistics,+40727328838,
ARENA AUTO SRL,sales@toyotaploiesti.ro,,logistics,+40244541265,
ARGES BIOSUD COOPERATIVA AGRICOLA,ducozma@gmail.com,Arges,logistics,+40744122870,
ARISMAT IMPEX S.R.L.,aris.matei@fancourier.ro,,logistics,+40728889578,
AROMA SERVICES GROUP,office@aromaservicesgroup.ro,,logistics,+40743556629,
AROVIT INVEST SRL,resurseumane@arovit.ro,,logistics,+40788496337,
ART GARAJ SERVICE SRL,artgarajservicesrl@yahoo.com,,logistics,+40724507409,
ARTMAN SPEDITION SRL,artmanspedition@gmail.com,,logistics,+40756235469,
AS TRANS SRL,astrans@clicknet.ro,,logistics,+40250738492,
ASCET COM SRL,ascetcom@yahoo.com,,logistics,+40754656656,
ASILVADA SRL,constantin_andreca@yahoo.com,,logistics,+40745876824,
ASO CROMSTEEL S.A.,gogorici.dasiana@yahoo.com,,logistics,+40245213261,
ASOCIATIA ATELIERE FARA FRONTI,social@atelierefarafrontiere.ro,,logistics,+40740024613,
ASOCIATIA BANCA REGIONALA PT. ALIMENTE,oftherecord25@outlook.com,Bihor,logistics,07996699964,
ASOCIATIA CAMINUL SENIORILOR,vladelenaispas@gmail.com,,logistics,+40749273127,
ASOCIATIA CASA TOM,casatoma@yahoo.com,,logistics,+40788140864,
ASOCIATIA CRESCATORILOR DE OVINE SI CAPRINE - MOLDOOVIS BOTOSANI,nunti@evaprestige.ro,Botosani,distributor,+40774402344,
ASOCIATIA EMOTII,asociatiaemotii@gmail.com,,logistics,+40743974300,
ASOCIATIA PROFESIONALA NEGUVERNAMENTALA DE ASISTENTA SOCIALA ASSOC,assoc@assoc.ro,,logistics,+40262222226,
ASOCIATIA SINZIENE,risteiu_alba@yahoo.com,,logistics,+40729010745,
ASOCIATIA SPERANTA  FITCAU,sperantafitcau@gmail.com,,logistics,+40745312902,
ASSA ABLOY ROMANIA SRL,anca.saru@assaabloy.com,,logistics,+40751059070,
ASUL GALAXY SRL,trofix79@yahoo.com,,logistics,+40747832231,
ATHOS COM SRL,athosgrup@gmail.com,,logistics,+40260660654,
ATHOS TRANSPORT S.R.L.,office@athos-trans.ro,,logistics,-,
ATLAS TOUR SRL,office@atlastour.ro,,logistics,+40755080554,
ATP MOTORS RO SRL,resurse.umane@atp-group.ro,,logistics,+40362805695,
ATS ALP TRANSPORT SRL,c_padurean@yahoo.com,,logistics,+40745257338,
AURSPEED S.R.L.,aur.speed@yahoo.ro,,logistics,+40748504870,
AUTO BRAND SRL,hr@autobrand.ro,,logistics,+40744607344,
AUTO LENIED A.N.M SRL,anvelope@autolenied.ro,,logistics,+40248510490,
AUTO LUGOJANA SA,autolugojana@gmail.com,,logistics,+40265351013,
AUTO PIO SERVICE SRL,avram_dana76@yahoo.com,,logistics,+40740549259,
AUTO TACT SRL,contabilitate@autotact.ro,,logistics,+40752192333,
AUTO VANGUARD INVEST S.R.L.,adymyc@gmail.com,,logistics,+40729911186,
AUTO WASH IMPEX SRL,mihaelan63@gmail.com,,logistics,+40769658762,
AUTOBUZUL SA,autobuzul@yahoo.com,,logistics,+40723289028,
AUTODARIS CAR SERVICE SRL,consultanta@autodaris.ro,,logistics,+40727745969,
AUTOGARA COM SRL,olteanu.roxana1979@hotmail.com,,logistics,+40244337541,
AUTOGARAJ CARFIX SRL,13carfix@gmail.com,,logistics,+40720261991,
AUTOMED MULTISERV S.R.L.,intermed1991@gmail.com,,logistics,+40767640379,
AUTOMET SMART SERVICE S.R.L.,silvia.tofana@gmail.com,,logistics,+40760889756,
AUTOMOTORS FAI S.R.L.,anafilip71@yahoo.com,,logistics,,
AUTOPRIM HARY SRL,contabilitate.autoprimhary@yahoo.com,,logistics,+40724181719,
AUTOSAS SRL,autosas_adjud@yahoo.com,,logistics,+40237640606,
AUTOSERVICE IANCULUI,office.autoserviceiancului@yahoo.com,,logistics,+40770654102,
AUTOSVS 13RA SRL,mvvb.team.consulting@gmail.com,,logistics,+40749918767,
AUTOUTIL ROM SRL,doinalaw@yahoo.com,,logistics,+40722560002,
AUTOWORLD INTERNATIONAL,hr@autoworld.ro,,logistics,+40264502613,
AVEURO INTERNATIONAL SRL,hr@aveuro.com,,logistics,+40723344513,
AVICOLA SLOBOZIA SA,office@avicola-slobozia.ro,,logistics,+40243221197,
AVIS TRANS SRL,avocat.mesinschi@gmail.com,,logistics,+40740133495,
AXELA CONSULTING,zadio.duta@afconsulting.ro,Arad,logistics,+40213264815,https://afconsulting.ro
AXM BIMMER SRL,silviu.pirlan@gmail.com,,logistics,+40766359877,
AYO SPEED AUTO SRL,account@ayospeed.ro,,logistics,+40775354738,
Accace Accounting SRL,hr_ro@accace.com,,logistics,+40403140504,
Acuf Construct Tehnology SRL,cristina.stoian@mbdgrup.ro,Bucuresti,distributor,+40751265534,
Agroteh,commercial@agroteh.md,,distributor,,agroteh.md
Ais Prodimpex SRL,info@prodimpex-m.ro,Bucuresti,logistics,+40231511100,
Alka Trading Co SRL,lili.clinciu@alkaco.com,Bucuresti,distributor,+40729154229,
Alo Garage Solutions,alogaragesolutions@yahoo.com,,logistics,+40743428367,
Arla UK,farmers@arlafoods.com,,distributor,,arla.co.uk
Asociatia Kastel,florinaniagu@yahoo.com,Brasov,logistics,+40734667730,
Asociatia Keep Hope Alive,asociatiakeephopealive@gmai.com,,logistics,+40742972932,
Atlantic Trade Investment Company SRL,logistica@queenmonaco.ro,Bucuresti,logistics,+40742128789,
Autoplax Center SRL,autoplax@gmail.com,,logistics,+40744374193,
B.A.T. EUROPEAN LOGISTICS SRL,rita.bobe1956@gmail.com,,logistics,+40752222062,
B.M.G. LOGISTIC,bmg.logistic@yahoo.com,,logistics,+40766549564,
BAC SYSTEM CONSULT&CONSTRUCT SRL,bacneanuc@gmail.com,,logistics,+40742599655,
BAGAZI METAL INTERNATIONAL SRL,personal@matalcomp.ro,Arad,logistics,+40257254251,
BAHAMAS TRANS SRL,big@0101-22.com,,logistics,+40034678030,
BALANS SRL,balans_treisate@yahoo.com,,logistics,+40742029636,
BALASA DELIVERY COMPANY SRL,vlad.balasa28@gmail.com,,logistics,+40733254680,
BALOGH IOAN-ATTILA INTREPRINDERE INDIDUALA,mariadeclaratii@yahoo.com,,logistics,+40727761418,
BARDI AUTO SRL,resurseumane@bardiauto.ro,,logistics,+40213132626,
BAZIL MOTOSERV SRL,roibug72@gmail.com,,logistics,+40727615430,
BEACONS SRL,beconssrl3@gmail.com,,logistics,+40750238862,
BELCO AVIA SRL,man.alunita@belcoavia.ro,,logistics,+40733410042,
BELDANY CONSTRUCT SRL,beldanyconstruct@gmail.com,,logistics,+40753436921,
BELLA ECO WASH S.R.L.,office.bellaecowash@gmail.com,,logistics,+40759577054,
BEST ENGINE SRL,office@bestengine.ro,,logistics,+40754210943,
BEST PERSONAL SERVICES SRL,cv@petrotel.lukoil.com,,logistics,+40244504000,
BETON RENT SERVICE,betonrentservicesrl@gmail.com,,logistics,+40770969808,
BHS TRANS SRL,hr@bhstrans.ro,Bihor,logistics,+40723602990,
BIACON ACTIV SRL,biacon.activ@gmail.com,,logistics,+40766773746,
BIOAS PURE SRL,radu@bioas.ro,,logistics,+40753612399,
BIOEEL MANUFACTURING SRL,resurseumane@bioeel.ro,,logistics,+40265246335,
BIOFARM SRL,molnarbalazsgm@gmail.com,,logistics,+40743112217,
BLA SHINE SRL,resurseumane@blashine.ro,,logistics,+40742492263,
BLACK & WHITE ART DESIGN SRL,valentina.vulea@gmail.com,,logistics,+40741531132,
BLUE RIVER BUCURESTI 78,andreea.sovaru@blueriver.ro,,logistics,+40761573707,
BLUESPACE TECHNOLOGY SA,adriana.brehui@bstech.ro,,logistics,+40216746047,
BMN REZIDENT S.R.L.,mada.bog90@yahoo.com,,logistics,+40775621463,
BNK STEFANDRI CONSULTING SRL,bnkstefandriconsult@gmail.com,,logistics,+40752550898,
BOGDAN & GABRIEL EUROTRANSPORT,bogdan.gabriel.eurotransport@gmail.com,,logistics,+40767012080,
BOGLAURA TRANSPORT S.R.L.,vegas.trans@yahoo.com,,logistics,+40742903860,
BONTRANS SRL,bontrans.personal@gmail.com,,logistics,+40756777700,
BORGOVAN TRANS IMPEX SRL,gabrielmanea5@yahoo.com,,logistics,+40753498965,
BORZINCONSTRUCT S.R.L.,borzinconstruct@gmail.com,,logistics,+40739173433,
BR AGRITECH INNOVATIONS COOPERATIVA AGRICOLA,office@cropping.ro,,logistics,+40744632187,
BRAV CONCEPT SRL,benaconstruct@yahoo.com,Bistrita Nasaud,distributor,+40788341443,
BRAVI AUTISTI S.R.L.,info@braviautisti.com,,logistics,+40773919845,
BRITISH-AMERICAN TOBACCO ROMANIA INVESTMENT SRL,aprobat@bat.com,,logistics,-,
BROADRIDGE TRADING AND CONNECTIVITY SOLUTIONS S.R.L.,loredana.gheti@broadridge.com,,logistics,+40786817839,
BTR MARKET SRL,cristianbatranca@yahoo.com,,logistics,+40763233683,
BUILD BETON CONCEPT,nepsis2000@yahoo.com,,logistics,+40755611962,
BUM ALL TRADE SRL,office.malcoci@gmail.com,,logistics,+40750200333,
BUNGE ROMANIA SRL,andrei.vintila@bunge.ro,,logistics,+40790229678,
BUNGE ROMANIA SRL,andrei.vintila@bunge.com,,logistics,+40790229678,
BUS GLASS SRL,scvilextur@yahoo.com,,logistics,+40745599141,
BUTAN GRUP SRL,office@butangrup.ro,,logistics,+40236321996,
BUTTER CRUSH,marinacjmaria@gmail.com,,logistics,+40743560804,
BYAN LOGISTIC CEREAL,byanlogisticcereal@yahoo.com,,logistics,+40730775307,
Bakkavor,sourcing@bakkavor.com,,distributor,,bakkavor.com
Biofarm Sa,andreea.chiroiu@biofarm.ro,Bucuresti,logistics,40754333132,
Blinoff Star Company,starcompany95@gmail.com,Bucuresti,distributor,0748806367,
C&A FRACHT TRANSPORT LOGISTIK SRL,cafracht@yahoo.com,,logistics,+40246211452,
CA CONNECT SRL,hr@caconnect.ro,,logistics,+40785265911,
CALLIOPE SRL,hr@calliope-ploiesti.ro,,logistics,+40730333959,
CAMARA RUSTICA,strainimuncitori@gmail.com,,logistics,+40761237797,
CAMINUL DE BATRANI HAPPY DAYS S.R.L.,caminuldebatranihappydays@gmail.co,,logistics,+40767640924,
CAPITRANS SRL,sccapitrans@yahoo.com,,logistics,+40250866404,
CARART INC.SRL= nu sunt reprezentant legal,raluca@carart.ro,,logistics,+40744496204,
CARBENTA COM SRL,contabilitate@fordcarbenta.ro,,logistics,+40722209831,
CARBON ASSET MANAGEMENT S.R.L.,resurse.umane@antares-group.ro,,logistics,+40741741201,
CARDINAL PROTRANS S.R.L.,constantindeniscatalin@yahoo.com,,logistics,+40721829437,
CARGO TRACK SOLUTIONS SRL,hr@cargotrack.ro,,logistics,+40756145228,
CARGO TRANS SRL,office@cargotranssrl.ro,,logistics,+40731316750,
CARITABIL SRL,caritabil@hotmail.com,,logistics,0269,
CAROSIB SRL,officecarosib2@gmail.com,,logistics,+40766703628,
CARPATICA HONEY SRL,maria@carpaticahoney.com,,logistics,+40728041364,
CARSIS LOGISTIC COMPANY SRL,carsis.logistic@gmail.com,,logistics,+40741143188,
CARSTOS OVITRANS SRL,ovidiucirstos@yahoo.com,,logistics,+40253219132,
CASA AUTO VALEA LUPULUI SRL,iuliana.furnica@testergrup.ro,,logistics,+40232250559,
CASA SFANTUL ANDREI. SRL,casasfantulandrei@yahoo.com,,logistics,+40723510819,
CASIFLAV CONSTRUCT SRL,chisbacgeorgiana10@gmail.com,,logistics,+40761982552,
CAT PLUS DELIVERY S.R.L.,conta.cristinasabau@gmail.com,,logistics,+40725926197,
CDA PITICOT SRL,elenaungureanu07@yahoo.com,,logistics,+40721173281,
CENTANA-COM SRL,vanzari@centana.ro,,logistics,+40263235360,
CENTO SERVICE SRL,wp.counselors@gmail.com,,logistics,+40751089147,
CENTRUL DE INGRIJIRE ALEXMED SRL,centruldeingrijirealexmed@gmail.com,,logistics,+40744995581,
CENTRUL MEDICAL MEDIURG SRL,office@mediurg.ro,,logistics,+40244517965,
CERBUL CARPATIN IMPEX SRL,cerbulcarpatinimpexrevisal@gmail.com,,logistics,+40744856824,
CERES VENDOR SRL,attila.nagy@cere-s.ro,,logistics,+40753629697,
CFS - COMPONENTS FOR SHOES,cfs_romania@hotmail.com,,logistics,+40256249588,
CHACHA SRL,andrei.iaver@yahoo.com,,logistics,+40723523309,
CHIMCOMPLEX S.A. BORZESTI SUCURSALA RAMNICU VALCEA,recrutare@chimcomplex.com,,logistics,+40758710394,
CHIMPROD SRL,chimprod94@gmail.com,,logistics,+40262223457,
CIOBI ALESSI TRANS SRL,alynusha2000@yahoo.com,,logistics,+40786603739,
CIP AVANTAJ SRL,office.cipavantaj@gmail.com,,logistics,+40743211013,
CIPO SRL,office@cipo.ro,,logistics,+40744591528,
CLASS BETON AGREGATE S.R.L.,elena_jipa2007@yahoo.com,,logistics,+40723946358,
CLAUDIA & ALESSIA TRANS 2025 S.R.L.,koko_cristian@icloud.com,,logistics,+40757057475,
CLEAN ART TEAM S.R.L.,elenaslevoaca@yahoo.com,,logistics,+40740357924,
CLEAN WASH DELIVERY SRL,nicolescudan5@gmail.com,,logistics,+40728434402,
CLEANING SOLUTION TOP SERV,neamtaurel@yahoo.com,,logistics,+40758306002,
CLEMANS SRL,resurseumane@clemans.ro,,logistics,+40735308148,
CLEONIX S.R.L.,office@klinia.ro,,logistics,+40743706258,
CLEOPATRA CENTER SRL,cleopatracenter@yahoo.com,,logistics,+40235418851,
CLOUD SYSTEMS SRL,irma.balint@gmail.com,,logistics,0740,
CNC SYSTEM,cnc.system@yahoo.com,,logistics,+40732116416,
CNT FOREST SRL,cntforest@yahoo.com,,logistics,+40743031057,
COCA COLA HBC ROMANIA S.R.L.,recrutare@cchellenic.com,,logistics,+40723333922,
COGEME SET RO SRL,secretariat@cogemeset.ro,,logistics,+40248549101,
COLCONSTRUCT  SRL,office@consult-construct.ro,Bihor,logistics,0269213283,
COLLINI SRL,diana.cantar@banatbun.ro,,logistics,+40766237368,
COLTERM SA IN INSOLVENTA,diana.dancea@colterm.ro,,logistics,+40256258323,
COM DIVERS AUTO RO SA,simona.ciubuc@comdivers.ro,,logistics,+40248212490,
COM GAZ STEEL SRL,marius.vasile@comgaz.ro,,logistics,+40735559913,
COMALAT SRL,filip.comalat@yahoo.com,,logistics,+40247319384,
COMIXT SA,a.caratas@yahoo.com,,logistics,00 723 642 230,
COMPANIA DE APA TARGOVISTEDAMBOVITA SA,secretariat@catd.ro,,logistics,+40245611774,
COMPANIA DE TRANSPORT PUBLIC IASI S.A.,mru@sctpiasi.ro,,logistics,+40372148608,
COMPANIA MUNICIPALA ENERGETICA SERVICII BUCURESTI S.A.,office@cmesb.ro,,logistics,+40728121056,
COMPANIA MUNICIPALA PARKING BUCURESTI,ru@cmpb.ro,,logistics,+40786906606,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,drdpb@andnet.ro,,logistics,+40213186683,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,resurseumane@drdpct.ro,,logistics,+40745349334,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,sruia@drdpcv.ro,,logistics,+40251408720,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,srui.bv@andnet.ro,,logistics,+40268547688,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,drdpbuzau@andnet.ro,,logistics,+40238725443,
COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE TRANSELECTRICA SA SUCURSALA TERITORIALA DE TRANSPORT TIMISOARA,dana.pojoga@translectrica.ro,,logistics,+40374508111,
COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM SA,cariera@tarom.ro,,logistics,+40212013803,
COMPANIA NATIONALA POSTA ROMANA S.A BUCURESTI SUCURSALA BUCURESTI,b.resurseumane@ro.popst,,logistics,+40736705054,
COMPANIA NATIONALA POSTA ROMANA S.A BUCURESTI SUCURSALA BUCURESTI,b.resurseumane@ro.post,,logistics,+40736705054,
COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA IASI,is.resurseumanr@ro-post.ro,,logistics,+40791663319,
COMPANIA NATIONALA POSTA ROMANA SA BUCURESTI SUCURSALA CLUJ NAPOCA,recrutare@ropost.ro,,logistics,+40791055348,
COMPUTER CONECTIONS SRL BOTOSANI,danielapantirasu@gmail.com,,logistics,+40723202560,
COMTRANS SA,comtransslobozia@yahoo.com,,logistics,+40243214509,
CON GENERAL SPEED SRL,congeneral@yahoo.ro,,logistics,+40767161804,
CONDOR PADURARU SRL,office@condorpad.ro,,logistics,+40249439385,
CONFIDENTIA,tadimgalati@yahoo.com,Arges,logistics,+40747284403,
CONFORT SHARE S.R.L.,elastan666@yahoo.com,,logistics,+40770198152,
CONSERVFRUCT SRL,comercial@conservfruct.ro,,logistics,+40233244085,
CONSTRUCT DRAGUS COM IMPEX SRL,constructdragus@yahoo.com,,logistics,+40724508593,
CONSTRUCTII CONICO SRL,office@conico.con.ro,,logistics,+40267351590,
CONTRACT COM SRL,contract_com@yahoo.ro,,logistics,+40251533472,
CONTRAIL MACHINERY,justina.bostan@contrail.ro,,logistics,+40720412378,
CONVENIENCE PROD SRL,eugenia.enescu@convenience.ro,,logistics,+40721413075,
COOPERATIVA AGRICOLA  A FERMIERILOR VARIDOR,lacooperativa@yahoo.com,Arad,distributor,+40742076166,
COSMI ITALY SRL,fotosic_studio@yahoo.com,,logistics,+40784253777,
COSVIOVAL SRL,valentina.menora@yahoo.com,,logistics,+40770611074,
COURIER SERVICE EXPRES SRL,cristian.caba@fancourier.ro,,logistics,+40728889504,
COVORESCU S.R.L.,covorescuses@gmail.com,,logistics,+40771118118,
CRIS FP TRANS S.R.L.,f_petculescu@yahoo.com,,logistics,+40784049888,
CROSS CARGO LOGISTICS SRL,m.pop@cross-cargo.eu,,logistics,+40732530236,
CSI ROMANIA SRL,angajari@csiportal.com,,logistics,+40720063894,
CTA TIR SPEDITION SRL,ctatir.ajofm@gmail.com,,logistics,+40744920662,
CTL & GEORGY SRL,catalind.costache@yahoo.com,,logistics,+40765892050,
CUREA COMPANY SRL,contabilitate@cureacompany.ro,,logistics,+40722794790,
CUREA PAN GROUP SRL,office@cureacompany.ro,,logistics,+40722794790,
CURSIV REX S.R.L.,vasilicaa2018@gmail.com,,logistics,+40723617106,
Cantemir Impex SRL,anaserbanescu3@gmail.com,Bucuresti,logistics,,
Carm Impex Distribution SRL,marian.troana@may-day.com.ro,Bucuresti,distributor,+40744629329,
Cena Food Concept SRL,restaurantzao@yahoo.com,Bucuresti,distributor,+40786339444,
Compass Family SRL,recruitment@compass-uk.org,Bucuresti,logistics,,
Condimentarium SRL,valentina@ghvsol.com,Bucuresti,distributor,+40732297441,
Cranswick,procurement@cranswick.plc.uk,,distributor,,cranswick.plc.uk
D D TEAM GROUP SRL,office@d-d.ro,,logistics,+40729160538,
D&M CONSTRUCT SRL,contabilitate@dmconstructcluj.ro,,logistics,+40730617188,
D.E.C. CONSTRUCT SRL,albubianca31@yahoo.com,,logistics,+40732650770,
DAB AUTO SERV SRL,resurseumane@dabauto.ro,,logistics,+40722372772,
DACIA SERVICE CLUJ SRL,resurse_umane@otcgroup.ro,,logistics,+40264438440,
DACOREX COM SRL,dacorex_lmm@yahoo.com,,logistics,+40722754111,
DAMAR COLISION SRL,oana@damarservice.ro,,logistics,+40724899963,
DAMIANIS AUTO SERV SRL,damianiauto@gmail.com,,logistics,+40722208006,
DAMILA SRL,resurseumane@damila.ro,,logistics,+40250702017,
DAMIRDAM SRL,vio345@yahoo.com,,logistics,+40742050444,
DAN & VAS DEZ SRL,ioanacosmina@yahoo.com,,logistics,+40742089859,
DANAIDE SRL,ks_expertcont17@yahoo.com,,logistics,+40762401560,
DANDAN TUR LOGISTIC SRL,dandantur78@yahoo.com,,logistics,+40740041523,
DANIM CARGO EXPRES,office@danim.ro,,logistics,+40758349344,
DANYSAB SRL,sabincobzariu3@gmail.com,,logistics,+40749777801,
DAR CRIS COMMERCE BUSINESS,cristi_oprea1977@yahoo.com,,logistics,+40745016248,
DARIA SI RAFAEL SRL,radoidorin27@gmail.com,,logistics,+40734438348,
DARIMEX  INTERNATIONAL,cristina.ionescu@dan-int.ro,Arad,logistics,+40749068178,
DARINA COM SRL,office@darina.ro,,logistics,+40265245039,
DAS PROCONCEPT SRL,dasproconcept@gmail.com,,logistics,+40738713843,
DAS SRL,hr@das.ro,,logistics,230637,
DASIRA TURISM SRL,dasiraturism@gmail.com,,logistics,+40757570767,
DAV PAN 03 SRL,clatinici.roxana@yahoo.com,,logistics,+40740787954,
DAVID TERM SRL,tamplariapvcbuzau@gmail.com,,logistics,+40740156616,
DC 17 GROUP INTERNATIONAL SRL,muncaavize@gmail.com,Bucuresti,logistics,+40754056730,
DEC COMIMPEX SRL,otodem@gmail.com,Bucuresti,logistics,+40734811215,
DECEMIS TRANS SRL,florinmihes29@gmail.com,,logistics,+40744165838,
DECOART BY MARTIS SRL,danaspataru@bambusvaslui.ro,,logistics,+40744628551,
DEDEMAN SRL,resurse88@dedeman.ro,,logistics,00 000 000 000,
DELGAZ GRID S.A.,recrutare@delgaz-grid.ro,,logistics,+40704777777,
DELIVERY TEAM BOX S.R.L.,vasilemihaistan59@gmail.com,,logistics,+40749039949,
DELIVERY4ALL SRL,delivery4allsrl@gmail.com,,logistics,+40732858717,
DELONGHI ROMANIA SRL,recrutare.ro@delonghigroup.com,,logistics,+40756010215,
