company,email,county,category,phone,website
COOPERATIVA AGRICOLA MIEREA TRANSILVANIEI,lacooperativa@yahoo.com,Bistrita Nasaud,supermarket,+40742076166,
CORAL COMPANY SRL,vasile.bobon@gmail.com,Arad,supermarket,,
CRAMELE CRISANA COOPERATIVA AGRICOLA,ducozma@gmail.com,Bihor,supermarket,+40744122870,
"CRYSTALYO GROUP S.R.L.,",maria.stanciu@crystalgroup.ro,Brasov,supermarket,+40720517964,
CVIS,info@ecd.eu,,en-gros,+31 318 698 330,topclassgroup.nl
Carrefour Group,suppliers@carrefour.com,,supermarket,,carrefour.com/suppliers
Casa Luna Srl,remo_prim@yahoo.com,Brasov,supermarket,,
Cedrob,cedrob@cedrob.com.pl,,en-gros,,www.cedrob.com.pl
Cefetra,cefetra@cefetra.nl,,en-gros,+310104007900,www.cefetra.com
Co-op Food,ethicaltrading@co-op.co.uk,,supermarket,,coop.co.uk/suppliers
Confex,confex_calarasi@yahoo.com,,en-gros,0721375291,
Constantia Flexibles,office@cflex.com,,en-gros,+4318885640,www.cflex.com
Constructii Instalatii Profesional Design,office@conico.com.ro,Bucuresti,supermarket,0744371857,
Coop Denmark,forbrugerservice@forbruger.coop.dk,,supermarket,,coop.dk
Coop Norway,fredrik.mathisen@coop.no,,supermarket,,coop.no
Coop Sweden,poang@coop.se,,supermarket,,www.coop.se
Corali Impex SRL,alex11coman@gmail.com,Bucuresti,supermarket,,
Corbion,communications@corbion.com,,en-gros,+31205906911,www.corbion.com
Corteva Agriscience,info@corteva.com,,supermarket,,corteva.com
Costco UK,ukbuying@costco.co.uk,,en-gros,,costco.co.uk/suppliers
Costcutter,customerservices@costcutter.com,,en-gros,,www.costcutter.co.uk
Country Range Group,enquiries@countryrange.co.uk,,en-gros,,www.countryrangegroup.com
Coveris,hello@coveris.com,,en-gros,+4312058122,www.coveris.com
Coviran,atencionalcliente@coviran.es,,en-gros,,www.coviran.es
Crai Secom,info@crai.it,,en-gros,+39022101091,www.crai-supermercati.it
DANTE INTERNATIONAL SA,cristina.ionescu@dan-int.ro,Brasov,supermarket,0749068178,
DIA Group,dia.attcliente@diagroup.com,,supermarket,+34913985400,www.diacorporate.com
DLG Group,kundeservice@dlg.dk,,en-gros,+4533686000,www.dlg.dk
DYONISOS COTESTI S.A.,dyonisos.cotesti@yahoo.com,Brasov,supermarket,,
Dacia SA,cazare@pensiunea-dacia.ro,Alba,supermarket,,
Dagrofa Denmark,kontakt@dagrofa.dk,,en-gros,+4570200268,www.dagrofa.dk
Dansk Cater,info@cater.dk,,en-gros,+45 96 37 20 20,cater.dk
Decouvrir,support@rungismarket.com,,en-gros,+331897111,rungismarket.com
Deliveroo,hello@deliveroo.fr,,en-gros,,deliveroo.co.uk
Deuerer,dsb@deuerer.com,,en-gros,,www.deuerer.de
Dino Polska,sekretariat@marketdino.pl,,supermarket,+48627213,www.grupadino.pl
"Distrib Service SRL""",popdorel04@yahoo.com,Arges,supermarket,+40740054312,
Droga Kolinska,nabava@drogakolinska.si,,supermarket,,drogakolinska.si
Dussmann Group,k-gun@mail.com,,en-gros,,www.dussmann.com
ELIEZER LOGISTIC SRL,eliezerlogistic@gmail.com,Bistrita Nasaud,supermarket,40728136542,
EUROPEAN FOOD INTERNATIONAL SRL,macrina.mester@europeanfood.ro,Bihor,supermarket,40731890699,
EY Godkendt Revisionspartnerselskab,hjoerdis.k.hansen@dk.ey.com,,supermarket,,
Edeka,lieferanten@edeka.de,,supermarket,,edeka.de/lieferanten
Edeka Foodservice,info@edeka-foodservice.de,,en-gros,+498007242857,www.edeka-foodservice.de
Efes Vitanta,procurement@efesvitanta.md,,supermarket,,efesvitanta.md
Enco Products,sales@enco.co.uk,,en-gros,,
Esselunga,servizio-clienti@esselunga.it,,supermarket,+39800666555,www.esselunga.it
EuroChem Group,sales@eurochemgroup.com,,supermarket,,eurochemgroup.com
Euroasia Food,einkauf@euroasia-food.de,,en-gros,,
Eurogast Austria,zentrale@eurogast.at,,en-gros,+43 5442 90 807,eurogast.at
Evi Distribution,daniel.tocitu@fancourier.ro,Bucuresti,supermarket,+40265311470,
FAMOUS WAFFLES SRL,office@loveforfod.ro,Brasov,supermarket,40726717000,
FILDENIS  SRL,fildenis_lugas@yahoo.com,Bihor,supermarket,40740187382,
FLANCO RETAIL SRL,hr.recrutare@flanco.ro,Bihor,supermarket,0212038100,
Fantastico,dostavchici@fantastico.bg,,supermarket,,fantastico.bg
Fidesco,achizitii@fidesco.md,,supermarket,,fidesco.md
Flapco International 98 SRL,office@workforceexpert.ro,Bucuresti,supermarket,+40759912953,
Food Bucovina S.R.L,bestbucovinafood@gmail.com,Bucuresti,supermarket,,
Food Center Amsterdam,info@foodcenter.nl,,en-gros,+31 20 580 6720,foodcenter.nl
Fortenova Group,procurement@fortenova.hr,,supermarket,,fortenova-group.eu
Fourchette,achizitii@fourchette.md,,supermarket,,fourchette.md
Fresh Food Amsterdam,info@freshfood-amsterdam.nl,,en-gros,,freshfoodamsterdam.nl
Fresh Park Venlo,info@freshparkvenlo.nl,,en-gros,+310772066500,www.freshparkvenlo.nl
"GENICA SRL,",petruchirila77@yahoo.com,Brasov,supermarket,+40745035342,
GFI Germany,kontakt@gfidirekt.de,,en-gros,,www.gfi-online.de
GHVG Hamburg,info@ghvg.de,,en-gros,,www.ghvg.de
GLOBAL NOMADIC SRL,camelia_sorecau@yahoo.com,Bistrita Nasaud,supermarket,40748918231,
GV Food Union / Service-Bund,info@intergast.de,,en-gros,+49 781 616 133,servicebund.de
GVV Pro Management SRL,puican.ionut@gmail.com,Bucuresti,supermarket,+40753141414,
Gist,commercial@gist.co.uk,,supermarket,,gistworld.com
Gousto,info@gousto.co.uk,,en-gros,+442030111002,www.gousto.co.uk
Green Hills Market,achizitii@greenhillsmarket.md,,supermarket,,greenhillsmarket.md
Greenport Venlo,info@greenportvenlo.nl,,en-gros,+310773982713,greenportvenlo.nl
Greiner Packaging,resurse.umane@thracegreiner.ro,,en-gros,+40269213762,www.greiner-gpi.com
Gronsakshallen Sorunda,order@gronsakshallen.se,,en-gros,+46 8 506 258 00,gronsakshallen.se
Grossmarkt Bremen,l.jansen@grossmarkt-bremen.de,,en-gros,+49421536820,www.grossmarkt-bremen.de
Grossmarkt Hamburg,mail@ghvg.de,,en-gros,+49 40 78 43 69,grossmarkt-hamburg.de
Grossmarkt Hannover,info@grossmarkt-hannover.de,,en-gros,+4951194671,www.grossmarkt-hannover.de
Grossmarkt Leipzig,vermietung@arrowcapital.de,,en-gros,+49341600777528,www.grossmarkt-leipzig.de
Grossmarkt Stuttgart,info@maerkte-stuttgart.de,,en-gros,,www.grossmarkt-stuttgart.de
Grossmarkt Wien,office@grossmarkt-wien.at,,en-gros,+43 1 890 20 20,grossmarkt-wien.at
Groupe Bensidoun,amkryukov@gmail.com,,en-gros,00318501432023,www.groupebensidoun.com
Groupe Geraud,contact@groupegeraud.fr,,en-gros,+01520153,groupegeraud.fr
HONEST FOOD SRL,cariere@piata9.com,Bihor,supermarket,+40756137375,
Hamberger Grossmarkt Berlin,berlin@hamberger-cc.de,,en-gros,+49 30 772 050 0,hamberger-cc.de
Heuschen & Schrouff,info@heuschenandschrouff.com,,en-gros,,
ICL Group,info@icl-group.com,,supermarket,,icl-group.com
IF MAICA CAMELIA ELENA,hydrolandconstruct@gmail.com,Botosani,supermarket,+40741120190,
ISS Facility Services,u003epress@group.issworld.com,,en-gros,+4538170000,www.issworld.com
Iceland Foods,buying@iceland.co.uk,,supermarket,,iceland.co.uk/suppliers
Idea,nabavka@idea.rs,,supermarket,,idea.rs
Impex Grigore,grigore_razvan22@yahoo.ro,Bucuresti,supermarket,,
InterContinental Hotels,letitia.sabou@continentalhotels.ro,,en-gros,+40729095718,www.ihgplc.com
Italmercati Network,info@italmercati.it,,en-gros,+39 055 43 931,italmercati.it
Ivet SRL,sc_ivet_srl@yahoo.com,Alba,supermarket,40735845720,
JJ Foodservice,export@jjfoodservice.com,,en-gros,+441992701701,www.jjfoodservice.com
JJ Foodservice,buying@jjfoodservice.com,,en-gros,,jjfoodservice.com
Just Eat Takeaway,ir@justeattakeaway.com,,en-gros,,www.justeattakeaway.com
K+S AG,info@k-plus-s.com,,supermarket,,kpluss.com
KAUFLAND ROMANIA SCS,anca-andreea.rus@kaufland.ro,Arad,supermarket,+40372039306,
KOZOR R. CRISTIAN-ANDREI INTREPRINDERE INDIVIDUALA,raducu_cristiann@yahoo.com,Bucuresti,supermarket,+40747942129,
Kam Market,nabavka@kam.mk,,supermarket,,kam.mk
Karma Logistic International S.R.L,hr@tbtlogistic.eu,Bucuresti,supermarket,0368,
Kaufland Bulgaria,dostavchici@kaufland.bg,,supermarket,,kaufland.bg/dostavchici
Kaufland Croatia,dobavljaci@kaufland.hr,,supermarket,,kaufland.hr/dobavljaci
Kaufland Moldova,achizitii@kaufland.md,,supermarket,,kaufland.md
Kaufland Romania,client@kaufland.ro,,en-gros,+40800080888,www.kaufland.ro
Kaufland Romania SCS,iuliana-andra.badiu@kaufland.ro,Alba,supermarket,403720905056005,
Kespro,paivi.falck@kesko.fi,,en-gros,+358105329731,www.kespro.com
Kim Solutions S.R.L,fiaztariq97@yahoo.com,Bucuresti,supermarket,+40723767384,
Konex Foods,info@konexfoods.co.uk,,en-gros,,
Konzum (Fortenova),nabava@konzum.hr,,supermarket,,konzum.hr/dobavljaci
Konzum Croatia,konzum@konzum.hr,,en-gros,,www.konzum.hr
Leroy Seafood,post@leroyseafood.com,,en-gros,,www.leroyseafood.com
Lidl Bulgaria,dostavchici@lidl.bg,,supermarket,,lidl.bg/dostavchici
Lidl Croatia,dobavljaci@lidl.hr,,supermarket,,lidl.hr/dobavljaci
Lidl International,internationalsuppliers@lidl.com,,supermarket,,lidl.com/suppliers
Lidl Serbia,dobavljaci@lidl.rs,,supermarket,,lidl.rs/dobavljaci
Lidl UK,buying@lidl.co.uk,,supermarket,,lidl.co.uk/suppliers
Linella,achizitii@linella.md,,supermarket,,linella.md
Linz Grossmarkt,webmaster@mag.linz.at,,en-gros,,www.linz.at
"MADEXPORT SRL,",iuliana@jeler.ro,Brasov,supermarket,+40264251319,
MARL Lisbon,marl@marl.pt,,en-gros,+351 219 927 440,marl.pt
MARVI LOGISTIC SRL,iulia.c@marvilogistic.ro,Arad,supermarket,40753038465,
MENDOLA PRO SRL,loredana.fazakas@mendolapro.ro,Bihor,supermarket,+40749055507,
MEZA DISTRIBUTION SRL,office@dakoct.ro secretariat@dakoct.ro,Bihor,supermarket,0241585805,
MHP SE,csr@mhp.com.ua,,en-gros,+380442070000,mhp.com.ua
MILLENIUM PRO DESIGN SRL,luciana.raducan@bestvalue.ro,Bihor,supermarket,+40751555503,
MIN Strasbourg,direction@samins.fr,,en-gros,,www.min-strasbourg.fr
MOEMAX.RO. SRL,recrutare@moemax.ro,Bihor,supermarket,0751200113,
MOLDOVAN CARMANGERIE SRL,andrea.mot@cmdn.ro,Bistrita Nasaud,supermarket,+40264232810,
Mabru Brussels,mabru@mabru.be,,en-gros,,www.mabru.be
Mabru Brussels Early Morning Market,marches.markten@brucity.be,,en-gros,+32 2 279 25 20,mabru.be
Maisadour,capdevielle@sudouestaliment.fr,,en-gros,+335580584,www.maisadour.com
Makro (Metro),leveranciers@makro.nl,,en-gros,,makro.nl/leveranciers
Makro Czech,info@makro.cz,,en-gros,+420281083083,www.makro.cz
Makro Poland,biuro.online@makro.pl,,en-gros,+48225761500,www.makro.pl
Makro Portugal,alfragide@makro.pt,,en-gros,+351214244600,www.makro.pt
Mali Flower SRL,emiliachioreanu@yahoo.com,Bucuresti,supermarket,+40723617106,
Malmo Saluhall,info@malmosaluhall.se,,en-gros,,www.malmosaluhall.se
Marches de Gros de France,contact@marchesdegrosdefrance.com,,en-gros,+330141808122,www.marchesdegrosdefrance.net
Marks & Spencer Food,foodsuppliers@marks-and-spencer.com,,supermarket,,corporate.marksandspencer.com/suppliers
Markthallen Munchen,markthallen@muenchen.de,,en-gros,+49 89 233 38500,markthallen-muenchen.de
Martin Servera,namn@exempel.se,,en-gros,,www.martinservera.se
Maxi (Delhaize),dobavljaci@maxi.rs,,supermarket,,maxi.rs/dobavljaci
Mega Image Romania,ccalin2@mega-image.ro,,en-gros,,
Melia Hotels,meliapro@melia.com,,en-gros,+04900491,www.melia.com
Menigo,kundservice@menigo.se,,en-gros,,www.menigo.se
Mercabarna,mb@mercabarna.cat,,en-gros,+34 93 556 30 00,mercabarna.es
Mercacordoba,admon@mercacordoba.com,,en-gros,,www.mercacordoba.es
Mercagranada,info@mercagranada.es,,en-gros,+34958276300,mercagranada.es
Mercamadrid,mercamadrid@mercamadrid.es,,en-gros,+34 917 850 000,mercamadridonline.com
Mercamalaga,info@mercamalaga.es,,en-gros,,www.mercamalaga.es
Mercamurcia,mercamurcia@mercamurcia.es,,en-gros,,www.mercamurcia.es
Mercasa Spain Network,contacto@mercasa.es,,en-gros,+34 913 500 609,mercasa.es
Mercasevilla,secdirec@mercasevilla.com,,en-gros,,www.mercasevilla.com
Mercato Ortofrutticolo Bologna,e-mailrilevazioneprezzi@caab.it,,en-gros,+390512860152,www.caab.it
Mercator Group,nabava@mercator.si,,supermarket,,mercator.si/dobavitelji
Mercavalencia,info@mercavalencia.es,,en-gros,+34963241500,www.mercavalencia.es
Metro AG,lieferanten@metro.de,,en-gros,,metroag.de/lieferanten
Metro Austria,voesendorf@metro.at,,en-gros,+43800204205,www.metro.at
Metro France,service.clients@metro.fr,,en-gros,,www.metro.fr
Metro Hungary,info@metro.co.hu,,en-gros,+3680509050,www.metro.hu
Metro Italia,servizio.clienti@metro.it,,en-gros,+390251721,www.metro.it
Metro Moldova,furnizori@metro.md,,en-gros,,metro.md/furnizori
Metro Romania,info.online@metro.ro,,en-gros,+40374115555,www.metro.ro
Metro Serbia,dobavljaci@metro.rs,,en-gros,,metro.rs/dobavljaci
Metropolis Film,dragosch@yahoo.com,Bucuresti,supermarket,2424763,http://www.archi-polis.com
Micro Expert Distribution,diana@microgrup.ro,Bucuresti,supermarket,+40753094139,
Milana Impex,milanamarket@yahoo.com,Bucuresti,supermarket,,
Morrisons,agriculturalsourcing@morrisonsplc.co.uk,,supermarket,,morrisons-corporate.com/suppliers
"NALBA SRL,",societateavalentinos@yahoo.com,Brasov,supermarket,,
NASTAI VLAD INTREPRINDERE INDIVIDUALA,ispas_luca@yahoo.com,Brasov,supermarket,0744572894,
Nagycsarnok Budapest,titkarsag@bvcs.hu,,en-gros,+3612733100,piaconline.hu
Natur Bravo,commercial@naturbravo.md,,supermarket,,naturbravo.md
New Covent Garden,press@cgma.co.uk,,en-gros,+02077202211,newcoventgardenmarket.com
New Covent Garden Market,hello@cgma.co.uk,,en-gros,,newcoventgardenmarket.com
New Spitalfields Market,info@newspitalfieldsmarket.co.uk,,en-gros,+07915962058,www.newspitalfieldsmarket.co.uk
Nisa Wholesale,buying@nisaretail.com,,en-gros,,
Nr.1,achizitii@nr1.md,,supermarket,,nr1.md
Nutrien Europe,europe@nutrien.com,,supermarket,,nutrien.com
OCP Group,contact@ocpgroup.ma,,supermarket,,ocpgroup.ma
OKAA Athens,ixthxalk@otenet.gr,,en-gros,+302104821111,www.okaa.gr
OKAA Athens Central Market,info@okaa.gr,,en-gros,+30 210 4821111,okaa.gr
OKAA Piraeus Fish Market,ixth-pir@otenet.gr,,en-gros,+30 210 4325838,okaa.gr
"OVEXALI BUILDING SRL,",hr@vibrehotel.ro,Brasov,supermarket,,
Ocado,suppliers@ocado.com,,supermarket,,ocadogroup.com/suppliers
Ocado,talentacquistion@ocado.com,,supermarket,+4401707227800,www.ocadogroup.com
P & C Edi Distribution SRL,marius.avram@egt-logistics.com,Bucuresti,supermarket,+40749572064,
PANEMAR MORARIT SI PANIFICATIE SRL,office@panificatieroman.ro,Bihor,supermarket,+40757048427,
PATISERIA LION SRL,popasergiu2@gmail.com,Bihor,supermarket,+40772152794,
PATISERIA RIANA SRL,jonaadaqajj@gmail.com,Bihor,supermarket,+40724361625,
PF Alexandru constantin,alexandra@enquirer.media,Arges,supermarket,+40721760067,
PHW Group,kommunikation@phw-gruppe.de,,en-gros,,www.phw-gruppe.de
"PITPAN FRESH S.R.L,",silton2004@yahoo.com,Brasov,supermarket,+40758188123,
PLANTEVIA SANASTORE SRL,ro.farmacianatura@gmail.com,Bihor,supermarket,+40745315820,
PUIE BEST MARKET SRL,comercial@romans.ro,Bihor,supermarket,+40757405697,
Parfetts,trading@parfetts.co.uk,,en-gros,,parfetts.co.uk
Pfeifer & Langen,info@pfeifer-langen.com,,en-gros,+492214980633,www.pfeifer-langen.com
Plodine,nabava@plodine.hr,,supermarket,,plodine.hr
Plukon Food Group,info@plukon.fr,,en-gros,+310383766637,www.plukon.com
Profi-Rom Food,andrei.bataiosu@profi.ro,Bucuresti,supermarket,0743165678,
RAAD COFFEE HOUSE SRL,moroianu.madalin@gmail.com,Brasov,supermarket,+40766591368,
RESCO RETAIL SRL,contabilitate@reshop-arad.ro,Arad,supermarket,+40746829610,
REWE Group,einkauf@rewe-group.com,,supermarket,,rewe-group.com/lieferanten
Rema Retail,mutanca1@gmail.com,Bucuresti,supermarket,+40751884417,
Restaurant Brands Intl,baturysrl@yahoo.com,,en-gros,+40243215125,www.rbi.com
Rewe (Romania) SRL,penny4493@penny.ro,Alba,supermarket,+40791289211,
Rungis International,commercial@rungisinternational.com,,en-gros,,
Rungis International,secteur.maree@semmaris.fr,,en-gros,0078909053,www.rungisinternational.com
Rungis International Market,privacy@semmaris.fr,,en-gros,+33 892 700 119,rungismarket.com
S C  MATEI SRL,alexia_ro99@yahoo.com,Botosani,supermarket,+40721817695,
S Group,etunimi.sukunimi@sok.fi,,supermarket,+35820333,www.s-ryhma.fi
S.C IONUT COM SRL,ionutnica1984@yahoo.com,Botosani,supermarket,,
S.C. ALKA TRADING Co SRL,lili.clinciu@alkaco.com,Bucuresti,supermarket,+40729154229,
S.C. CRUCIANI IMPEX SRL,victrixcontab2004@yahoo.com,Braila,supermarket,+40735519145,
S.C. Coca Cola HBC Romania S.R.L.,recrutare@cchellenic.com,Bucuresti,supermarket,+40723333922,
S.C. DUO S.R.L.,hr.casabunicii@gmail.com,Bucuresti,supermarket,40729207296,
S.C. LACTO-SOLOMONESCU S.R.L.,office@lactosolomonescu.ro,Botosani,supermarket,+40728882280,
S.C. MV Connect Distribution Impex S.R.L.,marian.troana@may-day.com.ro,Bucuresti,supermarket,+40744629329,
S.C.Bogali Auto Grup S.R.L.,valentina.andreica@amg.ro,Arges,supermarket,+40740200095,
S.C.Flomar S.R.L.,tanipastrans@yahoo.com,Arges,supermarket,,
S.C.Metropol S.R.L.,mariustololoi@yahoo.com,Arges,supermarket,,
S.C.Petry-Holding S.R.L.,angajari@petstar.ro,Arges,supermarket,0724060842,
S.C.Prestige Impex S.R.L.,welcome@hotelprestigecraiova.ro,Arges,supermarket,,
SABY DELIA TRANSPORT & LOGISTICS SRL,angajari@polach.ro,Bucuresti,supermarket,+40749059040,
SC  RITMIC  SRL,gogolinca.gogolinca@ritmic-com.ro,Botosani,supermarket,40738771812,
SC ALPIN SRL,office@pensiuneaalpin.ro,Brasov,supermarket,0268456697,
SC AMAX  TRANS SRL,aviexpert@yahoo.com,Brasov,supermarket,+40230540167,
SC ANCORA IMPEX SRL,office@hotelancora.ro,Botosani,supermarket,,
SC ANDREI & ADI IMPEX SRL,georgescuadrian40@yahoo.com,Arges,supermarket,+40728298356,
SC Adi Perfect Forest SRL - D,frandesioan91@gmail.com,Arges,supermarket,+40749841335,
SC Adili Comimpex SRL,gabriellakelemen@yahoo.com,Arges,supermarket,+40744218775,
SC Agrisol international Ro,juridic@agricola.ro,Arges,supermarket,+40234577600,
SC Albatros SRL,ispasstf@yahoo.com,Arges,supermarket,,
SC Alex Crist Com 2001 SRL,aandrei_razvan@yahoo.com,Arges,supermarket,+40746865686,
SC Alex Dan SelectSRL,office_almaprint@yahoo.com,Arges,supermarket,+40748125051,
SC Alexe SRL,alexeconon73@gmail.com,Arges,supermarket,,
SC Alfa Com SRL,sudeepthakur@yahoo.com,Brasov,supermarket,,
SC Alfrid SRL,office@pensiunealfrid.ro,Arges,supermarket,,
SC Arcaffeb To Go SRL,1stglobalrecruit23@gmail.com,Bucuresti,supermarket,+40758323333,
SC Ardealul SRL,pensiunea_ardealul@yahoo.com,Arges,supermarket,,
SC Avicarvil SRL,marinica.batoanca@carmistin.ro,Arges,supermarket,40737944914,
SC BRITANNIA SRL,britannia.restaurant@yahoo.com,Botosani,supermarket,725998899,
SC Bradet SRL,bradetpensiune@gmail.com,Arges,supermarket,,
SC Bujor de Munte,budacmarcela@yahoo.com,Arges,supermarket,,
SC CAMY COM SRL,pensiunea_camy@yahoo.com,Botosani,supermarket,,
SC CASA DEL SOL SRL,office@casadelsolpredeal.ro,Brasov,supermarket,0722379929,
SC CASA PAINII SRL,office@casapainii.ro,Botosani,supermarket,+40748118565,
SC CBA NORD VEST SRL,teodor.sas@cbanordvest.ro,Arad,supermarket,+40756054214,
SC CONSTRUCT SARPANT SRL,office@cic.com.ro,Arges,supermarket,+40736331076,
SC CORA S.A.,hotelcora@yahoo.com,Botosani,supermarket,,
SC CUPTORUL DE PAINE SRL,cristeafelicia63@gmail.com,Brasov,supermarket,0745239992,
SC Carmen SRL,pensiunea_carmen_borsa@yahoo.com,Arges,supermarket,,
SC Casa Stefanescu SRL,szylvia_60@yahoo.com,Arges,supermarket,,
SC Caty Concept Business SRL,miaoliana@gmail.com,Arges,supermarket,0722363188,
SC Codru verde SRL,an.beetti@hotmail.com,Arges,supermarket,,
SC Com Florinex SRL,cristinazlataru@yahoo.com,Arges,supermarket,+40723642230,
SC Com Grecu SRL,pensiunea_grecu@yahoo.ro,Arges,supermarket,,
SC Com Orient SRL,pensiune@grandhotelorient.ro,Arges,supermarket,,
SC Complet Com SRL,tomanicu1718@gmail.com,Arges,supermarket,,
SC Coralia SRL,pensiuneacoraliamurighiol@gmail.com,Alba,supermarket,,
SC Cosmin Impex SRL,cosmin_7891@yahoo.es,Arges,supermarket,,
SC Cris SRL,office@westpetrol.ro,Arges,supermarket,,
SC Cristina Adrian SRL,florycontserv@yahoo.com,Alba,supermarket,0741022774,
SC DAB EXPERT SHOP SRL,contact@pcbexpert.ro,Brasov,supermarket,+40765010106,
SC DEDEMAN SRL,resurse65@dedeman.ro,Arges,supermarket,+40746194293,
SC DOMINA IMPEX SRL,ville.lucia@gmail.com,Brasov,supermarket,0742111555,
