nr_licenta,operator_economic,denumire_agentie,cui,adresa,localitate,judet,tip_agentie,site_web,email
1041,CLUBUL VACANŢELOR SRL,CLUBUL VACANŢELOR,29421423,"NR. 246   , AP. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.paralela45vacanta.ro,kogalniceanu@paralela45.ro
1042,R.T.E. TRAVEL S.R.L.,ROMANIA TOURS AND EVENTS,35020310,"STR. Industriilor , NR. 56 , BL. 10 , ET. 2 , AP. 203","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.romaniatoursandevents.com,office@romaniatoursandevents.com
1043,ANCHOR TRAVEL S.R.L.,ANCHOR TRAVEL,16728184,"STR. Ankara , NR. 7  , ET. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,,office@anchor-travel.ro
1045,TAT TOURS INTERNATIONAL SRL,TAT TOURS INTERNATIONAL,32035732,"STR. Cuza Vodă , NR. 3 , BL. D11",Mun. Ploieşti,PRAHOVA,Organizatoare,www.tattours.ro,office@tattours.ro
1046,SILVER HOLIDAY TRAVEL SRL,SILVER HOLIDAY,32321700,"STR. Republicii , NR. 28A",Mun. Oradea,BIHOR,Organizatoare,www.silverholiday.ro,office@silverholiday.ro
1049,EPCOT POINT SRL,EPCOT TRAVEL,36111344,"NR. 3 , BL. Y , ET. PARTER , AP. 18",Mun. Focşani,VRANCEA,Organizatoare,www.epcot-travel.ro,gabriela@epcot-travel.ro
1050,CRISTIANUL S.A.,CRISTIANUL,1106272,"STR. Toamnei , NR. 2 , BL. 1",Mun. Braşov,BRAŞOV,Organizatoare,www.cristianul.ro,office@cristianul.ro
1052,TRANSILVANIA HOLIDAY TRAVELS SRL,SOBIS TURISM,794572,"STR. Dumbrăvii , NR. 101",Mun. Sibiu,SIBIU,Organizatoare,www.sobisturism.ro,office@turism.sobis.ro
1053,NIKYTOUR SRL,NIKYTOUR,13941713,"STR. Gospodarilor , NR. 14",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.nikytour.ro,office@nikytour.ro
1055,BELDI TIME GRUP SRL,BELDI TOURS,24108663,"NR. 5  , ET. 1 , AP. 4","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.belditours.ro,office@belditours.ro
1057,TRANS EUROPA SRL,TRANS EUROPA,788112,"STR. Mihai Viteazu  , BL. 7",Mun. Sibiu,SIBIU,Organizatoare,www.transeuropa.ro,turism@transeuropa.ro
1058,TOURS 4 FUN S.R.L.,ARIES TRAVEL,33730885,"STR. Postăvarului , NR. 32  , ET. PARTER , AP. 1",Mun. Braşov,BRAŞOV,Organizatoare,www.ariestravel.ro,tours4funbrasov@yahoo.com
1059,FIBULA AIR TRAVEL SRL,FIBULA AIR TRAVEL,17563173,"STR. G. Dem. Teodorescu , NR. 16   , AP. 19","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.fibula.ro,fibula@fibula.ro
1061,BALKAN AIR TRAVEL SRL,BALKAN TRAVEL,12206358,"STR. I. C. Brătianu , NR. 39 , BL. P6 , ET. 2 , AP. 20","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.balkantravel.eu,business.tourism@balkanair.ro
1062,PLACES2GO S.R.L.,PLACES2GO,36782358,"STR. Ţepeş Vodă , NR. 100  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.places2go.ro,office@places2go.ro
1063,IMPERIAL SM TRAVEL SRL,IMPERIAL TRAVEL,31611438,"STR. Orhei , NR. 9 , BL. T3 , ET. P+1 , AP. 12",Mun. Piatra Neamţ,NEAMŢ,Organizatoare,www.imperialsmtravel.ro,imperial2013@yahoo.com
1064,EUROTRAVEL SRL,EUROTRAVEL,5625140,"STR. Aviatorilor , NR. 59","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.eurotravel.ro,office@eurotravel.ro
1065,PAN TRAVEL COMTUR S.R.L.,PAN TRAVEL,10516018,"STR. Traian Grozăvescu , NR. 13",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.pantravel.ro,mail@pantravel.ro
1068,NORTHFILON INTERNATIONAL SRL,GET AWAY TRAVEL,22013346,"STR. Nicolae Filipescu , NR. 53-55  , ET. 5","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.getawaytravel.ro,office@getawaytravel.ro
1070,ALTA COMIMPEX SRL,ALTA TURISM,5657550,"STR. Fundeni , NR. 3 , BL. 39 , ET. 6 , AP. 34","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.tabere.ro,altaturism@yahoo.com
1074,AEROVACANTE SRL,AEROVACANTE,35249170,"STR. Mântuleasa , NR. 31  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.aerovacante.ro,contact@aerovacante.ro
1076,CRUISE HUB SRL,CRUISE HUB,23791087,"STR. Mântuleasa , NR. 31  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.cruisehub.ro,rezervari@cruisehub.ro
1077,TYANA SRL,PARALELA 45,6392914,"STR. Alexandru Ioan Cuza  , BL. D2",Mun. Brăila,BRĂILA,Organizatoare,www.paralela45.ro,braila@paralela45.ro
1079,DANTE TRAVEL SRL,DANTE TRAVEL,9833632,"STR. Sectorului , NR. 3 , BL. CORP A2  , AP. 6","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.dantetravel.eu,office@dantetravel.eu
1082,SIMBOLIFE SRL,SIMBOTOUR,17692003,"STR. Petőfi Sándor , NR. 4/A   , AP. 1",Mun. Satu Mare,SATU MARE,Organizatoare,www.simbotours.ro,office@simbotours.ro
1083,EASTERN EUROPEAN EXPERIENCE SRL,EASTERN EUROPEAN EXPERIENCE,34142654,"STR. Iancu de Hunedoara , NR. 35  , ET. 1 , AP. 12","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.easterneuropeanexperience.com,mototolea_stefan@gmail.com
1085,AVANGARDE BUSINESS GROUP SRL,AVANGARDE TRAVEL,32128882,"STR. Episcopul Chesarie , NR. 22","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,office@avangardetravel.ro,office@avangardetravel.ro
1086,TRAVEL MATTERS SRL,TRAVEL MATTERS,30455870,"STR. Independenţei , NR. 313B , BL. C11,501, 26MP , ET. 1","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.travelmatters.ro,rezervari@travelmatters.ro
1087,TRIPALDO GROUP SRL,TRIPALDO GROUP,33923983,"STR. Pipera , NR. 2/III BIS  , ET. 1",Oraş Voluntari,ILFOV,OrganizatoareOnline,www.tripaldo.com,finance@tripaldo.com
1088,GTS INTERNATIONAL ROMANIA SRL,GTS INTERNATIONAL ROMANIA,15226775,"STR. Independenţei , NR. 267","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.gtsturism.ro,razvan.tachescu@gtsturism.ro
1090,DAMPROIECT SRL,DAM TRAVEL,16848172,"STR. Mihai Viteazul , NR. 2 , BL. 37G  , AP. 12",Mun. Ploieşti,PRAHOVA,Organizatoare,www.damtravel.ro,office@damtravel.ro
1093,IGAZLAND SRL,IGAZLAND TOUR & TRAVEL,18555713,NR. 77/A,Com. Dumbrava,TIMIŞ,Organizatoare,www.igazland.ro,office@igazland.ro
1094,EGO PREMIUM SERVICES SRL,EGO TRAVEL,34478680,"STR. Moşilor , NR. 298 , BL. 48 , ET. 1 , AP. 34","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.egotravel.ro,rezervari@egotravel.ro
1095,KRISS MUNTENIA TRAVEL SRL,KRISS MUNTENIA TRAVEL,28616176,"STR. Vasile Milea   , ET. P",Mun. Piteşti,ARGEŞ,Organizatoare,www.krissmunteniatravel.ro,agentia@krissmunteniatravel.ro
1098,PARALELA 45 TURISM SIBIU SRL,PARALELA 45 TURISM SIBIU,2681448,"STR. Dumbrăvii , NR. 12",Mun. Sibiu,SIBIU,Organizatoare,,sibiu@paralela45.ro
1100,NEGRU VODĂ TURISM INVEST,DIAMOND TRAVEL,22298723,"STR. Negru Vodă , NR. 121 , BL. A9 , ET. P",Mun. Câmpulung,ARGEŞ,Organizatoare,www.turism.consultanti.eu,office@ecotravel.com.ro
1101,TURISM EURO CLUB SRL,TURISM EURO CLUB,21082151,"STR. Jiului , NR. 144  , ET. 1 , AP. 7","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.turismeuroclub.ro,office@turismeuroclub.ro
1102,WOLF TRAVELER SRL,PARALELA 45 - FRANCIZA,31173516,"STR. Ion Câmpineanu , NR. 13  , ET. 1 , AP. 2","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.paralela45academiei.ro,academiei@paralela45.ro
1103,MEMENTO BUS COMPANY,MEMENTO BUS COMPANY,38499596,"STR. Alba Iulia , NR. 5 , BL. I4","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,,contabilitate@christiantour.ro
1106,TRUBADURUL SRL,JACKOB TRAVEL,1648087,"STR. Brăilei , NR. 140D-S2",Mun. Galaţi,GALAŢI,Organizatoare,www.roju.ro,traian.iacob@roju.ro
1107,YPTA TRAVEL SRL,YPTA TRAVEL,30142260,"STR. Căderea Bastiliei , NR. 55","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.yptatravel.ro,office@yptatravel.ro
1110,OASIS COM SRL,OASIS,62232,"STR. Republicii , NR. 73   , AP. 3",Mun. Oradea,BIHOR,Organizatoare,www.oasis-travel.ro,oasis@rdslink.ro
1111,FOCUS SERV SRL,FOCUS TOUR,16564880,"STR. Toporaşilor  , BL. CT 14  , AP. 23",Mun. Alba Iulia,ALBA,Organizatoare,,contact@focustour.ro
1113,DIRECT BOOKING SRL,DIRECT BOOKING,27339247,NR. 180,"Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.directbooking.ro,office@directbooking.ro
1114,CURTA'S TRAVEL SRL,CURTA'S TRAVEL,19193352,"NR. 141B , BL. CORP A , ET. 1 , AP. 3","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.curtastravel.ro,liviu@curtastravel.ro
1118,PERFECT JOURNEY SRL,PERFECT TOUR,36570606,"STR. Decebal , NR. 14 , BL. S6","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.perfect-tour.ro,office@perfectjourney.ro
1119,ALLOMORPHIC STUDIO SRL,ALLO TUR,15502919,"STR. Hispania , NR. 15  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.allomorphic.ro,allomorphicstudio@yahoo.com
112,TRANSILVANIA LIVE SRL,TRANSYLVANIA LIVE-DRACULA TOURS AND HALLOWEEN IN TRANSYLVANIA,16676719,"STR. Războieni , NR. 31A  , ET. 1",Mun. Turda,CLUJ,OrganizatoareOnline,www.visit-transylvania.us,office@visit-transylvania.us
1120,INTERNATIONAL EXPERT TRAVEL SRL,BTOUR,19063905,"NR. 30  , ET. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.btour.ro,andi@btour.ro
1122,MICOMIS SRL,MICOMIS,3582698,"STR. Mihail Sadoveanu , NR. 4",Mun. Braşov,BRAŞOV,Organizatoare,www.micomis.ro,office@micomis.ro
1124,BIBI TOURING TOUROPERATOR SRL,BIBI TOURING TOUROPERATOR,15490210,"STR. Republicii , NR. 12 , BL. 33B2 , ET. 2 , AP. 25",Mun. Ploieşti,PRAHOVA,Organizatoare,www.bibi-touring.ro,dispecerat@bibi.ro
1125,ASCOMTUR VAYA SRL,VAYA TOUR,31989230,"STR. Nicolae Iorga , NR. 60 , BL. B8",Oraş Vălenii de Munte,PRAHOVA,Organizatoare,,tourvaya@yahoo.com
1128,ADLENA TOUR SRL,SELEN TOUR,30978550,"STR. 1 Decembrie 1918 , NR. 203",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.selen-tour.ro,office@selen-tour.ro
1129,MOLDOVA TRAVEL SRL,TRAVEL 4 YOU,21904406,"STR. Unirii , NR. 6",Mun. Iaşi,IAŞI,Organizatoare,www.travel4you.ro,office@travel4you.ro
113,A-TRIP2RO SRL,TRIP2RO,32020537,NR. 807,Com. Frumuşiţa,GALAŢI,OrganizatoareOnline,www.trip2ro.com,office@trip2ro.com
1131,CALATORESCU SRL,CALATORESCU,25283123,"STR. Gramma , NR. 15   , AP. 1","Com. Dumbrăviţa, Sat Dumbrăviţa",TIMIŞ,Organizatoare,www.calatorescu.ro,office@calatorescu.ro
1132,BLUE SKY TURISM SRL,BLUE SKY TURISM,14585126,"STR. Dacia , NR. 45   , AP. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.bluesky-turism.ro,office@bluesky-turism.ro
1133,ADONIS IMPORT EXPORT SRL,ADONIS TRAVEL,4786211,"NR. 10   , AP. 1",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.adonis-travel.com,office@adonis-travel.com
1137,ROVIAL TRAVEL SRL,ROVIAL TRAVEL,31046156,"STR. Mihail Kogălniceanu , NR. 4 , BL. 17  , AP. 2",Mun. Braşov,BRAŞOV,Organizatoare,www.rovial.ro,office@rovial.ro
1138,SAGITARIO TRAVEL SRL,SAGITARIO TRAVEL,17531279,"STR. Mihai Viteazu , NR. 33",Mun. Caransebeş,CARAŞ-SEVERIN,Organizatoare,www.sagitariotravel.ro,office@sagitariotravel.ro
1139,BUCOVINA TRAVEL SRL,BUCOVINA TRAVEL,18444472,"STR. Dornelor , NR. 2 , BL. 2  , AP. 25",Mun. Vatra-Dornei,SUCEAVA,Organizatoare,,bucovinatravel@gmail.com
114,CONSTOUR SRL,SKY LIMIT,16411851,"STR. Mihail Kogălniceanu , NR. 7",Mun. Craiova,DOLJ,Organizatoare,www.skylimit.ro,office@skylimit.ro
1140,MC TRANSILVANIA SRL,MC TRANSILVANIA,21084713,"STR. Muntenia , NR. 12",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.mctransylvania.com,adi@mctransylvania.com
1141,BTT TARGOVISTE SRL,BTT TARGOVISTE,6656501,"STR. Mircea cel Bătrân  , BL. H1",Mun. Târgovişte,DÂMBOVIŢA,Organizatoare,www.btttargoviste.com,btttargoviste@yahoo.com
1142,NEW TRAVEL MUNTENIA SRL,NEW TRAVEL MUNTENIA,21518430,"STR. Griviţei  , BL. A5 , ET. P",Mun. Piteşti,ARGEŞ,Organizatoare,www.munteniatravel.ro,dorina.ciobotoiu@munteniatravel.ro
1143,INTERSPAR COM SRL,MAGIC TOURS,6012454,NR. 30,Mun. Oradea,BIHOR,Organizatoare,www.magic-tours.ro,magicoradea@yahoo.com
1144,TOP SERVICES & EVENTS SRL,EURO TEAM TRAVEL,24329923,"STR. Regina Maria , NR. 32  , ET. P","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.euroteamtravel.ro/www.ofertesejurromania.ro,office@euroteamtravel.ro
1146,TURIST CLASS SRL,TURIST CLASS,15795223,"STR. Alexandru Ioan Cuza , NR. 4  , ET. 3 , AP. 11",Mun. Dorohoi,BOTOŞANI,Organizatoare,www.turistclass.ro,turistclass@gmail.com
1149,SORILIS TOUR SRL,FABIOLA & ALEX TURISM,30771040,"STR. Camil Ressu , NR. 1 , BL. 14B  , AP. 72","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.fabiolaturism.ro,fabiolaturism@gmail.com
115,JUST TRAVEL SRL,JUST TRAVEL,17356003,"STR. Bodeşti , NR. 9 , BL. 29A , ET. 2 , AP. 54","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.just-travel.ro,office@just-travel.ro
1151,DITHEO CULTURAL SRL,DITHEO CULTURAL,17262529,"STR. Bucureşti , NR. 59","Oraş Măgurele, Sat Vârteju",ILFOV,Organizatoare,www.ditheo.ro,contact@ditheo.ro
1152,ELMARIA TURISM & FLOWER S.R.L.,ELMARIA TURISM & FLOWER,24816597,"STR. Moţilor , NR. 14   , AP. 8",Oraş Câmpeni,ALBA,Organizatoare,,elmariaturism@yahoo.com
1158,DAOS JOURNEYS SRL,AVENTOURS & ROVING ROMANIA,23266959,"STR. Paul Richter , NR. 1   , AP. 1",Mun. Braşov,BRAŞOV,Organizatoare,www.discoveromania.ro,office@discoveromania.ro
1159,ADRIANA TOURISTIK COMPANY S.R.L.,ADRIANA TOURISTIK,26852570,"STR. Revoluţiei , NR. 24   , AP. 23",Mun. Arad,ARAD,Organizatoare,www.adrian-touristik.ro,adriana_touristik@yahoo.com
116,MAPAMOND BUSINESS SRL,SEJOUR TOURS,34036777,"STR. Labirint , NR. 127   , AP. 2","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.sejourtours.ro,marta@sejourtours.ro
1162,EASTERN EUROPE SERVICES SRL,GALAXY TOURS,3506445,"STR. Vitan , NR. 119 , BL. V21B , ET. P , AP. 1","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.galaxytours.ro,sales@galaxytours.ro
1163,RAIO TRAVEL & EVENTS S.R.L.,EVENTA,39140450,"STR. Unirii , NR. 14 , BL. 6A,6B,6C TRONSON 1 , ET. MEZANIN , AP. SPATIU NR. 18","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.eventa-travel.com,office@eventa-travel.com
1163,RAIO TRAVEL & EVENTS S.R.L.,EVENTA TRAVEL,39140450,"STR. Unirii , NR. 14 , BL. 6A, 6B, 6C , ET. mezanin","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,,office@eventa-travel.com
1164,DIRECT TRAVEL SRL,DIRECT TRAVEL,19182736,"STR. Tomis , NR. 143A  , ET. 6",Mun. Constanţa,CONSTANŢA,Organizatoare,www.direct-travel.ro,office@direct-travel.ro
1165,RETAIL MANAGEMENT SYSTEMS S.R.L.,ALSYS TRAVEL,5246813,NR. 146,"Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.alsystravel.ro,office@alsystravel.ro
1166,ECOSHOP SRL,ABSOLUTE CARPATHIAN,16098631,NR. 162,Oraş Zărneşti,BRAŞOV,OrganizatoareOnline,www.absolute-nature.ro,simonaburetea@yahoo.com
1167,MADISON S.R.L.,MADISON TRAVEL,13114376,"STR. Unirii , NR. 12   , AP. 8",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.madisontravel.ro,office@madisontravel.ro
1168,MARA INTERNATIONAL TOUR S.R.L.,MARA INTERNATIONAL TOUR,13079716,"STR. Unirii , NR. 5",Mun. Baia Mare,MARAMUREŞ,Organizatoare,www.mara-tour.ro,office@mara-tour.ro
1169,TRAVEL TAILOR SRL,TRAVEL TAILOR,25696766,"NR. 256-260   , AP. 2","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.traveltailor.ro,office@traveltailor.ro
1172,FLY WEST TOUR & MORE  SRL,FLY WEST TOUR & MORE,37369261,"STR. George Coşbuc , NR. 1",Mun. Timişoara,TIMIŞ,Organizatoare,www.flywesttour.ro,office@flywesttour.ro
1176,DISCOVER WITH US SRL,TOURING ROMANIA,32994048,"STR. Feteşti , NR. 4 , BL. F5 , ET. 4 , AP. 75","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.touringromania.com,contact@touringromania.com
1177,ZENALINA TRAVEL S.R.L.,NOOR,44368862,"STR. Ion Heliade Rădulescu , NR. 4 , BL. B20 , ET. PARTER , AP. 2",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.mcturism.ro,alinastraia@yahoo.com
1178,103 VACANTE PE INSULE S.R.L.,103 VACANTE PE INSULE,34011543,"STR. Porumbacu , NR. 9 , BL. 31 , ET. 3 , AP. 74","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,,office@vacantepeinsule.ro
1179,KRON-TOUR SRL,KRON-TOUR LUFTHANSA CITY CENTER,1093296,"STR. Camil Petrescu , NR. 3C   , AP. 3",Mun. Braşov,BRAŞOV,Organizatoare,www.krontour.ro,office@krontour.ro
1180,MAGNUM TOUR OPERATOR SRL,MAGNUM TRAVEL,35039607,"STR. Floreasca , NR. 69  , ET. 1 , AP. 4","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.magnum-travel.ro,office@magnum-travel.ro
1181,SC SFARA 1999 SRL,SFARA TOURS,7507222,"STR. Salcâmului , NR. 26   , AP. 2",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.sfaratours.ro,turism@sfaratours.ro
1182,MEMENTO INTERNATIONAL,MEMENTO INTERNATIONAL,31370020,"STR. Alba Iulia , NR. 5 , BL. I4","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,,contabilitate@christiantour.ro
1184,SOUTH CARPATHIAN TRAVEL CENTER '12 SRL,CARPATHIAN TRAVEL CENTER,22333952,NR. 12,Mun. Sibiu,SIBIU,Organizatoare,www.vacanta-mea.eu/ www.carpathian-travel-center.com,info@carpathian-travel-center.com
1187,KADAR TURISM SRL,DELICE TRAVEL,32403192,"STR. Pandurilor , NR. 12",Mun. Beiuş,BIHOR,Organizatoare,www.delicetravel.ro,delicetravel@yahoo.com
1189,TOURDESIGN SRL,TOURDESIGN,19130559,"STR. Şcolii , NR. 4   , AP. 3",Mun. Baia Mare,MARAMUREŞ,Organizatoare,www.tourdesign.ro,contact@tourdesign.ro
