nr_licenta,licenta_tip,data_emitere,operator_economic,nr_registru_comert,denumire_agentie,cui,adresa,localitate,judet,tip_agentie,site_web,email,col13,col14,col15
1012,Licenta,30.01.2019,CRISOLDO CO S.R.L.,J20/52/1999,CRISOLDO TUR,11443968,"STR. George Enescu , NR. 20 , BL. 20 , ET. PARTER , AP. 4",Mun. Hunedoara,HUNEDOARA,Organizatoare,www.crisoldotur.ro,office@crisoldotur.ro,,,
1013,Licenta,30.01.2019,UNNIQUE SERV GROUP SRL,J19/211/2012,UNNIQUE TRAVEL,30164161,"STR. Márton Áron , NR. 18",Mun. Miercurea Ciuc,HARGHITA,Intermediara,www.unniquetravel.ro,office@unniquetravel.ro,,,
1014,Licenta,30.01.2019,OPEN TOUR INTERNATIONAL SRL,J40/12180/2011,OPEN TOUR,29216852,"STR. Câmpiniţa , NR. 14","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Intermediara,www.open-tour.ro,office@opentour.ro,,,
1015,Licenta,30.01.2019,CODRUL SRL,J13/3945/2006,REVE TOUR,20063178,"STR. Alexandru Lăpuşneanu , NR. 113",Mun. Constanţa,CONSTANŢA,Organizatoare,www.tevetour.ro,office@revetour.ro,,,
1016,Licenta,30.01.2019,AMPURIA TRAVEL SRL,J23/383/2018,AMPURIA TRAVEL,32060884,"NR. 8   , AP. 2",Com. Corbeanca,ILFOV,Intermediara,www.ampuriatravel.ro,rezervari@ampuriatravel.ro,,,
1017,Licenta,30.01.2019,HAHOTA S.R.L.,J26/51/1999,WORLD TRAVEL SHOP,11375235,"STR. Aurel Filimon , NR. 17   , AP. 1",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.worldtravelshop.ro,office@worldtravelshop.ro,,,
1018,Licenta,06.03.2024,DIZAK KETEX SRL,J40/980/2014,DIZAK KETEX,32720522,"STR. Sirenelor , NR. 89  , ET. 1","Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www.dzk-travel.com,nicolas.marty@dzk-travel.com,,,
1019,Licenta,28.04.2022,MINASAN FM TOURS SRL,J29/238/2010,MINAS TRAVEL,26539875,"STR. Constantin Dobrogeanu Gherea , NR. 1 , BL. 1",Mun. Ploieşti,PRAHOVA,Intermediara,www.minastravel.ro,minas.travel@gmail.com,,,
1020,Licenta,14.02.2023,VARIETY CONCEPT SRL,J40/6095/2017,KEY TRAVEL,37480765,"STR. Binelui , NR. 15-17 , BL. 3 , ET. 1 , AP. 16","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.keytravel.ro,office@keytravel.ro,,,
1021,Licenta,12.06.2024,MIX BDV SRL,J40/9148/2013,NEFERTITI TRAVEL,32039009,"STR. Florilor , NR. 25","Com. Tunari, Sat Dimieni",ILFOV,IntermediaraOnline,www.nefertiti-travel.ro,office@nefertiti-travel.ro,,,
1022,Licenta,31.01.2019,KAYA-ŞTEF TOUR SRL,J29/1633/2009,KAYA TOUR,26187922,"STR. Republicii , NR. 263",Oraş Băicoi,PRAHOVA,Organizatoare,www.kayatour.ro,kayatour@yahoo.com,,,
1023,Licenta,31.01.2019,MWD LIKE SRL,J40/9658/2012,CAMI TRAVEL,30583577,"STR. Vitejiei , NR. 2 , BL. 1 , ET. 6 , AP. 61","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.camitravel.com,office@camitravel.com,,,
1024,Licenta,15.05.2025,ABC TRADING CO SRL,J40/22775/1992,ABC TOURS,2794366,"STR. Dorobanţi , NR. 42  , ET. 2 , AP. 3","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.abctours.ro,office@abctours.ro,,,
1025,Licenta,15.09.2025,PEJ TRAVEL SRL,J35/1908/2018,PEJ TRAVEL,38447790,"STR. Ionel I.C. Brătianu , NR. 1  , ET. parter , AP. birou 4A",Mun. Timişoara,TIMIŞ,Organizatoare,www.pejtravel.ro,office@pejtravel.ro,,,
1026,Licenta,31.01.2019,ADMINISTER PLUS SRL,J40/9617/2014,ADMINISTER TOUR,33489680,"STR. Mărăşeşti , NR. 2B , BL. D","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,,aurelian.stanculescu@gmail.com,,,
1027,Licenta,31.01.2019,PRISMA TECH SRL,J22/1969/2003,PRISMA TOUR,15850492,NR. 74,Mun. Iaşi,IAŞI,Organizatoare,www.prismatour.ro,office@prismatour.ro,,,
1028,Licenta,22.03.2022,BRIANT TRAVEL BOOKING 21 SRL,J39/100/2013,BRIANT TRAVEL,31268772,"STR. Papareţ , NR. 15",Mun. Adjud,VRANCEA,Organizatoare,www.briant.ro,rezervari@briant.ro,,,
1029,Licenta,16.06.2021,CENTRAL TRAVEL S.R.L.,J40/9025/2004,CENTRAL TRAVEL,16482941,"NR. 47-51 , BL. C1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.centraltravel.ro,raluca@centraltravel.ro,,,
103,Licenta,08.11.2018,ALL TOUR SRL,J04/1617/2006,ALL TOUR,19180450,"STR. Pasajul Revoluţiei , NR. 3",Mun. Bacău,BACĂU,Organizatoare,www.all-tour.ro,office@all-tour.ro,,,
1030,Licenta,31.01.2019,CREATIVE SUPERTOURS S.R.L.,J8/715/2012,SUPERTOURS,30185504,"STR. Cetăţuia , NR. 3B   , AP. 2",Mun. Braşov,BRAŞOV,Organizatoare,www.supertours.ro,contact@supertours.ro,,,
1031,Licenta,31.01.2019,VEST TRAVEL & VACANCES SRL,J2/103/2003,VEST TRAVEL & VACANCES,15160395,"STR. 1 Decembrie 1918 , NR. 4   , AP. 6",Mun. Arad,ARAD,Organizatoare,www.romaniavacances.ro,office@romaniavacances.ro,,,
1032,Licenta,31.01.2019,ELITE TURISM SERVICES S.R.L.,J40/1117/2015,ELITE TOURS,34048500,"STR. Crişului , NR. 7   , AP. 1","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.elitetours.ro,contact@elitetours.ro,,,
1033,Licenta,31.01.2019,DIALECT S.R.L.,J08/603/1999,DIALECT TOUR,11938720,"STR. Toamnei , NR. 9 , BL. 4  , AP. 4",Mun. Braşov,BRAŞOV,Organizatoare,www.dialect-tour.ro,office@dialect-tour.ro,,,
1034,Licenta,01.02.2019,DOMINO TOURS SRL,J5/1523/2007,DOMINO TOURS,21924381,"STR. Moscovei , NR. 27   , AP. 9",Mun. Oradea,BIHOR,Organizatoare,www.dominotours.ro,domino.tours@yahoo.com,,,
1035,Licenta,01.02.2019,TAN TRAVEL SRL,J23/1155/2015,TAN TRAVEL & TOURS,34329165,"NR. 99B , BL. 3 , ET. 2 , AP. 13","Oraş Popeşti-Leordeni, Sat Popeşti Leordeni",ILFOV,Organizatoare,www.tantravel.ro,office@tantravel.ro,,,
1036,Licenta,01.09.2020,LUTASIN SRL,J33/172/2011,SINCAROM TOUR,28059628,"STR. Republicii , NR. 5",Mun. Vatra-Dornei,SUCEAVA,Organizatoare,www.bucovinatransfer.ro,dornamis@yahoo.com,,,
1037,Licenta,01.02.2019,TERRA SPLENDIDA SRL,J40/1802/2010,TERRA SPLENDIDA,26546244,"NR. 132  , ET. 1 , AP. 9","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.terraspelndida.ro,office@terrasplendida.ro,,,
1038,Licenta,01.08.2019,FRESH HOLIDAYS & EVENTS SRL,J40/11088/2011,FRESH HOLIDAYS,29106973,NR. 43,"Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www.freshholidays.ro,office@freshholidays.ro,,,
1039,Licenta,01.02.2019,GTM -GLOBAL MANAGEMENT SRL,J22/3028/2017,GTM -GLOBAL MANAGEMENT,38269678,"STR. Ştefan cel Mare şi Sfânt , NR. 4 , BL. A17  , AP. 4",Mun. Iaşi,IAŞI,IntermediaraOnline,www.gtm.agency.ro,travel@gtm.agency.ro,,,
104,Licenta,12.11.2018,GENOVESSE ACTIV SRL,J40/5518/2006,GENOVESSE TRAVEL,18546979,"NR. 14 , BL. 27A","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Intermediara,www.gtravel.ro,office@gtravel.ro,,,
1040,Licenta,04.02.2019,FLYBLUE TRAVEL S.R.L.,J39/65/2010,FLYBLUE TRAVEL,26531901,"NR. 20   , AP. 132",Mun. Focşani,VRANCEA,Intermediara,,smnanghel@yahoo.com,,,
1041,Licenta,04.02.2019,CLUBUL VACANŢELOR SRL,J40/14502/2011,CLUBUL VACANŢELOR,29421423,"NR. 246   , AP. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.paralela45vacanta.ro,kogalniceanu@paralela45.ro,,,
1042,Licenta,04.02.2019,R.T.E. TRAVEL S.R.L.,J40/11435/2015,ROMANIA TOURS AND EVENTS,35020310,"STR. Industriilor , NR. 56 , BL. 10 , ET. 2 , AP. 203","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.romaniatoursandevents.com,office@romaniatoursandevents.com,,,
1043,Licenta,20.02.2024,ANCHOR TRAVEL S.R.L.,J40/14135/2004,ANCHOR TRAVEL,16728184,"STR. Ankara , NR. 7  , ET. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,,office@anchor-travel.ro,,,
1044,Licenta,14.07.2025,EVENTS TOUR & PROJECTS CONSULTING SRL,J2018001131382,VIA NEW TRAVEL,40336183,"STR. Republicii  , BL. R17  , AP. 1",Mun. Râmnicu Vâlcea,VÂLCEA,Organizatoare,,,,,
1045,Licenta,05.05.2022,TAT TOURS INTERNATIONAL SRL,J29/1123/2013,TAT TOURS INTERNATIONAL,32035732,"STR. Cuza Vodă , NR. 3 , BL. D11",Mun. Ploieşti,PRAHOVA,Organizatoare,www.tattours.ro,office@tattours.ro,,,
1046,Licenta,04.02.2019,SILVER HOLIDAY TRAVEL SRL,J5/1604/2013,SILVER HOLIDAY,32321700,"STR. Republicii , NR. 28A",Mun. Oradea,BIHOR,Organizatoare,www.silverholiday.ro,office@silverholiday.ro,,,
1048,Licenta,06.02.2019,ANACAPRI TRAVEL SRL,J40/7870/2005,ANACAPRI TRAVEL,17529651,"STR. Dudeşti , NR. 115 , BL. DEMISOL  , AP. 1","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.anacapritravel.ro,office@anacapritravel.ro,,,
1049,Licenta,27.01.2021,EPCOT POINT SRL,J39/356/2016,EPCOT TRAVEL,36111344,"NR. 3 , BL. Y , ET. PARTER , AP. 18",Mun. Focşani,VRANCEA,Organizatoare,www.epcot-travel.ro,gabriela@epcot-travel.ro,,,
105,Licenta,12.11.2018,PROFI TRAVEL SOLUTIONS SRL,J2/209/2011,PROFI TRAVEL,28125799,"STR. Revoluţiei , NR. 64   , AP. 1",Mun. Arad,ARAD,Intermediara,www.profitravel.ro,profitravel@gmail.com,,,
1050,Licenta,07.02.2019,CRISTIANUL S.A.,J8/96/1991,CRISTIANUL,1106272,"STR. Toamnei , NR. 2 , BL. 1",Mun. Braşov,BRAŞOV,Organizatoare,www.cristianul.ro,office@cristianul.ro,,,
1051,Licenta,07.02.2019,TRAVONLINE S.R.L.,J13/2049/2015,TRAVONLINE,35020965,"STR. Ferdinand , NR. 56",Mun. Constanţa,CONSTANŢA,Intermediara,www.travonline.ro,office@travonline.ro,,,
1052,Licenta,07.02.2019,TRANSILVANIA HOLIDAY TRAVELS SRL,J32/1000/1992,SOBIS TURISM,794572,"STR. Dumbrăvii , NR. 101",Mun. Sibiu,SIBIU,Organizatoare,www.sobisturism.ro,office@turism.sobis.ro,,,
1053,Licenta,15.03.2022,NIKYTOUR SRL,J12/831/2001,NIKYTOUR,13941713,"STR. Gospodarilor , NR. 14",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.nikytour.ro,office@nikytour.ro,,,
1055,Licenta,07.02.2019,BELDI TIME GRUP SRL,J40/11245/2008,BELDI TOURS,24108663,"NR. 5  , ET. 1 , AP. 4","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.belditours.ro,office@belditours.ro,,,
1056,Licenta,31.08.2020,SUN TRAVEL SRL,J14/364/2005,CHRISTIAN TOUR,17842208,NR. 6,Mun. Sfântu Gheorghe,COVASNA,Intermediara,www.suntravel.ro,suntravel@suntravel.ro,,,
1057,Licenta,04.10.2021,TRANS EUROPA SRL,J32/815/1991,TRANS EUROPA,788112,"STR. Mihai Viteazu  , BL. 7",Mun. Sibiu,SIBIU,Organizatoare,www.transeuropa.ro,turism@transeuropa.ro,,,
1058,Licenta,07.02.2019,TOURS 4 FUN S.R.L.,J40/8407/2005,ARIES TRAVEL,33730885,"STR. Postăvarului , NR. 32  , ET. PARTER , AP. 1",Mun. Braşov,BRAŞOV,Organizatoare,www.ariestravel.ro,tours4funbrasov@yahoo.com,,,
1059,Licenta,20.10.2022,FIBULA AIR TRAVEL SRL,J40/8407/2005,FIBULA AIR TRAVEL,17563173,"STR. G. Dem. Teodorescu , NR. 16   , AP. 19","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.fibula.ro,fibula@fibula.ro,,,
106,Licenta,12.11.2018,TRIORIGIN SRL,J20/441/2010,EXIMTUR,27009320,"STR. Avram Iancu , NR. 10 , BL. C2  , AP. 36",Mun. Hunedoara,HUNEDOARA,Intermediara,www.eximtur.ro,office@triorigin.ro,,,
1060,Licenta,27.11.2023,CONGRESS BOOKERS S.R.L.,J22/998/2018,CONGRESS BOOKERS,39229256,NR. 39A,Mun. Iaşi,IAŞI,Intermediara,www.congressbookers.eu,office@congressbookers.eu,,,
1061,Licenta,07.02.2019,BALKAN AIR TRAVEL SRL,J40/8738/1999,BALKAN TRAVEL,12206358,"STR. I. C. Brătianu , NR. 39 , BL. P6 , ET. 2 , AP. 20","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.balkantravel.eu,business.tourism@balkanair.ro,,,
1062,Licenta,25.06.2021,PLACES2GO S.R.L.,J40/15603/2016,PLACES2GO,36782358,"STR. Ţepeş Vodă , NR. 100  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.places2go.ro,office@places2go.ro,,,
1063,Licenta,07.02.2019,IMPERIAL SM TRAVEL SRL,J27/259/2013,IMPERIAL TRAVEL,31611438,"STR. Orhei , NR. 9 , BL. T3 , ET. P+1 , AP. 12",Mun. Piatra Neamţ,NEAMŢ,Organizatoare,www.imperialsmtravel.ro,imperial2013@yahoo.com,,,
1064,Licenta,27.08.2020,EUROTRAVEL SRL,J40/8435/1994,EUROTRAVEL,5625140,"STR. Aviatorilor , NR. 59","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.eurotravel.ro,office@eurotravel.ro,,,
1065,Licenta,08.02.2019,PAN TRAVEL COMTUR S.R.L.,J12/740/1998,PAN TRAVEL,10516018,"STR. Traian Grozăvescu , NR. 13",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.pantravel.ro,mail@pantravel.ro,,,
1066,Licenta,11.02.2019,DMS TRANS S.R.L.,J23/419/2008,CALATORII SI VACANTE,23291146,"NR. 2   , AP. CAMERA 1",Com. Jilava,ILFOV,Intermediara,www.calatoriisivacante.ro,dms.trans@yahoo.com,,,
1067,Licenta,11.02.2019,MARPRIM SRL,J39/209/1999,MARPRIM TOUR,11827470,"STR. Peneş Curcanu , NR. 2   , AP. 1",Mun. Focşani,VRANCEA,Intermediara,www.marprim.ro,marprimsrl@yahoo.com,,,
1068,Licenta,04.05.2021,NORTHFILON INTERNATIONAL SRL,J40/12516/2007,GET AWAY TRAVEL,22013346,"STR. Nicolae Filipescu , NR. 53-55  , ET. 5","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.getawaytravel.ro,office@getawaytravel.ro,,,
1069,Licenta,10.11.2020,ARRA TOUR AGENCY SRL,J13/2121/2014,ARRA TOUR,33753234,,Mun. Constanţa,CONSTANŢA,Intermediara,www.aratour.ro,contact@arratour.ro,,,
107,Licenta,12.11.2018,LIOR VIP TOUR SRL,J40/4565/2009,LIOR VIP TOUR,25407280,"STR. Bibescu Vodă , NR. 18  , ET. 1 , AP. 1","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Intermediara,www.liorviptour.ro,darierodica@yahoo.fr,,,
1070,Licenta,23.06.2021,ALTA COMIMPEX SRL,J40/7830/1994,ALTA TURISM,5657550,"STR. Fundeni , NR. 3 , BL. 39 , ET. 6 , AP. 34","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.tabere.ro,altaturism@yahoo.com,,,
1071,Licenta,20.05.2021,GRAND TRAVEL SRL,J40/12764/2013,GRAND TRAVEL,32360296,"STR. Barajul Argeş , NR. 41E  , ET. 4 , AP. 27","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Intermediara,www.grandhotel.ro,office@grandhotel.ro,,,
1072,Licenta,19.02.2021,SIMPLY TRAVEL HOLIDAY SRL,J33/436/1997,SIMPLY TRAVEL,9642373,"STR. Nicolae Bălcescu , NR. 4",Mun. Suceava,SUCEAVA,IntermediaraOnline,www.simplytravel.ro,simplytravel.travel@gmail.com,,,
1073,Licenta,11.02.2019,KEEP TRAVEL & EVENTS SRL,J40/15649/2013,KEEP TRAVEL & EVENTS,32606278,"STR. Reconstrucţiei , NR. 1 , BL. 24 , ET. 9 , AP. 301","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Intermediara,www.keeptravel.ro,iuliana@keeptravel.ro,,,
1074,Licenta,11.02.2019,AEROVACANTE SRL,,AEROVACANTE,35249170,"STR. Mântuleasa , NR. 31  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.aerovacante.ro,contact@aerovacante.ro,,,
1075,Licenta,11.02.2019,MARAMURES TOUR EXPERT SRL,J24/1503/2004,MARAMURES TOUR EXPERT,16798686,NR. 1,Oraş Vişeu de Sus,MARAMUREŞ,Intermediara,www.maramures-tour.ro,,,,
1076,Licenta,11.02.2019,CRUISE HUB SRL,,CRUISE HUB,23791087,"STR. Mântuleasa , NR. 31  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.cruisehub.ro,rezervari@cruisehub.ro,,,
1077,Licenta,11.02.2019,TYANA SRL,J09/1322/1994,PARALELA 45,6392914,"STR. Alexandru Ioan Cuza  , BL. D2",Mun. Brăila,BRĂILA,Organizatoare,www.paralela45.ro,braila@paralela45.ro,,,
1079,Licenta,11.02.2019,DANTE TRAVEL SRL,J40/3292/1997,DANTE TRAVEL,9833632,"STR. Sectorului , NR. 3 , BL. CORP A2  , AP. 6","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.dantetravel.eu,office@dantetravel.eu,,,
108,Licenta,12.11.2018,IOANA TRAVEL SRL,J40/12799/1998,IOANA TRAVEL,11314920,"STR. Dimitrie Cantemir , NR. 25 , BL. 2  , AP. 34","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Intermediara,,,,,
1080,Licenta,22.06.2022,BUSINESS STARTUP POINT (BSP) SRL,J40/10130/2017,JIJI JOURNEYS,37822000,"STR. Tăciunelui , NR. 9  , ET. 3","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.magicmisterytours.com,moh.alyassin84@gmail.com,,,
1082,Licenta,12.02.2019,SIMBOLIFE SRL,J30/731/2005,SIMBOTOUR,17692003,"STR. Petőfi Sándor , NR. 4/A   , AP. 1",Mun. Satu Mare,SATU MARE,Organizatoare,www.simbotours.ro,office@simbotours.ro,,,
1083,Licenta,12.02.2019,EASTERN EUROPEAN EXPERIENCE SRL,J40/2158/2015,EASTERN EUROPEAN EXPERIENCE,34142654,"STR. Iancu de Hunedoara , NR. 35  , ET. 1 , AP. 12","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.easterneuropeanexperience.com,mototolea_stefan@gmail.com,,,
1084,Licenta,13.12.2024,FUNNY TRAVEL COMPANY SRL,J3/1392/2004,UNI FAN TRAVEL,16676042,"STR. Craiovei  , BL. P4",Mun. Piteşti,ARGEŞ,Intermediara,www.unifan-travel.ro,funnytravelcompany@yahoo.com,,,
1085,Licenta,12.02.2019,AVANGARDE BUSINESS GROUP SRL,J40/10109/2013,AVANGARDE TRAVEL,32128882,"STR. Episcopul Chesarie , NR. 22","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,office@avangardetravel.ro,office@avangardetravel.ro,,,
1086,Licenta,03.03.2025,TRAVEL MATTERS SRL,,TRAVEL MATTERS,30455870,"STR. Independenţei , NR. 313B , BL. C11,501, 26MP , ET. 1","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.travelmatters.ro,rezervari@travelmatters.ro,,,
1087,Licenta,03.09.2020,TRIPALDO GROUP SRL,J23/3796/2020,TRIPALDO GROUP,33923983,"STR. Pipera , NR. 2/III BIS  , ET. 1",Oraş Voluntari,ILFOV,OrganizatoareOnline,www.tripaldo.com,finance@tripaldo.com,,,
1088,Licenta,31.08.2021,GTS INTERNATIONAL ROMANIA SRL,J40/2551/2003,GTS INTERNATIONAL ROMANIA,15226775,"STR. Independenţei , NR. 267","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.gtsturism.ro,razvan.tachescu@gtsturism.ro,,,
1089,Licenta,12.02.2019,HARGHITA-TOURS SRL,J19/414/1991,HARGHITA TOURS,525639,"STR. Tomcsa Sándor , NR. 2 , BL. E  , AP. 4",Mun. Odorheiu Secuiesc,HARGHITA,Intermediara,www.harghitatours.ro,info@harghitatours.ro,,,
109,Licenta,12.11.2018,PARTNER 4 TRAVEL HOLIDAYS SRL,J40/7/2017,PARTNER 4 TRAVEL,36884811,"STR. Mureşana , NR. 6 , BL. 58 , ET. 2 , AP. 23","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.partner4travel.com,claudia@partner4travel.com,,,
1090,Licenta,12.02.2019,DAMPROIECT SRL,J29/2174/2004,DAM TRAVEL,16848172,"STR. Mihai Viteazul , NR. 2 , BL. 37G  , AP. 12",Mun. Ploieşti,PRAHOVA,Organizatoare,www.damtravel.ro,office@damtravel.ro,,,
1091,Licenta,12.02.2019,TERRA TRANS & TRAVEL SRL,J40/10475/2006,TERRA TRANS & TRAVEL,18803800,"STR. Poet Panait Cerna , NR. 7 , BL. M44 , ET. 6 , AP. 91","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.terratrans.ro,simona.petrovan@gmail.com,,,
1093,Licenta,12.02.2019,IGAZLAND SRL,J35/1109/2006,IGAZLAND TOUR & TRAVEL,18555713,NR. 77/A,Com. Dumbrava,TIMIŞ,Organizatoare,www.igazland.ro,office@igazland.ro,,,
1094,Licenta,12.02.2019,EGO PREMIUM SERVICES SRL,J40/5561/2015,EGO TRAVEL,34478680,"STR. Moşilor , NR. 298 , BL. 48 , ET. 1 , AP. 34","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.egotravel.ro,rezervari@egotravel.ro,,,
1095,Licenta,12.02.2019,KRISS MUNTENIA TRAVEL SRL,J03/866/2011,KRISS MUNTENIA TRAVEL,28616176,"STR. Vasile Milea   , ET. P",Mun. Piteşti,ARGEŞ,Organizatoare,www.krissmunteniatravel.ro,agentia@krissmunteniatravel.ro,,,
