email,company,country,city,website,buyer_authority,contract_value
adv@vertys.fr,VERTYS,FRA,Fontenay-Le-Comte,,Mairie de Brive,270385.4
agec@agec-sa.com,AGEC SASU,FRA,LAHONCE,,CONCARNEAU CORNOUAILLE AGGLOMERATION,456000
agence.finistere@idverde.com,ID VERDE Agence Finistère,FRA,LE FAOU,,Ville de Concarneau
,2020000
agmies@wp.pl,AGMIĘS AGNIESZKA KOLP,POL,Puck,,Akademia Marynarki Wojennej im. Bohaterów Westerplatte ,2377712.5
agnes.pruul@maag.ee,Horeca Grupp OÜ,EST, Rae vald,,Sihtasutus Jõulumäe Tervisespordikeskus,
agrojilm@agrojilm.cz,AGROJILM, s.r.o.,CZE,Jilemnice,https://www.agrojilm.cz/,Správa Krkonošského národního parku,946685
agrolineoffice@yahoo.com,AGROLINEVOL S.R.L.,ROU,Volovat,https://www.agrolinebucovina.ro,Spitalul Universitar de Urgenta Militar Central "Dr. Carol Davila",2383110.1
agrolinevanzari@yahoo.com,AGROLINEVOL S.R.L.,ROU,Volovat,https://www.agrolinebucovina.ro,PENITENCIARUL GALATI,105855
agropenevi@gmail.com,ЕТ СТЕФАН ГЕОРГИЕВ-НИМ,BGR,гр. Лозница,,ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ "ДЪРЖАВНО ЛОВНО СТОПАНСТВО ПАЛАМАРА",23595.00
agroselecta@hotmail.com,AGROSELECTA, S.A.,ESP,Majadahonda,,Subdirección General de Servicios Económicos y Pagadurías,164305
agros-trzewik@o2.pl,AGROS MACIEJ TRZEWIK,POL,WARSZAWA,,Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego - Państwowy Instytut Badawczy,2306770.63
agustin@adurizdelasarte.com,ADURIZ DE LASARTE, S.A.,ESP,Lasarte-Oria,,OSAKIDETZA - Servicio Vasco de Salud - Hospital Universitario Donostia,912665.98
aivforest@gmail.com,АЛ И ИВ ФОРЕСТ КОНСУЛТ ЕООД,BGR,гр. София,,СЕВЕРОИЗТОЧНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,25500.00
ak@at-nutzfahrzeuge.de,A+T Nutzfahrzeuge GmbH,DEU,Garrel,,Oldenburger Fleischmehlfabrik GmbH,
a.kubacka@bruno-tassi.pl,Bruno Tassi Sp. z o.o.,POL,Warszawa,,33 Wojskowy Oddział Gospodarczy w Nowej Dębie,2202356
a.kuczynska@pib.pl,PiB Sp. z o.o.,POL,Gołymin-Ośrodek,,33 Baza Lotnictwa Transportowego,3169310.69
alan.hogan@instantor.ie,Sanbra Fyffe Ltd,IRL,Dublin,www.instantor.ie,Longford and Westmeath Education and Training Board,
alcina@alcina.hr,Alcina doo,HRV,Zagreb,https://www.alcina.hr,HRVATSKA AKADEMSKA I ISTRAŽIVAČKA MREŽA CARNet,33750
aleksan.bialek@gmail.com,HURTOWNIA Mięso, wędliny, nabiał Aleksandra Białek,POL,Mińsk Mazowiecki,,23. BAZA LOTNICTWA TAKTYCZNEGO,2190130
aleksandra@banasik.com.pl,FHU BANASIK Sp.k.,POL,Sosnowiec,,SZKOŁA POLICJI W KATOWICACH,707189.7
alenka.cesarica@gmail.com,KLAONICA CESARICA BR. 802, OBRT ZA PRERADU I KONZERVIRANJE MESA, VL. ROBERT ČAČIĆ, CESARICA, DUBRAVE 1Kla,HRV,Gospic,,Javna ustanova Nacionalni park Plitvička jezera,242190
a.lepinaitis@samsonas.lt,UAB "Samsonas",LTU,Kaunas,,Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos (PV),204828.8
alexandre.thomas@hotmail.fr,ASS RESEAU POUR UNE ALIMENTATION LOCALE INNOVANTE ET SOLIDAIRE,FRA,Saint-Maixent-De-Beugne,,LYCEE VICTOR HUGO,869118.93
alexandru.cojoaca@scandia.ro,Scandia Food,ROU,Sibiu,https://www.scandia.ro,SPITALUL JUDETEAN SATU MARE,10444582.05
alexandrumalaescu@yahoo.com,DOIMAN COM S.R.L.,RO,Craiova,www.doimancom.ro,Spitalul Clinic de Pneumoftiziologie Victor Babes Craiova,2771950.0
alexmarcu2005@yahoo.com,OLYMEL FLAMINGO FOOD S.R.L.,RO,Bucuresti,www.elicitarie.ro,SPITALUL JUDETEAN DE URGENTA"SFANTUL IOAN CEL NOU"SUCEAVA,2331651.0
alina.rediu@fermador.ro,FERMADOR,ROU,Podu Iloaiei,https://www.fermador.ro,Directia Generala de Asistenta Sociala si Protectia Copilului Iasi,3106959.53
alize.sarl@wanadoo.fr,ALIZE PAPETERIE,FRA,KAWENI,,Commune de Dzaoudzi-Labattoir (976),400000
amafructcp@gmail.com,AMA FRUCT CP,RO,Horodniceni,https://www.amafructcp.ro,SPITALUL JUDETEAN SATU MARE,12862764.0
amariei_r@ymail.com,AMARIEI G. PETRU,ROU,Rotopanesti,https://www.amarieipetru.ro,SPITALUL JUDETEAN SATU MARE,8699049
AMG@galmstrup.com,Galmstrup Architects,GBR,LONDON,www.galmstrup.com,Westmeath County Council,435485
amia_invest_iasi@yahoo.com,AMIA INVEST,RO,Iasi,www.e-licitatie.ro,UNIVERSITATEA PENTRU STIINTELE VIETII " ION IONESCU DE LA BRAD" DIN IASI,2337585.8
amigo61_lc@abv.bg,АМИГО- ВЕЛКО ВЪЛЧЕВ 2012 ЕООД,BGR,гр. Лясковец,,ОБЩИНА ЛЯСКОВЕЦ,171979.70
amministrazione@conorsrl.it,CONOR S.R.L.,ITA,BOLOGNA,,MILANO RISTORAZIONE S.P.A.,12968854.25
amura_con@abv.bg,- 68 ,BG,,,Obshtina Varna,8334.0
ana.begic@invictustech.hr,Invictus tech d.o.o.,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - CARNET,5779183.7
anaelle.danion@askel.bzh,ASLG,FRA,QUIMPER,,REGION BRETAGNE
,11971617
anamarija.vidos@np-plitvicka-jezera.hr,PZ LIKA COOP,HRV,GOSPIĆ,,Javna ustanova NP Plitvička jezera,506208
anca.bogdan@oncos.ro,ONCOS TRANSILVANIA,ROU,Cluj-Napoca,https://oncos.ro,UNIVERSITATEA TEHNICA DIN CLUJ NAPOCA,1131634.4
anders@bondensskafferi.se,Bondens Skafferi AB,SWE,Kristianstad,,Kalmar kommun,80000000
andreas@charkett.se,Charkett Aktiebolag,SWE,KARLSKRONA,,Kalmar kommun,80000000
andreea.iacob@ellyfood.ro,ELLY FOOD TRADIŢIONAL,ROU,Flamanzi,https://www.forfuture.ro,SPITALUL JUDETEAN SATU MARE,10444582.05
andreea.roman@vascar.ro,VASCAR S.A.,ROU,Vaslui,https://www.vascar.ro/,Directia Generala de Asistenta Sociala si Protectia Copilului Iasi,3106959.53
andrei.padurean@silvaniatraditional.ro,SC UNIVERSAL SA,RO,Criseni,www.e-licitatie.ro,Directia Generala de Asistenta Sociala si Protectia Copilului a judetului Satu Mare,2454579.63
andrei.ursulescu@scandia.ro,Scandia Food,RO,Sibiu,www.scandia.ro,SPITALUL JUDETEAN SATU MARE,12862764.0
aneta.kopczynska@gobarto.pl,GOBARTO S.A.,POL,Warszawa,,Jednostka Wojskowa Nr 6021,716024.4
angel@informadsa.com,PESCALCARRIA, S.A.,ESP,GUADALAJARA                 00,,Delegación Provincial de la Consejería de Sanidad en Guadalajara,230589.94
aniko@sipocz.hu,Sipőcz Ipari és Kereskedelmi Korlátolt Felelősségű Társaság,HUN,Nagytarcsa,,Nemzeti Ménesbirtok és Tangazdaság Zártkörűen Működő Részvénytársaság,131371000.00
anna.bilinska48@wp.pl,DYSTRANS ANNA BILIŃSKA,POL,OLSZTYN,,Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego - Państwowy Instytut Badawczy,2306770.63
annesophie.douillard@ouestfrais.fr,OUEST FRAIS DISTRIBUTION,FRA,Montaigu,,AGAPE 79 - Lycée Jean Macé,
ann@norrbyangar.se,Norrby Angar,SE,Eksjo,,Eksjo kommun,2500000.0
anobrega@ann.com.pt,ANTONIO N NOBREGA,LDA.,PRT,FUNCHAL,,Serviço de Saúde da Região Autónoma da Madeira, EPE-RAM,123478.34
anobrega@gruponobrega.pt,Antonio N. Nobrega II -Comercio de Produtos Alimentares,S.A.,PT,Canico,,Servico de Saude da Regiao Autonoma da Madeira, EPERAM (SESARAM, EPERAM),246020.5
antoinette@oppermann.ie,Oppermann Associates,IE,Dublin,http://www.oppermann.ie,Louth and Meath Education and Training Board,210375.0
antsjarv7@gmail.com,OÜ Sepatalu Peremees,EST, Häädemeeste vald,,Sihtasutus Jõulumäe Tervisespordikeskus,
ao.alfi-im@airliquide.com,AIR LIQUIDE FRANCE INDUSTRIE,FRA,PARIS,,CONCARNEAU CORNOUAILLE AGGLOMERATION,4356666.68
aodea@greenit.ie,PhoenixRM Ltd t/a GreenIT,IRL,Naas,http://www.greenit.ie,Louth and Meath Education and Training Board 1384,
ao@snf.com,SNF,FRA,ANDREZIEUX CEDEX,,CONCARNEAU CORNOUAILLE AGGLOMERATION,4356666.68
a.paszkiewicz@widan.eu,Widan Polska Sp.  Zo.o.,POL,Przemysl,,Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego - Państwowy Instytut Badawczy,2306770.63
appeldoffre@askel.bzh,ASLG DISTRIBUTION-ASKEL,FRA,QUIMPER,, CA QUIMPER BRETAGNE OCCIDENTALE (QBO),
appeldoffre@estiveau.fr,ESTIVEAU,FRA,Mazeres,,MarketPlace Occitanie Centrale d'achat alimentaire,66429008.52
appeldoffre@garonne-fruits.fr,GARONNE FRUITS,FRA,Castelnau D''Estretefonds,,DEPARTEMENT DE TARN ET GARONNE,420000
appeldoffre@lesaint-sa.fr,ETABLISSEMENT LE SAINT FRUITS,FRA,BREST CEDEX,,VILLE DE LANDERNEAU,830100.54
appeloffre@labocea.fr,GIP LABOCEA,FRA,PLOUFRAGAN,,CONCARNEAU CORNOUAILLE AGGLOMERATION,400000
appeloffre@sallv.fr,LANGUEDOC LOZERE VIANDE,FRA,Antrenas,,MarketPlace Occitanie Centrale d'achat alimentaire,66429008.52
APPELOFFRE@SALLV.FR,LANGUEDOC LOZERE VIANDE,FRA,Antrenas,,CCAS de Clermont-Ferrand,1200000
appels.offres@socopa.fr,SOCOPA,FRA,QUIMPERLE,,Assistance publique - hôpitaux de Paris ,14237975
aprocomimpex@yahoo.com,APRO-COM-IMPEX S.R.L.,ROU,Slatina,,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,3360542.95
arcoirisayora@hotmail.com,ARCO IRIS AYORA SL,ESP,Ayora,,Rectorado de la Universidad Miguel Hernández de Elche,0.09
arimee3@hotmail.com,Osaühing Arimee,EST, Pärnu linn,,Sihtasutus Jõulumäe Tervisespordikeskus,750000.00
arrobabaeza@hotmail.com,ARROBA BAEZA, S.L.,ESP,Baeza,,Presidencia de la Diputación Provincial de Jaén,33714
art@centraltechsupplies.ie,Central Technology Supplies.ie,IE,Dublin,http://info@centraltechsupplies.ie,Louth and Meath Education & Training Board,500000.0
artobakeries@gmail.com,D. L. ARTO BAKERIES LTD,CYP,Limassol,https://www.eprocurement.gov.cy/epps,Δήμος Λεμεσού(μέχρι 30/6/2024),207193
aruns.olseika@kgs.lv,SIA "Kurzemes Gaļsaimnieks",LVA,Virgas pag.,,Dienvidkurzemes novada pašvaldība,449500.00
asa.campbell@arlafoods.com,Arla Foods AB,SWE,SOLNA,,Enköpings kommun,9600000
asker.blomster@interflora.no,ASKER BLOMSTER AS,NOR,Asker,,Asker kommune,10000000
association.cela@gmail.com,Collectif d'Éleveurs Alpins,FRA,Seyne,,Département des Alpes de Haute Provence,
athiou@lucien-allonne.com,ETS LUCIEN,FRA,ALLONNE
,,Economat des Armées,
aude@camva.fr,Coopérative Artisanale des Métiers de la Viande de l'Aude,FRA,Carcassonne,,MarketPlace Occitanie Centrale d'achat alimentaire,66429008.52
audrey.sherry@lyreco.com,Lyreco,IE,Dublin, D24 FC6K,http://www.lyreco.ie,Louth and Meath Education & Training Board ,0
av.martinez.boris@orange.fr,SAVEURS DES CEVENNES,FRA,Ales,,CHAC Alès-Cévennes,
b2b@printshop.hr,Printshop d.o.o.,HR,Zadar,,Hrvatska akademska i istrazivacka mreza - Carnet,2349754.0
baby.business10@yahoo.com,Baby Business SRL,RO,Odorheiu Secuiesc,www.baby-business.ro,Spitalul Judetean Satu Mare,21736.0
bacovsky@twibbt.cz,twibbit spol. s r.o.,CZE,Lysice,https://twibbit.cz,Institut klinické a experimentální medicíny,3900000
bbyrne@clearydoyle.com,Cleary and  Doyle Construction Ltd,IRL,Wexford,www.clearydoyle.com,Westmeath County Council,
bd@hjmartin.co.uk,HandJ Martin Limited,IRL,Dublin,www.hjmartin.ie,Louth and Meath Education and Training Board 1384,
b.durandet@passionfroid.fr,PASSIONFROID_OUEST,FRA,SAINT JACQUES DE LA LANCE,,VILLE DE LANDERNEAU,830100.54
Beatrice.selo@groupe-fb.com,FRANSBONHOMME,FRA,MARGENCEL,,Ville d'Evian (74),477000
benoitastoul@viandes-occitanes.com,VIANDES OCCITANES,FRA,Montauban,,MarketPlace Occitanie Centrale d'achat alimentaire,66429008.52
benoitastoul@viandes-occitanes.fr,VIANDES OCCITANES,FRA,Montauban,,DEPARTEMENT DE TARN ET GARONNE,420000
benoit.morin@comptoirdufrais.fr,SAS LE COMPTOIR DU FRAIS,FRA,Verneuil en Halatte,,Caisse des écoles  Paris 10ème,1400000
beoglossbo3@gmail.com,lantbrukare,SE,nossebro,,Boras Djurpark AB,2400000.0
bernard.cial@iean-floch.com,SAS BERNARD - GROUPE JEAN FLOC'H
,FRA,LOCMINE CEDEX,, CA QUIMPER BRETAGNE OCCIDENTALE (QBO),
bernard.cial@jean-floch.com,SOCIETE BERNARD,FRA,MOREAC,,REGION BRETAGNE
,11971617
Bernard@insa-software.com,INSA Investment Software AG,CHE,Wallisellen,https://insa-software.com/,HRVATSKA AKADEMSKA I ISTRAŽIVAČKA MREŽA CARNet,268410
bert@feldts.se,Feldts Fisk & Skaldjur AB,SE,Kungshamn,,Angelholms kommun,23200000.0
bertrand.monteil@emc2.coop,SAS LE MARVILLOIS,FRA,MONTMEDY,,GROUPEMENT DE COMMANDES LYCEE HENRI POINCARE,2647016
bestbranddistribution@gmail.com,BOWEL PROCESSING S.A.,ROU,Constanta,https://www.bestbranddistribution.ro,MINISTERUL APARARII - U.M.  02192,5450708.8
bestellingen@markey.be,Markey Vleeshandel,BE,Langemark,www.markey.be,vzw Gezondheidszorg 'Bermhertigheid Jesu',148230.1
bf-oks@bf-oks.dk,BF-OKS A/S,DNK,Hesselager,,Københavns Kommune - Sundheds- og Omsorgsforvaltningen,14000000
bgargan@fitzsci.ie,Fitz Scientific,IRL,Drogheda,www.fitzsci.ie,Meath County Council,125000
bianca.popescu07@yahoo.com,A.S.F. ASOCIATIA ARTOSNICOSANT,ROU,Craiova,,SPITALUL CLINIC DE NEUROPSIHIATRIE CRAIOVA,604160
bidfood@bidfood.cz,Bidfood Czech Republic s.r.o.,CZE,Kralupy nad Vltavou - Mikovice,,Všeobecná fakultní nemocnice v Praze,388950
biliana.mes@abv.bg,БИЛЯНА-МЕС ЕООД,BGR,с. Българско Сливово,,ОБЩИНА СВИЩОВ,183966.30
birgitta@stensakra.se,Stensakra Charkuteri AB,SE,Vetlanda,,VETLANDA KOMMUN,2600000.0
birou@lactatebradet.ro,BRADET,ROU,Bradulet,https://www.lactatebradet.ro,Comitetul Olimpic si Sportiv Roman,2608826.11
BIURO@4ANIMALS.PL,4ANIMALS LEOPOLD MARTIN,POL,Suchy Las,,Miasto Poznań Ogród Zoologiczny,1160355
biuro@bagatela-figurski.pl,Bagatela Patryk Figurski,POL,Grudziądz,,Regionalny Szpital Specjalistyczny im. dr Władysława Biegańskiego,1167191.42
biuro@farmsystem.pl,"FARMSYSTEM" ŻYTO LIDIA wspólnik spółki cywilnej,POL,Bydgoszcz,,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,124798.15
biuro@fhmarkus.pl,F.H. Markus,POL,Jaworzno,,SZKOŁA POLICJI W KATOWICACH,707189.7
biuro@kabanos.olsztyn.pl,Firma Dystrybucyjna Kabanos K. Szepioła, S. Stefański Spółka Jawna,POL,Olsztyn,,AKADEMIA POLICJI W SZCZYTNIE,1266000
biuro@kbsmonki.pl,Przedsiębiorstwo Przetwórstwa Mięsnego "KBS" Sp. z o.o.,POL,Mońki,,28 Wojskowy Oddział Gospodarczy,2725221
biuro@klar.com.pl,Klar Mrożonki Sp. z o.o.,POL,Bydgoszcz,,Wojewódzki Szpital Zespolony im. L. Rydygiera w Toruniu
,738099
biuro@lipro.pl,LIPRO Roman Lipowicz,POL,Żnin,,4 Wojskowy Oddział Gospodarczy  ,302095.55
biuro@mamba.com.pl,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE "MAMBA" SPÓŁKA JAWNA ZDZISŁAW I WALDEMAR MROCZKOWSKI ,POL,Skaryszew,http://www.mamba.com.pl/,41 Baza Lotnictwa Szkolnego,5444468
BIURO@MAMBA.COM.PL,P.P.H.U. MAMBA SPÓŁKA JAWNA ZIW MROCZKOWSKI ,POL,Maków,,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,3043194
biuro@marica.pl,Marica Sp. z o.o. sp. k. ,POL, Bielsko-Biała ,,Śląskie Centrum Reumatologii im. gen. Jerzego Ziętka w Ustroniu Sp. z o.o.,142348
biuro.odebralski@o2.pl,Przedsiębiorstwo Handlowo Usługowe ODEBRALSCY Marcin Odebralski
,POL, Wałbrzych,,UNIWERSYTECKI SZPITAL KLINICZNY IM JANA MIKULICZA - RADECKIEGO WE WROCŁAWIU,1118932.5
biuro.oslizlok@gmail.com,PPHU ZAKŁAD MASARSKI S.C. Stanisław, Henryka Ośliźlok,POL,Skrzyszów,,4 Wojskowy Oddział Gospodarczy  ,2735733
biuro@sobieraj.info.pl,Zakład Przetwórstwa Mięsnego Krzysztof Sobieraj,POL,Krzeszyce,,45 Wojskowy Oddział Gospodarczy,9338385
biuro@supmies.pl,Skup, Ubój, Przetwórstwo Mięsa Supmięs Kalinowski & Kalinowska Spółka Jawna,POL,Babiak,http://www.supmies.pl/,Areszt Śledczy w Warszawie-Białołęce,1760497
biuro@zm.jur-gast.pl,Przedsiębiorstwo Handlu Zagranicznego "JUR-GAST",POL,Wisła,,Śląskie Centrum reumatologii, Ortopedii i Rehabilitacji w Ustroniu Sp. z o.o.,380759.5
biuro@zmlesniak.pl,Zakłady Mięsne Lesniak,POL,Nowy Sącz,,ZAKŁAD KARNY W TARNOWIE,506071.4
biuro@zmniedzwiedz.pl,Rzeznictwo i Wedliniarstwo Sprzedaz Hurtowa,PL,Kalisz Pomorski,,Zakad Karny w Czarnem,1421123.3
biuro@zmzemat.pl,ZEMAT Sp. z o.o.,POL,Wohyń,,Centrum Szkolenia Policji w Legionowie,2281358.44
biuro@zpm-nowakowski.pl,Zakład Przetwórstwa Mięsnego NOWAKOWSKI Sp. z o.o.,POL,Sławno, Dąbrowa 6,https://zpm-nowakowski.pl/,25. Wojskowy Oddział Gospodarczy w Białymstoku.,7036104000
biuro@zpmszarek.com.pl,ZAKŁAD PRZETWÓRSTWA MIĘSNEGO „SZAREK” ANDRZEJ SZAREK,POL,JAROSŁAW,,Bieszczadzki Oddział Straży Granicznej,146677
biuro@zpmzagloba.pl,Zakład Przetwórstwa Mięsnego ZAGŁOBA z. Łaguna i Wspólnicy, spółka jawna,POL,Grajewo,http://zpmzagloba.pl/,25. Wojskowy Oddział Gospodarczy w Białymstoku.,19996588
biuro@zrdkarczew.pl,Piwowarczyk Zakład Rozbioru Drobiu Karczew Jacek Piwowarczyk ,POL,Karczew,https://zrdpiwowarczyk.pl/,Zespół Żłobków m. st. Warszawy,1523646
bivenaeood@gmail.com,БИВЕНА ЕООД,BGR,гр. Добрич,,ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ДЪРЖАВНО ЛОВНО СТОПАНСТВО "ЧЕРНИ ЛОМ"-ПОПОВО,10725.00
bjorn.larsson@swhorto.se,Weibulls Horto AB,SWE,Hammenhög,,Serviceförvaltningen (SEF),
blahutova@madegroup.cz,MADE GROUP, a.s.,CZE,Praha - Čakovice,,České vysoké učení technické v Praze,24000000
blaspc@hotmail.com,BLAS PEÑA, S.L.,ESP,HINOJEDO,,Sociedad Regional Cántabra de Promoción Turística S.A. CANTUR S.A.,108686.66
blazejbb@op.pl,P.P.H. "Błażej" Błażej Firganek,POL,Bielsko-Biała,,Śląskie Centrum reumatologii, Ortopedii i Rehabilitacji w Ustroniu Sp. z o.o.,380759.5
blecovi_ltd@abv.bg,  ,BG,,,Obshtina Karnobat,780000.0
blugel@wp.pl,P.H.U. Bluget Angelika Uchanska,PL,Wrocaw,,Akademia Wojsk Ladowych imienia generaa Tadeusza Kosciuszki,2839501.78
boca_dacian@yahoo.com,ACVILA,RO,Oravita,www.e-licitatie.ro,Ministerul Apararii - Unitatea Militara nr. 02558 Timisoara,760406.28
bogdan.asan@lactag.ro,DISTRIBUTIE PE GUSTATE,RO,Carcea,www.distributiepegustate.ro,Spitalul Clinic de Pneumoftiziologie Victor Babes Craiova,2771950.0
bok1@smakgorno.pl,Zakład Mięsny SMAK-GÓRNO sp. z o.o.,POL,Górno,,32 Wojskowy Oddział Gospodarczy w Zamościu,12555490.5
bonotto@pec.palancolati.com,BONOTTO SRL,ITA,SALGAREDA (TV),www.palancolati.com,Consorzio di Bonifica di Piacenza,2685360.05
boris.basaia@hotmail.fr,EARL POULET DU TERREFORT,FRA,Gaillac-Toulza,,MarketPlace Occitanie Centrale d'achat alimentaire,66429008.52
boris.tillot@estiveau.fr,ESTIVEAU,FRA,Mazeres,,DEPARTEMENT DE TARN ET GARONNE,420000
botanica@interflora.no,BOTANICA BLOMSTER A/S,NOR,Bergen,,Høgskulen på Vestlandet,2000000
bradem75@yahoo.com,PROVISION RETAIL PROD,ROU,Slatina,,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,3360542.95
brageirac.fleuri@orange.fr,BRAGEIRAC FLEURI,FRA,BERGERAC,,Communauté urbaine du Grand reims,
Brageirac.fleuri@orange.fr,BRAGEIRAC FLEURI,FRA,BERGERAC,,Ville d'Evian (74),477000
bratpek@zoznam.sk,Pekáreň PODHORIE, s. r. o.,SVK,Krásna Ves,,Stredná priemyselná škola, Obrancov mieru 343/1, Dubnica nad Váhom,
braxmair.andras@bacskatej.hu,Bácskatej Tej és Húsforgalmazó Nagy és Kiskereskedés Korlátolt Felelősségű Társaság,HUN,Baja,,Bács-Kiskun Vármegyei Oktatókórház,150025900.00
bretagne-pays-de-loire@safege.com,SAFEGE SAS,FRA,SAINT-GREGOIRE Cedex,,Concarneau Cornouaille Agglomération,1454000
bretagne@urbanis.fr,SAS URBANIS (Mandataire),FRA,Quimper,,Concarneau Cornouaille Agglomération,599625
brian.debono@jardinland.com.mt,Agriproducts Ltd,MLT,MANIKATA,MELLIEHA,,Sectoral Procurement Directorate,
brian@peopleandprocess.ie,People & Process Ltd.,IE,Dublin,http://https://www.peopleandprocess.ie/,Louth and Meath Education & Training Board ,3000000.0
brigitte.cadeddu@ipsen.com,IPSEN PHARMA - lot 72,FRA,Boulogne Billancourt,,CHU de Lille - ES du GHT LMFI,3193780.82
