hotel,hotelLabel,countryLabel,coord,website
http://www.wikidata.org/entity/Q1416672,Hotel National,Germany,Point(10.895805555 49.898888888),https://www.hotel-national-bamberg.de/
http://www.wikidata.org/entity/Q1420792,Hotel Tryp Habana Libre,Cuba,Point(-82.382778 23.139167),http://www.solmeliacuba.com/cuba-hotels/hotel-tryp-habanalibre
http://www.wikidata.org/entity/Q1420792,Hotel Tryp Habana Libre,Cuba,Point(-82.3826 23.13932),http://www.solmeliacuba.com/cuba-hotels/hotel-tryp-habanalibre
http://www.wikidata.org/entity/Q1426968,Flamingo Las Vegas,United States,Point(-115.170556 36.116111),https://www.caesars.com/flamingo-las-vegas
http://www.wikidata.org/entity/Q1435790,Fontainebleau Miami Beach,United States,Point(-80.1227119 25.8178372),https://fontainebleau.com/
http://www.wikidata.org/entity/Q1436845,Cosmopolitan of Las Vegas,United States,Point(-115.17605 36.1098),https://www.cosmopolitanlasvegas.com/
http://www.wikidata.org/entity/Q1436845,Cosmopolitan of Las Vegas,United States,Point(-115.17388 36.10977),https://www.cosmopolitanlasvegas.com/
http://www.wikidata.org/entity/Q1440000,Four Seasons Hotel Miami,United States,Point(-80.19197 25.75925),http://www.fourseasons.com/miami/
http://www.wikidata.org/entity/Q1440000,Four Seasons Hotel Miami,United States,Point(-80.19197 25.75925),https://www.fourseasons.com/miami/
http://www.wikidata.org/entity/Q1440691,Waldsee Hunting Castle,Germany,Point(13.2958 53.3074),
http://www.wikidata.org/entity/Q1444161,Grand Hotel,Sweden,Point(13.1890464 55.70374526),http://www.grandilund.se
http://www.wikidata.org/entity/Q1444973,Frankfurter Hof,Germany,Point(8.67556 50.11),
http://www.wikidata.org/entity/Q1462236,Hotel Mohren,Germany,Point(10.2785 47.4078),https://www.hotel-mohren.de/
http://www.wikidata.org/entity/Q1464273,Q1464273,Germany,Point(12.3716 51.3063),
http://www.wikidata.org/entity/Q1470310,Weißes Rössl,Austria,Point(13.44812 47.73738),https://www.weissesroessl.at/
http://www.wikidata.org/entity/Q1479725,Hotel zur Post,Germany,Point(12.6772 48.2266),
http://www.wikidata.org/entity/Q1481002,The Ritz London,United Kingdom,Point(-0.141388888 51.507222222),http://www.theritzlondon.com/
http://www.wikidata.org/entity/Q1481002,The Ritz London,Kingdom of England,Point(-0.141388888 51.507222222),http://www.theritzlondon.com/
http://www.wikidata.org/entity/Q1493823,Palais Bingen,Germany,Point(7.89397 49.96985),https://www.palaisbingen.de/
http://www.wikidata.org/entity/Q1494054,Kameha Grand Bonn,Germany,Point(7.152265 50.717776),
http://www.wikidata.org/entity/Q1494624,Q1494624,Austria,Point(16.3783 48.2056),
http://www.wikidata.org/entity/Q1495468,Q1495468,Germany,Point(9.06835 48.768),
http://www.wikidata.org/entity/Q1498152,Hamelin Prison,Germany,Point(9.35415 52.1008),
http://www.wikidata.org/entity/Q1498851,Geisel Privathotels,Germany,,https://www.geisel-privathotels.de/
http://www.wikidata.org/entity/Q1499354,Schlosshotel (Heidelberg),Germany,Point(8.71959 49.413),
http://www.wikidata.org/entity/Q1499761,Interalpen-Hotel Tyrol,Austria,Point(11.1242 47.33),https://www.interalpen.com/
http://www.wikidata.org/entity/Q1499761,Interalpen-Hotel Tyrol,Austria,Point(11.123544 47.331047),https://www.interalpen.com/
http://www.wikidata.org/entity/Q1502238,"Hotel Mercure, Potsdam",Germany,Point(13.0599 52.3938),https://www.mercure-potsdam.com/
http://www.wikidata.org/entity/Q1502471,Q1502471,Switzerland,Point(7.537528 47.206795),https://www.kreuz-solothurn.ch/
http://www.wikidata.org/entity/Q1504486,Waldhaus Flims,Switzerland,Point(9.28439 46.82722),https://waldhaus-flims.ch/en
http://www.wikidata.org/entity/Q1508043,Val Sinestra,Switzerland,Point(10.336611111 46.851111111),
http://www.wikidata.org/entity/Q1509381,Palasthotel Weber,Germany,Point(13.7325 51.0515),
http://www.wikidata.org/entity/Q1515102,Maritim Hotel Plaza Tirana,Albania,Point(19.82166667 41.3275),http://www.plazatirana.com/location/are-you-coming-by-car/
http://www.wikidata.org/entity/Q1515412,Belmond Reid's Palace,Portugal,Point(-16.924029 32.640521),http://www.reidspalace.com/
http://www.wikidata.org/entity/Q1515595,Hôtel Lutetia,France,Point(2.327203097 48.85135431),https://www.hotellutetia.com/
http://www.wikidata.org/entity/Q1521615,Mont Cervin Palace,Switzerland,Point(7.74701 46.02098),
http://www.wikidata.org/entity/Q1521615,Mont Cervin Palace,Switzerland,Point(7.747475 46.021083),
http://www.wikidata.org/entity/Q1523110,Q1523110,Namibia,Point(13.03694444 -19.99194444),http://www.nwr.com.na
http://www.wikidata.org/entity/Q1526879,Jakobsbergerhof,Germany,Point(7.592025 50.256658),https://www.jakobsberg.de/
http://www.wikidata.org/entity/Q1527557,Arabia Felix Hotel,Yemen,Point(44.2076158 15.3556843),http://arabiafelix.free.fr/
http://www.wikidata.org/entity/Q1529428,Hotel Arminius,Germany,Point(8.74809 52.0838),
http://www.wikidata.org/entity/Q1529428,Hotel Arminius,Germany,Point(8.74809 52.08386),
http://www.wikidata.org/entity/Q1530960,Gleneagles Hotel,United Kingdom,Point(-3.751376991 56.283064413),http://www.gleneagles.com/
http://www.wikidata.org/entity/Q1530960,Gleneagles Hotel,Kingdom of Scotland,Point(-3.751376991 56.283064413),http://www.gleneagles.com/
http://www.wikidata.org/entity/Q1533760,Godesberger Hof,Germany,Point(7.17211 50.6886),
http://www.wikidata.org/entity/Q1535018,Golden Nugget Las Vegas Hotel & Casino,United States,Point(-115.1448 36.1706),http://www.goldennugget.com/
http://www.wikidata.org/entity/Q1535365,Kurhaus of Scheveningen,Netherlands,Point(4.28208 52.11298),
http://www.wikidata.org/entity/Q1535365,Kurhaus of Scheveningen,Netherlands,Point(4.281667 52.113333),
http://www.wikidata.org/entity/Q1535845,Riviera Hotel and Casino,United States,Point(-115.162 36.135),http://www.rivierahotel.com
http://www.wikidata.org/entity/Q1536160,Grand Hotel Wien,Austria,Point(16.37206 48.202058),http://www.grandhotelwien.com/
http://www.wikidata.org/entity/Q1538837,Raffles Hotel,Singapore,Point(103.854483 1.294889),https://www.raffles.com/singapore/
http://www.wikidata.org/entity/Q1542586,Grand Hotel Warsaw,Poland,Point(21.01850867 52.22761541),
http://www.wikidata.org/entity/Q1542588,Grand Hotel,Norway,Point(10.739572 59.91373),https://grand.no
http://www.wikidata.org/entity/Q1542590,Hotel Excelsior,Italy,Point(12.36646 45.40388),https://www.hotelexcelsiorvenezia.com/
http://www.wikidata.org/entity/Q1542593,Grand Hotel Kronenhof,Switzerland,Point(9.90133 46.49361),
http://www.wikidata.org/entity/Q1542593,Grand Hotel Kronenhof,Switzerland,Point(9.901388888 46.493611111),
http://www.wikidata.org/entity/Q1542595,Grand Hotel Russischer Hof,Germany,Point(11.3248 50.9812),https://www.russischerhof-weimar.de
http://www.wikidata.org/entity/Q1542599,Grand Hotel Wiesler,Austria,Point(15.4345 47.0705),
http://www.wikidata.org/entity/Q1542600,Grand Hotel,Poland,Point(18.56833333 54.4475),http://sofitel.com
http://www.wikidata.org/entity/Q1542607,Grand Hotel des Bains,Italy,Point(12.374744444 45.413402777),http://des-bains.com/
http://www.wikidata.org/entity/Q1542609,Grand Hotel Europe,Russia,Point(30.330355 59.935661),http://www.grandhoteleurope.com/web/stpetersburg/grand_hotel_europe.jsp
http://www.wikidata.org/entity/Q1542956,Grande Hotel do Luso,Portugal,Point(-8.377963 40.384616),
http://www.wikidata.org/entity/Q1542957,Grande Hotel do Porto,Portugal,Point(-8.606965 41.148072),
http://www.wikidata.org/entity/Q19104,Taj Mahal Palace Hotel,India,Point(72.83317 18.92164),https://taj.tajhotels.com/en-in/taj-mahal-palace-mumbai/
http://www.wikidata.org/entity/Q23265,Hôtel des 3 Collèges,France,Point(2.34230556 48.84797222),https://www.3colleges.fr
http://www.wikidata.org/entity/Q23274,Castille Paris,France,Point(2.3268049 48.8682694),http://www.castille.com
http://www.wikidata.org/entity/Q23274,Castille Paris,France,Point(2.3268049 48.8682694),https://collezione.starhotels.com/en/our-hotels/castille-paris/
http://www.wikidata.org/entity/Q23283,L'Hôtel,France,Point(2.335238699 48.85632497),http://www.l-hotel.com
http://www.wikidata.org/entity/Q23804,Broadway Mansions,People's Republic of China,Point(121.485483 31.246338),
http://www.wikidata.org/entity/Q23812,Park Hotel,People's Republic of China,Point(121.467083333 31.235555555),
http://www.wikidata.org/entity/Q25007,Bellagio Hotel & Casino,United States,Point(-115.17534 36.11201),https://bellagio.mgmresorts.com/en.html
http://www.wikidata.org/entity/Q29272,Ryugyong Hotel,North Korea,Point(125.730833333 39.036666666),
http://www.wikidata.org/entity/Q46595,Oguzkent Hotel,Turkmenistan,Point(58.37194444 37.92944444),http://www.sofitel.com/gb/hotel-8213-sofitel-oguzkent-ashgabat/index.shtml
http://www.wikidata.org/entity/Q62939,Burj al-Arab,United Arab Emirates,Point(55.185277777 25.141388888),https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah
http://www.wikidata.org/entity/Q116355,Nobu Hotel Warsaw,Poland,Point(21.00805556 52.22305556),https://warsaw.nobuhotels.com/
http://www.wikidata.org/entity/Q116355,Nobu Hotel Warsaw,Poland,Point(21.0081537 52.2231298),https://warsaw.nobuhotels.com/
http://www.wikidata.org/entity/Q125919,Ringberghaus,Germany,Point(10.72277778 50.61666667),https://www.ringberghotel.de
http://www.wikidata.org/entity/Q129170,The Rock Hotel,United Kingdom,Point(-5.35 36.1319),
http://www.wikidata.org/entity/Q153847,Schloss Bensberg,Germany,Point(7.16222 50.9669),http://www.schlossbensberg.com/en/hotel-koeln
http://www.wikidata.org/entity/Q155443,Hospital de los Reyes Católicos,Spain,Point(-8.545833333 42.881388888),
http://www.wikidata.org/entity/Q166484,Christopher Hotel,Haiti,Point(-72.3121 18.5391),
http://www.wikidata.org/entity/Q195423,Tokyo Disneyland Hotel,Japan,Point(139.878159 35.6368361),https://www.tokyodisneyresort.jp/en/hotel/dh.html
http://www.wikidata.org/entity/Q195423,Tokyo Disneyland Hotel,Japan,Point(139.87825 35.636861),https://www.tokyodisneyresort.jp/en/hotel/dh.html
http://www.wikidata.org/entity/Q195423,Tokyo Disneyland Hotel,Japan,Point(139.878159 35.6368361),https://www.tokyodisneyresort.jp/hotel/tdh/
http://www.wikidata.org/entity/Q195423,Tokyo Disneyland Hotel,Japan,Point(139.87825 35.636861),https://www.tokyodisneyresort.jp/hotel/tdh/
http://www.wikidata.org/entity/Q195428,Disney Ambassador Hotel,Japan,Point(139.888 35.633),http://www.disneyhotels.jp/en/dah/
http://www.wikidata.org/entity/Q195432,Tokyo DisneySea Hotel MiraCosta,Japan,Point(139.8876269 35.6273756),http://www.disneyhotels.jp/en/dhm/
http://www.wikidata.org/entity/Q195432,Tokyo DisneySea Hotel MiraCosta,Japan,Point(139.888 35.627),http://www.disneyhotels.jp/en/dhm/
http://www.wikidata.org/entity/Q202599,Stardust Resort and Casino,United States,Point(-115.165833333 36.133611111),http://www.stardustlv.com/
http://www.wikidata.org/entity/Q203756,Hotel Elephant,Germany,Point(11.33027778 50.97888889),
http://www.wikidata.org/entity/Q203756,Hotel Elephant,Germany,Point(11.33023 50.97904),
http://www.wikidata.org/entity/Q217708,Hôtel George-V,France,Point(2.300724647 48.868789967),https://www.fourseasons.com/paris/
http://www.wikidata.org/entity/Q219463,Hotel Polana,Mozambique,Point(32.597245 -25.969048),
http://www.wikidata.org/entity/Q219463,Hotel Polana,Mozambique,Point(32.597456 -25.969194),
http://www.wikidata.org/entity/Q220141,Waldorf Astoria Berlin,Germany,Point(13.332972222 52.505722222),https://www.hilton.com/en/hotels/berwawa-waldorf-astoria-berlin/
http://www.wikidata.org/entity/Q220141,Waldorf Astoria Berlin,Germany,Point(13.333392 52.505627),https://www.hilton.com/en/hotels/berwawa-waldorf-astoria-berlin/
http://www.wikidata.org/entity/Q228979,Q228979,Germany,Point(8.52681 49.0038),
http://www.wikidata.org/entity/Q229526,Zum Schwan,Germany,Point(10.170142109 51.182052439),https://zum-schwan-wanfried.de/
http://www.wikidata.org/entity/Q229591,Zum Roten Bären,Germany,Point(7.85388889 47.99305556),http://www.roter-baeren.de
http://www.wikidata.org/entity/Q240711,Hotel Chelsea,United States,Point(-73.996944444 40.744444444),https://hotelchelsea.com/
http://www.wikidata.org/entity/Q266767,"75–80 Main Street, Port Charlotte",United Kingdom,Point(-6.37986111 55.73797222),
http://www.wikidata.org/entity/Q266853,Grand Hotel des Wagons-Lits,People's Republic of China,Point(116.4072626 39.9020083),
http://www.wikidata.org/entity/Q277064,Ocean Spray Hotel,United States,Point(-80.123103393 25.813671076),
http://www.wikidata.org/entity/Q278380,Fontainebleau Las Vegas,United States,Point(-115.158889 36.1375),https://www.fontainebleaulasvegas.com/
http://www.wikidata.org/entity/Q279260,Hotel Sacher,Austria,Point(16.369444444 48.203888888),http://www.sacher.com/
http://www.wikidata.org/entity/Q280339,Tropicana Las Vegas,United States,Point(-115.17192 36.09968),https://web.archive.org/web/20230722204258/https://www.hilton.com/en/hotels/lasntdt-tropicana-las-vegas/
http://www.wikidata.org/entity/Q280910,Vdara,United States,Point(-115.17808 36.10943),http://www.vdara.com/
http://www.wikidata.org/entity/Q282060,"The Mayhill Hotel, Monmouth",United Kingdom,Point(-2.70524919 51.809944756),
http://www.wikidata.org/entity/Q289275,Hotel Hafnia,Faroe Islands,Point(-6.77088889 62.01),
http://www.wikidata.org/entity/Q303055,Mnawi Basha Hotel,Iraq,Point(47.8421 30.506),
http://www.wikidata.org/entity/Q306000,Abbasi Hotel,Iran,Point(51.670593 32.65152),http://www.abbasihotel.ir/
http://www.wikidata.org/entity/Q306000,Abbasi Hotel,Iran,Point(51.670277777 32.651666666),http://www.abbasihotel.ir/
http://www.wikidata.org/entity/Q317768,Schloss Elmau,Germany,Point(11.186680031 47.462075414),http://www.schloss-elmau.de/
http://www.wikidata.org/entity/Q328191,Palasthotel,Germany,Point(13.4027 52.5197),
http://www.wikidata.org/entity/Q359243,Hotel Admiralspalast in Zabrze,Poland,Point(18.78805556 50.30605556),
http://www.wikidata.org/entity/Q359924,Golden Gate Hotel and Casino,United States,Point(-115.146 36.1714),http://www.goldengatecasino.com/
http://www.wikidata.org/entity/Q366005,Adolphus Hotel,United States,Point(-96.799658 32.779981),http://www.adolphus.com
http://www.wikidata.org/entity/Q371058,Westin Bonaventure Hotel,United States,Point(-118.25646 34.05279),https://bonaventurehotel.com/
http://www.wikidata.org/entity/Q377792,Casapueblo,Uruguay,Point(-55.044906 -34.908869),http://casapueblo.com.uy/
http://www.wikidata.org/entity/Q377792,Casapueblo,Uruguay,Point(-55.044906 -34.908869),https://www.clubhotelcasapueblo.com/
http://www.wikidata.org/entity/Q377875,Peace Hotel,People's Republic of China,Point(121.4851 31.2411),http://www.fairmont.com/peacehotel
http://www.wikidata.org/entity/Q390013,Many Glacier Hotel,United States,Point(-113.657802 48.796758),http://www.glaciernationalparklodges.com/lodging/many-glacier-hotel/
http://www.wikidata.org/entity/Q394749,Ai-Ais Hot Springs,Namibia,Point(17.48333 -27.92861),http://www.nwr.com.na
http://www.wikidata.org/entity/Q401098,Gevora Hotel,United Arab Emirates,Point(55.276812 25.21252),https://www.gevorahotels.com/en/
http://www.wikidata.org/entity/Q401098,Gevora Hotel,United Arab Emirates,Point(55.277222222 25.2125),https://www.gevorahotels.com/en/
http://www.wikidata.org/entity/Q426839,Gran Hotel Puente Colgante,Spain,Point(-3.017564 43.322057),http://www.granhotelpuentecolgante.com/
http://www.wikidata.org/entity/Q428429,Metropol Palace Hotel Belgrade,Serbia,Point(20.473889 44.806667),http://www.metropolpalace.com
http://www.wikidata.org/entity/Q431326,Center of New Industries and Technologies,France,Point(2.23947222 48.89277778),https://parisladefense.com/fr/decouvrir/tours/cnit-centre-des-nouvelles-industries-et-technologies
http://www.wikidata.org/entity/Q437610,Royal Hawaiian Hotel,United States,Point(-157.829 21.2774),https://www.royal-hawaiian.com/
http://www.wikidata.org/entity/Q439196,Altes Forsthaus,Germany,Point(10.6108 51.7294),
http://www.wikidata.org/entity/Q439225,Altes Hafenamt Hamburg,Germany,Point(9.99557222 53.54152778),
http://www.wikidata.org/entity/Q448626,Alvear Palace Hotel,Argentina,Point(-58.38880556 -34.58769444),http://www.alvearpalace.com
http://www.wikidata.org/entity/Q466979,American Radiator Building,United States,Point(-73.983777777 40.752805555),https://bryantparkhotel.com/
http://www.wikidata.org/entity/Q470921,Hotel Nassauer Hof,Germany,Point(8.24367 50.08472),http://www.nassauer-hof.de/en/home
http://www.wikidata.org/entity/Q470921,Hotel Nassauer Hof,Germany,Point(8.2438 50.085),http://www.nassauer-hof.de/en/home
http://www.wikidata.org/entity/Q473553,The Greenbrier,United States,Point(-80.3083 37.7854),http://www.greenbrier.com/
http://www.wikidata.org/entity/Q478198,InterContinental Amstel Amsterdam,Netherlands,Point(4.9051643 52.3600068),http://amsterdam.intercontinental.com
http://www.wikidata.org/entity/Q478198,InterContinental Amstel Amsterdam,Netherlands,Point(4.905465 52.360043),http://amsterdam.intercontinental.com
http://www.wikidata.org/entity/Q478198,InterContinental Amstel Amsterdam,Netherlands,Point(4.90591 52.359719),http://amsterdam.intercontinental.com
http://www.wikidata.org/entity/Q478198,InterContinental Amstel Amsterdam,Netherlands,Point(4.9051643 52.3600068),https://www.ihg.com/intercontinental/hotels/gb/en/amsterdam/amsha/hoteldetail
http://www.wikidata.org/entity/Q478198,InterContinental Amstel Amsterdam,Netherlands,Point(4.905465 52.360043),https://www.ihg.com/intercontinental/hotels/gb/en/amsterdam/amsha/hoteldetail
http://www.wikidata.org/entity/Q478198,InterContinental Amstel Amsterdam,Netherlands,Point(4.90591 52.359719),https://www.ihg.com/intercontinental/hotels/gb/en/amsterdam/amsha/hoteldetail
http://www.wikidata.org/entity/Q490244,Mandarin Oriental Singapore,Singapore,Point(103.858056 1.290833),https://www.mandarinoriental.com/en/singapore/marina-bay
http://www.wikidata.org/entity/Q490244,Mandarin Oriental Singapore,Singapore,Point(103.858056 1.290833),https://www.mandarinoriental.com/zh-hk/singapore/marina-bay
http://www.wikidata.org/entity/Q510121,Schlosshotel Kronberg,Germany,Point(8.51 50.18888889),https://schlosshotel-kronberg.com/
http://www.wikidata.org/entity/Q512953,Yenidze,Germany,Point(13.726853 51.059019),
http://www.wikidata.org/entity/Q513613,Hilton Buenos Aires,Argentina,Point(-58.363611 -34.605833),http://www3.hilton.com/en/hotels/argentina/hilton-buenos-aires-BUEHIHH/index.html
http://www.wikidata.org/entity/Q520432,MotorCity Casino Hotel,United States,Point(-83.069 42.339),http://www.motorcitycasino.com/
http://www.wikidata.org/entity/Q520432,MotorCity Casino Hotel,United States,Point(-83.06718 42.33978),http://www.motorcitycasino.com/
http://www.wikidata.org/entity/Q537149,Grand-Hôtel du Cap-Ferrat,France,Point(7.33138889 43.67638889),http://www.fourseasons.com/capferrat/
http://www.wikidata.org/entity/Q537149,Grand-Hôtel du Cap-Ferrat,France,Point(7.331545 43.676834),http://www.fourseasons.com/capferrat/
http://www.wikidata.org/entity/Q545283,Bella Sky Hotel,Denmark,Point(12.5782 55.6396),http://www.acbellaskycopenhagen.dk/
http://www.wikidata.org/entity/Q546221,Trump International Hotel and Tower,United States,Point(-87.626672222 41.8891),http://www.trumpchicago.com/
http://www.wikidata.org/entity/Q548679,Marina Bay Sands,Singapore,Point(103.86 1.2825),https://www.marinabaysands.com
http://www.wikidata.org/entity/Q549678,The Westin Warsaw,Poland,Point(20.996529 52.235202),https://www.marriott.com/en-us/hotels/wawwi-the-westin-warsaw/overview/
http://www.wikidata.org/entity/Q549678,The Westin Warsaw,Poland,Point(20.996529 52.235202),https://www.westin.pl/
http://www.wikidata.org/entity/Q550379,Conrad Dubai,United Arab Emirates,Point(55.28386 25.22576),http://conradhotels3.hilton.com/en/hotels/uae/conrad-dubai-DXBCDCI/index.html
http://www.wikidata.org/entity/Q550379,Conrad Dubai,United Arab Emirates,Point(55.28413 25.22571),http://conradhotels3.hilton.com/en/hotels/uae/conrad-dubai-DXBCDCI/index.html
http://www.wikidata.org/entity/Q550379,Conrad Dubai,United Arab Emirates,Point(55.28386 25.22576),https://www.hilton.com/en/hotels/dxbcdci-conrad-dubai/
http://www.wikidata.org/entity/Q550379,Conrad Dubai,United Arab Emirates,Point(55.28413 25.22571),https://www.hilton.com/en/hotels/dxbcdci-conrad-dubai/
http://www.wikidata.org/entity/Q553923,Corinthia Hotel Khartoum,Sudan,Point(32.513611 15.606667),http://www.corinthia.com/Khartoum/home/
http://www.wikidata.org/entity/Q567458,Josun Hotels & Resorts,South Korea,,https://www.josunhotel.com/
http://www.wikidata.org/entity/Q569978,Caesars Palace,United States,Point(-115.174 36.1165),http://www.caesarspalace.com
http://www.wikidata.org/entity/Q1631062,Hotel Vier Jahreszeiten,Germany,Point(9.99165 53.55557),http://www.fairmont.com/vier-jahreszeiten-hamburg/
http://www.wikidata.org/entity/Q1631064,Zeppelinstraße 4 8,Germany,Point(13.611459 54.400858),
http://www.wikidata.org/entity/Q1631066,Hotel Waldhaus (Sils),Switzerland,Point(9.761143 46.428318),http://www.waldhaus-sils.ch/
http://www.wikidata.org/entity/Q1631066,Hotel Waldhaus (Sils),Switzerland,Point(9.761 46.42843),http://www.waldhaus-sils.ch/
http://www.wikidata.org/entity/Q1631066,Hotel Waldhaus (Sils),Switzerland,Point(9.76125 46.4283),http://www.waldhaus-sils.ch/
http://www.wikidata.org/entity/Q1631068,Hotel Waldkater,Germany,Point(11.0244 51.7375),
http://www.wikidata.org/entity/Q1631073,Hotel Zum Bär,Germany,Point(11.1416 51.7887),https://hotelzumbaer.de/
http://www.wikidata.org/entity/Q1631076,Hotel Zipser,Austria,Point(16.351652 48.210944),http://hotel-vienna.travel
http://www.wikidata.org/entity/Q1631076,Hotel Zipser,Austria,Point(16.3516 48.21109),http://hotel-vienna.travel
http://www.wikidata.org/entity/Q1631085,Q1631085,Austria,Point(16.3629 48.2145),
http://www.wikidata.org/entity/Q1631089,Bilderberg Hotel,Netherlands,Point(5.8175 51.99),
http://www.wikidata.org/entity/Q1631094,Hotel du Cap,France,Point(7.120555555 43.548055555),http://www.edenroc-hotel.fr
http://www.wikidata.org/entity/Q1631096,Hotel del Coronado,United States,Point(-117.17841667 32.68095556),https://hoteldel.com/
http://www.wikidata.org/entity/Q1631096,Hotel del Coronado,United States,Point(-117.17712 32.68114),https://hoteldel.com/
http://www.wikidata.org/entity/Q1631099,Heden Golf Hotel,Ivory Coast,Point(-3.97291 5.32911),http://hedengolfhotel.com/
http://www.wikidata.org/entity/Q1631100,Q1631100,Poland,Point(21.00777778 52.24722222),
http://www.wikidata.org/entity/Q1631109,Hotel Am Alten Strom,Germany,Point(12.0881 54.1769),https://www.hotel-am-alten-strom.de/
http://www.wikidata.org/entity/Q1637090,"South Point Hotel, Casino & Spa",United States,Point(-115.17415 36.01135),http://www.southpointcasino.com/
http://www.wikidata.org/entity/Q1643064,Hôtel Byron,Switzerland,Point(6.929787 46.404612),
http://www.wikidata.org/entity/Q1643122,Hotel de Pologne,Germany,Point(12.3734 51.3425),
http://www.wikidata.org/entity/Q1643133,Hôtel de Saxe,Germany,Point(12.373 51.3406),
