CUI,COD_INMATRICULARE,DATA_INMATRICULARE,EUID,FIRMA,STARE_FIRMA,FORMA_JURIDICA,TIP_SOCIETATE,TIP_SEDIU,TARA,JUDET,LOCALITATE,STRADA,NR,BLOC,SCARA,ETAJ,APARTAMENT,SECTOR,CONTINUARE_ADRESA,CONTACT_FIRMA,BILANTDEPUS_2018,SUBTIP_BILANT_2018,CAEN_BILANT_2018,CIFRA_AFACERI_2018,PROFIT_NET_2018,PIERDERE_NETA_2018,NR_MEDIU_SALARIATI_2018
18396103,J39/127/2006,2006-02-17,ROONRC.J39/127/2006,COOPERATIVA AGRICOLĂ APICONS VRÂNCIOAIA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Vrancea,Mărăşeşti,Str. SIRET,64,,,,,0.0,,Telefon: 0745389916; Telefon: 0; ,DA,Soc. com. sistem simplificat 4 formulare,149.0,,0.0,0.0,
18502344,J35/939/2006,2006-03-21,ROONRC.J35/939/2006,PRIMAGRO-BANAT COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Timiş,Timişoara,Str. PROCLAMAŢIA DE LA TIMIŞOARA,5,,,2,25-26,0.0,CAMERA 2,Telefon: 0729807609; Telefon: 0730270422; Adresa de e-mail: primagrobanat@yahoo.com; Locaţie WEB: www.primagro.ro; ,NU,,,,,,
18520537,J10/334/2006,2006-03-24,ROONRC.J10/334/2006,APICULTORUL COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Buzău,Buzău,Str. MAREŞAL AVERESCU,,2B,,4,18,0.0,,Telefon: 0766477189; Telefon: 0238431471; ,DA,Soc. com. sistem simplificat 4 formulare,149.0,0.0,0.0,1637.0,0.0
18520600,J10/333/2006,2006-03-24,ROONRC.J10/333/2006,MIORIŢA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Buzău,Vipereşti,,,,,,,0.0,,Telefon: 0238429827; ,NU,,,,,,
18531757,J30/303/2006,2006-03-29,ROONRC.J30/303/2006,LOTUS COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Satu Mare,Halmeu,Str. PETOFI,7,,,,,0.0,,Telefon: 0740815796; Telefon: 0740815796; ,DA,Soc.cu bilant prescurtat(scurt),4631.0,493.0,0.0,0.0,
18618579,J30/420/2006,2006-04-26,ROONRC.J30/420/2006,BETA PIRMAR COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Satu Mare,Santău,Str. DOROBANŢILOR,1,,,,,0.0,,Telefon: 0744600935; Fax: 0261/825980; Telefon: 0261825370; Fax: 0261825570; ,DA,Soc. com. sistem simplificat 4 formulare,161.0,-9182.0,0.0,9424.0,1.0
18989496,J02/1614/2006,2006-09-04,ROONRC.J02/1614/2006,COOPERATIVA AGRICOLA AGRO GRUP MULTISCOP,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Arad,Semlac,,688,,,,,0.0,,Telefon: 0740933072; ,DA,Soc.cu bilant prescurtat(scurt),111.0,0.0,0.0,0.0,
19128745,J15/1121/2006,2006-10-23,ROONRC.J15/1121/2006,COOPERATIVA AGRICOLĂ  FAMILIA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Brezoaele,"COM. BREZOAIELE, STR. PRINCIPALĂ",796,,,,,0.0,,Telefon: 0245; ,NU,,,,,,
19237025,J19/1051/2006,2006-11-24,ROONRC.J19/1051/2006,BIOLACT COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Harghita,Mereşti,,503,,,,,0.0,,Telefon: 0729/810975; ,DA,Soc. com. sistem simplificat 4 formulare,141.0,,0.0,9764.0,1.0
19737144,J15/1341/2006,2006-12-13,ROONRC.J15/1341/2006,COOPERATIVA AGRICOLĂ - POMICULTORUL DÂMBOVIŢEAN COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Drăgăeşti Ungureni,,72,,,,,,,Telefon: 0744382170; Telefon: 0766686738; ,DA,Soc. com. sistem simplificat 4 formulare,125.0,1300808.0,352553.0,0.0,1.0
19753409,J28/916/2006,2006-12-14,ROONRC.J28/916/2006,APICULTORUL OLTEAN COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Olt,Caracal,Str. CRAIOVEI,160 A,,,,,0.0,,Telefon: 0726544422; Telefon: 0766675369; ,DA,Soc. com. sistem simplificat 4 formulare,149.0,,0.0,14678.0,
20167985,J15/1397/2006,2006-12-21,ROONRC.J15/1397/2006,COOPERATIVA AGRICOLĂ  GRUP DE PRODUCĂTORI FRUTIS VOINEŞTI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Dâmboviţa,Voineşti,,4,,,,,0.0,,Telefon: 0723365957; Telefon: 0245679325; ,DA,Soc. com. sistem simplificat 4 formulare,4631.0,274057.0,22592.0,0.0,
20799299,C34/1/2007,2007-01-23,ROONRC.C34/1/2007,BERCEANU M COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Teleorman,Conţeşti,,,,,,,0.0,,Telefon: 0766689421; Telefon: 0766689421; ,DA,Soc. com. sistem simplificat 4 formulare,150.0,,0.0,2095.0,
20781461,J15/108/2007,2007-01-24,ROONRC.J15/108/2007,GRUP DE PRODUCĂTORI PROLEG SLOBOZIA MOARĂ COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Slobozia Moara,,125B,,,,,0.0,,Telefon: 0740249858; Telefon: 0245724007; ,DA,Soc. com. sistem simplificat 4 formulare,111.0,1368093.0,346326.0,0.0,1.0
20914878,C34/2/2007,2007-01-25,ROONRC.C34/2/2007,COOPERATIVA APIS - COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Teleorman,Roşiori de Vede,Str. Rahovei,44,101,,,10,0.0,,Telefon: 0723161614; Telefon: 0727298595; ,DA,Soc. com. sistem simplificat 4 formulare,149.0,13759.0,0.0,9284.0,1.0
20820951,J28/71/2007,2007-01-26,ROONRC.J28/71/2007,LEGUME FRUCTE GIUVĂRĂŞTI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Olt,Giuvărăşti,,,,,,,0.0,,Telefon: 0249535929; ,NU,,,,,,
20986203,J33/195/2007,2007-02-06,ROONRC.J33/195/2007,CALAFINDEŞTEANA-COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Suceava,Calafindeşti,,829,,,,,0.0,,Telefon mobil: 0740533124; ,DA,Soc. com. sistem simplificat 4 formulare,150.0,,0.0,0.0,
21015772,J29/335/2007,2007-02-07,ROONRC.J29/335/2007,COOPERATIVA AGRICOLĂ SFÂNTUL AMBROZIE,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Prahova,Târgşoru Vechi,Str. MĂNĂSTIRII,2,,,,,,,Telefon: 0720066858; Telefon: 0722431412; ,NU,,,,,,
21060463,J15/246/2007,2007-02-12,ROONRC.J15/246/2007,HORTICOLA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Slobozia Moara,COM. SLOBOZIA MOARĂ,660,,,,,0.0,,,NU,,,,,,
21073927,J15/251/2007,2007-02-13,ROONRC.J15/251/2007,LEGUMICULTORUL BĂLENI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Băleni-Români,COM. BĂLENI,,,,,,0.0,,Telefon: 0245265035; Telefon: 0724265894; ,DA,Soc.cu bilant prescurtat(scurt),111.0,0.0,0.0,0.0,
21108081,J11/178/2007,2007-02-15,ROONRC.J11/178/2007,COOPERATIVA AGRICOLĂ  ORĂVIŢEANA - COOPERATIVA APICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Caraş-Severin,Oraviţa,Str. 1 DECEMBRIE 1918,60,,,,,0.0,,Telefon: 0255234588; ,NU,,,,,,
21098050,J15/262/2007,2007-02-15,ROONRC.J15/262/2007,LEG COM PROD BĂLENI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Băleni Sârbi,COM. BĂLENI,277,,,,,0.0,,,NU,,,,,,
21132799,J15/282/2007,2007-02-19,ROONRC.J15/282/2007,INTERAGRO LUNGULEŢU COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Lunguleţu,COM. LUNGULEŢU,,,,,,0.0,,Telefon: 0723699651; ,NU,,,,,,
21132810,J15/281/2007,2007-02-19,ROONRC.J15/281/2007,LEGUME SOLARII BĂLENI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Băleni Sârbi,COM. BĂLENI,,,,,,0.0,,Telefon: 0245 265242; ,NU,,,,,,
21153350,J15/293/2007,2007-02-20,ROONRC.J15/293/2007,PROD POIANA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Poiana,COM. POIANA,77,,,,,0.0,,Telefon: 0727714133; ,NU,,,,,,
21153368,J15/292/2007,2007-02-20,ROONRC.J15/292/2007,GRUP DE PRODUCĂTORI PRODAGRO IMPEX SLOBOZIA MOARĂ COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Slobozia Moara,COM. SLOBOZIA MOARĂ,,,,,,0.0,,Telefon: 0722983698; ,NU,,,,,,
21186071,J28/172/2007,2007-02-22,ROONRC.J28/172/2007,LEGUMICOLA PLEŞOIU COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Olt,Pleşoiu,,,,,,,0.0,,Telefon: 0745/015699; Telefon: 0756021646; Adresa de e-mail: legumicola_pleşoiu@yahoo.com; ,DA,Soc. com. sistem simplificat 4 formulare,4721.0,,0.0,0.0,
21240502,J28/193/2007,2007-03-01,ROONRC.J28/193/2007,TOMATO PROD COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Olt,Giuvărăşti,,,,,,,0.0,,Telefon: 0749/242614; Telefon: 0749242614; ,NU,,,,,,
21255236,J15/359/2007,2007-03-02,ROONRC.J15/359/2007,ECO LEGUME POIANA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Poiana,COM. POIANA,,,,,,0.0,,,NU,,,,,,
21317223,J15/399/2007,2007-03-09,ROONRC.J15/399/2007,PROD ACTIV IMPEX SLOBOZIA MOARĂ COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Slobozia Moara,,149,,,,,0.0,,Telefon: 0722362816; Telefon: 0722 362816; ,DA,Soc. com. sistem simplificat 4 formulare,113.0,613987.0,214335.0,0.0,
21344465,J33/440/2007,2007-03-13,ROONRC.J33/440/2007,PĂMÂNTUL FĂGĂDUINȚEI COOPERATIVA AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Suceava,Gălăneşti,,363 B,,,,,,,Telefon: 0745281511; ,NU,,,,,,
21373320,J13/898/2007,2007-03-15,ROONRC.J13/898/2007,APICOLA CALLATIS COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Constanţa,Mangalia,Str. MOLDOVEI,25,,,,,0.0,,Telefon: 0723682979; Telefon: 0730022086; ,DA,Soc. com. sistem simplificat 4 formulare,149.0,16413.0,645.0,0.0,
21396081,J28/259/2007,2007-03-19,ROONRC.J28/259/2007,AGRI LEGPROD COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Olt,Runcu Mare,,,,,,,,,Telefon: 0249/472164; Telefon: 0249472164; ,DA,Soc. com. sistem simplificat 4 formulare,4631.0,,0.0,0.0,
21406800,J09/270/2007,2007-03-20,ROONRC.J09/270/2007,BETA COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Brăila,Movila Miresii,,,,,,,0.0,,,NU,,,,,,
21413948,J21/182/2007,2007-03-20,ROONRC.J21/182/2007,MAIA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Ialomiţa,Maia,,799,,,,,0.0,,Telefon: 0723668441; ,NU,,,,,,
21436330,J21/190/2007,2007-03-22,ROONRC.J21/190/2007,LEGUMPROD COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Ialomiţa,Fierbinţii de Sus,Calea Urziceni,430,,,,,0.0,,Telefon: 0726/189634; ,NU,,,,,,
21468366,J21/196/2007,2007-03-27,ROONRC.J21/196/2007,RODUL PAMÂNTULUI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Ialomiţa,Fierbinţii de Sus,Calea Urziceni,239,,,,,0.0,,Telefon: 0720746857; Telefon: 0720746857; ,NU,,,,,,
21472634,J15/499/2007,2007-03-28,ROONRC.J15/499/2007,AGRICOLEG POIANA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Poiana,COM. POIANA,,,,,,0.0,,,NU,,,,,,
21482573,C34/3/2007,2007-03-29,ROONRC.C34/3/2007,COOPERATIVA AGRICOLĂ CARTOTIMP COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Teleorman,Peretu,,,,,,,0.0,,,NU,,,,,,
21509032,J13/1115/2007,2007-04-03,ROONRC.J13/1115/2007,CAGRUPIN COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Constanţa,Mereni,Str. LIBERTĂŢII,129,,,,,0.0,,Telefon: 0241/622520; Telefon: 0744753477; ,NU,,,,,,
21520464,J15/536/2007,2007-04-04,ROONRC.J15/536/2007,DEZVOLT COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Poiana,COM. POIANA,,,,,,0.0,,,NU,,,,,,
21552725,J52/269/2007,2007-04-11,ROONRC.J52/269/2007,EUROAGRIS COOPERATIVA AGRICOLA CA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Giurgiu,Mârşa,NR. CADASTRAL 11,,,,,,0.0,,Telefon: 0246268087; Fax: 0745162272; Telefon: 0743823171; ,NU,,,,,,
21562630,J39/349/2007,2007-04-12,ROONRC.J39/349/2007,BIOLEGUME COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Vrancea,Bilieşti,,,,,,,0.0,,Telefon: 0726605923; Telefon: 0237262663; ,NU,,,,,,
21601232,C16/5/2007,2007-04-20,ROONRC.C16/5/2007,COOPERATIVA AGRICOLA AGROSTAR,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dolj,Dăbuleni,Str. AUREL VLAICU,21,,,,,0.0,,Telefon: 0722/592301; Telefon: 0752122708; ,DA,Soc. com. sistem simplificat 4 formulare,113.0,,,,
21726287,C01/1/2007,2007-05-14,ROONRC.C01/1/2007,MIORIŢA-AIUDEANĂ COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Alba,Aiud,Str. MIHAI VITEAZU,,2-I J,J,,3,0.0,,Telefon: 0258864675; ,DA,Soc. com. sistem simplificat 4 formulare,145.0,0.0,705.0,0.0,0.0
21790859,J24/1002/2007,2007-05-23,ROONRC.J24/1002/2007,COOPERATIVĂ AGRICOLĂ NORDVEST CARM,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Maramureş,Baia Mare,Str. GRIVIŢEI,106A,,,,,0.0,,Telefon: 0262223601; Fax: 0262223601; ,NU,,,,,,
21807667,C22/2/2007,2007-05-25,ROONRC.C22/2/2007,COOPERATIVĂ AGRICOLĂ DE GRADUL 1 MOLDOVA 2007,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Iaşi,Miroslava,cam.1-locuinta propr. PADURARU ION,,,,,,0.0,,,NU,,,,,,
21891730,J39/517/2007,2007-06-07,ROONRC.J39/517/2007,VITIS VINIFERA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Vrancea,Jaristea,,,,,,,0.0,,Telefon: 0722794171; ,NU,,,,,,
21908661,J15/815/2007,2007-06-11,ROONRC.J15/815/2007,AGRO PRODUCT LUNGULEŢU COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Lunguleţu,COM. LUNGULEŢU,,,,,,0.0,,,NU,,,,,,
22075624,J23/1875/2007,2007-07-06,ROONRC.J23/1875/2007,AGROSTAR COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Ilfov,Copăceni,Str. SFÂNTUL IOAN,548,,,,,0.0,,,NU,,,,,,
22136276,C19/1/2007,2007-07-18,ROONRC.C19/1/2007,ARINISUL-CALIMANI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Harghita,Topliţa,Str. 1 DECEMBRIE 1918,302,,,,,0.0,,Telefon (nr.centrală) cu interior: 0744695988; Telefon mobil: 0740593347; ,DA,Soc. com. sistem simplificat 4 formulare,145.0,0.0,0.0,0.0,0.0
