company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
Embers Call Center & Marketing d.o.o.,,,Bosnia,Tešanj,"Tešanj, Jelah, ul. Husein-kapetana Gradaščevića broj 99",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Fox Energy Društvo za telemarketing i trgovinu d.o.o. Sarajevo,,,Bosnia,Ilidža,"Ilidža, Sarajevo, ul. Tvornička broj 3",,,,,,,,,,,Call center / BPO,active,BOSNIA,
"HR Outsourcing Kadrovske usluge, Agencija za privremeno zapošljavanje d.o.o. Sarajevo",,,Bosnia,Centar,"Centar, Sarajevo, ul. Hamdije Kreševljakovića br. 7A",,,,,,,,,,,Call center / BPO,active,BOSNIA,
International Contact Center Društvo za marketing i usluge d.o.o. Sarajevo,,,Bosnia,Ilidža,"Ilidža, Sarajevo Dio, ul. Džemala Bijedića broj 226",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Kuck+Schmidt Contactcenter d.o.o. Sarajevo- U LIKVIDACIJI,,,Bosnia,Sarajevo-Novi Grad,"Sarajevo-Novi Grad, Sarajevo Dio, ul. Bulevar Meše Selimovića br. 16",,,,,,,,,,,Call center / BPO,active,BOSNIA,
OUTSOURCED Društvo za konsalting d.o.o. Sarajevo,,,Bosnia,Centar,"Centar, Sarajevo, ul. Maršala Tita 7",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Southeast Europe Outsourcing Solutions Društvo za posredovanje i usluge d.o.o.,,,Bosnia,Hadžići,"Hadžići, Sarajevo, ul. Zlatnih Ljiljana br.37",,,,,,,,,,,Call center / BPO,active,BOSNIA,
SympaTel Telemarketing d.o.o. Tuzla,,,Bosnia,Tuzla,"Tuzla, Tuzla, ul. Turalibegova br. 22",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Teleperformance Support Services GmbH,,,Bosnia,Germany,"Germany, 44227 Dortmund, Martin-Schmeißer-Weg 18, Germany",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Transcom WorldWide AB,,,Bosnia,Sweden,"Sweden, 11343 Štokholm, Halsingegatan 40, plan 15, Sweden",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Transcom WorldWide d.o.o. Tuzla,,,Bosnia,Tuzla,"Tuzla, Tuzla, Aleja Alije Izetbegovića broj 3",,,,,,,,,,,Call center / BPO,active,BOSNIA,
WW Outsourcing d.o.o. Sarajevo,,,Bosnia,Sarajevo-Centar,"Sarajevo-Centar, Sarajevo, ul. Hamdije Kreševljakovića br. 7A",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Comdata Czech a.s.,,,Czech Republic,Praha,"V olsinach 2300/75, Strasnice, 100 00 Praha 10",info@comdataczech.cz,,,,www.comdatagroup.cz,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 196882489.0
Comdata PRO s.r.o.,,,Czech Republic,Brno,"Cyrilska 508/7, Trnita",,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 196882489.0
"Teleperformance CZ, a.s.",,,Czech Republic,Pardubice,"Sukova trida 1556, Zelene Predmesti",,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 196882489.0
Comdata Holding France,,,France,Gennevilliers,1 avenue du General de Gaulle,,,,,https://france.comdatagroup.com/fr/a-propos/qui-sommes-nous-france,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 0
conduent Business Solutions,,,France,Guilherand Granges Cedex,1 rue Claude Chappe BP 345,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 15894500 | Value: 2178603.0
Docaposte BPO,,,France,Ivry-sur-Seine,45/47 boulevard Paul Vaillant Couturier,,,,,https://www.docaposte.com/,,,,,,Call center / BPO,active,TED_2021 | TED_2022,TED 2021 | CPV: 72413000 | Value: 1673517.0
docaposte bpo is,,,France,Ivry-sur-Seine,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 64120000 | Value: 760000.0
Arvato Systems Digital GmbH,,,Germany,Leipzig,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 72300000 | Value: 0.01
Arvato Systems Perdata GmbH,,,Germany,Leipzig,Martin-Luther-Ring 7-9,sales.utilities@bertelsmann.de,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 72000000 | Value: 0.01
bhm Outsourcing - Personalmanagement - Zeitarbeit GmbH,,,Germany,Mönchengladbach,"Pescher Straße 237, 41065 Mönchengladbach.",,,,,,,,,,,Call center / BPO,active,GERMANY/openregister,State: North Rhine-Westphalia
bhm Outsourcing Personalmanagement Zeitarbeit GmbH,,,Germany,Essen,"Huyssenallee 78-80, 45128 Essen.",,,,,,Stefanie Kirberger-Hirschmann,,,,,Call center / BPO,active,GERMANY/openregister,State: North Rhine-Westphalia
Majorel Berlin GmbH,,,Germany,Berlin,Wohlrabedamm 32,ausschreibungen.public@majorel.com,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79512000 | Value: 0
O-Ton Call Center Services GmbH,,,Germany,Dortmund,Huckarder Strae 12,info@o-ton-online.de,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79510000 | Value: 366654.0
projekt-plus GmbH Outsourcing Personaldienstleistungen,,,Germany,Heiligenstadt,Josef-Rodenstock-Str.,,,,,,Olaf Breitenstein,,,,,Call center / BPO,active,GERMANY/openregister,State: Thuringia
"select Arbeitsvermittlung, Zeitarbeit und Outsourcing (AZO) GmbH",,,Germany,München,Dachauer Str.,,,,,,Andreas Wilbert,,,,,Call center / BPO,active,GERMANY/openregister,State: Bavaria
TMS-Call Center Recruiting GmbH,,,Germany,Stuttgart,Seelbergstr.,,,,,,Argirios Antoniadis,,,,,Call center / BPO,active,GERMANY/openregister,State: Baden-Württemberg
COSMOTE E-VALUE  CONTACT CENTER,,,Greece,,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 64214200 | Value: 938637.0
COSMOTEE-VALUE  CONTACTCENTER,,,Greece,ATTIKI,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79500000 | Value: 5778780.0
Protocall 2009 Web-es Telemarketing Kft,,,Hungary,Ujlengyel,Ady E. utca 41.,kecskemeti.maria@protocall.hu,,,,http://www.protocall.hu,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79511000 | Value: 185677440.0
Credit Management Outsource Solutions (CMOS) Ltd,,,Ireland,Dublin D01T6R0,9 Seville Place,,,,,http://WWW.CMOS.IE,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79940000 | Value: 300000.0
OCS Outsourced Client Solutions,,,Ireland,Dublin 17,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 90910000 | Value: 2800000.0
Teleperformance KS Italia S.p.a. a socio unico,,,Italy,Rome,,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79315000 | Value: 2780000.0
Teleperformance KS Italia Spa a socio unico,,,Italy,Rome,,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79315000 | Value: 2780000.0
Transcom Worldwide Italy SpA,,,Italy,Cologno Monzese (MI),via Alessandro Volta 26,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 4498025.0
"Centric BPO Services (voor overige gunningen Q2 2022, zie bijlage)",,,Netherlands,'s-Hertogenbosch,Het Zuiderkruis 41,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79000000 | Value: 1.0
EWL OUTSOURCING SOLUTIONS RO. S.R.L.,,,North Macedonia,,,paula.stanga@ewl.ro,,,,,,,,,1,other,active,MASTER_ALL,
Concentrix Norway As Avd Kråkerøy,,,Norway,,,carsten.petersen@concentrix.com,,+4721316583,,,,,,,1,hospitality,active,MASTER_ALL | NORDIC,
Contact Center Sp. z o.o.,,,Poland,Warszawa,Stawki 2a,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 64211000 | Value: 1000700.0
Egor Outsourcing,,,Portugal,Lisboa,"Avenida Jose Malhoa, Edificio Europa, No 16-F 4o Piso",backoffice.comercial_out@egor.pt,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79714000 | Value: 25.56
"ABAI BUSINESS SOLUTIONS, S.A (anteriormente denominada EXTEL CONTACT CENTER, S.A)",,,Spain,Madrid,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79510000 | Value: 628260.0
"ABAI BUSINESS SOLUTIONS, S.A.U (anteriormente denominada EXTEL CONTACT CENTER, S.A)",,,Spain,Madrid,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79510000 | Value: 246980.0
"Abante Business Process Outsourcing, S. L.",,,Spain,Lugo,,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79500000 | Value: 380336.0
"ACCENTURE OUTSOURCING SERVICES, S.A.U.",,,Spain,Madrid,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 72212900 | Value: 548424.0
"Cibernos Outsourcing, S.L.",,,Spain,Madrid,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 72710000 | Value: 220800.0
"ILUNION SEGURIDAD, S.A.U. -ILUNION OUTSOURCING, S.A.U.,UTE ILUNION SEGURIDAD S.A.-ILUNION OUTSOURCING S.A.",,,Spain,MADRID,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79710000 | Value: 59326308.4
"Indra BPO Servicios, S. L. U.",,,Spain,Madrid,,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79500000 | Value: 867369.75
"LKS OUTSOURCING, S.COOP.",,,Spain,Donostia / San Sebastian,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 72611000 | Value: 5037227.5
"NORTEX OUTSOURCING GLOBAL, S.L.",,,Spain,A CORUNA,,,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79342320 | Value: 236186.48
"SBC Outsourcing, S. L.",,,Spain,Madrid,"Avenida Fuente Nueva, 6, 28703 San Sebastian de los Reyes",,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79992000 | Value: 114575.77
"SBC OUTSOURCING, S.L.",,,Spain,SAN SEBASTIAN DE LOS REYES - MADRID,"AV de la Fuente Nueva, 6",,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 98341120 | Value: 111046.09
"SPEZIAL OUTSOURCING, S.L.",,,Spain,MOSTOLES,"CALLE PUERTO CRUZ VERDE, 21",contratacion.se@spz-outsourcing.es,,,,,,,,,,Call center / BPO,active,TED_2022,TED 2022 | CPV: 79992000 | Value: 677335.0
"U. T. E. Indra BPO Servicios, S. L. U., Indra Soluciones Tecnologias de la Informacion, S. L. U.",,,Spain,Alcobendas,,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 72500000 | Value: 570278.86
Concentrix Schweiz AG,,,Switzerland,Wallisellen,Richtistrasse 5,,,0446685648,,,,,,,,Call center / BPO,active,SWITZERLAND/seco,Kanton: ZH
Conduent Business Solution AG,,,Switzerland,Bern,Freiburgstrasse 251,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 30230000 | Value: 861570.0
KELLY SERVICES Outsourcing and Consulting Group,,,Switzerland,Neuchâtel,Avenue Edouard-Dubois 20,,,0792638773,,,,,,,,Call center / BPO,active,SWITZERLAND/seco,Kanton: NE
PM Office Outsourcing GmbH,,,Switzerland,Galgenen,Jostenstrasse 4,,,0555346463,,,,,,,,Call center / BPO,active,SWITZERLAND/seco,Kanton: SZ
Claire Sutherland,,,United Kingdom,Dundee,15 Westerton Avenue,,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 80000000 | Value: 3600000.0
Eversheds-Sutherland (International) LLP,,,United Kingdom,London,1 Wood Street,,,,,www.eversheds-sutherland.com,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79100000 | Value: 3000000.0
Accace Outsourcing SRL,,,Unknown,,,irrisp@yahoo.com,,+40403140504,,,COd,,,,5,other,active,MASTER_ALL,
WEBHELP ROMÂNIA SRL,,,Unknown,,,wh_dlt-ro-personnel@concentrix.com,,,,,,,,,7,it_tech,active,MASTER_ALL,
