company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
ATENA-COUNSELING SERVICES S.R.L.,43474407,8220,Romania,Municipiul Brasov,"Municipiul Brasov, CARPATILOR, nr. 93",,,0743101001,,,,1,287802,156883,,Call center / BPO,active,BILANT,
AVM OUTSOURCING S.R.L.,51727144,,Romania,Bucuresti Sectorul 4,SG. ION IRICEANU 4 4,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
BASSO SOFTWARE SOLUTIONS S.R.L.,42228927,8220,Romania,"Sat Salicea, Comuna Ciurila","Sat Salicea, Comuna Ciurila, SALICEA, nr. 89T",recruiting@ussoftware.mdweb,,,,,,1,220823,131655,,Call center / BPO,active,BILANT,
BAVARI OS S.R.L.,48355350,8220,Romania,Municipiul Sighisoara,"Municipiul Sighisoara, MITROPOLIT ANDREI SAGUNA, nr. 26",,,0742165249,,,,1,211193,133115,,Call center / BPO,active,BILANT,
BDO OUTSOURCING SERVICES SRL,27032349,,Romania,Bucuresti Sectorul 3,Str. INVINGATORILOR 24 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
BEST OUTSOURCING SERVICES S.R.L.,43216505,7022,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, ILIOARA, nr. 27A",,,,,,,5,2459254,2011203,,3,active,BILANT | BUC_ILFOV,
BEST OUTSOURCING SOLUTIONS S.R.L.,47425784,7810,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, ILIOARA, nr. 27A",paula.stanga@ewl.ro,,,,,,3,872234,587014,,3,active,BILANT | BUC_ILFOV,
BEST PHONE STORE SRL,38137308,8220,Romania,Municipiul Brasov,"Municipiul Brasov, DUPA INISTE, nr. 2",,,0722677474,,,,12,3058197,336869,,Call center / BPO,active,BILANT,
BIZZCOM OUTSOURCING SPECIALISTS S.R.L.,47174682,6209,Romania,Municipiul Onesti,"Municipiul Onesti, REDULUI, nr. 133D",,,0771504242,,,,1,1388912,992814,,Call center / BPO,active,BILANT,
BJORN AUGUST S.R.L.,42951206,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, DOROBANTILOR, nr. 89",,,0744793831,,,,1,476862,-71095,,Call center / BPO,active,BILANT,
BLACK FOX CORPORATION S.R.L.,44643326,8220,Romania,Municipiul Oradea,"Municipiul Oradea, LIBERTATII, nr. 12",,,0742831840,,,,2,905221,578513,,Call center / BPO,active,BILANT,
BLOOM SALES S.R.L.,41291020,8220,Romania,"Sat Rauseni, Comuna Rauseni","Sat Rauseni, Comuna Rauseni, Brusturelui, nr. 9",,,,,,,1,303328,211669,,Call center / BPO,active,BILANT,
BLU REP S.R.L.,46278634,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, EUGENIU DE SAVOYA, nr. 11",,,0721906648,,,,1,552839,340023,,Call center / BPO,active,BILANT,
BLUE POINT CONTACT CENTER S.R.L.,48628850,,Romania,Bucuresti Sectorul 4,OLTENITEI 87-99 4,,,40215291500,0215291500,,,,,,,Call center / BPO,active,BUC_ILFOV,
BOGDAN OUTSOURCING S.R.L.,43279678,6201,Romania,Municipiul Craiova,"Municipiul Craiova, BRESTEI, nr. 623",,,,,,,1,963551,798847,,Call center / BPO,active,BILANT,
BOXES CALL CENTER S.R.L.,41552070,8220,Romania,Municipiul Ploiesti,"Municipiul Ploiesti, PADURII, nr. 6",,,,,,,1,454988,337113,,Call center / BPO,active,BILANT,
BPO CATALYST SRL,34429393,8299,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, GRIGORE IONESCU, nr. 63",,,,,,,1,492830,436319,,2,active,BILANT | BUC_ILFOV,
BPO REAL ESTATE SRL,35268082,6832,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, ADY ENDRE, nr. 31",,,0740015004,,,,2,1662719,859259,,Call center / BPO,active,BILANT,
BPO SERV CONSULT S.R.L.,43675273,,Romania,Bucuresti Sectorul 6,SANDULESTI 2 6,,,0761052170,40761052170,,,,,,,Call center / BPO,active,BUC_ILFOV,
BPO SOLUTIONS RO S.R.L.,50104393,6201,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, CORNELIU COPOSU, nr. 6-8",michnea_cristi@yahoo.com,,07371035615,,,,2,454348,109177,,3,active,BILANT | BUC_ILFOV,
BPO TOTAL CONSTRUCT SRL,17109178,,Romania,Bucuresti Sectorul 2,Sos. Iancului 41 2,,,0720696836,40720696836,,,,,,,Call center / BPO,active,BUC_ILFOV,
BREZINSCHI TRANS CENTRE S.R.L.,50230510,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, LT. NICOLAE PASCU, nr. 1",,,0747221449,,,,1,277278,246387,,3,active,BILANT,
BRG TRANS CENTER S.R.L.,45862073,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, LT. NICOLAE PASCU, nr. 1",,,,,,,1,299959,173214,,3,active,BILANT,
BRIGHT COMMUNICATION S.R.L.,40970260,8220,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, ILGANI, nr. 12",,,,,,,14,4908406,1923643,,2,active,BILANT,
BTECH OUTSOURCING S.R.L.,47080707,6201,Romania,"Sat Ciofliceni, Comuna Snagov","Sat Ciofliceni, Comuna Snagov, CIOFLICENI, nr. 137A",,,,,,,1,807002,756373,,Call center / BPO,active,BILANT | BUC_ILFOV,
BUENO COM SRL,18939080,8220,Romania,Bucuresti Sectorul 5,"Bucuresti Sectorul 5, Sector 5, Aleea Botorani, nr. 11",dianadiaconu90@yahoo.com,,0722654025,,,,1,557064,115269,,5,active,BILANT,
BURGVIL SRL,15262131,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, ROTASULUI, nr. 14",,,0745268468,,,,1,3886084,-74551,,1,active,BILANT,
BUSINESS OUTSOURCING SOLUTIONS SRL,35723388,,Romania,Bucuresti Sectorul 3,ILIOARA 27A 3,theea.linpartner@gmail.com,,40732883664,0724724427,,,,,,,Call center / BPO,active,BUC_ILFOV,
BUSINESS PROCESS OUTSOURCING S.R.L.,47156945,8299,Romania,Municipiul Sibiu,"Municipiul Sibiu, SALAJULUI, nr. 4",,,,,,,1,416798,367112,,Call center / BPO,active,BILANT,
BUZZ365 MEDIA OUTSOURCING SRL,28070545,,Romania,Bucuresti Sectorul 2,Aleea PETRE ANTONESCU 1 2,,,0735706352,40735706352,,,,,,,Call center / BPO,active,BUC_ILFOV,
C & G OUTSOURCING SERVICES SRL,24782702,,Romania,Bucuresti Sectorul 3,Liviu Rebreanu 10 3,,,40723694697,0723694697,,,,,,,Call center / BPO,active,BUC_ILFOV,
CABOT OUTSOURCING S.R.L.,47234040,6920,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, AVIATORILOR, nr. 47",,,,,,,1,450891,250803,,1,active,BILANT | BUC_ILFOV,
CAISSE HOTLINE ASSISTANCE S.R.L.,41713060,8220,Romania,Oras Voluntari,"Oras Voluntari, Alexandru Lapusneanu, nr. 19B",,,0722265200,,,,1,719880,638571,,Call center / BPO,active,BILANT,
CALL AND TALK SRL,32874610,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, ERNEST BROSTEANU, nr. 29",,,,,,,2,814201,372713,,1,active,BILANT,
CALL CENTER & SOFTWARE BSV S.R.L.,36344935,,Romania,Bucuresti Sectorul 3,FETITELOR 15 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
CALL CENTER & SOFTWARE SRL,32842848,,Romania,Bucuresti Sectorul 2,PETRICANI 4 2,,,40314052859,0314052859,,,,,,,Call center / BPO,active,BUC_ILFOV,
CALL CENTER EXPERTISE SRL,24733351,9329,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, PENES CURCANUL, nr. 16-18",,,0723372651,,,,1,605647,387017,,3,active,BILANT | BUC_ILFOV,
CALL CENTER HOUSE SRL,35091826,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, MURES, nr. 39",,,,,,,1,496900,61459,,1,active,BILANT | FALIMENT,Procedure:  | Liquidator:
CALL CENTER STUDIO S.R.L.,44833622,6202,Romania,Bucuresti Sectorul 4,"Bucuresti Sectorul 4, Sector 4, Natiunile Unite, nr. 3-5",,,0723018689,,,,1,218566,18098,,4,active,BILANT | BUC_ILFOV,
CALL SUPORT AS S.R.L.,48398343,8220,Romania,"Sat Selimbar, Comuna Selimbar","Sat Selimbar, Comuna Selimbar, CARMEN SYLVA, nr. 24",,,0744397976,,,,1,229850,110081,,Call center / BPO,active,BILANT | FALIMENT,Procedure:  | Liquidator:
CALLCENTERNET ROMANIA SRL,23666513,,Romania,Bucuresti Sectorul 6,B-dul GHENCEA 79 6,,,0723607909,40723607909,,,,,,,Call center / BPO,active,BUC_ILFOV,
CALLINVEST SRL,30687535,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, EROILOR, nr. 12",,,0769099266,,,,1,246351,96365,,Call center / BPO,active,BILANT,
CALLQUANTS S.R.L.,40766261,8220,Romania,Municipiul Gherla,"Municipiul Gherla, GIRLEI, nr. 7",,,,,,,1,271514,89273,,Call center / BPO,active,BILANT,
CCEM  CALL CENTER ET MARKETING S.R.L.,52453004,,Romania,Bucuresti Sectorul 1,C. C. ARION 11 1,,,40771067057,0771067057,,,,,,,Call center / BPO,active,BUC_ILFOV,
CDC OUTSOURCING S.R.L.,46432570,6201,Romania,Municipiul Craiova,"Municipiul Craiova, CONSTANTIN ARGETOIANU, nr. 17",,,,,,,1,460558,384210,,Call center / BPO,active,BILANT,
CELERITY CALL CENTER S.R.L.,39492669,8220,Romania,Bucuresti Sectorul 4,"Bucuresti Sectorul 4, Sector 4, OLTENITEI, nr. 396A",,,,,,,1,321252,144227,,4,active,BILANT | BUC_ILFOV,
CELULAR SRL,11845191,8220,Romania,Municipiul Buzau,"Municipiul Buzau, Sector 0, B-dul NICOLAE BALCESCU",,,0744658800,,,,19,8658672,98747,,0,active,BILANT,
CENTOCELLE SRL,26173684,8220,Romania,"Sat Giroc, Comuna Giroc","Sat Giroc, Comuna Giroc, Asociatiei, nr. 11",,,0356004025,,,,9,2324362,1325663,,Call center / BPO,active,BILANT,
CG.GLOWLY SMART S.R.L.,44524406,8220,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, VIRTUTII, nr. 19D",,,,,,,1,299804,189689,,6,active,BILANT,
CI DUE CI S.R.L.,34650814,8220,Romania,"Loc. Pucioasa, Oras Pucioasa","Loc. Pucioasa, Oras Pucioasa, PATRANA, nr. 11",,,0722552813,,,,2,458687,-90764,,Call center / BPO,active,BILANT,
CITY BUSINESS SRL,31097958,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, BANAT, nr. 16",,,0727296303,,,,1,408311,146933,,1,active,BILANT,
CLASS IT OUTSOURCING SRL,14080786,,Romania,Bucuresti Sectorul 1,VICTORIEI 208 1,bogdan.tudor@classit.ro,,0727083808,40727083808,,,,,,,Call center / BPO,active,BUC_ILFOV,
CLOUD SERVICE SUPPORT S.R.L.,42622343,8220,Romania,"Sat Dezmir, Comuna Apahida","Sat Dezmir, Comuna Apahida, TRANDAFIRILOR, nr. 24H",,,0745759966,,,,1,558792,491340,,Call center / BPO,active,BILANT,
CLOUDFIT TECH SOLUTIONS S.R.L.,42377988,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, BOGDAN PETRICEICU HASDEU, nr. 8",,,,,,,1,498546,422611,,Call center / BPO,active,BILANT,
CODWEBPRO S.R.L.,42001605,8220,Romania,"Sat Mihaiesti, Comuna Sinpaul","Sat Mihaiesti, Comuna Sinpaul, Principala, nr. 147A",,,0742165249,,,,1,460514,391991,,Call center / BPO,active,BILANT,
COMMUNITY OCEAN S.R.L.,42479651,8220,Romania,Oras Pantelimon,"Oras Pantelimon, CORNELIU COPOSU, nr. 49",,,,,,,2,663778,385086,,Call center / BPO,active,BILANT,
CONCRET PENTRU SANATATE S.R.L.,48536020,8220,Romania,Municipiul Turda,"Municipiul Turda, FABRICII, nr. 71",,,,,,,1,241873,133233,,Call center / BPO,active,BILANT,
CONECTYS SERV TELECOM SRL,16689280,,Romania,Bucuresti Sectorul 5,SERG. ION NUTU 44 5,,,40213177000,0213177000,,,,,,,Call center / BPO,active,BUC_ILFOV,
CONSTANTIN&CN JUNIOR S.R.L.,42417640,8220,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, ELEV STEFAN STEFANESCU, nr. 6",,,,,,,1,515981,229391,,2,active,BILANT,
CONTEXPERT OUTSOURCING SRL,36035468,6920,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, GARA HERASTRAU, nr. 2",,,,,,,1,299740,125628,,2,active,BILANT,
COSMOS CALL CENTER SRL,30640516,,Romania,Bucuresti Sectorul 1,NICOLAE TITULESCU 56 1,,,40318117322,,,,,,,,Call center / BPO,active,BUC_ILFOV,
CUBE NETWORK OUTSOURCING SERVICES SRL,27776101,8220,Romania,Municipiul Brasov,"Municipiul Brasov, MACIESULUI, nr. 9",,,0374051500,,,,14,2925871,831144,,Call center / BPO,active,BILANT,
DAB IT OUTSOURCING SRL,23999909,6202,Romania,Municipiul Ploiesti,"Municipiul Ploiesti, Sector 0, Str. CLEMENTEI, nr. 16",,,0722276073,,,,14,25447247,7827928,,0,active,BILANT,
DARE TELECOM CONSULTING S.R.L.,44144792,8220,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, DOBROESTI, nr. 55-56",,,,,,,1,966679,374060,,2,active,BILANT,
DB GLOBAL MANAGEMENT S.R.L.,45240313,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, BUCURESTI-PLOIESTI, nr. 24-28",,,0741101885,,,,1,1116264,517360,,1,active,BILANT,
DELTA OUTSOURCING S.R.L.,52865110,,Romania,Bucuresti Sectorul 4,VERZISORI 6 4,,,40741668903,,,,,,,,Call center / BPO,active,BUC_ILFOV,
DIAMOND OUTSOURCING CONSULTING SRL,32434261,,Romania,Bucuresti Sectorul 3,NUCULUI 6 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
DIRECT CALL CENTER SRL,17704850,,Romania,Bucuresti Sectorul 4,CIURULUI 20 4,,,0722533073,40722533073,,,,,,,Call center / BPO,active,BUC_ILFOV,
DOZA DE SANATATE FORTE S.R.L.,42551455,8220,Romania,,VALEA FRUMOASEI 8,paul.99@gmail.com,paul.99@gmail.com,0743515200,40743515200,,rusu paul horea,38,19229206,2078187,7,Call center / Suport clienti,active,DELIVERY | ANOFM_DEEP,
DOZA DE SANATATE S.R.L.,40514868,8220,Romania,Municipiul Turda,"Municipiul Turda, AVIATORILOR, nr. 3A",,,,,,,1,894276,309802,,Call center / BPO,active,BILANT,
DRR VOICE S.R.L.,50805430,8220,Romania,Municipiul Baia Mare,"Municipiul Baia Mare, TRAIAN, nr. 16",,,+34672918343,,,,1,264914,98686,,Call center / BPO,active,BILANT,
DSB OUTSOURCING S.R.L.,47716570,7830,Romania,Municipiul Mangalia,"Municipiul Mangalia, PORTULUI",,,0722445693,,,,1,241601,190030,,Call center / BPO,active,BILANT,
E MARTECH EUROLINE S.R.L,,8220,Romania,MUNICIPIUL CLUJ-NAPOCA,"B-dul Nicolae Titulescu nr.4, Cluj-Napoca",segreteria.cj@mtandt.it,,0264414607,,,,,,,,Call center / BPO,active,EU_FUNDS,"EU: Achizitie echipamente tehnologice si aparatura birotica performanta pentru SC Martech Euroline SRL, Cluj-Napoca | 674648.04 EUR"
E MARTECH EUROLINE SRL,15335748,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, 13 SEPTEMBRIE, nr. 12 A",,,0264414607,,,,9,3567314,900949,,Call center / BPO,active,BILANT,
E-SOURCE - GLOBAL BPO CONSULTANCY S.R.L.,52225308,,Romania,Bucuresti Sectorul 2,GRIGORE IONESCU 63 2,,,40752078774,0752078774,,,,,,,Call center / BPO,active,BUC_ILFOV,
EDO 24 JOBS BLAINDORFER THOMAS SOCIETATE IN NUME COLECTIV,47170214,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, NICOLAE TITULESCU, nr. 8",,,,,,,1,1242937,1033723,,Call center / BPO,active,BILANT,
EGV OUTSOURCING SRL,33536790,,Romania,Bucuresti Sectorul 1,NICOLAE  CARAMFIL 22 1,,,0734800068,40734800068,,,,,,,Call center / BPO,active,BUC_ILFOV,
ELETEL S.R.L.,32025240,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, ROTASULUI, nr. 14",,,,,,,2,3208523,-40126,,1,active,BILANT,
ELRO DRIVER SERVICES SRL,33873141,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, ARADULUI, nr. 8",,,0725575183,,,,3,2343017,245250,,Call center / BPO,active,BILANT,
EMMEGGI HELP SERVICE S.R.L.,49218688,8220,Romania,"Sat Mosnita Veche, Comuna Mosnita Noua","Sat Mosnita Veche, Comuna Mosnita Noua, Concordiei, nr. 22",,,0256306056,,,,4,1154264,536942,,Call center / BPO,active,BILANT,
ENGRID BPO SRL,29307802,,Romania,Bucuresti Sectorul 6,INDEPENDENTEI 273 6,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ERLANG NETWORK S.R.L.,38577228,8220,Romania,Municipiul Bacau,"Municipiul Bacau, NICOLAE BALCESCU, nr. 12",,,,,,,1,290714,249067,,Call center / BPO,active,BILANT,
ES ONE CLASSE CENTER SRL,24258695,8220,Romania,"Sat Rachitosu, Comuna Garoafa","Sat Rachitosu, Comuna Garoafa, RACHITOSU",,,0751131194,,,,1,327702,4765,,Call center / BPO,active,BILANT,
ESTETICA STIL SRL,24973966,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, Calea Calarasilor, nr. 36A",,,,,,,1,223107,12215,,3,active,BILANT,
EUROANSWER OUTSOURCING S.R.L.,,8220,Romania,MUNICIPIUL BUCURESTI,Sos. OLTENITEI 105A BUCURESTI,bianca.geambasu@euroanswer.co.uk,,0755332738,,,,,,,,Call center / BPO,active,EU_FUNDS,EU: Inovatie si eficienta - dezvoltarea de servicii profesionale de call center prin achizitionarea de echipamente si dotari permanente | 992000.0 EUR
EVDELO OUTSOURCING S.R.L.,42240149,,Romania,Bucuresti Sectorul 3,GURA PUTNEI 133 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
EVERSHEDS SUTHERLAND TAX S.R.L.,48380621,6920,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, VICTORIEI, nr. 145",,,0213112561,,,,1,343238,-43084,,1,active,BILANT | BUC_ILFOV,
EWL OUTSOURCING SOLUTIONS RO S.R.L.,44906015,,Romania,Bucuresti Sectorul 1,BUCURESTI-PLOIESTI 19-21,paula.stanga@ewl.ro,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
EXCELA SOLUTIONS S.R.L.,45241130,8220,Romania,"Sat Afumati, Comuna Afumati","Sat Afumati, Comuna Afumati, Linia de Centura, nr. 17",raluca.moiceanu@asee.io,,,,,,4,3179725,-306504,,Call center / BPO,active,BILANT,
EXHEDRA ASSIST S.R.L.,50159267,8220,Romania,Municipiul Bacau,"Municipiul Bacau, ALECU RUSSO, nr. 45",,,,,,,1,654795,601666,,Call center / BPO,active,BILANT,
EXPERT LOYALTY CALL S.R.L.,39295802,8220,Romania,"Sat Cozmeni, Comuna Cozmeni","Sat Cozmeni, Comuna Cozmeni, COZMENI, nr. 58",,,0740270829,,,,5,4328402,13836,,Call center / BPO,active,BILANT,
FINANCIAL OUTSOURCING EXPERT SRL,37934322,,Romania,"Sat Dobroesti, Comuna Dobroesti",PR. DR. VICTOR DUMITRESCU 15,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
FINPAY OUTSOURCING S.R.L.,49778944,,Romania,Bucuresti Sectorul 6,9 MAI 7 6,,,40721961691,0721961691,,,,,,,Call center / BPO,active,BUC_ILFOV,
FINSMART BPO S.R.L.,45244560,,Romania,Bucuresti Sectorul 3,BABA NOVAC 11 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
FLEXCOM SERVICES & CONSULTING S.R.L.,38586684,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, LT. SCARLAT MARES, nr. 51",,,,,,,1,1274840,138189,,3,active,BILANT,
Foundever,,,Romania,,,hr.ro@foundever.com,,,,,,,,,,Call center / BPO,active,EURES,
FOUNDEVER ROMANIA S.R.L.,,,Romania,,,hr.ro@foundever.com,,+40374165000,,,Bogdan Bucur,,,,36,other,active,MASTER_ALL,
FRATELLI MARIN S.R.L.,40427133,8220,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, Timisoara, nr. 103M",,,,,,,1,963570,592472,,6,active,BILANT,
FREIGHT DISPATCH SRL,37625424,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, VICTOR BRAUNER, nr. 40C",,,,,,,1,502827,355814,,3,active,BILANT,
G SYSTEM S.R.L.,48998623,8220,Romania,Municipiul Iasi,"Municipiul Iasi, PACURARI, nr. 127",office@gksystem.ro,,0745530763,,,,3,3271353,1793170,,Call center / BPO,active,BILANT,
GENPACT ROMANIA SRL,17362595,,Romania,Bucuresti Sectorul 2,DIMITRIE POMPEI 5-7 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
GETICO SYSTEMS SRL,,,Romania,,,office@geticosystems.ro,,+40213220771,,http://www.geticosystems.ro,,,,,,Call center / BPO,active,CCIB,"Asigura suport tehnic pentru echipamente din gamele: Panasonic, Ericsson, Alcatel, Mitel si Nortel. Ofera urmatoarele tipuri de servicii: outsourcing comunicatie voce, consultanta pentru reducerea cos"
GI GROUP OUTSOURCING SOLUTIONS S.R.L.,43928813,,Romania,Bucuresti Sectorul 1,ARHITECT LOUIS BLANC 1 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
GLOBAL BUSINESS DATA S.R.L.,38385117,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, LT. SCARLAT MARES, nr. 51",,,,,,,1,784372,36710,,3,active,BILANT,
