company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
DABURABA S.R.L.,42340474,8220,Romania,Municipiul Bistrita,"ANDREI MURESANU, 14, Municipiul Bistrita, Bistrita-Nasaud",,,,,,,9,1002883,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
DINA ANDREEA-MARIA PERSOANA FIZICA AUTORIZATA,25398255,8220,Romania,Bucuresti Sectorul 1,"Str. MINERVEI, 45, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
ENTERPRISE OUTSOURCE SOLUTIONS PRO S.R.L.,46139059,5819,Romania,Bucuresti Sectorul 1,"DIACONU CORESI, 53, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
ESENTIAL PLANT S.R.L.,44879816,8220,Romania,Municipiul Turda,"NUFERILOR, 15, Municipiul Turda, Cluj",,,,,,,4,593614,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
EUROCALL BUSINESS SRL,28749385,8220,Romania,Municipiul Bacau,"ALEXEI TOLSTOI, 4, Municipiul Bacau, Bacau",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
EUROPEAN CALL CENTER SRL,21690469,8220,Romania,Bucuresti Sectorul 1,"Calea VICTORIEI, 48-50, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
FERMA DE RECENZII S.R.L.,45747112,8220,Romania,Bucuresti Sectorul 6,"COMPOZITORILOR, 4, Bucuresti Sectorul 6, Bucuresti",,,,,,,1,162675,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
GERICOM CALL CENTER SRL,18261289,8220,Romania,Municipiul Cluj-Napoca,"Str. MOTILOR, 1/A, Municipiul Cluj-Napoca, Cluj",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
GLOBAL RESOURCING LTD S.R.L.,50048757,8220,Romania,Bucuresti Sectorul 6,"SG. CONSTANTIN MOISE, 5D, Bucuresti Sectorul 6, Bucuresti",,,+40736091386,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
HERMANN CALL CENTER S.R.L.,40051666,8220,Romania,Municipiul Sibiu,"MONET, 17, Municipiul Sibiu, Sibiu",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
HOMESTUFF S.R.L.,38208565,8220,Romania,Municipiul Deva,"ARH. LIVIU OROS, 6A, 6B, 6C, Municipiul Deva, Hunedoara",,,,,,,0,8457,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
INARI BPO SERVICES SRL,31954584,8220,Romania,Bucuresti Sectorul 3,"LOGOFATUL TAUTU, 67, Bucuresti Sectorul 3, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
INTERCALL MEDIA SRL,37143107,8220,Romania,Bucuresti Sectorul 3,"BORCEAG, 5, Bucuresti Sectorul 3, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
IT OUTSOURCING & SURVEILLANCE S.R.L.,47980440,8020,Romania,"Sat Adunatii-Copaceni, Comuna Adunatii-Copaceni","VICTORIEI, 6, Sat Adunatii-Copaceni, Comuna Adunatii-Copaceni, Giurgiu",,,0728979028,,,,1,158016,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
IT OUTSOURCING CENTER S.R.L.,41193430,6311,Romania,Municipiul Craiova,"GHEORGHE CHITU, 42, Municipiul Craiova, Dolj",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
ITCC DEVELOPMENT SRL,19190976,8220,Romania,Municipiul Cluj-Napoca,"Str. T.MOSOIU, 48/5, Municipiul Cluj-Napoca, Cluj",,,0264595705,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
ITCC SERVICE SRL,19146946,8220,Romania,Municipiul Cluj-Napoca,"Str. RAHOVEI, 56, Municipiul Cluj-Napoca, Cluj",,,0364116906,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
JFF CONTACT CENTER SRL,31329853,7990,Romania,Municipiul Timisoara,"DOROBANTILOR, 20, Municipiul Timisoara, Timis",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
JURAVLEA SERVICE PROVIDER S.R.L.,39983470,8220,Romania,Municipiul Botosani,"POPAUTI, 14, Municipiul Botosani, Botosani",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
LINKSOFT OUTSOURCING S.R.L.,42695116,6202,Romania,Bucuresti Sectorul 1,"NICOLAE G. CARAMFIL, 49, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
LIVE CONTACT SRL,15471383,8220,Romania,Bucuresti Sectorul 5,"Str. Mihail Sebastian, 104, Bucuresti Sectorul 5, Bucuresti",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
LIVECALL SRL,36338160,8220,Romania,Municipiul Constanta,"MAMAIA, 214, Municipiul Constanta, Constanta",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
M.I.D.O.X GLOBAL STRATEGIC OUTSOURCING COMPANY S.R.L.,9569680,2341,Romania,Bucuresti Sectorul 1,"MENDELEEV, 17, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
MADISON AVALON SRL,22004852,8220,Romania,Municipiul Brasov,"Str. Ion Luca Caragiale, 1, Municipiul Brasov, Brasov",,,0722255354,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
MANSOON OUTSOURCING SRL,18071144,,Romania,Bucuresti Sectorul 6,"Str. CONSTANTIN NOICA, 136, Bucuresti Sectorul 6, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
MICRO RELIABLE OUTSOURCE MANUFACTURING SRL,21528476,,Romania,Bucuresti Sectorul 4,"Str. Turnu Magurele, 1, Bucuresti Sectorul 4, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
NUMERO BLU SERVIZI SPA ROMA SUCURSALA IASI,49974045,8220,Romania,Municipiul Iasi,"Sf. Sava, 18, Municipiul Iasi, Iasi",,,0740560748,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
NUMERRA OUTSOURCING S.R.L.,49107892,6920,Romania,Bucuresti Sectorul 6,"VALEA OLTULUI, 6, Bucuresti Sectorul 6, Bucuresti",,,0722565350,,,,0,152463,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
OUTSOURCE IT SYSTEMS S.R.L.,39576107,6110,Romania,Bucuresti Sectorul 4,"BERCENI, 104, Bucuresti Sectorul 4, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
OUTSOURCE SOLUTIONS S.R.L.,47850660,,Romania,"Sat Aroneanu, Comuna Aroneanu","Fluturilor, 7, Sat Aroneanu, Comuna Aroneanu, Iasi",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
OUTSOURCING SYSTEM SRL,28397378,5814,Romania,Municipiul Craiova,"Str. INDEPENDENTEI, 20, Municipiul Craiova, Dolj",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
PETRAD CALL SERVICE SRL,31423647,8220,Romania,Municipiul Roman,"CONSTANTIN DOBROGEANU GHEREA, Municipiul Roman, Neamt",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
PHONEX INTERACTIVE SRL,25535646,8220,Romania,Bucuresti Sectorul 6,"Str. LT. GHEORGHE SAIDAC, 4, Bucuresti Sectorul 6, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
QUICK TELESALES SRL,33470254,8220,Romania,Municipiul Braila,"CALARASILOR, 39, Municipiul Braila, Braila",,,,,,,39,3083428,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
RICH CALL CENTER PBO S.R.L.,51540080,1812,Romania,Municipiul Iasi,"CHISINAULUI, 9B, Municipiul Iasi, Iasi",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
RL ENTERPRISE S.R.L.,48438782,8220,Romania,"Sat Draxeni, Comuna Rebricea","DRAXENI, 35, Sat Draxeni, Comuna Rebricea, Vaslui",,,0752326711,,,,1,81103,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
SELLERENGINE ROMANIA SRL,33419227,8220,Romania,Bucuresti Sectorul 4,"BERCENI, 96, Bucuresti Sectorul 4, Bucuresti",,,,,,,0,29546,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
SENIOR DIRECT S.R.L.,41219378,8220,Romania,Municipiul Targu Mures,"CUTEZANTEI, 21, Municipiul Targu Mures, Mures",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
SMART & SAFE IDEAS S.R.L.,46001217,8220,Romania,Municipiul Iasi,"PANTELIMON HALIPA, 15, Municipiul Iasi, Iasi",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
SMART DIGITAL MARKETING S.R.L.,47268930,8220,Romania,Bucuresti Sectorul 3,"1 Decembrie 1918, 2, Bucuresti Sectorul 3, Bucuresti",,,,,,,0,10457,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
SMART SUPPORT HUB SRL,38064320,8220,Romania,Bucuresti Sectorul 6,"DOINA CORNEA, 2F, Bucuresti Sectorul 6, Bucuresti",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
TALEDO RECRUITMENT SERVICES S.R.L.,47315498,8220,Romania,"Sat Cristian, Comuna Cristian","XIX, 29, Sat Cristian, Comuna Cristian, Sibiu",,,,,,,2,302200,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
TEL4MED ASSIST S.R.L.,39074488,8220,Romania,Municipiul Constanta,"MAMAIA, 122, Municipiul Constanta, Constanta",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
TELEASISTENTA ROMANIA EU S.R.L.,50109757,8220,Romania,Municipiul Cluj-Napoca,"DECEBAL, 8, Municipiul Cluj-Napoca, Cluj",,,,,,,0,552,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
TELEMARKETING PROMOTION SRL,25000936,,Romania,Bucuresti Sectorul 4,"OLTENITEI, 142, Bucuresti Sectorul 4, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
TOP SALES PRAX 2012 SRL,30084194,8220,Romania,Municipiul Brasov,"HARMANULUI, 65, Municipiul Brasov, Brasov",,,0724305375,,,,2,40422,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
TORO TELEMARKETING. SRL,35737251,6201,Romania,Bucuresti Sectorul 2,"ING.GEORGE CONSTANTINESCU, 2C, Bucuresti Sectorul 2, Bucuresti",,,009725040000704,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
UNIK CORPORATION S.R.L.,50156660,8220,Romania,Bucuresti Sectorul 1,"BUZESTI, 75-77, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
UPC SERVICES SRL,36120920,8220,Romania,Bucuresti Sectorul 6,"SG. CONSTANTIN GHERCU, 1A, Bucuresti Sectorul 6, Bucuresti",,,,,,,0,3660,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
VALANK ASSISTANCE SRL,32665762,8220,Romania,Municipiul Arad,"BORSEC, 4, Municipiul Arad, Arad",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
VIRTUAL ASSIST SRL,23122414,8220,Romania,Bucuresti Sectorul 5,"Str. Echinoctiului, 3, Bucuresti Sectorul 5, Bucuresti",,,0721372284,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
