producer_name,products,county,odm,address_punct_lucru,address_sediu,phone,email,product_urls,scraped_at
ARDEȚ MARIA-CRISTINA,MIERE DE SALCÂM,Caraș Severin,ODM Oravița,"Sat Dognecea, comuna Dognecea, nr. 111, județul Caraș-Severin","Sat Dognecea, comuna Dognecea, nr. 111, județul Caraș-Severin",0768 888 725,ardetcristina@gmail.com,https://produsmontan.ro/produse_montane/miere-de-salcam-ardet-maria-cristina/,2026-03-11T10:37:02.654749
ARMAȘ GHEORGHE-MARIUS,PORUMB ZAHARAT | CĂPȘUNI | CĂTINĂ | ZMEURĂ | SÂMBURE DE NUCĂ | PIERSICI | CIREȘE | PRUNE | PERE | MERE | MORCOVI | PĂSTÂRNAC RĂDĂCINĂ | PĂTRUNJEL | ROȘII | CEAPĂ,Caraș Severin,ODM Sisești,"Sat Zbegu, comuna Cornereva, județul Caraș-Severin","Sat Zbegu, comuna Cornereva, județul Caraș-Severin",,armas.gd619@gmail.com,https://produsmontan.ro/produse_montane/porumb-zaharat-armas-gheorghe-marius/ | https://produsmontan.ro/produse_montane/capsuni-armas-gheorghe-marius/ | https://produsmontan.ro/produse_montane/catina-armas-gheorghe-marius/ | https://produsmontan.ro/produse_montane/zmeura-armas-gheorghe-marius/ | https://produsmontan.ro/produse_montane/sambure-de-nuca-armas-gheorghe-marius/,2026-03-11T10:37:02.654749
ARMAȘ GHEORGHE-MARIUS PFA,SUC DE FRUCTE ȘI LEGUME PASTEURIZAT,Caraș Severin,ODM Sisești,"Sat Zbegu, nr. 221, comuna Cornereva, județul Caraș-Severin","Sat Zbegu, nr. 221, comuna Cornereva, județul Caraș-Severin",,armas.gd619@gmail.com,https://produsmontan.ro/produse_montane/suc-de-fructe-si-legume-pasteurizat-armas-gheorghe-marius-pfa/,2026-03-11T10:37:02.654749
AVRAM MIHAI CĂTĂLIN ÎNTREPRINDERE INDIVIDUALĂ,LAPTE DE CAPRĂ,Alba,ODM Săsciori,"Sat Rimetea, Comuna Rimetea, Județul Alba","Localitatea Măgina, Str. Simion Prodan Probu, Nr. 2B, Mun. Aiud, Județul Alba",0755 979 153,153avramcatalin@yahoo.com,https://produsmontan.ro/produse_montane/lapte-de-capra-avram-mihai-catalin-intreprindere-individuala/,2026-03-11T10:37:02.654749
BADI GYULA ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Moacșa, județul Covasna","Sat Moacșa, Comuna Moacșa, Nr. 362/D, Județul Covasna",,badigyuszi@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-badi-gyula-intreprindere-individuala/,2026-03-11T10:37:02.654749
BADI VILMOS ÎNTREPRINDERE INDIVIDUALĂ,CONOPIDĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunelor Sânzieni și Moacșa, județul Covasna","Sat Sânzieni, Comuna Sânzieni, Nr. 29, Județul Covasna",,b_vili@yahoo.com,https://produsmontan.ro/produse_montane/conopida-badi-vilmos-intreprindere-individuala/,2026-03-11T10:37:02.654749
BAIAȘ VIOREL,SMOCHINE,MEHEDINȚI,ODM Sisești,"Sat Svinița, Comuna Svinița, Județul Mehedinți","Sat Svinița, Comuna Svinița, Județul Mehedinți",0746 739 607,,https://produsmontan.ro/produse_montane/smochine-baias-viorel/,2026-03-11T10:37:02.654749
BAKK PÉTER-SZILAMÉR,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Zoltan, Comuna Ghidfalău, Nr. 126, Județul Covasna","Sat Zoltan, Comuna Ghidfalău, Nr. 126, Județul Covasna",0746 801 579,,https://produsmontan.ro/produse_montane/lapte-de-vaca-bakk-peter-szilamer/,2026-03-11T10:37:02.654749
BALI IMRE ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI | CEAPĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Sânzieni, județul Covasna","Sat Petriceni, Nr. 293,  Comuna Sânzieni, Județul Covasna",0740 682 298,298gyongykebali78@gmail.com,https://produsmontan.ro/produse_montane/cartofi-bali-imre-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/ceapa-bali-imre-intreprindere-individuala/,2026-03-11T10:37:02.654749
BALINT HUBA,GRÂU | PORUMB,Covasna,#N/A,"Terenuri agricole apaținătoare comunelor Catalina, Ghelința și Ojdula, județul Covasna","Sat Ghelința, nr. 259, comuna Ghelința, județul Covasna",0749 076 502,furtuna.claudiu@yahoo.ro,https://produsmontan.ro/produse_montane/grau-balint-huba/ | https://produsmontan.ro/produse_montane/porumb-balint-huba/,2026-03-11T10:37:02.654749
BALINT ISTVAN ÎNTREPRINDERE FAMILIALĂ,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Bixad, Nr. 170, Comuna Bixad, Județul Covasna","Sat Bixad, Nr. 170, Comuna Bixad, Județul Covasna",0741 175 008,008balinteniko@yahoo.ro,https://produsmontan.ro/produse_montane/lapte-de-vaca-balint-istvan-intreprindere-familiala/,2026-03-11T10:37:02.654749
BALINT SANDOR,URDĂ | URDĂ CU AFINE | BRÂNZĂ MATURATĂ CU USTUROI ȘI PĂTRUNJEL | IAURT | IAURT CU FRUCTE | BRÂNZĂ MOALE CU CONDIMENTE | CREMĂ DE BRÂNZĂ | CAȘCAVAL OPĂRIT ȘI AFUMAT | BRÂNZĂ MATURATĂ | BRÂNZĂ MATURATĂ CU OREGANO | BRÂNZĂ MATURATĂ CU BUSUIOC | BRÂNZĂ MATURATĂ CU ARDEI IUTE | BRÂNZĂ BURDUF | CREMĂ DE BRÂNZĂ CU CONDIMENTE | BRÂNZĂ MATURATĂ CU CHIMEN | CAȘCAVAL OPĂRIT ȘI AFUMAT CU CONDIMENTE | BRÂNZĂ MOALE | BRÂNZĂ MATURATĂ ÎN VIN ROȘU,Harghita,ODM Odorheiu Secuiesc,"Sat Daia, nr. 22A, comuna Ulieș, județul Harghita","Sat Daia, nr. 22A, comuna Ulieș, județul Harghita",0754 370 818,szekelyjuhasz@gmail.com,https://produsmontan.ro/produse_montane/urda-balint-sandor/ | https://produsmontan.ro/produse_montane/urda-cu-afine-balint-sandor/ | https://produsmontan.ro/produse_montane/branza-maturata-cu-usturoi-si-patrunjel-balint-sandor/ | https://produsmontan.ro/produse_montane/iaurt-balint-sandor/ | https://produsmontan.ro/produse_montane/iaurt-cu-fructe-balint-sandor/,2026-03-11T10:37:02.654749
BALOGH KÁROLY ÎNTREPRINDERE INDIVIDUALĂ,PORUMB | CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunelor Dalnic și Zăbala, județul Covasna","Sat Tamașfalău, Nr. 237,  Comuna Zăbala, Județul Covasna",0752 154 796,796karolybalogh15@gmail.com,https://produsmontan.ro/produse_montane/porumb-balogh-karoly-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/cartofi-balogh-karoly-intreprindere-individuala/,2026-03-11T10:37:02.654749
BANDI GYULA-ZSOLT ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare Comunelor Sânzieni, Poian și Municipiului Tg. Secuiesc Județul Covasna","Sat Sânzieni, Nr. 927, Comuna Sânzieni, Județul Covasna",0754 575 649,649bgeza1990@gmail.com,https://produsmontan.ro/produse_montane/cartofi-bandi-gyula-zsolt-intreprindere-individuala/,2026-03-11T10:37:02.654749
BARA CSILLA-MÁRIA,MIERE POLIFLORĂ | MIERE DE BRAD (MANĂ),Harghita,ODM Odorheiu Secuiesc,"Comuna Păuleni-Ciuc, Județul Harghita","Municipiul Miercurea Ciuc, Ale. Copiilor, Nr. 1, Sc. D, Et.4, Ap.29, Județul Harghita",0723 972 804,804office@bio-mez.ro,https://produsmontan.ro/produse_montane/miere-poliflora-bara-csilla-maria/ | https://produsmontan.ro/produse_montane/miere-de-brad-mana-bara-csilla-maria/,2026-03-11T10:37:02.654749
BARTALIS TÜNDE,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri aparținând Comunelor Sânzieni, Poian, Turia și Municipiului Tg. Secuiesc, Județul Covasna","Sat Sânzieni, Nr. 681, Comuna Sânzieni, Județul Covasna",0744 571 216,216tusalevi@gmail.com,https://produsmontan.ro/produse_montane/cartofi-bartalis-tunde/,2026-03-11T10:37:02.654749
BARTHA SZILVIA ÎNTREPRINDERE INDIVIDUALĂ,SFECLĂ ROȘIE | VARZĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Sânzieni, Județul Covasna","Sat Cașinu Mic, Nr.  59,  Comuna Sânzieni, Județul Covasna",0755.630.917,bgeza1990@gmail.com,https://produsmontan.ro/produse_montane/sfecla-rosie-bartha-szilvia-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/varza-bartha-szilvia-intreprindere-individuala/,2026-03-11T10:37:02.654749
BARTOS GÉZA ÎNTREPRINDERE INDIVIDUALĂ,CEAPĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare Comunei Sânzieni și municipiului Târgu Secuiesc, Județul Covasna","Sat Sânzieni, Nr. 301, Comuna Sânzieni, Județul Covasna",0757.153.583,bgeza1990@gmail.com,https://produsmontan.ro/produse_montane/ceapa-bartos-geza-intreprindere-individuala/,2026-03-11T10:37:02.654749
BEDŐ ZSUZSA ÎNTREPRINDERE INDIVIDUALĂ,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Valea Crișului, Comuna Valea Crișului, Nr. 372, Județul Covasna","Sat Valea Crișului, Comuna Valea Crișului, Nr. 372, Județul Covasna",0724526324,0724526324pzsigmond@gmail.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-bedo-zsuzsa-intreprindere-individuala/,2026-03-11T10:37:02.654749
BEFA S.R.L.,CARTOFI,Covasna,ODM Bodoc,"Sat Valea Crișului, Comuna Valea Crișului, Județul Covasna","Sat Valea Crișului, Nr. 371, Comuna Valea Crișului, Județul Covasna",0722 399 569,569bedo_zsolt@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-befa-s-r-l/,2026-03-11T10:37:02.654749
BELDEAN ADRIAN VASILE ÎNTREPRINDERE INDIVIDUALĂ,LAPTE DE VACĂ,Alba,ODM Săsciori,"Sat Geoagiu de Sus, Nr. 215, Comuna Stremț, Județul Alba","Sat Geoagiu de Sus, Nr. 215, Comuna Stremț, Județul Alba",0740 788 372,,https://produsmontan.ro/produse_montane/lapte-de-vaca-beldean-adrian-vasile-intreprindere-individuala/,2026-03-11T10:37:02.654749
BELEA VICTOR-NELU,CARTOFI | SPANAC | SALATĂ | USTUROI | CEAPĂ | FASOLE PĂSTĂI | ARDEI | CASTRAVEȚI | ROȘII,Hunedoara,ODM Hunedoara,"Sat Bărăștii Hațegului, nr. 126, comuna Sîntămăria-Orlea, județul Hunedoara","Sat Bărăștii Hațegului, nr. 126, comuna Sîntămăria-Orlea, județul Hunedoara",,,https://produsmontan.ro/produse_montane/cartofi-belea-victor-nelu/ | https://produsmontan.ro/produse_montane/spanac-belea-victor-nelu/ | https://produsmontan.ro/produse_montane/salata-belea-victor-nelu/ | https://produsmontan.ro/produse_montane/usturoi-belea-victor-nelu/ | https://produsmontan.ro/produse_montane/ceapa-belea-victor-nelu/,2026-03-11T10:37:02.654749
BENDEA CRISTIAN PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ,Alba,ODM Abrud,"Sat Valea Morii, Nr. 535, Comuna Vidra, Județul Alba","Sat Valea Morii, Nr. 535, Comuna Vidra, Județul Alba",,bendeacristian@yahoo.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-bendea-cristian-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
BERECZKI BÎRSAN E. IZOLDA ÎNTREPRINDERE INDIVIDUALĂ,UNT | CAȘ | TELEMEA | SMÂNTÂNĂ | BRÂNZĂ FRĂMÂNTATĂ,Bacău,ODM Dofteana,"Sat Coșnea, Comuna Agăș, Județul Bacău","Sat Coșnea, Comuna Agăș, Județul Bacău",0722 128 781,izoldabereczki@gmail.com,https://produsmontan.ro/produse_montane/unt-bereczki-birsan-e-izolda-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/cas-bereczki-birsan-e-izolda-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/telemea-bereczki-birsan-e-izolda-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/smantana-bereczki-birsan-e-izolda-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/branza-framantata-bereczki-birsan-e-izolda-intreprindere-individuala/,2026-03-11T10:37:02.654749
BETEA IRINA ANAMARIA PERSOANĂ FIZICĂ AUTORIZATĂ,PRUNE,SATU MARE,ODM Baia Mare,"Sat Racșa, Comuna Racșa, Județul Satu Mare","Sat Racșa, nr. 522/A, Comuna Racșa, Județul Satu Mare",0755 486 815,irincutza_ciorba2000@yahoo.com,https://produsmontan.ro/produse_montane/prune-betea-irina-anamaria-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
BILIBOC GAVRIL,LAPTE DE VACĂ | CAȘ | SMÂNTÂNĂ | TELEMEA | BRÂNZĂ FRĂMÂNTATĂ,Bacău,ODM Dofteana,"Sat Făget, Comuna Ghimeș-Făget, Județul Bacău","Sat Făget, Comuna Ghimeș-Făget, Județul Bacău",0758 928 822,,https://produsmontan.ro/produse_montane/lapte-de-vaca-biliboc-gavril/ | https://produsmontan.ro/produse_montane/cas-biliboc-gavril/ | https://produsmontan.ro/produse_montane/smantana-biliboc-gavril/ | https://produsmontan.ro/produse_montane/telemea-biliboc-gavril/ | https://produsmontan.ro/produse_montane/branza-framantata-biliboc-gavril/,2026-03-11T10:37:02.654749
BIOFERMA IEDERA ALL SRL,LAPTE CRUD DE VACĂ DE IEDERA,DÂMBOVIȚA,ODM Runcu,"Sat Iedera de Jos, Str. Principală, Nr. 631, Comuna Iedera, Județul Dâmbovița","Sat Iedera de Jos, Str. Principală, Nr. 631, Comuna Iedera, Județul Dâmbovița",0752.184.742,alexbi_transport@yahoo.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-de-iedera-bioferma-iedera-all-srl/,2026-03-11T10:37:02.654749
BIOLACT STĂNUȘ S.R.L.,URDĂ DIN LAPTE DE VACĂ | SMÂNTÂNĂ DIN LAPTE DE VACĂ | TELEMEA PROASPĂTĂ DIN LAPTE DE OAIE | TELEMEA MATURATĂ DIN LAPTE DE OAIE | CAȘ DIN LAPTE DE OAIE | BRÂNZĂ BURDUF DIN LAPTE DE VACĂ | CAȘ DIN LAPTE DE VACĂ | URDĂ DIN LAPTE DE OAIE | SMÂNTÂNĂ DIN LAPTE DE OAIE | UNT DIN LAPTE DE VACĂ,Alba,ODM Săsciori,"Sat Pianu de Sus, Comuna Pianu, Nr 195, Județul Alba","Sat Pianu de Sus, Comuna Pianu, Nr 195, Județul Alba",0767 749 457,stanus26stefan1995@gmail.com,https://produsmontan.ro/produse_montane/urda-din-lapte-de-vaca-biolact-stanus-s-r-l/ | https://produsmontan.ro/produse_montane/smantana-din-lapte-de-vaca-biolact-stanus-s-r-l/ | https://produsmontan.ro/produse_montane/telemea-proaspata-din-lapte-de-oaie-biolact-stanus-s-r-l/ | https://produsmontan.ro/produse_montane/telemea-maturata-din-lapte-de-oaie-biolact-stanus-s-r-l/ | https://produsmontan.ro/produse_montane/cas-din-lapte-de-oaie-biolact-stanus-s-r-l/,2026-03-11T10:37:02.654749
BIRĂU IOANA LETIȚIA,MIERE DE SALCÂM | MIERE DE MANĂ | MIERE POLIFLORĂ,SATU MARE,ODM Baia Mare,"Sat Turț, Comuna Turț, Județul Satu Mare","Sat Sînmartin, strada Petre Țuțea, nr. 7A, comuna Sînmartin, județul Bihor",0744 647 388,albinutafericita@yahoo.com,https://produsmontan.ro/produse_montane/miere-de-salcam-birau-ioana-letitia/ | https://produsmontan.ro/produse_montane/miere-de-mana-birau-ioana-letitia/ | https://produsmontan.ro/produse_montane/miere-poliflora-birau-ioana-letitia/,2026-03-11T10:37:02.654749
BO-COV MEAT COOPERATIVĂ AGRICOLĂ,PULPĂ DE VITĂ | MICI DIN CARNE DE VITĂ | CARNE HAMBURGER VITĂ CONDIMENTATĂ,Covasna,ODM Bodoc,"Municipiul Sfântu Gheorghe, Str. Kós Károly, Nr. 47, Județul Covasna","Municipiul Sfântu Gheorghe, Str. Ozunului, Nr. 2, Județul Covasna",0744 763 058,058poszto@yahoo.com,https://produsmontan.ro/produse_montane/pulpa-de-vita-bo-cov-meat-cooperativa-agricola/ | https://produsmontan.ro/produse_montane/mici-din-carne-de-vita-bo-cov-meat-cooperativa-agricola/ | https://produsmontan.ro/produse_montane/carne-hamburger-vita-condimentata-bo-cov-meat-cooperativa-agricola/,2026-03-11T10:37:02.654749
BODEA G. VIORICA ÎNTREPRINDERE FAMILIALĂ,CARTOFI,Cluj,ODM Mărișel,"Sat Mărcești, Nr. 79, Comuna Risca, Județul Cluj","Sat Mărcești, Nr. 79, Comuna Risca, Județul Cluj",0745 598 648,,https://produsmontan.ro/produse_montane/cartofi-bodea-g-viorica-intreprindere-familiala/,2026-03-11T10:37:02.654749
BODOR RÉKA ÎNTREPRINDERE INDIVIDUALĂ,LAPTE DE VACĂ | PORUMB ZAHARAT | MORCOVI | SFECLĂ ROȘIE,Covasna,ODM Bodoc,"Sat Ozunca-Băi, Nr. 60B, Comuna Bățani, Județul Covasna","Sat Ozunca-Băi, Nr. 60, Comuna Bățani, Județul Covasna",0775 295 236,236bodornimrodreka@gmail.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-bodor-reka-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/porumb-zaharat-bodor-reka-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/morcovi-bodor-reka-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/sfecla-rosie-bodor-reka-intreprindere-individuala/,2026-03-11T10:37:02.654749
BOGA I. OVIDIU - MIREL ÎNTREPRINDERE FAMILIALĂ,POLEN | MIERE POLIFLORĂ,MARAMUREȘ,ODM Baia Mare,"Localitatea Târgu Lăpuș, Oraș Târgu Lăpuș, Județul Maramureș","Localitatea Târgu Lăpuș, Oraș Târgu Lăpuș, Str. Pieții, Nr. 13A, Județul Maramureș",0741 076 324,,https://produsmontan.ro/produse_montane/polen-boga-i-ovidiu-mirel-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/miere-poliflora-boga-i-ovidiu-mirel-intreprindere-familiala/,2026-03-11T10:37:02.654749
BOLCHIȘ ȘOFRON,LAPTE DE VACĂ ECOLOGIC,MARAMUREȘ,ODM Baia Mare,"Sat Lăpuș, Comuna Lăpuș, Județul Maramureș","Sat Lăpuș, Comuna Lăpuș, Nr. 347A, Județul Maramureș",0748 470 284,,https://produsmontan.ro/produse_montane/lapte-de-vaca-ecologic-bolchis-sofron/,2026-03-11T10:37:02.654749
BOROS DÓRA,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Catalina, județul Covasna","Sat Catalina, Nr. 282C, Comuna Catalina, Județul Covasna",0745 326 740,740magyarizoli@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-boros-dora/,2026-03-11T10:37:02.654749
BOROS ROBERT ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare UAT_urilor: Catalina, Ghelnița, Zăbala și Târgu Secuiesc, județul Covasna","Sat Catalina, Nr. 170, Comuna Catalina, Județul Covasna",0745 326 740,740magyarizoli@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-boros-robert-intreprindere-individuala/,2026-03-11T10:37:02.654749
BOTĂ ANCA ÎNTREPRINDERE INDIVIDUALĂ,CARCASĂ BOVINĂ,Brașov,ODM Lisa,"Localitatea Sâmbăta de Sus, nr. 927, județul Brașov","Localitatea Sâmbăta de Sus, nr. 88, județul Brașov",,serban_anca29@yahoo.com,https://produsmontan.ro/produse_montane/carcasa-bovina-bota-anca-intreprindere-individuala/,2026-03-11T10:37:02.654749
BOUDA I. IOSIF PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE POLIFLORĂ,Caraș Severin,ODM Oravița,"Sat Gârnic, nr. 91, comuna Gârnic, județul Caraș-Severin","Sat Gârnic, nr. 91, comuna Gârnic, județul Caraș-Severin",0729 856 474,josefmudra@yahoo.com,https://produsmontan.ro/produse_montane/miere-poliflora-bouda-i-iosif-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
BR-ZOO-COV S.R.L.,CARCASA BOVINĂ,Covasna,ODM Întorsura Buzăului,"Sat Zăbala, nr. 855, Comuna Zăbala, Județul Covasna","Sat Zăbala, nr. 855, Comuna Zăbala, Județul Covasna",0760.835.000,monica_sulea@yahoo.com,https://produsmontan.ro/produse_montane/carcasa-bovina-br-zoo-cov-s-r-l/,2026-03-11T10:37:02.654749
BUCEA MARIUS-HORIA,POLEN USCAT | MIERE DE MANĂ,Alba,ODM Abrud,"Sat Gârde, Comuna Bistra, Județul Alba","Sat Bistra, Comuna Bistra, Str. Trompoș, Nr. 6,  Județul Alba",,buceamariushoria@gmail.com,https://produsmontan.ro/produse_montane/polen-uscat-bucea-marius-horia/ | https://produsmontan.ro/produse_montane/miere-de-mana-bucea-marius-horia/,2026-03-11T10:37:02.654749
BUDA VIOREL CREȘTEREA ANIMALELOR PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ ECOLOGIC,MARAMUREȘ,ODM Baia Mare,"Sat Ungureni, Nr. 216, Comuna Cupșeni, Județul Maramureș","Sat Ungureni, Nr. 295/A, Comuna Cupșeni, Județul Maramureș",0763 154 746,,https://produsmontan.ro/produse_montane/lapte-de-vaca-ecologic-buda-viorel-cresterea-animalelor-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
