cui,company_name,email,phone,county,city,address,legal_form,founding_date,is_active
41359703,CIVA INTERMED S.R.L.,irishresort@gmail.com,0244411505,Prahova,"Sat Mislea, Comuna Scorteni","JUD. PRAHOVA, SAT MISLEA COM. SCORTENI, STR. VALEA TELEGII, NR.4",SRL,2019-07-05,Y
1302457,DIANA PA SRL,avediana@yahoo.com,0244376762,Prahova,Municipiul Campina,"JUD. PRAHOVA, MUN. CAMPINA, STR. SALAJ, NR.15",SRL,1991-12-03,Y
39138905,WAY 18 S.R.L.,vladuiulian84@yahoo.com,0724591137,Ialomita,Municipiul Slobozia,"JUD. IALOMITA, MUN. SLOBOZIA, BLD. COSMINULUI, NR.5, BL.U26, SC.B, AP.98",SRL,2018-04-03,Y
49412241,CASA LINISTITA ILIE S.R.L.,ilielucs@gmail.com,0762281647,Buzau,"Sat Paltineni, Oras Nehoiu","JUD. BUZAU, SAT PALTINENI ORS. NEHOIU, STR. INVATATOR ION GHERGHINA, NR.9",SRL,2024-01-16,Y
5120610,SBC BEST MACARALE BUZAU S.R.L.,cristina.badea@clinica-sante.ro,0238723499,Buzau,"Sat Gheraseni, Comuna Gheraseni","JUD. BUZAU, SAT GHERASENI COM. GHERASENI, STR. CUCILOR, NR.30",SRL,1994-01-11,Y
40221671,ODOTRANSPORTING DAR S.R.L.,ene_i76@yahoo.com,,Vrancea,"Loc. Odobesti, Oras Odobesti","JUD. VRANCEA, ORS. ODOBESTI, STR. LIBERTATII, NR.518",SRL,2018-11-27,Y
42792704,LA MAFTEIU S.R.L.,vilamatei@gmail.com,,Vrancea,"Sat Reghiu, Comuna Reghiu","JUD. VRANCEA, SAT REGHIU COM. REGHIU, REGHIU",SRL,2020-07-17,Y
31256107,SOLAR POWER MANAGEMENT SRL,hempmedpharma@yahoo.com,0728053974,Buzau,Municipiul Buzau,"JUD. BUZAU, MUN. BUZAU, SOS. BRAILEI, NR.3",SRL,2013-02-20,Y
24504650,ESCAV TRANSCONS SRL,escavtranscons@gmail.com,0244577387,Prahova,"Sat Traisteni, Comuna Valea Doftanei","JUD. PRAHOVA, SAT TRAISTENI COM. VALEA DOFTANEI, CAL. BRASOVULUI, NR.801",SRL,2008-09-23,Y
30717881,FLESH TRADE INVEST DISTRIBUTION SRL,niculaidaniela@yahoo.com,0753080363,Prahova,"Sat Brazii de Sus, Comuna Brazi","JUD. PRAHOVA, SAT BRAZII DE SUS COM. BRAZI, STR. TRANDAFIRILOR, NR.33D, CORP C2",SRL,2012-09-27,N
45067361,ADM ROOF DEPOT S.R.L.,office@ttbuilding.ro,0770180320,Ialomita,"Sat Vladeni, Comuna Vladeni","JUD. IALOMITA, SAT VLADENI COM. VLADENI, STR. TRAIAN, NR.30",SRL,2021-10-15,N
1169629,ZINCA SV CIN CIN SNC,anspdcp@dataprotection.ro,039932988,Buzau,Municipiul Ramnicu Sarat,"JUD. BUZAU, MUN. RAMNICU SARAT, STR. LALELELOR, NR.6",SNC,1991-09-25,Y
49342499,STUDIO CASA ROJA S.R.L.,claudiamingioiupcpi@gmail.com,0742908597,Buzau,Municipiul Buzau,"JUD. BUZAU, MUN. BUZAU, BLD. MARESAL ALEXANDRU AVERESCU, NR.3A, CARTIER NICOLAE BALCESCU, BL.3B (ELECTRICA), ET.V, AP.19",SRL,2023-12-28,Y
47756745,EVER JOY IMPEX S.R.L.,cameliabocan@gmail.com,0725543054,Prahova,"Sat Fundeni, Comuna Gura Vitioarei","JUD. PRAHOVA, SAT FUNDENI COM. GURA VITIOAREI, FUNDENI, NR.75A,  CLADIREA C1",SRL,2023-03-06,Y
30723573,ACTROS LOGISTIC SRL,officeactroslogistic@gmail.com,0753315741,Prahova,"Sat Bucov, Comuna Bucov","JUD. PRAHOVA, SAT BUCOV COM. BUCOV, STR. TINERETULUI, NR.53",SRL,2012-09-28,Y
1363195,LILA SRL,dumitru@sibiu-guide.ro,0744313685,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. EROILOR, NR.14, CAMERA 1, BL.14F, AP.8",SRL,1991-07-16,Y
26229203,PREMIUM MEDICAL CLINIC SRL,catalina.gica@vigra.ro,0723658292,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. AVRAM IANCU, NR.4",SRL,2009-11-17,N
26720552,DAMAR GAVANE SRL,jureschivasile@yahoo.com,0721539846,Buzau,"Sat Gavanele, Comuna Bozioru","JUD. BUZAU, SAT GAVANELE COM. BOZIORU,  , NR.58",SRL,2010-03-29,N
26813333,"PAUN C. ELENA ""COMERT CU PRODUSE DIVERSE"" INTREPRINDERE INDIVIDUALA",ungureanu_nicol@yahoo.com,0748887668,Prahova,"Sat Manesti, Comuna Manesti","JUD. PRAHOVA, SAT MANESTI COM. MANESTI, NR.258",II,2010-04-22,N
15462288,VIS CAMPI SRL,emilia.vasile@alcoprod.ro,0243254200,Buzau,"Sat Dulbanu, Comuna Amaru","JUD. BUZAU, SAT DULBANU COM. AMARU, DULBANU, NR.264, DJ 102H",SRL,2014-09-22,Y
21151456,IORGA S. IOAN PF,primaria@pucheniimari.ro,0244477305,Prahova,Comuna Puchenii Mari,"JUD. PRAHOVA, COM. PUCHENII MARI, SAT ODAILE, NR.41",PF,1998-02-12,N
27288070,CONSITAROM SRL,viitorulgologanu@yahoo.com,0723566310,Vrancea,"Sat Gologanu, Comuna Gologanu","JUD. VRANCEA, SAT GOLOGANU COM. GOLOGANU",SRL,2010-08-17,N
8988450,UMIS COM SRL,elena.buse@vilmar.ro,0724377773,Prahova,Municipiul Campina,"JUD. PRAHOVA, MUN. CAMPINA, STR. AL. I. CUZA, NR.3, BL.M2, SC.B, ET.2, AP.9",SRL,1996-11-22,Y
28248104,MELANGOLO SRL,enigel.mandricel@gmail.com,0723348257,Buzau,Municipiul Buzau,"JUD. BUZAU, MUN. BUZAU, STR. BISTRITEI, NR.13, CAMERA 1",SRL,2011-03-25,Y
15783385,TEHNO FLUID VALENTINO SRL,scanteianugilda@yahoo.com,0237625804,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. VIILOR, NR.2A",SRL,2003-10-01,N
40444410,MACHO SORAMY SOFTWARE S.R.L.,gsmobile@yahoo.com,0722873217,Vrancea,"Sat Golesti, Comuna Golesti","JUD. VRANCEA, SAT GOLESTI COM. GOLESTI, STR. PASUNII, NR.30A",SRL,2019-01-17,Y
29422224,BRICONS EDIL SRL,edildavidana@yahoo.com,0744279865,Buzau,"Sat Valea Ramnicului, Comuna Valea Ramnicului","JUD. BUZAU, SAT VALEA RAMNICULUI COM. VALEA RAMNICULUI, NR. CADASTRAL 4490",SRL,2011-12-06,N
44591200,ANC DINAMIC S.R.L.,iaurum_emilia@yahoo.com,,Ialomita,"Sat Ciocirlia, Comuna Ciocirlia","JUD. IALOMITA, SAT CIOCARLIA COM. CIOCARLIA, STR. PRINCIPALA, NR.19, CAMERA 1",SRL,2021-07-14,Y
30823947,C.T.N. AERO FLAME SRL,metalicart76@gmail.com,0786059547,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. LUPENI, NR.1 BIS, ET.3, AP.12",SRL,2012-10-24,N
22362443,GITANA INGEGNERIA SRL,declaratii@geseidl.com,0244591897,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, BLD. BUCURESTI, NR.33, CAMERA 13A, BL.12A",SRL,2007-09-05,Y
52083335,FIVE TO GO FOCSANI S.R.L.,andrei.poro18@yahoo.com,0735233002,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, BLD. GARII, NR.24A",SRL,,Y
18853825,NICOLAS SRL,adriandonca14@gmail.com,0724524581,Buzau,Municipiul Buzau,"JUD. BUZAU, MUN. BUZAU, BLD. NICOLAE BALCESCU, NR.54, BL.2, SC.C, ET.3, AP.48",SRL,2006-07-14,Y
21891683,BROSS PARTENER SRL,moldoglassfocsani@yahoo.com,0237223037,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. SLT. EROU GHEORGHE POTOP, NR.11 BIS",SRL,2007-06-07,Y
8107232,TROITA PROD SRL,georgeporumboiu@yahoo.com,0243217468,Ialomita,Municipiul Slobozia,"JUD. IALOMITA, SAT BUESTI COM. BUESTI, STR. TINERETULUI, NR.21",SRL,1995-12-22,Y
44281340,SIMPLESAY S.R.L.,falvia.catuna@yahoo.com,,Ialomita,Municipiul Urziceni,"JUD. IALOMITA, MUN. URZICENI, STR. AGRICULTORI, NR.5",SRL,2021-12-09,N
16980954,LA IONICA SRL,raresrasinari1234@gmail.com,0745457899,Buzau,"Sat Badila, Comuna Pirscov","JUD. BUZAU, SAT BADILA COM. PARSCOV",SRL,2004-11-25,Y
38476410,TAT CONSTRUCT SIN SRL,tatconstructsin@gmail.com,0744145318,Prahova,"Loc. Sinaia, Oras Sinaia","JUD. PRAHOVA, ORS. SINAIA, STR. BRANDUSELOR, NR.6",SRL,2017-11-13,Y
41092907,DULCIURI CITITE S.R.L.,dulciuricitite@gmail.com,0734353123,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. CERCULUI, NR.7",SRL,2019-05-10,Y
49492135,SPAL SI CURAT S.R.L.,cesanova@pensiuneaovidiuadjud.ro,0742083229,Buzau,"Sat Caldaruseanca, Comuna Glodeanu Sarat","JUD. BUZAU, SAT CALDARUSEANCA COM. GLODEANU SARAT, STR. PRINCIPALA, NR.6",SRL,2024-01-30,Y
50986469,SMART OFFICE STATION S.R.L.,nicoleta.spiridon@asmedical.ro,0728088890,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, BLD. REPUBLICII, NR.202K",SRL,,Y
28551050,NAPORES CENTRAL S.R.L.,andreea.bond@icloud.com,0318250312,Prahova,"Loc. Sinaia, Oras Sinaia","JUD. PRAHOVA, ORS. SINAIA, CAL. MOROIENI, NR.23A",SRL,2021-08-03,Y
9459954,DODO GENERAL COM SRL,eurosem_focsani@yahoo.com,0744890413,Vrancea,"Sat Gugesti, Comuna Gugesti","JUD. VRANCEA, SAT GUGESTI COM. GUGESTI, COM. GUGESTI",SRL,1997-05-12,N
17619002,"APOSTOL C. ECATERINA ""MIRABELA"" AF",mizil@prefecturaprahova.ro,0244250027,Prahova,"Loc. Mizil, Oras Mizil","JUD. PRAHOVA, ORS. MIZIL, STR. CUZA VODA, NR.3, BL.31, SC.A, ET.2, AP.9",AF,2005-05-24,N
19332850,VLARAFARM SRL,resurseumane@larafarm.ro,0723990209,Buzau,"Sat Amaru, Comuna Amaru","JUD. BUZAU, SAT AMARU COM. AMARU, STR. DJ 102H, NR.581",SRL,2011-02-22,Y
24789387,EON SOFT DESIGN SRL,contact.contabilitate@poliserv.ro,0244513287,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. ANA IPATESCU, NR.71",SRL,2008-11-25,N
19107076,TOTAL AQUA DISTRIBUTION SRL,cordovidiu1956@yahoo.com,0723380148,Prahova,"Sat Urleta, Comuna Banesti","JUD. PRAHOVA, SAT URLETA COM. BANESTI, STR. PRINCIPALA, NR.428, BIROU B2 PARTER SI DEPOZIT IN CLADIREA C1 HALA H5",SRL,2006-10-16,Y
45628014,PHLEGON SOLAR ENERGY S.R.L.,ancvalue@gmail.com,0726108098,Prahova,"Loc. Valenii de Munte, Oras Valenii de Munte","JUD. PRAHOVA, ORS. VALENII DE MUNTE, STR. VALEA GARDULUI, NR.36, CAMERA 1",SRL,2022-02-11,Y
43782318,PC BYTE S.R.L.,danaburciu1998@gmail.com,0725214340,Ialomita,Municipiul Slobozia,"JUD. IALOMITA, MUN. SLOBOZIA, STR. GARII NOI, NR.11",SRL,2021-02-22,Y
40706456,COMPANIA NATIONALA POSTA ROMANA SA -SUCURSALA PLOIESTI,lidia.teleleu@ro.post,0212009256,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, PTA. VICTORIEI, NR.8",N/A,2019-02-27,Y
20974632,AGRICUENCA SRL,dpo@kompass.com,092754134,Ialomita,"Sat Saveni, Comuna Saveni","JUD. IALOMITA, SAT SAVENI COM. SAVENI, STR. CALEA TANDAREIULUI, NR.1",SRL,2007-03-13,Y
42906744,MARIAPAN S.R.L.,voiculumi@gmail.com,0744351867,Prahova,"Sat Gorgota, Comuna Gorgota","JUD. PRAHOVA, SAT GORGOTA COM. GORGOTA, GORGOTA, NR.49",SRL,2020-08-12,Y
27289203,IPRIS SRL,agropensiuneairis@gmail.com,,Ialomita,Municipiul Fetesti,"JUD. IALOMITA, MUN. FETESTI, STR. 1 MAI, NR.5, VLASCA",SRL,2010-08-18,Y
25199457,VENOPES SRL,razvan.venete@yahoo.com,0722747425,Prahova,"Sat Targsoru Vechi, Comuna Targsoru Vechi","JUD. PRAHOVA, SAT TARGSORU VECHI COM. TARGSORU VECHI, STR. ORIZONTULUI, NR.3",SRL,2009-02-26,Y
40353117,ELICONF TEXTILE S.R.L.,cernat.daniela@yahoo.com,0732119664,Ialomita,Municipiul Fetesti,"JUD. IALOMITA, MUN. FETESTI, STR. GHEORGHE LAZAR, NR.13",SRL,2018-12-21,N
14393430,ROTTA NATURA SA,office@rottanatura.eu,0753096560,Buzau,Municipiul Buzau,"JUD. BUZAU, MUN. BUZAU, ALEEA INDUSTRIILOR, NR.5, ETAJ, CAMERA 1",SA,2002-01-18,Y
14675164,VISLUX SRL,viluxbrasov@gmail.com,,Vrancea,"Sat Golesti, Comuna Golesti","JUD. VRANCEA, SAT GOLESTI COM. GOLESTI, STR. MUGUR",SRL,2001-03-07,Y
52614658,SPLENDISSIMA CLEANING SERVICES S.R.L.,diplomatic.international@gmail.com,0768307110,Vrancea,"Loc. Odobesti, Oras Odobesti","JUD. VRANCEA, ORS. ODOBESTI, STR. NICOLAE IORGA, NR.11, CONSTRUCTIA C1. CAMERA 1",SRL,,Y
46289471,TRANSBOSTAN TEO S.R.L.,doinaplisc@yahoo.com,0771513681,Vrancea,"Sat Radulesti, Comuna Vanatori","JUD. VRANCEA, SAT RADULESTI COM. VANATORI, RADULESTI",SRL,2022-06-14,N
51693572,NEW LIFE PET S.R.L.,iulian_matei30@yahoo.ro,0762927777,Ialomita,"Sat Rasimnicea, Comuna Radulesti","JUD. IALOMITA, SAT BRAZII COM. RADULESTI, SOS. PLOIESTI, NR.16",SRL,,Y
25199520,MESTERICA FASHION SRL,tavernasarbului_sinaia@yahoo.com,0722658587,Prahova,"Sat Talea, Comuna Talea","JUD. PRAHOVA, SAT TALEA COM. TALEA, NR.199",SRL,2009-02-26,N
14054310,BIOEC AGRO SRL,protectia1999@yahoo.com,0244192772,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. MIHAI EMINESCU, NR.7",SRL,2001-07-04,N
49404842,RICHYLUC CONSTRUCT S.R.L.,richyluconstruct@gmail.com,0769747379,Prahova,"Loc. Mizil, Oras Mizil","JUD. PRAHOVA, ORS. MIZIL, STR. TEPES VODA, NR.32",SRL,2024-01-15,Y
52509024,DRAEOJADR S.R.L.,casa.la.poalele.muntelui@gmail.com,0756312330,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. MIHAI BRAVU, NR.235 F, AP.96",SRL,,Y
21260844,TOMA & C.D. ASISTSERVCONS SRL,cenuseadrianilie@yahoo.com,0721624371,Prahova,Municipiul Campina,"JUD. PRAHOVA, MUN. CAMPINA, BLD. CAROL I, NR.60, BL.14G, ET.6, AP.18",SRL,2007-03-02,N
7726117,CONSIROM SRL,consirom@yahoo.com,0722330646,Ialomita,Municipiul Slobozia,"JUD. IALOMITA, MUN. SLOBOZIA, STR. GARII NOI, NR.3",SRL,1995-09-14,Y
35243207,BD LEXCONT PERFECT SRL,lexcontfocsani@gmail.com,0721894254,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. MR. GHEORGHE PASTIA, NR.3, BL.Y, SC.2, ET.P, AP.20",SRL,2015-11-18,Y
22980240,USART SERV CON SRL,rudeighenadie@gmail.com,0721258311,Prahova,"Sat Pantazi, Comuna Valea Calugareasca","JUD. PRAHOVA, SAT PANTAZI COM. VALEA CALUGAREASCA, NR.222",SRL,2007-12-21,N
30150220,SC IT EXPERT ARCHIVE S.R.L.,prest.arhive@gmail.com,0724685081,Ialomita,"Loc. Tandarei, Oras Tandarei","JUD. IALOMITA, ORS. TANDAREI, STR. BRAILEI, NR.56I",SRL,2012-05-04,Y
42447587,TOP MUNTENIA FARM S.R.L.,topmunteniafarm@gmail.com,+40722267274,Ialomita,"Sat Gheorghe Lazar, Comuna Gheorghe Lazar","JUD. IALOMITA, SAT GHEORGHE LAZAR COM. GHEORGHE LAZAR, STR. MATEI BASARAB, NR.27",SRL,2020-04-09,Y
39623578,BOTIQUE S.R.L.,daniel.octavian.nita@gmail.com,0753666204,Ialomita,Municipiul Urziceni,"JUD. NEAMT, SAT GIROV COM. GIROV, STR. NICORESTI, NR.626",SRL,2018-07-13,N
26945091,COMAN I. ELENA ALINA INTREPRINDERE INDIVIDUALA,comanelenail@yahoo.com,0744334119,Ialomita,"Sat Vladeni, Comuna Vladeni","JUD. IALOMITA, SAT VLADENI COM. VLADENI, STR. MIHAI VITEAZUL, NR.61",II,2010-05-18,N
48875086,KALIA GOODWAY S.R.L.,elena@caress.ro,0799794779,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. RUDULUI, NR.114, C3",SRL,2023-10-02,Y
