denumire,tip,birou_vamal,data_autorizatie
HELLMANN WORLDWIDE LOGISTICS SRL,AEOC,ROANV004,22/06/2015
HENDRICKSON ROMANIA SRL,AEOC,ROANV004,21/04/2019
HERAEUS ROMANIA SRL,AEOC,ROANV004,01/07/2024
HIPAC ROMANIA SRL,AEOC,ROANV004,02/06/2021
HORSE ROMANIA SA,AEOC,ROANV004,30/07/2017
IKEA PURCHASING SERVICES (ROMANIA) SRL,AEOC,ROANV004,15/10/2024
IMPAR SRL,AEOC,ROANV004,26/07/2021
INDOMEX SRL,AEOC,ROANV004,22/12/2019
INFOTIR SRL,AEOC,ROANV004,01/06/2020
INVICTUS FORCE&amp;SAFE SA,AEOC,ROANV004,09/08/2021
ITALSOFA ROMANIA SRL,AEOC,ROANV004,12/05/2024
JORIS IDE SRL,AEOC,ROANV004,01/09/2024
KALEKIM ROMANIA SA,AEOC,ROANV004,16/10/2023
KRONOSPAN TRADING SRL,AEOC,ROANV004,30/04/2024
LAUFER TRADING SRL,AEOC,ROANV004,21/12/2020
LINCOR TRANS SRL,AEOC,ROANV004,17/01/2026
LION SHIPPING &amp; CHARTERING SRL,AEOC,ROANV004,29/05/2019
MARA LOGISTICS QUALITY SRL,AEOC,ROANV004,24/12/2017
MARQUARDT SCHALTSYSTEME SCS,AEOC,ROANV004,21/03/2018
MARVIANIS SPEDITION SRL,AEOC,ROANV004,19/10/2022
MCS TRANS PARTNER SRL,AEOC,ROANV004,29/11/2025
MD TRANS COM SRL,AEOC,ROANV004,03/03/2016
METALE INTERNATIONAL SRL,AEOC,ROANV004,29/04/2023
MINET INDUSTRIES SRL,AEOC,ROANV004,11/06/2023
MINET SA,AEOC,ROANV004,20/04/2024
MMS MINERALS &amp; METALS SOLUTIONS SRL,AEOC,ROANV004,17/12/2024
MOBIPARTS SRL,AEOC,ROANV004,15/11/2020
MONSSON SRL,AEOC,ROANV004,29/10/2023
NOVASERVIS FERRO GROUP SRL,AEOC,ROANV004,09/03/2026
NX CARGO-PARTNER ROMANIA SRL,AEOC,ROANV004,30/09/2023
OMNI CARGO SOLUTIONS SRL,AEOC,ROANV004,19/12/2017
ORLANDO IMPORT EXPORT 2001 SRL,AEOC,ROANV004,13/07/2021
PANDORA PROD SRL,AEOC,ROANV004,10/02/2021
PHINIA DELPHI ROMANIA SRL,AEOC,ROANV004,26/08/2015
PRESTROM SRL,AEOC,ROANV004,01/06/2019
PROLISOK SRL,AEOC,ROANV004,04/11/2015
PROLOG SRL,AEOC,ROANV004,13/10/2025
QUALITY SEA HOMES SRL,AEOC,ROANV004,05/02/2022
REGATA SRL,AEOC,ROANV004,24/05/2023
RESET TRANS SRL,AEOC,ROANV004,14/04/2020
RIVIERA BIKE SRL,AEOC,ROANV004,23/09/2025
ROM SPEDITION SRL,AEOC,ROANV004,27/02/2018
ROMSPEDITION SRL,AEOC,ROANV004,29/03/2023
ROWO SPEDITION SRL,AEOC,ROANV004,04/04/2019
SAINT- GOBAIN GLASS ROMANIA SRL,AEOC,ROANV004,24/02/2021
SAMCO MART INVEST SRL,AEOC,ROANV004,23/09/2024
SCHENKER LOGISTICS ROMANIA SA,AEOC,ROANV004,20/12/2011
SERBAN TRANS IMPEX CONSULTING SRL,AEOC,ROANV004,04/01/2010
SGS ROMANIA SA,AEOC,ROANV004,21/12/2025
SOCIETATEA DE ADMINISTRARE A PARTICIPAŢIILOR ÎN ENERGIE S.A.,AEOC,ROANV004,22/11/2021
SOLID HOUSE SRL,AEOC,ROANV004,24/12/2018
SORSTE SA,AEOC,ROANV004,19/03/2025
SPEED BROKER SRL,AEOC,ROANV004,07/04/2019
SPRING NOVA PROIECT SRL,AEOC,ROANV004,22/06/2024
STEINEL ELECTRONIC SRL,AEOC,ROANV004,15/10/2016
SUNAR AGRO SRL,AEOC,ROANV004,01/07/2024
T.O. PIETRICICA SRL,AEOC,ROANV004,07/02/2022
TERRA DOCUMENT EXPERT,AEOC,ROANV004,17/10/2011
TERRA PROTRANS TRADE SRL,AEOC,ROANV004,15/02/2025
TONIS TRADE SRL,AEOC,ROANV004,18/05/2020
TOP RESERVE BUSINESS SRL,AEOC,ROANV004,30/11/2023
TRIVAS GRUP SRL,AEOC,ROANV004,03/01/2023
TURKROM SA,AEOC,ROANV004,12/11/2018
UNICOM TRANZIT SA,AEOC,ROANV004,25/05/2025
UNIMASTERS LOGISTICS SRL,AEOC,ROANV004,27/07/2020
UNITEHNICA SRL,AEOC,ROANV004,05/11/2019
VISUAL FAN SA,AEOC,ROANV004,17/02/2024
VITACOM ELECTRONICS SRL,AEOC,ROANV004,04/07/2023
WOCO PIPE SYSTEM COMPONENTS ROM SRL,AEOC,ROANV004,01/10/2025
A-E ELECTRONICS SA,AEOF,ROANV004,29/07/2024
ABC WORLD LOGISTIC SRL,AEOF,ROANV004,20/02/2015
ACILA SRL,AEOF,ROANV004,27/03/2018
AENOVA ROMANIA S.R.L.,AEOF,ROANV004,31/03/2019
AEROSTAR SA,AEOF,ROANV004,21/07/2009
AGRANA ROMANIA SRL,AEOF,ROANV004,29/11/2023
AIRBUS HELICOPTERS ROMANIA SA,AEOF,ROANV004,13/03/2019
ALDONA SRL,AEOF,ROANV004,08/06/2024
ALGABETH COM SRL,AEOF,ROANV004,02/03/2026
ANN REEVES &amp; FRANCESCA SA,AEOF,ROANV004,21/12/2021
ANTIBIOTICE SA,AEOF,ROANV004,17/07/2019
APS PIPES SRL,AEOF,ROANV004,29/08/2023
APTIV TECHNOLOGY SERVICES &amp; SOLUTIONS SRL,AEOF,ROANV004,11/10/2010
AS WORLD CARGO SRL,AEOF,ROANV004,10/08/2016
ASO CROMSTEEL S.A.,AEOF,ROANV004,19/01/2022
ATR SERVICES SRL,AEOF,ROANV004,29/10/2015
ATU INTERNATIONAL SRL,AEOF,ROANV004,23/07/2015
AUMOVIO SYSTEMS ROMANIA SRL,AEOF,ROANV004,02/11/2009
AUMOVIO TECHNOLOGIES ROMANIA SRL,AEOF,ROANV004,22/07/2013
AUTOLIV ROMANIA SRL,AEOF,ROANV004,20/08/2015
AUTONET IMPORT SRL,AEOF,ROANV004,14/05/2019
AVON COSMETICS (ROMANIA) SRL,AEOF,ROANV004,03/08/2012
AXXA EXPEDITII SRL,AEOF,ROANV004,23/05/2018
BERENZ SPEDITION SRL,AEOF,ROANV004,04/01/2010
BETA INTERTRANS SRL,AEOF,ROANV004,14/02/2017
BIPMOBILE SRL,AEOF,ROANV004,02/12/2014
BOA RBT SRL,AEOF,ROANV004,23/05/2017
BOSCH AUTOMOTIVE SRL,AEOF,ROANV004,06/11/2022
BRAVO INTERNATIONAL RO SRL,AEOF,ROANV004,08/03/2023
BRITISH-AMERICAN TOBACCO ROMANIA INVESTMENT SRL,AEOF,ROANV004,30/03/2012
BUNGE ROMANIA SRL,AEOF,ROANV004,13/06/2021
Beko Romania S.A.,AEOF,ROANV004,30/12/2014
C.STEINWEG ROMANIA SRL,AEOF,ROANV004,05/03/2026
CAMERON ROMANIA SRL,AEOF,ROANV004,08/06/2024
CAMPO D ORO SRL,AEOF,ROANV004,20/12/2023
CELESTICA (ROMANIA ) SRL,AEOF,ROANV004,10/09/2014
CELLTECH MOBILE SERVICES SRL,AEOF,ROANV004,03/02/2020
CEVA AIR &amp; OCEAN ROMANIA SRL,AEOF,ROANV004,07/08/2022
CEVA GROUND LOGISTICS ROMANIA SRL,AEOF,ROANV004,01/11/2013
CICOR ROMANIA SRL,AEOF,ROANV004,13/12/2020
CMA CGM ROMANIA SA,AEOF,ROANV004,28/05/2010
COATS ROMANIA SRL,AEOF,ROANV004,08/08/2016
CONSTANTA SOUTH CONTAINER TERMINAL SRL,AEOF,ROANV004,27/11/2014
CONTAINER CLEARANCE SERVICES SRL,AEOF,ROANV004,08/04/2011
CONTINENTAL AUTOMOTIVE PRODUCTS,AEOF,ROANV004,12/07/2016
CONTITECH FLUID AUTOMOTIVE ROMANIA SRL,AEOF,ROANV004,03/05/2023
D.B. GROUP ROMANIA SRL,AEOF,ROANV004,30/09/2019
DAR DRAXLMAIER AUTOMOTIVE SRL,AEOF,ROANV004,12/08/2013
DE&#39;LONGHI ROMANIA SRL,AEOF,ROANV004,13/12/2023
DHL INTERNATIONAL ROMANIA SRL,AEOF,ROANV004,10/07/2009
DHL LOGISTICS SRL,AEOF,ROANV004,11/11/2015
DOLO TRANS OLIMP SRL,AEOF,ROANV004,25/06/2018
DONALAM SRL,AEOF,ROANV004,08/11/2022
DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,AEOF,ROANV004,05/08/2013
DRM DRAXLMAIER ROMANIA SISTEME ELECTRICE SRL,AEOF,ROANV004,26/07/2020
DSV AIR &amp; SEA SRL,AEOF,ROANV004,31/07/2017
DTR-DRAXLMAIER SISTEME TEHNICE ROMANIA SRL,AEOF,ROANV004,27/06/2020
DTS LOGISTIC SERVICES SRL,AEOF,ROANV004,08/12/2014
DURA AUTOMOTIVE  ROMANIA SRL,AEOF,ROANV004,12/11/2016
ECS LOGISTICS SRL,AEOF,ROANV004,23/09/2017
EGGER ROMANIA SRL,AEOF,ROANV004,01/08/2011
EISBERG SRL,AEOF,ROANV004,18/12/2021
ELECTROLUX ROMANIA SA,AEOF,ROANV004,16/06/2019
ELKA INTERNATIONAL SRL,AEOF,ROANV004,22/12/2015
ELMET INTERNATIONAL SRL,AEOF,ROANV004,20/06/2021
ELTRA LOGIS SRL,AEOF,ROANV004,05/09/2020
EMERSON SRL,AEOF,ROANV004,14/12/2012
EUROCCOPER SA,AEOF,ROANV004,16/09/2010
EUROEXPRESS EXPEDITIONS SRL,AEOF,ROANV004,17/09/2014
EXPEDITOR PREST S.R.L.,AEOF,ROANV004,12/09/2023
FEDEX EXPRESS ROMANIA TRANSPORTATION SRL,AEOF,ROANV004,01/07/2009
FEDEX LOGISTICS ROMANIA SRL,AEOF,ROANV004,11/07/2014
FORD OTOSAN ROMANIA SRL,AEOF,ROANV004,03/05/2012
GEODIS TRANSPORT ROMANIA SA,AEOF,ROANV004,24/03/2019
GERLACH EUROPEAN SERVICES SRL,AEOF,ROANV004,25/11/2017
GST SAFETY TEXTILES RO SRL,AEOF,ROANV004,31/05/2021
HAMILTON CENTRAL EUROPE SRL,AEOF,ROANV004,10/04/2021
HELLA ROMANIA SRL,AEOF,ROANV004,10/09/2018
HIRSCHMANN AUTOMOTIVE TM SRL,AEOF,ROANV004,10/12/2019
HONEYWELL LIFE SAFETY ROMANIA SRL,AEOF,ROANV004,08/04/2011
HUF ROMANIA SRL,AEOF,ROANV004,13/07/2016
I.B.CARGO SRL,AEOF,ROANV004,18/03/2013
"IHI INFRASTRUCTURE SYSTEMS CO., LTD",AEOF,ROANV004,03/03/2021
INTER CARS ROMANIA SRL,AEOF,ROANV004,11/07/2022
INTERNATIONAL BUSINESS TRANSPORT SA,AEOF,ROANV004,17/03/2014
INTERNATIONAL ROMEXPRESS SERVICE LTD SRL,AEOF,ROANV004,11/05/2010
INTERSNACK ROMANIA SRL,AEOF,ROANV004,03/11/2015
INTERTRANS COMPANY SRL,AEOF,ROANV004,21/12/2015
INTEX SA,AEOF,ROANV004,28/08/2016
ISOPAN EST SRL,AEOF,ROANV004,03/03/2026
ISOVOLTA S.R.L.,AEOF,ROANV004,07/06/2016
J T INTERNATIONAL MANUFACTURING SA,AEOF,ROANV004,21/06/2010
JOYSON SAFETY SYSTEMS ARAD SRL,AEOF,ROANV004,18/12/2021
JOYSON SAFETY SYSTEMS SIBIU SRL,AEOF,ROANV004,23/04/2022
JOYSONQUIN AUTOMOTIVE SYSTEMS ROMANIA SRL,AEOF,ROANV004,07/03/2022
KARL HEINZ DIETRICH INT EXPED SRL,AEOF,ROANV004,21/12/2009
KASTAMONU ROMANIA SA,AEOF,ROANV004,20/09/2017
KAUFLAND ROMANIA SCS,AEOF,ROANV004,25/07/2018
KLG EUROPE LOGISTICS SRL,AEOF,ROANV004,16/02/2012
KUEHNE + NAGEL SRL,AEOF,ROANV004,06/01/2011
LEONI WIRING SYSTEMS ARAD SRL,AEOF,ROANV004,06/10/2016
LEONI WIRING SYSTEMS RO SRL,AEOF,ROANV004,28/01/2014
LITENS AUTOMOTIVE (EASTERN EUROPE) SRL,AEOF,ROANV004,03/08/2022
LOMBARDA SPEDIZIONI SRL,AEOF,ROANV004,11/02/2016
M&amp;M MILITZER &amp; MUNCH ROMANIA SRL,AEOF,ROANV004,16/09/2019
MAINFREIGHT SRL,AEOF,ROANV004,11/06/2010
MAKITA EU SRL,AEOF,ROANV004,13/10/2025
MARCHAND SRL,AEOF,ROANV004,24/12/2014
MARIAN&#39;S TRADING SRL,AEOF,ROANV004,11/05/2010
MASTER MIND SRL,AEOF,ROANV004,21/06/2016
MAURICE WARD &amp; CO SRL.,AEOF,ROANV004,09/07/2023
MEDIPLUS EXIM SRL,AEOF,ROANV004,19/01/2015
MEDROM EXPRES BROKER SRL,AEOF,ROANV004,27/12/2025
MEDROM LOGISTICS SRL,AEOF,ROANV004,16/09/2010
MICHELIN ROMANIA SA,AEOF,ROANV004,27/11/2014
NERTRANS CARGO SRL,AEOF,ROANV004,18/07/2018
NESTLE ROMANIA SRL,AEOF,ROANV004,02/04/2017
NETWORK ONE DISTRIBUTION SRL,AEOF,ROANV004,30/01/2023
NORDIK CONSULTING SRL,AEOF,ROANV004,24/03/2025
NORDIK GROUP SRL,AEOF,ROANV004,24/03/2025
NOVARTIS PHARMACEUTICALS S.R.L.,AEOF,ROANV004,13/06/2018
OIL TERMINAL SA,AEOF,ROANV004,24/12/2019
OMNIA PLAST SRL,AEOF,ROANV004,29/08/2021
OSCAR DOWNSTREAM SRL,AEOF,ROANV004,13/09/2025
PEGASUS SUPPLY - CHAIN SOLUTIONS SRL,AEOF,ROANV004,16/03/2011
PHILIP MORRIS ROMANIA SRL,AEOF,ROANV004,06/11/2009
PIRAMID INTERNATIONAL S.A.,AEOF,ROANV004,17/09/2023
PIRELLI TYRES ROMANIA SRL,AEOF,ROANV004,04/05/2025
PLEXUS SERVICES RO SRL,AEOF,ROANV004,05/05/2015
RAZADI SRL,AEOF,ROANV004,16/02/2025
RENANIA TRADE SRL,AEOF,ROANV004,07/07/2018
RIDIA COMISIONAR SRL,AEOF,ROANV004,03/03/2019
RIF LOGISTIC SOLUTIONS SRL,AEOF,ROANV004,14/05/2017
RIFIL SA,AEOF,ROANV004,14/01/2023
RILVAN-SERV SRL,AEOF,ROANV004,25/07/2018
ROBERT BOSCH SRL,AEOF,ROANV004,12/08/2020
ROM LOGISTIC SRL,AEOF,ROANV004,14/02/2017
ROMAQUA GROUP SA,AEOF,ROANV004,28/07/2024
ROMEXPRESS TRANS 94 SRL,AEOF,ROANV004,29/05/2017
ROMFRACHT SRL,AEOF,ROANV004,29/07/2017
SAMSUNG ELECTRONICS ROMANIA SRL,AEOF,ROANV004,30/03/2012
SANTIERUL NAVAL DAMEN GALATI SA,AEOF,ROANV004,25/11/2014
SANTILIANA HOLDING S.R.L.,AEOF,ROANV004,19/11/2023
SCHAEFFLER MOTION TECHNOLOGIES ROMANIA SRL,AEOF,ROANV004,29/11/2021
SCHAEFFLER ROMANIA SRL,AEOF,ROANV004,04/04/2018
SEA CONTAINER SERVICES SRL,AEOF,ROANV004,08/02/2021
SEATRANS HOUSE SERVICES SRL,AEOF,ROANV004,26/01/2011
SEFAR SRL,AEOF,ROANV004,14/09/2022
SILCOTUB SA,AEOF,ROANV004,01/10/2016
SILK ROUTE SHIPPING SRL,AEOF,ROANV004,07/08/2014
SISTEME DE PRODUCTIE CABLAJE SRL,AEOF,ROANV004,18/05/2015
STABILUS ROMANIA SRL,AEOF,ROANV004,21/01/2020
STERK PLAST SRL,AEOF,ROANV004,28/03/2011
STRAUSS ROMANIA SRL,AEOF,ROANV004,29/12/2015
SWOBODA SIBIU SRL,AEOF,ROANV004,20/06/2020
SWOBODA TIMISOARA SRL,AEOF,ROANV004,27/05/2024
TLC SHUTTERS SRL,AEOF,ROANV004,20/02/2022
TOTAL COMISIONARY SERVICES SRL,AEOF,ROANV004,09/03/2015
TRUCKS EXPEDITION SRL,AEOF,ROANV004,15/07/2019
TRW AIRBAG SYSTEMS SRL,AEOF,ROANV004,03/11/2021
UPS SCS ROMANIA SRL,AEOF,ROANV004,04/08/2010
UZINSIDER TECHNO SA,AEOF,ROANV004,10/09/2009
VRK EXPEDITIONS SRL,AEOF,ROANV004,28/05/2019
WORLD MEDIATRANS SRL,AEOF,ROANV004,19/08/2015
YUSEN LOGISTICS (ROMANIA) SRL,AEOF,ROANV004,14/10/2014
ZES ZOLLNER ELECTRONIC SRL,AEOF,ROANV004,05/04/2016
ALVALEXINO CO SRL,AEOS,ROANV004,23/10/2018
APULUM S.A.,AEOS,ROANV004,29/03/2020
ARIF SRL,AEOS,ROANV004,21/04/2019
ATLAS IMOBILIARE S.R.L.,AEOS,ROANV004,20/06/2020
DUMAGAS TRANSPORT SA,AEOS,ROANV004,21/09/2012
DUVENBECK LOGISTIK S.R.L.,AEOS,ROANV004,23/04/2019
ECOLOR SRL,AEOS,ROANV004,28/11/2020
ELITON TRANS SRL,AEOS,ROANV004,07/05/2023
FARTUD SRL,AEOS,ROANV004,03/02/2016
GLOBAL SHIPPING &amp; FORWARDING SRL,AEOS,ROANV004,02/06/2019
HOPE SPED SRL,AEOS,ROANV004,21/04/2021
INOVATIV LOGISTIC SRL,AEOS,ROANV004,04/11/2024
INTERNATIONAL ALEXANDER SRL,AEOS,ROANV004,06/08/2017
IPEC SA,AEOS,ROANV004,25/10/2020
LIFE LOGISTICS SRL,AEOS,ROANV004,22/09/2014
LOGISTREAM INTERNATIONAL SRL,AEOS,ROANV004,25/03/2025
MAERSK LOGISTICS &amp; SERVICES ROMANIA SRL,AEOS,ROANV004,15/06/2025
MOORHOUSE LOGISTICS LTD SRL,AEOS,ROANV004,21/07/2020
PANDUIT EUROPEAN SOLUTIONS SRL,AEOS,ROANV004,08/10/2019
RAP CONFECTIONERY SRL,AEOS,ROANV004,09/01/2022
TAPARO SA,AEOS,ROANV004,27/02/2021
TRANSGOR LOGISTIK S.R.L.,AEOS,ROANV004,16/04/2018
TRANSMEC RO SRL,AEOS,ROANV004,19/10/2019
TRANSPARENT DESIGN SRL,AEOS,ROANV004,23/03/2026
WHEELS SPEDITION SRL,AEOS,ROANV004,07/01/2020
