denumire,judet,adresa,telefon,nr_autorizatie,data_emiterii,tip_autorizatie,descriere_autorizatie
ELECTRIC AUTOMATIC SRL,ARAD,"Arad, Calea Aurel Vlaicu, nr. 121-125, et. 2",0742997910,B-3286,07.12.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"GRIMNIR ADVANCED
TECHNOLOGIES SRL",ARAD,"Arad, Str. Dr. Mihail Mărcuș, nr. 21",0720091963,B-1978,13.09.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
HOUSE DOCTOR SRL,ARAD,"Curtici, str. C-tin Brâncoveanu, nr.1",0745/456325,A-9139,07.17.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC IMSAT ARAD SRL,ARAD,"Arad, str. Pescarilor, nr. F.N,",0257/218818,A-0128,02.07.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"IRON GUARD 2012 SRL
Autorizată la:",ARAD,"Arad, str. Poetului, nr. 1/C, ap. 1
Lipova, str. Detașamentul Păuliș, nr. 194, bl.O, ap.1",0757/081001,"B-5139
A-7080","23.05.2025
30.05.2017",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INSTAL GROUP SRL,ARAD,"Arad, Calea Timișorii, nr. 147, jud. Arad",0257/276466,A-6524,08.12.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"FUTURE TECH SOLUTIONS SRL
Autorizată ca:
J&F COMPANY SRL
Autorizată la:
J&F COMPANY SRL","ARAD
ARAD
ARAD","Arad, str. Petru Rareș, nr.117
Arad, str. Petru Rareș, nr.117
Chişineu-Criş, str. Bucegi, nr. 8","0730/618401
0730/618401
0730/618401","B-1427
B-0509
A-3725","17.02.2022
08.03.2021
04.11.2013",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LULU SECURITY 2000 SRL,ARAD,"Arad, Str. Cocorilor, nr.43",0722/729953,A-9583,30.12.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MATRIX COMPUTERS SRL,ARAD,"Arad, str. Vârful cu Dor, nr.30",0257/338565,A-2754,16.10.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"PAVEL GHEORGHE MIRCEA
ÎNTREPRINDERE INDIVIDUALĂ",ARAD,"Arad, str.Bârzava, bl.106, sc.B, et.2, ap.5",0257/265975,A-0122,01.07.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PREMIUM LINE SECURITY SRL,ARAD,"Arad, Calea A. Vlaicu, bl.Z24, sc.A, et.6, ap.28",0741/483219,A-8990,17.05.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
REINFORCE PROTECT SRL,ARAD,"Arad, str. Odobescu, nr. 7A",0753501704,B-5020,30.04.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC SALVATOR F SRL,ARAD,"Chişineu-Criş, str.Înfrăţirii, nr.122",0257/219518,A-0773,24.03.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC SISTEM ALARM SRL,ARAD,"Arad, str. Zsigmond Moricz, nr. 33",0257/272265,A-1766,02.02.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC TECHRMN SECURITY SRL,ARAD,"Arad, Bd. Nicolae Titulescu, bloc 303/5, scara B, ap. 1",0757534789,B-0304,27.11.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC TECHSON SRL,ARAD,"Arad, str.Dunării, nr.101",0740/842903,A-1007,24.05.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC TOP SECURITY SERVICE SRL,ARAD,"Arad, str. Piaţa Sârbească, nr.1",0257/281410,A-0243,24.08.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"ABC SMART CONNECT SECURITY
SRL",ARGEŞ,"Piteşti, str. Teiuleanu, nr.18, sc.A, et.1, ap.2",0721/277482,A-8712,28.01.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ARGEDAVA CONSTRUCT SRL,ARGEȘ,"Pitești, B-dul Republicii, nr. 148, corp C2, cam. 102, etaj 1",0733237508,B-5353,14.07.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
AUTOMOBILE-DACIA SA,ARGEȘ,"Mioveni, str. Uzinei, nr. 1",0212038652,B-2659,31.05.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BDS START SYSTEMS SRL,ARGEȘ,"Pitești, Calea București, bl.19, sc.A, ap.6,",0738897760,A-7616,12.12.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC BEST ELECTRIC D.S. SRL,ARGEŞ,"Piteşti, str. Ion Agârbiceanu, nr. 19J",0771/557318,A-0099,16.06.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC CONTACT ELECTRIC COM SRL,ARGEŞ,"Uiasca, com. Bascov, str. Lăbuşeşti, nr.123",0721/400404,A-1069,24.06.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CONTROL GENERAL SECURITY SRL,ARGEŞ,"Piteşti, str. Exerciţiu, nr.103, bl.D22, sc.D, et.3, ap.14",0248/212387,A-2682,20.09.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"CORPUL EXPERȚILOR ÎN
SECURITATE PRIVATĂ POLIX SRL",ARGEȘ,"Pitești, str. Lânăriei, nr.3, bl.A3, sc.A, et.3, ap.55",0725420401,A-7617,12.12.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC DARIA TELECOM SRL
Autorizat la:",ARGEŞ,"Sat Albota, Comuna Albota, nr. 793B
Piteşti, str. Teilor, bl. PS6, sc. A, et. P",0348/457900,"B-0042
A-0044","07.08.2020
28.05.2010",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC DELTA TERMO CONSTRUCT 1999
SRL",ARGEŞ,"Piteşti, str. Trivale, bl.10B, sc.A, et.2, ap.18",0745/061558,A-1429,19.10.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DIGITAL COM SRL,ARGEŞ,"Piteşti, B-dul Fraţii Goleşti, bl.S8, sc.C, ap.2, biroul nr.1",0248/615700,A-2931,27.11.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC DOBERMAN SECURITY SERVICE
SRL",ARGEŞ,"Piteşti, B-dul Nicolae Bălcescu, nr.91, corpul C5-C6",0248/222280,A-4213,23.06.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DOMAVE ANGHEL SRL,ARGEŞ,"Piteşti, str. Exercițiu, bl.P188, sc.B, ap.4",0751/403169,A-8866,25.03.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EDEN DESIGN SRL,ARGEŞ,"Sat Mărăcineni, comuna Mărăcineni, nr. 629",0740/009470,B-0721,20.05.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"Autorizată la
EDEN DESIGN SRL",ARGEŞ,"Piteşti, str. Depozitelor, nr.8-10",0248/610155,A-2996,12.12.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELCAS SYSTEMS 2001 SRL,ARGEŞ,"Piteşti, str. Războieni, bl.H4, sc.A, et.1, ap.5",0248/213736,A-2157,07.05.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC ELECTRIC CONTROL SRL
Autorizat la:
SC ELECTRIC CONTROL SRL","ARGEŞ
ARGEŞ","Sat Geamăna, comuna Bradu, Drumul DN65B, nr.30
Piteşti, cartierul Trivale, str. Bradului, nr.10","0348/435498
0348/435498","A-9289
A-2069","02.09.2019
17.04.2012",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELECTROPROIECT IND 2004 SRL,ARGEŞ,"Câmpulung, str. Nicu Leonard, nr.6, bl.A10, sc.B, et.4,
ap.12",0723/799988,A-2008,02.04.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELECTRIC LIGHT MADAN SRL,ARGEŞ,"Valea Siliştii, comuna Aninoasa",0741/091976,A-2418,05.07.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC ERGOLOGIC CONTROLS SRL
Autorizată la:","ARGEŞ
ARGEŞ","Sat Albota, Comuna Albota, nr.464B
Piteşti, Calea Craiovei, bl. 29, sc. A, et.1, ap.6","0248/233301
0248/233301","A-9628
A-0249","28.01.2020
27.08.2010",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ESTATE GLOBAL WATT SRL,ARGEŞ,"Sat Geamăna, comuna Bradu, str.Căliman, nr.27, cam.2",0348/410256,A-3305,28.03.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC EXPEDITION CARGOTEX SRL,ARGEŞ,"Câmpulung, str. Nicolae Fălcoianu, nr.39A",0788/508801,A-0763,22.03.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FIRE PROTECT SQUAD SRL,ARGEŞ,"Sat Glâmbocu, com. Bascov, str. Rogojina, nr. 19,
cam. 1",0769704014,B-4053,05.07.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FUNIC SRL,ARGEŞ,"Piteşti, str. Bibescu Vodă, bl.A, sc.A",0723/661320,A-5890,23.05.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"FUTURE HOUSE CONTROL SYSTEM
SRL",ARGEŞ,"Sat Poiana Lacului, comuna Poiana Lacului",0748/614185,A-4046,31.03.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BG SYSTEMS SRL,ARGEŞ,"Vrănești, com. Călinești, bl. 1, sc. A, et. 1, ap. 4",0749117775,B-2366,20.02.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC GENERAL PREST SA,ARGEŞ,"Piteşti, str. Linariei, nr.5B",0248/212387,A-1911,14.03.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC GEO TECHNO SECURITY SRL,ARGEŞ,"Curtea de Argeş, str. Posada, bl.A5, sc.A, ap.17",0348/443022,A-0173,28.07.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GLOBAL LINKNET SRL,ARGEŞ,"Pitești, Str. Dorobanților, nr. 14, bl. 51, sc. A, et. 1, ap. 8",0773787420,B-3053,19.09.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
G.V.D. ZINA SECURITY SRL,ARGEŞ,"Berevoeşti, comuna Berevoeşti, nr.76",0733/016616,A-3027,20.12.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC HERCULES GROUP 2006 SRL
Autorizat la:
SC HERCULES GROUP 2006 SRL","ARGEŞ
ARGEŞ","Piteşti, B-dul Libertăţii, nr.24, bl.D7, sc.A, et.4, ap.15
Câmpulung, str. Dumitru Lazea, bl.C4, sc.G, et.1, ap.2","0746/127806
0746/127806","A-3561
A-0680","18.07.2013
18.02.2011",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
IG SYSTEM AG SRL,ARGEȘ,"Piteşti, str. Bradului, nr. 1, bl. 37, sc. A, et. 3, ap. 9",0754288174,B-6157,25.03.2026,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
IMPERA ART CONSTRUCT SRL,ARGEȘ,"Călinești, com. Călinești, nr. 752",0248667611,B-4130,29.07.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"INDUSTRIAL ELECTRICAL
SYSTEMS SRL",ARGEŞ,"Piteşti, Autostrada Bucureşti-Piteşti, km. 3+750",0248/615030,A-2992,11.12.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INM ELECTRIC CONSTRUCT SRL,ARGEŞ,"Pitești, Str. Nicolae Iorga, nr. 29A",0727867876,B-3714,15.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INIC SRL,ARGEŞ,"Câmpulung, Calea Pietroasa, nr.18",0248/510409,A-3352,18.04.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC I WAVE SOLUTIONS SRL,ARGEŞ,"Piteşti, B-dul Ion C. Brătianu, nr. 48-52, Centrul de
Afaceri, corp A, cam. 703, et. VII",0248/206611,A-2121,26.04.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LUMIDA SRL,ARGEŞ,"Piteşti, str. Crinului, nr.27, Corp B",0722/664212,A-5718,28.03.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MAGIC SAFE MONITORING SRL,ARGEŞ,"Pitești, Cartier Central, Pitața Vasile Milea, nr. 2, Bl
Mobilux, mezanin, cam. 6 și 7",0348449988,B-772,26.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MASTER SECURITY INSTAL SRL,ARGEŞ,"Piteşti, Str. I.G. Valentineanu, nr. 21, cam. 7",0744588395,B-3188,30.10.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"METROPOLITAN SERVICES SRL
Autorizat la :",ARGEŞ,"Sat Geamăna, comuna Bradu, str. Tăbăcăriei, nr.15A, et.1,
camera 11
Sat Bascov, comuna Bascov, str.Păişeşti, DN, nr.28,
parter, camera 1",0348/457408,"A-4928
A-2704","11.06.2015
25.09.2012",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"M I F DEVELOPMENT COMPANY
SRL",ARGEŞ,"Sat Gorănești, oraș Topoloveni, nr. 64, cam. 1",0744830760,B-6201,01.04.2026,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MUNTENIA FIRE STING SRL,ARGEŞ,"Lerești, Str. General Vasile Milea, nr. 35",0751187699,B-3644,03.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NAFITECH GRUP SRL,ARGEŞ,"Sat Tutana, com. Băciulești, nr. 35",0745528121,B-2555,21.04.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"NET GROUP COMMUNICATIONS
SRL",ARGEŞ,"Piteşti, Str. Zorilor, nr. 30D",0248/212476,A-2970,05.12.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC NEW-SOLITON SRL,ARGEŞ,"Sat Călineşti,comuna Călineşti, nr.751",0248/667611,A-1030,03.06.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PAULOVICI MIHAI-GABRIEL Î.I.,ARGEȘ,"Câmpulung, str. Doctor Nicolae Fălcoianu, nr. 19",0743911809,B-1012,02.09.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PET ELECTRIC GLOBAL SRL,ARGEŞ,"Câmpulung, Str.Negru Vodă, nr.220, camera 2",0748/902216,A-5075,13.08.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PRACTO GENERAL INSTAL SRL,ARGEŞ,"Pitești, Str.I.Agârbiceanu, nr.4",0736/6198090,A-9646,13.02.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC PRODENERGO SERVICE SRL,ARGEŞ,"Câmpulung, Str.George Topârceanu, nr.1, bl.B8, sc.B,
et.2, ap.6",0248/510303,A-2015,09.04.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PSI CONS-EXPERT SRL,ARGEȘ,"Mioveni, Str. Nicolae Racoviceanu, nr. 105, cartier
Racoviță","0740048752
040734456820",A-8107,29.05.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
QUARTZ SECURITY CONTROLS SRL,ARGEŞ,"Piteşti, Piaţa Vasile Milea, Complex Mobilux – Casa de
Modă, et.4",0248/220205,A-3910,05.02.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
RDM ROINSTAL IMPEX SERV SRL,ARGEŞ,"Sat Geamăna, comuna Bradu, str. Florilor, nr.7, judeţul
Argeş",0348/432679,A-4086,16.04.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"REAL ELECTRONICS COMPANY
SRL",ARGEŞ,"Piteşti, str. Gh. Şincai, nr.28",0348/445932,A-6206,10.08.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ROMCOST SAFE VSK SRL,ARGEŞ,"Sat Bradu, comuna Bradu, str. Principală, nr.368b",0721/441700,A-7023,18.05.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SAFE BUILDING MANAGEMENT
SRL",ARGEŞ,"Pitești, cartier Banat, str. C-tin Dobrescu-Argeș, nr.2,
bl.B10, sc.F, et.3, ap.18",0722/664212,A-9894,04.06.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SAFE SECURITY SOLUTIONS SRL,ARGEŞ,"Sat Leordeni, comuna Leordeni, nr.114",0726/317.816,A-8713,28.01.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SAN SYSTEM INDUSTRY SRL,ARGEŞ,"Piteşti, B-dul Republicii, bl.D6, sc.A+b, mezanin",0248/222033,A-1942,21.03.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SEBASTIAN CENTER SRL,ARGEȘ,"Vrănești, com. Călinești, nr. 32A","0724953166
0799749027",A-8142,07.06.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SELCO SRL,ARGEŞ,"Piteşti, str. Fraţii Goleşti, nr. 51",0248/223622,A-3076,11.01.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SERCOP ADN SRL,ARGEŞ,"Câmpulung, str. Frații Golești, nr. 99, parter",0248/510628,B-0918,18.08.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SERVICII GENERALE MIOVENI SRL,ARGEŞ,"Mioveni, B-dul Dacia, bl.V2a, parter",0770/588640,B-0341,22.12.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
