company_name,cui,phone,phone_e164,sector,city,jobs,positions_total,source_date
FST CONSTRUCTII CIVILE S.R.L.,47892259,0725265164,+40725265164,Construcții / Instalații,CONSTANTA,ZIDAR ROSAR-TENCUITOR(1) | FIERAR BETONIST(2),231,20260416
NAICOR SRL,47545268,0744655552,+40744655552,Construcții / Instalații,MUNICIPIUL DROBETA-TURNU SEVERIN,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(9) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(2) | TEHNICIAN DEVIZIER(1) | SEF SERVICIU ÎN CONSTRUCTII(2) | ZIDAR RESTAURATOR(10)",3277,20260416
GROUND FOUR HEAT S.R.L.,39269366,0746163686,+40746163686,Construcții / Instalații,FUGHIU,FRIGORIFERIST (FRIGOTEHNIST)(1) | INSTALATOR PENTRU POMPE DE CALDURA(1),154,20260416
CARBONDIS,52187980,0757306326,+40757306326,Construcții / Instalații,MUNICIPIUL ALBA IULIA,SEF SANTIER(1) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(3),308,20260416
VARD SHIPYARDS ROMANIA S.A.,2364318,0239607235,+40239607235,Construcții / Instalații,BRAILA,"LACATUS CONSTRUCTII METALICE SI NAVALE(2) | MACARAGIU(1) | SUDOR(5) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(8) | LACATUS MECANIC(4)",6170,20260416
ZELENSKY CORPORATION SRL,45968172,0764396528,+40764396528,Construcții / Instalații,POIENILE DE SUB MUNTE,SECRETARA(2),154,20260416
MATEI CONSTRUCT CONSTRUCTII SP,31018946,0264460960,+40264460960,Construcții / Instalații,GHERLA,ELECTRICIAN ÎN CONSTRUCTII(2) | ELECTRICIAN ÎN CONSTRUCTII(5) | INGINER CONSTRUCTII HIDROTEHNICE(1),543,20260416
ADC SUSTAINABLE POWER,44643300,0745980813,+40745980813,Construcții / Instalații,LIVADA DE BIHOR,INGINER ELECTRICIAN(3),231,20260416
LARAPEU CONSTRUCT SRL,28447379,0762627816,+40762627816,Construcții / Instalații,SUTESTI,"INGINER ÎMBUNATATIRI FUNCIARE(1) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(2) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1)",125,20260401
MONTAJ CARPATI SA,5797898,0733 686 297,+40733686297,Construcții / Instalații,PUCHENII MARI,"LACATUS MECANIC(1) | OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA(1) | SUDOR CU ARC ELECTRIC CU ELECTROD FUZIBIL ÎN MEDIU DE GAZ PROTECTOR(1) | INSPECTOR ÎN DOMENIUL SECURITATII SI SANATATII ÎN MUNCA(1) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1)",528,20260416
PHI EMC PRO SRL,37224325,0766274206,+40766274206,Construcții / Instalații,SIBIU,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),195,20260331
C&D THERM INSTALATII SRL,8461921,0722326481,+40722326481,Construcții / Instalații,MUNICIPIUL BACAU,INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(3) | INGINER INSTALATII PENTRU CONSTRUCTII(1),385,20260416
EXECUTIV INSTAL SERV S.R.L.,43963179,0725570344,+40725570344,Construcții / Instalații,BUCURESTI SECTORUL 4,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(12)",924,20260416
TCOD RENT SRL,34734834,0742019970,+40742019970,Construcții / Instalații,FLORESTI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(30)",2310,20260416
REIMERS STEEL SRL,29697721,0749 211 920,+40749211920,Construcții / Instalații,MUNICIPIUL SATU MARE,UCENIC(4),308,20260416
EVO LINE WINDOWS SRL,32035295,077200835,+40077200835,Construcții / Instalații,SACALAZ,"SEF DEPOZIT(1) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1) | LUCRATOR GESTIONAR(1) | SEF SERVICIU APROVIZIONARE-DESFACERE(1)",295,20260416
BMC CRISCON SRL,33451104,0748839495,+40748839495,Construcții / Instalații,BEICA DE SUS,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",77,20260416
AMC SERVICE SRL,11692322,0751510176,+40751510176,Construcții / Instalații,BUZAU,ELECTRICIAN CONSTRUCTOR INSTALATOR APARATURA DE MASURA SI CONTROL(3) | ELECTRICIAN CONSTRUCTOR INSTALATOR APARATURA DE MASURA SI CONTROL(2) | TEHNICIAN ELECTROMECANIC(3) | TEHNICIAN MECANIC(1),693,20260416
DAS CONCEPT S.R.L.,31372357,0773782964,+40773782964,Construcții / Instalații,SIBIU,INGINER ELECTRICIAN(1) | MAISTRU ENERGETICIAN/ELECTRICIAN(3),308,20260416
VEST GRUP SOLUŢII SRL,32610503,0746290260,+40746290260,Construcții / Instalații,ORADEA,"ZUGRAV(10) | CONSTRUCTOR STRUCTURI MONOLITE(10) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(5)",1925,20260416
GT GROUND ENGINEERING CONSTRUCTION SERVICES SRL,27759232,0746086962,+40746086962,Construcții / Instalații,MANECIU-UNGURENI,"OPERATOR LA UTILAJE DE FORJAT DIRIJAT(1) | MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(1)",78,20260331
PROMETER M & G SRL,12911609,0256305684,+40256305684,Construcții / Instalații,TIMISOARA,INGINER GEODEZ(1),63,20260331
PRO HART GROUP SRL,22170774,0757045203,+40757045203,Construcții / Instalații,SIBIU,Conducător auto transport rutier de mărfuri(1) | MECANIC AUTO(2) | MECANIC AUTO(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(5) | ELECTRICIAN ÎN CONSTRUCTII(5),135,20260416
DAS SRL,1986070,230637,230637,Construcții / Instalații,IASI,"MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(9) | INGINER INSTALATII PENTRU CONSTRUCTII(3) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1) | INGINER ELECTROENERGETICA(2) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(9)",4259,20260416
CONSTRUCŢII HIDROTEHNICE SA,1957570,0232262065,+40232262065,Construcții / Instalații,IASI,"DIRECTOR TEHNIC(1) | DIRECTOR GENERAL ADJUNCT SOCIETATE COMERCIALA(1) | INGINER ÎMBUNATATIRI FUNCIARE(1) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1) | INGINER AUTOMATIST(1)",1931,20260416
TED ELECTRO S.R.L.,46875942,0744357709,+40744357709,Construcții / Instalații,ALBA IULIA,INGINER INSTALATII PENTRU CONSTRUCTII(1),18,20260321
TOTAL PRAXCON S.R.L.,41001828,0756565069,+40756565069,Construcții / Instalații,TARGU MURES,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(4) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(8)",924,20260416
COMPANIA NAŢIONALĂ DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,16054368,0264432521,+40264432521,Construcții / Instalații,CLUJ-NAPOCA,Conducător auto transport rutier de mărfuri(1) | ASFALTATOR(1) | TÂMPLAR UNIVERSAL(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1) | LUCRATOR PENTRU DRUMURI SI CAI FERATE(1),2874,20260416
DIDI CONSTRUCTII,52902944,0033766500170,+33766500170,Construcții / Instalații,CALUGAREI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(10)",770,20260416
MIRAL INSTAL COMPANY SRL,15198012,0724089475,+40724089475,Construcții / Instalații,BUCURESTI SECTORUL 3,INGINER INSTALATII PENTRU CONSTRUCTII(1) | SUDOR(5) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(5),809,20260416
ATHENAEUM CONSTRUCT S.R.L.,5602554,0722242582,+40722242582,Construcții / Instalații,BUCURESTI SECTORUL 6,"MECANIC UTILAJ(2) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(4) | ZUGRAV(3) | ELECTRICIAN ÎN CONSTRUCTII(2)",517,20260402
STADT CONSTRUCT SRL,18887739,0264487175,+40264487175,Construcții / Instalații,CLUJ-NAPOCA,LINOLIST(10),410,20260416
S.C. INSTAL POINT SRL,31122555,0334710615,+40334710615,Construcții / Instalații,BACAU,MAGAZINER(1) | SUDOR(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1),155,20260416
OSMET SRL,15299050,0722656685,+40722656685,Construcții / Instalații,SLOBOZIA,LACATUS MECANIC(3) | SUDOR(1),156,20260331
SOLUTII COMPLETE CONSTRUCT SRL,44788262,0722814669,+40722814669,Construcții / Instalații,CHIAJNA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",154,20260416
BRJ GLASS DESIGN S.R.L.,49546260,0731294072,+40731294072,Construcții / Instalații,UZUNU,ASAMBLATOR-MONTATOR PROFILE ALUMINIU SI GEAM TERMOPAN(2),88,20260401
SC FOC PROTECT SPECIALIST S.R,36780780,0746185168,+40746185168,Construcții / Instalații,CLUJ-NAPOCA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(12),468,20260331
RANOM TOTAL CONSTRUCT SRL,39543940,0786469668,+40786469668,Construcții / Instalații,BUCURESTI SECTORUL 6,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(10)",770,20260416
Massi Structuri si Finisaje Srl,43709112,0787720643,+40787720643,Construcții / Instalații,CARCEA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2) | TEHNICIAN MASINI SI UTILAJE(1)",204,20260416
TOTAL CONFORT SRL,15603433,0787720643,+40787720643,Construcții / Instalații,CARCEA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2) | TEHNICIAN MASINI SI UTILAJE(1)",201,20260416
DECOMAX CONS SRL,52169232,0755458775,+40755458775,Construcții / Instalații,TARGU JIU,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3)",132,20260401
BERTO INSTAL CONSTRUCT SRL,37099680,0770721721,+40770721721,Construcții / Instalații,BUCURESTI SECTORUL 6,FAIANTAR(2) | FAIANTAR(1),155,20260416
CONSTRUCŢII ŞI SERVICII SRL,16380801,0358401269,+40358401269,Construcții / Instalații,SEBES,INGINER MECANIC(1) | SEF FORMATIE(1) | SUDOR(1) | LACATUS MECANIC(1) | SPECIALIST IN ACHIZITII(1),128,20260416
SC CONSTRUCTII DEMOLARI RI SRL,29284857,0749010919,+40749010919,Construcții / Instalații,SOMCUTA MARE,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1),36,20260330
COMREP SA,1345008,0244513145,+40244513145,Construcții / Instalații,PLOIESTI,INSPECTOR ÎN DOMENIUL SECURITATII SI SANATATII ÎN MUNCA(1) | SUDOR CU ARC ELECTRIC CU ELECTROD NEFUZIBIL ÎN MEDIU DE GAZ PROTECTOR(1) | FIERAR BETONIST(5) | DULGHER (EXCLUSIV RESTAURATOR)(5) | SCHELAR(5),1656,20260416
AF CONSULTING SRL,12972517,0740304579,+40740304579,Construcții / Instalații,BUCURESTI SECTORUL 4,INGINER INSTALATII PENTRU CONSTRUCTII(1),36,20260330
ONEGA PERFECT SRL,20416636,0721573207,+40721573207,Construcții / Instalații,CAMPINA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",77,20260416
EUROINTECH DESIGN SRL,27208683,0733623333,+40733623333,Construcții / Instalații,BAIA MARE,"INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(2) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",9,20260316
Axa Estate srl,33795663,0722742956,+40722742956,Construcții / Instalații,MUNICIPIUL BRASOV,AGENT SERVICII CLIENT(1),39,20260331
SC V A ENGINEERING INSTAL SRL,31667307,0721217214,+40721217214,Construcții / Instalații,BUCURESTI SECTORUL 1,LACATUS MECANIC(5) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(50) | FEMEIE DE SERVICIU(10) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(5) | SUDOR(5),5795,20260416
ABY SOLUTIONS TEAM,26551640,0767570820,+40767570820,Construcții / Instalații,BOLINTIN-DEAL,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(4)",156,20260331
ALGINA ELECTRIC SRL,22587462,0746505981,+40746505981,Construcții / Instalații,VALEA ADANCA,"INSTALATOR APA, CANAL(1)",77,20260416
CONEST SA,1959695,430670,430670,Construcții / Instalații,IASI,IZOLATOR TERMIC(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(2) | TEHNICIAN CONSTRUCTOR(1) | SOFER DE AUTOTURISME SI CAMIONETE(3),994,20260416
CASIGAZ SERV SRL,14056575,0763655497,+40763655497,Construcții / Instalații,BARLAD,MANIPULANT MARFURI(1),18,20260321
MMP STEEL SRL,51882784,0755392154,+40755392154,Construcții / Instalații,CRISTESTI,SUDOR(3) | LACATUS MECANIC(3),462,20260416
SILCOR SRL,10359649,0723209231,+40723209231,Construcții / Instalații,FOCSANI,FREZOR UNIVERSAL(1),39,20260331
Nivelmax,52261629,0771513681,+40771513681,Construcții / Instalații,ORAS PATARLAGELE,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(7)",147,20260323
SC MC CONSTRUCT MASTER SRL,52230797,0771513681,+40771513681,Construcții / Instalații,ORAS PATARLAGELE,LUCRATOR PENTRU DRUMURI SI CAI FERATE(7),231,20260327
FATLEN CSP SRL,38424950,0747614655,+40747614655,Construcții / Instalații,FLORESTI,PAVATOR(5),770,20260416
QUEBRACHO SRL,40358564,0748535138,+40748535138,Construcții / Instalații,CLUJ-NAPOCA,SPECIALIST MARKETING(1),77,20260416
GRIG'ART SRL,25620377,0763036981,+40763036981,Construcții / Instalații,BUCURESTI SECTORUL 1,"SUDOR MANUAL CU FLACARA DE GAZE(5) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(15) | FIERAR BETONIST(30) | DULGHER (EXCLUSIV RESTAURATOR)(40)",3510,20260331
MEG CONSTRUCT IMPEX SRL,24814561,0744624415,+40744624415,Construcții / Instalații,MUNICIPIUL PLOIESTI,SEF BIROU ÎN CONSTRUCTII(1),77,20260416
ERUH ALUMINIUM CONSTRUCT SRL,48310405,0792618340,+40792618340,Construcții / Instalații,PETROSANI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",207,20260416
Romaconstruct srl,52532906,0758316610,+40758316610,Construcții / Instalații,BUCURESTI SECTORUL 5,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",415,20260416
BUGARU TRANS SRL,27747025,0787328925,+40787328925,Construcții / Instalații,CRAIOVA,"INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(4) | GESTIONAR DEPOZIT(1) | INGINER TOPOGRAF(1) | TEHNICIAN TOPOMETRIST(1) | SUBINGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(2)",657,20260416
BASING ABCONS S.R.L.,40094780,0753844680,+40753844680,Construcții / Instalații,TULCEA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(14),1078,20260416
S.C.A.D.T. SA,1512351,0249436601,+40249436601,Construcții / Instalații,SLATINA,ZIDAR PIETRAR(6) | FIERAR BETONIST(6) | ZIDAR ROSAR-TENCUITOR(8) | DULGHER (EXCLUSIV RESTAURATOR)(6),1950,20260415
SC SLCAM DELIVERY SRL,39843301,0754949494,+40754949494,Construcții / Instalații,MOGOSOAIA,FEMEIE DE SERVICIU(2) | SUDOR(5) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(50),2508,20260401
INASTORIA SRL,40020503,0773861252,+40773861252,Construcții / Instalații,SALONTA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(100)",7700,20260416
DHELECTRIC HOME SRL,39378460,0770669931,+40770669931,Construcții / Instalații,ORADEA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | TEHNICIAN ELECTRONICA(1) | MAGAZINER(1),203,20260416
ARCER SIGHET S.R.L.,40737452,0754892552,+40754892552,Construcții / Instalații,SIGHETU MARMATIEI,TÂMPLAR UNIVERSAL(5) | INGINER INDUSTRIALIZAREA LEMNULUI(4) | REPREZENTANT COMERCIAL(4) | TEHNICIAN PROIECTANT(4) | TÂMPLAR MANUAL AJUSTOR MONTATOR(1),1386,20260416
GLOBAL INDUSTRIAL SRL,33613427,0359412223,+40359412223,Construcții / Instalații,ORADEA,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(4) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),541,20260416
STOEDUM CONSTRUCT SRL,33113391,0239617100,+40239617100,Construcții / Instalații,BRAILA,INSTALATOR RETELE TERMICE SI SANITARE(1) | ZIDAR ROSAR-TENCUITOR(1) | MONTATOR PERETI SI PLAFOANE DIN GHIPS-CARTON(1) | ZUGRAV(1) | DULGHER (EXCLUSIV RESTAURATOR)(1),95,20260323
S.C.SAYED GMH CONSTRUCT SRL,44463341,0762721787,+40762721787,Construcții / Instalații,CLUJ-NAPOCA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(40),3080,20260416
BRICOMAR SRL,32829482,0239617100,+40239617100,Construcții / Instalații,BRAILA,INSTALATOR RETELE TERMICE SI SANITARE(1) | ZIDAR ROSAR-TENCUITOR(1) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | MONTATOR PERETI SI PLAFOANE DIN GHIPS-CARTON(1) | ZUGRAV(1),114,20260323
