locality_slug,county_slug,locality_name,county_name,primar,url
dostat,alba,Dostat,Alba,Emilia-Livia Cîndea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/dostat/
farau,alba,Farau,Alba,Ioan Stoia,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/farau/
galda-de-jos,alba,Galda De Jos,Alba,Ioan Neag,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/galda-de-jos/
garbova,alba,Garbova,Alba,Ioan Muntean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/garbova/
garda-de-sus,alba,Garda De Sus,Alba,Călin-Ioan Nicoară,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/garda-de-sus/
hoparta,alba,Hoparta,Alba,Augustin Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/hoparta/
horea,alba,Horea,Alba,Marin Nicola,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/horea/
ighiu,alba,Ighiu,Alba,Dumitru-Cristian Cristea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ighiu/
intregalde,alba,Intregalde,Alba,Victoria Moga,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/intregalde/
jidvei,alba,Jidvei,Alba,Alin Trif,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/jidvei/
livezile,alba,Livezile,Alba,Horaţiu-Nicolae Han,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/livezile/
lopadea-noua,alba,Lopadea Noua,Alba,Marian-Cătălin Indreiu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/lopadea-noua/
lunca-muresului,alba,Lunca Muresului,Alba,Dan-Ionel Hajmaşan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/lunca-muresului/
lupsa,alba,Lupsa,Alba,Ioan-Radu Penciu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/lupsa/
metes,alba,Metes,Alba,Daniel Sânzâiană,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/metes/
mihalt,alba,Mihalt,Alba,Flavius Breaz,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/mihalt/
miraslau,alba,Miraslau,Alba,Aurel Mărginean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/miraslau/
mogos,alba,Mogos,Alba,Mircea-Liviu Macavei,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/mogos/
noslac,alba,Noslac,Alba,Florin-Claudiu Zilahi,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/noslac/
ocna-mures,alba,Ocna Mures,Alba,Silviu Vinţeler,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ocna-mures/
ocolis,alba,Ocolis,Alba,Alin-Alexandru Jucan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ocolis/
ohaba,alba,Ohaba,Alba,Adrian-Nicolae Mihălţan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ohaba/
pianu,alba,Pianu,Alba,Marin-Ioan Petruse,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/pianu/
poiana-vadului,alba,Poiana Vadului,Alba,Beniamin Toader,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/poiana-vadului/
ponor,alba,Ponor,Alba,Bujor Petruţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ponor/
posaga,alba,Posaga,Alba,Aurelia Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/posaga/
radesti,alba,Radesti,Alba,Alin-Teodor Nicula,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/radesti/
ramet,alba,Ramet,Alba,Vasile Raica,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ramet/
rimetea,alba,Rimetea,Alba,Mihail Kiss,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/rimetea/
rosia-de-secas,alba,Rosia De Secas,Alba,Vasile-Nicolae Bogdan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/rosia-de-secas/
rosia-montana,alba,Rosia Montana,Alba,Eugen Furdui,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/rosia-montana/
salciua,alba,Salciua,Alba,Vasile Lombrea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/salciua/
salistea,alba,Salistea,Alba,Ioan Gherman,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/salistea/
sancel,alba,Sancel,Alba,Darius-Alexandru Cipariu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sancel/
santimbru,alba,Santimbru,Alba,Ioan-Iancu Popa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/santimbru/
sasciori,alba,Sasciori,Alba,Nicolae-Florin Morar,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sasciori/
scarisoara,alba,Scarisoara,Alba,Cristian-Vasile Costea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/scarisoara/
sebes,alba,Sebes,Alba,Dorin-Gheorghe Nistor,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sebes/
sibot,alba,Sibot,Alba,Marinela Oană,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sibot/
sohodol,alba,Sohodol,Alba,Sorin-Constantin Corcheş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sohodol/
sona,alba,Sona,Alba,Teodor-Florin Mărginean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sona/
spring,alba,Spring,Alba,Iulia Stănilă,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/spring/
stremt,alba,Stremt,Alba,Horia-Călin Puşcaş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/stremt/
sugag,alba,Sugag,Alba,Constantin Jinar,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/sugag/
teius,alba,Teius,Alba,Mirel-Vasile Hălălai,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/teius/
unirea,alba,Unirea,Alba,Gheorghe Alba,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/unirea/
vadu-motilor,alba,Vadu Motilor,Alba,Nicolae Lazea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/vadu-motilor/
valea-lunga,alba,Valea Lunga,Alba,Dan-Florin Aldea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/valea-lunga/
vidra,alba,Vidra,Alba,Doru Petricele,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/vidra/
vintu-de-jos,alba,Vintu De Jos,Alba,Simona-Maria Cazan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/vintu-de-jos/
zlatna,alba,Zlatna,Alba,Silviu Ponoran,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/zlatna/
