email,company,city,county,sector,employees,contact_name,phone,matched_skills,suggested_positions,cv_available
moldocor@moldocor.ro,MOLDOCOR SA,Municipiul Piatra Neamt,Neamt,,313,,+40233210660,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
samson@samsonconstructii.ro,MONO CONSTRUCTII SRL,Municipiul Cluj-Napoca,Cluj,,302,,+40264440550,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
cornells.floor@yahoo.com,CORNELL'S FLOOR SRL,"Sat Roma, Comuna Roma",Botosani,,299,,+40231516116,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
resurseumane@grupprimacons.ro,GRUP PRIMACONS SRL,Municipiul Slatina,Olt,,297,,+40249411630,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
teodora.mascas@proconect.ro,PRO CONECT SRL,Municipiul Cluj-Napoca,Cluj,,297,,+40364147480,"construction,driver","Constructii drumuri, operatori utilaje",1
dana.apostol17@gmail.com,ELSACO ELECTRONIC SRL,Municipiul Botosani,Botosani,,294,,+40231514278,"construction,driver","Constructii drumuri, operatori utilaje",1
aprovizionare@conbac.ro,CONBAC S.R.L.,Municipiul Bacau,Bacau,,289,,+40234512246,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@reconwood.ro,RECON SA,"Sat Carcea, Comuna Carcea",Dolj,,288,,+40251406600,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ofertare@ssabag.ro,SSAB-AG S.A.,Municipiul Bacau,Bacau,,285,,+40741092551,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
arl@arlcluj.ro,ANTREPRIZA DE REPARATII SI LUCRARI A R L CLUJ SA,Municipiul Cluj-Napoca,Cluj,,281,,+40264418620,"construction,driver","Constructii drumuri, operatori utilaje",1
frasinulbn@yahoo.ro,FRASINUL SRL,"Sat Anies, Comuna Maieru",Bistrita-Nasaud,,272,,+40724054431,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contact@3dbau.ro,3DBAU S.R.L.,Municipiul Drobeta-Turnu Severin,Mehedinti,,261,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@euroconstruct.ro,EURO CONSTRUCT SA,Municipiul Constanta,Constanta,,252,,+40241610251,"construction,driver","Constructii drumuri, operatori utilaje",1
razvanpolivanov@rdc-gc.ro,IREM GENERAL CONTRACTOR SRL,Bucuresti Sectorul 1,Bucuresti,,249,,+40251533472,"construction,driver","Constructii drumuri, operatori utilaje",1
dimex2000company@yahoo.com,DIMEX-2000 COMPANY SRL,"Sat Rebrisoara, Comuna Rebrisoara",Bistrita-Nasaud,,245,,+40263360093,"construction,driver","Constructii drumuri, operatori utilaje",1
secretariat@erbasu.ro,ERBASU EDIL CONSTRUCT SA,Bucuresti Sectorul 6,Bucuresti,,242,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@flexik.ro,FLEXIK AUTOMATION SRL,Municipiul Timisoara,Timis,,234,,+40256291964,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office.spoting@actemium.com,SPOTING SA,"Sat Strejnicu, Comuna Targsoru Vechi",Prahova,,234,,+400344802496,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@elcomex.ro,ELCOMEX-I.E.A. SA,"Loc. Cernavoda, Oras Cernavoda",Constanta,,232,,+40241238917,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@cml.ro,CML.RO SRL,"Loc. Beclean, Oras Beclean",Bistrita-Nasaud,,229,,+40263234095,"construction,driver","Constructii drumuri, operatori utilaje",1
laviniaciosici@yahoo.com,SELINA SRL,Municipiul Oradea,Bihor,,228,,+40727722844,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
drupohdtehnic@yahoo.com,DRUPO SRL,"Loc. Calan, Oras Calan",Hunedoara,,225,,+40254235130,"construction,driver","Constructii drumuri, operatori utilaje",1
office@petroconst.ro,PETROCONST SA,Municipiul Constanta,Constanta,,224,,+40241614356,"construction,driver","Constructii drumuri, operatori utilaje",1
aargau.ch@schindler.com,SCHINDLER ROMANIA SRL,Bucuresti Sectorul 6,Bucuresti,,222,,+40213367058,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@luxten.com,LUXTEN LIGHTING COMPANY SA,Bucuresti Sectorul 1,Bucuresti,,222,,0256222,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@inovecoexpert.ro,INOVECO S.R.L.,Oras Voluntari,Ilfov,,220,,+40212400844,"construction,driver","Constructii drumuri, operatori utilaje",1
hr@das.ro,DAS SRL,Municipiul Iasi,Iasi,,219,,+40322622800,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
danoana@concas.ro,CONCAS  SA,Municipiul Buzau,Buzau,,219,,+40238722138,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
secretariat@erbasu.ro,ERBASU TOTAL CONSTRUCT SA,Bucuresti Sectorul 6,Bucuresti,,219,,4341503,"construction,driver","Constructii drumuri, operatori utilaje",1
rajdp@rajdp.ro,REGIA AUTONOMA JUDETEANA DE DRUMURI SI PODURI VALCEA RA,Municipiul Ramnicu Valcea,Valcea,,218,,+40723517181,"construction,driver","Constructii drumuri, operatori utilaje",1
mobila@europanprod.ro,EUROPAN PROD SA,Municipiul Pitesti,Arges,,218,,+40248223520,"construction,driver","Constructii drumuri, operatori utilaje",1
ciprian.pavaloiu@orchid.eu,ORCHID S.R.L.,Municipiul Constanta,Constanta,,217,,+40241482096,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
cristina.lungu@domarcons.ro,DOMARCONS SRL,Municipiul Craiova,Dolj,,214,,+40251483652,"construction,driver","Constructii drumuri, operatori utilaje",1
office@autoprimaserv.ro,AUTOPRIMA SERV SRL,Municipiul Constanta,Constanta,,210,,+40241550885,"construction,driver","Constructii drumuri, operatori utilaje",1
hoteldeltatulcea@gmail.com,COMPLEX DELTA SRL,Municipiul Tulcea,Tulcea,,209,,+40040533604,"construction,driver","Constructii drumuri, operatori utilaje",1
avril@ave,AVRIL S.R.L.,"Loc. Negresti-Oas, Oras Negresti-Oas",Satu Mare,,208,,+40744533251,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@bitinvest.ro,BIT INVEST SRL,Municipiul Targoviste,Dambovita,,208,,+40728028114,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
%20office@bktechnik.ro,BK TECHNIK SRL,Bucuresti Sectorul 1,Bucuresti,,207,,+40213155622,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@wincon.ro,WINCON SRL,Municipiul Cluj-Napoca,Cluj,,206,,+40743222309,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
nicoleta@athcon.ro,ATHENAEUM CONSTRUCT S.R.L.,Bucuresti Sectorul 6,Bucuresti,,205,,+40213164077,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
laurentiu_caramida@yahoo.com,LAURENTIU H SRL,"Loc. Negresti-Oas, Oras Negresti-Oas",Satu Mare,,205,,+40261853690,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contact@ekysam.ro,EKY-SAM SRL,"Loc. Targu Frumos, Oras Targu Frumos",Iasi,,205,,+40232710478,"construction,driver","Constructii drumuri, operatori utilaje",1
catalina.enescu@rocketmail.com,DUAL GENERAL CONSTRUCT SRL,Bucuresti Sectorul 1,Bucuresti,,204,,,"construction,driver","Constructii drumuri, operatori utilaje",1
resurseumane@aweinfra.ro,AWE INFRA SRL,Municipiul Turda,Cluj,,199,,+40741710522,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
m8027915@gmail.com,SYLC CON TRANS SRL,Municipiul Arad,Arad,,197,,+40257289650,"construction,driver","Constructii drumuri, operatori utilaje",1
public@pizzarotti.it,IMPRESA PIZZAROTTI & C & PIZZAROTTI & RETTER PROJECTMANAGEMENT G.I.E.,Municipiul Cluj-Napoca,Cluj,,197,,,"construction,driver","Constructii drumuri, operatori utilaje",1
secretariat@infrastructura5.ro,INFRASTRUCTURA S5 S.A.,Bucuresti Sectorul 5,Bucuresti,,197,,,"construction,driver","Constructii drumuri, operatori utilaje",1
facilitymanagement@icco.ro,ICCO FACILITY MANAGEMENT SRL,Municipiul Brasov,Brasov,,195,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
pavmiragro@yahoo.com,PAVMIR AGRO SRL,Municipiul Braila,Braila,,195,,+40726309120,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@irigc.ro,I R I G C INTREPRINDEREA DE REPARATII SI INSTALATII GAZE SI CONSTRUCTII IMPEX SRL,Bucuresti Sectorul 1,Bucuresti,,192,,,"construction,driver","Constructii drumuri, operatori utilaje",1
pyronova.cz@pyronova.com,PYRONOVA IS SRL,"Sat Sag, Comuna Sag",Timis,,192,,+40745502745,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@constructiibihor.ro,CONSTRUCTII BIHOR SA,Municipiul Oradea,Bihor,,191,,+40741186306,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@dpmm.ro,DRUMURI-PODURI MARAMURES SA,Municipiul Baia Mare,Maramures,,191,,+40262216198,"construction,driver","Constructii drumuri, operatori utilaje",1
office@socot.ro,SOCOT SA,Municipiul Targu Mures,Mures,,190,,+40722888893,"construction,driver","Constructii drumuri, operatori utilaje",1
sonea.teodora@yahoo.com,DEME MACARALE SRL,Municipiul Oradea,Bihor,,190,,+40259479189,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
resurseumanecristita@gmail.com,CRISTITA SRL,"Sat Dracea, Comuna Dracea",Teleorman,,189,,+40766275284,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@frigotehnica.ro,FRIGOTEHNICA S.A.,Bucuresti Sectorul 2,Bucuresti,,188,,+40212503441,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
geral@pragosa.pt,PRAGOSA ROMANIA SRL,"Sat Negoiesti, Comuna Brazi",Prahova,,188,,,"construction,driver","Constructii drumuri, operatori utilaje",1
info@avitech.ro,AVITECH CO. SRL,Oras Voluntari,Ilfov,,187,,2426384,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
hr@katar.ro,KATAR CONNEG S.R.L.,"Loc. Negresti, Oras Negresti",Vaslui,,186,,+40744383719,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
rezervari@pensiuneacarpatic.ro,CARPATI-COM SRL,"Sat Geamana, Comuna Bradu",Arges,,185,,+40248250045,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
drbconstruct@yahoo.com,DRUM CONSTRUCT SRL,Comuna Pericei,Salaj,,185,,+40740936596,"construction,driver","Constructii drumuri, operatori utilaje",1
hr@romcosys.ro,ROMCO SYSTEM SRL,Bucuresti Sectorul 3,Bucuresti,,185,,+40723454195,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
mysuci2010@yahoo.com,S.U.C.P.I. SA,Municipiul Craiova,Dolj,,185,,+40251437147,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@asacons.ro,ASA CONS ROMANIA SRL,Municipiul Targu Mures,Mures,,185,,+40745753149,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
catalin.soare@rohrer-grp.com,ROHRER SERVICII INDUSTRIALE SRL,"Sat Tatarani, Comuna Barcanesti",Prahova,,185,,+40214100946,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@misgrup.ro,M.I.S-GRUP SRL,"Sat Anies, Comuna Maieru",Bistrita-Nasaud,,180,,+40724023555,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@general-meel.ro,GENERAL ME.EL ELECTRIC S.R.L.,"Loc. Baicoi, Oras Baicoi",Prahova,,178,,+40728137903,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@petcuconstruct.ro,PETCU CONSTRUCT SRL,Bucuresti Sectorul 6,Bucuresti,,177,,+40724511860,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@adrilexconstruct.ro,ADRILEX IMP.EXP. SRL,"Loc. Dabuleni, Oras Dabuleni",Dolj,,177,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
impex.aurora@gmail.com,IMPEX AURORA SRL,Municipiul Miercurea Ciuc,Harghita,,177,,+40742088020,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contact@tcicluj.ro,TCI CONTRACTOR GENERAL SA,Municipiul Cluj-Napoca,Cluj,,175,,+40721284377,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@cazicom.ro,CAZICOM SRL,Oras Baile Olanesti,Valcea,,175,,+40250710237,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
alexandra.nicorescu@kremsmueller.com,KREMSMUELLER ROMANIA SRL,Bucuresti Sectorul 1,Bucuresti,,175,,+40727340711,"construction,driver","Constructii drumuri, operatori utilaje",1
office@teoval.ro,TEOVAL & CO. SRL,"Loc. Targu Frumos, Oras Targu Frumos",Iasi,,173,,+40754019772,"construction,driver","Constructii drumuri, operatori utilaje",1
office@ingservice.ro,ING SERVICE SRL,Municipiul Miercurea Ciuc,Harghita,,172,,+40744476151,"construction,driver","Constructii drumuri, operatori utilaje",1
hr@vibrehotel.ro,EURO BUILDING SRL,Municipiul Braila,Braila,,171,,+40239616070,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
vasile.bobon@gmail.com,CORAL SRL,Municipiul Tulcea,Tulcea,,171,,+40743055824,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
personal@cominco.ro,COMINCO OLTENIA SA,Municipiul Ramnicu Valcea,Valcea,,171,,+40250719066,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
capital_invest_srl@yahoo.com,CAPITAL INVEST SRL,Municipiul Moinesti,Bacau,,170,,+40234361778,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@instgaz.ro,INSTGAZ SRL,"Sat Bardesti, Comuna Santana de Mures",Mures,,170,,252745,"construction,driver","Constructii drumuri, operatori utilaje",1
financiar@amisa.ro,ANTREPRIZA MONTAJ INSTALATII SA,Municipiul Baia Mare,Maramures,,170,,+40262216525,"construction,driver","Constructii drumuri, operatori utilaje",1
office@davideconstruct.ro,DAVIDE CONSTRUCT SRL,"Sat Matca, Comuna Matca",Galati,,169,,+40746889466,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@prohart.ro,PRO HART GROUP SRL,Municipiul Sibiu,Sibiu,,168,,+40757045203,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
dan.seretan@fargrup.ro,FAR FOUNDATION SRL,"Sat Rodna, Comuna Rodna",Bistrita-Nasaud,,168,,+40263708010,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
productiescadt@yahoo.com,S.C.A.D.T. SA,Municipiul Slatina,Olt,,167,,+40721221270,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
vanzari@bmfgrup.eu,VAGMA GROUP DISTRIBUTION SRL,Bucuresti Sectorul 3,Bucuresti,,164,,+40724778570,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
dispecerat@flashlighting.ro,FLASH LIGHTING SERVICES SA,Bucuresti Sectorul 2,Bucuresti,,164,,+40212334254,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
diana.pop@samus-tec.ro,SAMUS TEC S.A.,Municipiul Dej,Cluj,,163,,+40747028149,"construction,driver","Constructii drumuri, operatori utilaje",1
office@utilnavorep.ro,UTILNAVOREP SA,Municipiul Constanta,Constanta,,162,,+40722400983,"construction,driver","Constructii drumuri, operatori utilaje",1
office@bawi.ro,BAWI CONSTRUCTION S.R.L.,Bucuresti Sectorul 1,Bucuresti,,161,,+40372113000,"construction,driver","Constructii drumuri, operatori utilaje",1
office@conico.con.ro,CONSTRUCTII CONICO SRL,Municipiul Sfantu Gheorghe,Covasna,,161,,+40267351641,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
vulturcristina81@gmail.com,VULTURI SRL,"Sat Corni, Comuna Corni",Botosani,,160,,+40268236516,"construction,factory","Curatenie industriala, intretinere cladiri",9
%20%20office@secolromania.com,S E CO L ROMANIA SRL,Bucuresti Sectorul 1,Bucuresti,,158,,+40212601484,"construction,driver","Constructii drumuri, operatori utilaje",1
asfalt@maxagro.ro,MAXAGRO CENTER SRL,"Loc. Gataia, Oras Gataia",Timis,,156,,+40752281956,"construction,driver","Constructii drumuri, operatori utilaje",1
info@codesless.com,PRENIS SRL,Municipiul Blaj,Alba,,155,,,"construction,driver","Constructii drumuri, operatori utilaje",1
agasi@agasi.ro,AGASI SRL,Municipiul Timisoara,Timis,,155,,+40256499828,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
impa_i@yahoo.com,IMPA & I SRL,"Sat Cocorastii Colt, Comuna Cocorastii Colt",Prahova,,154,,+40722643079,"construction,driver","Constructii drumuri, operatori utilaje",1
conrec@conrecbotosani.ro,CONREC S.R.L.,Municipiul Botosani,Botosani,,154,,+40231517941,"construction,driver","Constructii drumuri, operatori utilaje",1
lili@reconbv.ro,RECON SA,Municipiul Brasov,Brasov,,154,,+40268417196,"construction,driver","Constructii drumuri, operatori utilaje",1
office@diferit.eu,DIFERIT SRL,Municipiul Cluj-Napoca,Cluj,,153,,+40264452311,"construction,driver","Constructii drumuri, operatori utilaje",1
ioana.frincu@electropreciziaag.com,ELECTROPRECIZIA A.G. SRL,Municipiul Sacele,Brasov,,153,,+40268273333,"construction,driver","Constructii drumuri, operatori utilaje",1
office@maristar.ro,MARISTAR COM SRL,"Loc. Titu, Oras Titu",Dambovita,,149,,+40769106808,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@cmipb.ro,COMPANIA MUNICIPALA ILUMINAT PUBLIC BUCURESTI S.R.L.,Bucuresti Sectorul 1,Bucuresti,,147,,407847538430,general,Diverse pozitii,45
leipzig@ludwigpfeiffer.com,LUDWIG PFEIFFER SRL,Municipiul Timisoara,Timis,,145,,+40256401031,"construction,driver","Constructii drumuri, operatori utilaje",1
ionela.hornet@benta.ro,CONTRANSCOM CONSTRUCTII BENTA SRL,"Sat Nazna, Comuna Sancraiu de Mures",Mures,,144,,+40265320548,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
instal@icco.ro,ICCO INSTAL SRL,Municipiul Brasov,Brasov,,144,,401271,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@daftrans2000.ro,DAF TRANS 2000 SRL,Municipiul Constanta,Constanta,,143,,+40241584320,"construction,driver","Constructii drumuri, operatori utilaje",1
office@aquaservcj.ro,AQUA SERV SRL,Municipiul Cluj-Napoca,Cluj,,143,,+40788454645,"construction,driver","Constructii drumuri, operatori utilaje",1
ferestre@profalgroup.ro,PROFAL INDUSTRY SRL,Municipiul Timisoara,Timis,,141,,+40256455148,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
europexpres@yahoo.com,EUROPEXPRES SRL,"Sat Drambar, Comuna Ciugud",Alba,,140,,+40744510902,"construction,driver","Constructii drumuri, operatori utilaje",1
betoane.costavoc@gmail.com,COSTA V.O.C. IMPEX SRL,Municipiul Oradea,Bihor,,140,,+40730333036,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@viaduct.ro,VIADUCT SRL,Municipiul Odorheiu Secuiesc,Harghita,,140,,+40266218311,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
trans.agapia@yahoo.com,SC TRANS GRUP AGAPIA SRL,Municipiul Sibiu,Sibiu,,140,,+40369816196,"horeca,factory","Casieri, lucrator comercial",12
contact@unify.ro,UNIFY CO LTD SRL,"Loc. Cernavoda, Oras Cernavoda",Constanta,,140,,+40372712478,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
bransamente@diversinst.ro,DIVERSINST SRL,Municipiul Craiova,Dolj,,140,,+40051133014,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@valdek.ro,VALDEK IMPEX SRL,Municipiul Sfantu Gheorghe,Covasna,,139,,+40267318164,"construction,driver","Constructii drumuri, operatori utilaje",1
belgium@brenneka.com,BRENNEKA INSTALL SRL,Municipiul Bacau,Bacau,,139,,+40783208426,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@unitip.ro,UNITIP GLOBAL SRL,Bucuresti Sectorul 2,Bucuresti,,137,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@simbarestaurant.ro,SIMBAC SA,Municipiul Oradea,Bihor,,137,,+40259477651,"construction,driver","Constructii drumuri, operatori utilaje",1
