county,name,address,email,phone,manager,auth_num,capacity_tonnes
Alba,BÂRSAN DANIELA PFA,RAHĂU 325 RAHĂU 2 754523324 754523324,,,,AB0009279,350
Alba,BĂLAN GEORGE TUDOR PFA,MEȘCREAC NR.27 MEȘCREAC NR.27 723704762 723704762,,,,AB0008998,60
Alba,CERNAT ION PFA,BERGHIN NR 67 BERGHIN NR 67 752457220 752457220,,,,AB0008939,60
Alba,CIPARIU DARIUS ALEXANDRU PFA,PANADE NR.197 PANADE NR.197 743160169,,,,AB0008925,600
Alba,COMSA FLORIN PFA,OCNA MURES STR LUNGA NR 41 MICOSLACA SUB COASTA NR 1 728973625 728973625,,,,AB00234,500
Alba,CSISZER NICOLAE I.I.,SÂNMICLĂUȘ NR 113 SÂNMICLĂUȘ NR 113 742824630 742824630,,,,AB0009273,2200
Alba,CSIZER N. TIBERIU PFA,SANMICLĂUȘ NR 127 SANMICLĂUȘ NR 127 742868138 742868138,,,,AB0009262,550
Alba,DICOIU DOREL PFA,CAPALNA DE JOS NR.152 JIDVEI STR MORII NR 2A 1200 1200 745071708 745071708,,,,AB0008920,
Alba,DN AGRAR SERVICE,Alba Iulia Piata Iuliu Maniu nr1 0733987430 Câlnic DN1 km 342+400,,+40733987430,,AB0008959,10000
Alba,DRAGU MIHAI MARIUS PFA,STREMT PRINCIPALA NR 443 STREMT PRINCIPALA NR 443 746258443 746258443,,,,AB0008933,125
Alba,DRONKERS GROND SRL,PIANU DE JOS NR.548 PIANU DE JOS NR.548 756711298 756711298,,,,AB0008922,390
Alba,EAGEN STAR SRL,LUNCA MURESULUI PRINCIPALA FN LUNCA MURESULUI PRINCIPALA FN 742031183 742031183,,,,AB0005283,165
Alba,ECOVERT SRL,BLAJ STR. SIMION BARNUTIU NR 13 BLAJ STR. SIMION BARNUTIU NR 13 500 500 745354893 745354893,,,,AB0005299,
Alba,EMI&JESSI SRL SEBES STR DEPOZITELOR NR 4A,118 AB 00225 BIOTERRA DOSTAT STR FERMA NR 1 BIOTERRA DOSTAT STR FERMA NR 1 250 250 119 AB00226 AVRAM,,,,AB00251,18360
Alba,FLOREA N NICOLAE I.I.,BUCERDEA VINOASA NR 249 BUCERDEA VINOASA NR 249 762653483 762653483,,,,AB0008932,150
Alba,GLISS ELLA SRL,"BUCERDEA GRANOASA ,I MAIORESCU NR1 BUCERDEA GRANOASA ,I MAIORESCU NR1 728270149 728270149",,,,AB0008913,800
Alba,GOLDEN PRODIMPEX,LOPADEA NOUA NR. 8 LOPADEA NOUA NR. 8 744370826 744370826,,,,AB0008934,500
Alba,I.I.  BRUDAR MARCEL,"Lancram,str.Dealului,nr. 450 Lancram,str.Dealului,nr. 450",,,,AB0005257,1000
Alba,IGNAT VASILE CAPALNA II,CAPALNA DE JOS PRINCIPALA 82 CAPALNA DE JOS PRINCIPALA 82 200 200 756850951 756850951,,,,AB0008940,
Alba,II BOTA IACOB VASILICA ANCUTA,SIBOT STR. 1 MAI NR 195 SIBOT STR. 1 MAI NR 195 769304326 769304326,,,,AB0009274,615
Alba,II LUP ALINA,HOPARTA SAT TURDAS NR 69 HOPARTA SAT TURDAS NR 69 741257263 741257263,,,,AB0008916,200
Alba,II MEDRUT DUMITRU DORIN,SARD STR LAB NR 399 A SARD STR LAB NR 399 A 741787367 741787367,,,,AB0008947,290
Alba,LAȚIU AXENTE PETRU I.I.,SÂNCEL CD GHEREA NR 10 SÂNCEL CD GHEREA NR 10 749320262 749320262,,,,AB0009269,300
Alba,MAGIC GRUP SRL,IGHIU PEINCIPALA 44A ȘARD NR 550 E 731344378 731344378,,,,AB0009267,1500
Alba,"MAILAT DRAGOS IOAN ""IGHIU""I.I.",IGHIU NR.251 IGHIU NR.251 742209612 742209612,,,,AB0008982,950
Alba,MANASTIREA SF.IOAN BOTEZATORUL,ALBA IULIA VALEA POPII NR 10 ALBA IULIA VALEA POPII NR 10 722342045 722342045,,,,AB0008935,1000
Alba,MARANATA FURD SRL,ABRUD STR REPUBLICII BL.R4 ABRUD STR REPUBLICII BL.R4 85 85 744986939 744986939,,,,AB0005291,
Alba,MON AGRAR KULTUREN SCS,ROSIA DE SECAS STR. SCOLII 267 ROSIA DE SECAS STR. SCOLII 267 761895347 761895347,,,,AB0008999,1920
Alba,NATALIA NADINA SRL,COM SPRING SAT CUNTA NR.177 COM SPRING SAT CUNTA F.N. 1200 1200 724315446 724315446,,,,AB0008919,
Alba,OVINEX GLIGOR SRL,ALBA IULIA BD. REVOLUTIEI 1989 NR 2A 0788844121 BLAJ STR. GHE BARIȚIU NR.32 0788844121 103 AB0009265,,,,AB0009264,20000
Alba,PF GIURGIU CANDIN CONSTANTIN,"Alba-Iulia-Barabant,str.Taberei,nr.22 Alba-Iulia-Barabant,str.Taberei,nr.22",,,,AB0008953,370
Alba,PFA CEGEZI OVIDIU MARIUS,BOGDANESTI NR 869A BOGDANESTI NR 869A 740391039 740391039,,,,AB0008953,500
Alba,PFA COJOCARU PERSIDA,CUGIR str.21 Decembrie nr.58 Tartaria 282 B 744335800 744335800,,,,AB0008906,300
Alba,PFA GHERGHIN TOMA MARIUS,DAIA ROMANA NR 278 DAIA ROMANA NR F.N. 767297945 767297945,,,,AB0008911,450
Alba,PFA HAPRIAN DARIUS IULIAN,DAIA ROMANA NR 252 DAIA ROMANA NR 252 761618444 761618444,,,I.I.  HAPRIAN DARIUS IULIAN,AB0008915,200
Alba,PFA OANA CLAUDIU VASILE,SIBOT STR 1 MAI NR 203 SIBOT STR 1 MAI NR 203 749140384 749140384,,,,AB0008912,420
Alba,PIATRA VIOREL SRL,BERGHIN NR 151 BERGHIN NR 151 736749637 736749637,,,,AB0008987,500
Alba,POPA MARIUS NICOLAE VET PFA,DRAȘOV NR 55 DRAȘOV NR 77 785229095 ATENTIE SCHIMABT NUMLE 785229095,,,,AB0009271,1800
Alba,PRESMEC TEIUS SRL,TEIUS STR.ARDEALULUI 67 TEIUS STR.ARDEALULUI 67 750 750 788446039 788446039,,,,AB0005290,
Alba,ROSANCO TRADE SRL,JIDVEI STR GARII 32 CETATEA DE BALTA CAS,,,,AB0008948,100
Alba,SA  RAHOVEANA,"Rahau,nr.1 Rahau,nr.1",,+40258735813,,AB0005274,1656
Alba,SA ARIESUL GURA-ARIESULUI F.N.,ariesul agrolact,,+40744128436,SA ARIESUL GURA-ARIESULUI,AB00236,1400
Alba,SA AVRAM  IANCU SEBES,"Sebes,str.Calarasi,nr.45 Sebes,str.Calarasi,nr.45",,,,AB000256,800
Alba,SA DREPTATEA,LUNCA MURESULUI STR. MARE NR.15 LUNCA MURESULUI STR. PRINCIPALA F.N. 430 430 258878127 258878127,,,,AB0008901,
Alba,SA FRATIA “92 LANCRAM,"Lancram,Sos.E 81 Lancram,Sos.E 81",,,,AB0005246,5000
Alba,SA SEBESANA SEBES,"Sebes,str.Calarasi,nr.45 A Sebes,str.Calarasi,nr.45 A",,,,AB0008960,2200
Alba,SA TRITICUM SEBES,"Sebes,str.Calarasi,nr.45 Sebes,str.Calarasi,nr.45",,,,AB0008954,875
Alba,SA VINEREANA,"Vinerea,str.Principala,nr.172 Vinerea,str.Principala,nr.172",,,,AB0001710,800
Alba,SA VINTANA VINTU DE JOS,"Vintu de Jos,str.L.Blaga,nr.63 Vintu de Jos,str.L.Blaga,nr.63",,,,AB0005278,3100
Alba,SALCUDEAN TEODOR ALIN PFA SANCEL STR MIHAI EMINESCU NR 1,121 AB00242 LACTOFERM SEBES-RAHAU NR 77 LACTOFERM SEBES-RAHAU LA CARAMIZI FN 380 150 230 122 AB00243,,,SALCUDEAN TEODOR ALIN PFA SANCEL STR NICOLAE BALCESCU NR 1,AB00227,400
Alba,SC AGR 1 DECEMBRIE,Tartaria str. Principala nr.272 Tartaria str. Principala nr.272,,+40258762126,,AB0005247,700
Alba,SC AGRA OARDA SRL,"Alba-Iulia,str.Biruintei,nr.25 Alba-Iulia,str.Biruintei,nr.25",,,,AB0005269,600
Alba,SC AGROBIANA,"Sona,sat Biia,nr.454 Sona,sat Biia,nr.454",,+40258884373,,AB0008923,2000
Alba,SC AGROEST SRL BERGHIN,BERGHIN NR 445 BERGHIN NR 445,,+40258854337,,AB0008981,1120
Alba,SC AGROLOTUS SRL,"Galda de Jos,str.Principala,nr.91 PL Teius,str.Clujului,nr.1",,+40722379096,,AB0001720,700
Alba,SC AGROMEC SA SEBES,"Sebes,str.Calarasi,nr.41 Sebes,str.Calarasi,nr.41",,+40258731918,,AB0005264,1700
Alba,SC AVIUTU SRL,SANTAMARIE STR. PRINCIPALA F.N. SANTAMARIE STR. PRINCIPALA F.N. 740275848 740275848,,,,AB0005285,530
Alba,SC B&B TEAM SRL,CALEA MOTILOR 101 TOTOI PRINCIPALA NR.203 358401520 358401520,,,,AB0005287,450
Alba,SC BORA BORA SRL,"Alba -Iulia str. Ghioceilor nr.16 Galda de Jos nr.100C,",adi.borabora@yahoo.com,+40258846044,,AB0008937,510
Alba,SC BOTEZAN SRL,"Ocna-Mures,str.A.Iancu,nr.33 Razboieni,str.Cetate,nr.409",,+40723268702,,AB0001715,900
Alba,SC CIOBANASU NERO SRL,OARDA STR. CAPRIOAREI NR.19 OARDA STR. CAPRIOAREI FN 740163289 740163289,,,,AB00250,380
Alba,SC COMCEREAL,"BLAJ SA BLAJ SA Blaj,str.M.Kogalniceanu,nr.42 Blaj,str.M.Kogalniceanu,nr.42",,,,AB0001694,8000
Alba,SC DANADVICE SRL,"Str.Gh. Doja ,Nr.47 PL Roşia de Secaş",,+40724593726,SC DANADVICE SRL Cluj Napoca,AB0008930,5100
Alba,SC FITOMAR SRL,"Vintu de Jos Soseaua Sebes-Deva,nr.7A Vintu de Jos Soseaua Sebes-Deva,nr.7A",,,,AB0005267,3250
Alba,SC FLORITOM SRL,"CIUGUD , PRINCIPALA FN CIUGUD , PRINCIPALA FN 744760112 744760112",,,,AB0005293,230
Alba,SC GHERGHINEL SRL,DAIA ROMANA NR.384 DAIA ROMANA VALEA SARBILOR NR 5 800 800 745103842 745103842,,,,AB00232,
Alba,SC GOLDEN WOOD SRL,BUCURESTI SOSEAUA CHITILA NR 3 P.L. Alba Iulia str.Garii nr.4,,+40741237447,SC GOLDEN SILO SRL,AB00252,33500
Alba,SC MATTER ARTHUR SRL,"Garbova,str.Scolii,nr.153 Garbova, NR 573",,,,AB00222,475
Alba,SC MECSOL GALDA SRL,"Galda de Jos,str.Principala,nr573 Galda de Jos,str.Principala,nr573",,,,AB0005289,4500
Alba,SC MOARA MIRIŞTEAN SRL,"Ocna Mureş ,Str. Lungă ,Nr.252 PL Fărău Str. Principală ,Nr.1",,+40258871894,,AB0001740,500
Alba,SC NOVIA BIA SRL,"Sona str. 6 Martie FN Sona str. 6 Martie FN 0749053169 , gheignat@yahoo.com 0749053169 , gheignat@ya",gheignat@yahoo.com,,,AB0005279,1000
Alba,SC PAINE TARANEASCA SRL,"Blaj,str.Petofi Sandor,nr.19 PL Bucerdea Granoasa,nr.48",,+40258713819,,AB0005252,130
Alba,SC PAN DANY VLAD SRL,Alba Iulia str. Garoafei nr. 21 Alba Iulia str. Garoafei nr. 21,,+40781264584,,AB00223,350
Alba,SC SANDA&DORIN SRL,"Petresti,str.Campului,nr1 Petresti,str.Campului,nr1",,,,AB0001708,1000
Alba,SC SARA MARTA SRL,AIUD Str Gorunului nr. 32 Alba Iulia str.Biruintei nr.28,,+40741665099,,AB0005271,1365
Alba,SC SOLEX SRL,"COM LUNA NR 931 Lunca-Mures,nr.440",,,,AB00230,500
Alba,SC SPERANTA EL SRL,"Blaj,str.Al.I.Cuza,nr.22 PL Cetatea de Balta,str.Gazului,FN",,+40258710971,,AB00253,14400
Alba,SC TERRAVAL SRL,"Galda de Jos,sat Benic ,nr.2 Galda de Jos,sat Benic ,nr.2",,,,AB0008958,2850
Alba,SC TIMARIU COMPANY SRL,"Vintu de Jos,Str.M.Eminescu,nr.40 Str.Deasupra Luncii, nr.1",,+40742937542,,AB00231,800
Alba,SC TRANSAVIA SA,SANTIMBRU STR BLAJULUI 244D SANTIMBRU STR BLAJULUI 244D,,+40742153595,,AB00229,112900
Alba,SC TRANSEURO SRL,"Ighiu,nr.205A Ighiu,nr.205A",,+40258844022,,AB0009272,4000
Alba,SC UNICEREAL ALBA SRL,Unirea str.Garii nr 273 Unirea str.Garii nr 273,,,,AB0005260,9500
Alba,SCHEAU I.ANA PFA,DAIA ROMÂNĂ NR 349 DAIA ROMÂNĂ NR 349 765492382 2 controale 765492382,,,,AB0008993,250
Alba,SIPIGFERM SRL,SIBOT PRINCIPALA NR.210 SIBOT D.J.709 NR 495 721861716 721861716,,,,AB0008903,1100
Alba,STOICA MIHAI AGRO ZOO PFA,LUNCA MURESULUI SUB VII 474 LUNCA MURESULUI SUB VII 474 740492037 740492037,,,,AB0008902,500
Alba,SUFANA  SIMONA AGROSYM II,UNGUREI PRINCIPALA 268 UNGUREI PRINCIPALA 268 744765268 744765268,,,,AB00235,2500
Alba,SUFANĂ LENUȚA I.I.,UNGUREI PRINCIPALA 237 UNGUREI PRINCIPALA 268 A 733749788 733749788,,,AGROSUF NICOLAE SRL,AB00237,900
Alba,TERRA GERMUNDIS,RADESTI SAT MESCREAC 37 RADESTI SAT MESCREAC 37 722329535 722329535,,,,AB0008985,1000
Alba,TOTH S.E. ȘTEFAN I.I.,VESEUȘ NR 252 VESEUȘ NR 252 751146156 751146156,,,,AB0008997,500
Alba,UNILACT TRANSILVANIA,STR. TRAIAN NR 856 STR. GARII NR 273 722689637 722689637,,,,AB0005295,3000
Buzau,PL. BALTA-ALBĂ,COM BOLDU,,,SC DIVERS COM 94 SRL,BZ0009981,1500
Buzau,Pct.Nicolesti,"Com.Puiesti,",,+40761643064,S.C.AGRO M/N 2005 S.R.L.,BZ0009903,450
Calarasi,"DOROBANTU 2009 COPERATIVA AGRICOLA, comuna Dorobantu,Judetul Calarasi,0722441253","290 CL0005488 SC SAB AGRO SRL , Comuna VLAD TEPES, Judetul Calarasi,",luencom@gmail.com,+40722324677,,CL0005487,
Calarasi,"SC AGRICOVER SA, comuna Voluntari,jud.Ilfov               telefon 0745013522","296 CL0005495 SC ILIUTA EXPEDITION, comuna Valcelele,jud.Calarasi,",,,,CL0005494,
Calarasi,"SC EXPERT AGRIBUSINESS SRL,LOC.FUNDULEA,     STR.22 DECEMBRIE 1989 , NR.101,JUD.CALARASI","299 CL0005498 SC NEKSIO LAND SRL,LOC.OLTENITA, STR.MARASESTI,NR.17 , JUD.CALARASI SC NEKSIO LAND SRL",,,,CL0005497,
Calarasi,"SC MOBIL MIHBIVLAD SRL, Oltenita, str. DN3, KM3,          tel. 0722573115","293 CL0005492 SC ADM ROMANIA LOGISTICS Bucuresti, str. Dinu Vintila, nr.11, sector 2,",,+40213188690,,CL0005491,
Cluj,"Bontida, str. Clujului, nr. 3, jud. Cluj 0724351969","39 CJ0006954 GN MURES AGRAR SRL, Luna, nr. 831 COM LUNA , NR 109, 0730131504 500 500 40 CJ0006955 AD",,,"NOVATICOM INTERPAL SRL, Viseu de Sus, str. Tineretului, nr. 1, judetul Maramures",CJ0006952,15000
Cluj,"CAIANU MIC, nr. 1C  tel 0763192907","45 CJ0006960 BERINTAN D VICTOR CRISTIAN PFA CAMPENESTI, str. MANASTIRII, nr. 30,",,+40744527470,COLINA VERDE AGRI SRL,CJ0006959,1000
Cluj,"TURDA, str. Bogata, nr. 20, tel 0744538431","42 CJ0006957 IOANICIU MARIA PFA CALARASI, nr. 470,",,,AGRARUS PROD SRL,CJ0006956,4000
Cluj,"com. Mihai Viteazu, str. Progresului, nr. 3,jud. Cluj,  tel:0742259806",119630 39630 80000,,,EAST SILODEP SRL,CJ00802,16000
Ialomita,SA SOLARIS SAVENI  TEL:0722374536,168 IL0000209 SA MECOSAV SAVENI,,,,IL0000210,550
Ialomita,"SC AGRO OIL SERVICE SRL PUNCT DE LUCRU SLOBOZIA, Sos. Brailei, nr. 10, contact@agrooilservice.ro","21 IL 0005781 SC ALEX AGRO SERVICE SRL BUZAU, UNIRII, BL 16 A PARTER, 0238727262 SC ALEX AGRO SERVIC",dinumariusdaniel@yahoo.com,,"SC AGRO OIL SERVICE SRL SLOBOZIA, şos. Amara, nr. 2, tel. 0243231556",IL0008355,30000
Ialomita,SC AGROMA SRL OGRADA TEL/FAX 0243240407,182 IL0000174 SC SAATEN UNION SRL SLOBOZIA SOS AMARA NR2,,+40243277546,,IL0000176,1500
Ialomita,SC AGRONIG SRL CIOCHINA  SAT OREZU TEL/FAX 0243265167,"185 IL00001205 SC AGROFAM HOLDING SRL, sediul social loc. Borcea, judeţ Calarasi SC AGROFAM HOLDING ",agricom.borcea@vectr-farms.com,+40243363145,SC AGRONIG SRL CIOCHINA TEL/FAX 0243265167,IL0008607,12000
Ialomita,SC AMARA CERES 2003 AMARA INCINTA FOST LACTILROM  lauraamaraceres@yahoo.com TEL:0724568963,171 IL 01161 SC SILCOMAR IAZU,,,SC AMARA CERES 2003 AMARA VIILOR NR.49 TEL:0724568963,IL0000202,400
Ialomita,SC AVICOLA SA SLOBOZIA SOS CONSTANTEI  NR5-6 TEL:0243214851 com GH.DOJA,179 IL00008620 SC AGROLOC SRL SLOBOZIA STR MATEI BASARAB 0740026312 SC AGROLOC SRL SLOBOZIA STR MATE,,+40243364335,SC AVICOLA SA SLOBOZIA SOS CONSTANTEI  NR5-6 TEL:0243214851 PL. GH.DOJA,IL00008375,13500
Ialomita,SC MUNTENIA 18 PHB SRL AMARA SOS.AMARA-GRIVITA   TEL/FAX0243232906 EMAIL: muntenia18PHB@yahoo:com,164 IL0000218 SC ANIDA PROD INVEST SRL BUCURESTI CONSTANTIN BRANCUSI SC ANIDA PROD INVEST SRL BUCURE,viorel.dinu@boromir.ro,,SC MUNTENIA 18 PHB SRL AMARA SOS.AMARA-GRIVITA,IL0000220,600
Ialomita,"SC TRITIPAN SRL AMARA, 0243266301, 0243235444 (FAX)","174 IL 0005797 SC TRITIPAN SRL AMARA, 0243233045, 0243235444 (FAX) PL. PERIETI SC TRITIPAN SRL AMARA",tritipan@tritipan.ro,+40243233045,"SC TRITIPAN SRL AMARA, 0243266301, 0243235444 (FAX) PL. AMARA",IL000197,2600
Ialomita,"SC YANLUC COMPANY SRL, Slobozia, Str. Gheorghe Folescu, Nr. 19, Tel : 0734121543, PL : Ion Roata, Str. Fermei, Nr. 12","194 Il 0005933 SC TEA CONSULTING SRL, Țăndarei, str.București, bloc 160, scara 28, ap.15, jud.Ialomi",office@teaseminte.ro,+40732891769,"SC YANLUC COMPANY SRL, Slobozia, Str. Gheorghe Folescu, Nr. 19",IL0005945,6000
Olt,"Magazie , com Stoicănești , jud. Olt - 0729133239","95 OT0006495 SC ECO INFO , Corabia , str. Celeiului , nr.4A , jud. Olt Magazie , Corabia , str. Cele",,,"SC STE GAS SRL , Slatina , str. Ecaterina Teodoroiu , nr. 34 , jud. Olt",OT0006494,1500
Olt,"Magazie , com. Brâncoveni , jud. Olt - 0768077710","132 OT0006692 SC ADELA BIO AGRICULTURA SRL , Slatina , str.Eroilor , jud. Olt Magazie , Slatina , st",,,"SC AGRICOLA MAXO SRL , Slatina , str. Oituz , jud. Olt",OT0006691,700
Olt,"Magazie , com. Cilieni , str. vișinei , nr.57 , jud. Olt - 0723558901","135 OT0006695 SC UNICONFEX EXIM SRL, Slatina , str. Crișan , nr.25 , jud.Olt Magazie , com Brastavăț",,,"SC MOLTAGRO NATURAL SRL , Pitești Argeș , str.Intr. Teilor",OT0006694,1000
Olt,"Magazie , com. Dobrun , jud. Olt - 0767762943","101 OT0006645 SC LONGIN SRL , com Șerbănești , str. Dumitru Popovici , jud. Olt Magazie , com. Șerba",,,"SC QATRO CLUB SELECT SRL , com. Redea , jud. Olt",OT0006642,100
Olt,"Magazie , com. Mărunței , sat Bălănești , jud. Olt - 0745399161","129 OT0009129 SC CEREALCOM DOLJ , Segarcea , str. Republicii , nr. 3 , jud. Dolj Siloz - com. Traian",,,"ZEIA MAIS SRL , Slatina, str. 1 Decembrie , jud. Olt",OT0006688,800
Olt,"Magazie , com. Rusănești , jud. Olt - 0744380406","98 OT0006498 SC VASILE C&I SNC , Slatina , str. Mânastirii, nr.2 , jud. Olt Siloz , com. Vădastra , ",,,"SC AGRO CHIREA SRL , com Rusănești , jud. Olt",OT0006497,1500
Olt,"Magazie , com. Vâlcele , jud. Olt - 0745394121","121 OT 0006677 SC EROS N.TITULESCU SA – N.TITULESCU – JUD. OLT Siloz , com. N. Titulescu , jud. Olt ",,,"SA UNIREA VÂLCELE , com. Vâlcele , jud. Olt",OT0006676,2000
Olt,"Magazie - com. Corbu , sat Milcovani, jud. Olt - 0744307514","90 OT0006486 SC DOI URSULEȚI SRL , Scornicești ,sat Jitaru , str. Brutăriei, jud. Olt Siloz+ Magazie",,,"SC TOTAL AGRO SERV SRL , com Corbu , jud. Olt",OT0006485,1000
Olt,"Magazie - loc. Bucinișu   , jud. Olt - 0766512830","167 OT01003 SC ARMAN CONSTRUCTION , Tufeni , jud. Olt Magazie - loc. Potcoava , jud. Olt - 078421283",,,"SC AGROMIL RADU SRL , bucinișu , jud. Olt",OT01002,10500
Olt,"Magazie - loc. Corabia  , jud. Olt - 0756314314","178 OT01015 EUROSILOZ SA ,Alexandria, str.Dunării , nr.51 , jud.",,,"SC CORAGROSTAR SRL , Corabia , jud. Olt",OT01014,1000
Olt,"Magazie - loc. Ianca  , jud. Olt - 0741193055","172 OT01008 SC ENERGIA VERDE STREJESTI SA , Strejesti , jud. Olt Magazie – com. Strejesti, jud.Olt /",,,"TOCEA IANCA COOPERATIVA AGRICOLA ,Ianca , jud.",OT01007,3000
Olt,"Magazie - loc. Șerbănești  , jud. Olt - 0728444224","164 OT0009140 SC VALTUM PROD COM , Slatina , str. Pitești , nr.213 , jud. Olt Magazie - loc. Dobrote",,,"SC METALTRANS SRL , Slatina , str. Văilor  , jud. Olt",OT0009139,4000
Olt,"Magazie ; com. Dănesa , jud. Olt -","116 OT0006671 SC COFCO INTERNAȚIONAL ROMÂNIA SRL , Bucuresti , șos. Buc.- Ploiești , nr.1A , sect.1 ",,,"SC EXPLOIT DĂNEASA SRL , Cluj-Napoca , str. Remenyik Șandor , nr.15-17 , jud. Cluj",OT0006666,6000
Olt,"Magazie ; com. Mihăești , jud. Olt     - 0249488520","104 OT0006649 SC AGRO LARIGI SRL , com. Vlădila , str. Mihai Eminescu , nr. 7 , jud. Olt Magazie ; c",,,"SC AGRO GELMAR SRL , com. Mihăești , str. Principală , nr.1B , jud. Olt",OT0006648,2250
Olt,"Magazie – Corabia , jud. Olt , 0251446222","75 OT0004640 SC VICTORIA INTERMED SRL , Slatina , str. George Poboran, nr. 8 , jud. olt Magazie – St",victoriaintermed@yahoo.com,,"SC CONSULTING TRANSEURO SRL , Coșoveni – jud. Dolj",OT0004638,3000
Olt,"Magazie – Corbu , jud. Olt , 0740618870","Piresti , Arges 50 OT0004608 ÎI IONIȚĂ MARIAN Siloz – Dobrosloveni – jud. Olt , 0744552804 2000 2000",,,"SC ENOGIULIA SRL , Pitești , jud. Argeș",OT0004607,400
Olt,"Magazie – Cungrea , jud. Olt ,","79Petrochimiștilor , jud. Argeș",,,"SC CALIMAR GROUP SRL ,Pitești – str.B-dul",OT0004637,700
Olt,"Magazie – Mărunței , jud. Olt","745399161 84 OT0006478 SC DUMAGAS AGRI SRL – Podari , str. Calafatului nr.117 , jud. Dolj Magazie – ",,,"SC ZEIA MAIS SRL – Slatina , str.1 Decembrie , jud. Olt",OT0006469,400
Olt,Magazie – N. Titulescu jud. Olt 0249485476,63 OT0004626 SC IRIS N.TITULESCU – JUD. OLT Magazie – N.Tittulescu jud. Olt0249485476 2000 2000 64 O,,,SC EROS N.TITULESCU 69SA – N.TITULESCU – JUD. OLT,OT0004625,2000
Olt,"Magazie – Radomiresti , jud. Olt , 0722218615","Dobroesti , Ilfov 48 OT0004606 SA ETCOR Corabia , jud. Olt Magazie – Corabia , jud.Olt , 0249561224 ",,,SC AGRO MGS PROD SRL,OT0004605,2500
Olt,"Magazie – Redea , Jud. Olt , 0767762943","66 OT0006479 SC GEMARC GAVDUM SRL , ROTUNDA , JUD. OLT Magazie + Siloz – Rotunda , jud. Olt , 073715",,,"SC PIEMONT SRL – REDEA , JUD. OLT",OT0004628,150
Olt,"Magazie – Slatina , str. Pitești , jud. Olt","0250 746566 88 OT0006484 SC PROMILI PAN SRL Magazie - Scornicești , sat Jitaru , jud. Olt ; 07482167",,,"SC TOPI IMPORT – EXPORT , RM. Vâlcea , str. Timiț , nr.6",OT0006483,2000
Olt,"Magazie – Stoicănești , jud. Olt , 0251416553","Craiova , jud. Dolj 52 OT 0004612 SC RENCI SRL Magazie – Spineni , jud. Olt 0249460440 2000 2000",,,SC ASANI IMP-EXP SRL,OT0004609,3000
Olt,Magazie – Vișina Veche – jud. Olt 0249438353,61 OT0004624 SC FERMA FLORU SRL Siloz – Icoana – jud. Olt 0249483056 2000 2000 Icoana – jud. Olt,,,"SC BRISE AGRICULTURA SA Slatina , jud. Olt",OT0006470,2000
Olt,"Magazie – Văleni , jud. Olt , 0762277229","69 OT0004633 SC AGRO MGS PROD SRL Siloz – Radomiresti , jud. Olt , 0722218615 2000 2000 Dobroesti , ",,,"SA UNIREA – VĂLENI , JUD. OLT",OT0004631,1000
