email,company,country,sector,website
contacto@austral.com.pe,Austral Group,PE,Fishing/Fishmeal,austral.com.pe
contacto@exalmar.com.pe,Exalmar,PE,Fishing/Fishmeal,exalmar.com.pe
contacto@camposol.com.pe,Camposol,PE,Agriculture/Fruits,camposol.com.pe
contacto@danper.com,Danper,PE,Agriculture,danper.com
contacto@viru.com.pe,Viru S.A.,PE,Agriculture,viru.com.pe
contacto@cocla.com.pe,COCLA,PE,Coffee,cocla.com.pe
contacto@creditex.com.pe,Creditex,PE,Textiles,creditex.com.pe
contacto@michell.com.pe,Michell y Cia,PE,Alpaca/Textiles,michell.com.pe
contacto@incatops.com,Inca Tops,PE,Alpaca/Textiles,incatops.com
contacto@eppetroecuador.ec,Petroecuador,EC,Oil/Gas,eppetroecuador.ec
contacto@rfrsa.com,Reybanpac (Favorita),EC,Bananas,rfrsa.com
contacto@ubesa.com.ec,Ubesa,EC,Bananas,ubesa.com.ec
contacto@gruponomoa.com,Noboa Corporation,EC,Bananas,gruponomoa.com
contacto@santapriscila.com,Industrial Pesquera Santa Priscila (IPSP),EC,Shrimp,santapriscila.com
contacto@omarsa.com,Omarsa,EC,Shrimp,omarsa.com
contacto@promarisco.com,Promarisco,EC,Shrimp,promarisco.com
contacto@expalsa.com,Expalsa,EC,Shrimp,expalsa.com
contacto@republicadelcacao.com,Republica del Cacao,EC,Cacao,republicadelcacao.com
contacto@pacarichocolate.com,Pacari,EC,Cacao,pacarichocolate.com
contacto@rfrprima.com,Florexpo (Rosaprima),EC,Flowers,rfrprima.com
contacto@falconfarms.com,Falconfarms,EC,Flowers,falconfarms.com
contacto@nevadoecuador.com,Nevado Ecuador,EC,Flowers,nevadoecuador.com
contacto@nirsa.com,NIRSA,EC,Tuna,nirsa.com
contacto@pdvsa.com,PDVSA,VE,Oil/Gas,pdvsa.com
contacto@empresaspolar.com,Empresas Polar,VE,Food/Beverages,empresaspolar.com
contacto@rfrnsantateresa.com,Ron Santa Teresa,VE,Beverages,rfrnsantateresa.com
contacto@exxonmobil.com,ExxonMobil Guyana,GY,Oil/Gas,exxonmobil.com
contacto@guysuco.com,Guyana Sugar Corporation (GuySuCo),GY,Sugar,guysuco.com
contacto@demrum.com,Demerara Distillers (DDL),GY,Rum/Beverages,demrum.com
contacto@grdb.gy,Guyana Rice Development Board (GRDB),GY,Rice,grdb.gy
contacto@staatsolie.com,Staatsolie,SR,Oil/Gas,staatsolie.com
contacto@grassalco.com,Grassalco,SR,Mining,grassalco.com
contacto@sfrb.sr,SBB (Stichting Bosbeheer),SR,Timber,sfrb.sr
