name,country,city,sector,website,email,source
Bunge Brasil,BR,Sao Paulo,Grains/Food,bunge.com.br,,Brasil
ADM do Brasil,BR,Sao Paulo,Grains,adm.com,,Brasil
Louis Dreyfus Brasil,BR,Sao Paulo,Commodities,ldc.com,,Brasil
Citrosuco,BR,Matao,Orange Juice,citrosuco.com.br,,Brasil
Cutrale,BR,Araraquara,Orange Juice,cutrale.com.br,,Brasil
Raizen,BR,Sao Paulo,Sugar/Ethanol,raizen.com.br,,Brasil
Copersucar,BR,Sao Paulo,Sugar/Ethanol,copersucar.com.br,,Brasil
Sao Martinho,BR,Pradopolis,Sugar/Ethanol,saomartinho.com.br,,Brasil
Biosev,BR,Sao Paulo,Sugar/Ethanol,biosev.com,,Brasil
Tereos Brasil,BR,Sao Paulo,Sugar,tereos.com,,Brasil
Vale S.A.,BR,Rio de Janeiro,Iron Ore/Mining,vale.com,,Brasil
CSN Mineracao,BR,Congonhas,Iron Ore,csn.com.br,,Brasil
Anglo American Brasil,BR,Belo Horizonte,Iron Ore/Nickel,angloamerican.com,,Brasil
Samarco,BR,Mariana,Iron Ore,samarco.com,,Brasil
CBMM,BR,Araxa,Niobium,cbmm.com,,Brasil
Suzano,BR,Sao Paulo,Pulp/Paper,suzano.com.br,,Brasil
Klabin,BR,Sao Paulo,Pulp/Paper,klabin.com.br,,Brasil
Eldorado Brasil,BR,Tres Lagoas,Pulp,eldoradobrasil.com.br,,Brasil
Gerdau,BR,Porto Alegre,Steel,gerdau.com,,Brasil
Usiminas,BR,Belo Horizonte,Steel,usiminas.com,,Brasil
CSN - Cia Siderurgica Nacional,BR,Volta Redonda,Steel,csn.com.br,,Brasil
ArcelorMittal Brasil,BR,Belo Horizonte,Steel,arcelormittal.com.br,,Brasil
CBA - Cia Brasileira de Aluminio,BR,Aluminio,Aluminum,cba.com.br,,Brasil
Embraer,BR,Sao Jose dos Campos,Aerospace,embraer.com,,Brasil
Helibras,BR,Itajuba,Aerospace,helibras.com.br,,Brasil
WEG S.A.,BR,Jaragua do Sul,Electric Motors,weg.net,,Brasil
Tupy S.A.,BR,Joinville,Auto Parts,tupy.com.br,,Brasil
Iochpe-Maxion,BR,Sao Paulo,Wheels/Chassis,iochpe.com.br,,Brasil
Randon,BR,Caxias do Sul,Trailers/Parts,randon.com.br,,Brasil
Braskem,BR,Sao Paulo,Petrochemicals,braskem.com.br,,Brasil
Unipar,BR,Sao Paulo,Chemicals,unipar.com,,Brasil
Cooxupe,BR,Guaxupe,Coffee,cooxupe.com.br,,Brasil
Cocapec,BR,Franca,Coffee,cocapec.com.br,,Brasil
Amaggi,BR,Cuiaba,Soy/Grains,amaggi.com.br,,Brasil
SLC Agricola,BR,Porto Alegre,Soy/Cotton,slcagricola.com.br,,Brasil
Grendene,BR,Sobral,Footwear,grendene.com.br,,Brasil
Alpargatas,BR,Sao Paulo,Footwear,alpargatas.com.br,,Brasil
JBS Couros,BR,Sao Paulo,Leather,jbscouros.com.br,,Brasil
Aceitera General Deheza (AGD),AR,Cordoba,Soy/Grains,agd.com.ar,,Argentina
Molinos Agro,AR,Buenos Aires,Grains/Oils,molinosagro.com.ar,,Argentina
Vicentin,AR,Avellaneda,Soy/Grains,vicentin.com.ar,,Argentina
Cargill Argentina,AR,Buenos Aires,Grains,cargill.com.ar,,Argentina
Bunge Argentina,AR,Buenos Aires,Grains,bunge.com.ar,,Argentina
Louis Dreyfus Argentina,AR,Buenos Aires,Commodities,ldc.com,,Argentina
ADM Argentina,AR,Buenos Aires,Grains,adm.com,,Argentina
Nidera,AR,Buenos Aires,Grains,nidera.com.ar,,Argentina
Estancias del Sur,AR,Buenos Aires,Beef,estanciasdelsur.com.ar,,Argentina
Bodegas Chandon Argentina,AR,Mendoza,Wine,chandon.com.ar,,Argentina
Bodega Catena Zapata,AR,Mendoza,Wine,catenawines.com,,Argentina
Trivento Bodegas,AR,Mendoza,Wine,trivento.com,,Argentina
Bodega Norton,AR,Mendoza,Wine,norton.com.ar,,Argentina
Familia Zuccardi,AR,Mendoza,Wine,familiazuccardi.com,,Argentina
Trapiche,AR,Mendoza,Wine,trapiche.com.ar,,Argentina
Luigi Bosca,AR,Mendoza,Wine,luigibosca.com.ar,,Argentina
Livent Argentina,AR,Buenos Aires,Lithium,livent.com,,Argentina
Allkem (Olaroz),AR,Jujuy,Lithium,allkem.co,,Argentina
Arcadium Lithium,AR,Salta,Lithium,arcadiumlithium.com,,Argentina
Rio Tinto Rincon,AR,Salta,Lithium,riotinto.com,,Argentina
Posco Argentina (Sal de Vida),AR,Catamarca,Lithium,posco.com,,Argentina
HoneyMax,AR,Buenos Aires,Honey,honeymax.com.ar,,Argentina
ConexAmericas,AR,Buenos Aires,Honey,conexamericas.com,,Argentina
Newsan Food,AR,Buenos Aires,Seafood,newsan.com.ar,,Argentina
Pesquera Deseado,AR,Puerto Deseado,Seafood,pesqueradeseado.com.ar,,Argentina
Argenova,AR,Mar del Plata,Seafood,argenova.com.ar,,Argentina
Aluar Aluminio Argentino,AR,Puerto Madryn,Aluminum,aluar.com.ar,,Argentina
Ternium Argentina,AR,Buenos Aires,Steel,ternium.com,,Argentina
Tenaris,AR,Buenos Aires,Steel Pipes,tenaris.com,,Argentina
Acindar (ArcelorMittal),AR,Buenos Aires,Steel,acindar.com.ar,,Argentina
YPF,AR,Buenos Aires,Oil/Gas/Chemicals,ypf.com,,Argentina
Dow Argentina,AR,Buenos Aires,Chemicals,dow.com,,Argentina
Expofrut Argentina,AR,Rio Negro,Fruits,expofrut.com.ar,,Argentina
Patagonian Fruits,AR,Neuquen,Fruits,patagonianfruits.com,,Argentina
San Miguel S.A.,AR,Tucuman,Lemons/Citrus,sanmiguelglobal.com,,Argentina
Citrusvil,AR,Tucuman,Lemons,citrusvil.com.ar,,Argentina
Prodeman,AR,Cordoba,Peanuts,prodeman.com,,Argentina
Lorenzati Ruetsch,AR,Cordoba,Peanuts,lorenzati.com.ar,,Argentina
BPU - Breeders & Packers Uruguay,UY,Durazno,Beef,bfrsa.com,,Uruguay
Frigorifico Carrasco,UY,Montevideo,Beef,frigorificocarrasco.com,,Uruguay
Schneck S.A.,UY,Montevideo,Beef,,,Uruguay
Conaprole,UY,Montevideo,Dairy,conaprole.com.uy,,Uruguay
Lactalis Uruguay,UY,Montevideo,Dairy,lactalis.com,,Uruguay
Saman,UY,Treinta y Tres,Rice,saman.com.uy,,Uruguay
Coopar,UY,Treinta y Tres,Rice,coopar.com.uy,,Uruguay
Glencore Uruguay (Arrozal 33),UY,Treinta y Tres,Rice,,,Uruguay
Barraca Erro,UY,Montevideo,Grains,barracaerro.com.uy,,Uruguay
Cereoil Uruguay,UY,Montevideo,Grains,,,Uruguay
UPM Uruguay,UY,Fray Bentos,Pulp,upm.com,,Uruguay
Montes del Plata,UY,Colonia,Pulp,montesdelplata.com.uy,,Uruguay
Lanas Trinidad,UY,Trinidad,Wool,lanastrinidad.com,,Uruguay
Tops Fray Marcos,UY,Florida,Wool,,,Uruguay
Caputto,UY,Paysandu,Citrus,caputto.com.uy,,Uruguay
Milagro,UY,Salto,Citrus,,,Uruguay
Codelco,CL,Santiago,Copper,codelco.com,,Chile
Antofagasta Minerals,CL,Santiago,Copper,aminerals.cl,,Chile
BHP Chile,CL,Santiago,Copper,bhp.com,,Chile
Anglo American Chile,CL,Santiago,Copper,angloamerican.com,,Chile
Freeport McMoRan Chile,CL,Santiago,Copper,,,Chile
SQM,CL,Santiago,Lithium,sqm.com,,Chile
Empresas AquaChile,CL,Puerto Montt,Salmon,aquachile.com,,Chile
Multiexport Foods,CL,Puerto Montt,Salmon,multiexportfoods.com,,Chile
Cermaq Chile,CL,Puerto Montt,Salmon,cermaq.com,,Chile
Australis Seafoods,CL,Puerto Montt,Salmon,australis-seafoods.com,,Chile
Blumar,CL,Santiago,Salmon/Seafood,blumar.com,,Chile
Camanchaca,CL,Santiago,Salmon/Seafood,camanchaca.cl,,Chile
Concha y Toro,CL,Santiago,Wine,conchaytoro.com,,Chile
VSPT Wine Group,CL,Santiago,Wine,vspt.cl,,Chile
Santa Rita,CL,Santiago,Wine,santarita.com,,Chile
Vina San Pedro,CL,Santiago,Wine,sanpedro.cl,,Chile
Vina Errazuriz,CL,Aconcagua,Wine,errazuriz.com,,Chile
Dole Chile,CL,Santiago,Fruits,dole.cl,,Chile
Del Monte Fresh Chile,CL,Santiago,Fruits,,,Chile
Agricola Garces,CL,OHiggins,Fruits,garces.cl,,Chile
David del Curto,CL,Santiago,Fruits,daviddelcurto.cl,,Chile
Copefrut,CL,Curico,Fruits,copefrut.cl,,Chile
CMPC,CL,Santiago,Pulp/Paper,cmpc.com,,Chile
Arauco,CL,Santiago,Pulp/Wood,arauco.cl,,Chile
Agrosuper,CL,Rancagua,Poultry/Pork,agrosuper.cl,,Chile
Carozzi,CL,Santiago,Food,carozzi.cl,,Chile
Frigorifico Guarani,PY,Itaugua,Beef,frigorificoguarani.com.py,,Paraguay
Frigorifico Norte,PY,Concepcion,Beef,,,Paraguay
Athena Foods Paraguay,PY,Asuncion,Beef,athenafoods.com,,Paraguay
Cargill Paraguay,PY,Asuncion,Grains,cargill.com.py,,Paraguay
ADM Paraguay,PY,Asuncion,Grains,,,Paraguay
Bunge Paraguay,PY,Asuncion,Grains,,,Paraguay
Louis Dreyfus Paraguay,PY,Asuncion,Grains,,,Paraguay
COFCO Paraguay,PY,Asuncion,Grains,,,Paraguay
Desarrollo Agricola del Paraguay (DAP),PY,Asuncion,Grains,,,Paraguay
Agro Silo Santa Catalina,PY,Ciudad del Este,Grains,,,Paraguay
Azucarera Paraguaya (AZPA),PY,Asuncion,Sugar,azpa.com.py,,Paraguay
Ingenio La Felsina,PY,Guaira,Sugar,,,Paraguay
CAPASA,PY,Asuncion,Sugar,,,Paraguay
Grupo Cartes,PY,Asuncion,Conglomerate,grupocartes.com.py,,Paraguay
Tabacalera del Este (TABESA),PY,Asuncion,Tobacco,tabesa.com.py,,Paraguay
Manufactura de Pilar,PY,Pilar,Textiles,,,Paraguay
PETROPAR,PY,Asuncion,Oil/Gas,petropar.gov.py,,Paraguay
Itaipu Binacional,PY,Hernandarias,Energy,itaipu.gov.py,,Paraguay
Selecta,PY,Asuncion,Yerba Mate,selecta.com.py,,Paraguay
Pajarito,PY,Asuncion,Yerba Mate,pajarito.com.py,,Paraguay
Kurupi,PY,Asuncion,Yerba Mate,,,Paraguay
COMIBOL,BO,La Paz,Mining,comibol.gob.bo,,Bolivia
Empresa Minera Huanuni,BO,Oruro,Tin/Mining,,,Bolivia
Sinchi Wayra (Glencore),BO,La Paz,Zinc/Silver,,,Bolivia
Minera San Cristobal,BO,Potosi,Zinc/Silver,minerasancristobal.com,,Bolivia
Empresa Siderurgica del Mutun (ESM),BO,Puerto Suarez,Iron Ore,,,Bolivia
YPFB,BO,La Paz,Oil/Gas,ypfb.gob.bo,,Bolivia
Repsol Bolivia,BO,Santa Cruz,Oil/Gas,,,Bolivia
Petrobras Bolivia,BO,Santa Cruz,Oil/Gas,,,Bolivia
TotalEnergies Bolivia,BO,Santa Cruz,Oil/Gas,,,Bolivia
ADM Bolivia,BO,Santa Cruz,Grains,,,Bolivia
Cargill Bolivia,BO,Santa Cruz,Grains,,,Bolivia
Gravetal Bolivia,BO,Santa Cruz,Soy/Oils,,,Bolivia
Industrias de Aceite (FINO),BO,Santa Cruz,Soy/Oils,fino.com.bo,,Bolivia
IOL S.A.,BO,Santa Cruz,Soy/Oils,,,Bolivia
URKUPIÑA,BO,Riberalta,Brazil Nuts,,,Bolivia
Tahuamanu,BO,Cobija,Brazil Nuts,tahuamanu.com,,Bolivia
Amazonas Trading,BO,Riberalta,Brazil Nuts,,,Bolivia
Andean Valley,BO,La Paz,Quinoa,andeanvalley.com,,Bolivia
Coronilla,BO,La Paz,Quinoa,,,Bolivia
Jatary,BO,Oruro,Quinoa,,,Bolivia
Cerveceria Boliviana Nacional (CBN),BO,La Paz,Beverages,cfrn.com.bo,,Bolivia
PIL Andina,BO,Cochabamba,Dairy,pilandina.com,,Bolivia
Delizia,BO,La Paz,Dairy,,,Bolivia
Southern Copper Corporation,PE,Lima,Copper,southerncoppercorp.com,,Peru
Antamina,PE,Lima,Copper/Zinc,antamina.com,,Peru
Cerro Verde (Freeport),PE,Arequipa,Copper,,,Peru
Las Bambas (MMG),PE,Apurimac,Copper,,,Peru
Minsur,PE,Lima,Tin,minsur.com,,Peru
Buenaventura,PE,Lima,Gold/Silver,buenaventura.com,,Peru
Volcan Compania Minera,PE,Lima,Zinc/Silver,volcan.com.pe,,Peru
Nexa Resources Peru,PE,Lima,Zinc,nexaresources.com,,Peru
Hochschild Mining,PE,Lima,Gold/Silver,hochschildmining.com,,Peru
Gold Fields La Cima,PE,Cajamarca,Gold,,,Peru
Pluspetrol,PE,Lima,Oil/Gas,pluspetrol.net,,Peru
CNPC Peru,PE,Lima,Oil/Gas,,,Peru
Hunt Oil Peru,PE,Lima,Oil/Gas,,,Peru
Petroperu,PE,Lima,Oil/Gas,petroperu.com.pe,,Peru
TASA (Tecnologica de Alimentos),PE,Lima,Fishing/Fishmeal,tasa.com.pe,,Peru
Austral Group,PE,Lima,Fishing/Fishmeal,austral.com.pe,,Peru
Exalmar,PE,Lima,Fishing/Fishmeal,exalmar.com.pe,,Peru
Copeinca,PE,Lima,Fishing/Fishmeal,,,Peru
CFG Investment,PE,Lima,Fishing/Fishmeal,,,Peru
Camposol,PE,Lima,Agriculture/Fruits,camposol.com.pe,,Peru
Danper,PE,Trujillo,Agriculture,danper.com,,Peru
Viru S.A.,PE,La Libertad,Agriculture,viru.com.pe,,Peru
Gandules,PE,Chiclayo,Agriculture,,,Peru
Sociedad Agricola Drokasa (AGROKASA),PE,Ica,Grapes/Asparagus,,,Peru
Complejo Agroindustrial Beta,PE,Chincha,Agriculture,,,Peru
COCLA,PE,Cusco,Coffee,cocla.com.pe,,Peru
Perhusa (Altomayo),PE,Lima,Coffee,,,Peru
Creditex,PE,Lima,Textiles,creditex.com.pe,,Peru
Michell y Cia,PE,Arequipa,Alpaca/Textiles,michell.com.pe,,Peru
Inca Tops,PE,Arequipa,Alpaca/Textiles,incatops.com,,Peru
Petroecuador,EC,Quito,Oil/Gas,eppetroecuador.ec,,Ecuador
Petroamazonas,EC,Quito,Oil/Gas,,,Ecuador
Repsol Ecuador,EC,Quito,Oil/Gas,,,Ecuador
ENAP Sipec (Chile),EC,Quito,Oil/Gas,,,Ecuador
Reybanpac (Favorita),EC,Guayaquil,Bananas,rfrsa.com,,Ecuador
Ubesa,EC,Guayaquil,Bananas,ubesa.com.ec,,Ecuador
Truisfruit,EC,Guayaquil,Bananas,,,Ecuador
Palmar,EC,Machala,Bananas,,,Ecuador
Noboa Corporation,EC,Guayaquil,Bananas,gruponomoa.com,,Ecuador
Oro Banana,EC,Machala,Bananas,,,Ecuador
Industrial Pesquera Santa Priscila (IPSP),EC,Guayaquil,Shrimp,santapriscila.com,,Ecuador
Omarsa,EC,Guayaquil,Shrimp,omarsa.com,,Ecuador
Promarisco,EC,Guayaquil,Shrimp,promarisco.com,,Ecuador
Songa,EC,Guayaquil,Shrimp,,,Ecuador
Expalsa,EC,Guayaquil,Shrimp,expalsa.com,,Ecuador
Grupo Alcon,EC,Guayaquil,Shrimp,,,Ecuador
Republica del Cacao,EC,Quito,Cacao,republicadelcacao.com,,Ecuador
Pacari,EC,Quito,Cacao,pacarichocolate.com,,Ecuador
Cofina,EC,Guayaquil,Coffee,,,Ecuador
Florexpo (Rosaprima),EC,Quito,Flowers,rfrprima.com,,Ecuador
Falconfarms,EC,Cayambe,Flowers,falconfarms.com,,Ecuador
Nevado Ecuador,EC,Quito,Flowers,nevadoecuador.com,,Ecuador
Florecal,EC,Cayambe,Flowers,,,Ecuador
NIRSA,EC,Guayaquil,Tuna,nirsa.com,,Ecuador
Eurofish,EC,Manta,Tuna,,,Ecuador
Conservas Isabel,EC,Manta,Tuna,,,Ecuador
Tecopesca,EC,Manta,Tuna,,,Ecuador
PDVSA,VE,Caracas,Oil/Gas,pdvsa.com,,Venezuela
CITGO (PDVSA),VE,Houston,Oil/Gas,,,Venezuela
Sidor,VE,Puerto Ordaz,Steel,,,Venezuela
CVG Minerven,VE,El Callao,Gold,,,Venezuela
CVG Ferrominera Orinoco,VE,Puerto Ordaz,Iron Ore,,,Venezuela
Empresas Polar,VE,Caracas,Food/Beverages,empresaspolar.com,,Venezuela
Cargill Venezuela,VE,Caracas,Grains,,,Venezuela
Ron Santa Teresa,VE,Aragua,Beverages,rfrnsantateresa.com,,Venezuela
Savoy (Nestle),VE,Caracas,Food,,,Venezuela
ExxonMobil Guyana,GY,Georgetown,Oil/Gas,exxonmobil.com,,Guyana
Hess Guyana,GY,Georgetown,Oil/Gas,,,Guyana
CNOOC Guyana,GY,Georgetown,Oil/Gas,,,Guyana
Guyana Goldfields,GY,Georgetown,Gold,,,Guyana
Troy Resources Guyana,GY,Georgetown,Gold,,,Guyana
Omai Gold Mines,GY,Georgetown,Gold,,,Guyana
Bosai Minerals (China),GY,Linden,Bauxite,,,Guyana
First Bauxite Corporation,GY,Georgetown,Bauxite,,,Guyana
Guyana Sugar Corporation (GuySuCo),GY,Georgetown,Sugar,guysuco.com,,Guyana
Demerara Distillers (DDL),GY,Georgetown,Rum/Beverages,demrum.com,,Guyana
Guyana Rice Development Board (GRDB),GY,Georgetown,Rice,grdb.gy,,Guyana
Nand Persaud & Company,GY,Georgetown,Rice,,,Guyana
Barama Company,GY,Georgetown,Timber,,,Guyana
Staatsolie,SR,Paramaribo,Oil/Gas,staatsolie.com,,Suriname
Apache Suriname,SR,Paramaribo,Oil/Gas,,,Suriname
TotalEnergies Suriname,SR,Paramaribo,Oil/Gas,,,Suriname
Newmont Suriname,SR,Paramaribo,Gold,,,Suriname
IAMGOLD Rosebel,SR,Paramaribo,Gold,,,Suriname
Grassalco,SR,Paramaribo,Mining,grassalco.com,,Suriname
Suralco (Alcoa),SR,Paranam,Bauxite,,,Suriname
Surland,SR,Paramaribo,Rice,,,Suriname
NV SPBA (Bananas),SR,Paramaribo,Bananas,,,Suriname
SBB (Stichting Bosbeheer),SR,Paramaribo,Timber,sfrb.sr,,Suriname
SAIL (Suriname American Industries),SR,Paramaribo,Fishing/Shrimp,,,Suriname
