name,country,city,sector,website,email,email_generated,source
CVG Bauxilum,VE,Ciudad Guayana,Aluminio,,,no,Aluminio
Cargill Brasil,BR,Sao Paulo,Grains/Food,cargill.com.br,contacto@cargill.com.br,yes,Brasil
Bunge Brasil,BR,Sao Paulo,Grains/Food,bunge.com.br,contacto@bunge.com.br,yes,Brasil
ADM do Brasil,BR,Sao Paulo,Grains,adm.com,contacto@adm.com,yes,Brasil
Louis Dreyfus Brasil,BR,Sao Paulo,Commodities,ldc.com,contacto@ldc.com,yes,Brasil
Citrosuco,BR,Matao,Orange Juice,citrosuco.com.br,contacto@citrosuco.com.br,yes,Brasil
Cutrale,BR,Araraquara,Orange Juice,cutrale.com.br,contacto@cutrale.com.br,yes,Brasil
Raizen,BR,Sao Paulo,Sugar/Ethanol,raizen.com.br,contacto@raizen.com.br,yes,Brasil
Copersucar,BR,Sao Paulo,Sugar/Ethanol,copersucar.com.br,contacto@copersucar.com.br,yes,Brasil
Sao Martinho,BR,Pradopolis,Sugar/Ethanol,saomartinho.com.br,contacto@saomartinho.com.br,yes,Brasil
Biosev,BR,Sao Paulo,Sugar/Ethanol,biosev.com,contacto@biosev.com,yes,Brasil
Tereos Brasil,BR,Sao Paulo,Sugar,tereos.com,contacto@tereos.com,yes,Brasil
Vale S.A.,BR,Rio de Janeiro,Iron Ore/Mining,vale.com,contacto@vale.com,yes,Brasil
CSN Mineracao,BR,Congonhas,Iron Ore,csn.com.br,contacto@csn.com.br,yes,Brasil
Anglo American Brasil,BR,Belo Horizonte,Iron Ore/Nickel,angloamerican.com,contacto@angloamerican.com,yes,Brasil
Samarco,BR,Mariana,Iron Ore,samarco.com,contacto@samarco.com,yes,Brasil
CBMM,BR,Araxa,Niobium,cbmm.com,contacto@cbmm.com,yes,Brasil
Suzano,BR,Sao Paulo,Pulp/Paper,suzano.com.br,contacto@suzano.com.br,yes,Brasil
Klabin,BR,Sao Paulo,Pulp/Paper,klabin.com.br,contacto@klabin.com.br,yes,Brasil
Eldorado Brasil,BR,Tres Lagoas,Pulp,eldoradobrasil.com.br,contacto@eldoradobrasil.com.br,yes,Brasil
Gerdau,BR,Porto Alegre,Steel,gerdau.com,contacto@gerdau.com,yes,Brasil
Usiminas,BR,Belo Horizonte,Steel,usiminas.com,contacto@usiminas.com,yes,Brasil
CSN - Cia Siderurgica Nacional,BR,Volta Redonda,Steel,csn.com.br,contacto@csn.com.br,yes,Brasil
ArcelorMittal Brasil,BR,Belo Horizonte,Steel,arcelormittal.com.br,contacto@arcelormittal.com.br,yes,Brasil
CBA - Cia Brasileira de Aluminio,BR,Aluminio,Aluminum,cba.com.br,contacto@cba.com.br,yes,Brasil
Embraer,BR,Sao Jose dos Campos,Aerospace,embraer.com,contacto@embraer.com,yes,Brasil
Helibras,BR,Itajuba,Aerospace,helibras.com.br,contacto@helibras.com.br,yes,Brasil
WEG S.A.,BR,Jaragua do Sul,Electric Motors,weg.net,contacto@weg.net,yes,Brasil
Tupy S.A.,BR,Joinville,Auto Parts,tupy.com.br,contacto@tupy.com.br,yes,Brasil
Iochpe-Maxion,BR,Sao Paulo,Wheels/Chassis,iochpe.com.br,contacto@iochpe.com.br,yes,Brasil
Randon,BR,Caxias do Sul,Trailers/Parts,randon.com.br,contacto@randon.com.br,yes,Brasil
Braskem,BR,Sao Paulo,Petrochemicals,braskem.com.br,contacto@braskem.com.br,yes,Brasil
Unipar,BR,Sao Paulo,Chemicals,unipar.com,contacto@unipar.com,yes,Brasil
Cooxupe,BR,Guaxupe,Coffee,cooxupe.com.br,contacto@cooxupe.com.br,yes,Brasil
Cocapec,BR,Franca,Coffee,cocapec.com.br,contacto@cocapec.com.br,yes,Brasil
Amaggi,BR,Cuiaba,Soy/Grains,amaggi.com.br,contacto@amaggi.com.br,yes,Brasil
SLC Agricola,BR,Porto Alegre,Soy/Cotton,slcagricola.com.br,contacto@slcagricola.com.br,yes,Brasil
Grendene,BR,Sobral,Footwear,grendene.com.br,contacto@grendene.com.br,yes,Brasil
Alpargatas,BR,Sao Paulo,Footwear,alpargatas.com.br,contacto@alpargatas.com.br,yes,Brasil
JBS Couros,BR,Sao Paulo,Leather,jbscouros.com.br,contacto@jbscouros.com.br,yes,Brasil
Aceitera General Deheza (AGD),AR,Cordoba,Soy/Grains,agd.com.ar,contacto@agd.com.ar,yes,Argentina
Molinos Agro,AR,Buenos Aires,Grains/Oils,molinosagro.com.ar,contacto@molinosagro.com.ar,yes,Argentina
Vicentin,AR,Avellaneda,Soy/Grains,vicentin.com.ar,contacto@vicentin.com.ar,yes,Argentina
Cargill Argentina,AR,Buenos Aires,Grains,cargill.com.ar,contacto@cargill.com.ar,yes,Argentina
Bunge Argentina,AR,Buenos Aires,Grains,bunge.com.ar,contacto@bunge.com.ar,yes,Argentina
Louis Dreyfus Argentina,AR,Buenos Aires,Commodities,ldc.com,contacto@ldc.com,yes,Argentina
ADM Argentina,AR,Buenos Aires,Grains,adm.com,contacto@adm.com,yes,Argentina
Nidera,AR,Buenos Aires,Grains,nidera.com.ar,contacto@nidera.com.ar,yes,Argentina
Estancias del Sur,AR,Buenos Aires,Beef,estanciasdelsur.com.ar,contacto@estanciasdelsur.com.ar,yes,Argentina
Bodegas Chandon Argentina,AR,Mendoza,Wine,chandon.com.ar,contacto@chandon.com.ar,yes,Argentina
Bodega Catena Zapata,AR,Mendoza,Wine,catenawines.com,contacto@catenawines.com,yes,Argentina
Trivento Bodegas,AR,Mendoza,Wine,trivento.com,contacto@trivento.com,yes,Argentina
Bodega Norton,AR,Mendoza,Wine,norton.com.ar,contacto@norton.com.ar,yes,Argentina
Familia Zuccardi,AR,Mendoza,Wine,familiazuccardi.com,contacto@familiazuccardi.com,yes,Argentina
Trapiche,AR,Mendoza,Wine,trapiche.com.ar,contacto@trapiche.com.ar,yes,Argentina
Luigi Bosca,AR,Mendoza,Wine,luigibosca.com.ar,contacto@luigibosca.com.ar,yes,Argentina
Livent Argentina,AR,Buenos Aires,Lithium,livent.com,contacto@livent.com,yes,Argentina
Allkem (Olaroz),AR,Jujuy,Lithium,allkem.co,contacto@allkem.co,yes,Argentina
Arcadium Lithium,AR,Salta,Lithium,arcadiumlithium.com,contacto@arcadiumlithium.com,yes,Argentina
Rio Tinto Rincon,AR,Salta,Lithium,riotinto.com,contacto@riotinto.com,yes,Argentina
Posco Argentina (Sal de Vida),AR,Catamarca,Lithium,posco.com,contacto@posco.com,yes,Argentina
HoneyMax,AR,Buenos Aires,Honey,honeymax.com.ar,contacto@honeymax.com.ar,yes,Argentina
ConexAmericas,AR,Buenos Aires,Honey,conexamericas.com,contacto@conexamericas.com,yes,Argentina
Newsan Food,AR,Buenos Aires,Seafood,newsan.com.ar,contacto@newsan.com.ar,yes,Argentina
Pesquera Deseado,AR,Puerto Deseado,Seafood,pesqueradeseado.com.ar,contacto@pesqueradeseado.com.ar,yes,Argentina
Argenova,AR,Mar del Plata,Seafood,argenova.com.ar,contacto@argenova.com.ar,yes,Argentina
Aluar Aluminio Argentino,AR,Puerto Madryn,Aluminum,aluar.com.ar,contacto@aluar.com.ar,yes,Argentina
Ternium Argentina,AR,Buenos Aires,Steel,ternium.com,contacto@ternium.com,yes,Argentina
Tenaris,AR,Buenos Aires,Steel Pipes,tenaris.com,contacto@tenaris.com,yes,Argentina
Acindar (ArcelorMittal),AR,Buenos Aires,Steel,acindar.com.ar,contacto@acindar.com.ar,yes,Argentina
YPF,AR,Buenos Aires,Oil/Gas/Chemicals,ypf.com,contacto@ypf.com,yes,Argentina
Dow Argentina,AR,Buenos Aires,Chemicals,dow.com,contacto@dow.com,yes,Argentina
Expofrut Argentina,AR,Rio Negro,Fruits,expofrut.com.ar,contacto@expofrut.com.ar,yes,Argentina
Patagonian Fruits,AR,Neuquen,Fruits,patagonianfruits.com,contacto@patagonianfruits.com,yes,Argentina
San Miguel S.A.,AR,Tucuman,Lemons/Citrus,sanmiguelglobal.com,contacto@sanmiguelglobal.com,yes,Argentina
Citrusvil,AR,Tucuman,Lemons,citrusvil.com.ar,contacto@citrusvil.com.ar,yes,Argentina
Prodeman,AR,Cordoba,Peanuts,prodeman.com,contacto@prodeman.com,yes,Argentina
Lorenzati Ruetsch,AR,Cordoba,Peanuts,lorenzati.com.ar,contacto@lorenzati.com.ar,yes,Argentina
BPU - Breeders & Packers Uruguay,UY,Durazno,Beef,bfrsa.com,contacto@bfrsa.com,yes,Uruguay
Frigorifico Carrasco,UY,Montevideo,Beef,frigorificocarrasco.com,contacto@frigorificocarrasco.com,yes,Uruguay
Schneck S.A.,UY,Montevideo,Beef,,,no,Uruguay
Conaprole,UY,Montevideo,Dairy,conaprole.com.uy,contacto@conaprole.com.uy,yes,Uruguay
Lactalis Uruguay,UY,Montevideo,Dairy,lactalis.com,contacto@lactalis.com,yes,Uruguay
Saman,UY,Treinta y Tres,Rice,saman.com.uy,contacto@saman.com.uy,yes,Uruguay
Coopar,UY,Treinta y Tres,Rice,coopar.com.uy,contacto@coopar.com.uy,yes,Uruguay
Glencore Uruguay (Arrozal 33),UY,Treinta y Tres,Rice,,,no,Uruguay
Barraca Erro,UY,Montevideo,Grains,barracaerro.com.uy,contacto@barracaerro.com.uy,yes,Uruguay
Cereoil Uruguay,UY,Montevideo,Grains,,,no,Uruguay
UPM Uruguay,UY,Fray Bentos,Pulp,upm.com,contacto@upm.com,yes,Uruguay
Montes del Plata,UY,Colonia,Pulp,montesdelplata.com.uy,contacto@montesdelplata.com.uy,yes,Uruguay
Lanas Trinidad,UY,Trinidad,Wool,lanastrinidad.com,contacto@lanastrinidad.com,yes,Uruguay
Tops Fray Marcos,UY,Florida,Wool,,,no,Uruguay
Caputto,UY,Paysandu,Citrus,caputto.com.uy,contacto@caputto.com.uy,yes,Uruguay
Milagro,UY,Salto,Citrus,,,no,Uruguay
Codelco,CL,Santiago,Copper,codelco.com,contacto@codelco.com,yes,Chile
Antofagasta Minerals,CL,Santiago,Copper,aminerals.cl,contacto@aminerals.cl,yes,Chile
BHP Chile,CL,Santiago,Copper,bhp.com,contacto@bhp.com,yes,Chile
Anglo American Chile,CL,Santiago,Copper,angloamerican.com,contacto@angloamerican.com,yes,Chile
Freeport McMoRan Chile,CL,Santiago,Copper,,,no,Chile
SQM,CL,Santiago,Lithium,sqm.com,contacto@sqm.com,yes,Chile
Empresas AquaChile,CL,Puerto Montt,Salmon,aquachile.com,contacto@aquachile.com,yes,Chile
Multiexport Foods,CL,Puerto Montt,Salmon,multiexportfoods.com,contacto@multiexportfoods.com,yes,Chile
Cermaq Chile,CL,Puerto Montt,Salmon,cermaq.com,contacto@cermaq.com,yes,Chile
Australis Seafoods,CL,Puerto Montt,Salmon,australis-seafoods.com,contacto@australis-seafoods.com,yes,Chile
Blumar,CL,Santiago,Salmon/Seafood,blumar.com,contacto@blumar.com,yes,Chile
Camanchaca,CL,Santiago,Salmon/Seafood,camanchaca.cl,contacto@camanchaca.cl,yes,Chile
Concha y Toro,CL,Santiago,Wine,conchaytoro.com,contacto@conchaytoro.com,yes,Chile
VSPT Wine Group,CL,Santiago,Wine,vspt.cl,contacto@vspt.cl,yes,Chile
Santa Rita,CL,Santiago,Wine,santarita.com,contacto@santarita.com,yes,Chile
Vina San Pedro,CL,Santiago,Wine,sanpedro.cl,contacto@sanpedro.cl,yes,Chile
Vina Errazuriz,CL,Aconcagua,Wine,errazuriz.com,contacto@errazuriz.com,yes,Chile
Dole Chile,CL,Santiago,Fruits,dole.cl,contacto@dole.cl,yes,Chile
Del Monte Fresh Chile,CL,Santiago,Fruits,,,no,Chile
Agricola Garces,CL,OHiggins,Fruits,garces.cl,contacto@garces.cl,yes,Chile
David del Curto,CL,Santiago,Fruits,daviddelcurto.cl,contacto@daviddelcurto.cl,yes,Chile
Copefrut,CL,Curico,Fruits,copefrut.cl,contacto@copefrut.cl,yes,Chile
CMPC,CL,Santiago,Pulp/Paper,cmpc.com,contacto@cmpc.com,yes,Chile
Arauco,CL,Santiago,Pulp/Wood,arauco.cl,contacto@arauco.cl,yes,Chile
Agrosuper,CL,Rancagua,Poultry/Pork,agrosuper.cl,contacto@agrosuper.cl,yes,Chile
Carozzi,CL,Santiago,Food,carozzi.cl,contacto@carozzi.cl,yes,Chile
Frigorifico Guarani,PY,Itaugua,Beef,frigorificoguarani.com.py,contacto@frigorificoguarani.com.py,yes,Paraguay
Frigorifico Norte,PY,Concepcion,Beef,,,no,Paraguay
Athena Foods Paraguay,PY,Asuncion,Beef,athenafoods.com,contacto@athenafoods.com,yes,Paraguay
Cargill Paraguay,PY,Asuncion,Grains,cargill.com.py,contacto@cargill.com.py,yes,Paraguay
ADM Paraguay,PY,Asuncion,Grains,,,no,Paraguay
Bunge Paraguay,PY,Asuncion,Grains,,,no,Paraguay
Louis Dreyfus Paraguay,PY,Asuncion,Grains,,,no,Paraguay
COFCO Paraguay,PY,Asuncion,Grains,,,no,Paraguay
Desarrollo Agricola del Paraguay (DAP),PY,Asuncion,Grains,,,no,Paraguay
Agro Silo Santa Catalina,PY,Ciudad del Este,Grains,,,no,Paraguay
Azucarera Paraguaya (AZPA),PY,Asuncion,Sugar,azpa.com.py,contacto@azpa.com.py,yes,Paraguay
Ingenio La Felsina,PY,Guaira,Sugar,,,no,Paraguay
CAPASA,PY,Asuncion,Sugar,,,no,Paraguay
Grupo Cartes,PY,Asuncion,Conglomerate,grupocartes.com.py,contacto@grupocartes.com.py,yes,Paraguay
Tabacalera del Este (TABESA),PY,Asuncion,Tobacco,tabesa.com.py,contacto@tabesa.com.py,yes,Paraguay
Manufactura de Pilar,PY,Pilar,Textiles,,,no,Paraguay
PETROPAR,PY,Asuncion,Oil/Gas,petropar.gov.py,contacto@petropar.gov.py,yes,Paraguay
Itaipu Binacional,PY,Hernandarias,Energy,itaipu.gov.py,contacto@itaipu.gov.py,yes,Paraguay
Selecta,PY,Asuncion,Yerba Mate,selecta.com.py,contacto@selecta.com.py,yes,Paraguay
Pajarito,PY,Asuncion,Yerba Mate,pajarito.com.py,contacto@pajarito.com.py,yes,Paraguay
Kurupi,PY,Asuncion,Yerba Mate,,,no,Paraguay
COMIBOL,BO,La Paz,Mining,comibol.gob.bo,contacto@comibol.gob.bo,yes,Bolivia
Empresa Minera Huanuni,BO,Oruro,Tin/Mining,,,no,Bolivia
Sinchi Wayra (Glencore),BO,La Paz,Zinc/Silver,,,no,Bolivia
Minera San Cristobal,BO,Potosi,Zinc/Silver,minerasancristobal.com,contacto@minerasancristobal.com,yes,Bolivia
Empresa Siderurgica del Mutun (ESM),BO,Puerto Suarez,Iron Ore,,,no,Bolivia
YPFB,BO,La Paz,Oil/Gas,ypfb.gob.bo,contacto@ypfb.gob.bo,yes,Bolivia
Repsol Bolivia,BO,Santa Cruz,Oil/Gas,,,no,Bolivia
Petrobras Bolivia,BO,Santa Cruz,Oil/Gas,,,no,Bolivia
TotalEnergies Bolivia,BO,Santa Cruz,Oil/Gas,,,no,Bolivia
ADM Bolivia,BO,Santa Cruz,Grains,,,no,Bolivia
Cargill Bolivia,BO,Santa Cruz,Grains,,,no,Bolivia
Gravetal Bolivia,BO,Santa Cruz,Soy/Oils,,,no,Bolivia
Industrias de Aceite (FINO),BO,Santa Cruz,Soy/Oils,fino.com.bo,contacto@fino.com.bo,yes,Bolivia
IOL S.A.,BO,Santa Cruz,Soy/Oils,,,no,Bolivia
URKUPIÑA,BO,Riberalta,Brazil Nuts,,,no,Bolivia
Tahuamanu,BO,Cobija,Brazil Nuts,tahuamanu.com,contacto@tahuamanu.com,yes,Bolivia
Amazonas Trading,BO,Riberalta,Brazil Nuts,,,no,Bolivia
Andean Valley,BO,La Paz,Quinoa,andeanvalley.com,contacto@andeanvalley.com,yes,Bolivia
Coronilla,BO,La Paz,Quinoa,,,no,Bolivia
Jatary,BO,Oruro,Quinoa,,,no,Bolivia
Cerveceria Boliviana Nacional (CBN),BO,La Paz,Beverages,cfrn.com.bo,contacto@cfrn.com.bo,yes,Bolivia
PIL Andina,BO,Cochabamba,Dairy,pilandina.com,contacto@pilandina.com,yes,Bolivia
Delizia,BO,La Paz,Dairy,,,no,Bolivia
Southern Copper Corporation,PE,Lima,Copper,southerncoppercorp.com,contacto@southerncoppercorp.com,yes,Peru
Antamina,PE,Lima,Copper/Zinc,antamina.com,contacto@antamina.com,yes,Peru
Cerro Verde (Freeport),PE,Arequipa,Copper,,,no,Peru
Las Bambas (MMG),PE,Apurimac,Copper,,,no,Peru
Minsur,PE,Lima,Tin,minsur.com,contacto@minsur.com,yes,Peru
Buenaventura,PE,Lima,Gold/Silver,buenaventura.com,contacto@buenaventura.com,yes,Peru
Volcan Compania Minera,PE,Lima,Zinc/Silver,volcan.com.pe,contacto@volcan.com.pe,yes,Peru
Nexa Resources Peru,PE,Lima,Zinc,nexaresources.com,contacto@nexaresources.com,yes,Peru
Hochschild Mining,PE,Lima,Gold/Silver,hochschildmining.com,contacto@hochschildmining.com,yes,Peru
Gold Fields La Cima,PE,Cajamarca,Gold,,,no,Peru
Pluspetrol,PE,Lima,Oil/Gas,pluspetrol.net,contacto@pluspetrol.net,yes,Peru
CNPC Peru,PE,Lima,Oil/Gas,,,no,Peru
Hunt Oil Peru,PE,Lima,Oil/Gas,,,no,Peru
Petroperu,PE,Lima,Oil/Gas,petroperu.com.pe,contacto@petroperu.com.pe,yes,Peru
TASA (Tecnologica de Alimentos),PE,Lima,Fishing/Fishmeal,tasa.com.pe,contacto@tasa.com.pe,yes,Peru
Austral Group,PE,Lima,Fishing/Fishmeal,austral.com.pe,contacto@austral.com.pe,yes,Peru
Exalmar,PE,Lima,Fishing/Fishmeal,exalmar.com.pe,contacto@exalmar.com.pe,yes,Peru
Copeinca,PE,Lima,Fishing/Fishmeal,,,no,Peru
CFG Investment,PE,Lima,Fishing/Fishmeal,,,no,Peru
Camposol,PE,Lima,Agriculture/Fruits,camposol.com.pe,contacto@camposol.com.pe,yes,Peru
Danper,PE,Trujillo,Agriculture,danper.com,contacto@danper.com,yes,Peru
Viru S.A.,PE,La Libertad,Agriculture,viru.com.pe,contacto@viru.com.pe,yes,Peru
Gandules,PE,Chiclayo,Agriculture,,,no,Peru
Sociedad Agricola Drokasa (AGROKASA),PE,Ica,Grapes/Asparagus,,,no,Peru
Complejo Agroindustrial Beta,PE,Chincha,Agriculture,,,no,Peru
COCLA,PE,Cusco,Coffee,cocla.com.pe,contacto@cocla.com.pe,yes,Peru
Perhusa (Altomayo),PE,Lima,Coffee,,,no,Peru
Creditex,PE,Lima,Textiles,creditex.com.pe,contacto@creditex.com.pe,yes,Peru
Michell y Cia,PE,Arequipa,Alpaca/Textiles,michell.com.pe,contacto@michell.com.pe,yes,Peru
Inca Tops,PE,Arequipa,Alpaca/Textiles,incatops.com,contacto@incatops.com,yes,Peru
