email,state,country,source,sector
campoverde@agricolacampoverde.com.br,RN,BR,State_RN,Agriculture
fabiana.florencio@cmrbras.com.br,RN,BR,State_RN,Agriculture
oestefruit@coopyfrutas.com,RN,BR,State_RN,Agriculture
ruan@matafresca.com.br,RN,BR,State_RN,Agriculture
agricolapotiguar@hotmail.com,RN,BR,State_RN,Agriculture
ivo.costa@cmrbras.com.br,RN,BR,State_RN,Agriculture
agrosol@grupoirikita.com,RN,BR,State_RN,Agriculture
neilson@agrfamosa.com.br,RN,BR,State_RN,Agriculture
ranilsonmelo@hotmail.com,RN,BR,State_RN,Agriculture
cymatsumoto@agromodelo.com.br,RN,BR,State_RN,Agriculture
rocha@alegriaproduce.com,RN,BR,State_RN,Agriculture
ctmagricola@agromodelo.com.br,RN,BR,State_RN,Agriculture
fcpalhares@gmail.com,RN,BR,State_RN,Agriculture
ivanoscacunha@hotmail.com,RN,BR,State_RN,Agriculture
roberto@planesagro.com.br,RN,BR,State_RN,Agriculture
nfe@ecofertil.com.br,RN,BR,State_RN,Agriculture
juan.puchades@bollonaturalfruit.com,RN,BR,State_RN,Agriculture
pedro@planesagro.com.br,RN,BR,State_RN,Agriculture
gerencia_administrativo@agrosua.com.br,RN,BR,State_RN,Agriculture
cleidinaldo@coopyfrutas.com,RN,BR,State_RN,Agriculture
admin@agromodelo.com.br,RN,BR,State_RN,Agriculture
recepcao@agrfamosa.com.br,RN,BR,State_RN,Agriculture
qualitymanaus@hotmail.com,,BR,Sector_Cafe,Cafe
abic@abic.com.br,,BR,Sector_Cafe,Cafe
comex@mspbrazil.com.br,,BR,Sector_Carne,Carne
dalila.gaona@mspbrazil.com.br,,BR,Sector_Carne,Carne
emerson@frivasa.com.br,,BR,Sector_Carne,Carne
frisario@frisa.com.br,,BR,Sector_Carne,Carne
export@minervafoods.com,,BR,Sector_Carne,Carne
export@supremocarnes.com.br,,BR,Sector_Carne,Carne
contato@grupoargus.com.br,,BR,Sector_Carne,Carne
exportacao@frigol.com.br,,BR,Sector_Carne,Carne
export@betterbeef.com.br,,BR,Sector_Carne,Carne
diego@frigosul.com.br,,BR,Sector_Carne,Carne
carlos.schmidt@fribal.com.br,,BR,Sector_Carne,Carne
lucas.jiang@agraagroindustrial.com.br,,BR,Sector_Carne,Carne
export@masterboi.com.br,,BR,Sector_Carne,Carne
gustavo.oliveira@fribal.com.br,,BR,Sector_Carne,Carne
export@goldenimex.com,,BR,Sector_Carne,Carne
paulo.bauab@frigoestrela.com.br,,BR,Sector_Carne,Carne
geraldo@fribev.com.br,,BR,Sector_Carne,Carne
jose.giordam@mspbrazil.com.br,,BR,Sector_Carne,Carne
export.bauru@zanchetta.com.br,,BR,Sector_Carne,Carne
export@boibrasil.ind.br,,BR,Sector_Carne,Carne
distriboi@distriboi.com,,BR,Sector_Carne,Carne
leonardo@comesulbeef.com.br,,BR,Sector_Carne,Carne
innatura.me@jbs.com.br,,BR,Sector_Carne,Carne
mafrinorte@mafrinorte.com.br,,BR,Sector_Carne,Carne
exportacao@ramax-group.com,,BR,Sector_Carne,Carne
lkj@lkjfrigorifico.com.br,,BR,Sector_Carne,Carne
rodrigo@nossofrigorifico.com.br,,BR,Sector_Carne,Carne
world@plenaalimentos.com.br,,BR,Sector_Carne,Carne
export@frigoestrela.com.br,,BR,Sector_Carne,Carne
marcos.depaula@frigosul.com.br,,BR,Sector_Carne,Carne
export1@frigoastra.com.br,,BR,Sector_Carne,Carne
contato@frigorifico3r.com.br,,BR,Sector_Carne,Carne
export@beauvallet.com.br,,BR,Sector_Carne,Carne
export@boibras.com.br,,BR,Sector_Carne,Carne
export@frigorificoriomaria.com.br,,BR,Sector_Carne,Carne
recepcao@frigorificovalencio.com.br,,BR,Sector_Carne,Carne
frigoestrela@frigoestrela.com.br,,BR,Sector_Carne,Carne
atendimento@naturafrig.com.br,,BR,Sector_Carne,Carne
donadel@riobeef.ind.br,,BR,Sector_Carne,Carne
guilherme@nossofrigorifico.com.br,,BR,Sector_Carne,Carne
contato@frigorificosilva.com.br,,BR,Sector_Carne,Carne
carlos.oliveira@fribal.com.br,,BR,Sector_Carne,Carne
export@barramansafoods.com.br,,BR,Sector_Carne,Carne
abiec@abiec.com.br,,BR,Sector_Carne,Carne
wendell.lima@frigomarca.com.br,,BR,Sector_Carne,Carne
frigotil@frigotil.com.br,,BR,Sector_Carne,Carne
fabiano.furlan@primafoods.com.br,,BR,Sector_Carne,Carne
vendas@frigon.com.br,,BR,Sector_Carne,Carne
exportacao@mercurioalimentos.com.br,,BR,Sector_Carne,Carne
exportacao@frigoastra.com.br,,BR,Sector_Carne,Carne
export1@iguatemibeef.com.br,,BR,Sector_Carne,Carne
abpa@abpa-br.org,,BR,Sector_Carne,Carne
export@cooperfrigu.com.br,,BR,Sector_Carne,Carne
joaofelix@nossofrigorifico.com.br,,BR,Sector_Carne,Carne
export@marfrig.com.br,,BR,Sector_Carne,Carne
sac@frigorificosaofrancisco.com.br,,BR,Sector_Carne,Carne
export@frialto.com.br,,BR,Sector_Carne,Carne
