email,source,country,sector,company,city
cvale@cvale.com.br,BR_Coops_Known,BR,Agriculture,C.Vale,Palotina
lar@lar.ind.br,BR_Coops_Known,BR,Agriculture,Cooperativa Lar,Medianeira
copacol@copacol.com.br,BR_Coops_Known,BR,Agriculture,Copacol,Cafelândia
frimesa@frimesa.com.br,BR_Coops_Known,BR,Agriculture,Frimesa,Medianeira
cooxupe@cooxupe.com.br,BR_Coops_Known,BR,Agriculture,Cooxupé,Guaxupé
copersucar@copersucar.com.br,BR_Coops_Known,BR,Agriculture,Copersucar,São Paulo
contato@coopcerrado.com.br,BR_Coops_Known,BR,Agriculture,Coopcerrado,Goiás
contato@coplacana.com.br,BR_Coops_Known,BR,Agriculture,Coplacana,Piracicaba
coopercitrus@coopercitrus.com.br,BR_Coops_Known,BR,Agriculture,Coopercitrus,Bebedouro
info@aiera.org,AR_Known,AR,Export,AIERA,Buenos Aires
contacto@cera.org.ar,AR_Known,AR,Export,CERA,Buenos Aires
