email,company,org_number,nace_code,sector_name,city,address,phone,hr_email,website,linkedin_url,employees_count,tier,contact_person,positions_count,job_count,quality_score,source
post@pecus.no,Pecus,899261062,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Øvre Slottsgate 15B,,post@pecus.no; sindre@pecus.no; pelle@pecus.no,www.pecus.no,,562,T2,,,,,agencies_eures
westcon@westcon.no,Westcon,930720313,33.150,Reparasjon og vedlikehold av sivile skip og båter,ØLENSVÅG,Jektevikvegen 45,53 77 50 00,karriere@westcon.no,www.westcon.no,,451,T2,,,,,agencies_eures
post@renta.no,Renta,984188498,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,BLOMSTERDALEN,Espehaugen 42,31 00 71 00,,,,407,T2,,,,,agencies_eures
kundesenter@solarnorge.no,Solarnorge,980672891,46.640,Engroshandel med maskiner og utstyr ellers,GARDERMOEN,Valhallavegen 8,63 94 64 00,hr@solarnorge.no,www.solarnorge.no,,385,T2,,,,,agencies_eures
post@sykehusinnkjop.no,Sykehusinnkjop,916879067,86.101,Somatiske sykehustjenester,VADSØ,"Hermetikken
Tollbugata 7",78 95 07 00,post@sykehusinnkjop.no,sykehusinnkjop.no,,364,T2,,,,,agencies_eures
post@novasea.no,Novasea,961056268,03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann",LOVUND,Naustholmveien 8,75 09 19 00,sponsor@novasea.no; logistikk@novasea.no; post@novasea.no,www.novasea.no,,341,T2,,,,,agencies_eures
post@novasea.no,Novasea,961056268,03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann",LOVUND,Naustholmveien 8,75 09 19 00,sponsor@novasea.no; logistikk@novasea.no; post@novasea.no,www.novasea.no,,341,T2,,,,,agencies_eures
post@novasea.no,Novasea,961056268,03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann",LOVUND,Naustholmveien 8,75 09 19 00,sponsor@novasea.no; logistikk@novasea.no; post@novasea.no,www.novasea.no,,341,T2,,,,,agencies_eures
post@metrostav-norge.no,Metrostav Norge,924549092,42.110,Bygging av veier og motorveier,LYSAKER,Strandveien 15,48 42 61 34,jobb@metrostav-norge.no,www.metrostav-norge.no,,334,T2,,,,,agencies_eures
post@solid-assistanse.no,Solid Assistanse,930077763,88.104,Brukerstyrt personlig assistanse (bpa),BUVIKA,Sandavegen 21,911 45 990,monica@solid-assistanse.no; post@solid-assistanse.no; jorgen@solid-assistanse.no,www.solid-assistanse.no,,259,T2,,,,,agencies_eures
hovedkontor@leifgrimsrud.no,Leifgrimsrud,832516902,43.120,Grunnarbeid,HALDEN,Svinesundsveien 334,69 21 64 20,,,,233,T2,,,,,agencies_eures
info@academicwork.no,Academicwork,990574693,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,"Torgbygget
Nydalsveien 33",23 00 90 70,info@academicwork.no,www.academicwork.no,,233,T2,,,,,agencies_eures
info@academicwork.no,Academicwork,990574693,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,"Torgbygget
Nydalsveien 33",23 00 90 70,info@academicwork.no,www.academicwork.no,,233,T2,,,,,agencies_eures
olaviken@olaviken.no,Olaviken,987554401,86.102,Psykiatriske sykehustjenester for voksne,ERDAL,Askvegen 150,56 15 10 00,olaviken@olaviken.no,www.olaviken.no,,212,T2,,,,,agencies_eures
postmottak@stami.no,Stami,874761222,72.100,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,OSLO,Gydas vei 8,23 19 51 00,okonomi@stami.no; postmottak@stami.no,www.stami.no,,179,T2,,,,,agencies_eures
personell@skpersonell.no,Skpersonell,992897759,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,BERGEN,Kanalveien 51,48 24 43 99,,,,178,T2,,,,,agencies_eures
post@corvita.no,Corvita,929521714,87.992,Asylmottakstjenester,OSLO,Lilleakerveien 8,46 80 17 00,,www.corvita.no/,,151,T2,,,,,agencies_eures
post@corvita.no,Corvita,929521714,87.992,Asylmottakstjenester,OSLO,Lilleakerveien 8,46 80 17 00,,www.corvita.no/,,151,T2,,,,,agencies_eures
post@corvita.no,Corvita,929521714,87.992,Asylmottakstjenester,OSLO,Lilleakerveien 8,46 80 17 00,,www.corvita.no/,,151,T2,,,,,agencies_eures
post@corvita.no,Corvita,929521714,87.992,Asylmottakstjenester,OSLO,Lilleakerveien 8,46 80 17 00,,www.corvita.no/,,151,T2,,,,,agencies_eures
post@corvita.no,Corvita,929521714,87.992,Asylmottakstjenester,OSLO,Lilleakerveien 8,46 80 17 00,,www.corvita.no/,,151,T2,,,,,agencies_eures
post@ellingard.no,Ellingard,971155949,43.990,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,OSLO,Standardveien 1,22 15 55 50,,,,150,T2,,,,,agencies_eures
firmapost@nrva.no,Nrva,892110972,37.000,Oppsamling og behandling av avløpsvann,STRØMMEN,Ruth Maiers gate 22,64 84 54 00,,nrva.no,,145,T2,,,,,agencies_eures
post@tt-teknikk.no,Tt Teknikk,940484871,42.210,Bygging av vann- og kloakkanlegg,KJELLER,Fetveien 33,23 16 50 00,,www.tt-teknikk.no,,140,T2,,,,,agencies_eures
hpro@hansenprotection.no,Hansenprotection,871200092,14.290,Produksjon av klær og tilbehør ikke nevnt annet sted,MOSS,Tykkemyr 27,69 00 13 00,,www.hansenprotection.no,,137,T2,,,,,agencies_eures
post@primecargo.no,Primecargo,886757972,52.100,Lagring,VESTBY,Torvuttaket 26,63 00 15 20,,,,136,T2,,,,,agencies_eures
postmottak@pasientreiser.no,Pasientreiser,918695079,86.101,Somatiske sykehustjenester,SKIEN,Leirvollen 23,35 12 10 00,,,,127,T2,,,,,agencies_eures
postmottak@oslohavn.no,Oslohavn,987592567,52.220,Andre tjenester tilknyttet sjøtransport,OSLO,Akershusstranda 19,21 80 21 80,,,,123,T2,,,,,agencies_eures
post@hoiax.no,Hoiax,936030327,27.510,Produksjon av elektriske husholdningsmaskiner og -apparater,FREDRIKSTAD,Trippeveien 5,69 35 55 00,,,,118,T2,,,,,agencies_eures
post@thermax.no,Thermax,984757514,43.240,Annet installasjonsarbeid,SEM,Åslyveien 25,33 32 99 70,,www.thermax.no,,116,T2,,,,,agencies_eures
kontakt@mio.no,Mio,991049126,88.101,Praktisk bistand i hjemmet,OSLO,Karenslyst allé 8,45 05 45 05,,www.mio.no,,115,T2,,,,,agencies_eures
reservations@losbygods.no,Losbygods,956367751,55.100,Drift av hoteller,FINSTADJORDET,Losbyveien 270,67 92 33 00,,,,115,T2,,,,,agencies_eures
kontakt@mio.no,Mio,991049126,88.101,Praktisk bistand i hjemmet,OSLO,Karenslyst allé 8,45 05 45 05,,www.mio.no,,115,T2,,,,,agencies_eures
info@fibo.no,Fibo,964193991,16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre,LYNGDAL,Industriveien 2,38 34 33 00,,www.fibo.no,,114,T2,,,,,agencies_eures
post@ir.nt.no,Ir,971217391,38.210,Materialgjenvinning,LEVANGER,Åsaunvegen 5,74 02 88 40,,innherredrenovasjon.no,,114,T2,,,,,agencies_eures
post@temp-team.no,Temp Team,987939524,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,TRONDHEIM,Hornebergvegen 7A,22 05 96 00,,,,108,T2,,,,,agencies_eures
post@temp-team.no,Temp Team,987939524,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,TRONDHEIM,Hornebergvegen 7A,22 05 96 00,,,,108,T2,,,,,agencies_eures
post@temp-team.no,Temp Team,987939524,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,TRONDHEIM,Hornebergvegen 7A,22 05 96 00,,,,108,T2,,,,,agencies_eures
equient@equient.no,Equient,817523552,41.000,Oppføring av bygninger,OSLO,Ole Deviks vei 35,,,www.equient.no,,105,T2,,,,,agencies_eures
astrup@astrup.no,Astrup,947274139,46.820,Engroshandel med metaller og metallholdig malm,OSLO,Haavard Martinsens vei 34,22 79 15 00,,www.astrup.no,,96,T2,,,,,agencies_eures
astrup@astrup.no,Astrup,947274139,46.820,Engroshandel med metaller og metallholdig malm,OSLO,Haavard Martinsens vei 34,22 79 15 00,,www.astrup.no,,96,T2,,,,,agencies_eures
post@jaro.no,Jaro,976241053,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,ALTA,Humleveien 14,78 44 92 00,,www.jaro.no,,91,T2,,,,,agencies_eures
firmapost@datelco.no,Datelco,968366076,43.210,Elektrisk installasjonsarbeid,OSLO,Sandstuveien 70,22 67 20 62,,www.datelco.no/,,87,T2,,,,,agencies_eures
post@reno-vest.no,Reno Vest,912209571,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,85,T2,,,,,agencies_eures
post@reno-vest.no,Reno Vest,912209571,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,85,T2,,,,,agencies_eures
post@reno-vest.no,Reno Vest,912209571,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,85,T2,,,,,agencies_eures
post@coromatic.no,Coromatic,936992234,71.129,Annen teknisk konsulentvirksomhet,KJELLER,Kjeller vest 6,22 76 40 00,,www.coromatic.no,,84,T2,,,,,agencies_eures
post@vikingbad.no,Vikingbad,995165392,46.840,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",GRIMSTAD,Østerskogen 35,37 09 06 00,,www.vikingbad.no,,80,T2,,,,,agencies_eures
post@vikingbad.no,Vikingbad,995165392,46.840,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",GRIMSTAD,Østerskogen 35,37 09 06 00,,www.vikingbad.no,,80,T2,,,,,agencies_eures
post@novasea.no,Novasea,991692800,03.222,Produksjon av yngel og settefisk i ferskvann,NYGÅRDSJØEN,Sundsfjord,75 09 19 00,,www.novasea.no,,76,T2,,,,,agencies_eures
post@novasea.no,Novasea,991692800,03.222,Produksjon av yngel og settefisk i ferskvann,NYGÅRDSJØEN,Sundsfjord,75 09 19 00,,www.novasea.no,,76,T2,,,,,agencies_eures
post@novasea.no,Novasea,991692800,03.222,Produksjon av yngel og settefisk i ferskvann,NYGÅRDSJØEN,Sundsfjord,75 09 19 00,,www.novasea.no,,76,T2,,,,,agencies_eures
post@techconsult.no,Techconsult,981135156,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,BERGEN,Solheimsgaten 15,55 70 80 00,,www.techconsult.no,,73,T2,,,,,agencies_eures
post@svgmek.no,Svgmek,990629846,25.530,Bearbeiding av metaller,STAVANGER,Notberget 1,51 82 56 00,,stavangermekaniske.no,,71,T2,,,,,agencies_eures
post@vegsund-slip.no,Vegsund Slip,962299652,33.150,Reparasjon og vedlikehold av sivile skip og båter,EIDSNES,Sjukenesstranda 2,70 19 72 00,,,,70,T2,,,,,agencies_eures
post@industriplast.no,Industriplast,912967468,22.210,"Produksjon av plater, film, rør og profiler av plast",FOLLESE,Slettebrekkdalen 2,56 15 19 80,,,,66,T2,,,,,agencies_eures
post@honefoss-vaktselskap.no,Honefoss Vaktselskap,985402264,80.090,Vakttjenester ikke nevnt annet sted,HØNEFOSS,Kongens gate 10,32 12 84 40,,,,63,T2,,,,,agencies_eures
post@bemex-rekruttering.no,Bemex Rekruttering,995726742,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,NESTTUN,Nesttunvegen 103,55 12 48 11,,www.bemex-rekruttering.no,,57,T2,,,,,agencies_eures
mail@rekrutteringshusetmork.no,Rekrutteringshusetmork,888028722,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,DRAMMEN,Bjørnstjerne Bjørnsons gate 92,32 82 34 40,,www.rekrutteringshusetmork.no,,55,T2,,,,,agencies_eures
hei@emploi.no,Emploi,914922771,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,MO I RANA,Midtre gate 12,994 90 966,,www.emploi.no/,,55,T2,,,,,agencies_eures
post@hlsenteret.no,Hlsenteret,983360521,72.200,Forskning og eksperimentell utvikling innenfor samfunnsvitenskap og humanistiske fag,OSLO,Huk aveny 56,22 84 21 00,,www.hlsenteret.no,,50,T2,,,,,agencies_eures
post@scangranitt.no,Scangranitt,979947844,23.700,Hogging og bearbeiding av monument- og bygningsstein,SANDEFJORD,Nordre Fokserød 15,33 47 22 99,,www.scangranitt.no,,49,T3,,,,,agencies_eures
heydi@heydi.no,Heydi,979657919,23.650,Produksjon av fibersement,FROGNER,Tretjerndalsveien 68,63 86 88 00,,,,48,T3,,,,,agencies_eures
post@anno.no,Anno,895359262,56.110,Drift av restauranter,ÅLESUND,Apotekergata 9B,938 58 383,,www.anno.no,,47,T3,,,,,agencies_eures
post@solcellekraft.no,Solcellekraft,919997400,43.210,Elektrisk installasjonsarbeid,STRAUME,Idrettsvegen 103C,,,www.solcellekraft.no,,47,T3,,,,,agencies_eures
info@academicwork.no,Academicwork,992332018,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,"Torgbygget
Nydalsveien 33",23 00 90 70,,www.academicwork.no,,45,T3,,,,,agencies_eures
info@academicwork.no,Academicwork,992332018,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,"Torgbygget
Nydalsveien 33",23 00 90 70,,www.academicwork.no,,45,T3,,,,,agencies_eures
post@temp-team.no,Temp Team,936521320,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Klingenberggata 7B,22 05 96 00,,www.temp-team.no,,36,T3,,,,,agencies_eures
post@temp-team.no,Temp Team,936521320,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Klingenberggata 7B,22 05 96 00,,www.temp-team.no,,36,T3,,,,,agencies_eures
post@temp-team.no,Temp Team,936521320,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Klingenberggata 7B,22 05 96 00,,www.temp-team.no,,36,T3,,,,,agencies_eures
post@fonnesshipping.no,Fonnesshipping,977519217,50.202,Innenriks sjøfart med gods,FONNES,Vardevegen 79,56 16 82 40,,,,35,T3,,,,,agencies_eures
post@gjovik-boligstiftelse.no,Gjovik Boligstiftelse,988024090,68.200,Utleie av egen eller leid fast eiendom,GJØVIK,Storgata 14,400 20 515,,,,35,T3,,,,,agencies_eures
post@gjovik-boligstiftelse.no,Gjovik Boligstiftelse,988024090,68.200,Utleie av egen eller leid fast eiendom,GJØVIK,Storgata 14,400 20 515,,,,35,T3,,,,,agencies_eures
post@fonnesshipping.no,Fonnesshipping,977519217,50.202,Innenriks sjøfart med gods,FONNES,Vardevegen 79,56 16 82 40,,,,35,T3,,,,,agencies_eures
post@atg.no,ATG GmbH,993874116,43.330,Gulvlegging og tapetsering,LØRENSKOG,Solheimveien 50,,,www.atg.no,,33,T3,,,,,agencies_eures
post@hadselmaskin.no,Hadselmaskin,964564027,08.120,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin",STOKMARKNES,Richard Withs gate 23,480 34 858,,www.hadselmaskin.no,,33,T3,,,,,agencies_eures
post@oslotransportogflytteservice.no,Oslotransportogflytteservice,921429738,49.420,Flyttetransport,OSLO,Johannes Bruns gate 13A,936 89 839,,www.oslotransportogflytteservice.no,,33,T3,,,,,agencies_eures
firmapost@eltilsynet.no,Eltilsynet,963679890,71.129,Annen teknisk konsulentvirksomhet,VØYENENGA,Ringeriksveien 158,67 18 02 22,,www.eltilsynet.no,,32,T3,,,,,agencies_eures
office@tersanhavyard.no,Tersanhavyard,934921208,30.110,Bygging av sivile skip og flytende materiell,LEIRVIK I SOGN,Bøfjordvegen 260,57 78 90 50,,www.tersanhavyard.no,,31,T3,,,,,agencies_eures
info@matfikseren.no,Matfikseren,988225878,56.110,Drift av restauranter,DRAMMEN,Konnerudgata 36,,,www.matfikseren.no,,29,T3,,,,,agencies_eures
post@sectoralarm.no,Sectoralarm,889158212,80.090,Vakttjenester ikke nevnt annet sted,OSLO,Vitaminveien 1A,81 50 00 60,,www.sectoralarm.no,,29,T3,,,,,agencies_eures
post@sectoralarm.no,Sectoralarm,889158212,80.090,Vakttjenester ikke nevnt annet sted,OSLO,Vitaminveien 1A,81 50 00 60,,www.sectoralarm.no,,29,T3,,,,,agencies_eures
post@elektro-team.no,Elektro Team,977051452,43.210,Elektrisk installasjonsarbeid,HITRA,Leirvågveien 2,93091200,,www.elektro-team.no,,28,T3,,,,,agencies_eures
firmapost@berland-bygg.no,Berland Bygg,966596252,41.000,Oppføring av bygninger,BERGEN,Kanalveien 66,55 94 22 00,,www.berland-bygg.no,,28,T3,,,,,agencies_eures
firmapost@berland-bygg.no,Berland Bygg,966596252,41.000,Oppføring av bygninger,BERGEN,Kanalveien 66,55 94 22 00,,www.berland-bygg.no,,28,T3,,,,,agencies_eures
post@bulk.no,Bulk,922949891,68.200,Utleie av egen eller leid fast eiendom,OSLO,Karenslyst allé 53,47 80 70 00,,www.bulk.no,,27,T3,,,,,agencies_eures
postmottak@tromso.kommune.no,Tromso,930031704,68.320,Eiendomsforvaltning på oppdrag,TROMSØ,Sykehusvegen 21,77 79 00 00,,,,25,T3,,,,,agencies_eures
post@sectoralarm.no,Sectoralarm,975368211,80.090,Vakttjenester ikke nevnt annet sted,OSLO,Vitaminveien 1A,81 50 00 60,,www.sectoralarm.no,,23,T3,,,,,agencies_eures
post@trysilfjell.no,Trysilfjell,929920538,68.200,Utleie av egen eller leid fast eiendom,TRYSIL,Velkomstvegen 43,62 45 40 00,,www.trysilfjell.no,,23,T3,,,,,agencies_eures
post@biosort.no,Biosort,996343545,72.100,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,FORNEBU,Martin Linges vei 25,64 80 92 44,,www.biosort.no,,23,T3,,,,,agencies_eures
post@sectoralarm.no,Sectoralarm,975368211,80.090,Vakttjenester ikke nevnt annet sted,OSLO,Vitaminveien 1A,81 50 00 60,,www.sectoralarm.no,,23,T3,,,,,agencies_eures
post@trysilfjell.no,Trysilfjell,929920538,68.200,Utleie av egen eller leid fast eiendom,TRYSIL,Velkomstvegen 43,62 45 40 00,,www.trysilfjell.no,,23,T3,,,,,agencies_eures
ove@atlantico.no,ATLANTICO S.R.L.,932005530,52.250,Logistikktjenester,MOLDE,Verftsgata 6A,71 25 10 00,,www.atlantico.no,,22,T3,,,,,agencies_eures
info@orkla.no,Orkla,930097748,46.380,Engroshandel med andre næringsmidler,OSLO,Drammensveien 149A,,,,,21,T3,,,,,agencies_eures
post@fjellmark.no,Fjellmark,896649442,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,TRONDHEIM,Brøsetekra 1,902 91 900,,,,21,T3,,,,,agencies_eures
post@klingenberghotel.no,Klingenberghotel,966785845,55.100,Drift av hoteller,ÅRDALSTANGEN,Torget 7,57 66 58 00,,,,21,T3,,,,,agencies_eures
post@cruit.no,Cruit,991341145,78.100,Rekruttering og formidling av arbeidskraft,OSLO,Karl Johans gate 25,21 42 42 72,,www.cruit.no,,21,T3,,,,,agencies_eures
kundeservice@istad.no,Istad,923253920,35.121,Produksjon av elektrisitet fra vannkraft,MOLDE,Plutovegen 5,71 21 35 00,,,,20,T3,,,,,agencies_eures
post@reno-vest.no,Reno Vest,984175493,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,20,T3,,,,,agencies_eures
post@reno-vest.no,Reno Vest,984175493,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,20,T3,,,,,agencies_eures
post@reno-vest.no,Reno Vest,984175493,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,20,T3,,,,,agencies_eures
firmapost@olengen.no,Olengen,991982132,29.200,Produksjon av karosserier og tilhengere,MOELV,Fløtlivegen 223,90506972,,www.olengen.no,,19,T3,,,,,agencies_eures
post@europress.no,Europress,983739849,46.640,Engroshandel med maskiner og utstyr ellers,LIERSKOGEN,Avstikkeren 2,81 50 02 21,,www.europress.no,,19,T3,,,,,agencies_eures
post@reno-vest.no,Reno Vest,971037202,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,19,T3,,,,,agencies_eures
post@reno-vest.no,Reno Vest,971037202,38.110,Innsamling av ikke-farlig avfall,SORTLAND,Vesterålsveien 272,76 11 29 00,,www.reno-vest.no,,19,T3,,,,,agencies_eures
post@proel.no,PROEL SPA,983980031,43.210,Elektrisk installasjonsarbeid,VÅGÅ,Industrivegen 31,61 23 24 40,,,,19,T3,,,,,agencies_eures
firmapost@mvp.no,Mvp,942429576,22.210,"Produksjon av plater, film, rør og profiler av plast",SANDE I VESTFOLD,Bjørnstadveien 68,33 78 59 80,,www.mvp.no,,19,T3,,,,,agencies_eures
