TERITORIUL ADMINISTRATIV,,,telefon_1,telefon_2,,,telefon_3,,,telefon_4,telefon_5,,,,,e-mail
CRICAU,,,0258845101,0742075265,,,,,,,,,,,,cricauprimaria@yahoo.com
CUT,,,0258745113,0740343793,,,,,,,,,,,,primariacut@yahoo.com
DAIA ROMANA,,,0258763101,0258763489,,,,,,,,,,,,daiaprimaria@yahoo.com
DOSTAT,,,0258764690,0735527086,,,,,,,,,,,,primariadostat@yahoo.com
FARAU,,,0258876151,0753106241,,,,,,,,,,,,primariacomuneifarau@yahoo.com
GALDA DE JOS,,,0258846032,0764679783,,,,,,,,,,,,clgalda@yahoo.com
GARBOVA,,,0258748118,0755035069,,,,,,,,,,,,primariagirbova@yahoo.com
,,,,,,,,,,,,,,,,
GARDA DE SUS,,,0258778141,0788142952,,,,,,,,,,,,primariagarda@yahoo.com
HOPARTA,,,0258875713,0724419845,,,,,,,,,,,,primaria_hoparta@yahoo.com
HOREA,,,0258767008,0767808025,,,,,,,,,,,,primariahorea@yahoo.com
IGHIU,,,0258844103,0730909585,,,,,,,,,,,,primariaighiu@yahoo.com
INTREGALDE,,,0258855003,,,,,,,,,,,,,primariaintregalde@gmail.com
JIDVEI,,,0258881317,0749240152,,,,,,,,,,,,primariajidvei@yahoo.com
LIVEZILE,,,0258868120,0788638739,,,,,,,,,,,,primaria@primarialivezile.ro
LOPADEA NOUA,,,0258875245,0753106279,,,,,,,,,,,,primaria.lopadeanoua@yahoo.com
LUNCA MURESULUI,,,0258878121,0728883106,,,,,,,,,,,,primar@primariacomuneiluncamuresului.ro
LUPSA,,,0258897900,0756696486,,,,,,,,,,,,primaria_lupsa@yahoo.com
METES,,,0258849003,0788832036,,,,,,,,,,,,primariacomuneimetes@yahoo.com
MIHALT,,,0258718101,0258718388,,,,,,,,,,,,pmihalt@yahoo.com
MIRASLAU,,,0258879001,0764012442,,,,,,,,,,,,primaria.miraslau@yahoo.com
MOGOS,,,0258855530,,,,,,,,,,,,,primariamogos@yahoo.com
NOSLAC,,,0258889101,0728853740,,,,,,,,,,,,primarianoslac@yahoo.com
OCOLIS,,,0258776300,0784203163,,,,,,,,,,,,Sc.ocolis@mail.albanet.ro
OHABA,,,0258854511,0258854502,,,,,,,,,,,,secretar@primariaohaba.ro
PIANU,,,0258761111,0764443025,,,,,,,,,,,,primariacomuneipianu@yahoo.com
POIANA VADULUI,,,0258785678,0258785644,,,,,,,,,,,,primaria@poianavadului.ro
PONOR,,,0258867503,0764521475,,,,,,,,,,,,primariaponor@yahoo.com
POSAGA,,,0258776024,0761982962,,,,,,,,,,,,secretar@comunaposaga.ro
RADESTI,,,0258879300,0760692975,,,,,,,,,,,,primariaradesti@yahoo.com
RAMET,,,0258880010,0725716447,,,,,,,,,,,,primariaramet2008@yahoo.com
RAMETEA,,,0258768001,0733042207,,,,,,,,,,,,primaria_rimetea@yahoo.com
ROSIA DE SECAS,,,0258765777,0733914878,,,,,,,,,,,,primariarosia@yahoo.com
ROSIA MONTANA,,,0258783101,0745426190,,,,,,,,,,,,primaria@primariarosiamontana.ro
SALCIUA,,,0258788740,0258788600,,,,,,,,,,,,primariasalciua@yahoo.com
SALISTEA,,,0258762101,0762201054,,,,,,,,,,,,primaria_salistea@yahoo.com
SANCEL,,,0258885101,0733026335,,,,,,,,,,,,primariasincel@yahoo.com
SANTIMBRU,,,0258842101,0760237402,,,,,,,,,,,,popasantimbru@yahoo.com
SASCIORI,,,0258741110,,,,,,,,,,,,,primariasasciori@yahoo.com
SCARISOARA,,,0258778503,0728112198,,,,,,,,,,,,primar@scarisoara.ro
SIBOT,,,0258760101,,,,,,,,,,,,,primaria.sibot@yahoo.com
SOHODOL,,,0373550062,0733917080,,,,,,,,,,,,primaria_sohodol@yahoo.com
SONA,,,0258884144,,,,,,,,,,,,,consiliulsona@yahoo.com
SPRING,,,0258765101,0753034892,,,,,,,,,,,,primariaspring@yahoo.com
STREMT,,,0258848101,0742035697,,,,,,,,,,,,primaria_stremt@yahoo.com
SUGAG,,,0258746177,0730707544,,,,,,,,,,,,primariasugag@yahoo.com
UNIREA,,,0258876151,,,,,,,,,,,,,primariaunirea@gmail.com
,,,,,,,,,,,,,,,,
VADU MOTILOR,,,0258785013,0762227022,,,,,,,,,,,,vadumotilor@yahoo.com
VALEA LUNGA,,,0258888102,,,,,,,,,,,,,primariavalealunga@yahoo.com
VIDRA,,,0258786575,0747956335,,,,,,,,,,,,primaria_vidra_ab@yahoo.com
VINTU DE JOS,,,0258739234,0731354711,,,,,,,,,,,,primaria.vint@yahoo.com
