SAVARSIN,,,0257557270,,,,,,,,,,,,,primariasavarsin@yahoo.com
SECUSIGIU,,,0257411320,0257411304,,,,,,,,,,,,viletamorcan2000@yahoo.com
SEITIN,,,0257415114,0257415202,,,,,,,,,,,,primariaseitin@artelecom.net
SELEUS,,,0257329101,,,,,,,,,,,,,primseleus@clicknet.ro
SEMLAC,,,0257534102,0257534137,,,,,,,,,,,,primaria@semlac.ro
SEPREUS,,,0257256262,,,,,,,,,,,,,primariasepreus@artelecom.net
SICULA,,,0257326008,,,,,,,,,,,,,primariasicula@clicknet.ro
SILINDIA,,,0257372700,,,,,,,,,,,,,primariasilindia@clicknet.ro
SIMAND,,,0257373041,,,,,,,,,,,,,info@simand.org
SINTEA MARE,,,0257357100,,,,,,,,,,,,,primsm2003@yahoo.com
SIRIA,,,0257531101,,,,,,,,,,,,,primariasiria@yahoo.com
SISTAROVAT,,,0257434200,,,,,,,,,,,,,prim_sistarovat@yahoo.com
SOCODOR,,,0257358100,,,,,,,,,,,,,negraulivia@yahoo.com
SOFRONEA,,,0257416100,,,,,,,,,,,,,primaria_sofronea@yahoo.com
TARNOVA,,,0257370101,,,,,,,,,,,,,primariatirnova@yahoo.com
TAUT,,,0257372222,,,,,,,,,,,,,primariataut@gmail.com
USUSAU,,,0257434141,,,,,,,,,,,,,primariaususau@gmail.com
VARADIA DE MURES,,,0257417230,,,,,,,,,,,,,primaria_varadia@yahoo.com
VARFURILE,,,0257318501,,,,,,,,,,,,,consvarfurile@clicknet.ro
VINGA,,,0257460126,,,,,,,,,,,,,primariavinga@clicknet.ro
VLADIMIRESCU,,,0257514420,,,,,,,,,,,,,adrilazar@yahoo.com
,,,,,,,,,,,,,,,,
ZABRANI,,,0257457001,,,,,,,,,,,,,primariazabrani@yahoo.com
ZADARENI,,,0257413024,,,,,,,,,,,,,primariazadareni@yahoo.com
ZARAND,,,0257359010,,,,,,,,,,,,,nordictopo@yahoo.com
ZERIND,,,0257355566,,,,,,,,,,,,,primariazerind@yahoo.com
ZIMANDU NOU,,,0257380141,,,,,,,,,,,,,primariazimandulnou@yahoo.com
,3. JUDE?UL ARGES,,,,,,,,,,,,,,,
MUNICIPIUL PITESTI,,,0248213994,,,,,,,,,,,,,primaria@primariapitesti.ro
MUNICIPIUL CAMPULUNG,,,0248511034,0248511034,,,,,,,,,,,,campulung@muscel.ro
MUNICIPIUL CURTEA DE ARGES,,,0248721033,0248721107,,,,,,,,,,,,primariacurteadearges@yahoo.com
ORAS COSTESTI,,,0248672320,0248672320,,,,,,,,,,,,primaria@primariacostestiag.ro
ORAS MIOVENI,,,0348455444,0248260500,,,,,,,,,,,,primariamioveni@primariamioveni.ro
ORAS STEFANESTI,,,0248266752,0248266752,,,,,,,,,,,,gheorgheigeorgeta@yahoo.com
ORAS TOPOLOVENI,,,0248666259,0248666469,,,,,,,,,,,,primarie@topoloveni.cjarges.ro
ALBESTII DE ARGES,,,0248735005,0248735005,,,,,,,,,,,,primaria_albestiidearges@yahoo.com
ALBESTII DE MUSCEL,,,0248555300,0248555311,,,,,,,,,,,,primariaalbesti@yahoo.com
ALBOTA,,,0248233187,0248233451,,,,,,,,,,,,elena.spataru@albota.cjarges.ro
ANINOASA,,,0248577101,0248577101,,,,,,,,,,,,nicu.rachieru@aninoasa.cjarges.ro
AREFU,,,0248730210,0248730211,,,,,,,,,,,,primaria.arefu@yahoo.com
BABANA,,,0248767001,0248767001,,,,,,,,,,,,primariababana@yahoo.com
BAICULESTI,,,0248760204,0248760204,,,,,,,,,,,,baranescughe_primar_baiculesti@yahoo.com
BALILESTI,,,0248562300,0248562080,,,,,,,,,,,,primaria_balilesti@yahoo.com
BARLA,,,0248678141,0248678090,,,,,,,,,,,,primariabirla@yahoo.com
BASCOV,,,0248270525,0248270033,,,,,,,,,,,,primariabascov@yahoo.com
BELETI-NEGRESTI,,,0248657225,0248657225,,,,,,,,,,,,beleti_negresti@yahoo.com
BEREVOESTI,,,0248572040,0248572030,,,,,,,,,,,,ciubuc.nicoleta@yahoo.com
BOGATI,,,0248655003,0248655003,,,,,,,,,,,,primariabogati@yahoo.com
BOTENI,,,0248295299,0248295299,,,,,,,,,,,,primariaboteniarges@yahoo.com
BOTESTI,,,0248658133,0248658133,,,,,,,,,,,,sofia.grigore@botesti.cjarges.ro
BRADU,,,0248279412,0248279412,,,,,,,,,,,,carmencanu@yahoo.com
BRADULET,,,0248267910,0248267910,,,,,,,,,,,,primaria_bradulet@yahoo.com
BUDEASA,,,0248236457,0248236457,,,,,,,,,,,,primariabudeasa@personal.ro
BUGHEA DE JOS,,,0248557112,0248557112,,,,,,,,,,,,primariabugheadejos@yahoo.com
BUGHEA DE SUS,,,0248555095,0248555095,,,,,,,,,,,,primarie_primariabughea@yahoo.com
BUZOESTI,,,0248690009,0248690051,,,,,,,,,,,,primariebuzoesti@yahoo.com
CALDARARU,,,0248692008,0248692070,,,,,,,,,,,,florina.buicea@caldararu.cjarges.ro
CALINESTI,,,0248651893,0248651155,,,,,,,,,,,,primarie@calinesti.cjarges.ro
CATEASCA,,,0248661006,0248661006,,,,,,,,,,,,primarie@cateasca.cjarges.ro
CEPARI,,,0248545043,0248545043,,,,,,,,,,,,rodica.neacsu@cepari.cjarges.ro
CETATENI,,,0248544090,0248544090,,,,,,,,,,,,conscetateni@gmail.com
,,,,,,,,,,,,,,,,
CICANESTI,,,0248735058,0248735058,,,,,,,,,,,,gheorghe.badea@cicanesti.cjarges.ro
CIOFRANGENI,,,0248747155,0248747155,,,,,,,,,,,,primaria@ciofrangeni.cjarges.ro
CIOMAGESTI,,,0248245008,0248245008,,,,,,,,,,,,ion.preda@ciomagesti.cjarges.ro
COCU,,,0248246450,0248246460,,,,,,,,,,,,george_marghiolu@yahoo.com
CORBENI,,,0248730236,0248730236,,,,,,,,,,,,primaria_corbeni@yahoo.com
CORBI,,,0248580005,0248580005,,,,,,,,,,,,primariacorbi@yahoo.com
COSESTI,,,0248230038,0248230038,,,,,,,,,,,,anamonamazilu@yahoo.com
COTMEANA,,,0248242044,0248242044,,,,,,,,,,,,liliana.ghinea@yahoo.com
CUCA,,,0248241001,0248241001,,,,,,,,,,,,primariacucaag@yahoo.com
DAMBOVICIOARA,,,0248544204,0248544204,,,,,,,,,,,,dragos.aldulea@dambovicioara.cjarges.ro
DARMANESTI,,,0248232106,0248232106,,,,,,,,,,,,alinairiminescu@yahoo.com
DAVIDESTI,,,0248298024,0248298024,,,,,,,,,,,,primaria_davidesti@yahoo.com
DOBRESTI,,,0248657431,0248657668,,,,,,,,,,,,primaria_dobresti_ag@yahoo.com
DOMNESTI,,,0248269942,0248269980,,,,,,,,,,,,primariadomnesti@yahoo.com
DRAGANU,,,0248663310,0248663365,,,,,,,,,,,,primariadraganu@yahoo.com
DRAGOSLAVELE,,,0248544426,0248544426,,,,,,,,,,,,primaria@dragoslavele.ro
GODENI,,,0248544901,0248544901,,,,,,,,,,,,viodraghici@yahoo.com
HARSESTI,,,0248677374,0248677007,,,,,,,,,,,,prim_hirsesti@yahoo.com
HARTIESTI,,,0248297050,0248297050,,,,,,,,,,,,hepenetgabi@yahoo.com
IZVORU,,,0248695020,0248695020,,,,,,,,,,,,primaria_izvoru@yahoo.com
LEORDENI,,,0248653101,0248653101,,,,,,,,,,,,primarieleordeni@yahoo.com
LERESTI,,,0248549201,0248549201,,,,,,,,,,,,nicoleta.stoica@leresti.cjarges.ro
LUNCA CORBULUI,,,0248688501,0248688960,,,,,,,,,,,,primaria_lunca_corbului@yahoo.com
MALURENI,,,0248765049,0248765049,,,,,,,,,,,,primariamalureni@yahoo.com
MARACINENI,,,0248278893,0248278893,,,,,,,,,,,,alexandru.teodoreci@maracineni.cjarges.ro
MERISANI,,,0248763201,0248763201,,,,,,,,,,,,croitoru.larisa@yahoo.com
MICESTI,,,0248234002,0248234002,,,,,,,,,,,,voicu.dumitru@yahoo.com
MIHAESTI,,,0248560002,0248560005,,,,,,,,,,,,primariamihaesti@yahoo.com
MIOARELE,,,0248512474,0248512474,,,,,,,,,,,,primarie@mioarele.cjarges.ro
MIROSI,,,0248694509,0248694509,,,,,,,,,,,,dorina.ciobanu@mirosi.cjarges.ro
MORARESTI,,,0248240011,0248240011,,,,,,,,,,,,primarie@moraresti.cjarges.ro
MOSOAIA,,,0248294001,0248294001,,,,,,,,,,,,primaria_mosoaia@yahoo.com
MOZACENI,,,0248697282,0248697282,,,,,,,,,,,,primariamozaceni@yahoo.com
MUSATESTI,,,0248268622,0248268622,,,,,,,,,,,,musatesti_primarie@yahoo.com
NEGRASI,,,0248687522,0248687520,,,,,,,,,,,,steliana.croitoru@negrasi.cjarges.ro
NUCSOARA,,,0248582013,0248582013,,,,,,,,,,,,primaria_nucsoara@yahoo.com
OARJA,,,0248660341,0248660341,,,,,,,,,,,,toma_nicoleta78@yahoo.com
PIETROSANI,,,0248267266,0248267266,,,,,,,,,,,,prim1pietr@yahoo.com
POIANA LACULUI,,,0248293046,0248293046,,,,,,,,,,,,primaria.placului@yahoo.com
,,,,,,,,,,,,,,,,
POIENARII DE ARGES,,,0248747140,0248747140,,,,,,,,,,,,niculae.mircea@poienariiarges.cjarges.ro
POIENARII DE MUSCEL,,,0248546603,0248546603,,,,,,,,,,,,bobocremus@yahoo.com
POPESTI,,,0248693109,0248693109,,,,,,,,,,,,olena_constantin@yahoo.com
PRIBOIENI,,,0248656001,0248656001,,,,,,,,,,,,primariacomuneipriboieni@yahoo.com
RACA,,,0248694083,0248694083,,,,,,,,,,,,aurel.calin@raca.cjarges.ro
RATESTI,,,0248664066,0248664066,,,,,,,,,,,,primariaratesti@yahoo.com
RECEA,,,0248696143,0248696178,,,,,,,,,,,,mihaelaradulescu07@yahoo.com
ROCIU,,,0248688115,0248688115,,,,,,,,,,,,primaria.rociu@yahoo.com
RUCAR,,,0248542830,0248542830,,,,,,,,,,,,ionut_vorovenci@yahoo.com
SALATRUCU,,,0248545013,0248545013,,,,,,,,,,,,emil2007_arges@yahoo.com
SAPATA,,,0248617009,0248617084,,,,,,,,,,,,venera.graure@sapata.cjarges.ro
SCHITU GOLESTI,,,0248566500,0248566500,,,,,,,,,,,,primarie@schitug.cjarges.ro
SLOBOZIA,,,0248698002,0248698002,,,,,,,,,,,,ioana.enache@slobozia.cjarges.ro
STALPENI,,,0248565222,0248565222,,,,,,,,,,,,laura.baicu@stalpeni.cjarges.ro
STEFAN CEL MARE,,,0248696704,0248696704,,,,,,,,,,,,ion.dobrin@stefancelmare.cjarges.ro
STOENESTI,,,0248550150,0248550150,,,,,,,,,,,,primarie@stoenesti.cjarges.ro
STOLNICI,,,0248676201,0248676201,,,,,,,,,,,,antoanetaelenamocanu@yahoo.com
SUICI,,,0248545003,0248545155,,,,,,,,,,,,elena.popescu@suici.cjarges.ro
SUSENI,,,0248699397,0248699397,,,,,,,,,,,,iulica.din@suseni.cjarges.ro
TEIU,,,0248689605,0248689605,,,,,,,,,,,,cornel.barbu@teiu.cjarges.ro
TIGVENI,,,0248742010,0248742010,,,,,,,,,,,,gabrielcigoianu@yahoo.com
TITESTI,,,0248299012,0248299012,,,,,,,,,,,,primariatitesti@yahoo.com
UDA,,,0248243021,0248243021,,,,,,,,,,,,primaria_uda@yahoo.com
UNGHENI,,,0248674063,0248674063,,,,,,,,,,,,carmen_condurache34@yahoo.com
VALEA DANULUI,,,0248724458,0248724458,,,,,,,,,,,,primar@valeadanului.cjarges.ro
VALEA IASULUI,,,0248724411,0248724411,,,,,,,,,,,,primaria_viasului@yahoo.com
VALEA MARE PRAVAT,,,0248557112,0248557112,,,,,,,,,,,,primariavaleamarepravat@yahoo.fr
VEDEA,,,0248248149,0248248179,,,,,,,,,,,,cl_vedea@yahoo.com
VLADESTI,,,0248547740,0248547724,,,,,,,,,,,,bebeseleamagdalena@yahoo.com
VULTURESTI,,,0248296256,0248296256,,,,,,,,,,,,primariavulturestiag@yahoo.com
