company_name,cui,caen_code,caen_description,employees,turnover_ron,city,county,email,email_source,email_verified,phone,website
YAZAKI ROMANIA SRL,15412557,2931,Autovehicule,3623,1095214991,Municipiul Ploiesti,Prahova,ana.condrat@yazaki-europe.com,master_companies,true,+40372449199,
ADIENT AUTOMOTIVE ROMANIA SRL,35377500,2932,Autovehicule,3141,1464433327,Municipiul Pitesti,Arges,,,,,
FLEXTRONICS ROMANIA SRL,10608391,2611,Calculatoare si electronice,2815,723597547,Municipiul Timisoara,Timis,,,,+40256303697,
APTIV TECHNOLOGY SERVICES & SOLUTIONS S.R.L.,9022584,2931,Autovehicule,2765,1444364929,"Loc. Sannicolau Mare, Oras Sannicolau Mare",Timis,,,,+40256309300,
GREENBRIER ROMANIA S.A.,29922041,3020,3020,2746,1518791010,Municipiul Arad,Arad,astra.cuna.nicoleta.alina@gmail.com,anofm_jobs_20260309_091938_20260314_74c23d98,true,0733105758,
TINERVIS GROUP SRL,27329545,1071,Industria alimentara,2691,617120350,Bucuresti Sectorul 3,Bucuresti,recrutare@lucatraditie.ro,master_companies,true,+40742052530,
UNIVERSAL ALLOY CORPORATION EUROPE SRL,23000336,3030,3030,2685,1521842671,"Sat Dumbravita, Comuna Dumbravita",Maramures,,,,+40262202330,
TRW AUTOMOTIVE SAFETY SYSTEMS SRL,16191624,2932,Autovehicule,2644,1535196152,Municipiul Timisoara,Timis,office.timisoara@zf-lifetec.com,master_companies,true,+40256491578,
BOSCH AUTOMOTIVE S.R.L.,18039704,2815,Masini si echipamente,2636,3176705577,Municipiul Blaj,Alba,ivana.stefanovici@ro.bosch.com,master_companies,true,+40728851352,
HORSE ROMANIA S.A.,18699808,2932,Autovehicule,2586,4696327556,Oras Mioveni,Arges,,,,+40212038652,
ZES ZOLLNER ELECTRONIC SRL,13392550,2790,Echipamente electrice,2477,2347880543,Municipiul Satu Mare,Satu Mare,,,,,
PLEXUS SERVICES RO SRL,25153581,2611,Calculatoare si electronice,2406,1907442951,Municipiul Oradea,Bihor,andreea.oprea@plexus.com,master_companies,true,+40259400500,
COMTIM ROMANIA S.R.L.,13427047,1011,Industria alimentara,2337,1490767383,Municipiul Timisoara,Timis,obalan@comtim.ro,master_companies,true,+40256400400,
FAURECIA ROMANIA S.R.L.,15599111,2932,Autovehicule,2244,1516291851,Comuna Cateasca,Arges,,,,+40269208700,
TRANSAVIA SA,5182310,1012,Industria alimentara,2240,1115535761,"Sat Santimbru, Comuna Santimbru",Alba,resurse.umane@transavia.ro,master_companies,true,+40258814466,
ZOPPAS INDUSTRIES ROMANIA SRL,9710664,2751,Echipamente electrice,2216,959945165,"Loc. Sannicolau Mare, Oras Sannicolau Mare",Timis,,,,+40256303800,
ROMAQUA GROUP SA,402911,1107,Bauturi,2193,1181776334,Bucuresti Sectorul 1,Bucuresti,citiriga.borsec@romaqua.ro,companies,true,+40745108744,
AVIVA SRL,13193540,3102,Mobila,2136,566885826,Municipiul Baia Mare,Maramures,,,,+40262316119,
SEWS ROMANIA SRL,13276556,2593,Constructii metalice,2106,568859254,Municipiul Deva,Hunedoara,officedeva@sews-e.com,master_companies,true,+40721223614,
ELIT SRL,14444712,1011,Industria alimentara,2043,832689929,"Loc. Cugir, Oras Cugir",Alba,vigilentsekurity@yahoo.com,master_companies,true,+40721367184,
DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,13551362,2651,Calculatoare si electronice,1999,488433450,Municipiul Timisoara,Timis,,,,+40356407019,
AGRICOLA INTERNATIONAL SA,2816014,1012,Industria alimentara,1995,806601725,Municipiul Bacau,Bacau,juridic@agricola.ro,master_companies,true,+40234577600,
INDUSTRIES YIELD SRL,34875787,1413,Confectii,1911,228623678,Bucuresti Sectorul 1,Bucuresti,info.hr@moncler.com,master_companies,true,+40334880020,
CAMERON ROMANIA SRL,1323964,2892,Masini si echipamente,1900,2016462972,Municipiul Campina,Prahova,angajari@slb.com,master_companies,true,+40728221613,
PREH ROMANIA SRL,23932100,2931,Autovehicule,1894,1201170177,"Loc. Ungheni, Oras Ungheni",Mures,,,,+40268403100,
AAYLEX ONE S.A.,45303187,1011,Industria alimentara,1848,1094794476,Municipiul Buzau,Buzau,virginia.trifan@aaylex.ro,master_companies,true,+40730713071,
DONASID SA,15117182,2420,Industria metalurgica,1827,3770991082,Municipiul Calarasi,Calarasi,glgroza@tenaris.com,master_companies,true,+40260603325,
HIRSCHMANN AUTOMOTIVE TM S.R.L.,21408186,2931,Autovehicule,1820,784571908,"Sat Chirileu, Comuna Sinpaul",Mures,,,,+40265207300,
MAKITA EU SRL,17549942,2824,Masini si echipamente,1790,2923811494,"Sat Branesti, Comuna Branesti",Ilfov,m.iacob@mmrmakita.eu,anofm_new_productie_20260314_40b9f91f,true,+40212000101,
RAAL SA,571163,2932,Autovehicule,1763,283984194,Municipiul Bistrita,Bistrita-Nasaud,resurse.umane@raal.ro,master_companies,true,+40744629070,www.raal.ro
SISTEME DE PRODUCTIE CABLAJE SRL,32753562,2932,Autovehicule,1756,244718768,Municipiul Timisoara,Timis,,,,+40348735342,
LA FESTA INTERNATIONAL SRL,3451510,1107,Bauturi,1734,1257254693,"Loc. Voluntari, Oras Voluntari",Ilfov,c.dimian@maspex.ro,master_companies,true,+40244283344,www.tymbark.ro
DRM DRAXLMAIER ROMANIA SISTEME ELECTRICE SRL,11416777,2790,Echipamente electrice,1704,238449484,Municipiul Satu Mare,Satu Mare,luminita.sabau@draexlmaier.com,master_companies,true,+40361403103,
KROMBERG & SCHUBERT ROMANIA ME SRL,17830890,2931,Autovehicule,1645,368557760,Municipiul Medias,Sibiu,,,,+40269807724,
MARQUARDT SCHALTSYSTEME SCS,17000722,2790,Echipamente electrice,1641,1344885258,Municipiul Sibiu,Sibiu,,,,+40269501751,
EKR-ELEKTROKONTAKT ROMANIA SRL,8983631,2732,Echipamente electrice,1633,191297602,"Loc. Santana, Oras Santana",Arad,,,,+40257236101,
CASA NOASTRA S.R.L.,7510066,2223,Cauciuc si mase plastice,1576,588966076,"Sat Pielesti, Comuna Pielesti",Dolj,hr@casanoastra.ro,master_companies,true,+40726727573,
PHINIA DELPHI ROMANIA S.R.L.,22001686,2932,Autovehicule,1550,1719111461,"Sat Bratuleni, Comuna Miroslava",Iasi,,,,+40232390001,
URSUS BREWERIES SA,199095,1105,Bauturi,1533,2820747175,Bucuresti Sectorul 2,Bucuresti,ion-nicolae.manea@asahibeer.ro,companies,true,+40213159804,
STAR ASSEMBLY SRL,31875758,2815,Masini si echipamente,1501,10663054125,Municipiul Sebes,Alba,,,,,
TRW AIRBAG SYSTEMS SRL,31039965,2932,Autovehicule,1481,526236892,Municipiul Timisoara,Timis,,,,+40756067603,
COCA-COLA HBC ROMANIA SRL,474152,1107,Bauturi,1481,4002470239,"Loc. Voluntari, Oras Voluntari",Ilfov,recrutare@cchellenic.com,master_companies,true,+40212021400,
DAR DRAXLMAIER AUTOMOTIVE SRL,26573648,2931,Autovehicule,1466,1681225346,Municipiul Timisoara,Timis,Raluca-Georgiana.Manea@draexlmaier.com,master_companies,true,+40356733774,
CONTITECH ROMANIA SRL,14397092,2932,Autovehicule,1456,911761271,Municipiul Timisoara,Timis,,,,+40256202841,
CELESTICA ( ROMANIA ) SRL,16386391,2620,Calculatoare si electronice,1446,1545540419,"Sat Bors, Comuna Bors",Bihor,apply_oradea@celestica.com,master_companies,true,+40259435017,
SOCIETATEA DE REPARATII LOCOMOTIVE C.F.R.- S.C.R.L. BRASOV S.A.,14257595,3317,Reparatii masini si echipamente,1412,217213933,Municipiul Brasov,Brasov,andrei.pricop@cfrcalatori.ro,master_companies,true,+40268334434,www.s.c.r.l.ro
CAROLI FOODS GROUP SRL,6543790,1013,Industria alimentara,1401,604019945,Municipiul Pitesti,Arges,office@caroli.ro,master_contacts,true,+40248615252,
ARTIFEX SRL,18096610,1413,Confectii,1357,207439169,Municipiul Focsani,Vrancea,,,,+40237213200,
EATON ELECTRO PRODUCTIE SRL,13997714,2712,Echipamente electrice,1279,1417846394,"Sat Sarbi, Comuna Farcasa",Maramures,,,,+40262207500,
SIMEA SIBIU SRL,17830815,2611,Calculatoare si electronice,1260,479555908,Municipiul Sibiu,Sibiu,loredana.gata@siemens.com,master_companies,true,+40269206806,
STABILUS ROMANIA SRL,17375366,2813,Masini si echipamente,1249,919149350,Bucuresti Sectorul 1,Bucuresti,monea@stabilus.com,romania_food_distribution_contacts_20260314_97f4a0d3,true,+40368308900,
CONNECT GROUP ROMANIA S.R.L.,15087723,2612,Calculatoare si electronice,1223,423757382,Municipiul Oradea,Bihor,office@conectgroup.ro,master_companies,true,,
PHILIP MORRIS ROMANIA SRL,9465298,1200,1200,1223,1037738515,"Loc. Otopeni, Oras Otopeni",Ilfov,,,,,
THYSSENKRUPP BILSTEIN S.A.,8497062,2932,Autovehicule,1220,1171332870,Municipiul Sibiu,Sibiu,,,,+40269207220,
Holcim (Romania) SA,12253732,2351,Alte produse minerale nemetalice,1193,2891661290,Bucuresti Sectorul 2,Bucuresti,office@holcim.ro,inferred,false,,www.holcim.ro
MAHLE COMPONENTE DE MOTOR SRL,17133001,2932,Autovehicule,1149,1084875984,Municipiul Timisoara,Timis,,,,+40725560332,
ROMCIM S.A.,328750,2351,Alte produse minerale nemetalice,1125,2159205634,Bucuresti Sectorul 1,Bucuresti,resurse.umane@romcim.ro,anofm_jobs_20260220_153333_20260314_549f40d5,true,+40213075200,
KROMBERG & SCHUBERT ROMANIA NA SRL,26610860,2931,Autovehicule,1111,225238502,"Sat Nadab, Oras Chisineu-Cris",Arad,office@ksrona.kroschu.com,master_companies,true,+40256308410,www.kromberg-schubert.com
OMNIA PLAST S.R.L.,24789140,3230,Alte activitati industriale,1107,296554669,Comuna Chiajna,Ilfov,,,,+40723597840,
UNICARM SRL,6531770,1013,Industria alimentara,1091,438751305,"Sat Vetis, Comuna Vetis",Satu Mare,dumitru.savin@unicarm.ro,master_companies,true,+40261820700,
HEIDELBERG MATERIALS ROMANIA S.A.,10640589,2351,Alte produse minerale nemetalice,1086,1808112478,Bucuresti Sectorul 1,Bucuresti,crina-steluta.simion@heidelbergmaterials.com,master_companies,true,+40213115975,
DTR DRAXLMAIER SISTEME TEHNICE ROMANIA SRL,15371295,1512,Pielarie,1055,299356069,Municipiul Codlea,Brasov,,,,+40372686412,
PRODUCTIE ZARAH MODEN SRL,9877167,1413,Confectii,1045,138212742,Municipiul Targu Secuiesc,Covasna,ikovacs@zarah-moden.ro,master_companies,true,+40753235205,
METAPLAST SRL,18636,2229,Cauciuc si mase plastice,1023,406059606,Bucuresti Sectorul 3,Bucuresti,,,,+40752952211,
PREMIUM AEROTEC SRL,25932794,3030,3030,1003,617892004,Bucuresti Sectorul 1,Bucuresti,,,,+40724252948,
AZOMURES SA,1200490,2015,Substante chimice,1001,1570834880,Municipiul Targu Mures,Mures,office@azomures.com,inferred,false,+40265253700,www.azomures.com
BOROMIR IND SRL,6334476,1061,Industria alimentara,999,528238299,Municipiul Ramnicu Valcea,Valcea,secretariat.deva@boromir.ro,master_companies,true,+40250734428,
HEINEKEN ROMANIA SA,13240781,1105,Bauturi,997,1665697194,Bucuresti Sectorul 1,Bucuresti,,,,+40212027700,
ALKA TRADING CO SRL,9415443,1072,Industria alimentara,990,545782063,Bucuresti Sectorul 1,Bucuresti,lili.clinciu@alkaco.com,master_companies,true,,
YAZAKI COMPONENT TECHNOLOGY SRL,15781880,2931,Autovehicule,984,572885824,Municipiul Arad,Arad,,,,+40372577000,
AVICARVIL SRL,18658662,1012,Industria alimentara,984,827818228,"Loc. Mizil, Oras Mizil",Prahova,marinica.batoanca@carmistin.ro,master_companies,true,+40250765083,www.laprovincia.ro
GST SAFETY TEXTILES RO SRL,32039122,1320,Textile,983,475702036,"Sat Albesti, Comuna Albesti",Mures,georgea.abrdan@gst-global.com,master_companies,true,+40265774550,
COMPANIA NATIONALA ROMARM S.A. BUCURESTI FILIALA SOCIETATEA UZINA MECANICA CUGIR S.A.,1769224,2540,Constructii metalice,982,115117818,"Loc. Cugir, Oras Cugir",Alba,office@umcugir.ro,anofm_new_alte_20260314_0cf00e61,true,+40730033423,
ALDIS SRL,1928648,1013,Industria alimentara,978,453148346,Municipiul Calarasi,Calarasi,adi.mateescu24@gmail.com,master_companies,true,,
PLIMOB SA,2215286,3109,Mobila,964,212649957,Municipiul Sighetu Marmatiei,Maramures,pontos.arabela@plimob.ro,master_companies,true,+40262312863,
BRITISH - AMERICAN TOBACCO ROMANIA INVESTMENT SRL,7095210,1200,1200,955,540629869,Municipiul Ploiesti,Prahova,aprobat@bat.com,master_companies,true,+40244598500,
ADIENT SRL,35590826,2932,Autovehicule,949,853210545,"Loc. Jimbolia, Oras Jimbolia",Timis,,,,,
STAR TRANSMISSION SRL,14179039,2932,Autovehicule,948,444401410,"Loc. Cugir, Oras Cugir",Alba,,,,+40258806100,
COTTONTEX SRL,3977817,1413,Confectii,947,157106071,Municipiul Timisoara,Timis,,,,+40256224812,
FOX COM SERV SRL,3750511,1013,Industria alimentara,946,527224971,Bucuresti Sectorul 4,Bucuresti,,,,+40214921164,
HUF ROMANIA SRL,18704025,2572,Constructii metalice,912,760377195,Municipiul Arad,Arad,,,,+40744129720,
HONEYWELL LIFE SAFETY ROMANIA SRL,3485911,2790,Echipamente electrice,908,627099081,Municipiul Lugoj,Timis,,,,+40256307530,
SUN GARDEN ROMANIA SRL,14936502,1392,Textile,897,1272512620,Bucuresti Sectorul 3,Bucuresti,frontoffice@sungardensalin.ro,master_companies,true,+40245206400,
SANTIERUL NAVAL CONSTANTA SA,1879871,3011,3011,894,101491698,Municipiul Constanta,Constanta,office@snc.ro,master_companies,true,+40241505174,
TERAPIA SA,15357398,2120,Produse farmaceutice,891,1360928769,Municipiul Cluj-Napoca,Cluj,office@terapia.ro,inferred,false,+40264500501,www.terapia.ro
CER CLEANING EQUIPMENT SRL,19306966,2751,Echipamente electrice,879,1189666836,Municipiul Curtea de Arges,Arges,,,,+40213199476,
SOCIETATEA INTRETINERE SI REPARATII LOCOMOTIVE SI UTILAJE - C.F.R. IRLU S.A.,14300920,3317,Reparatii masini si echipamente,876,89341217,Bucuresti Sectorul 1,Bucuresti,,,,+40372777270,
LA FANTANA SRL,35534516,1107,Bauturi,865,302301945,Bucuresti Sectorul 2,Bucuresti,rezervari@la-fontana.ro,master_companies,true,,
WEIDMULLER INTERFACE ROMANIA SRL,17050356,2790,Echipamente electrice,856,290132997,"Sat Cristian, Comuna Cristian",Sibiu,ritadaniela.baka@weidmueller.com,master_companies,true,+40262205400,
EUROPEAN FOOD INTERNATIONAL S.R.L.,46325965,1072,Industria alimentara,852,297187436,"Loc. Stei, Oras Stei",Bihor,macrina.mester@europeanfood.ro,master_companies,true,+40257407200,
KOBER SRL,2005144,2030,Substante chimice,851,568113680,"Sat Dumbrava Rosie, Comuna Dumbrava Rosie",Neamt,,,,+40233207805,
EGGER Romania SRL,16136689,1621,Lemn,843,2141346514,Bucuresti Sectorul 2,Bucuresti,office@egger.com,inferred,false,+40372438000,www.egger.com
HARTING ROMANIA MANUFACTURING SCS,15486112,2611,Calculatoare si electronice,842,442412105,Municipiul Sibiu,Sibiu,romaniahr@harting.com,master_companies,true,+40269206700,
CONFIND SRL,1324099,2511,Constructii metalice,838,239675083,Municipiul Campina,Prahova,office@confind.ro,inferred,false,+40244333160,www.confind.ro
NIMET SRL,18048079,2410,Industria metalurgica,824,540544333,"Sat Lazuri, Comuna Comisani",Dambovita,hr@nimet.ro,master_companies,true,+40245607000,www.nimet.ro
KASTAMONU ROMANIA SA,1235668,1610,Lemn,823,738968701,Municipiul Reghin,Mures,resurse.umane@kastamonu.ro,master_companies,true,+40265521241,
IRIS SERVICE CIUC SA,527397,3109,Mobila,823,143638978,Municipiul Miercurea Ciuc,Harghita,personal@irislemn.ro,master_companies,true,+40266324289,
ALSTOM TRANSPORT SA,6640696,3020,3020,823,752102356,Bucuresti Sectorul 6,Bucuresti,,,,,
BEKAERT SLATINA SRL,16733008,2593,Constructii metalice,816,568765560,Municipiul Slatina,Olt,,,,+40249507335,
FORMENS SRL,12153083,1413,Confectii,816,301456215,Municipiul Botosani,Botosani,,,,+40744506122,
BENCHMARK ELECTRONICS ROMANIA SRL,16023191,2620,Calculatoare si electronice,815,662878324,"Loc. Ghimbav, Oras Ghimbav",Brasov,,,,+40268421540,
ELIS PAVAJE SRL,1771593,2361,Alte produse minerale nemetalice,814,526034714,"Loc. Petresti, Municipiul Sebes",Alba,ioanburja@elis.ro,master_companies,true,+40744637338,
ECKERLE AUTOMOTIVE SRL,15154407,2931,Autovehicule,808,265499209,Municipiul Cluj-Napoca,Cluj,ioana.andreiu@ro.eckerle-gruppe.com,master_companies,true,+40722549975,
SNR RULMENTI SRL,15327001,2815,Masini si echipamente,808,201751857,Bucuresti Sectorul 1,Bucuresti,recrutare@ntn-snr.ro,master_companies,true,+40269203514,
BADER ROMANIA S.R.L.,16853918,1392,Textile,805,297094673,"Loc. Curtici, Oras Curtici",Arad,,,,+40257202012,
TEXTILE MEDICALE SRL,17114417,3250,Alte activitati industriale,802,265181457,Municipiul Arad,Arad,,,,+40257272100,
PANDORA PROD SRL,6704285,1413,Confectii,782,218513991,Municipiul Focsani,Vrancea,,,,+40337100444,
ELBA SA,1816318,2740,Echipamente electrice,776,309099423,Municipiul Timisoara,Timis,office@elba.ro,inferred,false,+40256490016,www.elba.ro
ANA & CORNEL SRL,5878224,1011,Industria alimentara,774,283367208,"Loc. Mizil, Oras Mizil",Prahova,office@carnia.ro,master_companies,true,+40244250907,
MONDELEZ ROMANIA SNACKS PRODUCTION S.R.L.,11190423,1072,Industria alimentara,773,167699133,Comuna Clinceni,Ilfov,,,,+40213156100,
DIANA SRL,2540090,1013,Industria alimentara,773,474920929,Municipiul Ramnicu Valcea,Valcea,recrutare@diana.com.ro,master_companies,true,+40745324795,
PGS SOFA & CO SRL,6416487,3109,Mobila,772,215101823,Municipiul Oradea,Bihor,,,,+40259407850,
SCANDIA FOOD SRL,16070576,1013,Industria alimentara,771,426732992,Municipiul Sibiu,Sibiu,resurseumane@scandia.ro,master_companies,true,+40269208600,
COMPANIA NATIONALA ROMARM S.A. BUCURESTI FILIALA SOCIETATEA FABRICA DE ARME CUGIR S.A.,16368506,2540,Constructii metalice,769,48576751,"Loc. Cugir, Oras Cugir",Alba,,,,+40258751991,
FUJIKURA AUTOMOTIVE ROMANIA SRL,14297530,2931,Autovehicule,758,100079953,Municipiul Cluj-Napoca,Cluj,office@acegrupo.com,inferred,false,+40264207950,www.acegrupo.com
JAEGGI INDUSTRIES SRL,32214983,2825,Masini si echipamente,752,403097017,"Sat Cristian, Comuna Cristian",Sibiu,stefana.geleriu@guentner.com,anofm_jobs_20260220_153333_20260314_549f40d5,true,0369101974   ,
"BONATTI S.p.a. PARMA, SUCURSALA BUCURESTI",33446663,3312,Reparatii masini si echipamente,747,207765581,Bucuresti Sectorul 2,Bucuresti,,,,+40214024100,
SUMIDA ROMANIA SRL,10441497,2611,Calculatoare si electronice,737,220639838,"Loc. Jimbolia, Oras Jimbolia",Timis,,,,,
TIMKEN ROMANIA SA,3196778,2815,Masini si echipamente,735,465949267,Municipiul Ploiesti,Prahova,cornelia.istrate@timken.com,master_companies,true,+40244403000,
SAINT-GOBAIN CONSTRUCTION PRODUCTS ROMANIA SRL,6194577,2362,Alte produse minerale nemetalice,732,864096537,Bucuresti Sectorul 1,Bucuresti,,,,+40212075751,
BILKA STEEL SRL,21520278,2550,Constructii metalice,730,1400888657,Municipiul Brasov,Brasov,office@bilka.ro,master_companies,true,+40268548116,
FARMEC SA,199150,2042,Substante chimice,728,403496654,Municipiul Cluj-Napoca,Cluj,,,,+40264432543,
ROMBAT SA,564638,2720,Echipamente electrice,721,615548503,Municipiul Bistrita,Bistrita-Nasaud,recrutari@rombat.ro,master_companies,true,+40263238132,
CML INNOVATIVE TECHNOLOGIES SRL,22946116,2740,Echipamente electrice,721,643524286,Bucuresti Sectorul 1,Bucuresti,florina.campian@antolin.com,master_companies,true,+40269503600,
LEMET SRL,1323280,3109,Mobila,713,192304784,Municipiul Campina,Prahova,office@lemet.ro,master_companies,true,+40244334501,
GLORIOUS LIGHTING SRL,37228866,2740,Echipamente electrice,712,143984815,Municipiul Braila,Braila,hr@gloriouslighting.eu,master_companies,true,,
KRONOSPAN TRADING S.R.L.,11894313,1621,Lemn,711,2222799929,Municipiul Sebes,Alba,office@kronospan.ro,inferred,false,+40268413490,www.kronospan.ro
MEDA PROD 98 SA,10374339,1013,Industria alimentara,710,317653249,Bucuresti Sectorul 3,Bucuresti,daniela.ruiu@medaprod.ro,master_companies,true,+40751035014,
SOMAREST SRL,14252261,1512,Pielarie,707,394110026,Municipiul Sibiu,Sibiu,,,,+40269234674,
DUAL BORGSTENA TRIM ROMANIA S.R.L.,26873696,1396,Textile,705,446729549,"Loc. Faget, Oras Faget",Timis,,,,,
SIMIZ FASHION SRL,33424193,1413,Confectii,701,183489788,Municipiul Focsani,Vrancea,,,,+40237222478,
HS BACO PANELS S.R.L.,12447070,1621,Lemn,698,303918678,"Loc. Comanesti, Oras Comanesti",Bacau,baco@hs.ro,master_companies,true,+40234374052,www.hs.at
VIMERCATI EAST EUROPE SRL,22916476,2932,Autovehicule,697,315541484,"Sat Hemeius, Comuna Hemeius",Bacau,office@vimercatiee.eu,master_companies,true,,
MONDIAL SA,1844334,2342,Alte produse minerale nemetalice,695,262106514,Municipiul Lugoj,Timis,nagy.mihaela@villeroy-boch.com,master_companies,true,+40256356155,
ELDON SRL,18878617,2733,Echipamente electrice,692,394092240,"Sat Prejmer, Comuna Prejmer",Brasov,hussein.salameh@elon.no,master_companies,true,+40268308204,
CUMMINS GENERATOR TECHNOLOGIES ROMANIA SA,12459849,2711,Echipamente electrice,692,1050046668,Municipiul Craiova,Dolj,gabrieladaniela.budurnoiu@cummins.com,master_companies,true,+40722947469,
FRIGOGLASS ROMANIA SRL,6469724,2825,Masini si echipamente,679,541204483,"Sat Parta, Comuna Parta",Timis,aflorea@frigoglass.com,master_companies,true,+40256407568,
ICME ECAB SA,11703669,2732,Echipamente electrice,676,1365042691,Bucuresti Sectorul 3,Bucuresti,bucuresti@icme.vionet.gr,master_companies,true,+40722240025,http://www.cablel.ro
FAIST MEKATRONIC SRL,17506160,2453,Industria metalurgica,673,231197192,Municipiul Oradea,Bihor,florina.hanga@faistlightmetals.com,master_companies,true,+40724230571,
SOMACO GRUP PREFABRICATE SRL,22424341,2361,Alte produse minerale nemetalice,669,276068340,Bucuresti Sectorul 2,Bucuresti,amalia.sobec@holcim.com,master_companies,true,+40314254577,
SC NOBEL AUTOMOTIVE ROMANIA SRL,23864383,2932,Autovehicule,669,242335369,Bucuresti Sectorul 4,Bucuresti,andreea.petcu@nobelautomotive.com,master_companies,true,+40213088100,
BOS AUTOMOTIVE PRODUCTS ROMANIA SCS,14300172,2932,Autovehicule,668,430196390,Municipiul Arad,Arad,,,,+40257307215,
VERNICOLOR S.A.,18720420,2229,Cauciuc si mase plastice,663,220733215,"Sat Santandrei, Comuna Santandrei",Bihor,,,,+40758012020,
REKORD SRL,6698930,1520,Pielarie,653,207809498,Municipiul Alba Iulia,Alba,,,,,
HARTING RO AUTOMOTIVE SRL,35487163,2931,Autovehicule,649,357479852,"Loc. Agnita, Oras Agnita",Sibiu,cariere.automotive@harting.com,master_companies,true,+40725941246,
TMD FRICTION ROMANIA SRL,19157333,2932,Autovehicule,643,390159816,Municipiul Caransebes,Caras-Severin,,,,+40355403913,
MUSETTE EXIM SRL,2443,1520,Pielarie,636,132313841,Bucuresti Sectorul 2,Bucuresti,,,,+40744195788,
GIC NOSAG METAL SRL,16939009,2550,Constructii metalice,633,475175998,Comuna Bradu,Arges,,,,+40248281550,
BRIO GROUP SRL,18697025,1071,Industria alimentara,629,114371034,Municipiul Iasi,Iasi,hr@simigeriapetru.ro,master_companies,true,+40751888000,
FLOREA GRUP SRL,8273278,2363,Alte produse minerale nemetalice,627,282242352,Municipiul Alba Iulia,Alba,nicadan70@yahoo.com,master_companies,true,+40258833749,
METEOR ROMANIA S.R.L.,38298088,2219,Cauciuc si mase plastice,626,208837731,Municipiul Arad,Arad,meteorcluj@yahoo.com,master_companies,true,,
OTELINOX SA,921641,2410,Industria metalurgica,624,271484509,Municipiul Targoviste,Dambovita,madalina.dinu@otelinox.ro,master_companies,true,+40245209102,
TRICO RO S.R.L.,34464692,2932,Autovehicule,620,351213274,Bucuresti Sectorul 1,Bucuresti,,,,+40752013916,
CICOR ROMANIA S.R.L.,14566850,2612,Calculatoare si electronice,612,445592175,Municipiul Arad,Arad,,,,+40257285944,
UNILEVER ROMANIA SA,11894259,2041,Substante chimice,612,186759537,Municipiul Ploiesti,Prahova,,,,+40745083030,
ELECTROLUX ROMANIA SA,2385817,2751,Echipamente electrice,610,1064082508,Municipiul Satu Mare,Satu Mare,,,,+40261731901,
AMBRO SA,2691530,1712,Hartie,605,429742192,Municipiul Suceava,Suceava,,,,+40230205000,
GARRETT MOTION ROMANIA S.R.L.,9472341,2932,Autovehicule,603,219465970,Bucuresti Sectorul 6,Bucuresti,,,,,
