company,email,phone,source_table
ALL FINANCE LOGISTIC S.R.L.,office@allfinance.ro,0231531000,anofm_jobs_20260220_153333_20260314_549f40d5
ALL GOOD PRINTS S.R.L.,marchevca@gmail.com,0722268790,anofm_jobs_20260220_153333_20260314_549f40d5
ALLIN TOTAL CONSTRUCT S.R.L.,look_expert@yahoo.com,0769660578,anofm_jobs_20260220_153333_20260314_549f40d5
ALL METAL WOOD GROUP SRL,dimucosmin@yahoo.com,0769141611,anofm_jobs_20260220_153333_20260314_549f40d5
ALLSTAR PROD SRL,raluca.oprea@aliat-auto.ro,0265/252526,anofm_jobs_20260309_091938_20260314_74c23d98
ALMAS PLUS CONSTRUCT S.R.L.,traiancosma@gmail.com,0766694924,anofm_new_alte_20260314_0cf00e61
ALMA VENDIS ADG S.R.L.,alma.vendis@gmail.com,0744314518,anofm_new_confectii_20260314_8da893a3
ALMED DENTALPAD S.R.L.,daniel.alexandru96@yahoo.com,0763224469,anofm_new_productie_20260314_40b9f91f
ALMERA INTERNATIONAL S.R.L.,personal@almera.ro,0741200704,anofm_jobs_20260220_153333_20260314_549f40d5
ALMIPA PROD SRL,almipaprod@gmail.com,0758656570,anofm_jobs_20260220_153333_20260314_549f40d5
ALPERA RETEZAT S.R.L.,razvan.cervicesccu1987@gmail.com,0733329818 / 0729843451,anofm_jobs_20260309_091938_20260314_74c23d98
ALPHA FINANCIAR ADVISORS S.R.L.,srnicoleta@yahoo.com,0729859033,anofm_jobs_20260309_091938_20260314_74c23d98
ALPINA TEAM CONSULTING S.R.L.,alpinateam.hr@gmail.com,0720085887,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AL PRODUCTION ROMANIA S.R.L.,e.hlihor@activline.de,0746 118 628,anofm_jobs_20260220_153333_20260314_549f40d5
ALSENA COM IMPEX SRL,alsena1@gmail.com,0749838975,anofm_jobs_20260220_153333_20260314_549f40d5
ALTATI S.R.L.,danaec2007@yahoo.com,0741103371,anofm_jobs_20260220_153333_20260314_549f40d5
ALTEXPRESS COURIER & E-FULFILLMENT SERVICES S.R.L.,loredana@altexpress.ro,0729945784,anofm_new_curierat_20260314_17b33dec
ALTIMATE S.A.,hr@altimate.ro,0726213784,anofm_jobs_20260309_091938_20260314_74c23d98
ALUMINIUM ARCHITECTURAL PRODUCT SRL,marina.vasile@aap.ro,+40 722 672 529,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AMALINCO MARKET S.R.L.,popaandreea3189@yahoo.com,0746424874,anofm_jobs_20260313_160855_20260314_6a442ca2
AMBERGLOSUNG LOGISTIC S.R.L.,personal@ecojur.com,0259434751,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AM DEUTSCHER MARKT S.R.L.,alex@deutschermarkt.ro,0721586192,anofm_jobs_20260310_123444_20260314_a3ffee1a
AMERICAN PAN EUROPE S.R.L.,liordan@americanpan.com,0247314245,anofm_jobs_20260220_153333_20260314_549f40d5
AMER SPORTS RO S.R.L.,anamaria.stanila@amersports.com,0740052995,anofm_jobs_20260309_091938_20260314_74c23d98
AMFBRUNS ROMANIA S.R.L.,hr-romania@amf-bruns.com,0712159391,anofm_jobs_20260220_153333_20260314_549f40d5
AMF RESIDENT S.R.L.,expert_conta@yahoo.com,0730124456,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AM HIGHT DELIVERY S.R.L.,rdk_resurseumane@yahoo.com,0761648236,anofm_new_curierat_20260314_17b33dec
AMICII PLAY S.R.L.,consultingalpa@gmail.com,0726866516,anofm_jobs_20260309_091938_20260314_74c23d98
AMIRA MANAGEMENT GROUP S.R.L.,resurseumane1302@gmail.com,0763300600,anofm_jobs_20260220_153333_20260314_549f40d5
AMP REST STYL S.R.L.,juridic@anamariapop.ro,0720220280,anofm_new_alte_20260314_0cf00e61
ANADOLU AUTOMOBIL ROM SRL,resurseumane@isuzu.com,0722560002,anofm_jobs_20260220_153333_20260314_549f40d5
ANADOLU LIDER CONSTRUCT S.R.L.,kmlconstructoffice@gmail.com,0742930891,anofm_jobs_20260220_153333_20260314_549f40d5
ANA HOTELS S.A.,mihaela.petrache@ihg.com,0731305787,anofm_jobs_20260310_123444_20260314_a3ffee1a
Ana Hotels SRL - Punct de lucru Eforie Nord,cristina.siea@anahotels.ro,0721331865,anofm_jobs_20260313_083455_20260314_3eab569a
ANA MARIA HOME & DEKO S.R.L.,ana_calota@yahoo.com,0767894119,anofm_jobs_20260220_153333_20260314_549f40d5
ANAMELISS SRL S.R.L.,adrianpogingeanu@yahoo.com,0761941379,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ANCOR LIGHTING S.R.L.,ancorlightingoffice@gmail.com,0766402157,anofm_jobs_20260220_153333_20260314_549f40d5
ANDPROD UNIC S.R.L.,andreea.tomescu99@yahoo.com,0761264815,anofm_jobs_20260309_091938_20260314_74c23d98
ANDRADA ELENA FIRST S.R.L.,sholica_iza@yahoo.com,0763596296,anofm_new_alte_20260314_0cf00e61
ANDRA ZAH BUILDING S.R.L.,zionut099@gmail.com,0738143147,anofm_jobs_20260309_091938_20260314_74c23d98
ANDREAS STIHL POWER TOOLS S.R.L.,recruiting@stihl.ro,0751 203731,anofm_jobs_20260220_153333_20260314_549f40d5
ANDREI POPA ESTATES S.R.L.,andrei.kendo@gmail.com,0751076374,anofm_jobs_20260220_153333_20260314_549f40d5
ANDRES SPEDITIONS S.R.L.,contabilitate@andres-speditions.ro,0721613943,anofm_jobs_20260309_091938_20260314_74c23d98
ANDREY INTERPROF S.R.L.,vasileflori2007@yahoo.co.uk,0740794615,anofm_jobs_20260220_153333_20260314_549f40d5
ANDSTEL POP PROD COM SRL,ionescudaniela@ymail.com,0724251074,anofm_new_alte_20260314_0cf00e61
ANDY STAR IMPEX SRL,office@andy-star.ro,0730965711,anofm_jobs_20260309_091938_20260314_74c23d98
ANEPAL AMBALAJE SRL,hr@anepal.ro,0799414416,anofm_jobs_20260220_153333_20260314_549f40d5
ANGAR PROD SRL,office@angar.ro,0260650444,anofm_jobs_20260220_153333_20260314_549f40d5
ANGELEX S.R.L.,gabriela.statie@yahoo.com,0744524652,anofm_jobs_20260220_153333_20260314_549f40d5
ANGELIC HELGAMES S.R.L.,angels_angi1977@yahoo.com,0745751973,anofm_jobs_20260220_153333_20260314_549f40d5
ANGIOFLUXMED S.R.L.,demeterolga@yahoo.com,0744934665,anofm_jobs_20260309_091938_20260314_74c23d98
ANISSU AMB S.R.L.,anissuamb@gmail.com,0726124225,anofm_jobs_20260220_153333_20260314_549f40d5
ANKI TEKNOLOGY S.R.L.,fkorkmaz@ankitech.com,+39 347 832 9730,anofm_jobs_20260309_091938_20260314_74c23d98
ANTICA FORAJE S.R.L.,forajeantica@gmail.com,0755585586,anofm_jobs_20260310_123444_20260314_a3ffee1a
ANTREPRIZA DE CONSTRUCTII SI MONTAJE ENERGETICE S.R.L.,raisa.pahoni@acmetl.ro,0752293495,anofm_jobs_20260220_153333_20260314_549f40d5
APA CANAL SIBIU S.A.,personal@apacansb.ro,0269222916,anofm_jobs_20260310_123444_20260314_a3ffee1a
APA SI PAMANT S.R.L.,puipejar@gmail.com,0742528966,anofm_jobs_20260309_123436_20260314_274578d5
 APETRI PROCONSTRUCT S.R.L.,adrianalina13@yahoo.com,0757967092,anofm_jobs_20260220_153333_20260314_549f40d5
APOLLO TEXTIL,alattarchaldoun@gmail.com,0747497983,anofm_jobs_20260309_091938_20260314_74c23d98
APOLODOR BUSINESS CONSTRUCTION S.R.L.,apolodorbusiness@gmail.com,0767181883,anofm_new_alte_20260314_0cf00e61
AQUA FLOW CONSTRUCT S.R.L.,sutuioanadrian@gmail.com,0741131885,anofm_jobs_20260309_091938_20260314_74c23d98
AQUA TRANSALPINA S.R.L.,aquatransalpina@gmail.com,0760132880,anofm_jobs_20260313_083455_20260314_3eab569a
ARAIA EVENTS S.R.L.,totcedoresti@gmail.com,0724204207,anofm_jobs_20260310_123444_20260314_a3ffee1a
ARBISAV 42 S.R.L.,arbisav42@gmail.com,0752974430,anofm_jobs_20260220_153333_20260314_549f40d5
ARCELORMITTAL TUBULAR PRODUCTS,iolanda.palade@arcelormittal.com,0734996049,anofm_jobs_20260220_153333_20260314_549f40d5
ARCER SIGHET S.R.L.,office@arcer.ro,0754892552,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ARDACO TEHNIC METAL SRL,office@ardacometal.ro,0743052050,anofm_new_constructii_20260314_8477685f
ARDA S.R.L.,ardasrl@yahoo.com,0722120147,anofm_jobs_20260309_091938_20260314_74c23d98
AREA BEST CONSTRUCT S.R.L.,aprobat.ro@yahoo.com,0746634854,anofm_jobs_20260309_091938_20260314_74c23d98
ARI AUTOMOBILE,ariautomobileoffice@yahoo.com,0732311877,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ARIESUL PRODIMEX SRL,ariesul.prodimex@gmail.com,0748115732,anofm_jobs_20260220_153333_20260314_549f40d5
ARNICO IMPEX SRL,sc.arnico.srl@gmail.com,0743098876,anofm_jobs_20260309_091938_20260314_74c23d98
AROMA PADURII S.R.L.,apadurii@gmail.com,0720196613,anofm_new_alte_20260314_0cf00e61
AROSA INDUSTRIES SRL,resurseumane@arosaindustries.ro,0364140280,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ARRISE LIVE S.R.L.,mobility@nestlersgroup.com,0736394504,anofm_new_alte_20260314_0cf00e61
ARSTEF CONFPROD S.R.L.,raihan.arstef@gmail.com,0744170460,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ARTACOUTUREMODA S.R.L.,acmbride@yahoo.com,0758385767,anofm_new_alte_20260314_0cf00e61
ARTA METALICA SRL,asiaexpressbc@gmail.com,0743411857,anofm_new_constructii_20260314_8477685f
ARTEMIS INDUSTRIE SRL,artemisindustrie@yahoo.com,0249420180,anofm_jobs_20260309_091938_20260314_74c23d98
ARTENERGY TEAM S.R.L.,artenergyteam@gmail.com,0765514965,anofm_jobs_20260309_091938_20260314_74c23d98
ART ENTERPRISE S.R.L.,clujarc@gmail.com,0774495150,anofm_jobs_20260220_153333_20260314_549f40d5
ARTISANELLE S.R.L.,andreiizaharia11@icloud.com,0755851823,anofm_new_alte_20260314_0cf00e61
ARTLANTIARA S.R.L.,bogdanproiect@gmail.com,0732387300,anofm_jobs_20260309_091938_20260314_74c23d98
ART.LINE INVEST S.R.L.,elenadianaboldor@gmail.com,0787672779,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ARTOS HAGIOS S.R.L.,brutarieep2025@gmail.com,0784044310,anofm_jobs_20260220_153333_20260314_549f40d5
ARTVICONS S.R.L.,tedinstal@yahoo.com,0757986330,anofm_jobs_20260220_153333_20260314_549f40d5
ASC PRO INSTAL S.R.L.,ciacseptimiu@gmail.com,0753111156,anofm_jobs_20260220_153333_20260314_549f40d5
ASEE SOLUTIONS S.R.L.,raluca.moiceanu@asee.io,0212064500,anofm_jobs_20260220_153333_20260314_549f40d5
ASERTIV GAGEA S.R.L.,asertivgageasrl1@gmail.com,0740593347,anofm_new_alte_20260314_0cf00e61
ASISOC ARCOS S.R.L.,office@servicii-varstnici.ro,0749346923,anofm_jobs_20260313_083455_20260314_3eab569a
ASO CROMSTEEL S.A.,g.dasiana@asohp.com,0245213261,anofm_jobs_20260220_153333_20260314_549f40d5
ASSA UTILITATI S.R.L.,ovidiupavel_vd@yahoo.com,0744935160,anofm_new_alte_20260314_0cf00e61
ASTEVITALDENT S.R.L.,birouexpertbota@yahoo.ro,0724895410,anofm_jobs_20260220_153333_20260314_549f40d5
ATAMETALY SRL,dartemus71@yahoo.com,0743009176,anofm_new_alte_20260314_0cf00e61
ATELIER BORDELLE PRODUCTIONS SRL,camelia@atelierbordelle.com,0746027809,anofm_jobs_20260220_153333_20260314_549f40d5
Atelierul cu fier forjat sia srl,atelierulcufierforjat@yahoo.com,0747619713,anofm_jobs_20260313_160855_20260314_6a442ca2
ATHARVA NATURIA S.R.L.,alina.geara@yahoo.com,0722403744,anofm_jobs_20260220_153333_20260314_549f40d5
ATHENAEUM CONSTRUCT S.R.L.,nicoleta@athcon.ro,0722242582,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ATLAS INDUSTRIAL SOLUTIONS S.R.L.,cigcontsal@yahoo.com,0744430838,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ATOM RELIABLE SOLUTION S.R.L.,atomgrup2020@gmail.com,0745074961,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ATS PREMIUM AUTO SERVICE SRL,ica_iacob@yahoo.com,0773332405,anofm_new_service_auto_20260314_b4a2325b
AUNDE CS AUTOMOTIVE S.R.L.,petcu.antoaneta@aunde.ro,0748678946,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AURDELFER GROUP S.R.L.,baludelia02@gmail.com,0750875310,anofm_jobs_20260309_091938_20260314_74c23d98
AUROMET ELECTROCONSTRUCT SRL,tolea.avram@auromet.ro,0742315215,anofm_jobs_20260309_091938_20260314_74c23d98
AURORA MOUNATAIN S.R.L.,pensiuneaauroravartop@gmail.com,0745 519 736,anofm_jobs_20260220_153333_20260314_549f40d5
AURSPEED S.R.L.,aur.speed@yahoo.ro,0748504870,anofm_jobs_20260220_153333_20260314_549f40d5
AUTENTIC DREAMS S.R.L.,canvasdreamsx@gmail.com,0749563481,anofm_jobs_20260220_153333_20260314_549f40d5
AUTHENTIC MOMENT S.R.L.,aut.catering@gmail.com,0758538126,anofm_jobs_20260309_091938_20260314_74c23d98
AUTO AKI DRIVING SCHOOL S.R.L. ,costybr750@gmail.com,0 740 384 112,anofm_jobs_20260309_091938_20260314_74c23d98
AUTOART SOCIAL SRL,autoartsrl2025@gmail.com,0773974278,anofm_jobs_20260220_153333_20260314_549f40d5
AUTOCARE ZONE S.R.L.,carmen_pinca@yahoo.com,0757653087,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AUTOCAT SERVMOB SOCIETATE CU RASPUNDERE LIMITATA,autocatservmob@gmail.com,0765316138,anofm_jobs_20260220_153333_20260314_549f40d5
AUTOCAZACU SRL,andrei.cazacu@yahoo.com,0755732883,anofm_new_service_auto_20260314_b4a2325b
AUTO CENTER BENIC SRL,valea.ioan@yahoo.com,0729141572,anofm_new_alte_20260314_0cf00e61
AUTO EUROPA SRL,secretariat@autoeuropa.ro,0356803455,anofm_jobs_20260220_153333_20260314_549f40d5
AUTOFACE SRL,autofacecluj@gmail.com,0757294967,anofm_new_service_auto_20260314_b4a2325b
AUTOFLASH FURTUNA S.R.L,furtunacornel82@yahoo.com,0721493549,anofm_new_alte_20260314_0cf00e61
AUTOGARA COM SRL,olteanu.roxana1979@hotmail.com,0244337541,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AUTO GROUP C.M.B. SRL,costi@domplex.ro,0257289411,anofm_jobs_20260220_153333_20260314_549f40d5
AUTOHAUS CAR AYY SRL,pop_mishu@yahoo.com,0763615780,anofm_jobs_20260220_153333_20260314_549f40d5
AUTO IOSIF SRL,autoiosif@yahoo.com,0744/798112,anofm_jobs_20260313_083455_20260314_3eab569a
AUTOKAT,ilarianab@gmail.com,0723643607,anofm_new_service_auto_20260314_b4a2325b
AUTOKLASS CENTER SRL,adela.ciurea@romstal.ro,0213311770,anofm_jobs_20260309_091938_20260314_74c23d98
AUTO LENIED A.N.M SRL,anvelope@autolenied.ro,0248510490,anofm_jobs_20260309_091938_20260314_74c23d98
AUTO LOGISTIC DELIVERY  GLM,honciuc_gaby2007@yahoo.com,0740163049,anofm_new_transport_20260314_7ccb1137
AUTO LUGOJANA SA,autolugojana@gmail.com,0265351013,anofm_jobs_20260220_153333_20260314_549f40d5
AUTOLUX CAR SERVICE SRL,autolux.car.service@gmail.com,0745519101,anofm_jobs_20260309_091938_20260314_74c23d98
AUTOMAS GARAGE S.R.L.,salarizare@ifcont.ro,0743959711,anofm_jobs_20260309_091938_20260314_74c23d98
AUTOMED MULTISERV S.R.L.,intermed1991@gmail.com,0767640379,anofm_new_transport_20260314_7ccb1137
AUTOMOTIVE ESSENCE SRL,stefaniacob93@gmail.com,0799195500,anofm_jobs_20260311_083428_20260314_70886e3a
AUTOMOTIVE SERVICE SRL,office@automotiveservice.ro,0753880651,anofm_jobs_20260220_153333_20260314_549f40d5
AUTONEV SERVICE S.R.L.,nazirueugen@yahoo.com,0 722 503 316,anofm_jobs_20260220_153333_20260314_549f40d5
AUTO NIMAR SRL,bogdanb37@yhoo.com,0744921840,anofm_jobs_20260220_153333_20260314_549f40d5
AUTONOVA SA,autonova@autonova.ro,0261769564,anofm_jobs_20260309_091938_20260314_74c23d98
AUTOPRIMA SERV SRL,mirela.dida@autoprimaserv.ro,0740795264,anofm_jobs_20260309_091938_20260314_74c23d98
AUTOPRIM HARY SRL,contabilitate.autoprimhary@yahoo.com,0724181719,anofm_jobs_20260220_153333_20260314_549f40d5
AUTO PRO PAINT SRL,tamasdanut1961@gmail.com,0744121813,anofm_jobs_20260220_153333_20260314_549f40d5
AUTO SERV TEAM MATE,autoservmat@yahoo.com,0722698650,anofm_jobs_20260311_083428_20260314_70886e3a
