company_name,cui,caen_code,caen_description,employees,turnover_ron,email,phone
HORSE ROMANIA S.A.,18699808,2932,Fabricarea autovehiculelor,2586,4696327556,,
ZES ZOLLNER ELECTRONIC SRL,13392550,2790,Echipamente electrice,2477,2347880543,,
PLEXUS SERVICES RO SRL,25153581,2611,Calculatoare si electronice,2406,1907442951,,
COMTIM ROMANIA S.R.L.,13427047,1011,Industria alimentara,2337,1490767383,obalan@comtim.ro,
FAURECIA ROMANIA S.R.L.,15599111,2932,Fabricarea autovehiculelor,2244,1516291851,,
TRANSAVIA SA,5182310,1012,Industria alimentara,2240,1115535761,reception@theodoraclub.ro,
ZOPPAS INDUSTRIES ROMANIA SRL,9710664,2751,Echipamente electrice,2216,959945165,,
ROMAQUA GROUP SA,402911,1107,Fabricarea bauturilor,2193,1181776334,,
AVIVA SRL,13193540,3102,Fabricarea mobilei,2136,566885826,,
SEWS ROMANIA SRL,13276556,2593,Produse metalice,2106,568859254,,
ELIT SRL,14444712,1011,Industria alimentara,2043,832689929,,
DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,13551362,2651,Calculatoare si electronice,1999,488433450,,
AGRICOLA INTERNATIONAL SA,2816014,1012,Industria alimentara,1995,806601725,juridic@agricola.ro,
INDUSTRIES YIELD SRL,34875787,1413,Fabricarea imbracaminte,1911,228623678,,
CAMERON ROMANIA SRL,1323964,2892,Masini si echipamente,1900,2016462972,,
PREH ROMANIA SRL,23932100,2931,Fabricarea autovehiculelor,1894,1201170177,,
AAYLEX ONE S.A.,45303187,1011,Industria alimentara,1848,1094794476,virginia.trifan@aaylex.ro,
DONASID SA,15117182,2420,Industria metalurgica,1827,3770991082,glgroza@tenaris.com,
HIRSCHMANN AUTOMOTIVE TM S.R.L.,21408186,2931,Fabricarea autovehiculelor,1820,784571908,,
MAKITA EU SRL,17549942,2824,Masini si echipamente,1790,2923811494,,
RAAL SA,571163,2932,Fabricarea autovehiculelor,1763,283984194,,
SISTEME DE PRODUCTIE CABLAJE SRL,32753562,2932,Fabricarea autovehiculelor,1756,244718768,,
LA FESTA INTERNATIONAL SRL,3451510,1107,Fabricarea bauturilor,1734,1257254693,,
DRM DRAXLMAIER ROMANIA SISTEME ELECTRICE SRL,11416777,2790,Echipamente electrice,1704,238449484,,
KROMBERG & SCHUBERT ROMANIA ME SRL,17830890,2931,Fabricarea autovehiculelor,1645,368557760,,
MARQUARDT SCHALTSYSTEME SCS,17000722,2790,Echipamente electrice,1641,1344885258,,
EKR-ELEKTROKONTAKT ROMANIA SRL,8983631,2732,Echipamente electrice,1633,191297602,,
CASA NOASTRA S.R.L.,7510066,2223,Cauciuc si mase plastice,1576,588966076,,
DELPHI DIESEL SYSTEMS ROMANIA SRL,22001686,2932,Fabricarea autovehiculelor,1550,1719111461,,
URSUS BREWERIES SA,199095,1105,Fabricarea bauturilor,1533,2820747175,,
STAR ASSEMBLY SRL,31875758,2815,Masini si echipamente,1501,10663054125,,
TRW AIRBAG SYSTEMS SRL,31039965,2932,Fabricarea autovehiculelor,1481,526236892,,
COCA-COLA HBC ROMANIA S.R.L.,474152,1107,Fabricarea bauturilor,1481,4002470239,,
DAR DRAXLMAIER AUTOMOTIVE SRL,26573648,2931,Fabricarea autovehiculelor,1466,1681225346,,
CONTITECH ROMANIA SRL,14397092,2932,Fabricarea autovehiculelor,1456,911761271,,
CELESTICA ( ROMANIA ) SRL,16386391,2620,Calculatoare si electronice,1446,1545540419,,
SOCIETATEA DE REPARATII LOCOMOTIVE C.F.R.- S.C.R.L. BRASOV S.A.,14257595,3317,Repararea masinilor,1412,217213933,,
CAROLI FOODS GROUP SRL,6543790,1013,Industria alimentara,1401,604019945,office@caroli.ro,
ARTIFEX SRL,18096610,1413,Fabricarea imbracaminte,1357,207439169,,
EATON ELECTRO PRODUCTIE SRL,13997714,2712,Echipamente electrice,1279,1417846394,,
SIMEA SIBIU SRL,17830815,2611,Calculatoare si electronice,1260,479555908,,
STABILUS ROMANIA SRL,17375366,2813,Masini si echipamente,1249,919149350,,
PHILIP MORRIS ROMANIA SRL,9465298,1200,Industrie prelucratoare,1223,1037738515,,
CONNECT GROUP ROMANIA S.R.L.,15087723,2612,Calculatoare si electronice,1223,423757382,,
THYSSENKRUPP BILSTEIN S.A.,8497062,2932,Fabricarea autovehiculelor,1220,1171332870,,
HOLCIM (ROMANIA) SA,12253732,2351,Produse minerale nemetalice,1193,2891661290,Petru.Sacalus@holcim.com,
MAHLE Componente de Motor SRL,17133001,2932,Fabricarea autovehiculelor,1149,1084875984,,
ROMCIM S.A.,328750,2351,Produse minerale nemetalice,1125,2159205634,,
KROMBERG & SCHUBERT ROMANIA NA SRL,26610860,2931,Fabricarea autovehiculelor,1111,225238502,,
OMNIA PLAST S.R.L.,24789140,3230,Alte activitati industriale,1107,296554669,,
UNICARM SRL,6531770,1013,Industria alimentara,1091,438751305,,
HEIDELBERG MATERIALS ROMANIA S.A.,10640589,2351,Produse minerale nemetalice,1086,1808112478,crina-steluta.simion@heidelbergmaterials.com,
DTR DRAXLMAIER SISTEME TEHNICE ROMANIA SRL,15371295,1512,Tabacarea pieilor,1055,299356069,,
PRODUCTIE ZARAH MODEN SRL,9877167,1413,Fabricarea imbracaminte,1045,138212742,,
METAPLAST SRL,18636,2229,Cauciuc si mase plastice,1023,406059606,,
PREMIUM AEROTEC SRL,25932794,3030,Industrie prelucratoare,1003,617892004,,
AZOMURES SA,1200490,2015,Fabricarea substantelor chimice,1001,1570834880,,
BOROMIR IND SRL,6334476,1061,Industria alimentara,999,528238299,secretariat.deva@boromir.ro,
BRAU-UNION ROMANIA SA,13240781,1105,Fabricarea bauturilor,997,1665697194,,
ALKA TRADING CO SRL,9415443,1072,Industria alimentara,990,545782063,lili.clinciu@alkaco.com,
AVICARVIL SRL,18658662,1012,Industria alimentara,984,827818228,marinica.batoanca@carmistin.ro,
YAZAKI COMPONENT TECHNOLOGY SRL,15781880,2931,Fabricarea autovehiculelor,984,572885824,,
GST SAFETY TEXTILES RO SRL,32039122,1320,Fabricarea prod textile,983,475702036,,
COMPANIA NATIONALA ROMARM S.A. BUCURESTI FILIALA SOCIETATEA UZINA MECANICA CUGIR S.A.,1769224,2540,Produse metalice,982,115117818,,
ALDIS SRL,1928648,1013,Industria alimentara,978,453148346,pensiuneaada@aldis1990.ro,
PLIMOB SA,2215286,3109,Fabricarea mobilei,964,212649957,,
BRITISH - AMERICAN TOBACCO ROMANIA INVESTMENT SRL,7095210,1200,Industrie prelucratoare,955,540629869,,
ADIENT SRL,35590826,2932,Fabricarea autovehiculelor,949,853210545,,
STAR TRANSMISSION SRL,14179039,2932,Fabricarea autovehiculelor,948,444401410,,
COTTONTEX SRL,3977817,1413,Fabricarea imbracaminte,947,157106071,,
FOX COM SERV SRL,3750511,1013,Industria alimentara,946,527224971,,
HUF ROMANIA SRL,18704025,2572,Produse metalice,912,760377195,,
HONEYWELL LIFE SAFETY ROMANIA SRL,3485911,2790,Echipamente electrice,908,627099081,,
SUN GARDEN ROMANIA SRL,14936502,1392,Fabricarea prod textile,897,1272512620,,
SANTIERUL NAVAL CONSTANTA SA,1879871,3011,Industrie prelucratoare,894,101491698,,
TERAPIA HOLDING SA,15357398,2120,Industrie prelucratoare,891,1360928769,,
CER CLEANING EQUIPMENT SRL,19306966,2751,Echipamente electrice,879,1189666836,,
SOCIETATEA INTRETINERE SI REPARATII LOCOMOTIVE SI UTILAJE - C.F.R. IRLU S.A.,14300920,3317,Repararea masinilor,876,89341217,,
LA FANTANA SRL,35534516,1107,Fabricarea bauturilor,865,302301945,,
WEIDMULLER INTERFACE ROMANIA SRL,17050356,2790,Echipamente electrice,856,290132997,,
EUROPEAN FOOD INTERNATIONAL S.R.L.,46325965,1072,Industria alimentara,852,297187436,,
KOBER SRL,2005144,2030,Fabricarea substantelor chimice,851,568113680,,
EGGER ROMANIA SRL,16136689,1621,Prelucrarea lemnului,843,2141346514,,
HARTING ROMANIA MANUFACTURING SCS,15486112,2611,Calculatoare si electronice,842,442412105,,
CONFIND SRL,1324099,2511,Produse metalice,838,239675083,,
NIMET SRL,18048079,2410,Industria metalurgica,824,540544333,,
KASTAMONU ROMANIA SA,1235668,1610,Prelucrarea lemnului,823,738968701,,
IRIS SERVICE CIUC SA,527397,3109,Fabricarea mobilei,823,143638978,,
ALSTOM TRANSPORT SA,6640696,3020,Industrie prelucratoare,823,752102356,,
FORMENS SRL,12153083,1413,Fabricarea imbracaminte,816,301456215,,
BEKAERT SLATINA SRL,16733008,2593,Produse metalice,816,568765560,,
BENCHMARK ELECTRONICS ROMANIA SRL,16023191,2620,Calculatoare si electronice,815,662878324,,
ELIS PAVAJE SRL,1771593,2361,Produse minerale nemetalice,814,526034714,ioanburja@elis.ro,
ECKERLE AUTOMOTIVE SRL,15154407,2931,Fabricarea autovehiculelor,808,265499209,,
SNR RULMENTI SRL,15327001,2815,Masini si echipamente,808,201751857,,
BADER ROMANIA S.R.L.,16853918,1392,Fabricarea prod textile,805,297094673,,
TEXTILE MEDICALE SRL,17114417,3250,Alte activitati industriale,802,265181457,,
PANDORA PROD SRL,6704285,1413,Fabricarea imbracaminte,782,218513991,,
ELBA SA,1816318,2740,Echipamente electrice,776,309099423,,
ANA & CORNEL SRL,5878224,1011,Industria alimentara,774,283367208,office@anacornel.ro,
CHIPITA ROMANIA SRL,11190423,1072,Industria alimentara,773,167699133,,
DIANA SRL,2540090,1013,Industria alimentara,773,474920929,recrutare@diana.com.ro,
SARMAS INTERNATIONAL MOBILA / S.I.M. SRL,6416487,3109,Fabricarea mobilei,772,215101823,,
SCANDIA FOOD SRL,16070576,1013,Industria alimentara,771,426732992,office@scandia.ro,+40703374318
COMPANIA NATIONALA ROMARM S.A. BUCURESTI FILIALA SOCIETATEA FABRICA DE ARME CUGIR S.A.,16368506,2540,Produse metalice,769,48576751,,
FUJIKURA AUTOMOTIVE ROMANIA SRL,14297530,2931,Fabricarea autovehiculelor,758,100079953,,
JAEGGI INDUSTRIES SRL,32214983,2825,Masini si echipamente,752,403097017,,
"BONATTI S.p.a. PARMA, SUCURSALA BUCURESTI",33446663,3312,Repararea masinilor,747,207765581,,
SUMIDA ROMANIA SRL,10441497,2611,Calculatoare si electronice,737,220639838,,
TIMKEN ROMANIA SA,3196778,2815,Masini si echipamente,735,465949267,,
SAINT-GOBAIN CONSTRUCTION PRODUCTS ROMANIA SRL,6194577,2362,Produse minerale nemetalice,732,864096537,,
BILKA STEEL SRL,21520278,2550,Produse metalice,730,1400888657,,
FARMEC SA,199150,2042,Fabricarea substantelor chimice,728,403496654,,
ROMBAT SA,564638,2720,Echipamente electrice,721,615548503,,
GRUPO ANTOLIN SIBIU SRL,22946116,2740,Echipamente electrice,721,643524286,,
LEMET SRL,1323280,3109,Fabricarea mobilei,713,192304784,,
GLORIOUS LIGHTING SRL,37228866,2740,Echipamente electrice,712,143984815,,
KRONOSPAN TRADING SRL,11894313,1621,Prelucrarea lemnului,711,2222799929,,
MEDA PROD 98 SA,10374339,1013,Industria alimentara,710,317653249,office@medaprod.ro,+40212561190
SOMAREST SRL,14252261,1512,Tabacarea pieilor,707,394110026,,
DUAL BORGSTENA TRIM ROMANIA S.R.L.,26873696,1396,Fabricarea prod textile,705,446729549,,
SIMIZ FASHION SRL,33424193,1413,Fabricarea imbracaminte,701,183489788,,
HS BACO PANELS S.R.L.,12447070,1621,Prelucrarea lemnului,698,303918678,baco@hs.ro,
VIMERCATI EAST EUROPE SRL,22916476,2932,Fabricarea autovehiculelor,697,315541484,,
MONDIAL SA,1844334,2342,Produse minerale nemetalice,695,262106514,,
CUMMINS GENERATOR TECHNOLOGIES ROMANIA SA,12459849,2711,Echipamente electrice,692,1050046668,,
ELDON SRL,18878617,2733,Echipamente electrice,692,394092240,,
FRIGOGLASS ROMANIA SRL,6469724,2825,Masini si echipamente,679,541204483,,
ICME ECAB SA,11703669,2732,Echipamente electrice,676,1365042691,,
FAIST MEKATRONIC SRL,17506160,2453,Industria metalurgica,673,231197192,,
NOBEL AUTOMOTIVE ROMANIA SRL,23864383,2932,Fabricarea autovehiculelor,669,242335369,,
SOMACO GRUP PREFABRICATE SRL,22424341,2361,Produse minerale nemetalice,669,276068340,amalia.sobec@holcim.com,
BOS AUTOMOTIVE PRODUCTS ROMANIA SCS,14300172,2932,Fabricarea autovehiculelor,668,430196390,,
VERNICOLOR S.A.,18720420,2229,Cauciuc si mase plastice,663,220733215,,
REKORD SRL,6698930,1520,Tabacarea pieilor,653,207809498,,
HARTING RO AUTOMOTIVE SRL,35487163,2931,Fabricarea autovehiculelor,649,357479852,,
TMD FRICTION ROMANIA SRL,19157333,2932,Fabricarea autovehiculelor,643,390159816,,
MUSETTE EXIM SRL,2443,1520,Tabacarea pieilor,636,132313841,,
GIC NOSAG METAL SRL,16939009,2550,Produse metalice,633,475175998,,
BRIO GROUP SRL,18697025,1071,Industria alimentara,629,114371034,hr@simigeriapetru.ro,
FLOREA GRUP SRL,8273278,2363,Produse minerale nemetalice,627,282242352,nicadan70@yahoo.com,
METEOR ROMANIA S.R.L.,38298088,2219,Cauciuc si mase plastice,626,208837731,,
OTELINOX SA,921641,2410,Industria metalurgica,624,271484509,,
TRICO RO S.R.L.,34464692,2932,Fabricarea autovehiculelor,620,351213274,,
UNILEVER ROMANIA SA,11894259,2041,Fabricarea substantelor chimice,612,186759537,,
CICOR ROMANIA S.R.L.,14566850,2612,Calculatoare si electronice,612,445592175,,
ELECTROLUX ROMANIA SA,2385817,2751,Echipamente electrice,610,1064082508,,
AMBRO SA,2691530,1712,Fabricarea hartiei,605,429742192,,
BUNGE ROMANIA SRL,16791351,1041,Industria alimentara,603,2742705444,,
GARRETT MOTION ROMANIA S.R.L.,9472341,2932,Fabricarea autovehiculelor,603,219465970,,
GEDEON RICHTER ROMANIA SA,1200929,2120,Industrie prelucratoare,600,331526717,,
"SOCIETATEA ""UZINA MECANICA SADU"" SA FILIALA A COMPANIEI NATIONALE ""ROMARM""   S.A.",14373832,2540,Produse metalice,600,33792150,,
SECUIANA SA,3667158,1413,Fabricarea imbracaminte,598,47528846,,
ITALSOFA ROMANIA SRL,13807330,3103,Fabricarea mobilei,597,225356037,,
DONALAM SRL,18277250,2410,Industria metalurgica,596,799437091,,
SOCIETATEA NATIONALA ROMARM BUCURESTI SA SUCURSALA MIJA,2978636,2540,Produse metalice,593,197242100,,
JT INTERNATIONAL MANUFACTURING SA,4364012,1200,Industrie prelucratoare,590,1606042532,,
ODLO ROMANIA SRL,15280138,1413,Fabricarea imbracaminte,589,125304381,,
SAINT-GOBAIN GLASS ROMANIA SRL,11882475,2311,Produse minerale nemetalice,587,913619763,,
MOPAN SUCEAVA S.A.,34874331,1061,Industria alimentara,586,115471764,racovahotel@yahoo.com,
PANEMAR MORARIT SI PANIFICATIE SRL,4844886,1071,Industria alimentara,584,138907472,,
"SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT ""SMART"" S.A.",14232728,3314,Repararea masinilor,580,105927103,anca.dulgheru@smart-b.ro,
2 CONNECT ROMANIA SRL,15598248,2732,Echipamente electrice,579,131700384,,
LIDAS SRL,4611791,1071,Industria alimentara,577,186000082,,
POLIPOL MOBILA SRL,17367592,3109,Fabricarea mobilei,575,158732629,,
FERMADOR SRL,6550631,1012,Industria alimentara,568,248918201,,
TECSA BUSINESS SRL,9864639,1072,Industria alimentara,566,136802357,office@tecsa.ro,
EMAILUL SA,803115,2599,Produse metalice,565,91700630,,
PEHART TEC GRUP S.R.L.,17736215,1712,Fabricarea hartiei,561,800850151,,
ROMPHARM COMPANY SRL,14399646,2110,Industrie prelucratoare,559,362890445,,
INDUSTRIALIZAREA CARNII (KOSAROM) SA,1997087,1011,Industria alimentara,559,251036454,,
HUTCHINSON SRL,18420074,2219,Cauciuc si mase plastice,556,476736388,,
S.T.I. INTERNATIONAL SRL,11328918,1512,Tabacarea pieilor,553,54611503,,
REVA S.A.,2150217,3020,Industrie prelucratoare,553,140541618,,
NUCLEARELECTRICA SERV S.R.L.,45374854,3312,Repararea masinilor,551,60423135,,
DETERGENTI SA,7759807,2042,Fabricarea substantelor chimice,548,326929906,,
SAFIR SRL,822044,1012,Industria alimentara,546,320677266,tudorache878@yahoo.com,
ECOLOR SRL,15298771,3109,Fabricarea mobilei,545,431231899,,
ARCELORMITTAL HUNEDOARA SA,2126855,2410,Industria metalurgica,545,511583777,,
PUREM ORADEA S.R.L.,35351080,2932,Fabricarea autovehiculelor,543,2144202877,,
STEINEL ELECTRONIC SRL,25619860,2611,Calculatoare si electronice,540,395080985,,
BARRIER S.R.L.,32169190,2223,Cauciuc si mase plastice,539,193300528,,
NIDEC ORADEA SRL,30997641,2825,Masini si echipamente,535,168750386,,
ADA FABRICA DE MOBILA SRL,16957137,3109,Fabricarea mobilei,534,178681089,,
ROMAERO SA,1576401,3030,Industrie prelucratoare,532,54995755,,
ODU ROMANIA MANUFACTURING SRL,18337190,2733,Echipamente electrice,532,345918295,,
PLASTOR SA,54744,2229,Cauciuc si mase plastice,531,161645779,,
OPTIBELT POWER TRANSMISSION SRL,19210011,2219,Cauciuc si mase plastice,530,352529577,,
EURO AUTO PLASTIC SYSTEMS SRL,14829190,2932,Fabricarea autovehiculelor,529,643757145,,
OPTIMEDIA SRL,6576828,2223,Cauciuc si mase plastice,528,331274079,,
SWOBODA SIBIU S.R.L.,16590145,2932,Fabricarea autovehiculelor,527,311751953,,
AMER SPORTS RO S.R.L.,42090971,3230,Alte activitati industriale,527,239012324,,
RONDOCARTON SRL,10208549,1721,Fabricarea hartiei,526,648266614,,
LA LORRAINE SRL,24232806,1071,Industria alimentara,525,495983645,an.sturza@llbg.com,
RAFFAELLO SHOES FACTORY SRL,26268253,1520,Tabacarea pieilor,523,247246878,,
KABLUTRONIK S.R.L.,19378539,2790,Echipamente electrice,522,175004517,,
DOMIDENE COM SRL,1310662,1011,Industria alimentara,522,196547786,,
IPEC SA,6698299,2341,Produse minerale nemetalice,521,135762366,,
ETI EUROPEAN FOOD INDUSTRIES S.A.,32187285,1072,Industria alimentara,516,294639349,,
TROTUSTEX SRL,24498175,1412,Fabricarea imbracaminte,515,50908021,,
LEGERO SHOES ROMANIA SRL,13262178,1520,Tabacarea pieilor,512,232309029,,
DR. OETKER RO SRL,4227295,1089,Industria alimentara,508,480700727,,
DELTA INVEST SRL,6834374,2229,Cauciuc si mase plastice,506,271680291,,
KRONOSPAN TIMBER SEBES S.R.L.,45417718,1610,Prelucrarea lemnului,506,722254487,raluca.gota@ziegler.global,
SOFTRONIC SRL,11492278,3020,Industrie prelucratoare,506,206132122,,
MILBRO TEXTILE SRL,15479425,1413,Fabricarea imbracaminte,503,100050890,,
SYMMETRICA SRL,6552535,2361,Produse minerale nemetalice,499,316866171,,
TIP TOP FOOD INDUSTRY SRL,3900317,1072,Industria alimentara,498,244866856,,
SORTILEMN SA,199745,3109,Fabricarea mobilei,496,149716178,,
RIFIL SA,2050285,1310,Fabricarea prod textile,495,233357013,,
VELTA PROD SRL,30518668,1107,Fabricarea bauturilor,494,274149090,,
PRINTMASTERS SRL,23013450,1812,Industrie prelucratoare,493,79880510,,
ESSEGI TEX SRL,11144672,1413,Fabricarea imbracaminte,492,73097337,,
PHOENIXY SRL,1349786,1072,Industria alimentara,491,222568764,office@phoenixaparthotel.ro,
ARTERIMPEX SRL,6832896,1011,Industria alimentara,490,167540452,office@areohotel.ro,
EXPUR SA,2091480,1041,Industria alimentara,488,1801346907,recrutare@expur.ro,
NICPREM IMPEX SRL,6024769,2229,Cauciuc si mase plastice,487,94590902,,
FOMMA EURO CASTING SRL,17045325,2453,Industria metalurgica,487,225707146,,
ELECTROPUTERE VFU PASCANI S.A.,1996928,3020,Industrie prelucratoare,485,129532175,,
I.A.M.U. SA,1766830,2841,Masini si echipamente,485,94469651,,
MOARA CIBIN SA,785205,1061,Industria alimentara,483,242205987,,
ALPIN 57 LUX S.R.L.,5900631,1052,Industria alimentara,481,153438554,,
CONFECTII BIRLAD SA,2808208,1414,Fabricarea imbracaminte,481,44797525,,
COATS ROMANIA SRL,15075613,1330,Fabricarea prod textile,476,226981115,,
DBI GLOBAL SUPPLY CHAIN ROMANIA S.R.L.,12425340,1414,Fabricarea imbracaminte,476,211666487,,
COOPER INDUSTRIES ROMANIA SRL,26322417,2790,Echipamente electrice,476,560009268,,
HS TIMBER PRODUCTIONS RECI S.R.L.,35369656,1610,Prelucrarea lemnului,476,877560342,,
DUCTIL SA,1154610,2593,Produse metalice,476,498960583,,
CIKAUTXO RO RUBBER & PLASTIC SRL,29595845,2219,Cauciuc si mase plastice,474,229846415,,
HOCHLAND ROMANIA SRL,10666988,1051,Industria alimentara,473,934872422,,
INTERSNACK ROMANIA SRL,10334547,1031,Industria alimentara,473,727035922,,
BARLINEK ROMANIA SA,5444241,1610,Prelucrarea lemnului,472,236116901,,
ABATORUL PERIS S.A.,40890617,1011,Industria alimentara,472,606383838,,
FABRICA DE LAPTE BRASOV S.A.,12342767,1051,Industria alimentara,469,891185255,c.filip@hellenicdairies.com,
PRESTMAR NAVAL SRL,32124953,3011,Industrie prelucratoare,469,103647305,,
HIPIC PROD IMPEX SRL,6760960,1512,Tabacarea pieilor,468,82850305,,
ARTEMOB INTERNATIONAL SRL,8102405,3109,Fabricarea mobilei,468,85790200,,
COMPANIA NATIONALA ROMARM SA BUCURESTI FILIALA SOCIETATEA CARFIL S.A.,13945863,2540,Produse metalice,467,214995250,,
STERK PLAST SRL,13330736,2229,Cauciuc si mase plastice,467,159379291,,
DOLY-COM DISTRIBUTIE SRL,34495770,1011,Industria alimentara,467,526311335,office@dolycom.ro,
DESLEECLAMA SOLUTIONS SRL,28244668,1392,Fabricarea prod textile,467,115512267,,
LIVINGJUMBO INDUSTRY SA,14419107,2222,Cauciuc si mase plastice,466,109272489,,
ELEMASTER ELECTRONIC TECHNOLOGIES RO S.R.L.,13891895,2620,Calculatoare si electronice,466,239181800,,
TASAR DESIGN SRL,18868230,1413,Fabricarea imbracaminte,464,29024671,,
LLOYD SHOES ROMANIA SRL,13398367,1520,Tabacarea pieilor,462,152682837,,
FERMA ZOOTEHNICA SRL,4949971,1013,Industria alimentara,459,261951312,,
PADERTEG KABELTECHNIK S.R.L.,16666634,2732,Echipamente electrice,457,83360150,,
SPORT MECHANICAL WORKSHOP SRL,36321001,3092,Industrie prelucratoare,454,154140306,,
SEVERNAV SA,1606030,3011,Industrie prelucratoare,454,109079563,,
DOBROGEA PANIFICATIE S.R.L.,46452837,1071,Industria alimentara,448,103789574,,
ALBALACT SA,1755369,1051,Industria alimentara,447,1347202891,,
INFOMED FLUIDS SRL,16674718,2120,Industrie prelucratoare,447,327253187,,
BIANCOSPINO SRL,11261435,1413,Fabricarea imbracaminte,445,75711059,,
GLOBAL LEATHER SUPPLIER SRL,32666334,2932,Fabricarea autovehiculelor,445,139886913,,
CLASS FURN ROMANIA SRL,11080820,3109,Fabricarea mobilei,444,173232226,,
SW UMWELTTECHNIK ROMANIA SRL,14019933,2361,Produse minerale nemetalice,444,258704469,,
C I A ABOLIV SRL,2872537,1013,Industria alimentara,441,263414119,,
CONVENIENCE PROD SRL,16012192,1013,Industria alimentara,441,384164975,,
EBM - PAPST AUTOMOTIVE & DRIVES ROMANIA S.R.L.,38458677,2711,Echipamente electrice,440,344091455,"info@ro.ebmpapst.com, florina.fofiu@ro.ebmpast.com",
SAINT-GOBAIN PRIME GLASS WORKING S.R.L.,13187360,2312,Produse minerale nemetalice,440,173671248,,
AKWEL TIMISOARA ROMANIA S.R.L.,17411485,2932,Fabricarea autovehiculelor,439,313371588,,
CONFECTII INTEGRATE MOLDOVA SRL,16695397,1413,Fabricarea imbracaminte,439,38454655,,
NADENKA SRL,33624655,1071,Industria alimentara,437,83696398,,
SFC SOLUTIONS CLIMATE ROMANIA S.R.L.,40135457,2932,Fabricarea autovehiculelor,437,210612708,,
BONA AVIS SRL,15290646,1012,Industria alimentara,437,211556356,,
LOSAN ROMANIA SRL,11452974,1621,Prelucrarea lemnului,436,147181320,,
MECHROM INDUSTRY SRL,16917876,3092,Industrie prelucratoare,436,213907405,,
ALCONOR COMPANY SRL,12381480,1092,Industria alimentara,435,316199751,hr@alconor.ro,
GENERAL AGRO COM SERVICE SRL,5288797,1013,Industria alimentara,432,234527375,,
CONTEC FOODS SRL,14041515,1039,Industria alimentara,432,200949419,carmen@contec.ro,
KANDIA DULCE SA,401703,1082,Industria alimentara,431,258175977,,
AGRII ROMANIA S.R.L.,1827872,2020,Fabricarea substantelor chimice,430,1178655942,,
PRUTUL SA,1632862,1041,Industria alimentara,429,901910315,,
TAPARO SA,17048267,3109,Fabricarea mobilei,427,174654895,,
GDS MANUFACTURING SERVICES SA,16083118,2630,Calculatoare si electronice,425,83596847,,
TEXMO BLANK ROMANIA S.R.L.,17078810,2932,Fabricarea autovehiculelor,424,64424438,,
LABORATOARELE FARES BIO VITAL SRL,13271346,1083,Industria alimentara,423,104275722,,
ACELLUM SRL,9881192,1520,Tabacarea pieilor,421,43931084,,
