name,cui,caen,emp,turnover,email,phone,source_table
SEWS ROMANIA SRL,13276556,25,2106,568859254,officedeva@sews-e.com,054206600,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELIT SRL,14444712,10,2043,832689929,recrutare.elit@elitcugir.ro,0737466103,anofm_jobs_20260220_153333_20260314_549f40d5
DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,13551362,26,1999,488433450,,,
DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,13551362,26,1999,488433450,,,
DPR DRAXLMAIER PROCESE DE PRODUCTIE ROMANIA SRL,13551362,26,1999,488433450,,,
AGRICOLA INTERNATIONAL SA,2816014,10,1995,806601725,,,
INDUSTRIES YIELD SRL,34875787,14,1911,228623678,info.hr@moncler.com,0799.111020,anofm_jobs_20260220_153333_20260314_549f40d5
INDUSTRIES YIELD SRL,34875787,14,1911,228623678,info.hr@moncler.com,0799.111020,anofm_jobs_20260220_153333_20260314_549f40d5
CAMERON ROMANIA SRL,1323964,28,1900,2016462972,,,
PREH ROMANIA SRL,23932100,29,1894,1201170177,,,
PREH ROMANIA SRL,23932100,29,1894,1201170177,,,
AAYLEX ONE S.A.,45303187,10,1848,1094794476,,,
DONASID SA,15117182,24,1827,3770991082,,,
SILCOTUB SA,15117182,24,1827,3770991082,,,
HIRSCHMANN AUTOMOTIVE TM S.R.L.,21408186,29,1820,784571908,,,
MAKITA EU SRL,17549942,28,1790,2923811494,m.iacob@mmrmakita.eu,0212000121,anofm_new_productie_20260314_40b9f91f
RAAL SA,571163,29,1763,283984194,resurse.umane@raal.ro,0263/238210,anofm_jobs_20260220_153333_20260314_549f40d5
SISTEME DE PRODUCTIE CABLAJE SRL,32753562,29,1756,244718768,,,
MASPEX ROMANIA  SRL,3451510,11,1734,1257254693,c.dimian@maspex.ro,0374124057,anofm_jobs_20260220_153333_20260314_549f40d5
LA FESTA INTERNATIONAL SRL,3451510,11,1734,1257254693,,,
LA FESTA INTERNATIONAL SRL,3451510,11,1734,1257254693,,,
DRM DRAXLMAIER ROMANIA SISTEME ELECTRICE SRL,11416777,27,1704,238449484,luminita.sabau@draexlmaier.com,0261/706100,anofm_jobs_20260220_153333_20260314_549f40d5
KROMBERG & SCHUBERT ROMANIA ME SRL,17830890,29,1645,368557760,,,
MARQUARDT SCHALTSYSTEME SCS,17000722,27,1641,1344885258,,,
EKR-ELEKTROKONTAKT ROMANIA SRL,8983631,27,1633,191297602,,,
CASA NOASTRA S.R.L.,7510066,22,1576,588966076,hr@casanoastra.ro,0728286600,anofm_jobs_20260220_153333_20260314_549f40d5
PHINIA DELPHI ROMANIA S.R.L.,22001686,29,1550,1719111461,,,
DELPHI DIESEL SYSTEMS ROMANIA SRL,22001686,29,1550,1719111461,,,
URSUS BREWERIES SA,199095,11,1533,2820747175,ion-nicolae.manea@asahibeer.ro,0726758932,anofm_jobs_20260220_153333_20260314_549f40d5
URSUS BREWERIES SA,199095,11,1533,2820747175,ion-nicolae.manea@asahibeer.ro,0726758932,anofm_jobs_20260220_153333_20260314_549f40d5
STAR ASSEMBLY SRL,31875758,28,1501,10663054125,,,
COCA-COLA HBC ROMANIA S.R.L.,474152,11,1481,4002470239,,,
Coca-Cola HBC Romania SRL,474152,11,1481,4002470239,,,
TRW AIRBAG SYSTEMS SRL,31039965,29,1481,526236892,,,
TRW AIRBAG SYSTEMS SRL,31039965,29,1481,526236892,,,
COCA-COLA HBC ROMANIA SRL,474152,11,1481,4002470239,,,
DAR DRAXLMAIER AUTOMOTIVE SRL,26573648,29,1466,1681225346,raluca-georgiana.manea@draexlmaier.com,+40356733774,anofm_jobs_20260220_153333_20260314_549f40d5
CONTITECH ROMANIA SRL,14397092,29,1456,911761271,,,
CELESTICA ( ROMANIA ) SRL,16386391,26,1446,1545540419,,,
CELESTICA ( ROMANIA ) SRL,16386391,26,1446,1545540419,,,
SOCIETATEA DE REPARATII LOCOMOTIVE C.F.R.- S.C.R.L. BRASOV S.A.,14257595,33,1412,217213933,,,
CAROLI FOODS GROUP SRL,6543790,10,1401,604019945,,,
T C AFFAIRES SRL,6543790,10,1401,604019945,,,
ARTIFEX SRL,18096610,14,1357,207439169,,,
EATON ELECTRO PRODUCTIE SRL,13997714,27,1279,1417846394,,,
SIMEA SIBIU SRL,17830815,26,1260,479555908,loredana.gata@siemens.com,0369130518,anofm_jobs_20260220_153333_20260314_549f40d5
STABILUS ROMANIA SRL,17375366,28,1249,919149350,monea@stabilus.com,+40372384235,romania_food_distribution_contacts_20260314_97f4a0d3
STABILUS ROMANIA SRL,17375366,28,1249,919149350,monea@stabilus.com,+40372384235,romania_food_distribution_contacts_20260314_97f4a0d3
PHILIP MORRIS ROMANIA SRL,9465298,12,1223,1037738515,,,
PHILIP MORRIS ROMANIA SRL,9465298,12,1223,1037738515,,,
CONNECT GROUP ROMANIA S.R.L.,15087723,26,1223,423757382,,,
THYSSENKRUPP BILSTEIN S.A.,8497062,29,1220,1171332870,,,
Holcim (Romania) SA,12253732,23,1193,2891661290,,,
HOLCIM (ROMANIA) SA,12253732,23,1193,2891661290,,,
MAHLE Componente de Motor SRL,17133001,29,1149,1084875984,,,
MAHLE COMPONENTE DE MOTOR SRL,17133001,29,1149,1084875984,,,
ROMCIM S.A.,328750,23,1125,2159205634,resurse.umane@romcim.ro,0213075200,anofm_jobs_20260220_153333_20260314_549f40d5
KROMBERG & SCHUBERT ROMANIA NA SRL,26610860,29,1111,225238502,office@ksrona.kroschu.com,0257307101,anofm_5_30pos_older_than_30_days_20260314_66bc9356
OMNIA PLAST S.R.L.,24789140,32,1107,296554669,,,
OMNIA PLAST SRL,24789140,32,1107,296554669,,,
UNICARM SRL,6531770,10,1091,438751305,bogdan.ilies@unicarm.ro,0755030084,anofm_jobs_20260220_153333_20260314_549f40d5
HEIDELBERG MATERIALS ROMANIA S.A.,10640589,23,1086,1808112478,,,
DTR DRAXLMAIER SISTEME TEHNICE ROMANIA SRL,15371295,15,1055,299356069,,,
PRODUCTIE ZARAH MODEN SRL,9877167,14,1045,138212742,,,
METAPLAST SRL,18636,22,1023,406059606,,,
AIRBUS AEROSTRUCTURES S.R.L.,25932794,30,1003,617892004,,,
PREMIUM AEROTEC SRL,25932794,30,1003,617892004,,,
AZOMURES SA,1200490,20,1001,1570834880,,,
BOROMIR IND SRL,6334476,10,999,528238299,secretariat.deva@boromir.ro,0740115222,anofm_jobs_20260220_153333_20260314_549f40d5
BRAU-UNION ROMANIA SA,13240781,11,997,1665697194,,,
HEINEKEN ROMANIA SA,13240781,11,997,1665697194,,,
ALKA TRADING CO SRL,9415443,10,990,545782063,lili.clinciu@alkaco.com,+40 729 154 229,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AVICARVIL SRL,18658662,10,984,827818228,,,
YAZAKI COMPONENT TECHNOLOGY SRL,15781880,29,984,572885824,,,
AVICARVIL SRL,18658662,10,984,827818228,,,
GST SAFETY TEXTILES RO SRL,32039122,13,983,475702036,georgea.abrdan@gst-global.com,0265774550,anofm_jobs_20260309_091938_20260314_74c23d98
COMPANIA NATIONALA ROMARM S.A. BUCURESTI FILIALA SOCIETATEA UZINA MECANICA CUGIR S.A.,1769224,25,982,115117818,office@umcugir.ro,0258751991,anofm_new_alte_20260314_0cf00e61
ALDIS SRL,1928648,10,978,453148346,,,
PLIMOB SA,2215286,31,964,212649957,pontos.arabela@plimob.ro,0758067149,anofm_jobs_20260220_153333_20260314_549f40d5
BRITISH - AMERICAN TOBACCO ROMANIA INVESTMENT SRL,7095210,12,955,540629869,,,
BRITISH - AMERICAN TOBACCO (ROMANIA) INVESTMENT SRL,7095210,12,955,540629869,,,
ADIENT SRL,35590826,29,949,853210545,,,
STAR TRANSMISSION SRL,14179039,29,948,444401410,,,
COTTONTEX SRL,3977817,14,947,157106071,,,
FOX COM SERV SRL,3750511,10,946,527224971,,,
HUF ROMANIA SRL,18704025,25,912,760377195,,,
HONEYWELL LIFE SAFETY ROMANIA SRL,3485911,27,908,627099081,,,
SUN GARDEN MANAGEMENT SOCIETATE IN COMANDITA SIMPLA,14936502,13,897,1272512620,,,
SUN GARDEN ROMANIA SRL,14936502,13,897,1272512620,,,
SANTIERUL NAVAL CONSTANTA SA,1879871,30,894,101491698,office@snc.ro,0241/505174,anofm_5_30pos_older_than_30_days_20260314_66bc9356
TERAPIA SA,15357398,21,891,1360928769,,,
TERAPIA HOLDING SA,15357398,21,891,1360928769,,,
CER CLEANING EQUIPMENT SRL,19306966,27,879,1189666836,,,
SOCIETATEA INTRETINERE SI REPARATII LOCOMOTIVE SI UTILAJE - C.F.R. IRLU S.A.,14300920,33,876,89341217,,,
LA FANTANA SRL,35534516,11,865,302301945,,,
WEIDMULLER INTERFACE ROMANIA SRL,17050356,27,856,290132997,,,
WEIDMULLER INTERFACE ROMANIA SRL,17050356,27,856,290132997,,,
EUROPEAN FOOD INTERNATIONAL S.R.L.,46325965,10,852,297187436,macrina.mester@europeanfood.ro,0731890699,anofm_5_30pos_older_than_30_days_20260314_66bc9356
KOBER SRL,2005144,20,851,568113680,,,
EGGER Romania SRL,16136689,16,843,2141346514,,,
EGGER ROMANIA SRL,16136689,16,843,2141346514,,,
HARTING ROMANIA MANUFACTURING SCS,15486112,26,842,442412105,,,
CONFIND SRL,1324099,25,838,239675083,,,
AGRICOST SRL,14327160,11,834,653542913,,,
AGRICOST S.A.,14327160,11,834,653542913,,,
NIMET SRL,18048079,24,824,540544333,,,
KASTAMONU ROMANIA SA,1235668,16,823,738968701,resurse.umane@kastamonu.ro,0725349525,anofm_jobs_20260220_153333_20260314_549f40d5
ALSTOM TRANSPORT SA,6640696,30,823,752102356,,,
IRIS SERVICE CIUC SA,527397,31,823,143638978,personal@irislemn.ro,0266/317700,anofm_jobs_20260220_153333_20260314_549f40d5
FORMENS SRL,12153083,14,816,301456215,,,
BEKAERT SLATINA SRL,16733008,25,816,568765560,,,
BENCHMARK ELECTRONICS ROMANIA SRL,16023191,26,815,662878324,,,
ELIS PAVAJE SRL,1771593,23,814,526034714,ioanburja@elis.ro,0258743682,anofm_jobs_20260220_153333_20260314_549f40d5
SNR RULMENTI SRL,15327001,28,808,201751857,,,
ECKERLE AUTOMOTIVE SRL,15154407,29,808,265499209,ioana.andreiu@ro.eckerle-gruppe.com,0725915171,anofm_5_30pos_older_than_30_days_20260314_66bc9356
NTN-SNR RULMENTI SRL,15327001,28,808,201751857,,,
BADER ROMANIA S.R.L.,16853918,13,805,297094673,,,
TEXTILE MEDICALE SRL,17114417,32,802,265181457,,,
PANDORA PROD SRL,6704285,14,782,218513991,,,
ELBA SA,1816318,27,776,309099423,,,
ANA & CORNEL SRL,5878224,10,774,283367208,office@carnia.ro,0244250966,anofm_jobs_20260309_091938_20260314_74c23d98
MONDELEZ ROMANIA SNACKS PRODUCTION S.R.L.,11190423,10,773,167699133,,,
DIANA SRL,2540090,10,773,474920929,,,
CHIPITA ROMANIA SRL,11190423,10,773,167699133,,,
SARMAS INTERNATIONAL MOBILA / S.I.M. SRL,6416487,31,772,215101823,,,
PGS SOFA & CO SRL,6416487,31,772,215101823,,,
SCANDIA FOOD SRL,16070576,10,771,426732992,resurseumane@scandia.ro,0269208600,anofm_jobs_20260220_153333_20260314_549f40d5
COMPANIA NATIONALA ROMARM S.A. BUCURESTI FILIALA SOCIETATEA FABRICA DE ARME CUGIR S.A.,16368506,25,769,48576751,,,
FUJIKURA AUTOMOTIVE ROMANIA SRL,14297530,29,758,100079953,,,
ECO URBIS CRAIOVA S.R.L.,7403230,11,753,70803167,,,
JAEGGI INDUSTRIES SRL,32214983,28,752,403097017,stefana.geleriu@guentner.com,0369101974   ,anofm_jobs_20260220_153333_20260314_549f40d5
BONATTI S.p.a. PARMA, SUCURSALA BUCURESTI,33446663,33,747,207765581,,,
SUMIDA ROMANIA SRL,10441497,26,737,220639838,,,
TIMKEN ROMANIA SA,3196778,28,735,465949267,cornelia.istrate@timken.com,0244403061,anofm_jobs_20260220_153333_20260314_549f40d5
SAINT-GOBAIN CONSTRUCTION PRODUCTS ROMANIA SRL,6194577,23,732,864096537,,,
BILKA STEEL SRL,21520278,25,730,1400888657,office@bilka.ro,0737233900,anofm_5_30pos_older_than_30_days_20260314_66bc9356
FARMEC SA,199150,20,728,403496654,,,
GRUPO ANTOLIN SIBIU SRL,22946116,27,721,643524286,florina.campian@antolin.com,+40758715940,anofm_jobs_20260220_153333_20260314_549f40d5
ROMBAT SA,564638,27,721,615548503,recrutari@rombat.ro,0744780741,anofm_jobs_20260220_153333_20260314_549f40d5
CML INNOVATIVE TECHNOLOGIES SRL,22946116,27,721,643524286,,,
LEMET SRL,1323280,31,713,192304784,office@lemet.ro,0244368444,anofm_jobs_20260220_153333_20260314_549f40d5
GLORIOUS LIGHTING SRL,37228866,27,712,143984815,,,
KRONOSPAN TRADING SRL,11894313,16,711,2222799929,,,
KRONOSPAN TRADING S.R.L.,11894313,16,711,2222799929,,,
MEDA PROD 98 SA,10374339,10,710,317653249,daniela.ruiu@medaprod.ro,0734668786,anofm_5_30pos_older_than_30_days_20260314_66bc9356
SOMAREST SRL,14252261,15,707,394110026,,,
DUAL BORGSTENA TRIM ROMANIA S.R.L.,26873696,13,705,446729549,,,
SIMIZ FASHION SRL,33424193,14,701,183489788,,,
HS BACO PANELS S.R.L.,12447070,16,698,303918678,baco@hs.ro,0372.462200,anofm_jobs_20260220_153333_20260314_549f40d5
VIMERCATI EAST EUROPE SRL,22916476,29,697,315541484,,,
MONDIAL SA,1844334,23,695,262106514,nagy.mihaela@villeroy-boch.com,0256356154,anofm_jobs_20260220_153333_20260314_549f40d5
ELDON SRL,18878617,27,692,394092240,,,
CUMMINS GENERATOR TECHNOLOGIES ROMANIA SA,12459849,27,692,1050046668,gabrieladaniela.budurnoiu@cummins.com,0351443487,anofm_jobs_20260220_153333_20260314_549f40d5
FRIGOGLASS ROMANIA SRL,6469724,28,679,541204483,,,
ICME ECAB SA,11703669,27,676,1365042691,gcucereanu@hellenic-cables.com,0212090415,anofm_jobs_20260220_153333_20260314_549f40d5
FAIST MEKATRONIC SRL,17506160,24,673,231197192,florina.hanga@faistlightmetals.com,0729.966.946,anofm_5_30pos_older_than_30_days_20260314_66bc9356
NOBEL AUTOMOTIVE ROMANIA SRL,23864383,29,669,242335369,,,
SOMACO GRUP PREFABRICATE SRL,22424341,23,669,276068340,amalia.sobec@holcim.com,0737018780,anofm_5_30pos_older_than_30_days_20260314_66bc9356
NOBEL AUTOMOTIVE ROMANIA SRL,23864383,29,669,242335369,,,
BOS AUTOMOTIVE PRODUCTS ROMANIA SCS,14300172,29,668,430196390,,,
VERNICOLOR S.A.,18720420,22,663,220733215,,,
VITALL SRL,21412934,14,657,648487460,,,
REKORD SRL,6698930,15,653,207809498,,,
HARTING RO AUTOMOTIVE SRL,35487163,29,649,357479852,cariere.automotive@harting.com,0725941246,anofm_jobs_20260220_153333_20260314_549f40d5
TMD FRICTION ROMANIA SRL,19157333,29,643,390159816,,,
TMD FRICTION ROMANIA SRL,19157333,29,643,390159816,,,
MUSETTE EXIM SRL,2443,15,636,132313841,,,
GIC NOSAG METAL SRL,16939009,25,633,475175998,,,
BRIO GROUP SRL,18697025,10,629,114371034,hr@simigeriapetru.ro,0751491623,anofm_5_30pos_older_than_30_days_20260314_66bc9356
FLOREA GRUP SRL,8273278,23,627,282242352,nicadan70@yahoo.com,0258842275,anofm_5_30pos_older_than_30_days_20260314_66bc9356
METEOR ROMANIA S.R.L.,38298088,22,626,208837731,maria.chesa@ro.meteor.de,0744425546,anofm_jobs_20260309_091938_20260314_74c23d98
OTELINOX SA,921641,24,624,271484509,madalina.dinu@otelinox.ro,0245209374,anofm_jobs_20260220_153333_20260314_549f40d5
TRICO WIPERS PLOIESTI S.R.L.,34464692,29,620,351213274,,,
TRICO RO S.R.L.,34464692,29,620,351213274,,,
CICOR ROMANIA S.R.L.,14566850,26,612,445592175,,,
UNILEVER ROMANIA SA,11894259,20,612,186759537,,,
ELECTROLUX ROMANIA SA,2385817,27,610,1064082508,,,
AMBRO SA,2691530,17,605,429742192,,,
BUNGE ROMANIA SRL,16791351,10,603,2742705444,,,
GARRETT MOTION ROMANIA S.R.L.,9472341,29,603,219465970,,,
BUNGE ROMANIA SRL,16791351,10,603,2742705444,,,
GEDEON RICHTER ROMANIA SA,1200929,21,600,331526717,office@gedeon-richter.ro,0265264067,anofm_jobs_20260313_083455_20260314_3eab569a
SOCIETATEA "UZINA MECANICA SADU" SA FILIALA A COMPANIEI NATIONALE "ROMARM"   S.A.,14373832,25,600,33792150,,,
SECUIANA SA,3667158,14,598,47528846,office@secuiana.ro,0267363440,anofm_jobs_20260220_153333_20260314_549f40d5
ITALSOFA ROMANIA SRL,13807330,31,597,225356037,,,
DONALAM SRL,18277250,24,596,799437091,,,
DONALAM SRL,18277250,24,596,799437091,,,
COMPANIA NATIONALA ROMARM SA SUCURSALA MIJA,2978636,25,593,197242100,,,
RA RATMIL UZINA MECANICA MIJA SUCURSALA,2978636,25,593,197242100,,,
COMPANIA NATIONALA ROMARM S.A. FILIALA SOCIETATEA UZINA MECANICA MIJA  S.A.,2978636,25,593,197242100,,,
SOCIETATEA NATIONALA ROMARM BUCURESTI SA SUCURSALA MIJA,2978636,25,593,197242100,,,
JT INTERNATIONAL MANUFACTURING SA,4364012,12,590,1606042532,,,
ODLO ROMANIA SRL,15280138,14,589,125304381,lavinia.dogaru@odlo.com,0233742004,anofm_5_30pos_older_than_30_days_20260314_66bc9356
SAINT-GOBAIN GLASS ROMANIA SRL,11882475,23,587,913619763,,,
SAINT-GOBAIN GLASS ROMANIA SRL,11882475,23,587,913619763,,,
MOPAN SUCEAVA S.A.,34874331,10,586,115471764,,,
PANEMAR MORARIT SI PANIFICATIE SRL,4844886,10,584,138907472,,,
SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT "SMART" S.A.,14232728,33,580,105927103,gabriela.fodorean@smartcj.ro,0264405552,anofm_jobs_20260313_083455_20260314_3eab569a
2 CONNECT ROMANIA SRL,15598248,27,579,131700384,recrutare@2-connect.com,0735870012,anofm_jobs_20260220_153333_20260314_549f40d5
LIDAS SRL,4611791,10,577,186000082,,,
REGIA NATIONALA A PADURILOR - ROMSILVA DIRECTIA DE CRESTERE, EXPLOATARE SI AMELIORARE A CABALINELOR R.A.,41228341,14,577,65283973,,,
POLIPOL MOBILA SRL,17367592,31,575,158732629,office@polipol.ro,0261807600,anofm_jobs_20260220_153333_20260314_549f40d5
FERMADOR SRL,6550631,10,568,248918201,,,
TECSA BUSINESS SRL,9864639,10,566,136802357,secretariatrosiori@gmail.com,0247464178,anofm_5_30pos_older_than_30_days_20260314_66bc9356
EMAILUL SA,803115,25,565,91700630,,,
PEHART TEC GRUP S.A.,17736215,17,561,800850151,,,
PEHART TEC GRUP S.R.L.,17736215,17,561,800850151,,,
INDUSTRIALIZAREA CARNII (KOSAROM) SA,1997087,10,559,251036454,,,
ROMPHARM COMPANY SRL,14399646,21,559,362890445,andrei.svet@rompharm.ro,0721969652,anofm_jobs_20260220_153333_20260314_549f40d5
ROMPHARM COMPANY SRL,14399646,21,559,362890445,andrei.svet@rompharm.ro,0721969652,anofm_jobs_20260220_153333_20260314_549f40d5
HUTCHINSON SRL,18420074,22,556,476736388,,,
S.T.I. INTERNATIONAL SRL,11328918,15,553,54611503,,,
REVA S.A.,2150217,30,553,140541618,,,
NUCLEARELECTRICA SERV S.R.L.,45374854,33,551,60423135,,,
DETERGENTI S.A.,7759807,20,548,326929906,recrutare.im@pg.com,0344 229 200,anofm_jobs_20260313_160855_20260314_6a442ca2
DETERGENTI SA,7759807,20,548,326929906,recrutare.im@pg.com,0344 229 200,anofm_jobs_20260313_160855_20260314_6a442ca2
SAFIR SRL,822044,10,546,320677266,recrutare@safir.ro,0751090458,anofm_jobs_20260220_153333_20260314_549f40d5
ARCELORMITTAL HUNEDOARA SA,2126855,24,545,511583777,,,
ECOLOR SRL,15298771,31,545,431231899,,,
PUREM ORADEA S.R.L.,35351080,29,543,2144202877,,,
STEINEL ELECTRONIC SRL,25619860,26,540,395080985,,,
BARRIER S.R.L.,32169190,22,539,193300528,,,
NIDEC ORADEA SRL,30997641,28,535,168750386,cariere.oradea@mail.nidec.com,0374814000,callcenters_romania_frank_enriched_20260314_de540105
ADA FABRICA DE MOBILA SRL,16957137,31,534,178681089,,,
ROMAERO SA,1576401,30,532,54995755,,,
ODU ROMANIA MANUFACTURING SRL,18337190,27,532,345918295,,,
PLASTOR SA,54744,22,531,161645779,resurse.umane@plastor.ro,0259207140,anofm_jobs_20260220_153333_20260314_549f40d5
OPTIBELT POWER TRANSMISSION SRL,19210011,22,530,352529577,d.nacu@optibelt.com,0747095594,anofm_5_30pos_older_than_30_days_20260314_66bc9356
OPTIBELT POWER TRANSMISSION SRL,19210011,22,530,352529577,d.nacu@optibelt.com,0747095594,anofm_5_30pos_older_than_30_days_20260314_66bc9356
EURO AUTO PLASTIC SYSTEMS SRL,14829190,29,529,643757145,,,
OPTIMEDIA SRL,6576828,22,528,331274079,,,
SWOBODA SIBIU S.R.L.,16590145,29,527,311751953,hrswobodasibiu@swoboda.com,0269206172,anofm_jobs_20260220_153333_20260314_549f40d5
AMER SPORTS RO S.R.L.,42090971,32,527,239012324,ramona.morar@amersports.com,0746058031,anofm_jobs_20260220_153333_20260314_549f40d5
AMER SPORTS RO S.R.L.,42090971,32,527,239012324,ramona.morar@amersports.com,0746058031,anofm_jobs_20260220_153333_20260314_549f40d5
RONDOCARTON SRL,10208549,17,526,648266614,georgiana.petrut@rondo-ganahl.com,07560881566,anofm_jobs_20260220_153333_20260314_549f40d5
LA LORRAINE SRL,24232806,10,525,495983645,,,
LA LORRAINE SRL,24232806,10,525,495983645,,,
ONCOS TRANSILVANIA SRL,36001120,14,525,235880977,,,
RAFFAELLO SHOES FACTORY SRL,26268253,15,523,247246878,raffaello.shoes@yahoo.com,0723602432,anofm_jobs_20260220_153333_20260314_549f40d5
DOMIDENE COM SRL,1310662,10,522,196547786,,,
CETATEA DE BALTA SRL,13609073,12,522,78100093,,,
KABLUTRONIK S.R.L.,19378539,27,522,175004517,,,
IPEC SA,6698299,23,521,135762366,,,
ETI EUROPEAN FOOD INDUSTRIES S.A.,32187285,10,516,294639349,valentina.tomita@etietieti.com,0721273859,anofm_jobs_20260311_083428_20260314_70886e3a
TROTUSTEX SRL,24498175,14,515,50908021,,,
LEGERO SHOES ROMANIA SRL,13262178,15,512,232309029,,,
DR. OETKER RO SRL,4227295,10,508,480700727,,,
DELTA INVEST SRL,6834374,22,506,271680291,,,
SOFTRONIC SRL,11492278,30,506,206132122,,,
KRONOSPAN TIMBER SEBES S.R.L.,45417718,16,506,722254487,,,
MILBRO TEXTILE SRL,15479425,14,503,100050890,hr@milbro.ro,+40729080703,romania_food_distribution_contacts_20260314_97f4a0d3
MILBRO TEXTILE SRL,15479425,14,503,100050890,hr@milbro.ro,+40729080703,romania_food_distribution_contacts_20260314_97f4a0d3
SYMMETRICA SRL,6552535,23,499,316866171,info@symmetrica.ro,0744553554,anofm_jobs_20260310_123444_20260314_a3ffee1a
TIP TOP FOOD INDUSTRY SRL,3900317,10,498,244866856,,,
SORTILEMN SA,199745,31,496,149716178,ludde.sortilemn@codec.ro,0264241717,anofm_5_30pos_older_than_30_days_20260314_66bc9356
RIFIL SA,2050285,13,495,233357013,sorina@rifil.com,0233281994,anofm_new_alte_20260314_0cf00e61
OPREA AVI COM SRL,5504181,14,495,188568334,,,
VELTA PROD SRL,30518668,11,494,274149090,,,
PRINTMASTERS SRL,23013450,18,493,79880510,,,
ESSEGI TEX SRL,11144672,14,492,73097337,,,
PHOENIXY SRL,1349786,10,491,222568764,,,
ARTERIMPEX SRL,6832896,10,490,167540452,,,
EXPUR SA,2091480,10,488,1801346907,recrutare@expur.ro,0243213650,anofm_new_productie_20260314_40b9f91f
