name,email,city,phone
DELIVERY4ALL SRL,delivery4allsrl@gmail.com,,+40732858717
DEN IL CRIS FRIGOTRANS SRL,denilcrisfrigotrans.87@gmail.com,,+40766922101
DENIZ INTER GLOBAL S.R.L.,deniz.interglobal@gmail.com,,+40749922928
DETERGENTI S.A.,recrutare.im@pg.com,,+40344229200
DFC IASI S.R.L.,sales@dfc.ro,,+40742379789
DIAVA CARS S.R.L.,alin_parvulescu@yahoo.com,,+40721783059
DIRECTIA EDUCATIE CULTURAL SPORTIVA SI IDENTITATE COMUNITARA,resurse.umane@decsic-voluntari.ro,,+40754079445
DITO GROUP SRL,recrutare@dito-group.ro,,+40770377510
DIVERS ECO TECH SRL,diversecotech@yahoo.com,,+40728283876
DN Gastrofam SRL,av.voicu@yahoo.com,,+40732466201
DOCTRANS ALBINUȚA S.R.L.,mirela_botez84@yahoo.com,,+40743822194
DOMIX TRANS SRL,invoices.domixtrans@gmail.com,,+40745626150
DONEXCAV SRL,donexcav@yahoo.com,,+40761099100
DP. SITE SRL,giorgiana.dpsite@gmail.com,,+40764816265
DRAKO CUHNIA BALKANICA S.R.L.,rezervari@george-dragon.ro,,+40731325325
DRUMURI ŞI PODURI SA,mariana.gica@drumuripodurisibiu.ro,,+40269210095
DST TRANSCOM ENERGY SRL,dst.transcom_energy@yahoo.com,,+40764448974
DUCU SERV SPEDITION,ducuserv@gmail.com,,+40736041611
DUROTERM SRL,contabilitate@duroterm.com,,+40751299738
EDIL.PIERO SRL,adinacostan78@gmail.com,,+40767847713
EDMONDWASH SRL,kleftiscom@gmail.com,,+40752897166
EDU MAGIC TRIPS SRL,doina_doina44@yhaoo.com,,+40757033835
EDY TRANS DRIVERS SRL,id_cars.flota@yahoo.com,,+40746631553
Elec Drive Mobility,recrutare@elec.ro,,+40799095586
ELECTRIC CONTROL DATA,office.electric_control@yahoo.ro,,+40723302241
EMN CARRIER S.R.L,sc.emncarrier@yahoo.com,,+40734365269
ENS BEAUTY INTERNATIONAL,karakayageta@gmail.com,,+40727777052
ERMAGIL S.R.L.,mariuserhan@yahoo.com,,+40747605364
ERMIHANCOM TRANS SRL,erhanmia65@gmail.com,,+40234334246
EUROVISCERNA SRL,a.i.agentieasia@g.ail.com,,+40725352584
EU TRUCKING SERVICE S.R.L.,daniela.soare@ekol.com,,+40736107101
EXCELENT TRANS SRL,office@excelenttrans.ro,,+40745075371
EXPRESS JET S.R.L.,roberta.g094@yahoo.com,,+40766472909
FAMAROX COM SRL,agavriloaieamalia@yahoo.com,,+40749894852
FAMOUS PRESTSERV SRL,famousprestserv@gmail.com,,+40745215391
FARAGOPROCONSTRUCT S.R.L.,mihaifarago30@gmail.com,,+40727344941
FERTIGYN SRL,resurseumane@origyn.ro,,+40737924933
FLOMARIN ELISA GREEN S.R.L.,elysof.marin@gmail.com,,+40742133161
FLY SPED ACTIV S.R.L.,mihaela.stoica38@yahoo.com,,07 666 456 708
FQ BIOMAX CONSTRUCT SRL,contabilitatebiomax@gmail.com,,+40746929474
FRIGOSPEED EUROTOP SRL,mugurel.frigo@gmail.com,,+40720719150
Galactic SRL,szilamergal@gmail.com,,+40740647920
GENERAL SERVICE CREATIV,generalservicecreativ@gmail.com,,+40724167087
GHEOTRANS SRL,gheotrans@yahoo.com,,+40761689491
GHETEO DRIVING S.R.L.,conta@gtoarad.ro,,+40745588620
GICU SERVICE AUTO SRL,gicuservice@yahoo.com,,+40741092888
GIORGIO COM SRL,lucianoliniuc@yahoo.com,,+40756468266
GLOBAL METAL SYSTEM S.R.L.,danacolessa@yahoo.com,,+40755791200
GOLD MARI 2013 SRL,goldmari2013@yahoo.com,,+40744777330
GRAFRELY S.R.L.,office@bacriuluisf.ro,,+40728070691
GRAZIA S.R.L.,aly_grazy@yahoo.com,,+40766563880
GREEN CARGO SPEED S.R.L.,pulsgreencargos@gmail.com,,+40745872746
GRIGORIUP SRL,grigorpetru@yahoo.com,,+40724046271
GRITRANS SRL,gabi73gri@yahoo.com,,+40721233235
GRS TRAFFIC SOLUTIONS SRL,grstrafficsolutionssrl@gmail.com,,+40721656525
GTA LACTAS SRL,lactas02@yahoo.com,,+40736611046
GVC COMPUTERS SRL,gvccomputers3@gmail.com,,+40230708380
HASINTO SRL,jacint.hasinto@gmail.com,,+40742163209
HOPY SRL,hopy_srl@yahoo.com,,+40744624877
HUTU KRISAND SRL,rosuandreea080@gmail.com,,+40756011724
IKILER TRANSPORT SRL,ikilertransport@hotmail.com,,+40751867152
IMOMOVE EXPRESS SRL,imomove.express@gmil.com,,+40736819113
INFINITY DRIVE SRL,infoinfinitydrive@protonmail.com,,+40747307728
INTERFRIGO LOGISTICS SA,office@interfrigologitics.ro,,+40348730071
INVEST ECO MANAGEMENT S.R.L.,investecomanagement@gmail.com,,+40748933955
IOAN ANCUTA SRL,ioanancutavama@gmail.com,,+40744120479
IRIMIR IMPEX SRL,stoica_irimir@yahoo.com,,+40767805653
JAC & RAC TRANS SRL,jianuromeo@yahoo.com,,+40721712127
JOHN AVIA PROD SRL,ricascortanu@yahoo.com,,+40766671499
JST RICAMBI SRL,butnaru.iustin@gmail.com,,+40747522257
JUMBO EXPRESS SRL,office.jumboexpress@gmail.com,,+40787394766
KING EUROSERVICE S.R.L.,office@muncitoresti.ro,,+40770149638
KIPER SRL,njolan@yahoo.com,,+40744597592
KNITWEAR IMPEX SRL,zmy7210@yahoo.com,,+40722568616
KOALA LOGISTICS SRL,ivan_alexandradiana@yahoo.com,,+40734215171
KRITER S.R.L.,florescupop@yahoo.es,,+40264213400
KRS TRANSPORTER SRL,krstransporter@gmail.ro,,+40766274206
KX TEAMWORK SRL,hello@potstories.ro,,+40760656264
KYM TRANSPORT SRL,sergiukym@yahoo.com,,+40763698111
LACON ELECTRONIC SRL,payroll.romania@lacon.ro,,+40722686168
LA LUNA IMOBILIARE SRL,silipniculaie@yahoo.ro,,+40745623381
LAVIUM PRODIMPEX SRL,nelutorjoc@gmail.com,,+40744930236
LICA AUTO LUX SRL,lyk.farcas81@gmail.com,,+40747575234
LICA AUTOSERV S.R.L.,lica.autoserv@gmail.com,,+40755509461
LICEUL NATANAEL SUCEAVA,prodanangela78@yahoo.com,,+40744144393
LIMROM SRL,servicelimrom@yahoo.com,,+40724465933
LITTLE STAR SRL,covalciuci@yahoo.com,,+40729308186
LOGICTRANS DISTRIBUŢIE S.R.L.,hr@logictrans.ro,,+40757479171
LOGISTIKZENTRUM AUGSBURG CONTRANSPORT SRL,creditcontol@contransport.ro,,+40731150913
LUAR SRL,office@luar.ro,,+40257276666
LUSADE INTERNATIONAL TRANSPORT SRL,transped2019@gmail.com,,+40753644777
MADELI,madeli.constanta@gmail.com,,+40748835720
MADII SRL,scmadiisrl@yahoo.com,,+40723434864
MADRISA WASH,catalin_tatiuc@yahoo.com,,+40730338633
Manifest SRL,cristina@salonmanifest.ro,,+40723322082
MARIAN CĂTĂ COMPANY 2008 SRL,mariancata@yahoo.com,,+40720700317
MARIUS CARGO S.R.L.,xaraxavian@gmail.com,,+40744898839
MEDIWASH S.R.L.,office.mediwash@gmail.com,,+40752071442
MEGAFIT CONTROL SRL,penny.cata@yahoo.com,,+40765639277
MERCA FOODS GMG SRL,mercafoods@yahoo.com,,+40744543330
METAMOB SRL,metamob@metamob.ro,,+40261711511
MG BROTHERS CONSULTING 777 S.R.L.,chiriac.marian92@gmail.com,,+40752979099
MIETTE S.R.L.,contact.miette@gmail.com,,+40747474972
MIHNEA CRIS TRANS 2007 SRL,negoescu1912@yahoo.com,,+40744348254
MIRADA MOBILE AUTO S.R.L.,catalinciuca22@yahoo.com,,+40724557703
MIRESCU I. DENISIA ÎNTREPRINDERE INDIVIDUALĂ,denisamirescu16@gmail.com,,+40724520625
MIRODENIA MIXED SRL,mirodeniamixed@gmail.com,,+40745764747
MOB CONFORT SRL,mobilamobconfort@gmail.com,,+40744663140
MOIRA PIESE AUTO S.R.L.,contabilitate@dpat.ro,,+40754552112
MOLDOVAN EVENTS S.R.L.,colcernastasiadelia@yahoo.com,,+40763648231
MONDO TRANS S.R.L.,office@mondotrans.eu,,+40257282666
MOTOPLUS PIESE S.R.L.,motopluspiese@yahoo.com,,+40762484448
M T AUTOSERVICE SRL,dyxmihai@yahoo.com,,+40747020676
MULTIPOWER TOUR SRL,multipowertour@yahoo.com,,+40740824224
MUSAPITESTI96 SRL,office@musa.ro,,+40248223406
MUSTANG TOUR SRL,raluca.escape@gmail.com,,+40740117163
MYBRA BER S.R.L.,berechetconstantin@yahoo.com,,+40724797170
NEDELCU NDM SRL,ndmnedelcu@gmail.com,,+40750717673
NEMACORD SRL,nemacordsrl@yahoo.com,,+40746024458
NEMES CARPOINT SRL,daiannemes1@gmail.com,,+40751784191
NEVRA LOJISTIK SRL,office@nevralojistik.ro,,+40745621993
NICHTVISION SERVICE SRL,statusmet2025@gmaio.com,,074
NINGEL TRANS SRL,ningel.alexandria@yahoo.com,,+40766275752
NITRO DELIVERY SRL,nitrodelivery9@gmail.com,,+40753152068
NOBEL AUTO SERVICE SRL,nobelauto.ro@gmail.com,,+40799424613
NRG LOGISTIC SRL,preda.alex@nrglogistic.com,,+40762527034
NUTRIENTUL SA,personal@nutrientul.com,,+40259471811
OCOLUL SILVIC DEALU NEGRU,osdealunegru@yahoo.com,,+40756992728
OFFROAD PARTS S.R.L.,offroadsv@yahoo.com,,+40741010119
ONESTA PROD SRL,onestaprodzalau@yahoo.com,,+40744804868
ONLY SERV SRL,officeonlyserv@gmail.com,,+40744377959
ONU LOGISTIK,onulogistik@gmail.com,,+40747071186
ORIGINAL TEAM SRL,office.emiliazelch@gmail.com,,+40768174336
OSM GROUP SRL,silaghivlad98@gamil.com,,+40745309454
PAKAN PRO WASH SRL,bogdanamihaela23@gmail.com,,+40732708769
PALMEX CM SRL,hr@palmex.ro,,+40749878113
Perfect Detailing Auto SRL,a.paraschiv61@yahoo.com,,+40734038528
PERFORMER CONTA SRL,ileana_birlea@yahoo.com,,+40726734920
PG-AM FOOD CONCEPT SRL,pgamfoodconcept@gmail.com,,+40764452355
PIT STOP GARAGE S.R.L.,pitstopgaragedeva@gmail.com,,+40725351106
POLARIS M.HOLDING SRL,resurseumane.braila@polaris.ro,,+40725222295
POMPILIAN SRL,emadiamary@yahoo.com,,+40742747928
PROINSTALATII S.R.L.,proinstalatii@hotmail.com,,+40740051413
PYTA TRANSPORT AUTO SRL,pytatransportauto@gmail.com,,+40785454188
RADANA IMPEX SRL,radanaimpex@yahoo.com,,+40722554743
RAFIL S.R.L.,silviutrusca@yahoo.com,,+40768208908
RAGAMENT DANIEL ÎNTREPRINDERE INDIVIDUALA,georgiana.contabilitate@yahoo.com,,+40765285922
RARES VLAD COP SPEDITION SRL,gabi_copaci@yahoo.com,,+40735266557
RATBV S.A.,ratbv@ratbv.ro,,+40268334678
RA-UF LOGISTIC S.R.L.,expertcontabilag@gmail.com,,+40745186188
RB STYLE SRL,xplayground@gamil.com,,+40733017450
RDE HURON SRL,zsofia.gabor@rdero.ro,,+40730711361
RDI GABRIEL CAR SERVICE SRL,iustin.rosoaga@yahoo.com,,074999323
RECAUTOSOLUTION SRL,contabilitaterecauto@yahoo.com,,+40744266240
RECTIFICARI UNIVERSALE SRL,georgiana@rommc.ro,,+40724351212
REIFEN CRISTIAN SRL,auto2transport@gmail.com,,+40769072278
REMAT BRASOV SA,sava.cosmin@rematbv.ro,,+40751021650
REMCOR GAZ SRL,office@containteligent.ro,,228002
RIM AUTOLOGISTIC SRL,office@rimauto.ro,,+40799017071
RK PUBLICITY S.R.L,carinareznek@yahoo.com,,+40733334008
ROAD RUNNER CONSTRUCTII S.R.L.,roadrunnerddd80@gmail.com,,+40758764051
ROMCHIM SRL,pronto.salarizare@romchim.ro,,+40744600691
ROMSTAL IMEX SRL,marius.moisa@romstal.ro,,+40734455523
ROSU EMIL RESTAURANT INTREPRINDERE INDIVIDUALA,rosuemilniki@yahoo.com,,+40722610174
RUYU TRANSPORT SRL,loredana.ruyu@gmail.com,,+40770467305
SALUBRIS SA,salubris-slatina@yahoo.com,,+40766741523
SAMMER MULTI-TECH SRL,samu23m@gmail.com,,+40749636838
SANDRA AUTOMOBILE S.R.L.,contabilitate@sandra.ro,,+40725800139
SANEL TRANS SRL,office@saneltrans.ro,,+40748558479
SANURG SRL,office@sanurg.ro,,+40742133906
SC AMBIENT INTERMED SRL,ambientintermed@yahoo.com,,+40752119771
SC ANVEBAS AUTO SRL,bass_bas2000@yahoo.com,,+40764584605
SC APA STEF SRL,ionutapa@yahoo.com,,+40744500748
SC AUTO CLEAN ZONE SRL,contact@abiaccounting.com,,+40744535199
S.C. AUTO MARCU'S GRUP S.A.,valentina.andreica@amg.ro,,+40740200095
S.C. AUTOMOBILE BAVARIA S.R.L.,andreea.boboc@automobilebavaria.ro,,+40724200207
SC CADVYLL CONST SRL (RO17559415),office@cadvyll.ro,,+40751038459
S.C. CURIER TRANS EXPRESS,neagu_ionut18@yahoo.com,,+40723355884
SC DAXIA AUTOCONCEPT SRL,daxia.auto@gmail.com,,+40745782357
SC DODI &amp; BEA DETAILS SRL,itp_albesti@yahoo.com,,+40755250004
S.C. DURAN TRUCKS SERVICE S.R.,durantrucksservice@gmail.com,,+40751303702
SC DYRP TRANS SRL,ceclanpaula@yahoo.com,,+40728926551
SC.ERIC&DARIUS S.R.L.,mario_ali@yahoo.com,,+40765381698
S.C. EUROSPEED SRL,lacramioara@eurospeed.ro,,+40330780005
S.C. EXPOCAR AUTO S.R.L.,expocar.auto@yahoo.com,,+40765119226
SC EXPRES TRANSPORT SA,office@eta.ro,,+40799064027
SC FUZSITUS TRANS SRL,autex68@gmail.com,,+40743483808
SC HD NETWORKING SRL,office@hdnet.ro,,+40371005322
SC ICIRUAL 2003 SRL,office@icirual2003.ro,,+40758235324
S.C. JILAVEANU TRANSCOMS.R.L,jilaveanutrans@yahoo.com,,+40720841827
S.C. K INDUSTRIES RO HOLDING S.R.L.,royalcarwashofficial@yahoo.com,,+40755521272
SC MADVYO TRANS SRL,remusd99@gmail.com,,+40735437263
S.C. MATBAR CONSTRUCT SRL,iulian19_81@yahoo.com,,+40724461508
S.C. MATEPRIM CARGO S.R.L.,mateprim.cargo@gmail.com,,+40743863937
SC MIGATRAK TRANS SRL,migatrak.trans@yahoo.com,,+40766103379
SC PEDROALIN SRL,pedro_alin_srl@yahoo.com,,+40744926463
S.C.PORTA IDEEA SRL,office.portaideea@gmail.com,,+40771793022
SC PRICHINDEL CLUB SRL,lucian.agapia@yahoo.com,,+40742314550
S.C. PROMAX ENTEPRISECO SRL,recrutare@simply-hr-solutions.ro,,+40728851293
S.C. RALUCA SI RARES COMPANY S.R.L.,ralucasirares@yahoo.com,,+40741061069
SC REGENESYS IT TECHNOLOGIES SRL,regenesys74@gmail.com,,+40745100888
SC ROVEKA FARM IMPEX SRL,office@roveka.ro,,+40787377167
S.C. RURAL ECONOMY SRL,alexticalo@gmail.com,,+40747148045
S.C. SINEBO TOUR S.R.L.,bosinceanu.iulian@gmail.com,,+40745868899
SC SMART ENERGY SRL,smartenergyradauti@yahoo.com,,+40752296752
SC TAXIDIB IOANAND SRL,transdbu@gmail.com,,+40740894597
SC TECHNO DOPO TOTAL SRL,office@dopo.ro,,+40799777392
SC TLH BOGAR SRL,lavinia_liuta@yahoo.com,,+40746573119
S.C. TRANSMIH AUTO POWER SRL,dumitruovidiumihai1962@gmail.com,,+40763418389
SC TRANSPORTURI JOHN SRL,lucaciioan921@gmail.com,,+40731464540
SC.VÂRSTINICII - VESELI SRL-D,lucacirazvan78@gmail.com,,+40764663209
S.E.A TRANSILVANIAN TRANSPORT,sea.transilvania@gmail.com,,+40742731147
S E CO L ROMANIA SRL,secoltgjiu@yahoo.it,,+40253226777
SELGROS CASH CARRY SRL,mihaela.vranceanu@selgros.ro,,+40234209114
SENSE & RESULT CONSULTING SRL,ligia.craciun@ac-ca.ri,,+40758848484
SERVICE AUTO GRIGORESCU PREMIUM,serviceautogrigorescu.premium@gmail.com,,+40728922460
SEVDE TRANS SRL,sevdetrans@hotmail.com,,+40739924007
SHAGA TRUCK SRL,tudor.mihaiescu@gmail.com,,+40759087182
SILBOSS S.R.L.,office.silboss@gmail.com,,+40751091290
SILVER TRANS SRL,huihupdoina@yahoo.com,,+40764804334
SIMIONCA IONUT RAUL PFA,transsimy@yahoo.com,,+40742172245
SOFTNOT SRL,oneaconstantin4@gmail.com,,+40743390803
SRKN LOGISTIK SRL,recai_encok@yahoo.com,,+40774046206
S.S.H. HIDROSERV S.A.,adela.condurache@hidroserv.ro,,+40741247994
STEL-COR DRIVING SRL,stelcor25@yahho.com,,+40746294161
STMM INVEST SRL,stmminvest@gmail.com,,+40768739516
SUCIU VIOREL PERSOANA FIZICA A,hrsuciuviorel@outlook.com,,+40747915626
SUPERSTAR COM SRL,office@superstarcom.ro,,+40230560629
SUPER TRANS COM SRL,supertranscom@yahoo.com,,07 223 402 274
TAHOGELU SRL,tahogelu.srl@gmail.com,,+40746168507
TAXI ADI RAF S.R.L.,danalazar1975@gmail.com,,+40731294072
TAXI DORNA PILUG S.R.L.,cornel_pilug@yahoo.com,,+40747314466
TELETEKNIKA ENGINEERING SRL,teleteknikaeng@gmail.com,,+40761422017
TEMPO MNM CAFFE S.R.L.,tempomnm@yahoo.com,,+40733567234
TEODRAGOMIR GARAJ SRL,romeodragomir82@yahoo.com,,+40760290697
TERMO CALOR CONFORT S.A.,office@termopitesti.ro,,+40729980503
TEUER INTL S.R.L.,alexandra.popa@teuer.ro,,+40752205919
TODORUT INTERNATIONAL SRL,consultingalpa@gmail.com,,+40256243737
TOP BBS CARGO SRL,fanutfanut184@yahoo.com,,+40755664291
TOP CLASS AUTO TEHNO S.R.L.,topclassauto2008@gmail.com,,+40722264018
TRANS ANTONIA S.R.L.,ovidiu.dinculescu70@gmail.com,,+40743158479
TRANS AVRAM SRL,conta@transavram.ro,,+40728233939
TRANSCANAL SRL,elena.cioroiu@transcanal.ro,,+40241738028
TRANSCOM S.R.L.,resurseumane@transcomsrl.ro,,+40746148448
TRANSLOC SA,secretariat@transloc.ro,,+40744667777
TRANSPORT MONITOR CONTROL SRL,hr.romania@essers.com,,+40259476808
TRANSTROFIN SRL,officevitann363@gmail.com,,+40731410381
TRANS TRUCK SERVICES SRL,alinamesinschi@yahoo.com,,+40740133495
TRANS ZAMFIR SRL,office@trans-zamfir.ro,,+40724365526
TRUK SAA AUTO SRL,office@trukauto.ro,,+40770393284
TUDOR TRANS EXP 2021 S.R.L.,tudortransexp2021@gmail.com,,+40762405728
TURBOFLY TRANS SRL,cliofosvaleriu@gmail.com,,+40740256021
TYTOSPEED SRL,tytospeed01@gmail.com,,+40722244779
UNICARM SRL,marian.spirache@unicarm.ro,,+40753315264
UNICARM SRL,daniel.gherhes@unicarm.ro,,+40747112940
URG LOGISTIC SRL,tepuc_urgent@yahoo.com,,+40744124192
UZINA DE SPALAT SRL,constanta.sava@uzinadespalat.ro,,+40728700777
VALEA PRAHOVEI SA,cordovidiu1956@yahoo.com,,+40723380148
VANGUARD CONSTRUCTION S.R.L.,vanguardconstruction@gmail.com,,+40726050756
VAS CURIER EXPRESS SRL,vasile.diaconu@fancourier.ro,,+40766475621
VERDE ELECTRIC CORPORATION S.R.L.,ileana.chiurciu@yahoo.ro,,+40725247539
VERSUS OIL SRL,versusgrup@yahoo.com,,+40756338566
VEST MIRAUTO SRL,gj99van@yahoo.com,,+40765453201
VINCZE ERZSEBETLENKE PERSOANĂ FIZICĂ AUTORIZATĂ,vinczelenke@gmail.com,,+40742080234
VISSPA EXPRESS SRL,visspaexpress@gmail.com,,+40756289714
VIS VLADISSHOP S.R.L.,birouvasilemarin@yahoo.com,,+40757455660
VLADIS DELIVERY SRL,mihaela_serban81@yahoo.com,,+40736781962
VOITRANS SRL,voicatrans@yahoo.com,,+40743464974
XANDOR SRL,xandor@xandorbt.ro,,+40744582446
XTRADEALS AUTO GROUP SRL,petrumartin9@gmail.com,,+40747903427
ZEN CORE INNOVATION S.R.L.,ioana_pia@yahoo.com,,+40744937943
