CUI,Denumire,Judet,Localitate,CAEN,CA_2023_RON,Membri,Salariati,Telefon
28407161,CSENGO COOPERATIVA AGRICOLĂ,Harghita,Frumoasa,1051,7521377,145,14,0741651242
43651444,CRIŞUL NEGRU TINCA COOPERATIVĂ AGRICOLĂ,Bihor,Tinca,4632,7218908,16,2,0759547556
47647551,GRĂDINA NOASTRĂ DIN BEIUȘ COOPERATIVA AGRICOLĂ,Bihor,Beiuş,4631,7131623,6,1,0740358782
39498190,COOPERATIVA AGRICOLĂ ȚIBLEȘ-SOMEȘ-MELEȘ,Bistriţa-Năsăud,Nuseni,4633,6692002,164,8,
36033793,ARDEAL LACT COOPERATIVA AGRICOLĂ,Cluj,Soporu de Câmpie,4633,6663856,8,1,0763668628
43513310,AGROLUDUȘ COOPERATIVĂ AGRICOLĂ,Mureş,Luduş,4631,5827788,6,0,0759547556
40170527,AGROFROSTA COLECTARE COOPERATIVĂ AGRICOLĂ,Bihor,Apateu,1039,5741002,11,4,0770424994
30594371,BOVIS ALBA TRANSILVANIA  COOPERATIVA AGRICOLĂ,Alba,Alba Iulia,4633,5408987,8,2,
40218951,REGINA CARTOFULUI COOPERATIVA AGRICOLĂ,Covasna,Cernat,4631,5368625,5,3,
40365553,FERMA MOACȘA COOPERATIVA AGRICOLĂ,Covasna,Dalnic,4631,5330776,5,1,
38946953,"GRUPUL DE PRODUCATORI ""TARA NASAUDULUI"" COOPERATIVA AGRICOLĂ",Bistriţa-Năsăud,Dumitra,4633,4931815,5,2,
42540863,LIVEZILE AROMA COOPERATIVĂ AGRICOLĂ,Suceava,Fălticeni,4631,3839270,7,1,0744543826
44623620,RUSTICUS COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Băleni-Români,4631,3787324,91,0,0727369566
39910478,COOPERATIVA AGRICOLĂ ARSIB,Arad,Nădlac,1011,3364349,5,2,0747699791
32457222,„SITA NATURAL” COOPERATIVA AGRICOLĂ,Covasna,Sita Buzăului,4633,2877948,22,2,0749289090
31289775,COOPERATIVA AGRICOLA LUNCA SOMESULUI MIC,Cluj,Dezmir,4631,2845538,12,1,"0724064125, 0751110962"
40218960,AGROFARM TURIA COOPERATIVA AGRICOLĂ,Covasna,Turia,4631,2831758,7,0,
46131403,FERMA ARDELEANA COOPERATIVĂ AGRICOLĂ,Cluj,Cojocna,4631,2729196,5,0,
44331987,LEGO INNOVATION GROUP COOPERATIVĂ AGRICOLĂ,Neamţ,Bodeşti,4631,2692804,5,1,
45005296,LTJ AGRO COOPERATIVĂ AGRICOLĂ,Covasna,Târgu Secuiesc,4631,2530624,5,0,
35479250,KÉZDI LACTO COOP  COOPERATIVA AGRICOLĂ,Covasna,Ojdula,4633,2521798,75,4,"0768402329, 0726147696"
40276421,CARTOFUL DE CERNAT COOPERATIVA AGRICOLĂ,Covasna,Cernat,4631,2472546,5,1,
40037297,COLINELE JIBERTULUI COOPERATIVĂ AGRICOLĂ,Braşov,Lovnic,4633,2448858,37,4,
20167985,COOPERATIVA AGRICOLĂ  GRUP DE PRODUCĂTORI FRUTIS VOINEŞTI COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Voineşti,4631,2424735,9,1,"0723365957, 0245679325"
41446087,BIOMEAT TRANSILVANIA COOPERATIVĂ AGRICOLĂ,Mureş,Saschiz,4632,2391234,10,3,
43410667,ȚARA CĂLATEI COOPERATIVĂ AGRICOLĂ,Cluj,Călăţele,4633,2373443,21,1,
44929027,AGRO CARERA COOPERATIVĂ AGRICOLĂ,Covasna,Turia,4631,2235635,5,0,
44813323,CARTOFUL FERMECAT COOPERATIVĂ AGRICOLĂ,Covasna,Sânzieni,4631,2212161,5,0,
40730039,COOP TRADE LUNGULEŢU COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Lunguleţu,4631,2177254,6,0,0730816476
44219640,ECOCARPATHIAN COOPERATIVĂ AGRICOLĂ,Prahova,Urleta,4631,2127125,7,0,0745257464
28403798,PRELUCRAREA ŞI VALORIFICAREA LAPTELUI TROTUŞ COOPERATIVA AGRICOLĂ,Harghita,Lunca de Jos,1051,2117287,87,16,"0266371513, 0266371513"
