CUI,Denumire,Judet,Localitate,Contact,CAEN,CA_2023,CA_2022,Profit_2023,Pierdere_2023,Membri_2023,Salariati_2023
41305525,"COOPERATIVA AGRICOLĂ DE GRADUL II ""RĂDĂCINI""",Neamţ,Drăgăneşti,Telefon mobil: 0745/838542; ,4621,28515377,9716186,3689605,0,6,1
36223488,COOPERATIVA AGRICOLĂ AGROLACT MOLDOVA,Bacău,Sascut,,1051,28109150,26102327,0,3268610,8,55
44375681,EUROPLANT ILY COOPERATIVĂ AGRICOLĂ,Teleorman,Buzescu,,4621,28004999,12492368,0,606896,7,0
35343230,FERMIERUL NĂDLĂCAN COOPERATIVĂ AGRICOLĂ,Arad,Nădlac,Telefon mobil: 0741255188; ,4621,27862934,18856119,210564,0,19,4
31439880,GHEORGHE DOJA COOPERATIVA AGRICOLĂ,Ialomiţa,Gheorghe Doja,Telefon: 0040764563074; ,4631,27485310,21422482,82503,0,10,28
25685511,ARATRUM COOPERATIVA AGRICOLĂ,Vrancea,Focşani,Telefon: 0237215037; Telefon: 0237212589; ,4621,26225091,13325838,429378,0,6,1
33119610,CĂLMĂŢUI IZVOARE COOPERATIVA AGRICOLĂ,Buzău,Ulmeni,Telefon: 0762995767; ,4621,25952889,18793716,0,910616,13,8
43400299,SERELE SUPER COOPERATIVĂ AGRICOLĂ,Timiş,Timişoara,Telefon mobil: 0733077211; ,0113,25383615,18353560,381502,0,5,7
42773788,DEMETRA VEST COOPERATIVĂ AGRICOLĂ,Timiş,Săcălaz,Telefon mobil: 0722698952; ,0111,25189818,15564045,384363,0,6,2
38916642,AGRO MURESANA COOPERATIVA AGRICOLĂ,Arad,Arad,,4621,24359569,22867681,131802,0,24,4
38990592,RĂZEȘII MOLDAVI COOPERATIVA AGRICOLĂ,Galaţi,Cuca,Telefon mobil: 0743623972; ,4621,23390729,22420896,273265,0,12,4
26818713,TERENORD COOPERATIVA AGRICOLĂ,Teleorman,Videle,Telefon: 721324109; ,4611,22961927,15313692,37350,0,27,1
45581868,GRADINA SUDULUI COOPERATIVĂ AGRICOLĂ,Ilfov,Şindriliţa,,0113,21484329,21841937,3392767,0,5,0
35041852,GMS CEREAL BOLDU COOPERATIVA AGRICOLĂ,Buzău,Balta Albă,Telefon: 0765202315; ,4621,20796265,19203620,20302,0,12,4
37622967,CÂMPIA CAREIULUI COOPERATIVA AGRICOLĂ,Satu Mare,Petreşti,Telefon mobil: 0749146923; ,4621,20542536,10910453,98928,0,9,4
42442687,BIOCOOP DONAU COOPERATIVĂ AGRICOLĂ,Constanţa,Constanţa,Telefon mobil: 0762644130; ,4621,19940066,23960385,1093226,0,11,3
38628984,AGRICOLA CEREAL-SUD COOPERATIVA AGRICOLĂ,Olt,Izbiceni,,0111,19540628,41275619,2444865,0,7,10
35158659,BAZA SILOZ CEREAL GRUP COOPERATIVA AGRICOLĂ,Botoşani,Plopenii Mari,Telefon mobil: 0726370995; ,0111,19301199,17448375,0,2307454,17,4
31674649,COOPERATIVA AGRICOLA CODRII VLASIEI,Ilfov,Tunari,,4621,19231080,34423500,72328,0,7,1
43260012,PĂSTRĂVUL DIN ȚARA TA COOPERATIVĂ AGRICOLĂ,Prahova,Slănic,,4638,19025973,11735602,35800,0,6,5
44637278,AGROFARM CÂMPIA RÂMNICULUI COOPERATIVĂ AGRICOLĂ,Buzău,Zoiţa,Telefon: 0764686072; ,4621,18898626,15062022,86167,0,10,1
45239289,RO LAND AGRICULTURE COOPERATIVĂ AGRICOLĂ,Constanţa,Adamclisi,Telefon: 0728081994; ,0111,18518680,2758984,153888,0,9,0
29836455,ERDEI COOPERATIVĂ AGRICOLĂ,Bihor,Salonta,Telefon: 0751672046; ,0161,18318536,0,400304,0,14,1
34402851,COOPERATIVA AGRICOLĂ BAIA-DOBROGEA,Tulcea,Baia,,0111,18213089,20294850,57794,0,21,1
33840608,BIO CARPATHIA COOPERATIVA AGRICOLĂ,Braşov,Braşov,Telefon mobil: 0753041053; ,4611,18100651,16262516,328415,0,31,8
43510119,HARCOV MILK MEAT COOPERATIVĂ AGRICOLĂ,Harghita,Tuşnad,,4633,18043726,16010084,48112,0,10,1
26961070,INDAC AGRO COOPERATIVA AGRICOLĂ,Buzău,Buzău,Telefon: 0238710492; Telefon: 0745160705; ,4621,18026833,15959439,98682,0,8,1
48318280,AGRO MWD COOPERATIVĂ AGRICOLĂ,Arad,Oraş Pecica,Telefon mobil: 0770760128; ,0111,17898894,0,6489,0,9,1
39892894,BIOSUD DOBROGEA COOPERATIVĂ AGRICOLĂ,Constanţa,Cogealac,Telefon mobil: 0766/878470; Adresa de e-mail: funda_dumitru@yahoo.com; ,4621,17074850,21671241,179483,0,19,1
48194670,BIO CEREAL PRUNDU COOPERATIVĂ AGRICOLĂ,Giurgiu,Prundu,,4611,16674772,0,529610,0,16,0
45403704,VETAGRO CLUJ COOPERATIVĂ AGRICOLĂ,Cluj,Copaceni,,0150,16472843,24462617,1050,0,7,0
45248660,GUST DIN GUSTURI GIURGIUVENE COOPERATIVĂ AGRICOLĂ,Giurgiu,Vărăşti,,4631,16409840,4337722,1524905,0,9,0
40900087,COOPERATIVA AGRICOLĂ CRIŞANA LACT,Bihor,Tăut,Telefon: 0771674031; Telefon: 0749671167; ,4633,15873126,15710617,657201,0,16,2
44256249,BIO TOP ROMANIA COOPERATIVĂ AGRICOLĂ,Constanţa,Ovidiu,,4621,14847735,13826671,37639,0,26,2
43820047,BĂRĂGANUL AGROLIFE COOPERATIVĂ AGRICOLĂ,Călăraşi,Tămădău Mare,Telefon: 0745777947; Adresa de e-mail: vasile_nicu@yahoo.com; ,4621,14704019,30228171,22925,0,7,0
28274995,TARNAVA MARE COOPERATIVA AGRICOLĂ,Harghita,Cristuru Secuiesc,Telefon mobil: 0745327963; ,1051,14583730,14790337,891327,0,9,40
36896565,COOPERATIVA AGRICOLĂ DE PRODUCȚIE ȘI DESFACERE AGROSTAR,Giurgiu,Câmpurelu,Telefon: 0040213111514; ,4631,14410514,6801449,527641,0,5,2
47154065,FERMELE BRAILENE COOPERATIVĂ AGRICOLĂ,Brăila,Chiscani,,0111,14183857,0,465270,0,6,0
28046229,VEGELACT COOPERATIVĂ AGRICOLĂ,Braşov,Ucea de Jos,Telefon: 00743833991; ,0141,14041128,13205466,8334,0,7,0
44893489,AGRICOOP AL TREILEA VAL COOPERATIVĂ AGRICOLĂ,Teleorman,Piatra,,4621,13960167,2555435,0,2764,7,0
47348096,AGROBELA STEJARU COOPERATIVĂ AGRICOLĂ,Tulcea,Neatârnarea,Telefon mobil: 0744100353; ,,13862305,0,835036,0,25,0
45685435,GRĂDINA NOASTRĂ DIN ÎNSURĂŢEI COOPERATIVĂ AGRICOLĂ,Brăila,Insurăţei,,0113,13696339,4682266,24255,0,10,0
45215603,VEGETERRA COOPERATIVĂ AGRICOLĂ,Covasna,Cernat,,4631,13690716,10489716,541002,0,8,1
41645705,AGRO VICINA COOPERATIVĂ AGRICOLĂ,Călăraşi,Ştefan Vodă,,0111,13668571,12402796,311899,0,7,0
38812480,AGRIDUDCOOP FARM COOPERATIVA AGRICOLĂ,Brăila,Dudescu,,1091,13308526,10246850,44122,0,6,1
38029543,MOLDOVA NORD GRUP COOPERATIVA AGRICOLĂ ,Iaşi,Dumbravita,Telefon: 0744149464; ,4631,13272878,9021078,52819,0,5,3
42615010,KALINKA ECO FARM COOPERATIVĂ AGRICOLĂ,Tulcea,Sarichioi,Telefon mobil: 0747568470; Adresa de e-mail: ivan.fedot@transmeteorit.ro; ,4631,12902459,4926465,872946,0,6,1
44616607,CERES ALBESTI COOPERATIVĂ AGRICOLĂ,Constanţa,Albeşti,Telefon: 0770336583; ,4621,12678551,17672046,248676,0,5,1
23576518,5 S-E COOPERATIVĂ AGRICOLĂ,Constanţa,Negru Vodă,Telefon: 0726375273; Telefon: 0241518517; ,4611,12383368,21788742,15779,0,8,0
41455581,FERMELE DE NORD MOLDOVA COOPERATIVĂ AGRICOLĂ,Botoşani,Hudeşti,Telefon mobil: 0744502511; ,4633,12315575,11535171,547548,0,15,1
42197383,DEALURI DIN BIHOR COOPERATIVĂ AGRICOLĂ,Bihor,Cauaceu,,4633,12186143,6747543,2083799,0,5,2
39936095,SAMBATA NOUA COOPERATIVA AGRICOLĂ,Tulcea,Tulcea,Telefon mobil: 0744516121; ,4621,12155487,8180502,102877,0,15,2
29455558,OVO GALINA COMPANY COOPERATIVA AGRICOLĂ,Braşov,Vulcan,Telefon: 0726713723; ,0150,12071292,9588299,598108,0,6,5
43580165,CEREALIS VEST COOPERATIVĂ AGRICOLĂ,Arad,Nădlac,Telefon: 0759547556; ,4621,11900898,0,1079298,0,50,3
26042220,TIMLACTAGRO COOPERATIVĂ AGRICOLĂ,Timiş,Bucovaţ,Telefon: 0740075336; Fax: 0256393105; Telefon: 0256438100; ,4633,11750307,25173805,15511,0,14,25
44063965,AGRO FRUCT SUD COOPERATIVĂ AGRICOLĂ,Dolj,Cosoveni,,4621,11715519,21935968,41468,0,5,0
28265148,UNIREA SUTESTI COOPERATIVA AGRICOLĂ,Brăila,Mihail Kogălniceanu,Telefon: 0745010737; ,4621,11695850,12023418,0,285144,21,2
43970737,AGROSIL SILISTEA COOPERATIVĂ AGRICOLĂ,Brăila,Silistea,,4621,11606144,16588433,195191,0,6,1
43965676,FERMELE CÂMPUL PÂINII COOPERATIVĂ AGRICOLĂ,Hunedoara,Aurel Vlaicu,,4621,11196531,9367470,214283,0,6,1
40890668,AVICOLA CATALOI COOPERATIVA AGRICOLĂ,Tulcea,Cataloi,,4633,11141794,7204195,600225,0,19,1
41485736,BOVAGRO PISCARI COOPERATIVA AGRICOLĂ,Satu Mare,Pişcari,Telefon mobil: 0722650268; ,0150,11090529,6985524,279112,0,6,1
44913012,COOPERATIVA AGRICOLĂ GIDO MILK,Covasna,Ghidfalău,,4633,11024055,9915910,140355,0,6,1
46557795,IFBV AGRO COOPERATIVĂ AGRICOLĂ,Brăila,Ianca,,4621,10971440,1154596,39326,0,6,1
45192194,RODUL DOBROGEI COOPERATIVĂ AGRICOLĂ,Tulcea,Baia,Telefon mobil: 0722156004; ,4621,10939700,8067518,618,0,5,1
43064890,UNIREA FERMIERILOR COOPERATIVĂ AGRICOLĂ,Cluj,Câmpia Turzii,Telefon: 0759547556; ,4621,10900452,10660543,20065,0,8,1
43923360,COOPERATIVĂ AGRICOLĂ GRADINA NOASTRA DIN ZARAND,Arad,Arad,,4631,10891205,6046762,220459,0,7,1
40303100,MEAT SUIN PROD COOPERATIVA AGRICOLĂ,Argeş,Bradu,,1011,10792447,8012143,32041,0,6,0
44958626,COOPERATIVA AGRICOLĂ AGRISOL FARM,Brăila,Zăvoaia,,4621,10576406,9757811,207517,0,6,5
39076136,COOPERATIVĂ AGRICOLĂ RÂUL NEGRU,Covasna,Cernat,Adresa de e-mail: cooperativa.râul negru.cv@gmail.com; ,4631,10286719,4223288,990811,0,19,1
41236140,AGROLEGBIO IZBICENI COOPERATIVĂ AGRICOLĂ,Olt,Izbiceni,,4631,10152495,5742066,1477704,0,6,1
41935377,AGRO COSERENI COOPERATIVĂ AGRICOLĂ,Ialomiţa,Coşereni,,0111,10119653,0,318118,0,7,1
26950179,COOPERATIVA SILISTEA PRODUCTIE SUINE COOPERATIVA AGRICOLĂ,Ilfov,Oraş Pantelimon,Telefon: 0213695790; ,4632,9926906,5400045,0,694108,7,24
40983171,FERMELE AGROBRAVA COOPERATIVĂ AGRICOLĂ,Constanţa,Poiana,Telefon: 0744656454; ,4631,9809086,7459410,283432,0,6,4
27162519,AGRO COM SIC COOPERATIVA AGRICOLA,Harghita,Tuşnad,Telefon: 0266334092; Fax: 0372878299; Telefon mobil: 0746071568; Telefon mobil: 0727890914; ,4621,9770494,8299281,275214,0,11,1
39962035,FRUITOPIA COOPERATIVĂ AGRICOLĂ,Bucureşti,Bucureşti Sectorul 6,,4631,9707482,8188134,1151,0,8,2
44598691,VALEA SĂLAJULUI COOPERATIVĂ AGRICOLĂ,Sălaj,Dobrin,,4621,8965038,10855832,407637,0,5,1
39219708,AGRO ZAMFIRA COOPERATIVA AGRICOLĂ,Teleorman,Călineşti,,4611,8959264,8072968,2648,0,9,0
45456695,AGROMEAT FARMS COOPERATIVĂ AGRICOLĂ,Vaslui,Murgeni,Telefon mobil: 0760282923; ,4611,8909373,4402513,157,0,6,0
44849270,COOPERATIVA AGRICOLA AGRO MIXT FARM,Bistriţa-Năsăud,Orheiu Bistriţei,,0150,8860944,6865199,100325,0,8,0
40360815,FIRST CEREAL SĂGEATA COOPERATIVA AGRICOLĂ,Buzău,Baniţa,Telefon: 0761337283; ,4621,8720481,3012468,102729,0,7,0
42411648,COOPERATIVA AGRICOLĂ AGROPROD BANAT,Timiş,Sângeorge,,4621,8698388,14556263,7211,0,6,0
26070379,COOPERATIVA AGRICOLĂ VIA DOMNULUI COOPERATIVA AGRICOLĂ,Prahova,Urlaţi,Telefon: 0743535010; Telefon: 0730018029; ,0121,8464676,5905413,2213215,0,5,17
44739251,AGRO MIHAIL KOGĂLNICEANU COOPERATIVĂ AGRICOLĂ,Constanţa,Mihail Kogălniceanu,,0111,8449845,10973910,54026,0,5,0
42639574,BUNASTAREA FERMIERULUI COOPERATIVĂ AGRICOLĂ,Buzău,Balta Albă,Adresa de e-mail: BUNASTAREAFERMIERULUI@GMAIL.COM; Telefon: 0765344488; ,0111,8380069,4616271,86247,0,22,1
39666579,COLINELE BUCOVINEI COOPERATIVĂ AGRICOLĂ,Botoşani,Cândeşti,,0111,8299141,6396052,273046,0,6,1
39873752,COLINELE DUNĂRII COOPERATIVĂ AGRICOLĂ,Călăraşi,Olteniţa,,4621,8267915,11345818,521742,0,12,1
43735880,RADIC STAR MEAT COOPERATIVĂ AGRICOLĂ,Argeş,Oraş Ştefăneşti,,4632,8182120,8088087,41252,0,5,0
28784323,BUZGĂU TĂŞNAD COOPERATIVA AGRICOLĂ,Satu Mare,Tăşnad,Telefon: 0261825850; ,4621,8126161,8549104,93040,0,6,1
43834654,ANGUS BÂRLOGU-NEGRAŞI COOPERATIVĂ AGRICOLĂ,Argeş,Bârlogu,,0111,8045494,6203407,21588,0,6,1
41113635,LEGUMICOLA PROD FRESH COOPERATIVĂ AGRICOLĂ,Giurgiu,Câmpurelu,Telefon mobil: 0733109041; ,0113,8040155,1476734,1149205,0,8,0
45200890,BAZINUL GHEORGHENULUI COOPERATIVĂ AGRICOLĂ,Harghita,Lăzarea,Telefon mobil: 0733675699; ,,7912188,0,0,87065,6,1
45182506,PRODUS CU DRAG ÎN BĂRĂGAN COOPERATIVĂ AGRICOLĂ,Buzău,Poşta,,4623,7907848,5467703,24646,0,5,1
43511599,COOPERATIVA AGRICOLĂ VICTORIA,Iaşi,Victoria,,4621,7852007,17943782,1236143,0,6,0
44598721,BOSTĂNĂRIA COOPERATIVĂ AGRICOLĂ,Ialomiţa,Gheorghe Doja,Telefon mobil: 0722156205; ,4631,7825862,3123402,212970,0,5,2
45407323,COOPERATIVA AGRICOLĂ BABANA DOROBANȚU,Călăraşi,Dorobanţu,,,7741441,0,699762,0,6,0
45276350,ȚINUTUL PRUTULUI COOPERATIVĂ AGRICOLĂ,Galaţi,Folteşti,Telefon: 0766239731; ,4621,7736891,10088281,53378,0,8,1
44566924,DOBROMIH CERES COOPERATIVĂ AGRICOLĂ,Tulcea,Mahmudia,,4621,7603124,6653511,122805,0,7,1
45397009,FAT POTATO GROUP COOPERATIVĂ AGRICOLĂ,Covasna,Cernat,,4631,7524089,4741858,119031,0,5,0
28407161,CSENGO COOPERATIVA AGRICOLĂ,Harghita,Frumoasa,Telefon mobil: 0741651242; ,1051,7521377,7432738,469275,0,145,14
46636104,DUNĂREA GARDEN COOPERATIVĂ AGRICOLĂ,Olt,Corabia,,4611,7463095,786931,481048,0,21,0
39579367,HOGS FARM LAND COOPERATIVA AGRICOLĂ,Botoşani,Dumeni,Telefon mobil: 0766686453; ,0146,7452715,7610198,110643,0,7,3
44706874,GLIA STRĂMOŞEASCĂ COOPERATIVĂ AGRICOLĂ,Tulcea,Enisala,,4621,7450782,5182804,250130,0,8,1
41772172,COOPERATIVA AGRICOLĂ MOLDOAGRIAS GRUP LETEA,Bacău,Letea Veche,,0111,7450209,6752707,14709,0,12,0
37804853,COOPERATIVA AGRICOLĂ GRUP TOP AGRO,Suceava,Dumbrăveni,Telefon mobil: 0722610011; ,4621,7411131,5911286,1574,0,5,2
43529650,AFI PROD LEGUMBIO COOPERATIVĂ AGRICOLĂ,Olt,Izbiceni,Telefon: 0740757393; ,4631,7364162,4208045,310529,0,6,2
48222150,MICUL GRĂDINAR COOPERATIVĂ AGRICOLĂ,Constanţa,Osmancea,Telefon mobil: 0766326715; Adresa de e-mail: micul.agricultorsrl@gmail.com; ,4621,7332241,0,0,44077,5,0
45028966,AGROZOOTEHNICA VALAHIA COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Bălteni,Telefon mobil: 0745257464; Adresa de e-mail: dragosal@yahoo.com; ,4621,7275130,5297705,70656,0,17,1
40139785,ALEXANDRU ODOBESCU COOPERATIVĂ AGRICOLĂ,Călăraşi,Alexandru Odobescu,Telefon mobil: 0729898108; ,4631,7273418,4248328,289450,0,13,1
34241801,COOPERATIVA AGRICOLĂ TORMAC,Timiş,Tormac,Telefon mobil: 0744695736; ,4621,7247757,7631350,42384,0,9,1
44890199,FNC COGEALAC COOPERATIVĂ AGRICOLĂ,Constanţa,Cogealac,Telefon: 0759547556; ,4621,7224983,3262376,303693,0,21,1
43651444,CRIŞUL NEGRU TINCA COOPERATIVĂ AGRICOLĂ,Bihor,Tinca,Telefon: 0759547556; ,4632,7218908,10619353,620990,0,16,2
47647551,GRĂDINA NOASTRĂ DIN BEIUȘ COOPERATIVA AGRICOLĂ,Bihor,Beiuş,Telefon: 0740358782; ,4631,7131623,0,279058,0,6,1
43425366,AGRIPALAS CONSTANTA COOPERATIVĂ AGRICOLĂ,Constanţa,Constanţa,Telefon: 0724275843; ,4621,7130425,13267148,46720,0,7,0
45170323,COOPERATIVA AGRICOLA MICI FERMIERI LOCALI,Bihor,Tinca,Telefon: 0743191312; ,4621,7095668,2901818,29673,0,7,1
45287073,FERMIERII ISCUSIŢI COOPERATIVĂ AGRICOLĂ,Ialomiţa,Valea Ciorii,Telefon: 0721046718; ,4631,7031348,4651851,122672,0,10,0
45431704,AGROZOOTEHNICA ODOBESCU COOPERATIVĂ AGRICOLĂ,Călăraşi,Alexandru Odobescu,,4621,6921067,1563358,20087,0,8,1
34037314,RECOLTA GHEORGHE DOJA COOPERATIVA AGRICOLĂ,Ialomiţa,Gheorghe Doja,Telefon: 0040243262561; Fax: 0040243262561; Telefon mobil: 0723342285; Adresa de e-mail: recolta.gheorghedoja@gmail.com; ,4631,6899846,4598335,77180,0,5,1
45253305,COOPERATIVA AGRICOLĂ AGROFERTIL VIZIRU,Brăila,Chiscani,,4621,6808915,4318128,44751,0,10,0
44615318,CEREAL OLT PREST COOPERATIVĂ AGRICOLĂ,Olt,Constantineşti,,4611,6750717,7283281,59946,0,7,0
33822962,BOVI SOMES COOPERATIVA AGRICOLĂ,Sălaj,Sat Someş-Odorhei | Comuna Someş-Odorhei,,4633,6740712,7460862,1161,0,31,2
41391739,UNITED FARMS ROM COOPERATIVA AGRICOLĂ,Bacău,Buhuşi,,4611,6724499,6294324,25428,0,16,1
39604908,LEGUME - FRUCTE ROUA COOPERATIVĂ AGRICOLĂ,Bucureşti,Bucureşti Sectorul 2,,4631,6693894,4287338,2593,0,5,3
39498190,COOPERATIVA AGRICOLĂ ȚIBLEȘ-SOMEȘ-MELEȘ,Bistriţa-Năsăud,Nuseni,,4633,6692002,2403516,497515,0,164,8
39982776,KALPANA AGRICULTURA COOPERATIVA AGRICOLĂ,Galaţi,Tudor Vladimirescu,Telefon: 0742223897; ,0111,6686341,5287842,360984,0,6,0
44443719,PLAIURI BĂRĂGANE COOPERATIVĂ AGRICOLĂ,Ialomiţa,Iazu,,4621,6680606,7025184,67184,0,17,0
36033793,ARDEAL LACT COOPERATIVA AGRICOLĂ,Cluj,Soporu de Câmpie,Telefon: 0763668628; ,4633,6663856,7698542,0,13296,8,1
45074601,AGROBORDUŞANI COOPERATIVĂ AGRICOLĂ,Ialomiţa,Borduşani,Telefon mobil: 0733929712; ,4621,6646382,4960078,26645,0,5,0
44892564,FARMER HOUSE COOPERATIVĂ AGRICOLĂ,Călăraşi,Belciugatele,,4631,6559295,1994842,38018,0,21,0
45257013,AGRO CEREALE LUNCA DUNĂRII COOPERATIVĂ AGRICOLĂ,Teleorman,Traian,,4621,6501943,665912,18546,0,5,0
44947848,AGRIPROFIL COOPERATIVĂ AGRICOLĂ,Ialomiţa,Iazu,Telefon mobil: 0729054361; Adresa de e-mail: agriprofil@gmail.com; ,4621,6458926,6673424,124620,0,6,0
45129618,COOPERATIVA AGRICOLĂ LUNCA SABARULUI,Ilfov,Jilava,,4621,6389143,70750,9202,0,6,1
31186478,COOPERATIVA AGRICOLĂ CARASSU CASTELU,Constanţa,Castelu,Telefon mobil: 0722627554; ,4621,6326492,8154621,28026,0,10,1
30429234,SUIN ARDEAL COOPERATIVA AGRICOLĂ,Sălaj,Zalău,,4623,6306763,5597020,0,9804,5,0
45283870,SUDUL MOLDOVEI COOPERATIVĂ AGRICOLĂ,Galaţi,Galaţi,Telefon mobil: 0743054081; Adresa de e-mail: silvia.atanasiu10@gmail.com; ,4621,6291028,3321478,410430,0,22,1
43499223,AGRO CHIS LUCACENI COOPERATIVĂ AGRICOLĂ,Satu Mare,Lucăceni,,0111,6236759,5652214,458644,0,5,0
48112122,ADM GRAINS PRODUCTION COOPERATIVĂ AGRICOLĂ,Constanţa,Cogealac,Telefon: 0766648968; Adresa de e-mail: andreeabutcaru98@yahoo.com; ,4621,6165572,0,34299,0,7,0
