name,email,county,phone,partid_primar,partid_consiliu
Albeşti,primaria.albesti@yahoo.com,Botosani,0231-572140,Partidul Social Democrat,Partidul Social Democrat
Albeşti,primaria_loc.albesti@yahoo.com,Constanta,0241-736708,Partidul Național Liberal,Partidul Național Liberal
Albeşti,albestiprimaria@yahoo.com,Ialomita,0243-268002,Partidul Social Democrat,Partidul Social Democrat
Albeşti,albesti@cjmures.ro,Mures,0265-778001,Partidul Social Democrat,Partidul Social Democrat
Albeşti,chicireanu_mioara@yahoo.com,Vaslui,0235-344002,Partidul Social Democrat,Partidul Social Democrat
Albeşti-Paleologu,primariaalbesti@clicknet.ro,Prahova,0244-232853,Partidul Social Democrat,Partidul Social Democrat
Albeştii De Argeş,primaria_albestiidearges@yahoo.com,Arges,0248-735005,Partidul Național Liberal,Partidul Național Liberal
Albeştii De Muscel,primariaalbesti@yahoo.com,Arges,0248-555300,Partidul Național Liberal,Partidul Național Liberal
Albota,primarie@albota.cjarges.ro,Arges,0248-233187,Partidul Social Democrat,Partidul Social Democrat
Alexandru Cel Bun,primariaacbnt@yahoo.com,Neamt,0233-241018,Partidul Național Liberal,Partidul Național Liberal
Alexandru I. Cuza,primaria_aicuza@yahoo.com,Iasi,,,
Alexandru Odobescu,primaria_alodobescu@yahoo.com,Calarasi,,Partidul Național Liberal,Partidul Național Liberal
Alexandru Vlahuţă,primariavlahuta@yahoo.com,Vaslui,0235-429317,Partidul Social Democrat,Partidul Social Democrat
Alexeni,primaria_alexeni@yahoo.com,Ialomita,0243-249553,Partidul Național Liberal,Partidul Național Liberal
Aleşd,primaria.alesd@cjbihor.ro,Bihor,0259-342539,Partidul Național Liberal,Partidul Național Liberal
Aliman,primaria_aliman@yahoo.com,Constanta,0241-856207,Partidul Național Liberal,Partidul Național Liberal
Alimpeşti,mariananegreanu@gmail.com,Gorj,0253-275181,Partidul Național Liberal,Partidul Național Liberal
Alma,primaria.alma@sibiu.stslink.ro,Sibiu,0269-257545,Partidul Național Liberal,Partidul Național Liberal
Alma,primaria_alma@yahoo.com,Sibiu,0269-257545,Partidul Național Liberal,Partidul Național Liberal
Almaş,beteaimpex@gmail.com,Arad,0742904791,Partidul Național Liberal,Partidul Național Liberal
Almaşu,primariaalmasu.salaj@yahoo.com,Salaj,0260-626609,UDMR,UDMR
Almaşu Mare,primaria_almasu_mare@yahoo.com,Alba,0258-850105,Partidul Național Liberal,Partidul Național Liberal
Almăj,almaj@cjdolj.ro,Dolj,0251-449397,Partidul Social Democrat,Partidul Social Democrat
Altina,primaria.altana@yahoo.com,Sibiu,,Partidul Social Democrat,Partidul Social Democrat
Aluniş,primariaalunis@yahoo.com,Cluj,0264-263505,Partidul Național Liberal,Partidul Național Liberal
Aluniş,alunis@cjmures.ro,Mures,0265-553112,UDMR,UDMR
Aluniş,alunis@prefecturaprahova.ro,Prahova,0244-248052,Partidul Social Democrat,Partidul Social Democrat
Alunu,primaria_alunu@yahoo.com,Valcea,,Partidul Social Democrat,Partidul Social Democrat
Amara,consiliullocalamara@yahoo.com,Ialomita,0243-266102,Partidul Social Democrat,Partidul Social Democrat
Amzacea,primariaamzacea@yahoo.com,Constanta,0241-819913,Partidul Național Liberal,Partidul Național Liberal
Amărăşti,primaria_amarasti@yahoo.com,Valcea,0250-764022,Partidul Național Liberal,Partidul Național Liberal
Amărăştii De Jos,amarastii_de_jos@cjdolj.ro,Dolj,0251-374020,Partidul Social Democrat,Partidul Social Democrat
Amărăştii De Sus,amarastii_de_sus@cjdolj.ro,Dolj,0251-375311,Partidul Social Democrat,Partidul Social Democrat
Andrid,primariaandrid@yahoo.com,Satu Mare,0261-820409,UDMR,UDMR
Andrieşeni,andrieseniprimaria@yahoo.com,Iasi,0232-297488,Partidul Social Democrat,Partidul Social Democrat
Andrăşeşti,primaria.andrasesti.il@gmail.com,Ialomita,0243-267544,Partidul Național Liberal,Partidul Național Liberal
Anina,primar@anina.ro,Caras-Severin,0255-240115,Partidul Național Liberal,Partidul Național Liberal
Aninoasa,primariaaninoasa@yahoo.com,Arges,0248-577101,Partidul Național Liberal,Partidul Național Liberal
Aninoasa,aninoasadb@yahoo.com,Dambovita,0245-226214,Partidul Social Democrat,Partidul Social Democrat
Aninoasa,aninoasaprimaria@yahoo.com,Gorj,0253-477223,Partidul Național Liberal,Partidul Național Liberal
Apa,primaria.apa@gmail.com,Satu Mare,0261-843001,Partidul Național Liberal,Partidul Național Liberal
Apahida,apahida_cj@yahoo.com,Cluj,0264-231777,Partidul Național Liberal,Partidul Național Liberal
Apahida,fionel_apahida@yahoo.com,Cluj,0264-231777,Partidul Național Liberal,Partidul Național Liberal
Apaţa,primaria57apata@yahoo.com,Brasov,0268-284504,Partidul Național Liberal,Partidul Național Liberal
Apele Vii,apele_vii@cjdolj.ro,Dolj,0251-371607,Partidul Social Democrat,Partidul Social Democrat
Apold,apold@cjmures.ro,Mures,0265-713104,Partidul Național Liberal,Partidul Național Liberal
Apoldu De Jos,apoldudejos@gmail.com,Sibiu,0269-588101,Partidul Social Democrat,Partidul Social Democrat
Apostolache,apostolache@prefecturaprahova.ro,Prahova,0244-443008,Partidul Național Liberal,Partidul Național Liberal
Arad,pma@primariaarad.ro,Arad,0257-281850,Partidul Național Liberal,Partidul Național Liberal
Arbore,primaria_arbore@yahoo.com,Suceava,0230-539411,Partidul Social Democrat,Partidul Social Democrat
Arcani,primariaarcani@yahoo.com,Gorj,0253-278004,Partidul Social Democrat,Partidul Social Democrat
Archiş,primariaarchis@yahoo.com,Arad,0257-323553,Partidul Social Democrat,Partidul Social Democrat
Arcuş,arkos@planet.ro,Covasna,0267-373675,UDMR,UDMR
Ardeoani,primariaardeoani@yahoo.com,Bacau,0234-354122,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Ardud,primaria.ardud@yahoo.com,Satu Mare,0261-767130,Partidul Național Liberal,Partidul Național Liberal
Ardusat,primaria@ardusat.ro,Maramures,0262-265242,Partidul Social Democrat,Partidul Social Democrat
Arefu,primaria.arefu@yahoo.com,Arges,0248-730210,Partidul Social Democrat,Partidul Social Democrat
Argetoaia,argetoaia@cjdolj.ro,Dolj,0251-452701,Partidul Social Democrat,Partidul Social Democrat
Aricestii Zeletin,primariaaricesti@yahoo.com,Prahova,,Partidul Național Liberal,Partidul Național Liberal
Ariceştii Rahtivani,pleseagabriela@yahoo.com,Prahova,0244-380080,Partidul Social Democrat,Partidul Social Democrat
Arieşeni,primariaarieseni@yahoo.com,Alba,0358-402989,Partidul Național Liberal,Partidul Național Liberal
Ariniş,mariana.pacurar@yahoo.com,Maramures,0262-265406,Partidul Social Democrat,Partidul Social Democrat
Armeniş,primaria_armenis@yahoo.com,Caras-Severin,0255-529604,Partidul Național Liberal,Partidul Național Liberal
Armăşeşti,prim_armasesti@yahoo.com,Ialomita,0243-288512,Partidul Social Democrat,Partidul Social Democrat
Aroneanu,primariaaroneanu@yahoo.com,Iasi,0232-299255,Partidul Național Liberal,Partidul Național Liberal
Arpaşu De Jos,arpasudejos@yahoo.com,Sibiu,0269-520101,Partidul Social Democrat,Partidul Social Democrat
Arsura,primaria.arsura@yahoo.com,Vaslui,0235-482019,Partidul Național Liberal,Partidul Național Liberal
Asuaju De Sus,primaria.asuaj@yahoo.com,Maramures,0262-267601,Partidul Național Liberal,Partidul Social Democrat
Asău,primaria_asau@yahoo.com,Bacau,0234-386338,Partidul Social Democrat,Partidul Social Democrat
Atid,primariaatid@citromail.hu,Harghita,092299849,P. LÖRINCZI,UDMR
Augustin,primariaaugustin@yahoo.com,Brasov,0268-284993,Partidul Social Democrat,Partidul Social Democrat
Auşeu,primaria.auseu@cjbihor.ro,Bihor,0259-447036,Partidul Național Liberal,Partidul Național Liberal
Avram Iancu,primariaavramiancu@mail.ro,Alba,0258-786057,Partidul Social Democrat,Partidul Social Democrat
Avram Iancu,primaria.avramiancu@cjbihor.ro,Bihor,0259-391092,Partidul Social Democrat,Partidul Social Democrat
Avrămeni,primaria_avrameni@yahoo.com,Botosani,0231-563133,Partidul Social Democrat,Partidul Social Democrat
Avrămeşti,avramesti@netter.ro,Harghita,0266-220024,UDMR,UDMR
Axente Sever,primaria_axsever@yahoo.com,Sibiu,0269-840001,Partidul Național Liberal,Partidul Național Liberal
Axintele,primariaaxintele@yahoo.com,Ialomita,0243-317778,Partidul Social Democrat,Partidul Social Democrat
Azuga,azuga@prefecturaprahova.ro,Prahova,0244-326300,Partidul Social Democrat,Partidul Național Liberal
Aşchileu,primariaaschileu@yahoo.com,Cluj,0264-286765,Partidul Național Liberal,Partidul Național Liberal
Aştileu,primaria.astileu@cjbihor.ro,Bihor,0259-349097,Partidul Național Liberal,Partidul Național Liberal
Aţel,primaria_atel@yahoo.com,Sibiu,0269-515714,Partidul Național Liberal,Partidul Național Liberal
Aţintiş,atintis@cjmures.ro,Mures,0265-714193,Partidul Social Democrat,Partidul Social Democrat
Baba Ana,babaana@prefecturaprahova.ro,Prahova,0244-251211,Partidul Național Liberal,Partidul Național Liberal
Babadag,contact@primaria-babadag.ro,Tulcea,0240-561012,Partidul Național Liberal,Partidul Național Liberal
Baciu,primariabaciu@yahoo.com,Cluj,0264-260314,UDMR,UDMR
Bacău,contactprimarie@primariabacau.ro,Bacau,0234-581504,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,ALIANȚA ELECTORALĂ PSD PNL
Bahna,primaria@bahna.ro,Neamt,0233-760002,Partidul Național Liberal,Partidul Național Liberal
Bahnea,bahnea@cjmures.ro,Mures,0265-455112,Partidul Național Liberal,Partidul Național Liberal
Baia,primariacombaia@yahoo.com,Suceava,0230-540990,Partidul Social Democrat,Partidul Social Democrat
Baia,primariabaia@yahoo.com,Tulcea,0240-564138,Partidul Național Liberal,Partidul Național Liberal
Baia De Aramă,primaria_bda@yahoo.com,Mehedinti,0252-381473,Partidul Social Democrat,Partidul Social Democrat
Baia De Arieş,primbaia@yahoo.com,Alba,0258-775002,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Baia De Criş,primaria.baia@clicknet.ro,Hunedoara,0254-682119,Partidul Social Democrat,Partidul Social Democrat
Baia De Fier,baiadefierprimaria@yahoo.com,Gorj,0253-461202,Partidul Social Democrat,Partidul Social Democrat
Baia Sprie,primaria@baiasprie.ro,Maramures,0262-262303,Partidul Național Liberal,Partidul Național Liberal
Bala,clbala@sejmh.ro,Mehedinti,0252-386001,Partidul Național Liberal,Partidul Național Liberal
Balaciu,primaria@balaciu.ro,Ialomita,0243-261244,Partidul Social Democrat,Partidul Social Democrat
Balc,primaria.balc@cjbihor.ro,Bihor,0259-326332,Partidul Național Liberal,Partidul Național Liberal
Balcani,primariabalcani@yahoo.com,Bacau,0234-380701,Partidul Social Democrat,Partidul Social Democrat
Baldovineşti,primaria.baldovinesti@gmail.com,Olt,0249-456577,Partidul Social Democrat,Partidul Social Democrat
Balinț,primariabalint@yahoo.com,Timis,0256-333201,Uniunea Salvați România,Partidul Social Democrat
Baloteşti,gulie.mariana@yahoo.com,Ilfov,,Partidul Social Democrat,Partidul Social Democrat
Balsa,primaria.balsa@yahoo.com,Hunedoara,0254-648001,Partidul Național Liberal,Partidul Național Liberal
Balta,clbalta@sejmh.ro,Mehedinti,0252-388001,Partidul Național Liberal,Partidul Național Liberal
Balta Albă,primariabaltaalba@gmail.com,Buzau,0238-590063,Partidul Social Democrat,Partidul Social Democrat
Balta Doamnei,baltadoamnei@prefecturaprahova.ro,Prahova,0244-469311,PARTIDUL ROMÂNIA ÎN ACȚIUNE,Partidul Social Democrat
Balş,primaria@bals.ro,Olt,0249-450145,Partidul Social Democrat,Partidul Social Democrat
Balș,primariacomuneibals@yahoo.com,Iasi,0232-740067,Partidul Social Democrat,Partidul Social Democrat
Band,band@cjmures.ro,Mures,0265-428403,Partidul Național Liberal,Partidul Național Liberal
Bania,pavel.ban@cs.ro,Caras-Severin,0762758581,Partidul Social Democrat,Partidul Social Democrat
Banloc,banlocprimarie@yahoo.com,Timis,0256-417308,Partidul Național Liberal,Partidul Național Liberal
Baraolt,secretar@primariabaraolt.ro,Covasna,0267-377507,UDMR,UDMR
Barcani,primaria.barcani@yahoo.com,Covasna,0267-372331,Partidul Național Liberal,Partidul Național Liberal
Barcea,barcea_galati@hotmail.com,Galati,0236-335701,Partidul Național Liberal,Partidul Național Liberal
Baru,primariabaru@yahoo.com,Hunedoara,0254-778003,Partidul Național Liberal,Partidul Național Liberal
Bascov,primariabascov@yahoo.com,Arges,0248-270525,Partidul Social Democrat,Partidul Social Democrat
Bata,papucb.contabil@gmail.com,Arad,0257-434701,Partidul Național Liberal,Partidul Național Liberal
Batoş,batos@cjmures.ro,Mures,0265-544212,Partidul Social Democrat,Partidul Social Democrat
Batăr,primariabatar@yahoo.com,Bihor,0259-312268,Partidul Social Democrat,Partidul Social Democrat
Bazna,baznaprimaria@yahoo.com,Sibiu,0269-850102,Partidul Social Democrat,Partidul Național Liberal
Beba Veche,primariabebaveche@yahoo.com,Timis,0256-385501,ALIANȚA ELECTORALĂ PSD PNL,ALIANȚA ELECTORALĂ PSD PNL
Beceni,primariabeceni@yahoo.com,Buzau,0238-528631,Partidul Social Democrat,Partidul Social Democrat
Bechet,bechet@cjdolj.ro,Dolj,0251-336826,Partidul Social Democrat,Partidul Social Democrat
Becicherecu Mic,becicherecumic@yahoo.com,Timis,0256-378501,Partidul Social Democrat,Partidul Social Democrat
Beclean,secretariat@primariabeclean.ro,Bistrita-Nasaud,0263-343687,Partidul Social Democrat,Partidul Social Democrat
Beclean,secretariat@becleanbrasov.ro,Brasov,0268-518668,Partidul Național Liberal,Partidul Național Liberal
Beica De Jos,beica@cjmures.ro,Mures,0265-719700,Partidul Social Democrat,Partidul Social Democrat
Beidaud,primariabeidaud@yahoo.com,Tulcea,0240-564848,Partidul Social Democrat,Partidul Social Democrat
Beiuş,primaria.beius@cjbihor.ro,Bihor,0259-321935,Partidul Național Liberal,Partidul Național Liberal
Belceşti,primaria_belcesti@yahoo.com,Iasi,0232-724100,Partidul Social Democrat,Partidul Social Democrat
Belciugatele,primbelciugatele@yahoo.com,Calarasi,0242-643125,Partidul Social Democrat,Partidul Social Democrat
Beleţi-Negreşti,beleti_negresti@yahoo.com,Arges,0248-657225,Partidul Social Democrat,Partidul Social Democrat
Belin,vajdapiroska@freemail.hu,Covasna,0267-355760,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
Belint,primaria@belint.ro,Timis,0256-327165,Partidul Național Liberal,Partidul Național Liberal
Belinţ,primariabelint@gmail.com,Timis,0256-327165,Partidul Național Liberal,Partidul Național Liberal
Beliu,primariabeliu@gmail.com,Arad,0257-322239,Partidul Național Liberal,Partidul Național Liberal
Beltiug,primaria.beltiug@yahoo.com,Satu Mare,0261-870071,Partidul Național Liberal,Partidul Național Liberal
Benesat,benesatsj@yahoo.com,Salaj,0260-654184,Partidul Național Liberal,Partidul Național Liberal
Bengesti-Ciocadia,bengesti@yahoo.com,Gorj,,Partidul Social Democrat,Partidul Social Democrat
Berbeşti,primaria_berbestivl2006@yahoo.com,Valcea,0250-869345,Partidul Social Democrat,Partidul Național Liberal
Berca,secretar.berca@gmail.com,Buzau,0238-526537,Partidul Social Democrat,Partidul Social Democrat
Berceni,primaria_berceni@yahoo.com,Ilfov,021-3612703,Partidul Național Liberal,Partidul Național Liberal
Berceni,berceniprimaria@yahoo.com,Prahova,0244-470588,Partidul Național Liberal,Partidul Național Liberal
Berchişeşti,primariaberchisesti@yahoo.com,Suceava,0330-562098,Partidul Social Democrat,Partidul Social Democrat
Bereni,bereni@cjmures.ro,Mures,0265-345416,UDMR,UDMR
Berevoeşti,primarie@berevoesti.cjarges.ro,Arges,0248-572030,Partidul Social Democrat,Partidul Social Democrat
Berezeni,berezeniprimaria@yahoo.com,Vaslui,0235-431326,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Bereşti,primariaberesti@yahoo.com,Galati,0236-342524,,
Bereşti-Bistriţa,berestibistrita@judetbacau.ro,Bacau,0234-216018,Partidul Social Democrat,Partidul Social Democrat
Bereşti-Meria,berestim@yahoo.com,Galati,0236-342418,Partidul Social Democrat,Partidul Social Democrat
Bereşti-Tazlău,primariaberesti_tazlau@yahoo.com,Bacau,0234-353000,Partidul Social Democrat,Partidul Social Democrat
Berghin,primariaberghin@yahoo.com,Alba,0258-854101,Partidul Național Liberal,Partidul Național Liberal
Berislăveşti,primariaberislavesti@yahoo.com,Valcea,0250-753061,Partidul Social Democrat,Partidul Social Democrat
Beriu,primariaberiu@yahoo.com,Hunedoara,0254-246170,Partidul Național Liberal,Partidul Național Liberal
Berleşti,primariaberlesti@yahoo.com,Gorj,,Partidul Național Liberal,Partidul Național Liberal
Berlişte,primaria_berliste@yahoo.com,Caras-Severin,0255-576101,Partidul Social Democrat,Partidul Social Democrat
Bertea,primariabertea@yahoo.com,Prahova,0244-247101,Partidul Național Liberal,Partidul Național Liberal
Berteştii De Jos,bertestidejos@yahoo.com,Braila,0239-699909,Partidul Național Liberal,Partidul Național Liberal
Berveni,primberveni@yahoo.com,Satu Mare,0261-872001,UDMR,UDMR
Berzasca,berzeasca_cs@yahoo.com,Caras-Severin,0255-545650,Partidul Social Democrat,Partidul Social Democrat
Berzovia,primaria.berzovia@yahoo.com,Caras-Severin,0255-525601,Partidul Național Liberal,Alianța pentru Unirea Românilor
Berzunţi,primariaberzunti@yahoo.com,Bacau,0234-336000,Uniunea Salvați România,Uniunea Salvați România
Bethausen,primaria_bethausen@yahoo.com,Timis,0256-333303,Partidul Național Liberal,Partidul Național Liberal
Beuca,primariebeuca@yahoo.com,Teleorman,0247-336255,Partidul Național Liberal,Partidul Social Democrat
Bezdead,primaria_bezdead@yahoo.com,Dambovita,0245-663011,Partidul Național Liberal,Partidul Național Liberal
Beştepe,primaria.bestepe@yahoo.com,Tulcea,0240-545334,Partidul Social Democrat,Partidul Social Democrat
Bicaz,tamasan.nicolae@yahoo.com,Maramures,0262-265701,Partidul Social Democrat,Partidul Social Democrat
Bicaz,primariabicaz@yahoo.com,Neamt,0233-254310,,
Bicaz-Chei,primaria@primariabicazchei.ro,Neamt,,Partidul Național Liberal,Partidul Național Liberal
Bicazu Ardelean,comlocba@hotmail.com,Neamt,0233-255301,Partidul Național Liberal,Partidul Național Liberal
Bichiş,bichis@cjmures.ro,Mures,0265-483113,UDMR,UDMR
Biertan,scbiertan@yahoo.com,Sibiu,0269-868118,Partidul Național Liberal,Partidul Național Liberal
Biertan,primariabiertan@yahoo.com,Sibiu,0269-868118,Partidul Național Liberal,Partidul Național Liberal
Biharia,secretariat@comunabiharia.ro,Bihor,0259-458553,UDMR,UDMR
Bilbor,primaria_bilbor@yahoo.com,Harghita,0266-355004,Partidul Național Liberal,Partidul Național Liberal
Bilca,primaria_bilca@yahoo.com,Suceava,0230-411143,Partidul Național Liberal,Partidul Național Liberal
Bilciureşti,primaria.bilciuresti@gmail.com,Dambovita,0245-671331,Partidul Social Democrat,Partidul Social Democrat
Biled,duta_leontin@primariabiled.ro,Timis,0256-377001,Partidul Național Liberal,Partidul Național Liberal
Bilieşti,contact@primariabiliesti.ro,Vrancea,0237-262544,Partidul Național Liberal,Partidul Național Liberal
Bira,primaria@bira.ro,Neamt,,Partidul Național Liberal,Partidul Național Liberal
Birca,barca@cjdolj.ro,Dolj,,,
Birchiş,primariabirchis@yahoo.com,Arad,0257-434443,Partidul Național Liberal,Partidul Național Liberal
Birda,primaria.birda@cjtimis.ro,Timis,0256-312530,Partidul Social Democrat,Partidul Social Democrat
Birghis,primariabirghis@yahoo.com,Sibiu,,,
Bisoca,primariabisoca@yahoo.com,Buzau,0238-708841,Partidul Social Democrat,Partidul Social Democrat
Bistra,primar_bistra@yahoo.com,Alba,0258-773105,Partidul Național Liberal,Partidul Național Liberal
Bistra,primariabistra@artelecom.net,Maramures,0262-369107,Partidul Național Liberal,Partidul Național Liberal
Bistreţ,bistret@cjdolj.ro,Dolj,0251-355011,Partidul Social Democrat,Partidul Social Democrat
Bistriţa,primaria@primariabistrita.ro,Bistrita-Nasaud,0263-223923,Partidul Social Democrat,Partidul Social Democrat
Bistriţa Bârgăului,primariabistritabirgaului@yahoo.com,Bistrita-Nasaud,0263-265286,Partidul Social Democrat,Partidul Social Democrat
Bivolari,primariabivolari@yahoo.com,Iasi,0232-298555,Partidul Social Democrat,Partidul Social Democrat
Bixad,comunabixad@yahoo.com,Covasna,0267-365983,UDMR,UDMR
Bixad,primaria_bixad@yahoo.com,Satu Mare,0261-843752,Partidul Social Democrat,Partidul Social Democrat
Blaj,primarieblaj@rcnet.ro,Alba,0258-710110,Partidul Național Liberal,Partidul Național Liberal
Blandiana,primariablandiana@yahoo.com,Alba,0258-760738,Partidul Național Liberal,Partidul Național Liberal
Blejoi,blejoi@prefecturaprahova.ro,Prahova,0244-410660,Partidul Social Democrat,Partidul Social Democrat
Blândeşti,primaria_blandesti@yahoo.com,Botosani,0231-573355,Partidul Național Liberal,Partidul Social Democrat
Blăgeşti,primaria_blagesti@yahoo.com,Bacau,0234-268010,Partidul Social Democrat,Partidul Social Democrat
Blăgeşti,primariablagesti@gmail.com,Vaslui,0235-426442,Partidul Social Democrat,Partidul Social Democrat
Blăjel,primariablajel@yahoo.co.uk,Sibiu,0269-851101,Partidul Național Liberal,Partidul Național Liberal
Blăjeni,prim.blajeni_secretar@yahoo.com,Hunedoara,0254-682911,Partidul Național Liberal,Partidul Național Liberal
Bobiceşti,primaria@bobicesti.ro,Olt,0249-455501,Partidul Social Democrat,Partidul Social Democrat
Bobota,primariabobota@yahoo.com,Salaj,0260-652401,Partidul Național Liberal,Partidul Social Democrat
Bobâlna,primar@primariabobilna.ro,Cluj,0264-355046,Partidul Național Liberal,Partidul Național Liberal
Bocicoiu Mare,primariabocicoiumare@yahoo.com,Maramures,0262-360101,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Bocsig,primariabocsig@yahoo.com,Arad,0257-325100,Partidul Național Liberal,Partidul Național Liberal
Bocşa,primariabocsa@yahoo.com,Caras-Severin,0355-566605,Partidul Social Democrat,Partidul Social Democrat
Bocşa,primariabocsasj@yahoo.com,Salaj,0260-623501,UDMR,UDMR
Bod,primariabod@yahoo.com,Brasov,0268-283099,Partidul Social Democrat,Partidul Național Liberal
Bodeşti,primariabodesti@yahoo.com,Neamt,0233-243007,Partidul Social Democrat,Partidul Social Democrat
Bodoc,bodoc@planet.ro,Covasna,0267-353447,UDMR,UDMR
Bogata,bogata@cjmures.ro,Mures,0265-717100,Partidul Social Democrat,Partidul Social Democrat
Bogaţi,primariabogati@yahoo.com,Arges,0248-655003,Partidul Social Democrat,Partidul Social Democrat
Bogda,primariabogda@yahoo.com,Timis,0256-231230,ALIANȚA ELECTORALĂ PSD PNL,ALIANȚA ELECTORALĂ PSD PNL
Bogdan Vodă,primariabogdanvoda@yahoo.com,Maramures,0262-335303,Partidul Național Liberal,Partidul Național Liberal
Bogdana,primariabogdana@yahoo.co.uk,Teleorman,0247-329013,Partidul Social Democrat,Partidul Social Democrat
Bogdana,primaria_bogdana@yahoo.com,Vaslui,0235-428833,Partidul Național Liberal,Partidul Național Liberal
Bogdăneşti,primariabogdanesti@easynet.ro,Bacau,0234-336526,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Bogdăneşti,primariabogdanesti@yahoo.com,Suceava,0230-570511,Partidul Social Democrat,Partidul Social Democrat
Bogdăneşti,primbogdanesti@yahoo.com,Vaslui,0235-428827,Uniunea Salvați România,Uniunea Salvați România
Bogheşti,secretar@boghesti.ro,Vrancea,0237-273054,Partidul Social Democrat,Partidul Social Democrat
Boghicea,boghiceap@yahoo.com,Neamt,0233-767312,Partidul Social Democrat,Partidul Social Democrat
Boghiş,primariaboghis@yahoo.com,Salaj,0260-623850,UDMR,UDMR
Boianu Mare,primaria.boianumare@cjbihor.ro,Bihor,0359-466796,Partidul Social Democrat,Partidul Social Democrat
Boiu Mare,primaria_boiumare@yahoo.com,Maramures,0262-480001,Partidul Social Democrat,Partidul Social Democrat
Boişoara,primaria_boisoara@yahoo.com,Valcea,0250-756621,Partidul Social Democrat,Partidul Social Democrat
Boiţa,primariaboita@yahoo.com,Sibiu,0269-556136,Partidul Național Liberal,Partidul Național Liberal
Bolboşi,primaria_bolbosi@yahoo.com,Gorj,0253-287505,Partidul Social Democrat,Partidul Social Democrat
Boldeşti-Grădiştea,primaria_boldesti_gradistea@yahoo.com,Prahova,0244-448000,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,Partidul Național Liberal
Boldeşti-Scăeni,boldestiscaieni@prefecturaprahova.ro,Prahova,0244-211287,Partidul Național Liberal,Partidul Național Liberal
Boldu,primaria.boldu@clicknet.ro,Buzau,0238-576505,Partidul Social Democrat,Partidul Social Democrat
Boldur,primariaboldur@gmail.com,Timis,0256-356947,Partidul Social Democrat,Partidul Social Democrat
