name,email,county,phone
Berceni,berceniprimaria@yahoo.com,Prahova,0244-470588
Berchişeşti,primariaberchisesti@yahoo.com,Suceava,0330-562098
Bereni,bereni@cjmures.ro,Mures,0265-345416
Berevoeşti,primarie@berevoesti.cjarges.ro,Arges,0248-572030
Berezeni,berezeniprimaria@yahoo.com,Vaslui,0235-431326
Bereşti,primariaberesti@yahoo.com,Galati,0236-342524
Bereşti-Bistriţa,berestibistrita@judetbacau.ro,Bacau,0234-216018
Bereşti-Meria,berestim@yahoo.com,Galati,0236-342418
Bereşti-Tazlău,primariaberesti_tazlau@yahoo.com,Bacau,0234-353000
Berghin,primariaberghin@yahoo.com,Alba,0258-854101
Berislăveşti,primariaberislavesti@yahoo.com,Valcea,0250-753061
Beriu,primariaberiu@yahoo.com,Hunedoara,0254-246170
Berleşti,primariaberlesti@yahoo.com,Gorj,
Berlişte,primaria_berliste@yahoo.com,Caras-Severin,0255-576101
Bertea,primariabertea@yahoo.com,Prahova,0244-247101
Berteştii De Jos,bertestidejos@yahoo.com,Braila,0239-699909
Berveni,primberveni@yahoo.com,Satu Mare,0261-872001
Berzasca,berzeasca_cs@yahoo.com,Caras-Severin,0255-545650
Berzovia,primaria.berzovia@yahoo.com,Caras-Severin,0255-525601
Berzunţi,primariaberzunti@yahoo.com,Bacau,0234-336000
Bethausen,primaria_bethausen@yahoo.com,Timis,0256-333303
Beuca,primariebeuca@yahoo.com,Teleorman,0247-336255
Bezdead,primaria_bezdead@yahoo.com,Dambovita,0245-663011
Beştepe,primaria.bestepe@yahoo.com,Tulcea,0240-545334
Bicaz,tamasan.nicolae@yahoo.com,Maramures,0262-265701
Bicaz,primariabicaz@yahoo.com,Neamt,0233-254310
Bicaz-Chei,primaria@primariabicazchei.ro,Neamt,
Bicazu Ardelean,comlocba@hotmail.com,Neamt,0233-255301
Bichiş,bichis@cjmures.ro,Mures,0265-483113
Biertan,scbiertan@yahoo.com,Sibiu,0269-868118
Biertan,primariabiertan@yahoo.com,Sibiu,0269-868118
Biharia,secretariat@comunabiharia.ro,Bihor,0259-458553
Bilbor,primaria_bilbor@yahoo.com,Harghita,0266-355004
Bilca,primaria_bilca@yahoo.com,Suceava,0230-411143
Bilciureşti,primaria.bilciuresti@gmail.com,Dambovita,0245-671331
Biled,duta_leontin@primariabiled.ro,Timis,0256-377001
Bilieşti,contact@primariabiliesti.ro,Vrancea,0237-262544
Bira,primaria@bira.ro,Neamt,
Birca,barca@cjdolj.ro,Dolj,
Birchiş,primariabirchis@yahoo.com,Arad,0257-434443
Birda,primaria.birda@cjtimis.ro,Timis,0256-312530
Birghis,primariabirghis@yahoo.com,Sibiu,
Bisoca,primariabisoca@yahoo.com,Buzau,0238-708841
Bistra,primar_bistra@yahoo.com,Alba,0258-773105
Bistra,primariabistra@artelecom.net,Maramures,0262-369107
Bistreţ,bistret@cjdolj.ro,Dolj,0251-355011
Bistriţa,primaria@primariabistrita.ro,Bistrita-Nasaud,0263-223923
Bistriţa Bârgăului,primariabistritabirgaului@yahoo.com,Bistrita-Nasaud,0263-265286
Bivolari,primariabivolari@yahoo.com,Iasi,0232-298555
Bixad,comunabixad@yahoo.com,Covasna,0267-365983
Bixad,primaria_bixad@yahoo.com,Satu Mare,0261-843752
Blaj,primarieblaj@rcnet.ro,Alba,0258-710110
Blandiana,primariablandiana@yahoo.com,Alba,0258-760738
Blejoi,blejoi@prefecturaprahova.ro,Prahova,0244-410660
Blândeşti,primaria_blandesti@yahoo.com,Botosani,0231-573355
Blăgeşti,primaria_blagesti@yahoo.com,Bacau,0234-268010
Blăgeşti,primariablagesti@gmail.com,Vaslui,0235-426442
Blăjel,primariablajel@yahoo.co.uk,Sibiu,0269-851101
Blăjeni,prim.blajeni_secretar@yahoo.com,Hunedoara,0254-682911
Bobiceşti,primaria@bobicesti.ro,Olt,0249-455501
Bobota,primariabobota@yahoo.com,Salaj,0260-652401
Bobâlna,primar@primariabobilna.ro,Cluj,0264-355046
Bocicoiu Mare,primariabocicoiumare@yahoo.com,Maramures,0262-360101
Bocsig,primariabocsig@yahoo.com,Arad,0257-325100
Bocşa,primariabocsa@yahoo.com,Caras-Severin,0355-566605
Bocşa,primariabocsasj@yahoo.com,Salaj,0260-623501
Bod,primariabod@yahoo.com,Brasov,0268-283099
Bodeşti,primariabodesti@yahoo.com,Neamt,0233-243007
Bodoc,bodoc@planet.ro,Covasna,0267-353447
Bogata,bogata@cjmures.ro,Mures,0265-717100
Bogaţi,primariabogati@yahoo.com,Arges,0248-655003
Bogda,primariabogda@yahoo.com,Timis,0256-231230
Bogdan Vodă,primariabogdanvoda@yahoo.com,Maramures,0262-335303
Bogdana,primariabogdana@yahoo.co.uk,Teleorman,0247-329013
Bogdana,primaria_bogdana@yahoo.com,Vaslui,0235-428833
Bogdăneşti,primariabogdanesti@easynet.ro,Bacau,0234-336526
Bogdăneşti,primariabogdanesti@yahoo.com,Suceava,0230-570511
Bogdăneşti,primbogdanesti@yahoo.com,Vaslui,0235-428827
Bogheşti,secretar@boghesti.ro,Vrancea,0237-273054
Boghicea,boghiceap@yahoo.com,Neamt,0233-767312
Boghiş,primariaboghis@yahoo.com,Salaj,0260-623850
Boianu Mare,primaria.boianumare@cjbihor.ro,Bihor,0359-466796
Boiu Mare,primaria_boiumare@yahoo.com,Maramures,0262-480001
Boişoara,primaria_boisoara@yahoo.com,Valcea,0250-756621
Boiţa,primariaboita@yahoo.com,Sibiu,0269-556136
Bolboşi,primaria_bolbosi@yahoo.com,Gorj,0253-287505
Boldeşti-Grădiştea,primaria_boldesti_gradistea@yahoo.com,Prahova,0244-448000
Boldeşti-Scăeni,boldestiscaieni@prefecturaprahova.ro,Prahova,0244-211287
Boldu,primaria.boldu@clicknet.ro,Buzau,0238-576505
Boldur,primariaboldur@gmail.com,Timis,0256-356947
Bolintin-Deal,clbolintindeal@yahoo.com,Giurgiu,
Bolvaşniţa,primaria.bolvasnita@gmail.com,Caras-Severin,0371-106133
Bonţida,primariabontida@yahoo.com,Cluj,0264-262259
Borca,primariaborca@yahoo.com,Neamt,0233-268001
Borcea,primariaborcea@yahoo.co.uk,Calarasi,0242-340063
Bordei Verde,primaria.bordeiverde@yahoo.com,Braila,0239-696090
Bordeşti,primariabordesti@yahoo.com,Vrancea,0237-254100
Borduşani,primariabordusani@yahoo.com,Ialomita,0243-311508
Borleşti,primariaborlesti@yahoo.com,Neamt,0233-297971
Boroaia,primariaboroaia@yahoo.com,Suceava,0230-548015
Borod,primaria_borod@yahoo.com,Bihor,0259-315098
Boroşneu Mare,primariabmare@yahoo.com,Covasna,0267-374191
Borsec,primaria@primaria-borsec.ro,Harghita,0266-337001
Borăneşti,primaria_boranesti@yahoo.com,Ialomita,0371-152664
Borăscu,primariaborascu@yahoo.com,Gorj,0253-287001
Borş,primaria.bors@cjbihor.ro,Bihor,0259-316155
Borşa,primariaborsa@yahoo.com,Cluj,0264-355489
Borşa,turismlaborsa@yahoo.com,Maramures,0262-342322
Bosanci,primariabosanci@yahoo.com,Suceava,0230-527001
Boteni,primariaboteniarges@yahoo.com,Arges,0248-295299
Botiz,primaria_botiz@yahoo.com,Satu Mare,0261-774026
Botiza,comunabotiza@yahoo.com,Maramures,0262-334011
Botoroaga,primaria.botoroaga@yahoo.com,Teleorman,0247-442106
Botosesti-Paia,botosesti_paia@cjdolj.ro,Dolj,
Botoşana,secretarbotosana@ymail.com,Suceava,0230-539148
Botoşani,primaria@primariabt.ro,Botosani,0231-502200
Bozieni,primariacomunabozieni@yahoo.com,Neamt,0233-764005
Bozioru,primariabozioru@yahoo.com,Buzau,0238-708036
Bozovici,p_bozovici@yahoo.com,Caras-Severin,0255-242145
Boşorod,primariabosorod@personal.ro,Hunedoara,0254-733050
Boţeşti,secretar@primariabotesti.ro,Arges,0248-658133
Brabova,brabova@cjdolj.ro,Dolj,0251-447310
Brad,bradprim@yahoo.com,Hunedoara,0254-612665
Bradeni,primariabradeni@yahoo.com,Sibiu,0269-518101
Bradu,primarie@bradu.cjarges.ro,Arges,0248-279412
Bragadiru,primariabragadiru@yahoo.com,Ilfov,021-4480795
Bralostiţa,bralostita@cjdolj.ro,Dolj,0251-450704
Bran,officeprimariabran@yahoo.com,Brasov,0268-236416
Branceni,primaria.brinceni@yahoo.com,Teleorman,
Braniştea,primariabranisteabn@gmail.com,Bistrita-Nasaud,0263-349000
Braniştea,primaria.branistea@yahoo.com,Dambovita,0245-715196
Braniştea,primaria_branistea@yahoo.com,Galati,0236-332408
Braniştea,clbranistea@sejmh.ro,Mehedinti,0252-395190
Brastavăţu,primariabrastavatu@judetulolt.ro,Olt,0249-540002
Bratca,primaria.bratca@cjbihor.ro,Bihor,0259-315650
Brateiu,primariabrateiu@gmail.com,Sibiu,0269-863101
Brateş,primariabrates@yahoo.com,Covasna,0267-374715
Bratovoeşti,bratovoesti@cjdolj.ro,Dolj,0251-371029
Brazi,braziprimaria@yahoo.com,Prahova,0244-480700
Brazii,braziiprimaria@yahoo.com,Arad,0257-317508
Brazii,primariabrazii@yahoo.com,Ialomita,0257-317508
Braşov,sep@brasovcity.ro,Brasov,0268-416550
Breasta,breasta@cjdolj.ro,Dolj,0251-455244
Breaza,primaria_breazabz@yahoo.com,Buzau,0238-511501
Breaza,breaza@cjmures.ro,Mures,0265-540325
Breaza,breaza@prefecturaprahova.ro,Prahova,0244-340508
Breaza,primariabreazasv@yahoo.com,Suceava,0230-574806
Brebeni,primariabrebeni@yahoo.com,Olt,0249-419008
Brebu,primaria_brebu@yahoo.com,Caras-Severin,0255-232524
Brebu,primariabrebu@yahoo.com,Prahova,0244-357521
Brebu Nou,primaria.garina@yahoo.com,Caras-Severin,
Brestovăţ,primaria_brestovat@yahoo.com,Timis,0256-231460
Bretea Română,primar@bretea-romana.ro,Hunedoara,0254-733332
Breznita-Motru,clbreznitamotru@sejmh.ro,Mehedinti,
Brezniţa-Ocol,clbreznita@sejmh.ro,Mehedinti,0252-210146
Brezoaele,primaria_brezoaele@yahoo.com,Dambovita,0245-715601
Brezoi,primaria_oras_brezoi@yahoo.com,Valcea,0250-778470
Breţcu,bretcu@consloc.ro,Covasna,0267-368329
Brodina,primariabrodina@yahoo.com,Suceava,0230-566522
Broscăuţi,primariabroscauti@hotmail.com,Botosani,0231-621721
Broşteni,clbrosteni@sejmh.ro,Mehedinti,0252-383020
Broşteni,primaria_brosteni@yahoo.com,Suceava,0230-549786
Broşteni,primariabrosteni@yahoo.com,Vrancea,0237-675268
Bruiu,primariabruiu@yahoo.com,Sibiu,0269-586501
Brusturi,primaria.brusturi@cjbihor.ro,Bihor,0259-326833
Brusturi,primaria_brusturi@yahoo.com,Neamt,0233-789006
Brusturoasa,primariabrusturoasa@yahoo.com,Bacau,0234-381031
Brâncoveneşti,brincovenesti@cjmures.ro,Mures,0265-550112
Brâncoveni,pcb@primariabrancoveni.ro,Olt,0249-708500
Brădeni,scoala.bradeni@yahoo.com,Sibiu,0269-518101
Brădeşti,bradesti@@cjdolj.ro,Dolj,0251-444206
Brădeşti,bradesti@astralnet.ro,Harghita,0266-245001
Brăduleţ,primaria_bradulet@yahoo.com,Arges,0248-267910
Brăduţ,bardoc@cosys.ro,Covasna,0267-356321
Brăeşti,consiliul_braesti@yahoo.com,Botosani,0231-620023
Brăeşti,primaria_braesti@yahoo.com,Buzau,0238-525067
Brăeşti,primaria_braesti_iasi@yahoo.com,Iasi,0768-571867
Brăhăşeşti,primariabrahasesti@yahoo.com,Galati,0236-867605
Brăila,pmb@primariabr.ro,Braila,0239-694947
Brăneşti,primaria.branesti@yahoo.com,Dambovita,0245-231275
Brăneşti,primaria_branesti@yahoo.com,Gorj,0253-288022
Brănişca,primariabranisca@yahoo.com,Hunedoara,0254-282060
Bucecea,primaria.bucecea@yahoo.com,Botosani,0231-550112
Bucerdea Grânoasă,primar@bucerdea_granoasa.ro,Alba,0258-883301
Buceş,primariabuces@clicknet.ro,Hunedoara,0254-684328
Buchin,primar@primariabuchin.ro,Caras-Severin,0255-516163
Bucinişu,bucinisuprimaria@yahoo.com,Olt,0249-542057
Bucium,primaria.bucium@yahoo.com,Alba,0258-784112
Buciumeni,primariabuciumeni@yahoo.com,Dambovita,0245-777002
Buciumeni,primaria_buciumeni_gl@yahoo.com,Galati,0236-822703
Buciumi,primariabuciumicontab@yahoo.com,Bacau,0234-339929
Buciumi,primaria.buciumi@samtv.ro,Salaj,0260-624608
Bucov,bucov@prefecturaprahova.ro,Prahova,0244-275046
Bucovat,bucovat@cjdolj.ro,Dolj,0256-296282
Bucovăţ,primaria.bucovat.tm@gmail.com,Dolj,0251-360285
Bucoşniţa,primar@primariabucosnita.ro,Caras-Severin,0255-519400
Bucu,primaria_bucu@yahoo.com,Ialomita,0243-240535
Bucureşci,primariabucuresci@yahoo.com,Hunedoara,0254-684178
Bucşani,primaria.bucsani@gmail.com,Dambovita,0245-235041
Bucşani,bucsanigr@yahoo.com,Giurgiu,0246-263075
Buda,primariabuda@gmail.com,Buzau,0238-575345
Budacu De Jos,budacudejos@yahoo.com,Bistrita-Nasaud,0263-272006
Budeasa,primariabudeasa@personal.ro,Arges,
Budeasa Mare,primarie@budeasa.cjarges.ro,Arges,0248-236457
Budeşti,primariabudesti@yahoo.com,Bistrita-Nasaud,0263-353106
Budeşti,primaria_budesti@clicknet.ro,Calarasi,0242-528301
Budeşti,primariebudesti@yahoo.com,Maramures,0262-373669
Budeşti,primarbudesti@clicknet.ro,Valcea,0250-760374
Budila,primariabudila@yahoo.com,Brasov,0268-518153
Budureasa,primaria.budureasa@cjbihor.ro,Bihor,0259-321243
Buduslău,primaria.buduslau@cjbihor.ro,Bihor,0259-459100
Bueşti,primariabuestiil@yahoo.com,Ialomita,0243-268288
Buftea,primariabuftea@primariabuftea.ro,Ilfov,031-8241231
Bughea De Jos,primariabugheadejos@yahoo.com,Arges,0248-536808
Bughea De Sus,primarie_primariabughea@yahoo.com,Arges,0248-555095
Buhoci,primaria_buhoci@yahoo.com,Bacau,0234-224146
Buhuşi,primariabuhusi@yahoo.com,Bacau,0234-261220
Bujoreni,primaria_combujoreni@yahoo.com,Teleorman,0247-443169
Bujoreni,primariabujoreni@gmail.com,Teleorman,0250-741983
Bujoru,bujoru@gmail.com,Teleorman,0247-335609
Bulbucata,clbulbucatagr@yahoo.com,Giurgiu,0246-275312
Bulz,primaria.bulz@cjbihor.ro,Bihor,0259-328010
Bulzeşti,bulzesti@cjdolj.ro,Dolj,0251-447802
Bulzeştii De Sus,primar@primariabulzesti.ro,Hunedoara,0254-682631
Bumbesti-Pitic,bumbestip@yahoo.com,Gorj,
Bumbeşti-Jiu,primaria@bumbesti-jiu.ro,Gorj,0253-463465
Buneşti,primariabunesti@gmail.com,Brasov,0268-248710
Buneşti,pbunesti_sv@yahoo.com,Suceava,0230-549001
Buneşti,primaria_bunesti@yahoo.com,Valcea,0250-774490
Bunila,primaria_bunila@yahoo.com,Hunedoara,0254-735401
Bunteşti,primaria.buntesti@cjbihor.ro,Bihor,0259-329180
Burila Mare,clburila@sejmh.ro,Mehedinti,0252-357401
Burjuc,burjucprimaria@yahoo.com,Hunedoara,0254-268220
Burla,primariaburla@yahoo.com,Suceava,0230-419550
Bustuchin,primariabustuchin@yahoo.com,Gorj,0253-475156
Butea,primaria_butea@yahoo.com,Iasi,0232-713020
Buteni,primariabuteni@yahoo.com,Arad,0257-320129
Butimanu,primariabutimanu@gmail.com,Dambovita,0245-241040
Butoieşti,clbutoiesti@sejmh.ro,Mehedinti,0252-373226
Buturugeni,pbuturugeni@yahoo.com,Giurgiu,0246-277110
Buza,buzaadm@yahoo.com,Cluj,0264-219687
Buzescu,primaria.buzescu@gmail.com,Teleorman,0247-330635
Buziaş,primbuzias@yahoo.com,Timis,0256-321450
Buzoeşti,primariebuzoesti@yahoo.com,Arges,0248-690009
Buzău,primbz_cabinet@buzau.ro,Buzau,0238-717940
Buşteni,primabus@yahoo.com,Prahova,0244-322005
Bâcleş,clbicles@sejmh.ro,Mehedinti,0252-375263
Bâlteni,primarie_bilteni@yahoo.com,Gorj,0253-233302
Bâlvăneşti,clbalvanesti@sejmh.ro,Mehedinti,0252-216091
Bâra,primaria.bara@yahoo.com,Neamt,0256-333101
Bârgăuani,clbirgauani@yahoo.com,Neamt,0233-294316
Bârla,primariabirla@yahoo.com,Arges,0248-678141
Bârlad,informatica@primariabarlad.ro,Vaslui,0235-411760
Bârna,primaria.barna@cjtimis.ro,Timis,0256-334415
Bârnova,contact@primariabirnova.ro,Iasi,0232-294120
Bârsa,primariabirsa@yahoo.com,Arad,0257-321101
Bârsana,contabilitate.birsana@gmail.com,Maramures,0262-331068
Bârseşti,primarie@primariabirsesti.ro,Vrancea,0237-273410
Bârsăneşti,barsanesti.primaria@gmail.com,Bacau,0234-334000
Bârsău,primariabarsau@yahoo.com,Satu Mare,0261-876021
Bârza,primaria.birza@yahoo.com,Olt,
Bârzava,primariabarzava@clicknet.net,Arad,0257-433108
Băbana,primariababana@yahoo.com,Arges,0248-767001
