category,company,project_title,budget,county
constructii,conservare si introducere in circuitul turistic la Ansamblul Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Lucrari de reparatii, conservare si introducere in circuitul turistic la Ansamblul Bisericii Evanghelice Fortificate din Vulcan","1041614,91 lei",Hunedoara
constructii,conservare si introducere in circuitul turistic la Ansamblul Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Lucrari de reparatii, conservare si introducere in circuitul turistic la Ansamblul Bisericii Evanghelice Fortificate din Vulcan","1041614,91 lei",Hunedoara
constructii,CONSERVARE SI INTRODUCERE IN CIRCUITUL TURISTIC LA ANSAMBLUL BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: LUCRARI DE REPARATII, CONSERVARE SI INTRODUCERE IN CIRCUITUL TURISTIC LA ANSAMBLUL BISERICII EVANGHELICE FORTIFICATE RUJA","1001822,97 lei",Sibiu
constructii,restaurare si introducere in circuitul turistic la Ansamblul Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Atribuire contract executie lucrari - Proiect Lucrari de reparare, conservare, restaurare si introducere in circuitul turistic la Ansamblul Bisericii Evanghelice Fortificate Codlea","2354886,58 lei",Brasov
constructii,RESTAURARE SI INTRODUCERE IN CIRCUITUL TURISTIC LA ANSAMBLUL BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: LUCRARI DE REPARARE, CONSERVARE, RESTAURARE SI INTRODUCERE IN CIRCUITUL TURISTIC LA ANSAMBLUL BISERICII EVANGHELICE FORTIFICATE CODLEA","2354886,58 lei",Brasov
constructii,RESTAURARE SI INTRODUCERE IN CIRCUITUL TURISTIC LA ANSAMBLUL BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: LUCRARI DE REPARARE, CONSERVARE, RESTAURARE SI INTRODUCERE IN CIRCUITUL TURISTIC LA ANSAMBLUL BISERICII EVANGHELICE FORTIFICATE CODLEA","2354886,58 lei",Brasov
constructii,ASIGURAREA UTILITATILOR NECESARE OBIECTIVULUI SI ORGANIZARE DE SA,"Anunturi [proceduri de achizitie, beneficiari privati]: CONTRACT DE EXECUTIE LUCRARI, ASIGURAREA UTILITATILOR NECESARE OBIECTIVULUI SI ORGANIZARE DE SANTIER","1172008,60 lei",SATU MARE
constructii,Executie lucrari de constructii pentru proiectul de investitii,"Anunturi [proceduri de achizitie, beneficiari privati]: Executie lucrari de constructii pentru proiectul de investitii ""Reparatii exterioare, consolidare biserica, restaurare si conservare picturi interioare ale bisericii ""Sfanta Treime"" - Gherman""","1845103,99 lei",ILFOV
constructii,Atribuire contract de lucrari de constructii si instalatii,"Anunturi [proceduri de achizitie, beneficiari privati]: Atribuire contract de lucrari de constructii si instalatii service auto",677925 lei,Bucuresti
constructii,Diversificarea activitatii societatii SENSE&COFFEE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Diversificarea activitatii societatii SENSE&COFFEE SRL",660626 lei,Vrancea
constructii,ACHIZITIE DE LUCRARI DE CONSTRUCTII SI INSTALATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI DE CONSTRUCTII SI INSTALATII AFERENTE","3075657,68 lei",Giurgiu
constructii,CENTRUL PENTRU SERVICII DE RADIOCOMUNICATII SRL,-,"15274880,58 lei",Bucuresti
constructii,VALORIFICAREA TURISTICA A ANSAMBLULUI BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de constructii pentru proiectul ""VALORIFICAREA TURISTICA A ANSAMBLULUI BISERICII SF. GHEORGHE A BRESLEI ABAGERILOR, DIN MUNICIPIUL BARLAD"", COD SMIS 117354",6236426 lei,Vaslui
constructii,dar si a lucrarilor aferente organizarii de sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de realizare lucrari de demolare, extindere, reabilitare, dotare cu echipamente si utilaje cu montaj a obiectivului de finantare, dar si a lucrarilor aferente organizarii de santier","2682788,94 lei",BIHOR
constructii,dar si a lucrarilor aferente organizarii de sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de realizare lucrari de demolare, extindere, reabilitare, dotare cu echipamente si utilaje cu montaj a obiectivului de finantare, dar si a lucrarilor aferente organizarii de santier","2682788,94 lei",BIHOR
constructii,dar si a lucrarilor aferente organizarii de sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de realizare lucrari de demolare, extindere, reabilitare, dotare cu echipamente si utilaje cu montaj a obiectivului de finantare, dar si a lucrarilor aferente organizarii de santier","2682788,94 lei",BIHOR
constructii,dar si a lucrarilor aferente organizarii de sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de realizare lucrari de demolare, extindere, reabilitare, dotare cu echipamente si utilaje cu montaj a obiectivului de finantare, dar si a lucrarilor aferente organizarii de santier","2682788,94 lei",BIHOR
constructii,ACHIZITIE EXECUTIE LUCRARI DE CONSTRUCTII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE EXECUTIE LUCRARI DE CONSTRUCTII",4013591 lei,Iasi
constructii,EMI EQUIPEMENT MAINTENANCE INDUSTRIE S.A.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie contract de executie lucrari si furnizare echipamente",478000 lei,ARGES
constructii,WELKINS FIRE PROTECTION SOLUTIONS S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Infiintare fabrica sisteme de ventilatie la Racari, cod SMIS 102527","780588,28 lei",Dambovita
constructii,componenta a ansamblului protejat UNESC,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia lucrarilor in cadrul proiectului Conservarea, reabilitarea si promovarea Bisericii Evanghelice din Calnic (jud. Alba) componenta a ansamblului protejat UNESCO","2898764,48 lei",Alba
constructii,componenta a ansamblului protejat UNESC,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia lucrarilor in cadrul proiectului Conservarea, reabilitarea si promovarea Bisericii Evanghelice din Calnic (jud. Alba) componenta a ansamblului protejat UNESCO","2898764,48 lei",Alba
constructii,componenta a ansamblului protejat UNESC,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia lucrarilor in cadrul proiectului Conservarea, reabilitarea si promovarea Bisericii Evanghelice din Calnic (jud. Alba) componenta a ansamblului protejat UNESCO","2898764,48 lei",Alba
constructii,componenta a ansamblului protejat UNESC,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia lucrarilor in cadrul proiectului Conservarea, reabilitarea si promovarea Bisericii Evanghelice din Calnic (jud. Alba) componenta a ansamblului protejat UNESCO","2898764,48 lei",Alba
constructii,INTREPRINDEREA DE MOBILA FLORENTA SRL,-,"2277443,79 lei",Cluj
constructii,Lucrari de constructie si instalatii,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructie si instalatii a atelierului de croitorie + dotari (panouri solare, panouri fotovoltaice, sistem de iluminat eficient din punct de vedere energetic si sistem de incalzire: cazan pe peleti)","462817,92 lei",Cluj
constructii,lucrari de constructii si instalatii,"Anunturi [proceduri de achizitie, beneficiari privati]: lucrari de constructii si instalatii, de restaurare a Bisericii Sfintii Voievozi Tandarei (monument istoric cod LMI: IL -II -m -B 14164)","655429,76 lei",Ialomita
constructii,BDUL STEFAN CEL MARE SI SFANT 16 -,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari","1542595,75 lei",Iasi
constructii,EASYDO DIGITAL TECHNOLOGIES S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia lucrarilor de constructie, inclusiv instalatiile si a echipamentelor tehnologice cu montaj (exclusiv postul trafo), organizarea de santier","16000697,67 lei",BUCURESTI
constructii,EASYDO DIGITAL TECHNOLOGIES S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia lucrarilor de constructie, inclusiv instalatiile si a echipamentelor tehnologice cu montaj (exclusiv postul trafo), organizarea de santier","16000697,67 lei",BUCURESTI
constructii,Executia de lucrari de constructii,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia de lucrari de constructii in cadrul proiectului Construire hala industriala","802857,00 lei",Bihor
constructii,Reabilitarea Ansamblului Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Reabilitarea Ansamblului Bisericii Evanghelice Fortificate Agnita","4570784,89 lei",Sibiu
constructii,Reabilitarea Ansamblului Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Reabilitarea Ansamblului Bisericii Evanghelice Fortificate Agnita","4570784,89 lei",Sibiu
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva de achizitie lucrari de tamplarie aluminiu","9021,15 lei",VRANCEA
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia de lucrari din piatra naturala - arhitectura rest de executat","44793,74 lei",VRANCEA
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitii lucrari instalatii electrice","106567,10 lei",VRANCEA
constructii,CENTRUL DE AFACERI GREEN PARK SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva achizitie lucrari de constructie","2524500,00 lei",Vrancea
constructii,CORAMED MEDIZINISCHE PRODUKTE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii",4079455 lei,BUCURESTI
constructii,CORAMED MEDIZINISCHE PRODUKTE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii","4079455,07 lei",BUCURESTI
constructii,RITECH INTERNATIONAL IMPEX S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari de constructie Grupa 2: Instalatii","2830019,59 lei",BUCURESTI
constructii,RITECH INTERNATIONAL IMPEX S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari de constructie Grupa 1: Amenajari pentru protectia mediului, Constructii si instalatii si organizare de santier","3726189,00 lei",BUCURESTI
constructii,ACHIZITIE LUCRARI DE CONSTRUCTII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE LUCRARI DE CONSTRUCTII SI DOTARI","3610559,57 lei",Neamt
constructii,B-DUL AUREL VLAICU 135 CAMERA 15,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructie + utilaje,echipamente tehnologice","1003652,23 lei",Constanta
constructii,B-DUL AUREL VLAICU 135 CAMERA 15,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructie + utilaje,echipamente tehnologice","1078616,24 lei",Constanta
constructii,CENTRUL MEDICAL TRANSILVANIA SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de executie pentru centrul de cercetare, in cadrul proiectului: Centru de cercetare si dezvoltare privind diagnosticul si tratamentul accidentelor vasculare cerebrale; SMIS: 121574","14556639,15 lei",Cluj
constructii,CENTRUL MEDICAL TRANSILVANIA SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de executie pentru centrul de cercetare, in cadrul proiectului: Centru de cercetare si dezvoltare privind diagnosticul si tratamentul accidentelor vasculare cerebrale; SMIS: 121574","9774948,97 lei",Cluj
constructii,INDUSTRIAL PLASTIC RECYCLING SRL,-,"2788024,70 lei",Ilfov
constructii,INDUSTRIAL PLASTIC RECYCLING SRL,-,"2788024,70 lei",Ilfov
constructii,INVESTIGATII MEDICALE PRAXIS SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de constructie laborator de analize medicale si echipamente cu montaj aferente lucrarilor de constructie","3908679,09 lei",Iasi
constructii,INVESTIGATII MEDICALE PRAXIS SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de constructie laborator de analize medicale si echipamente cu montaj aferente lucrarilor de constructie","3908679,09 lei",Iasi
constructii,REI INTERNATIONAL CONSULTING SRL,-,"6741769,47 lei",Bucuresti
constructii,REI INTERNATIONAL CONSULTING SRL,-,"6741769,47 lei",Bucuresti
constructii,ECO TROUT FARMING LEAOTA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Executie lucrari realizare investitie si a echipamentelor cu montaj pentru proiectul Infiintare unitate de acvacultura si dezvoltarea de activitati complementare acesteia  construire ferma pentru cresterea pastravului, captare de apa, priza tiroleza, desnisipator, statie de pompare, casa pastravarului D+P+M, cod SMIS 155916","3364449,24 lei",DAMBOVITA
constructii,ELECTRO-SERVICE DISTRIBUTIE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: EXECUTIE LUCRARI, INCLUSIV ECHIPAMENTE CU MONTAJ  REST DE EXECUTAT","2103063,09 lei",BUCURESTI
constructii,ELECTRO-SERVICE DISTRIBUTIE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: EXECUTIE LUCRARI, INCLUSIV ECHIPAMENTE CU MONTAJ","1780055,47 lei",BUCURESTI
constructii,ELECTRO-SERVICE DISTRIBUTIE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: EXECUTIE LUCRARI, INCLUSIV ECHIPAMENTE CU MONTAJ","2046915,68 lei",BUCURESTI
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii","1504153,48 lei",Suceava
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de Constructii","1504153,48 lei",Suceava
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de Contructii","1504153,48 lei",Suceava
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de Constructii","1504153,48 lei",Suceava
constructii,GROUP CONSTRUCT BUCOVINA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de Constructii","1504153,48 lei",Suceava
constructii,MEDICAL BUSINESS MANAGEMENT SRL,constructii,"5239985,06 lei",ARAD
constructii,ORGANIZARE DE SANTIER SI SPATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI INCLUSIV ECHIPAMENTE TEHNOLOGICE CU MONTAJ PENTRU REALIZAREA PROIECTULUI  PENSIUNE TURISTICA, IMPREJMUIRE, ORGANIZARE DE SANTIER SI SPATII VERZI","1226248,59 lei",CONSTANTA
constructii,ORGANIZARE DE SANTIER SI SPATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI INCLUSIV ECHIPAMENTE TEHNOLOGICE CU MONTAJ PENTRU REALIZAREA PROIECTULUI PENSIUNE TURISTICA, IMPREJMUIRE, ORGANIZARE DE SANTIER SI SPATII VERZI","944884,99 lei",CONSTANTA
constructii,ORGANIZARE DE SANTIER SI SPATII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE DE LUCRARI INCLUSIV ECHIPAMENTE TEHNOLOGICE CU MONTAJ PENTRU REALIZAREA PROIECTULUI PENSIUNE TURISTICA, IMPREJMUIRE, ORGANIZARE DE SANTIER SI SPATII VERZI","1226248,59 lei",CONSTANTA
constructii,RESIDENCE LAKE TATLAGEAC S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii in cadrul proiectului ""CONSTRUIRE PENSIUNE TURISTICA","1580648,90 lei",CONSTANTA
constructii,RESIDENCE LAKE TATLAGEAC S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii in cadrul proiectului ""CONSTRUIRE PENSIUNE TURISTICA","1580648,90 lei",CONSTANTA
constructii,RESIDENCE LAKE TATLAGEAC S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii in cadrul proiectului ""CONSTRUIRE PENSIUNE TURISTICA","1580648,90 lei",CONSTANTA
constructii,RESIDENCE LAKE TATLAGEAC S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructii in cadrul proiectului ""CONSTRUIRE PENSIUNE TURISTICA","1580648,90 lei",CONSTANTA
constructii,RESTAURARE ANSAMBLUL BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de reabilitare - CONSOLIDARE, RESTAURARE ANSAMBLUL BISERICII UNITARIENE FORTIFICATE","4862653,38 lei",COVASNA
constructii,SMART INTEGRATED SOLUTIONS SRL,constructie a cladirii,"6073788,06 lei",BUCURESTI
constructii,ANDMAN PREST CONSTRUCT S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE IN VEDEREA ATRIBUIRII CONTRACTULUI DE LUCRARI PROIECTARE SI EXECUTIE LUCRARI DE CONSTRUCTIE","924827,10 lei",Hunedoara
constructii,CARGO TRANS INTERNATIONAL SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Rest de executat - lucrari de constructii si instalatii in cadrul proiectului CONSTRUIRE IMOBIL CU DESTINATIA HOTEL S+P+4 CU SPATII PENTRU ASIGURAREA HRANEI SI BAUTURILOR SI SPATII PENTRU CONFERINTE, CONVENTII SI ACTIVITATI RECREATIVE, PARCAJ IN INCINTA SI IMPREJMUIRE TEREN CU L=99 M","3320621,28 lei",DOLJ
constructii,CARGO TRANS INTERNATIONAL SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: CONSTRUIRE IMOBIL CU DESTINATIA HOTEL S+P+4 CU SPATII PENTRU ASIGURAREA HRANEI SI BAUTURILOR SI SPATII PENTRU CONFERINTE, CONVENTII SI ACTIVITATI RECREATIVE, PARCAJ IN INCINTA SI IMPREJMUIRE TEREN CU L=99 M","5027017,00 lei",DOLJ
constructii,INTEGRAL CHINCIU COMIMPEX SRL,-,"7389887,74 lei",Hunedoara
constructii,INTEGRAL CHINCIU COMIMPEX SRL,-,"7389887,74 lei",Hunedoara
constructii,MARCOSTAR CONSTRUCT STIL S.A.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari de constructii si instalatii","21321083,97 lei",Constanta
constructii,MARCOSTAR CONSTRUCT STIL S.A.,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari suplimentare de constructii",1142220 lei,CONSTANTA
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetele Giurgiu si Teleorman","9626187,07 lei",Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Galati","13897903,57 lei",Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Vaslui","25134869,26 lei",Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Bistrita Nasaud""","11141665,28 lei",Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Olt","8959851,55 lei",Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetele Timis si Caras-Severin""","9938079,75 lei",Bucuresti
constructii,NETWORK INNOVATION FUTURE SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari in cadrul proiectului Investitii in infrastructura broadband in judetul Mures","9351439,69 lei",Bucuresti
constructii,ORIZONT SIGHETU MARMATIEI SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE LUCRARI DE CONSTRUCTII PENTRU PROIECTUL HOTEL Dp+P+2E+Mp, IMPREJMUIRE SI SEMNALISTICA","10828180,33 lei",Maramures
constructii,ALPHA QUALITY INNOVATION SRL,-,"3790616,00 lei",Giurgiu
echipamente,Sistem automatizare alimentare presa in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]:  Furnizare echipamente/utilaje tehnologice - (Sistem automatizare alimentare presa in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L. pe piata interna si externa prin dezvoltarea capacitatilor productive .","1707469,92 lei",Arges
echipamente,ATRIBUIREA CONTRACTULUI DE FURNIZARE SETURI COMPLETE MOBILIER PENTRU PROIECTUL CONSTRUIRE IMOBIL CU APARTAMENTE DESTINATE CAZARII DE SC,"Anunturi [proceduri de achizitie, beneficiari privati]: ATRIBUIREA CONTRACTULUI DE FURNIZARE SETURI COMPLETE MOBILIER PENTRU PROIECTUL CONSTRUIRE IMOBIL CU APARTAMENTE DESTINATE CAZARII DE SCURTA DURATA, IMPREJMUIRE SI RACORDURI LA UTILITATI",163750 lei,Neamt
echipamente,Contract de furnizare bunuri si dotari in cadrul Asociatiei Judetene a Vanatorilor si Pescarilor Sportivi Sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de furnizare bunuri si dotari in cadrul Asociatiei Judetene a Vanatorilor si Pescarilor Sportivi Satu Mare - achizitie pe loturi","145358,75 lei",Satu Mare
echipamente,Dezvoltarea activitatii de pregatire a terenului in cadrul companiei DM Management & Capital Invest SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitionare utilaje tip miniincarcator in cadrul proiectului ""Dezvoltarea activitatii de pregatire a terenului in cadrul companiei DM Management & Capital Invest SRL la punctul de lucru din orasul Tulcea""","845436,00 lei",Bucuresti
echipamente,in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Furnizare echipamente/utilaje tehnologice - (proiector optic)  in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L. pe piata interna si externa prin dezvoltarea capacitatilor productive","181365,58 lei",Arges
echipamente,in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Furnizare echipamente/utilaje tehnologice - (presa)  in vederea implementarii proiectului Cresterea competitivitatii economice a S.C. MUSA PITESTI 96 S.R.L. pe piata interna si externa prin dezvoltarea capacitatilor productive .","2762751,20 lei",Arges
echipamente,ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii",1600000 lei,Brasov
echipamente,ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIA DE Masina de taiere si perforare cu laser cu software specific si alte accesorii",1540000 lei,Brasov
echipamente,Procedura de atribuire a contractului de furnizare echipamente pentru procesa,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura de atribuire a contractului de furnizare echipamente pentru procesare primara peste",523856 lei,MARAMURES
