cui,denumire,telefon_anaf,sediu_judet,sediu_localitate
33705300,AGROTOP FARM SRL,0753697039,CLUJ,Mun. Cluj-Napoca
38340530,AGROTOP TRACTORCOM SRL,0741222986,SATU MARE,Sat Vetiş Com. Vetiş
52886784,AGROTUTU PREST S.R.L.,0751115830,ALBA,Mun. Alba Iulia
6344461,AGROUTILAJ SERVICE SRL,0264324531,CLUJ,Mun. Turda
20919255,AGROWEST-BMB SRL,0267369026,COVASNA,Sat Cernat Com. Cernat
25798979,AGROZONE SRL,0744599689,CLUJ,Sat Sânnicoară Com. Apahida
36422359,AGSO FARM TECHNOLOGY SRL,0212600710,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
21761810,AHIS CONSULTING S.R.L.,0751252364,GIURGIU,Sat Budeni Com. Comana
30860872,AHMED RIHAN COMPANY SRL,0723176215,CONSTANŢA,Mun. Constanţa
24737787,AJG TRUCKS & TRAILERS SRL,0745325227,BUZĂU,Sat Topliceni Com. Topliceni
43945105,AKHERON PARTS S.R.L.,0742821820,BIHOR,Sat Şimian Com. Şimian
10410091,AKHERON SERV SRL,0259355344,BIHOR,Sat Şimian Com. Şimian
31275311,AKZO PREMIUM PARTS SRL,0729908207,TIMIŞ,Mun. Timişoara
18926960,AL MANSOURA S.R.L.,0788508635,CONSTANŢA,Mun. Constanţa
41811670,ALANI KIDS S.R.L.,0740618011,NEAMŢ,Mun. Piatra Neamţ
7929219,ALBERTA COM SRL,0754069045,BISTRIŢA-NĂSĂUD,Loc. Viişoara Mun. Bistriţa
40807248,ALBINUTA DUE CREMONESA S.R.L.,0774170645,GALAŢI,Sat Cosmeştii-Vale Com. Cosmeşti
48261426,ALBONE S.R.L.,0742279767,BIHOR,Sat Varviz Com. Popeşti
35557250,ALESSIA GREEN FAMILY SRL,0737895611,GALAŢI,Mun. Tecuci
2888070,ALEX KFT SRL,247531,CLUJ,Sat Iclozel Com. Iclod
49797571,ALEX& CRIS SHOP S.R.L.,0761129486,VASLUI,Sat Fălciu Com. Fălciu
7421643,ALEXANTO COMEXIM SRL,0740299667,BIHOR,Sat Rontău Com. Sânmartin
38296125,ALEXZANDER TECH SRL,0746231457,CLUJ,Mun. Gherla
11411486,ALFA - AGROMECH S.R.L.,0257350132,ARAD,Sat Vărşand Com. Pilu
16223696,ALFA KALOTA SRL,0264257602,CLUJ,Sat Sâncraiu Com. Sâncraiu
30686106,ALISTAR AGROSERVICE SRL,0242640020,CĂLĂRAŞI,Orş. Lehliu-Gară
42553588,ALLPARTS GLOBAL S.R.L.,0721406884,TIMIŞ,Sat Dudeştii Noi Com. Dudeştii Noi
29289242,ALSER CAPITAL S.R.L.,0756033356,BRAŞOV,Mun. Săcele
49045471,ALSER PRODUCTIE S.R.L.,0758083937,BRAŞOV,Mun. Săcele
22862201,ALZAKAH S.R.L.,0788454919,CONSTANŢA,Mun. Constanţa
51395959,AMCTOTAL S.R.L.,0761699740,SATU MARE,Mun. Satu Mare
28526871,AMPECOS SRL,0744889343,SIBIU,Sat Valea Viilor Com. Valea Viilor
33844413,AMR TRAC SRL,0726386666,BIHOR,Sat Paleu Com. Paleu
44581711,AMY INVEST PECEIU S.R.L.,0740675871,SĂLAJ,Sat Peceiu Com. Bănişor
32472540,ANDARTA PEONY S.R.L.,0368411990,BRAŞOV,Sat Feldioara Com. Feldioara
30529330,ANDERS ESSENER SRL,0764235914,BISTRIŢA-NĂSĂUD,Sat Coşbuc Com. Coşbuc
18567645,ANDREICA IMPEX SRL,0745804524,BISTRIŢA-NĂSĂUD,Sat Nuşeni Com. Nuşeni
51956105,ANDREVIA ECO S.R.L.,0721299214,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
41879820,ANTO COMSERV S.R.L.,0742388216,SIBIU,Sat Veştem Com. Şelimbăr
17540498,APAN AGRICULTURE EQUIPMENTS SRL,0239613094,BRĂILA,Mun. Brăila
15196240,APF TRADE SRL,0251415768,DOLJ,Sat Cârcea Com. Cârcea
22726897,APH GROUP RO SRL,0267360162,COVASNA,Mun. Târgu Secuiesc
32379868,API - DESICAŢIA SRL-D,0769191977,TIMIŞ,Mun. Timişoara
47440040,APIFERIA S.R.L.,0755010011,PRAHOVA,Orş. Vălenii de Munte
33886508,APILUK.RO SRL,0744592696,TIMIŞ,Mun. Timişoara
43640216,APIS - DIAMONDS - STANDARDS S.R.L.,0740190437,BOTOŞANI,Orş. Darabani
1766210,APIS SRL,0258711428,ALBA,Mun. Blaj
49221926,APIUMNORD S.R.L.,0726-252864,BISTRIŢA-NĂSĂUD,Mun. Bistriţa
45526871,APIVEST TECHNOLOGY S.R.L.,0752561869,TIMIŞ,Sat Giarmata Com. Giarmata
1436653,APRO MILCOV SA,0237222900,VRANCEA,Sat Câmpineanca Com. Câmpineanca
34661392,APV VERTRIEBS SOCIETATE ÎN COMANDITĂ,0722822341,TIMIŞ,Orş. Jimbolia
9032120,ARCAFIN SRL,0259467301,BIHOR,Mun. Oradea
42639841,ARDELEAN QUAD TRANS S.R.L.,0742065716,SĂLAJ,Sat Peceiu Com. Bănişor
20820641,ARDITA SPORT SRL,0723476840,HUNEDOARA,Mun. Brad
44526342,ARGY AGRO UTILAJE S.R.L.,0741363950,SĂLAJ,Sat Chieşd Com. Chieşd
27321134,ARTERIUS BUSINESS SRL,0757348950,BACĂU,Mun. Bacău
23650509,ARZIZ YADAK EXPORT&IMPORT S.R.L.,0788365700,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
24795966,ASARA TRADE IMPORT-EXPORT SRL,0722398459,CONSTANŢA,Mun. Constanţa
47492309,ASD CONCEPT S.R.L.,0725252447,ARGEŞ,Mun. Piteşti
43813414,ASSIOUTY GRUOP S.R.L.,0726386666,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
13521272,AUGMENT SRL,0213191888,ILFOV,Orş. Voluntari
42891570,AUTOMOTIVE CONCEPT CONSTRUCT S.R.L.,0729082198,GIURGIU,Sat Răsuceni Com. Răsuceni
41383965,AVENUE CARANSEBES S.R.L.,0749146297,CARAŞ-SEVERIN,Sat Păltiniş Com. Păltiniş
46250463,AVI NEGOI METHOD S.R.L.,0739479102,DÂMBOVIŢA,Mun. Târgovişte
5673962,AVI SUINTEH S.R.L.,0261861741,SATU MARE,Mun. Carei
46022350,AXO DINAMIC S.R.L.,0037369114383,IAŞI,Sat Valea Adâncă Com. Miroslava
20568340,B.T.A. IMPEX S.R.L.,0237210348,SATU MARE,Mun. Satu Mare
37243432,BACIU NORBERT PERSOANĂ FIZICĂ AUTORIZATĂ,0741464533,BIHOR,Mun. Oradea
36197222,BAF LANDMACHINEN SRL,0741927562,TIMIŞ,Sat Parţa Com. Parţa
18277099,BALLA-SOL SRL,0745193689,SĂLAJ,Sat Crasna Com. Crasna
30681605,BANAT DAIRY EQUIPMENT SRL,0733958705,TIMIŞ,Sat Săcălaz Com. Săcălaz
1816792,BANAT TRACTOR SERVICE SRL,0256293424,TIMIŞ,Mun. Timişoara
10276519,BARBONE COMPROD S.R.L.,0723196389,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
6667950,BAZA 26 S.A.,0265164798,MUREŞ,Mun. Târgu Mureş
14650593,BEEXPERT FEED S.R.L.,741181395,CLUJ,Sat Luna de Sus Com. Floreşti
36662475,BEKAEXPRESS TRANSPORT SRL,0742860837,MARAMUREŞ,Sat Răzoare Orş. Târgu Lăpuş
18831207,BENJORA S.R.L.,0742064635,GALAŢI,Mun. Galaţi
9604680,BEST MARINE S.R.L.,0241613808,CONSTANŢA,Mun. Constanţa
7095679,BEYNE AGROROM SRL,0257276879,ARAD,Mun. Arad
14422030,BIG CONSULTING SRL,0269212324,SIBIU,Mun. Sibiu
37720280,BIGBOG SRL,0740951435,BRAŞOV,Mun. Braşov
50491508,BIOLAND PUI S.R.L.,0769688802,IALOMIŢA,Sat Moviliţa Com. Moviliţa
48911596,BIOTECH AVENUE ROMANIA S.R.L.,0721925152,CONSTANŢA,Mun. Constanţa
13698895,BODTRANS SRL,0745660888,SUCEAVA,Sat Dărmăneşti Com. Dărmăneşti
47775224,BOGDANGELO S.R.L.,0742638625,GALAŢI,Sat Malu Alb Com. Drăgăneşti
46353515,BOGYOR C. ATTILA PERSOANĂ FIZICĂ AUTORIZATĂ,0748503011,COVASNA,Mun. Sfântu Gheorghe
41519880,BORONA AGRO MACHINE S.R.L.,0748958996,MUREŞ,Sat Sântana de Mureş Com. Sântana de Mureş
42710313,BPVIND S.R.L.,0728034718,COVASNA,Sat Sânzieni Com. Sânzieni
6541943,BRONTO COMPROD SRL,0264406790,CLUJ,Mun. Cluj-Napoca
17332411,BUMARJAN COMEXIM S.R.L.,0745367640,DOLJ,Mun. Craiova
26500735,BURCIU CORNELIU - PERSOANĂ FIZICĂ AUTORIZATĂ,0230564649,SUCEAVA,Mun. Rădăuţi
31366304,BUT AGROSERVICELAND S.R.L.,0740798804,SĂLAJ,Sat Peceiu Com. Bănişor
25369748,BUTTNER AGRAR SRL,0740059896,SIBIU,Sat Cârţa Com. Cârţa
27100192,C.C.C. IDEAL DINAMIC S.R.L.,0726573100,CONSTANŢA,Mun. Constanţa
49341566,CAGLAR PROD IMPORT-EXPORT S.R.L.,0799066664,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
5284728,CALLY B.D. S.R.L.,0748036730,VÂLCEA,Mun. Râmnicu Vâlcea
2242310,CAMARO CROP SRL,0239615804,BRĂILA,Sat Cazasu Com. Cazasu
32627637,CARLOS TRACTORS SRL,0744591345,BRAŞOV,Sat Satu Nou Com. Hălchiu
7967379,CARPATI PROD S.R.L.,025873164,ALBA,Mun. Sebeş
26473274,CARTUR AGRO CODLEA SRL,0268250272,BRAŞOV,Mun. Codlea
28992944,CASA COMERCIALĂ BELARUS SRL,0755106843,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
41001445,CESIVO AGRICULTURA S.R.L.,756015022,DOLJ,Sat Coşoveni Com. Coşoveni
29183640,CEZAR CHALLENGE AGRO SERVICE SRL,0723602533,TIMIŞ,Sat Carani Com. Sânandrei
37702780,CIA TRAC SRL,0761082763,NEAMŢ,Sat Rediu Com. Bâra
38061331,CLOCITOAREA IDEALĂ S.R.L.,0749167482,DÂMBOVIŢA,Sat Ghirdoveni Com. I. L. Caragiale
18321720,CO-RENTAL S.R.L.,0724083127,TIMIŞ,Mun. Timişoara
51933438,COMPLETE AGRI S.R.L.,0737014158,TIMIŞ,Mun. Timişoara
6936820,COMPLEX SOMI PREST SRL,0232292559,IAŞI,Sat Bohotin Com. Răducăneni
31524315,COMPONENTE MAŞINI AGRICOLE SRL,0733354780,ARGEŞ,Mun. Curtea de Argeş
21236153,COMSTORE SRL,0213691042,ILFOV,Com. 1 Decembrie
3966117,CONVEX SRL,0242331809,CĂLĂRAŞI,Mun. Călăraşi
45402857,CORMANA MACHINERY S.R.L.,0031621808318,BRAŞOV,Mun. Făgăraş
47395306,COSMA AGRO TRAC S.R.L.,0740907585,ARGEŞ,Sat Argeşelu Com. Mărăcineni
8398905,CRISMONI GENERAL COM SRL,3501427,ILFOV,Sat Ştefăneştii de Jos Com. Ştefăneştii de Jos
15177222,CRISTIN TRANS SRL,0246242179,GIURGIU,Sat Dobreni Com. Vărăşti
28290273,CRISUTIL PROINTERNAŢIONAL SRL,0747134159,BUZĂU,Mun. Râmnicu Sărat
49466322,CRYSREM S.R.L.,0784502753,OLT,Sat Oboga Com. Oboga
48535033,CSNTRADE S.R.L.,0232227777,IAŞI,Mun. Iaşi
48959993,CTV APC S.R.L.,0753523002,MEHEDINŢI,Sat Crăgueşti Com. Şişeşti
20137879,CYBER TRADE SRL,0368449049,BRAŞOV,Mun. Braşov
34262235,CĂTĂ GAD SRL,0742122895,TIMIŞ,Sat Gad Com. Ghilad
13779434,DA YIE IMPEX SRL,0732429532,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
30394128,DAIRY MAX ROBOTICS S.R.L.,0745223601,MARAMUREŞ,Mun. Baia Mare
37849138,DAMEVE AGROMACHINERY SRL,0729489357,CONSTANŢA,Sat Valu lui Traian Com. Valu lui Traian
21074043,DANCORA CONSTRUCT SRL,0724665678,IALOMIŢA,Sat Bucu Com. Bucu
43791790,DANI TECNOAGRO S.R.L.,0745325737,ARAD,Sat Şimand Com. Şimand
36023196,DANMIR POL S.R.L.,0748950046,SUCEAVA,Sat Gemenea Com. Stulpicani
9931495,DARA  IRRIGATION S.A.,0731200106,BUZĂU,Mun. Buzău
48693912,DARIUS AUTO UTILAJE S.R.L.,0733842251,VÂLCEA,Sat Ciocănari Com. Măciuca
20064467,DAV-LOR S.R.L.,0741551776,MARAMUREŞ,Mun. Baia Mare
24233976,DEALER ITALIA SRL,0266242621,MUREŞ,Sat Vânători Com. Vânători
27396200,DEDEXANA TRANS SRL,0746256832,SĂLAJ,Sat Criştelec Com. Măerişte
14667013,DEFEND AGROSERVICE SRL,0722634555,BIHOR,Sat Biharia Com. Biharia
23649776,DELROM COM SERV SRL,0249453026,OLT,Orş. Balş
4466411,DEM COMPLEX S.R.L.,0744139358,HARGHITA,Mun. Odorheiu Secuiesc
47075930,DERISZOF S.R.L.,0749298380,BIHOR,Mun. Salonta
32179460,DIAGAR SRL,0724261657,BRĂILA,Mun. Brăila
28881164,DICOR LAND SRL,0746627505,GALAŢI,Sat Şerbeştii Vechi Com. Şendreni
36623875,DIDA H IMPORT-EXPORT SRL,0732977412,CONSTANŢA,Mun. Constanţa
1111040,DIEM SRL,0268 / 475544,BRAŞOV,Sat Cristian Com. Cristian
51621010,DILEXIS AGRIVITA S.R.L.,+37368200045,VRANCEA,Mun. Focşani
44164684,DINAMIC FARM JOLŢA S.R.L.,0749418351,BIHOR,Sat Viişoara Com. Viişoara
25736054,DINU LIDIA INTREPRINDERE INDIVIDUALA,0722579092,MARAMUREŞ,Mun. Baia Mare
44915048,DORIS PC S.R.L.,0740836420,COVASNA,Mun. Sfântu Gheorghe
16767701,DUOTRAC S.R.L.,0268273623,BRAŞOV,Mun. Braşov
35697602,E - AGRI MANAGEMENT SRL,0737936906,CĂLĂRAŞI,Sat Drajna Nouă Com. Dragalina
31199761,E-AGRICULTURA SRL,0727556268,CONSTANŢA,Sat Lumina Com. Lumina
37337499,ECO MIHIŞ SRL,0734382630,BIHOR,Sat Pietroasa Com. Pietroasa
47872847,EDYZ AGRO S.R.L.,0757451750,BOTOŞANI,Mun. Botoşani
39118797,EGYRO - EXTRANS S.R.L.,0743419500,COVASNA,Orş. Baraolt
35645166,EL MABROUK 2016 SRL,0744911764,SATU MARE,Mun. Satu Mare
1814350,ELECTRIC GRUP SRL,0256224427,TIMIŞ,Mun. Timişoara
52061000,ELMASRY BUSINESS TRADING S.R.L.,0722729550,MUNICIPIUL BUCUREŞTI,Sector 5 Mun. Bucureşti
29273700,ELNADA IMPORT EXPORT BANY` ABEID - SUCURSALA BUCURESTI,0213119625,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
27108609,ELSALEH.RO SRL,0723527807,CONSTANŢA,Mun. Constanţa
22259872,EMI IMPEX SRL,0740190580,TIMIŞ,Sat Gavojdia Com. Gavojdia
40686162,ERIK MASKINER S.R.L.,0745827121,BIHOR,Sat Săud Com. Bunteşti
45279992,ESSEVI AGRICOLTURA S.R.L.,0259424144,BIHOR,Mun. Oradea
46374453,EURO BUCKETS S.R.L.,0727473147,BRAŞOV,Mun. Braşov
16836887,EUROAGRITEC S.R.L.,0744503965,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
30058152,EUROMKB AUTOMOTIVE SRL,0400721684890,DOLJ,Mun. Craiova
23572559,EUROMOTOR SRL,0744359008,CĂLĂRAŞI,Mun. Călăraşi
19127146,EUROTECHNIC SRL,0233724334,NEAMŢ,Mun. Roman
33724514,EVAK UTILAJE AGRICOLE SRL,0769458010,GIURGIU,Sat Ghimpaţi Com. Ghimpaţi
35401773,EXPERT TRACTOR SRL,0740485066,CĂLĂRAŞI,Sat Chiselet Com. Chiselet
29393676,EXPERTAGRO TRADING SRL,0314257193,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti
9694313,FAIR TRADE INDUSTRY S.R.L.,0788484199,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
27928277,FALCIATRICI BL S.R.L.,0722634985,SĂLAJ,Sat Panic Com. Hereclean
13102606,FALCO 2000 S.R.L.,0261714496,SATU MARE,Mun. Satu Mare
