cui,denumire,caen,nr_reg_com,forma_juridica,sediu_judet,sediu_localitate,sediu_strada,sediu_nr,sediu_cod_postal,adresa,telefon_anaf,fax,cod_postal,data_inregistrare,stare,status_tva,email,email2,website,cifra_afaceri_ron,cifra_afaceri_eur,angajati,an_infiintare
41588421,ACTUAL AGRO PIESE S.R.L.,4661,J2019002196037,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ARGEŞ,Sat Argeşelu Com. Mărăcineni,,442A,117451,"JUD. ARGEŞ, SAT ARGEŞELU COM. MĂRĂCINENI, NR.442A",,,117451,2019-09-02,INREGISTRAT din data 02.09.2019,True,,,,,,,
23543804,AD LIBRACONS SRL,4661,J23/883/2008,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ILFOV,Sat Baloteşti Com. Baloteşti,Calea BUCURESTI,1,77015,"JUD. ILFOV, SAT BALOTEŞTI COM. BALOTEŞTI, CAL. BUCUREŞTI, NR.1, BL.1, SC.A, ET.1, AP.4",,,77015,2008-03-19,INREGISTRAT din data 19.03.2008,True,,,,,,,
49622383,ADELIN JUNIOR AGRO S.R.L.,4661,J2024000319173,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,GALAŢI,Sat Cudalbi Com. Cudalbi,Str. Vultur,14,807105,"JUD. GALAŢI, SAT CUDALBI COM. CUDALBI, STR. VULTUR, NR.14",0747916860,,807105,2024-02-20,INREGISTRAT din data 20.02.2024,False,,,,,,,
48877877,ADFLOR AGRO S.R.L.,4661,J2024000592389,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,VÂLCEA,Sat Dângeşti Com. Berislăveşti,Str. Principală,98B,247042,"JUD. VÂLCEA, SAT DÂNGEŞTI COM. BERISLĂVEŞTI, STR. PRINCIPALĂ, NR.98B",0766539168,,247042,2023-10-03,INREGISTRAT din data 02.10.2023,True,,,,,,,
46426420,ADI & COSTEL UTIL AGRO S.R.L.,4661,J10/903/2022,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BUZĂU,Sat Vâlcelele Com. Vâlcelele,Str. Principală,55,127670,"JUD. BUZĂU, SAT VÂLCELELE COM. VÂLCELELE, STR. PRINCIPALĂ, NR.55",,,127670,2022-07-06,INREGISTRAT din data 06.07.2022,False,,,,,,,
3934662,ADIACENT IMPEX S.R.L.,4661,J26/505/1993,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUREŞ,Mun. Târgu Mureş,Str. Banat,31,540486,"JUD. MUREŞ, MUN. TÂRGU MUREŞ, STR. BANAT, NR.31, AP.3",0744575675,0265254610,540486,1993-05-14,INREGISTRAT din data 14.05.1993,True,,,,,,,
8338440,ADINTER COMSERV SRL,4661,J08/403/1996,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BRAŞOV,Mun. Săcele,Str. Petőfi Sándor,33,505600,"JUD. BRAŞOV, MUN. SĂCELE, PETOFI SANDOR, NR.33",092249413,068273883,505600,1996-04-17,INREGISTRAT din data 17.04.1996,True,,,,,,,
21985761,AFIBANAT SRL,2830,J2007002365357,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,TIMIŞ,Mun. Timişoara,Cal. Bogdăneştilor,36,300407,"JUD. TIMIŞ, MUN. TIMIŞOARA, CAL. BOGDĂNEŞTILOR, NR.36, AP.CORP B",0722239036,,300407,2007-06-22,INREGISTRAT din data 22.06.2007,True,office@afibanat.ro,,https://afibanat.ro,,,,
49563252,AFKO AGRO IRIGATII S.R.L.,4661,J2024002746405,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti,Bld. Basarabia,98,22122,"MUNICIPIUL BUCUREŞTI, SECTOR 2, BLD BASARABIA, NR.98, MANSARDA. CAM. 1 SI 2",0727895004,,22122,2024-02-08,INREGISTRAT din data 08.02.2024,True,,,,,,,
6422446,AGENT TRADE SRL,4661,J2010001840235,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ILFOV,Sat Tunari Com. Tunari,Şos DE CENTURĂ,32,77180,"JUD. ILFOV, SAT TUNARI COM. TUNARI, ŞOS DE CENTURĂ, NR.32",0724310142,,77180,1994-11-21,TRANSFER(SOSIRE) din data 28.06.2010,True,office@agt.ro,,https://agent-trade.ro,,,,
36947545,AGJO S.R.L.,4661,J14/21/2017,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,COVASNA,Sat Lunga Mun. Târgu Secuiesc,LUNGA,644,525401,"JUD. COVASNA, SAT LUNGA MUN. TÂRGU SECUIESC, LUNGA, NR.644",0726715806,,525401,2017-01-26,INREGISTRAT din data 26.01.2017,False,,,,,,,
33635247,AGRAMIX GROUPE S.R.L.,4661,J2014000918245,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MARAMUREŞ,Loc. Tăuţii-Măgherăuş Orş. Tăuţii-Măgherăuş,Str 57,3,,"JUD. MARAMUREŞ, LOC. TĂUŢII-MĂGHERĂUŞ ORŞ. TĂUŢII-MĂGHERĂUŞ, STR 57, NR.3",0755931347,,,2014-09-29,INREGISTRAT din data 29.09.2014,True,,,,,,,
34154462,AGRAMIX TRADING S.R.L.,4661,J24/185/2015,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MARAMUREŞ,Mun. Baia Mare,Pţa. Revoluţiei,5,430315,"JUD. MARAMUREŞ, MUN. BAIA MARE, PŢA. REVOLUŢIEI, NR.5, AP.52",0751157757,,430315,2015-02-25,INREGISTRAT din data 25.02.2015,True,contact@agramix.ro,,https://agramix.ro,,,,
18744542,AGRAR CLIMA SRL,4661,J2006001368088,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BRAŞOV,Mun. Codlea,Str. Eretelui,15,505100,"JUD. BRAŞOV, MUN. CODLEA, STR. ERETELUI, NR.15, CAMERA 1",0368414029,,505100,2006-06-08,INREGISTRAT din data 07.06.2006,True,info@agrarclima.ro,,https://agrarclima.ro,,,,
31430008,AGRAR KRAFT SERVICE SRL,4661,J27/177/2013,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,NEAMŢ,Mun. Piatra Neamţ,Aleea Viorelelor,9,610013,"JUD. NEAMŢ, MUN. PIATRA NEAMŢ, ALEEA VIORELELOR, NR.9, BL.19, ET.1, AP.8",0740303542,,610013,2013-03-28,INREGISTRAT din data 28.03.2013,True,,,,,,,
36090098,AGRAR TECH SRL,4661,J2016001244228,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,IAŞI,Mun. Iaşi,Str. Prof. Nicolae Oblu,26A,,"JUD. IAŞI, MUN. IAŞI, STR. PROF. NICOLAE OBLU, NR.26A, CAM.1, BL.B1A, ET.1, AP.14",0766093637,,,2016-05-17,INREGISTRAT din data 17.05.2016,True,contact@pieseagricultura.ro,,https://agrartech.ro,,,,
16359079,AGRAR TEHNIC S.R.L.,4661,J24/632/2004,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MARAMUREŞ,Mun. Baia Mare,Str. Mihai Eminescu,102,430395,"JUD. MARAMUREŞ, MUN. BAIA MARE, STR. MIHAI EMINESCU, NR.102",,0262215642,430395,2004-04-23,INREGISTRAT din data 22.04.2004,True,,,,,,,
30701010,AGREPAIR SRL,4661,J35/2345/2012,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,TIMIŞ,Sat Săcălaz Com. Săcălaz,Str. Wolfsberg,5,307370,"JUD. TIMIŞ, SAT SĂCĂLAZ COM. SĂCĂLAZ, STR. WOLFSBERG, NR.5, CAMERA 4",0743218628,,307370,2012-09-24,INREGISTRAT din data 24.09.2012,True,,,,,,,
11359108,AGRESTIS SRL,4661,J30/26/1999,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,SATU MARE,Mun. Satu Mare,Str. Câmpului,3,,"JUD. SATU MARE, MUN. SATU MARE, STR. CÂMPULUI, NR.3",0740081740,,,1999-01-20,INREGISTRAT din data 20.01.1999,True,comenzi@agrestis.ro,,https://agrestis.ro,,,,
25199660,AGRI - CONCEPT INTERNATIONAL S.R.L.,4661,J40/2630/2009,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti,B-dul ION IONESCU DE LA BRAD,61-63,13812,"MUNICIPIUL BUCUREŞTI, SECTOR 1, B-DUL ION IONESCU DE LA BRAD, NR.61-63, ET.5, AP.18",0212693418,,13812,2009-02-26,INREGISTRAT din data 26.02.2009,False,,,,,,,
43903630,AGRI COOL PAVEL S.R.L.,4661,J19/165/2021,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,HARGHITA,Sat Beteşti Orş. Cristuru Secuiesc,BETEŞTI,236,537208,"JUD. HARGHITA, SAT BETEŞTI ORŞ. CRISTURU SECUIESC, BETEŞTI, NR.236",0740704111,,537208,2021-03-12,INREGISTRAT din data 12.03.2021,False,,,,,,,
40017052,AGRI COSAD UTILAJE S.R.L.,4661,J40/14952/2018,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti,Str. Cotul Siretului,2C,60625,"MUNICIPIUL BUCUREŞTI, SECTOR 6, STR. COTUL SIRETULUI, NR.2C, CAM. 1, ET.PARTER",,,60625,2018-10-17,INREGISTRAT din data 17.10.2018,True,agricosad@gmail.com,,https://agricosad.ro,,,,
38392602,AGRI CĂTĂLINA SRL,4661,J04/1733/2017,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BACĂU,Mun. Bacău,Str. Narciselor,7,600308,"JUD. BACĂU, MUN. BACĂU, STR. NARCISELOR, NR.7, BL.7, SC.A, ET.IV, AP.25",,,600308,2017-10-24,INREGISTRAT din data 24.10.2017,False,,,,,,,
24627121,AGRI DEVI S.R.L. ITALIA SUCURSALA SATU MARE,4661,J30/1377/2008,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,SATU MARE,Mun. Satu Mare,Str. MARTIRILOR DEPORTATI,6,,"JUD. SATU MARE, MUN. SATU MARE, STR. MARTIRILOR DEPORTATI, NR.6, AP.7",,,,2008-10-21,INREGISTRAT din data 20.10.2008,False,,,,,,,
24796139,AGRI INOVATIE SRL,4661,J2008004134354,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,TIMIŞ,Mun. Timişoara,Str. Chişodei,138,300432,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. CHIŞODEI, NR.138, CAMERA 1, ET.MANSARDA",0256492484,,300432,2008-11-26,INREGISTRAT din data 26.11.2008,False,contact@agri-inovatie.ro,,https://agri-inovatie.ro,,,,
31153764,AGRI IONICA PARTNER SRL,4661,J36/33/2013,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,TULCEA,Orş. Măcin,Str. 1 Decembrie 1918,,825300,"JUD. TULCEA, ORŞ. MĂCIN, STR. 1 DECEMBRIE 1918, BL.A2, SC.A, ET.PARTER, AP.1",,,825300,2013-01-30,INREGISTRAT din data 29.01.2013,False,,,,,,,
34548238,AGRI MAC  SRL,4661,J09/311/2015,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BRĂILA,Mun. Brăila,Str. Sebeşului,117,810438,"JUD. BRĂILA, MUN. BRĂILA, STR. SEBEŞULUI, NR.117, CAMERA 3",,,810438,2015-05-22,INREGISTRAT din data 22.05.2015,False,,,,,,,
15213031,AGRI MACHINE S.R.L.,4661,J39/897/2005,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,VRANCEA,Sat Jilişte Com. Slobozia Ciorăşti,TEREN INTRAVILAN T9P1065,,627317,"JUD. VRANCEA, SAT JILIŞTE COM. SLOBOZIA CIORĂŞTI, TEREN INTRAVILAN T9P1065",0237244478,,627317,2003-02-14,TRANSFER(SOSIRE) din data 03.11.2005,True,,,,,,,
46775218,AGRI MAT FOREST S.R.L.,4661,J33/1868/2022,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,SUCEAVA,Sat Mănăstirea Humorului Com. Mănăstirea Humorului,Str. Ştefan cel Mare,10A,,"JUD. SUCEAVA, SAT MĂNĂSTIREA HUMORULUI COM. MĂNĂSTIREA HUMORULUI, STR. ŞTEFAN CEL MARE, NR.10A",,,,2022-09-02,INREGISTRAT din data 02.09.2022,True,,,,,,,
24819658,AGRI MODERN UTILAJ S.R.L.,4661,J05/2946/2008,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BIHOR,Sat Inand Com. Cefa,,102,417151,"JUD. BIHOR, SAT INAND COM. CEFA, NR.102",0748137249,,417151,2008-12-03,INREGISTRAT din data 03.12.2008,False,,,,,,,
6700518,AGRI SIGEVA SRL,4661,J08/3759/1994,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BRAŞOV,Mun. Săcele,Bld. George Moroianu,47,505600,"JUD. BRAŞOV, MUN. SĂCELE, BLD. GEORGE MOROIANU, NR.47",0722529586,0268423691,505600,1995-01-04,INREGISTRAT din data 04.01.1995,True,,,,,,,
52652104,AGRI SPRAYERS EXIM S.R.L.,4661,J2025076653000,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BRĂILA,Mun. Brăila,Str. Pietrei,22,,"JUD. BRĂILA, MUN. BRĂILA, STR. PIETREI, NR.22",0748227447,,,2025-10-08,INREGISTRAT din data 08.10.2025,True,,,,,,,
50287789,AGRI TECH EQUIPMENT S.R.L.,4661,J40/12643/2024,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti,Str. Argentina,25,11753,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR. ARGENTINA, NR.25, PARTER",0747013650,,11753,2024-06-27,INREGISTRAT din data 27.06.2024,False,,,,,,,
26426345,AGRI TOCAN S.R.L.,4661,J40/654/2010,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti,Sos. MIHAI BRAVU,107-119,,"MUNICIPIUL BUCUREŞTI, SECTOR 2, SOS. MIHAI BRAVU, NR.107-119, BL.E1, SC.5, ET.4, AP.151",0722411657,,,2010-01-21,INREGISTRAT din data 21.01.2010,True,contact@agritocan.ro,,https://agritocan.ro,,,,
45997399,AGRI TRACK EXPORT S.R.L.,4661,J03/965/2022,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ARGEŞ,Mun. Piteşti,Bld. Fraţii Goleşti,61,110174,"JUD. ARGEŞ, MUN. PITEŞTI, BLD. FRAŢII GOLEŞTI, NR.61, CARTIER CRAIOVEI, BL.S9A, ET.PARTER",,,110174,2022-04-20,INREGISTRAT din data 20.04.2022,True,,,,,,,
47872103,AGRI WHEELS S.R.L.,4661,J27/339/2023,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,NEAMŢ,Sat Cordun Com. Cordun,Str. Muncii,5,617135,"JUD. NEAMŢ, SAT CORDUN COM. CORDUN, STR. MUNCII, NR.5",0723565988,,617135,2023-03-23,INREGISTRAT din data 23.03.2023,False,,,,,,,
21224140,AGRI-ALIANTA SRL,4661,J23/200/2015,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ILFOV,Sat Şindriliţa Com. Găneasa,,,77104,"JUD. ILFOV, SAT ŞINDRILIŢA COM. GĂNEASA,  , TARLA 17. PARCELA 58/1. PARTER. BIROUL 2",031 730 91 03,,77104,2007-02-27,TRANSFER(SOSIRE) din data 22.01.2015,True,office@agrialianta.com,,https://agrialianta.ro,,,,
34920241,AGRIC-STORE NEAMŢ SRL,4661,J2015000548278,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,NEAMŢ,Sat Nemţişor Com. Vânători-Neamţ,Fdt OGLINZANU,378,615200,"JUD. NEAMŢ, SAT NEMŢIŞOR COM. VÂNĂTORI-NEAMŢ, FDT OGLINZANU, NR.378",,,615200,2015-08-24,INREGISTRAT din data 24.08.2015,True,,,,,,,
44757436,AGRICARUTIL D.I. S.R.L.,4661,J17/1350/2021,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,GALAŢI,Mun. Galaţi,Str. Brăilei,163,800309,"JUD. GALAŢI, MUN. GALAŢI, STR. BRĂILEI, NR.163, BL.A-4, SC.1, ET.PARTER, AP.7",0742355532,,800309,2021-08-18,INREGISTRAT din data 18.08.2021,True,,,,,,,
27186321,AGRICOL UNIVERSAL SRL,4661,J21/272/2010,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,IALOMIŢA,Mun. Urziceni,Str. Aurora,8,,"JUD. IALOMIŢA, MUN. URZICENI, STR. AURORA, NR.8, BL.51, ET.P, AP.2",0243255520,,,2010-07-19,INREGISTRAT din data 19.07.2010,True,contact@agricoluniversal.ro,,https://agricoluniversal.ro,,,,
31471784,AGRICOLA DIANA TRANS SRL,4661,J26/387/2013,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUREŞ,Sat Cheţani Com. Cheţani,CHEŢANI,71A,547150,"JUD. MUREŞ, SAT CHEŢANI COM. CHEŢANI, CHEŢANI, NR.71A",,,547150,2013-04-08,INREGISTRAT din data 08.04.2013,True,,,,,,,
46507320,AGRICOLA EMMA S.R.L.,4661,J06/1051/2022,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BISTRIŢA-NĂSĂUD,Sat Teaca Com. Teaca,,532B,427345,"JUD. BISTRIŢA-NĂSĂUD, SAT TEACA COM. TEACA, NR.532B",,,427345,2022-07-20,INREGISTRAT din data 20.07.2022,False,,,,,,,
42079027,AGRICOLE ALEXYLY S.R.L.,4661,J16/11/2020,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,DOLJ,Sat Ghindeni Com. Ghindeni,Str. Principală,76,207366,"JUD. DOLJ, SAT GHINDENI COM. GHINDENI, STR. PRINCIPALĂ, NR.76",,,207366,2020-01-08,SUSPENDARE ACTIVITATE din data 16.12.2024,False,,,,,,,
16191640,AGRICOLE DAMIAN IMPEX 2004 SRL,4661,J35/532/2004,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,TIMIŞ,Mun. Lugoj,ZONA STADION,,305500,"JUD. TIMIŞ, MUN. LUGOJ, ZONA STADION, BL.67, AP.1",0256355834,0256498774,305500,2004-03-02,INREGISTRAT din data 01.03.2004,True,,,,,,,
47192948,AGRICOSAD S.R.L.,4661,J40/22931/2022,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti,Str. Cotul Siretului,2C,60625,"MUNICIPIUL BUCUREŞTI, SECTOR 6, STR. COTUL SIRETULUI, NR.2C, PARTER, CAM. 2",,,60625,2022-11-16,INREGISTRAT din data 16.11.2022,True,agricosad@gmail.com,,https://agricosad.ro,,,,
28209180,AGRICULTURAL GREENHOUSES S.R.L.,4661,J02/317/2011,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ARAD,Mun. Arad,Str. Constituţiei,63,310227,"JUD. ARAD, MUN. ARAD, STR. CONSTITUŢIEI, NR.63",0726287799,,310227,2011-03-21,INREGISTRAT din data 18.03.2011,False,,,,,,,
40241040,AGRIDAN UTILAJE S.R.L.,4661,J40/17203/2018,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti,Str. Bodeşti,2,22435,"MUNICIPIUL BUCUREŞTI, SECTOR 2, STR. BODEŞTI, NR.2, BL.29B, SC.B, ET.3, AP.58",0721335170,,22435,2018-12-03,INREGISTRAT din data 03.12.2018,False,office@agridan.ro,,https://agridan.ro,,,,
44985345,AGRIFINSERVICE S.R.L.,4661,J40/16898/2021,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti,Str. Şinca,34,13236,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR. ŞINCA, NR.34",,,13236,2021-09-29,INREGISTRAT din data 29.09.2021,True,,,,,,,
39459069,AGRIKOM TRADING S.R.L.,4661,J2018000907023,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ARAD,Mun. Arad,Str. Alecu Russo,1,310175,"JUD. ARAD, MUN. ARAD, STR. ALECU RUSSO, NR.1, BL.A5, ET.PARTER, AP.3",,,310175,2018-06-07,INREGISTRAT din data 07.06.2018,True,office@agrikom.ro,,https://agrikom.ro,,,,
44237620,AGRILAND SOLUTION MACHINERY S.R.L.,4661,J2021000691016,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ALBA,Sat Unirea Com. Unirea,Str. Traian,866,517785,"JUD. ALBA, SAT UNIREA COM. UNIREA, STR. TRAIAN, NR.866",,,517785,2021-05-07,INREGISTRAT din data 07.05.2021,True,contact@agrilandsolutionmachinery.ro,,https://agrilandsolutionmachinery.ro,,,,
44587536,AGRIMARKET INTERNATIONAL S.R.L.,4661,J05/1825/2021,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BIHOR,Sat Haieu Com. Sânmartin,Car. Băile 1 Mai,208H,417501,"JUD. BIHOR, SAT HAIEU COM. SÂNMARTIN, CAR. BĂILE 1 MAI, NR.208H",,,417501,2021-07-14,INREGISTRAT din data 14.07.2021,False,,,,,,,
42477642,AGRIMASTER RO S.R.L.,4661,J22/974/2020,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,IAŞI,Sat Boroseşti Com. Scânteia,Str. Mihail Sadoveanu,200,707427,"JUD. IAŞI, SAT BOROSEŞTI COM. SCÂNTEIA, STR. MIHAIL SADOVEANU, NR.200",,,707427,2020-05-05,INREGISTRAT din data 05.05.2020,True,,,,,,,
39904182,AGRIMEC STORE S.R.L.,4661,J2018004584231,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,ILFOV,Sat Brăneşti Com. Brăneşti,Str. Oituz,134A,77030,"JUD. ILFOV, SAT BRĂNEŞTI COM. BRĂNEŞTI, STR. OITUZ, NR.134A, CAMERA 2",,,77030,2018-09-21,INREGISTRAT din data 21.09.2018,True,office@agrimecstore.ro,,https://agrimecstore.ro,,,,
28084125,AGRIMERT IMPORT S.R.L.,4661,J08/243/2011,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BRAŞOV,Mun. Codlea,Str. Lungă,12,505100,"JUD. BRAŞOV, MUN. CODLEA, STR. LUNGĂ, NR.12, AP.CAM.2",0268252256,,505100,2011-02-24,INREGISTRAT din data 24.02.2011,True,,,,,,,
