cui,denumire,judet,tip_serviciu,nr_licenta,email
7179966,"COMPANIA DE UTILITĂŢI
PUBLICE DUNĂREA
BRĂILA",Braila,apa,"Licenţă nr. 5290/11.03.2021 clasa 1
Valabilă până la data de 09.06.2026",
18060498,"SERVICE CONSLOC SRL
Vadu Paşii",Buzau,apa,"Licenţă nr. 7470/05.12.2025 clasa 3
Valabilă până la data de 01.09.2030",
22987337,"COMPANIA DE APĂ SA
Buzău",Buzau,apa,"Licenţă nr. 6228/03.03.2023 clasa 2
Valabilă până la data de 22.03.2028",
29557493,"APAPRIMA BERCA SRL
Berca",Buzau,apa,"Licenţă nr. 7043/22.01.2025 clasa 3
Valabilă până la data de 26.02.2027",
31029392,"SISTEM CONSLOC
ZĂRNEȘTI 2012 SRL Fundeni
Zărnești",Buzau,apa,"Licenţă nr. 6733/15.03.2024 clasa 3
Valabilă până la data de 18.12.2027",
36101715,"CONSILIUL LOCAL STÎLPU-
SERVICIUL APA",Buzau,apa,"Licenţă nr. 5742/10.03.2022 clasa 3
Valabilă până la data de 10.03.2027",
36283099,"CONSILIUL LOCAL
UNGURIU - SERVICIUL APĂ
CANAL Unguriu",Buzau,apa,"Licenţă nr. 7302/07.08.2025 clasa 3
Valabilă până la data de 07.08.2030",
36507382,"SERVICIUL PUBLIC DE
UTILITĂȚI PUBLICE Gura
Teghii",Buzau,apa,"Licenţă nr. 5542/14.10.2021 clasa 3
Valabilă până la data de 14.10.2026",
36601877,"CONSILIUL LOCAL
GĂLBINAȘI – SERVICIUL
APĂ CANAL",Buzau,apa,"Licenţă nr. 6125/03.01.2023 clasa 3
Valabilă până la data de 03.01.2028",
36675424,"CONSILIUL LOCAL SMEENI -
SERVICIUL APĂ CANAL",Buzau,apa,"Licenţă nr. 7374/07.10.2025 clasa 3
Valabilă până la data de 07.10.2030",
36721598,"CONSILIUL LOCAL
GHERĂSENI-SERVICIUL
APA CANAL",Buzau,apa,"Licenţă nr. 5949/11.08.2022 clasa 3
Valabilă până la data de 11.08.2027",
36691730,"CONSILIUL LOCAL
PÎRSCOV – SERVICIUL APĂ
Pîrscov",Buzau,apa,"Licenţă nr. 6516/23.10.2023 clasa 3
Valabilă până la data de 23.10.2028",
38487010,"AQUA SYSTEM –
MĂRĂCINENI Mărăcineni",Buzau,apa,"Licenţă nr. 6545/08.11.2023 clasa 3
Valabilă până la data de 08.11.2028",
39976324,"APĂ CANAL GLODEANU
SILIȘTEA",Buzau,apa,"Licenţă cu caracter provizoriu nr.
7395/23.10.2025 clasa 3
Valabilă până la data de 23.10.2026",
45174341,"APĂ SALUBRIZARE -
BLĂJANI",Buzau,apa,"Licenţă nr. 6888/14.08.2024 clasa 3
Valabilă până la data de 14.08.2029",
46856592,"CONSILIUL LOCAL
PODGORIA - SERVICIUL
APA CANALIZARE
SALUBRIZARE",Buzau,apa,"Licenţă nr. 7457/03.12.2025 clasa 3
Valabilă până la data de 03.12.2030",
1890420,RAJA SA Constanţa,Constanta,apa,"Licenţă nr. 7459/03.12.2025 clasa 1
Valabilă până la data de 03.12.2030",
27371558,"EDILITAR DIVERS TOPALU
SRL Topalu",Constanta,apa,"Licenţă nr. 5821/20.04.2022 clasa 3
Valabilă până la data de 11.04.2027",
30749948,"GHINDĂREŞTI EDIL SRL
Ghindăreşti",Constanta,apa,"Licenţă nr. 7074/13.02.2025 clasa 3
Valabilă până la data de 29.11.2029",
35290845,"APA CANAL HORIA SRL
Horia",Constanta,apa,"Licenţă nr. 5910/11.07.2022 clasa 3
Valabilă până la data de 25.05.2027",
36763780,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE CUZA VODĂ",Constanta,apa,"Licenţă nr. 7169/05.05.2025 clasa 3
Valabilă până la data de 05.05.2030",
36850347,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Rasova",Constanta,apa,"Licenţă nr. 6371/21.06.2023 clasa 3
Valabilă până la data de 21.06.2028",
36890198,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ
PEȘTERA Peștera",Constanta,apa,"Licenţă nr. 6750/19.06.2024 clasa 3
Valabilă până la data de 30.06.2029",
37509616,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA ȘI
CANALIZARE Fântânele",Constanta,apa,"Licenţă nr. 5855/30.05.2022 clasa 3
Valabilă până la data de 30.05.2027",
38207187,"SERVICIUL PUBLIC APĂ
SEIMENI Seimeni",Constanta,apa,"Licenţă nr. 7226/16.06.2025 clasa 3
Valabilă până la data de 16.06.2030",
39034521,"SERVICIUL PUBLIC APA
SARAIU",Constanta,apa,"Licenţă nr. 7591/25.02.2026 clasa 3
Valabilă până la data de 25.02.2031",
39486608,"SERVICIUL PUBLIC APA
GARLICIU Gîrliciu",Constanta,apa,"Licenţă nr. 5422/16.07.2021 clasa 3
Valabilă până la data de 16.07.2026",
43403503,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZRE VULTURU",Constanta,apa,"Licenţă cu caracter provizoriu nr.
7300/06.08.2025 clasa 3
Valabilă până la data de 06.08.2026",
16914128,APĂ CANAL SA Galaţi,Galati,apa,"Licenţă nr. 6269/11.04.2023,clasa 1
Valabilă până la data de 13.04.2028",
35054178,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ AL
COMUNEI OANCEA Oancea",Galati,apa,"Licenţă nr. 7377/08.10.2025 clasa 3
Valabilă până la data de 08.10.2030",
35434266,"SERVICIUL PUBLIC DE
ALIEMNTARE CU APĂ ȘI
CANALIZARE Țepu",Galati,apa,"Licenţă nr. 6547/08.11.2023 clasa 3
Valabilă până la data de 08.11.2028",
36005068,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Schela",Galati,apa,"Licenţă nr. 5741/10.03.2022 clasa 3
Valabilă până la data de 10.03.2027",
36395610,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE COSTACHE
NEGRI Costache Negri",Galati,apa,"Licenţă nr. 7295/05.08.2025 clasa 3
Valabilă până la data de 05.08.2030",
36405439,"SERVICIUL DE
ALIMENTARE CU APĂ AL
COMUNEI MUNTENI",Galati,apa,"Licenţă nr. 7316/25.08.2025 clasa 3
Valabilă până la data de 25.08.2030",
36555827,"APATUL BRATEȘ SRL
Tulucești",Galati,apa,"Licenţă nr. 5975/30.08.2022 clasa 3
Valabilă până la data de 01.04.2027",
36888902,"SERVICIUL DE
ALIMENTARE CU APĂ ȘI
CANALIZARE GHIDIGENI
Ghidigeni",Galati,apa,"Licenţă nr. 7379/08.10.2025 clasa 3
Valabilă până la data de 08.10.2030",
37519032,"SERVICIUL DE
ALIMENTARE CU APĂ
POIANA Poiana",Galati,apa,"Licenţă nr. 6102/25.11.2022 clasa 3
Valabilă până la data de 25.11.2027",
38424470,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE CERȚEȘTI
Cerțești",Galati,apa,"Licenţă nr. 6470/23.08.2023 clasa 3
Valabilă până la data de 23.08.2028",
39126862,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE - COMUNA
FÂRȚĂNEȘTI",Galati,apa,"Licenţă nr. 6542/03.11.2023 clasa 3
Valabilă până la data de 03.11.2028",
41557891,"SERVIUCIUL PUBLIC DE
ALIMENTARE CU APĂ
BUCIUMENI",Galati,apa,"Licenţă nr. 5807/18.04.2022 clasa 3
Valabilă până la data de 18.04.2027",
42754840,"SERVICIUL PUBLIC DE
GOSPODARIRE COMUNALA
DE ALIMENATRE CU APA
ȘI CANALIZARE Rediu",Galati,apa,"Licenţă nr. 6456/17.08.2023 clasa 3
Valabilă până la data de 17.08.2028",
50174828,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
DE CANALIZARE FOLTESTI",Galati,apa,"Licenţă cu caracter provizoriu nr.
7357/22.09.2025 clasa 3
Valabilă până la data de 22.09.2026",
14537552,AGIL SERVCOM SRL Jijila,Tulcea,apa,"Licenţă nr. 6089/24.11.2022clasa 3
Valabilă până la data de 24.11.2027",
16775941,AQUASERV SA Tulcea,Tulcea,apa,"Licenţă nr. 6662/12.02.2024 clasa 2
Valabilă până la data de 12.02.2029",
27261300,"UTILITĂȚI PUBLICE
LUNCAVIȚA SRL Luncavița",Tulcea,apa,"Licenţă nr. 6158/20.01.2023 clasa 3
Valabilă până la data de 13.01.2028",
27275976,"UZINA DE APĂ SFÂNTU
GHEORGHE SRL Sfântu
Gheorghe",Tulcea,apa,"Licenţă nr. 7475/12.12.2025 clasa 3
Valabilă până la data de 24.10.2030",
27436894,"SERVICII LOCALE
IZVOARELE SRL Izvoarele",Tulcea,apa,"Licenţă nr. 6656/09.02.2024 clasa 3
Valabilă până la data de 28.02.2028",
27662328,"SERVICII LOCALE
PECENEAGA SRL Peceneaga",Tulcea,apa,"Licenţă nr. 6912/20.09.2024 clasa 3
Valabilă până la data de 29.07.2029",
28260493,"SERVICII PUBLICE
CASIMCEA SRL Casimcea",Tulcea,apa,"Licenţă nr. 5636/30.12.2021 clasa 3
Valabilă până la data de 04.11.2026",
29557787,"UTILITĂŢI PUBLICE
NUFĂRU SRL Nufăru",Tulcea,apa,"Licenţă nr. 6929/30.09.2024 clasa 3
Valabilă până la data de 02.08.2029",
30673769,"SERVICII LOCALE
TURCOAIA SRL Turcoaia",Tulcea,apa,"Licenţă nr. 7479/16.12.2025 clasa 3
Valabilă până la data de 05.11.2030",
30765218,"SERVICII PUBLICE
GOSCOM SRL Mihail",Tulcea,apa,"Licenţă nr. 6572/20.12.2023 clasa 3
Valabilă până la data de 12.08.2026",
32081372,EDILITAR GRECI SRL Greci,Tulcea,apa,"Licenţă nr. 7044/22.01.2025 clasa 3
Valabilă până la data de 31.10.2028",
35890211,"SERVICII PUBLICE
JURILOVCA SRL Jurilovca",Tulcea,apa,"Licenţă nr. 5714/22.02.2022 clasa 3
Valabilă până la data de 21.01.2027",
36342551,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ
Somova",Tulcea,apa,"Licenţă nr. 7204/27.05.2025 clasa 3
Valabilă până la data de 27.05.2030",
36480325,"GOSPODĂRIREA APELOR ȘI
SERVICIILOR FRECĂȚEI
SRL Frecăței",Tulcea,apa,"Licenţă nr. 6201/22.02.2023 clasa 3
Valabilă până la data de 13.01.2028",
36526414,"APA SERV TOPOLOG SRL
Topolog",Tulcea,apa,"Licenţă nr. 5731/04.03.2022 clasa 3
Valabilă până la data de 26.01.2027",
36680773,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Ceamurlia de
Jos",Tulcea,apa,"Licenţă nr. 7298/06.08.2025 clasa 3
Valabilă până la data de 06.08.2030",
36868328,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Valea Nucarilor",Tulcea,apa,"Licenţă nr. 7017/17.12.2024 clasa 3
Valabilă până la data de 17.12.2029",
37012594,"SERVICIUL DE
ALIMENTARE CU APĂ
Nalbant",Tulcea,apa,"Licenţă nr. 7333/28.08.2025 clasa 3
Valabilă până la data de 28.08.2030",
38078490,"SERVICIUL DE
ALIMENTARE CU APĂ ȘI
CANALIZARE DĂENI Dăeni",Tulcea,apa,"Licenţă nr. 7331/28.08.2025 clasa 3
Valabilă până la data de 28.08.2030",
39074720,"SERVICII PUBLICE CERNA
SRL Cerna",Tulcea,apa,"Licenţă nr. 7493/17.12.2025 clasa 3
Valabilă până la data de 11.12.2028",
40356814,"SERVICIUL PUBLIC DE APA
CIUCUROVA",Tulcea,apa,"Licenţă cu caracter provizoriu nr.
7448/28.11.2025 clasa 3
Valabilă până la data de 28.11.2026",
41228899,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ -
COMUNA MIHAI BRAVU",Tulcea,apa,"Licenţă nr. 7234/19.06.2025 clasa 3
Valabilă până la data de 19.06.2030",
41487923,"SERVICIUL PUBLIC
GOSCOM BAIA Baia",Tulcea,apa,"Licenţă nr. 7598/27.02.2026 clasa 3
Valabilă până la data de 27.02.2031",
42312822,"SERVICII PUBLICE OSTROV
SRL Ostrov",Tulcea,apa,"Licenţă nr. 5863/16.06.2022 clasa 3
Valabilă până la data de 14.03.2027",
51796675,"SERVICIUL PUBLIC
HAMCEARCA SRL
Hamcearca",Tulcea,apa,"Licenţă nr. 7530/20.01.2026 clasa 3
Valabilă până la data de 09.12.2030",
1443170,"COMPANIA DE UTILITĂŢI
PUBLICE SA Focşani",Vrancea,apa,"Licenţă nr. 5449/13.08.2021 clasa 2
Valabilă până la data de 13.08.2026",
36397840,"COMUNA MOVILIȚA -
SERVICIUL PUBLIC
PENTRU ÎNTREȚINEREA ȘI
EXPLOATAREA REȚELEI
DE APĂ POTABILĂ Movilița",Vrancea,apa,"Licenţă nr. 6311/22.05.2023 clasa 3
Valabilă până la data de 22.05.2028",
36405021,"SERVICIU DE APA
FITIONESTI Fiționești",Vrancea,apa,"Licenţă cu caracter provizoriu nr.
7494/17.12.2025 clasa 3
Valabilă până la data de 17.12.2026",
36668648,"SERVICIUL DE
ALIMENTARE CU APĂ
PĂUNEȘTI Păunești",Vrancea,apa,"Licenţă nr. 6489/14.09.2023 clasa 3
Valabilă până la data de 14.09.2028",
50996365,"APA CANAL CIORASTI SRL
Ciorăști",Vrancea,apa,"Licenţă cu caracter provizoriu nr.
7356/17.09.2025 clasa 3
Valabilă până la data de 17.09.2026",
11339135,"AQUATERM AG 98 SA Curtea
de Argeş",Arges,apa,"Licenţă nr. 7384/15.10.2025 clasa 3
Valabilă până la data de 09.08.2028",
13009001,APĂ-CANAL 2000 SA Piteşti,Arges,apa,"Licenţă nr. 7068/12.02.2025 clasa 1
Valabilă până la data de 12.02.2030",
14001286,"ADMINISTRARE ȘI
EXPLOATARE A
PATRIMONIULUI ȘI
SERVICIILOR DE UTILITĂȚI
PUBLICE ARGEȘ SA
Geamăna Bradu",Arges,apa,"Licenţă nr. 6230/03.03.2023 clasa 3
Valabilă până la data de 13.10.2026",
27237026,"APĂ SALUBRITATE CANAL
ȘI DECONTAMINARE
PRIBOIENI SRL Priboieni",Arges,apa,"Licenţă nr. 6612/15.01.2024 clasa 3
Valabilă până la data de 25.11.2027",
27280093,"SERVICII EDILITARE
PENTRU COMUNITATE
MIOVENI SRL Mioveni",Arges,apa,"Licenţă nr. 7435/19.11.2025 clasa 3
Valabilă până la data de 19.11.2030",
27414292,"EDIL EXPERT PUBLISERV
SUSENI SRL Suseni",Arges,apa,"Licenţă nr. 7536/20.01.2026 clasa 3
Valabilă până la data de 09.12.2030",
29387348,"EUROSERV PUB DRĂGANU
SRL Drăganu",Arges,apa,"Licenţă nr. 7165/16.04.2025 clasa 3
Valabilă până la data de 26.07.2026",
35694983,"APA SERV CONCEPT
LEORDENI SRL Leordeni",Arges,apa,"Licenţă nr. 5543/14.10.2021 clasa 3
Valabilă până la data de 30.09.2026",
36600936,"SERVICIU PUBLIC APĂ
CANAL BOȚEȘTI SRL Boțești",Arges,apa,"Licenţă nr. 5732/04.03.2022 clasa 3
Valabilă până la data de 30.12.2026",
36730197,"SERVICIUL PUBLIC APĂ-
DRAGOSLAVELE
Dragoslavele",Arges,apa,"Licenţă nr. 6092/24.11.2022 clasa 3
Valabilă până la data de 24.11.2027",
36754480,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ AL
COMUNEI POIENARII DE
MUSCEL",Arges,apa,"Licenţă nr. 6215/03.03.2023 clasa 3
Valabilă până la data de 03.03.2028",
39313313,"APĂ-CANAL CIOFRÎNGENI
SRL Ciofrângeni",Arges,apa,"Licenţă nr. 7143/10.04.2025 clasa 3
Valabilă până la data de 20.11.2028",
39651551,"EDILUL APĂ CETĂȚENI SRL
Cetățeni",Arges,apa,"Licenţă nr. 6518/23.10.2023 clasa 3
Valabilă până la data de 27.09.2028",
43633782,"APA-CANAL VULTURESTI
SRL Vulturești",Arges,apa,"Licenţă nr. 6362/21.06.2023 clasa 3
Valabilă până la data de 19.06.2028",
43905224,"EDILTOP APĂ-CANAL
RECEA 2021 SRL Recea",Arges,apa,"Licenţă nr. 5798/14.04.2022 clasa 3
Valabilă până la data de 19.04.2026",
44372723,"SERVICIUL APĂ CANAL
VALEA IAȘIULUI Valea
Iașiului",Arges,apa,"Licenţă nr. 6549/14.11.2023 clasa 3
Valabilă până la data de 14.11.2028",
44440364,"EDIL CĂLINEȘTI APĂ
CANAL 2021 SRL Călinești",Arges,apa,"Licenţă nr. 5853/30.05.2022 clasa 3
Valabilă până la data de 31.03.2026",
44487928,"SERVICIUL DE APA 2021
NEGRASI SRL Negrași",Arges,apa,"Licenţă nr. 7144/10.04.2025 clasa 3
Valabilă până la data de 16.07.2026",
44773253,"APA CANAL SLOBOZIA
2021 SRL Slobozia",Arges,apa,"Licenţă nr. 7335/20.01.2026 clasa 3
Valabilă până la data de 24.07.2030",
44977264,"SERVICIUL APĂ SI CANAL
MOZĂCENI",Arges,apa,"Licenţă nr. 6435/09.08.2023 clasa 3
Valabilă până la data de 09.08.2028",
45303500,"APA CANAL 2021 IZVORU
SRL Izvoru",Arges,apa,"Licenţă nr. 7473/12.12.2025 clasa 3
Valabilă până la data de 30.05.2030",
45389499,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE AL COMUNEI
CORBENI",Arges,apa,"Licenţă cu caracter provizoriu nr.
7452/28.11.2025 clasa 3
Valabilă până la data de 28.11.2026",
47215227,"SERVICIUL DE APA -
CANALIZARE HARTIESTI",Arges,apa,"Licenţă nr. 7361/22.09.2025 clasa 3
Valabilă până la data de 22.09.2030",
47410678,"PREST APA CANAL BOGATI
SRL",Arges,apa,"Licenţă cu caracter provizoriu nr.
7239/25.06.2025 clasa 3
Valabilă până la data de 25.06.2026",
49853523,"APA CANAL DÂRMĂNEȘTI
2024 SRL Dârmănești",Arges,apa,"Licenţă nr. 7123/19.03.2025 clasa 3
Valabilă până la data de 18.04.2029",
16730672,ECOAQUA SA Călăraşi,Calarasi,apa,"Licenţă nr. 6140/13.01.2023 clasa 2
Valabilă până la data de 19.01.2028",
27330116,"ECO - SCUP SRL Ștefan cel
Mare",Calarasi,apa,"Licenţă nr. 7070/12.02.2025 clasa 3
Valabilă până la data de 02.10.2028",
37011572,"SERVICIUL DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Borcea",Calarasi,apa,"Licenţă nr. 6022/05.10.2022 clasa 3
Valabilă până la data de 05.10.2027",
37495499,"SERVICIUL PUBLIC
ALEXANDRU ODOBESCU
SRL Nicolae Bălcescu
Alexandru Odobescu",Calarasi,apa,"Licenţă nr. 7088/17.02.2025 clasa 3
Ordin nr. 85/17.02.2025
Valabilă până la data de 20.12.2027",
38533680,"SERVICIU COMUNAL DE
UTILITĂȚI PUBLICE
ALIMENTARE CU APĂ ȘI
CANALIZARE Roseți",Calarasi,apa,"Licenţă cu caracter provizoriu nr.
7321/26.08.2025 clasa 3
Valabilă până la data de 26.08.2026",
39396378,"SERVICIUL PUBLIC DE
ALIMENATRE CU APĂ ȘI
CANALIZARE MODELU",Calarasi,apa,"Licenţă nr. 5544/14.10.2021 clasa 3
Valabilă până la data de 14.10.2026",
40171042,"APĂ CANAL MÂNĂSTIREA
SRL Mânăstirea",Calarasi,apa,"Licenţă nr. 7120/11.03.2025 clasa 3
Valabilă până la data de 01.02.2029",
43384061,"SERVICIUL APA SI
CANALIZARE RADOVANU",Calarasi,apa,"Licenţă nr. 5862/16.06.2022 clasa 3
Valabilă până la data de 16.06.2027",
10084149,"COMPANIA DE APĂ
TÂRGOVIȘTE-DÂMBOVIȚA
SA Târgoviște",Dambovita,apa,"Licenţă nr. 5490/13.09.2021 clasa 2
Valabilă până la data de 21.09.2026",
29967167,"APACRIS INSTAL 2012 SRL
I.L.Caragiale",Dambovita,apa,"Licenţă nr. 7249/25.06.2025 clasa 3
Valabilă până la data de 25.06.2030",
39899752,"CONSILIUL LOCAL - VALEA
MARE SERVICIUL APA
CANAL",Dambovita,apa,"Licenţă nr. 7164/16.04.2025 clasa 3
Valabilă până la data de 16.04.2030",
22131317,APA SERVICE SA Giurgiu,Giurgiu,apa,"Licenţă nr. 6532/30.10.2023 clasa 2
Valabilă până la data de 30.10.2028",
3212911,"STYLE CONSTRUCT SRL
Bacu Joița",Giurgiu,apa,"Licenţă nr. 5972/30.08.2022 clasa 3
Valabilă până la data de 09.08.2026",
37191481,"APĂ, CANAL,
SALUBRITATE FRĂTEȘTI
SRL Frătești",Giurgiu,apa,"Licenţă nr. 6306/11.05.2023 clasa 3
Valabilă până la data de 20.04.2028",
41855707,"SERVICIUL DE UTILITĂȚI
PUBLICE AL COMUNEI
ROATA DE JOS",Giurgiu,apa,"Licenţă nr. 7108/28.02.2025 clasa 3
Valabilă până la data de 28.02.2030",
46826230,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE AL COMUNEI
OINACU",Giurgiu,apa,"Licenţă cu caracter provizoriu nr.
7358/22.09.2025 clasa 3
Valabilă până la data de 22.09.2026",
11316859,URBAN SA Slobozia,Ialomita,apa,"Licenţă nr. 6976/14.11.2024 clasa 2
Valabilă până la data de 14.11.2029",
15364662,ANTREPRIZA SRL Slobozia,Ialomita,apa,"Licenţă nr. 6840/15.07.2024 clasa 3
Valabilă până la data de 01.10.2027",
36500953,"APĂ CANALIZARE
PROGRESUL SFÂNTU
GHEORGHE SRL Sfântu
Gheorghe",Ialomita,apa,"Licenţă nr. 5978/31.08.2022 clasa 3
Valabilă până la data de 14.03.2027",
36587128,"SERVICIUL PUBLIC DE
INTERES LOCAL APĂ-
CANAL STELNICA",Ialomita,apa,"Licenţă cu caracter provizoriu nr.
7400/23.10.2025 clasa 3
Valabilă până la data de 23.10.2026",
41353875,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE –
BORDUȘANI Bordușani",Ialomita,apa,"Licenţă cu caracter provizoriu nr.
7447/28.11.2025 clasa 3
Valabilă până la data de 28.11.2026",
44500172,"UTILITATI SI GOSPODARIE
COMUNALA SAVENI SRL
Săveni",Ialomita,apa,"Licenţă nr. 5883/11.07.2022 clasa 3
Valabilă până la data de 08.02.2027",
48966699,"SERVICIUL PUBLIC
GOSLOC FĂCĂENI",Ialomita,apa,"Licenţă cu caracter provizoriu nr.
7318/26.08.2025 clasa 3
Valabilă până la data de 26.08.2026",
13102711,APA NOVA PLOIEŞTI SRL,Prahova,apa,"Licenţă cu caracter provizoriu nr.
7230/16.06.2025 clasa 2
Valabilă până la data de 16.06.2026",
16826034,HIDRO PRAHOVA SA Ploieşti,Prahova,apa,"Licenţă nr. 5915/11.07.2022 clasa 2
Valabilă până la data de 11.07.2027",
27758318,"AQUASAL UTILSERV SRL
Brazi",Prahova,apa,"Licenţă nr. 5485/31.08.2021 clasa 3
Valabilă până la data de 31.08.2026",
28744019,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ
ARICEȘTII RAHTIVANI SRL
Ariceștii Rahtivani",Prahova,apa,"Licenţă nr. 5448/12.08.2021 clasa 3
Valabilă până la data de 10.09.2026",
36016121,"APĂ ȘI CANAL BUCOV SRL
Bucov",Prahova,apa,"Licenţă nr. 5650/06.01.2022 clasa 3
Valabilă până la data de 11.01.2027",
42026545,"APA FILIPEȘTII DE TÂRG
SRL Filipeștii de Târg",Prahova,apa,"Licenţă nr. 7472/12.12.2025 clasa 3
Valabilă până la data de 09.10.2030",
46572574,APA CANAL CORNU SRL,Prahova,apa,"Licenţă nr. 7042/22.01.2025 clasa 3
Valabilă până la data de 08.08.2027",
